catégorie	категория	catégorie	категория	N;FEM;SG	N;INDF;FEM;SG
liste	списък	liste	списък	N;FEM;SG	N;INDF;MASC;SG
équipe	отряд	équipe	отряд	N;FEM;SG	N;INDF;MASC;SG
équipe	взвод	équipe	взвод	N;FEM;SG	N;INDF;MASC;SG
équipe	отбор	équipe	отбор	N;FEM;SG	N;INDF;MASC;SG
équipe	отбора	équipe	отбор	N;FEM;SG	N;DEF;MASC;SG
équipe	екип	équipe	екип	N;FEM;SG	N;INDF;MASC;SG
club	клуб	club	клуб	N;MASC;SG	N;INDF;MASC;SG
club	клубът	club	клуб	N;MASC;SG	N;DEF;MASC;SG
sud	южен	sud	южен	N;MASC;SG	N;INDF;MASC;SG
sud	юг	sud	юг	N;MASC;SG	N;INDF;MASC;SG
partie	парти	partie	парта	N;FEM;SG	N;INDF;NEUT;SG
partie	купон	partie	купон	N;FEM;SG	N;INDF;MASC;SG
partie	партия	partie	партия	N;FEM;SG	N;INDF;FEM;SG
partie	част	partie	част	N;FEM;SG	N;INDF;FEM;SG
avant	преди	avant	преди	ADP	ADP
très	много	très	много	ADV	ADV;INDF;PL
trois	три	trois	три	NUM	NUM;INDF;PL
trois	трима	trois	трима	NUM	NUM;INDF;PL
articles	изделия	article	изделие	N;MASC;PL	N;INDF;NEUT;PL
articles	статии	article	статия	N;MASC;PL	N;INDF;FEM;PL
articles	артикули	article	артикул	N;MASC;PL	N;INDF;MASC;PL
article	статия	article	статия	N;MASC;SG	N;INDF;FEM;SG
article	член	article	член	N;MASC;SG	N;INDF;MASC;SG
guerre	войната	guerre	война	N;FEM;SG	N;DEF;FEM;SG
guerre	война	guerre	война	N;FEM;SG	N;INDF;FEM;SG
sans	без	sans	без	ADP	ADP
saison	сезон	saison	сезон	N;FEM;SG	N;INDF;MASC;SG
saison	сезона	saison	сезон	N;FEM;SG	N;DEF;MASC;SG
fin	перка	fin	перка	N;FEM;SG	N;INDF;FEM;SG
année	година	année	година	N;FEM;SG	N;INDF;FEM;SG
année	годината	année	година	N;FEM;SG	N;DEF;FEM;SG
temps	времето	temps	време	N;MASC;SG	N;DEF;NEUT;SG
temps	времето	temps	време	N;MASC;SG	N;DEF;NEUT;SG
temps	време	temps	време	N;MASC;SG	N;INDF;NEUT;SG
plusieurs	няколко	plusieurs	няколко	PRO;PL	PRO;INDF
faire	правейки	faire	правейка	V;NFIN	V;IPFV;IMP;SG;2;FIN
faire	направи	faire	направя-(се)	V;NFIN	V;PFV;IMP;SG;2;FIN
mars	март	mars	март	N;MASC;SG	N;INDF;MASC;SG
histoire	историята	histoire	история	N;FEM;SG	N;DEF;FEM;SG
histoire	история	histoire	история	N;FEM;SG	N;INDF;FEM;SG
série	серия	série	серия	N;FEM;SG	N;INDF;FEM;SG
série	поредица	série	поредица	N;FEM;SG	N;INDF;FEM;SG
série	сериал	série	сериал	N;FEM;SG	N;INDF;MASC;SG
série	сериен	série	сериен	N;FEM;SG	N;INDF;MASC;SG
joueur	плеър	joueur	плеър	N;MASC;SG	N;INDF;MASC;SG
joueur	играч	joueur	играч	N;MASC;SG	N;INDF;MASC;SG
tour	турне	tour	турне	N;MASC;SG	N;INDF;NEUT;SG
tour	обиколка	tour	обиколка	N;MASC;SG	N;INDF;FEM;SG
tour	тур	tour	тур	N;MASC;SG	N;INDF;MASC;SG
tour	кула	tour	кула	N;MASC;SG	N;INDF;FEM;SG
tour	tower	tour	tower	N;MASC;SG	N;INDF;MASC;SG
tour	кулата	tour	кула	N;MASC;SG	N;DEF;FEM;SG
tour	тауър	tour	тауър	N;MASC;SG	N;INDF;MASC;SG
mort	умрял	mourir	умра	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
mort	умряла	mourir	умра	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
juin	джун	juin	джун	N;MASC;SG	N;INDF;MASC;SG
juin	юни	juin	юни	N;MASC;SG	N;INDF;MASC;SG
française	френска	français	френски	ADJ;FEM;SG	ADJ;INDF;FEM;SG
française	френски	français	френски	ADJ;FEM;SG	ADJ;INDF;MASC;SG
pierre	камък	pierre	камък	N;FEM;SG	N;INDF;MASC;SG
région	район	région	район	N;FEM;SG	N;INDF;MASC;SG
région	регион	région	регион	N;FEM;SG	N;INDF;MASC;SG
région	област	région	област	N;FEM;SG	N;INDF;FEM;SG
région	зона	région	зона	N;FEM;SG	N;INDF;FEM;SG
région	площ	région	площ	N;FEM;SG	N;INDF;FEM;SG
région	област	région	област	N;FEM;SG	N;INDF;FEM;SG
région	район	région	район	N;FEM;SG	N;INDF;MASC;SG
janvier	януари	janvier	януари	N;MASC;SG	N;INDF;MASC;SG
fois	таймс	fois	таймс	N;FEM;SG	N;INDF;MASC;SG
septembre	септември	septembre	септември	N;MASC;SG	N;INDF;MASC;SG
juillet	юли	juillet	юли	N;MASC;SG	N;INDF;MASC;SG
état	статус	état	статус	N;MASC;SG	N;INDF;MASC;SG
état	състояние	état	състояние	N;MASC;SG	N;INDF;NEUT;SG
état	положение	état	положение	N;MASC;SG	N;INDF;NEUT;SG
état	статут	état	статут	N;MASC;SG	N;INDF;MASC;SG
état	щат	état	щат	N;MASC;SG	N;INDF;MASC;SG
état	държава	état	държава	N;MASC;SG	N;INDF;FEM;SG
état	състояние	état	състояние	N;MASC;SG	N;INDF;NEUT;SG
état	състоянието	état	състояние	N;MASC;SG	N;DEF;NEUT;SG
état	условие	état	условие	N;MASC;SG	N;INDF;NEUT;SG
église	църква	église	църква	N;FEM;SG	N;INDF;FEM;SG
église	църквата	église	църква	N;FEM;SG	N;DEF;FEM;SG
octobre	октомври	octobre	октомври	N;MASC;SG	N;INDF;MASC;SG
octobre	ост	octobre	ост	N;MASC;SG	N;INDF;FEM;SG
octobre	октомври	octobre	октомври	N;MASC;SG	N;INDF;MASC;SG
place	място	place	място	N;FEM;SG	N;INDF;NEUT;SG
famille	семейство	famille	семейство	N;FEM;SG	N;INDF;NEUT;SG
famille	семейството	famille	семейство	N;FEM;SG	N;DEF;NEUT;SG
états	държави	état	държава	N;MASC;PL	N;INDF;FEM;PL
états	щати	état	щат	N;MASC;PL	N;INDF;MASC;PL
général	генерал	général	генерал	N;MASC;SG	N;INDF;MASC;SG
avril	април	avril	април	N;MASC;SG	N;INDF;MASC;SG
avril	април	avril	април	N;MASC;SG	N;INDF;MASC;SG
tous	всички	tout	всеки	PRO;MASC;PL	PRO;NOM;PL
album	албум	album	албум	N;MASC;SG	N;INDF;MASC;SG
décembre	декември	décembre	декември	N;MASC;SG	N;INDF;MASC;SG
août	август	août	август	N;MASC;SG	N;INDF;MASC;SG
août	август	août	август	N;MASC;SG	N;INDF;MASC;SG
novembre	ноември	novembre	ноември	N;MASC;SG	N;INDF;MASC;SG
novembre	ноември	novembre	ноември	N;MASC;SG	N;INDF;MASC;SG
prix	цена	prix	цена	N;MASC;SG	N;INDF;FEM;SG
nouvelle	нов	nouveau	нов	ADJ;FEM;SG	ADJ;INDF;MASC;SG
nouvelle	нова	nouveau	нов	ADJ;FEM;SG	ADJ;INDF;FEM;SG
février	февруари	février	февруари	N;MASC;SG	N;INDF;MASC;SG
février	февруари	février	февруари	N;MASC;SG	N;INDF;MASC;SG
département	отдел	département	отдел	N;MASC;SG	N;INDF;MASC;SG
département	департамент	département	департамент	N;MASC;SG	N;INDF;MASC;SG
grande	голям	grand	голям	ADJ;FEM;SG	ADJ;INDF;MASC;SG
grande	голяма	grand	голям	ADJ;FEM;SG	ADJ;INDF;FEM;SG
grande	голям	grand	голям	ADJ;FEM;SG	ADJ;INDF;MASC;SG
grande	голяма	grand	голям	ADJ;FEM;SG	ADJ;INDF;FEM;SG
peu	малко	peu	малко	ADV	ADV;INDF;PL
américain	американска	américain	американски	ADJ;MASC;SG	ADJ;INDF;FEM;SG
américain	американски	américain	американски	ADJ;MASC;SG	ADJ;INDF;MASC;SG
début	начало	début	начало	N;MASC;SG	N;INDF;NEUT;SG
début	старт	début	старт	N;MASC;SG	N;INDF;MASC;SG
début	стартиране	début	стартиране	N;MASC;SG	N;INDF;NEUT;SG
début	начало	début	начало	N;MASC;SG	N;INDF;NEUT;SG
ligne	реплика	ligne	реплика	N;FEM;SG	N;INDF;FEM;SG
ligne	линия	ligne	линия	N;FEM;SG	N;INDF;FEM;SG
ligne	ред	ligne	ред	N;FEM;SG	N;INDF;MASC;SG
nationale	национална	national	национален	ADJ;FEM;SG	ADJ;INDF;FEM;SG
nationale	национален	national	национален	ADJ;FEM;SG	ADJ;INDF;MASC;SG
championnat	първенство	championnat	първенство	N;MASC;SG	N;INDF;NEUT;SG
championnat	шампионат	championnat	шампионат	N;MASC;SG	N;INDF;MASC;SG
encore	отново	encore	отново	ADV	ADV
encore	пак	encore	пак	ADV	ADV
encore	още	encore	още	ADV	ADV
image	снимка	image	снимка	N;FEM;SG	N;INDF;FEM;SG
image	картинка	image	картинка	N;FEM;SG	N;INDF;FEM;SG
image	имидж	image	имидж	N;FEM;SG	N;INDF;MASC;SG
image	картинка	image	картинка	N;FEM;SG	N;INDF;FEM;SG
image	образ	image	образ	N;FEM;SG	N;INDF;MASC;SG
image	изображение	image	изображение	N;FEM;SG	N;INDF;NEUT;SG
vie	живот	vie	живот	N;FEM;SG	N;INDF;MASC;SG
vie	живота	vie	живот	N;FEM;SG	N;DEF;MASC;SG
vie	лайф	vie	лайф	N;FEM;SG	N;INDF;MASC;SG
vie	животът	vie	живот	N;FEM;SG	N;DEF;MASC;SG
unis	обединени	unir	обединя-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
lien	връзка	lien	връзка	N;MASC;SG	N;INDF;FEM;SG
lien	линк	lien	линк	N;MASC;SG	N;INDF;MASC;SG
football	футбол	football	футбол	N;MASC;SG	N;INDF;MASC;SG
football	футбол	football	футбол	N;MASC;SG	N;INDF;MASC;SG
jeux	игри	jeu	игра	N;MASC;PL	N;INDF;FEM;PL
jeux	игри	jeu	игра	N;MASC;PL	N;INDF;FEM;PL
ouest	запад	ouest	запад	N;MASC;SG	N;INDF;MASC;SG
ouest	уестърн	ouest	уестърн	N;MASC;SG	N;INDF;MASC;SG
ouest	western	ouest	western	N;MASC;SG	N;INDF;MASC;SG
page	страница	page	страница	N;FEM;SG	N;INDF;FEM;SG
page	страницата	page	страница	N;FEM;SG	N;DEF;FEM;SG
nouveau	нов	nouveau	нов	ADJ;MASC;SG	ADJ;INDF;MASC;SG
nouveau	нова	nouveau	нов	ADJ;MASC;SG	ADJ;INDF;FEM;SG
centre	център	centre	център	N;MASC;SG	N;INDF;MASC;SG
centre	център	centre	център	N;MASC;SG	N;INDF;MASC;SG
cours	курс	cours	курс	N;MASC;SG	N;INDF;MASC;SG
village	село	village	село	N;MASC;SG	N;INDF;NEUT;SG
université	университет	université	университет	N;FEM;SG	N;INDF;MASC;SG
université	университета	université	университет	N;FEM;SG	N;DEF;MASC;SG
université	колежа	université	колеж	N;FEM;SG	N;DEF;MASC;SG
université	колежът	université	колеж	N;FEM;SG	N;DEF;MASC;SG
université	колеж	université	колеж	N;FEM;SG	N;INDF;MASC;SG
louis	луи	loui	луя	N;MASC;SG	N;INDF;MASC;SG
nombre	брой	nombre	брой	N;MASC;SG	N;INDF;MASC;SG
nombre	число	nombre	число	N;MASC;SG	N;INDF;NEUT;SG
nombre	номер	nombre	номер	N;MASC;SG	N;INDF;MASC;SG
quelques	някои	quelque	някой	PRO;PL	PRO;NOM;PL
leurs	техните	son	наш	DET;MASC;PL	DET;DEF;PL;3
siècle	век	siècle	век	N;MASC;SG	N;INDF;MASC;SG
siècle	века	siècle	век	N;MASC;SG	N;DEF;MASC;SG
coupe	прическа	coupe	прическам-(се)	N;FEM;SG	N;INDF;FEM;SG
coupe	чашка	coupe	чашки	N;FEM;SG	N;INDF;FEM;SG
coupe	чаша	coupe	чаша	N;FEM;SG	N;INDF;FEM;SG
coupe	купа	coupe	купа	N;FEM;SG	N;INDF;FEM;SG
coupe	къп	coupe	къп	N;FEM;SG	N;INDF;MASC;SG
coupe	рязане	coupe	рязане	N;FEM;SG	N;INDF;NEUT;SG
coupe	дял	coupe	дял	N;FEM;SG	N;INDF;MASC;SG
coupe	стоп	coupe	стоп	N;FEM;SG	N;INDF;MASC;SG
coupe	купе	coupe	купе	N;FEM;SG	N;INDF;NEUT;SG
population	популация	population	популация	N;FEM;SG	N;INDF;FEM;SG
population	население	population	население	N;FEM;SG	N;INDF;NEUT;SG
homme	мъж	homme	мъж	N;MASC;SG	N;INDF;MASC;SG
homme	мъжкар	homme	мъжкар	N;MASC;SG	N;INDF;MASC;SG
homme	мъжка	homme	мъжка	N;MASC;SG	N;INDF;FEM;SG
homme	men	homme	men	N;MASC;SG	N;INDF;MASC;SG
homme	човек	homme	човек	N;MASC;SG	N;INDF;MASC;SG
homme	мъж	homme	мъж	N;MASC;SG	N;INDF;MASC;SG
communes	комуни	commune	комуна	N;FEM;PL	N;INDF;MASC;PL
communes	общините	commune	община	N;FEM;PL	N;DEF;FEM;PL
communes	общини	commune	община	N;FEM;PL	N;INDF;FEM;PL
division	участък	division	участък	N;FEM;SG	N;INDF;MASC;SG
division	разделение	division	разделение	N;FEM;SG	N;INDF;NEUT;SG
division	дивизия	division	дивизия	N;FEM;SG	N;INDF;FEM;SG
division	деление	division	деление	N;FEM;SG	N;INDF;NEUT;SG
président	президентът	président	президент	N;MASC;SG	N;DEF;MASC;SG
président	президент	président	президент	N;MASC;SG	N;INDF;MASC;SG
président	председател	président	председател	N;MASC;SG	N;INDF;MASC;SG
président	стол	président	стол	N;MASC;SG	N;INDF;MASC;SG
président	столче	président	столче	N;MASC;SG	N;INDF;NEUT;SG
président	столът	président	стол	N;MASC;SG	N;DEF;MASC;SG
président	председател	président	председател	N;MASC;SG	N;INDF;MASC;SG
président	председателят	président	председател	N;MASC;SG	N;DEF;MASC;SG
président	председател	président	председател	N;MASC;SG	N;INDF;MASC;SG
national	национална	national	национален	ADJ;MASC;SG	ADJ;INDF;FEM;SG
national	национален	national	национален	ADJ;MASC;SG	ADJ;INDF;MASC;SG
société	общество	société	общество	N;FEM;SG	N;INDF;NEUT;SG
société	обществото	société	общество	N;FEM;SG	N;DEF;NEUT;SG
société	дружество	société	дружество	N;FEM;SG	N;INDF;NEUT;SG
société	компания	société	компания	N;FEM;SG	N;INDF;FEM;SG
société	рота	société	рота	N;FEM;SG	N;INDF;FEM;SG
société	фирма	société	фирма	N;FEM;SG	N;INDF;FEM;SG
quatre	четири	quatre	четири	NUM	NUM;INDF;PL
quatre	четирима	quatre	четирима	NUM	NUM;INDF;PL
cas	случай	cas	случай	N;MASC;SG	N;INDF;MASC;SG
cas	дело	cas	дело	N;MASC;SG	N;INDF;NEUT;SG
cas	кейс	cas	кейс	N;MASC;SG	N;INDF;MASC;SG
cas	случаят	cas	случай	N;MASC;SG	N;DEF;MASC;SG
cas	каса	cas	каса	N;MASC;SG	N;INDF;FEM;SG
jeu	хазарт	jeu	хазарт	N;MASC;SG	N;INDF;MASC;SG
jeu	мач	jeu	мач	N;MASC;SG	N;INDF;MASC;SG
jeu	гейм	jeu	гейм	N;MASC;SG	N;INDF;MASC;SG
jeu	играта	jeu	игра	N;MASC;SG	N;DEF;FEM;SG
jeu	игра	jeu	игра	N;MASC;SG	N;INDF;FEM;SG
jeu	хазарт	jeu	хазарт	N;MASC;SG	N;INDF;MASC;SG
jeu	залагане	jeu	залагане	N;MASC;SG	N;INDF;NEUT;SG
jeu	хазарта	jeu	хазарт	N;MASC;SG	N;DEF;MASC;SG
genre	жанр	genre	жанр	N;MASC;SG	N;INDF;MASC;SG
genre	пол	genre	пол	N;MASC;SG	N;INDF;MASC;SG
genre	пола	genre	пола	N;MASC;SG	N;INDF;FEM;SG
genre	род	genre	род	N;MASC;SG	N;INDF;MASC;SG
musique	музиката	musique	музика	N;FEM;SG	N;DEF;FEM;SG
musique	музика	musique	музика	N;FEM;SG	N;INDF;FEM;SG
fils	тел	fils	тел	N;MASC;SG	N;INDF;FEM;SG
fils	жица	fils	жиц	N;MASC;SG	N;INDF;FEM;SG
fils	син	fils	син	N;MASC;SG	N;INDF;MASC;SG
fils	прежда	fils	прежда	N;MASC;SG	N;INDF;FEM;SG
roi	крал	roi	крал	N;MASC;SG	N;INDF;MASC;SG
roi	кинг	roi	кинг	N;MASC;SG	N;INDF;MASC;SG
roi	кралят	roi	крал	N;MASC;SG	N;DEF;MASC;SG
roi	цар	roi	цар	N;MASC;SG	N;INDF;MASC;SG
roi	краля	roi	крал	N;MASC;SG	N;DEF;MASC;SG
jour	денят	jour	ден	N;MASC;SG	N;DEF;MASC;SG
jour	ден	jour	ден	N;MASC;SG	N;INDF;MASC;SG
forme	формуляр	forme	формуляр	N;FEM;SG	N;INDF;MASC;SG
forme	форма	forme	форма	N;FEM;SG	N;INDF;FEM;SG
forme	формата	forme	форма	N;FEM;SG	N;DEF;FEM;SG
forme	форма	forme	форма	N;FEM;SG	N;INDF;FEM;SG
époque	епоха	époque	епоха	N;FEM;SG	N;INDF;FEM;SG
époque	епоха	époque	епоха	N;FEM;SG	N;INDF;FEM;SG
époque	ерата	époque	ера	N;FEM;SG	N;DEF;FEM;SG
époque	ера	époque	ера	N;FEM;SG	N;INDF;FEM;SG
ancien	древна	ancien	древен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
ancien	стар	ancien	стар	ADJ;MASC;SG	ADJ;INDF;MASC;SG
ancien	стара	ancien	стар	ADJ;MASC;SG	ADJ;INDF;FEM;SG
ancien	бивша	ancien	бивш	ADJ;MASC;SG	ADJ;INDF;FEM;SG
origine	произход	origine	произход	N;FEM;SG	N;INDF;MASC;SG
origine	произход	origine	произход	N;FEM;SG	N;INDF;MASC;SG
ordre	ред	ordre	ред	N;MASC;SG	N;INDF;MASC;SG
ordre	поръчка	ordre	поръчка	N;MASC;SG	N;INDF;FEM;SG
château	шато	château	шато	N;MASC;SG	N;INDF;MASC;SG
château	замъка	château	замъкам	N;MASC;SG	N;DEF;MASC;SG
château	замъкът	château	замък	N;MASC;SG	N;DEF;MASC;SG
château	замък	château	замък	N;MASC;SG	N;INDF;MASC;SG
château	касъл	château	касъл	N;MASC;SG	N;INDF;MASC;SG
château	шато	château	шато	N;MASC;SG	N;INDF;MASC;SG
école	училището	école	училище	N;FEM;SG	N;DEF;NEUT;SG
école	школа	école	школа	N;FEM;SG	N;INDF;FEM;SG
école	училище	école	училище	N;FEM;SG	N;INDF;NEUT;SG
carrière	кариера	carrière	кариера	N;FEM;SG	N;INDF;FEM;SG
carrière	кариера	carrière	кариера	N;FEM;SG	N;INDF;FEM;SG
carrière	кариерата	carrière	кариера	N;FEM;SG	N;DEF;FEM;SG
carrière	кариера	carrière	кариера	N;FEM;SG	N;INDF;FEM;SG
part	споделяне	part	споделяне	N;FEM;SG	N;INDF;NEUT;SG
part	дял	part	дял	N;FEM;SG	N;INDF;MASC;SG
deuxième	втора	deuxième	втори	ADJ;MASC;SG	ADJ;INDF;FEM;SG
deuxième	втори	deuxième	втори	ADJ;MASC;SG	ADJ;INDF;MASC;SG
bar	бар	bar	бар	N;MASC;SG	N;INDF;MASC;SG
bar	барът	bar	бар	N;MASC;SG	N;DEF;MASC;SG
située	разположена	situer	разположа-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
située	разположен	situer	разположа-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
située	разположено	situer	разположа-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
située	разположена	situer	разположа-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
située	разположен	situer	разположа-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
