padaju	落下	padati	落下	V;IND;PL;3;PRS;FIN	V
družina	フェローシップ	družina	フェローシップ	N;NOM;FEM;SG	N
modula	モジュール	modul	モジュール	N;GEN;MASC;SG	N
modula	モジュール	modul	モジュール	N;GEN;MASC;SG	N
izračunati	計算	izračunati	計算	V;NFIN	V
izračunati	計算	izračunati	計算	V;NFIN	V
terminal	端末	terminal	端末	N;NOM;MASC;SG	N
imenica	名詞	imenica	名詞	N;NOM;FEM;SG	N
uređaje	デバイス	uređaj	デバイス	N;ACC;MASC;PL	N
uređaje	機器	uređaj	機器	N;ACC;MASC;PL	N
imenovanje	任用	imenovanje	任用	N;NOM;NEUT;SG	N
planiranja	計画	planiranje	計画	N;NOM;NEUT;PL	N
planiranja	企画	planiranje	企画	N;NOM;NEUT;PL	N
planiranja	プランニング	planiranje	プランニング	N;NOM;NEUT;PL	N
galeb	かもめ	galeb	かもめ	N;NOM;MASC;SG	N
hvata	キャプチャ	hvat	キャプチャ	V;IND;SG;3;PRS;FIN	V
ilustracija	イラスト	ilustracija	イラスト	N;NOM;FEM;SG	N
vlage	水分	vlaga	水分	N;NOM;FEM;PL	N
vlage	湿度	vlaga	湿度	N;NOM;FEM;PL	N
homoseksualnost	同性	homoseksualnost	同性	N;NOM;FEM;SG	N
alati	ツール	alat	ツール	N;NOM;MASC;PL	N
alati	道具	alat	道具	N;NOM;MASC;PL	N
mode	ファッション	moda	ファッション	N;NOM;FEM;SG	N
izjavu	ステートメント	izjava	ステートメント	N;ACC;FEM;SG	N
izjavu	声明	izjava	声明	N;ACC;FEM;SG	N
mesto	場所	mesto	場所	N;NOM;NEUT;SG	N
mesto	スポット	mesto	スポット	N;NOM;NEUT;SG	N
ulicu	ストリート	ulica	ストリート	N;ACC;FEM;SG	N
ulicu	通り	ulica	通り	N;ACC;FEM;SG	N
kontekst	コンテクスト	kontekst	コンテクスト	N;NOM;MASC;SG	N
kontekst	コンテキスト	kontekst	コンテキスト	N;NOM;MASC;SG	N
dozvola	免許	dozvola	免許	N;NOM;FEM;SG	N
dozvola	ライセンス	dozvola	ライセンス	N;NOM;FEM;SG	N
dozvola	ライセンス	dozvola	ライセンス	N;NOM;FEM;SG	N
dozvola	許可	dozvola	許可	N;NOM;FEM;SG	N
ovce	ヒツジ	ovac	ヒツジ	N;NOM;FEM;PL	N
nafta	石油	nafta	石油	N;NOM;FEM;SG	N
nafta	オイル	nafta	オイル	N;NOM;FEM;SG	N
zvono	ベル	zvono	ベル	N;NOM;NEUT;SG	N
majstori	マスターズ	majstor	マスターズ	N;NOM;MASC;PL	N
nož	ナイフ	nož	ナイフ	N;NOM;MASC;SG	N
svjedoci	証人	svjedok	証人	N;NOM;MASC;PL	N
tragedije	悲劇	tragedija	悲劇	N;NOM;FEM;PL	N
tragedije	悲劇	tragedija	悲劇	N;NOM;FEM;PL	N
bridge	ブリッジ	bridge	ブリッジ	N;NOM;MASC;SG	N
dozvole	ライセンス	dozvola	ライセンス	N;NOM;FEM;PL	N
dozvole	権限	dozvola	権限	N;NOM;FEM;PL	N
programiranje	プログラミング	programiranje	プログラミング	N;NOM;NEUT;SG	N
prizor	現場	prizor	現場	N;NOM;MASC;SG	N
prizor	シーン	prizor	シーン	N;NOM;MASC;SG	N
prizor	場面	prizor	場面	N;NOM;MASC;SG	N
prizor	光景	prizor	光景	N;NOM;MASC;SG	N
trbuh	お	trbuh	お	N;NOM;MASC;SG	N
orijentacija	方向	orijentacija	方向	N;NOM;FEM;SG	N
orijentacija	向き	orijentacija	向き	N;NOM;FEM;SG	N
orijentacija	オリエンテーション	orijentacija	オリエンテーション	N;NOM;FEM;SG	N
kupi	買う	kupiti	買う	V;IMP;SG;2;FIN	V
kupi	購入	kupiti	購入	V;IMP;SG;2;FIN	V
zaposlenika	社員	zaposlenik	社員	N;ACC;MASC;PL	N
zaposlenika	職員	zaposlenik	職員	N;ACC;MASC;PL	N
zaposlenika	社員	zaposlenik	社員	N;ACC;MASC;PL	N
gospodari	諸	gospodar	諸	N;NOM;MASC;PL	N
gospodari	マスターズ	gospodar	マスターズ	N;NOM;MASC;PL	N
uništi	破壊	unište	破壊	V;IMP;SG;2;FIN	V
potrošača	消費者	potrošač	消費者	N;ACC;MASC;SG	N
laser	レーザー	laser	レーザー	N;NOM;MASC;SG	N
parametar	パラメータ	parametar	パラメータ	N;NOM;MASC;SG	N
rektor	総長	rektor	総長	N;NOM;MASC;SG	N
obožavatelji	ファン	obožavatelj	ファン	N;NOM;MASC;PL	N
guma	ラバー	guma	ラバー	N;NOM;FEM;SG	N
guma	ゴム	guma	ゴム	N;NOM;FEM;SG	N
guma	タイヤ	guma	タイヤ	N;NOM;FEM;SG	N
guma	タイヤ	guma	タイヤ	N;NOM;FEM;SG	N
poboljšati	向上	poboljšati	向上	V;NFIN	V
poboljšati	改善	poboljšati	改善	V;NFIN	V
prijatelju	友人	prijatelj	友人	N;DAT;MASC;SG	N
prijatelju	友だち	prijatelj	友だち	N;DAT;MASC;SG	N
prijatelju	友達	prijatelj	友達	N;DAT;MASC;SG	N
vozači	ドライバ	vozač	ドライバ	N;NOM;MASC;PL	N
vozači	ドライバー	vozač	ドライバー	N;NOM;MASC;PL	N
stvorenja	生き物	stvorenje	生き物	N;NOM;NEUT;PL	N
elektroda	電極	elektroda	電極	N;NOM;FEM;SG	N
klinika	クリニック	klinika	クリニック	N;NOM;FEM;SG	N
klinika	診療所	klinika	診療所	N;NOM;FEM;SG	N
zviježđa	星座	zviježđe	星座	N;NOM;NEUT;PL	N
plivanje	水泳	plivanje	水泳	N;NOM;NEUT;SG	N
plivanje	スイミング	plivanje	スイミング	N;NOM;NEUT;SG	N
plivanje	競泳	plivanje	競泳	N;NOM;NEUT;SG	N
plivanje	水泳	plivanje	水泳	N;NOM;NEUT;SG	N
topništvo	大砲	topništvo	大砲	N;NOM;NEUT;SG	N
opasan	危険	opasan	危険	ADJ;NOM;INDF;MASC;SG	ADJ
paviljon	パビリオン	paviljon	パビリオン	N;NOM;MASC;SG	N
kontinentu	大陸	kontinent	大陸	N;DAT;MASC;SG	N
piano	ピアノ	piano	ピアノ	N;NOM;MASC;SG	N
pravosuđa	司法	pravosuđe	司法	N;NOM;NEUT;PL	N
gaze	ガーゼ	gaza	ガーゼ	N;NOM;FEM;PL	N
regent	摂政	regent	摂政	N;NOM;MASC;SG	N
nastavnik	教員	nastavnik	教員	N;NOM;MASC;SG	N
nastavnik	教師	nastavnik	教師	N;NOM;MASC;SG	N
nastavnik	先生	nastavnik	先生	N;NOM;MASC;SG	N
disco	ディスコ	disco	ディスコ	N;NOM;MASC;SG	N
adresu	アドレス	adresa	アドレス	N;ACC;FEM;SG	N
adresu	住所	adresa	住所	N;ACC;FEM;SG	N
zore	夜明け	zora	夜明け	N;NOM;FEM;PL	N
trave	雑草	trava	雑草	N;NOM;FEM;PL	N
tenkove	戦車	tenk	戦車	N;ACC;MASC;PL	N
upravljati	管理	upravljati	管理	V;NFIN	V
danak	朝貢	danak	朝貢	N;NOM;MASC;SG	N
izlaganje	被曝	izlaganje	被曝	N;NOM;NEUT;SG	N
cola	コーラ	col	コーラ	N;NOM;FEM;SG	N
cola	コーラ	col	コーラ	N;NOM;FEM;SG	N
krede	チョーク	kred	チョーク	N;NOM;FEM;PL	N
matematika	数学	matematika	数学	N;NOM;FEM;SG	N
matematika	数学	matematika	数学	N;NOM;FEM;SG	N
sastojak	材料	sastojak	材料	N;NOM;MASC;SG	N
sastojak	食材	sastojak	食材	N;NOM;MASC;SG	N
tamna	暗い	tamna	暗い	ADJ;NOM;DEF;FEM;SG	ADJ
mega	メガ	meg	メガ	N;NOM;MASC;SG	N
triler	スリラー	triler	スリラー	N;NOM;MASC;SG	N
leach	リーチ	leach	リーチ	N;NOM;MASC;SG	N
carevi	皇帝	car	皇帝	N;NOM;MASC;PL	N
juda	ユダ	jud	ユダ	N;NOM;MASC;SG	N
prognoza	予後	prognoza	予後	N;NOM;FEM;SG	N
pristupiti	アクセス	pristupiti	アクセス	V;NFIN	V
slame	ストロー	slama	ストロー	N;NOM;FEM;PL	N
kancelar	宰相	kancelar	宰相	N;NOM;MASC;SG	N
kartica	タブ	kartica	タブ	N;NOM;FEM;SG	N
kartica	カード	kartica	カード	N;NOM;FEM;SG	N
razmišljanje	思考	razmišljanje	思考	N;NOM;NEUT;SG	N
zahvat	プロシージャ	zahvat	プロシージャ	N;NOM;MASC;SG	N
zahvat	手順	zahvat	手順	N;NOM;MASC;SG	N
učinci	エフェクト	učinak	エフェクト	N;NOM;MASC;PL	N
učinci	効果	učinak	効果	N;NOM;MASC;PL	N
kave	コーヒー	kava	コーヒー	N;NOM;FEM;PL	N
mete	ターゲット	meti	ターゲット	N;NOM;FEM;PL	N
predak	先祖	predak	先祖	N;NOM;MASC;SG	N
channel	チャネル	channel	チャネル	N;NOM;MASC;SG	N
channel	チャンネル	channel	チャンネル	N;NOM;MASC;SG	N
channel	海峡	channel	海峡	N;NOM;MASC;SG	N
kostur	スケルトン	kostur	スケルトン	N;NOM;MASC;SG	N
kostur	骨格	kostur	骨格	N;NOM;MASC;SG	N
urana	天王星	uran	天王星	N;GEN;MASC;SG	N
vene	静脈	vena	静脈	N;NOM;FEM;PL	N
prehrana	栄養	prehrana	栄養	N;NOM;FEM;SG	N
prehrana	ダイエット	prehrana	ダイエット	N;NOM;FEM;SG	N
prehrana	献立	prehrana	献立	N;NOM;FEM;SG	N
prehrana	国会	prehrana	国会	N;NOM;FEM;SG	N
sučelje	インターフェース	sučelje	インターフェース	N;NOM;NEUT;SG	N
sučelje	インタフェース	sučelje	インタフェース	N;NOM;NEUT;SG	N
žitarica	シリアル	žitarica	シリアル	N;NOM;FEM;SG	N
kapital	資本	kapital	資本	N;NOM;MASC;SG	N
kapital	首都	kapital	首都	N;NOM;MASC;SG	N
točnost	正確	točnost	正確	N;NOM;FEM;SG	N
točnost	精度	točnost	精度	N;NOM;FEM;SG	N
katastrofe	災害	katastrofa	災害	N;NOM;FEM;PL	N
katastrofe	災害	katastrofa	災害	N;NOM;FEM;PL	N
blizanci	双子	blizanac	双子	N;NOM;MASC;PL	N
epidemija	伝染病	epidemija	伝染病	N;NOM;FEM;SG	N
premijere	初演	premijera	初演	N;NOM;FEM;PL	N
premijere	プレミア	premijera	プレミア	N;NOM;FEM;PL	N
premijere	初演	premijera	初演	N;NOM;FEM;PL	N
nula	ゼロ	nuti	ゼロ	N;NOM;MASC;SG	N
trans	トランス	trans	トランス	N;NOM;MASC;SG	N
trans	トランス	trans	トランス	N;NOM;MASC;SG	N
slab	弱い	slab	弱い	ADJ;NOM;INDF;MASC;SG	ADJ
vektor	ベクトル	vektor	ベクトル	N;NOM;MASC;SG	N
server	サーバ	server	サーバ	N;NOM;MASC;SG	N
server	サーバー	server	サーバー	N;NOM;MASC;SG	N
vozilima	乗り物	vozilo	乗り物	N;DAT;NEUT;PL	N
vozilima	車両	vozilo	車両	N;DAT;NEUT;PL	N
komplikacije	合併	komplikacija	合併	N;NOM;FEM;PL	N
patka	カモ	patak	カモ	N;NOM;FEM;SG	N
patka	ダック	patak	ダック	N;NOM;FEM;SG	N
praznik	祝日	praznik	祝日	N;NOM;MASC;SG	N
praznik	休日	praznik	休日	N;NOM;MASC;SG	N
slap	平手	slap	平手	N;NOM;MASC;SG	N
varijable	変数	varijable	変数	N;NOM;FEM;PL	N
varijable	可変	varijable	可変	N;NOM;FEM;PL	N
varijable	変数	varijable	変数	N;NOM;FEM;PL	N
sreća	幸福	sreća	幸福	N;NOM;FEM;SG	N
osvoji	征服	osvojiti	征服	V;IMP;SG;2;FIN	V
učiteljica	教員	učiteljica	教員	N;NOM;FEM;SG	N
učiteljica	教師	učiteljica	教師	N;NOM;FEM;SG	N
učiteljica	先生	učiteljica	先生	N;NOM;FEM;SG	N
minimum	最低	minimum	最低	N;NOM;MASC;SG	N
minimum	最低	minimum	最低	N;NOM;MASC;SG	N
minimum	最小	minimum	最小	N;NOM;MASC;SG	N
tron	玉座	tron	玉座	N;NOM;MASC;SG	N
biografije	伝記	biografija	伝記	N;NOM;FEM;PL	N
biografije	伝記	biografija	伝記	N;NOM;FEM;PL	N
vruće	熱い	vruć	熱い	ADJ;NOM;DEF;NEUT;SG	ADJ
vruće	暑い	vruć	暑い	ADJ;NOM;DEF;NEUT;SG	ADJ
dim	薄	dim	薄	N;NOM;MASC;SG	N
dim	スモーク	dim	スモーク	N;NOM;MASC;SG	N
rezolucije	解像	rezolucija	解像	N;NOM;FEM;PL	N
rezolucije	解像	rezolucija	解像	N;NOM;FEM;PL	N
kriterije	基準	kriterij	基準	N;ACC;MASC;PL	N
kriterije	条件	kriterij	条件	N;ACC;MASC;PL	N
pjesnici	詩人	pjesnik	詩人	N;NOM;MASC;PL	N
urednica	エディタ	urednica	エディタ	N;NOM;FEM;SG	N
legura	合金	legura	合金	N;NOM;FEM;SG	N
legura	合金	legura	合金	N;NOM;FEM;SG	N
financiranje	財務	financiranje	財務	N;NOM;NEUT;SG	N
financiranje	金融	financiranje	金融	N;NOM;NEUT;SG	N
financiranje	財政	financiranje	財政	N;NOM;NEUT;SG	N
financiranje	ファイナンス	financiranje	ファイナンス	N;NOM;NEUT;SG	N
izbjegavati	避ける	izbjegavati	避ける	V;NFIN	V
kugla	球体	kugao	球体	N;NOM;FEM;SG	N
kugla	球面	kugao	球面	N;NOM;FEM;SG	N
kugla	球形	kugao	球形	N;NOM;FEM;SG	N
kugla	ボール	kugao	ボール	N;NOM;FEM;SG	N
kugla	オーブ	kugao	オーブ	N;NOM;FEM;SG	N
pravda	正義	pravda	正義	N;NOM;FEM;SG	N
korisno	有益	korisno	有益	ADJ;NOM;DEF;NEUT;SG	ADJ
nakita	ジュエリー	nakit	ジュエリー	N;GEN;MASC;SG	N
nakita	宝石	nakit	宝石	N;GEN;MASC;SG	N
nakita	ジュエリー	nakit	ジュエリー	N;GEN;MASC;SG	N
baruna	男爵	baruna	男爵	N;NOM;MASC;SG	N
neznatno	あまり	neznatno	あまり	ADV	ADV
suverenitet	主権	suverenitet	主権	N;NOM;MASC;SG	N
procesor	プロセッサ	procesor	プロセッサ	N;NOM;MASC;SG	N
ruševina	廃墟	ruševina	廃墟	N;NOM;FEM;SG	N
ruševina	遺跡	ruševina	遺跡	N;NOM;FEM;SG	N
vjeran	忠実	vjeran	忠実	ADJ;NOM;MASC;SG	ADJ
ratnik	戦士	ratnik	戦士	N;NOM;MASC;SG	N
ilustracije	挿絵	ilustracija	挿絵	N;NOM;FEM;PL	N
ilustracije	イラスト	ilustracija	イラスト	N;NOM;FEM;PL	N
prijedlozi	おすすめ	prijedlog	おすすめ	N;NOM;MASC;PL	N
kornjače	カメ	kornjača	カメ	N;NOM;FEM;PL	N
face	フェイス	faca	フェイス	N;NOM;FEM;PL	N
vrpce	リボン	vrpca	リボン	N;NOM;FEM;PL	N
titan	チタン	titan	チタン	N;NOM;MASC;SG	N
smeđa	褐色	smeđa	褐色	N;NOM;FEM;SG	N
smeđa	茶色	smeđa	茶色	N;NOM;FEM;SG	N
smeđa	ブラウン	smeđa	ブラウン	N;NOM;FEM;SG	N
predavanje	教本	predavanje	教本	N;NOM;NEUT;SG	N
pacijenti	患者	pacijent	患者	N;NOM;MASC;PL	N
reforma	リフォーム	reforma	リフォーム	N;NOM;FEM;SG	N
entiteta	エンティティ	entitet	エンティティ	N;GEN;MASC;SG	N
entiteta	エンティティ	entitet	エンティティ	N;GEN;MASC;SG	N
entiteta	実体	entitet	実体	N;GEN;MASC;SG	N
intenzitet	輝度	intenzitet	輝度	N;NOM;MASC;SG	N
intenzitet	光度	intenzitet	光度	N;NOM;MASC;SG	N
tezu	テーゼ	teza	テーゼ	N;ACC;FEM;SG	N
tezu	論文	teza	論文	N;ACC;FEM;SG	N
uhvati	キャッチ	uhvati	キャッチ	V;IND;SG;2;PRS;FIN	V
uhvati	キャッチボール	uhvati	キャッチボール	V;IND;SG;2;PRS;FIN	V
misionar	宣教	misionar	宣教	N;NOM;MASC;SG	N
sinove	息子	sin	息子	N;ACC;MASC;PL	N
povrća	野菜	povrće	野菜	N;NOM;NEUT;PL	N
franšize	フランチャイズ	franšiza	フランチャイズ	N;NOM;FEM;SG	N
maslina	オリーブ	maslina	オリーブ	N;NOM;FEM;SG	N
maslina	オリーブ	maslina	オリーブ	N;NOM;FEM;SG	N
prilagoditi	調整	prilagoditi	調整	V;NFIN	V
humor	ユーモア	humor	ユーモア	N;NOM;MASC;SG	N
humor	ユーモア	humor	ユーモア	N;NOM;MASC;SG	N
upozorenja	アラート	upozorenje	アラート	N;NOM;NEUT;PL	N
senator	議員	senator	議員	N;NOM;MASC;SG	N
stockholmu	ストック	stockholm	ストック	N;DAT;MASC;SG	N
betona	コンクリート	beton	コンクリート	N;GEN;MASC;SG	N
boka	側面	bok	側面	N;NOM;FEM;SG	N
povrće	野菜	povrće	野菜	N;NOM;NEUT;SG	N
povrće	野菜	povrće	野菜	N;NOM;NEUT;SG	N
povrće	野菜	povrće	野菜	N;NOM;NEUT;SG	N
koš	バスケット	koš	バスケット	N;NOM;MASC;SG	N
koš	かご	koš	かご	N;NOM;MASC;SG	N
plazme	プラズマ	plazma	プラズマ	N;NOM;FEM;PL	N
truba	トランペット	trubati	トランペット	N;NOM;FEM;SG	N
koza	ヤギ	koza	ヤギ	N;NOM;FEM;SG	N
sklonište	シェルター	sklonište	シェルター	N;NOM;NEUT;SG	N
sklonište	避難所	sklonište	避難所	N;NOM;NEUT;SG	N
varijacija	バリエーション	varijacija	バリエーション	N;NOM;FEM;SG	N
putanja	パス	putanje	パス	N;NOM;NEUT;SG	N
kruha	パン	kruh	パン	N;ACC;MASC;SG	N
klupi	ベンチ	klupa	ベンチ	N;DAT;FEM;SG	N
polo	ポロ	polo	ポロ	N;NOM;MASC;SG	N
ventil	バルブ	ventil	バルブ	N;NOM;MASC;SG	N
ion	イオン	ion	イオン	N;NOM;MASC;SG	N
letova	フライト	let	フライト	N;GEN;MASC;PL	N
cover	表紙	cover	表紙	N;NOM;MASC;SG	N
cover	被覆	cover	被覆	N;NOM;MASC;SG	N
cover	カバー	cover	カバー	N;NOM;MASC;SG	N
negativni	ネガティブ	negativan	ネガティブ	ADJ;NOM;DEF;MASC;SG	ADJ
povelje	チャーター	povelja	チャーター	N;NOM;FEM;PL	N
povelje	憲章	povelja	憲章	N;NOM;FEM;PL	N
povelje	貸切	povelja	貸切	N;NOM;FEM;PL	N
organe	臓器	organ	臓器	N;ACC;MASC;PL	N
organe	機関	organ	機関	N;ACC;MASC;PL	N
simptome	症状	simptom	症状	N;ACC;MASC;PL	N
simptome	徴候	simptom	徴候	N;ACC;MASC;PL	N
kuhinja	キッチン	kuhinja	キッチン	N;NOM;FEM;SG	N
kuhinja	台所	kuhinja	台所	N;NOM;FEM;SG	N
potraga	クエスト	potraga	クエスト	N;NOM;FEM;SG	N
note	注記	note	注記	N;NOM;FEM;PL	N
note	メモ	note	メモ	N;NOM;FEM;PL	N
note	備考	note	備考	N;NOM;FEM;PL	N
note	ノート	note	ノート	N;NOM;FEM;PL	N
udžbenik	教科	udžbenik	教科	N;NOM;MASC;SG	N
vrtovi	庭園	vrt	庭園	N;NOM;MASC;PL	N
aluminij	アルミニウム	aluminij	アルミニウム	N;NOM;MASC;SG	N
aluminij	アルミ	aluminij	アルミ	N;NOM;MASC;SG	N
aluminij	アルミニウム	aluminij	アルミニウム	N;NOM;MASC;SG	N
tonova	音色	ton	音色	N;GEN;MASC;PL	N
domaćinstva	世帯	domaćinstvo	世帯	N;NOM;NEUT;PL	N
domaćinstva	世帯	domaćinstvo	世帯	N;NOM;NEUT;PL	N
putnici	乗客	putnik	乗客	N;NOM;MASC;PL	N
držanje	持株	držanje	持株	N;NOM;NEUT;SG	N
držanje	姿勢	držanje	姿勢	N;NOM;NEUT;SG	N
susjedstvu	近所	susjedstvo	近所	N;DAT;NEUT;SG	N
susjedstvu	近隣	susjedstvo	近隣	N;DAT;NEUT;SG	N
inozemstvo	海外	inozemstvo	海外	N;NOM;NEUT;SG	N
inozemstvo	海外	inozemstvo	海外	N;NOM;NEUT;SG	N
kutija	ボックス	kutija	ボックス	N;NOM;FEM;SG	N
balet	バレエ	balet	バレエ	N;NOM;MASC;SG	N
razum	理由	razum	理由	N;NOM;MASC;SG	N
razum	理性	razum	理性	N;NOM;MASC;SG	N
razgovori	スレッド	razgovor	スレッド	N;NOM;MASC;PL	N
omladinac	若者	omladinac	若者	N;NOM;MASC;SG	N
članstva	会員	članstvo	会員	N;NOM;NEUT;PL	N
predstavljanje	プレゼン	predstavljanje	プレゼン	N;NOM;NEUT;SG	N
predstavljanje	プレゼンテーション	predstavljanje	プレゼンテーション	N;NOM;NEUT;SG	N
potvrda	証明	potvrda	証明	N;NOM;FEM;SG	N
potvrda	証書	potvrda	証書	N;NOM;FEM;SG	N
igračku	おもちゃ	igračka	おもちゃ	N;ACC;FEM;SG	N
inicijative	イニシアチブ	inicijativa	イニシアチブ	N;NOM;FEM;PL	N
menadžment	マネジメント	menadžment	マネジメント	N;NOM;MASC;SG	N
menadžment	マネージメント	menadžment	マネージメント	N;NOM;MASC;SG	N
duhan	タバコ	duhan	タバコ	N;NOM;MASC;SG	N
duhan	たば	duhan	たば	N;NOM;MASC;SG	N
mehanika	力学	mehanika	力学	N;NOM;FEM;SG	N
konzul	領事	konzul	領事	N;NOM;MASC;SG	N
konzul	執政官	konzul	執政官	N;NOM;MASC;SG	N
maske	仮面	maska	仮面	N;NOM;FEM;PL	N
maske	マスク	maska	マスク	N;NOM;FEM;PL	N
maske	マスク	maska	マスク	N;NOM;FEM;PL	N
kvadrata	正方	kvadrat	正方	N;GEN;MASC;SG	N
reper	ラッパー	reper	ラッパー	N;NOM;MASC;SG	N
sljedbenika	フォロワー	sljedbenik	フォロワー	N;ACC;MASC;SG	N
razloge	理由	razlog	理由	N;ACC;MASC;PL	N
bug	バグ	bug	バグ	N;NOM;MASC;SG	N
bug	不具合	bug	不具合	N;NOM;MASC;SG	N
grla	咽喉	grlo	咽喉	N;NOM;FEM;SG	N
čarobnjak	魔法	čarobnjak	魔法	N;NOM;MASC;SG	N
telefon	電話	telefon	電話	N;NOM;MASC;SG	N
telefon	電話	telefon	電話	N;NOM;MASC;SG	N
telefon	電話	telefon	電話	N;NOM;MASC;SG	N
metak	弾丸	metak	弾丸	N;NOM;MASC;SG	N
metak	銃弾	metak	銃弾	N;NOM;MASC;SG	N
jata	群れ	jato	群れ	N;NOM;NEUT;PL	N
prijave	アプリケーション	prijava	アプリケーション	N;NOM;FEM;PL	N
maršal	元帥	maršal	元帥	N;NOM;MASC;SG	N
svečanost	儀式	svečanost	儀式	N;NOM;FEM;SG	N
svečanost	式典	svečanost	式典	N;NOM;FEM;SG	N
