اتھاہ	sedalam	اتھاہ	sedalam		;SG
اپنگ	nonaktif	اپنگ	nonaktif		
اُتار	keturunan	اُتار	keturunan	N;NOM;MASC;SG;3	N;SG
اُتار	kemiringan	اُتار	kemiringan	N;NOM;MASC;SG;3	N;SG
اُتار	lereng	اُتار	lereng	N;NOM;MASC;SG;3	N;SG
اُتار	pengusiran	اُتار	penusiran	N;NOM;MASC;SG;3	N;SG
اُتار	penurunan	اُتار	penturunan	N;NOM;MASC;SG;3	N;SG
اُتار	pengurangan	اُتار	penkurangan	N;NOM;MASC;SG;3	N;SG
اُتار	tolak	اُتار	tolak	N;NOM;MASC;SG;3	N;SG;ACT
اُتارنا	mengungkapkan	اُتار	menungkapkan	V;NFIN;ACT	V;SG;ACT
اُتارنا	ungkapkan	اُتار	ungkapkan	V;NFIN;ACT	V;SG;ACT
اُتارنا	membongkar	اُتار	menbongkar	V;NFIN;ACT	V;SG;ACT
اُتارنا	menyalin	اُتار	mensalin	V;NFIN;ACT	V;SG;ACT
اُتارنا	mengungkapkan	اُتار	menungkapkan	V;NFIN;ACT	V;SG;ACT
اُتارنا	ungkapkan	اُتار	ungkapkan	V;NFIN;ACT	V;SG;ACT
اُتارنا	membongkar	اُتار	menbongkar	V;NFIN;ACT	V;SG;ACT
اُتارنا	menyalin	اُتار	mensalin	V;NFIN;ACT	V;SG;ACT
اُتارنا	turunkan	اُتار	turunkan	V;NFIN;ACT	V;SG;ACT
اُتارنا	rendahkan	اُتار	rendahkan	V;NFIN;ACT	V;SG;ACT
اُترنا	turunlah	اُتر	turun	V;MASC;SG;ACT	V;SG;ACT
اُترنا	kurangi	اُتر	kurangi	V;MASC;SG;ACT	V;SG;ACT
اُترنا	mengurangi	اُتر	menkurangi	V;MASC;SG;ACT	V;SG;ACT
اُترنا	menurun	اُتر	menturun	V;MASC;SG;ACT	V;SG;ACT
اُترنا	berkurang	اُتر	berkurang	V;MASC;SG;ACT	V;SG;ACT
اِتّفاقی	kasual	اِتّفاقی	kasual	ADJ;NOM	ADJ;SG
اُتھلنا	jatuh	اُتھلنا	jatuh	V;SG;NFIN;ACT	V;SG;ACT
اٹکل	tebak	اٹک	tebak		
اٹکلنا	menerka	اٹکل	menterka	V;NFIN;ACT	V;SG;ACT
اٹکنا	berhenti	اٹک	berhenti	V;NFIN;ACT	V;SG;ACT
اُٹھا	bangkit	اُٹھ	bangkit	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;ACT
اُٹھانا	naikkan	اُٹھا	naikkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھانا	menculik	اُٹھا	menculik	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھانا	culik	اُٹھا	culik	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھانا	menghapus	اُٹھا	menhapus	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھانا	hilangkan	اُٹھا	hilangkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھانا	mencuri	اُٹھا	mencuri	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھانا	curi	اُٹھا	curi	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھتا	menjulang	اُٹھ	menjulang	V;IPFV;MASC;SG;V.PTCP;ACT	V;SG;ACT
اُٹھتا	bangkit	اُٹھ	bangkit	V;IPFV;MASC;SG;V.PTCP;ACT	V;SG;ACT
اُٹھنا	bangkit	اُٹھ	bangkit	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھنا	bangkitlah	اُٹھ	bangkit	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھنا	tinggalkan	اُٹھ	tinggalkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھنا	meninggalkan	اُٹھ	mentinggalkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھنا	memulihkan	اُٹھ	menpulihkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھنا	pulihkan	اُٹھ	pulihkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُٹھنا	membengkak	اُٹھ	menbengkak	V;MASC;SG;NFIN;ACT	V;SG;ACT
اثاثہ	barangnya	اثاثہ	barang	N;NOM;MASC;SG;3	N;SG
اثاثہ	barang	اثاثہ	barang	N;NOM;MASC;SG;3	N;SG
اثاثہ	efek	اثاثہ	efek	N;NOM;MASC;SG;3	N;SG
اثاثہ	harta	اثاثہ	harta	N;NOM;MASC;SG;3	N;SG
اثاثہ	kekayaan	اثاثہ	kekayaan	N;NOM;MASC;SG;3	N;SG
اثاثہ	properti	اثاثہ	properti	N;NOM;MASC;SG;3	N;SG
اثر	efek	اثر	efek	N;NOM;MASC;SG;3	N;SG
اثر	pengaruh	اثر	pengaruh	N;NOM;MASC;SG;3	N;SG
اثر	konsekuensi	اثر	konsekuensi	N;NOM;MASC;SG;3	N;SG
اثرورسوخ	pengaruh	اثرورسوخ	pengaruh	N;NOM;MASC;SG;3	N;SG
اثنا	kali	اثنا	kali	N;NOM;MASC;SG;3	N;SG
اثنا	waktu	اثنا	waktu	N;NOM;MASC;SG;3	N;SG
اثنا	waktunya	اثنا	waktu	N;NOM;MASC;SG;3	N;SG
اثنا	periode	اثنا	periode	N;NOM;MASC;SG;3	N;SG
اثنا	kali	اثنا	kali	N;NOM;MASC;SG;3	N;SG
اثنا	waktu	اثنا	waktu	N;NOM;MASC;SG;3	N;SG
اثنا	waktunya	اثنا	waktu	N;NOM;MASC;SG;3	N;SG
اثنا	periode	اثنا	periode	N;NOM;MASC;SG;3	N;SG
اُجاڑنا	menghancurkan	اُجاڑنا	menhancurkan	V;SG;NFIN;ACT	V;SG;ACT
اُجاڑنا	hancurkan	اُجاڑنا	hancurkan	V;SG;NFIN;ACT	V;SG;ACT
اُجاڑنا	musnahkan	اُجاڑنا	musnahkan	V;SG;NFIN;ACT	V;SG;ACT
اُجاڑنا	merusak	اُجاڑنا	menrusak	V;SG;NFIN;ACT	V;SG;ACT
اِجازت	sanksi	اِجازت	sanksi	N;NOM;MASC;SG;3	N;SG
اِجازت	ijin	اِجازت	ijin	N;NOM;MASC;SG;3	N;SG
اِجازت	izin	اِجازت	izin	N;NOM;MASC;SG;3	N;SG
اِجازت	kebebasan	اِجازت	kebebasan	N;NOM;MASC;SG;3	N;SG
اِجازت	lisensi	اِجازت	lisensi	N;NOM;MASC;SG;3	N;SG
اُجاگر	manifest	اُجاگر	manifest	N;NOM;MASC;SG;3	N
اُجالنا	mencerahkan	اُجال	mencerahkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اِجتماعی	kolektif	اِجتماعی	kolektif	ADJ	ADJ
اجداد	leluhur	جد	leluhur	N;NOM;MASC;SG;3	N
اجداد	leluhur	جد	leluhur	N;NOM;MASC;SG;3	N
اجر	biaya	اجر	biaya	N;NOM;MASC;SG;3	N;SG
اجر	biayanya	اجر	biaya	N;NOM;MASC;SG;3	N;SG
اجر	upah	اجر	upah	N;NOM;MASC;SG;3	N;SG
اجر	rekrut	اجر	rekrut	N;NOM;MASC;SG;3	N;SG
اجر	ongkos	اجر	ongkos	N;NOM;MASC;SG;3	N;SG
اجر	hadiah	اجر	hadiah	N;NOM;MASC;SG;3	N;SG
اجر	imbalan	اجر	imbalan	N;NOM;MASC;SG;3	N;SG
اجر	pahala	اجر	pahala	N;NOM;MASC;SG;3	N;SG
اجر	pahalanya	اجر	pahala	N;NOM;MASC;SG;3	N;SG
اجر	kompensasi	اجر	kompensasi	N;NOM;MASC;SG;3	N;SG
اجرام	badan	اجرام	badan	N;NOM;MASC;SG;3	N;SG
اجرام	jenazah	اجرام	jenazah	N;NOM;MASC;SG;3	N;SG
اجرام	tubuh	اجرام	tubuh	N;NOM;MASC;SG;3	N;SG
اُجرت	biaya	اُجرت	biaya	N;NOM;MASC;SG;3	N;SG
اُجرت	biayanya	اُجرت	biaya	N;NOM;MASC;SG;3	N;SG
اُجرت	ongkos	اُجرت	ongkos	N;NOM;MASC;SG;3	N;SG
اُجرت	hadiah	اُجرت	hadiah	N;NOM;MASC;SG;3	N;SG
اُجرت	imbalan	اُجرت	imbalan	N;NOM;MASC;SG;3	N;SG
اُجرت	pahala	اُجرت	pahala	N;NOM;MASC;SG;3	N;SG
اُجرت	pahalanya	اُجرت	pahala	N;NOM;MASC;SG;3	N;SG
اُجرت	upah	اُجرت	upah	N;NOM;MASC;SG;3	N;SG
اجزا	unsur	اجزا	unsur	N;NOM;MASC;SG;3	N;SG
اجزا	elemen	اجزا	elemen	N;NOM;MASC;SG;3	N;SG
اجزا	bagian	اجزا	bagian	N;NOM;MASC;SG;3	N;SG
اجزا	onderdil	اجزا	onderdil	N;NOM;MASC;SG;3	N
اجزا	divisi	اجزا	divisi	N;NOM;MASC;SG;3	N;SG
اجزا	pembagian	اجزا	penbagian	N;NOM;MASC;SG;3	N;SG
اجزا	bahan	اجزا	bahan	N;NOM;MASC;SG;3	N;SG
اجزا	porsi	اجزا	porsi	N;NOM;MASC;SG;3	N;SG
اجزا	bagian	اجزا	bagian	N;NOM;MASC;SG;3	N;SG
اجناس	species	جنس	species	N;NOM;MASC;PL;3	N
اجیرن	susah	اجیرن	susah	ADJ	ADJ;SG
اجیرن	sulit	اجیرن	sulit	ADJ	ADJ;SG
اجیرن	sukar	اجیرن	sukar	ADJ	ADJ;SG
اچار	acar	اچار	acar	N;NOM;MASC;SG;3	N;SG
اُچانا	naikkan	اُچا	naikkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُچکنا	merebut	اُچک	menrebut	V;SG;ACT	V;SG;ACT
اُچکنا	ambil	اُچک	ambil	V;SG;ACT	V;SG;ACT
اُچلنا	pisahkan	اُچل	pisahkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُچلنا	memisahkan	اُچل	menpisahkan	V;MASC;SG;NFIN;ACT	V;SG;ACT
اُچھالنا	menyebar	اُچھال	mensebar	V;SG;NFIN;ACT	V;SG;ACT
اُچھالنا	menyebarkan	اُچھال	mensebarkan	V;SG;NFIN;ACT	V;SG;ACT
اُچھالنا	mempromosikannya	اُچھال	menpromosikan	V;SG;NFIN;ACT	V;SG;ACT
اُچھالنا	promosikan	اُچھال	promosikan	V;SG;NFIN;ACT	V;SG;ACT
اُچھالنا	mempromosikan	اُچھال	menpromosikan	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bangkit	اُچھل	bangkit	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bangkitlah	اُچھل	bangkit	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bersuka	اُچھل	bersuka	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bergembiralah	اُچھل	bergembiralah	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bersukacita	اُچھل	bersukacita	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bergembira	اُچھل	bergembira	V;SG;NFIN;ACT	V;SG;ACT
اُچھلنا	bersukacitalah	اُچھل	bersukacitalah	V;SG;NFIN;ACT	V;SG;ACT
احادیث	tradisi	احادیث	tradisi	N;NOM;MASC;SG;3	N;SG
اِحاطہ	sekitarnya	اِحاطہ	sekitar	N;NOM;MASC;SG;3	N
اِحاطہ	batas	اِحاطہ	batas	N;NOM;MASC;SG;3	N;SG
اِحتمالی	hipotetis	اِحتمالی	hipotetis	ADJ	ADJ
اِحتمالی	ragu	اِحتمالی	ragu	ADJ	ADJ;SG
احوال	negara	احوال	negara	N;NOM;MASC;SG;3	N;SG
احوال	keadaan	احوال	keadaan	N;NOM;MASC;SG;3	N;SG
احوال	syarat	احوال	syarat	N;NOM;MASC;SG;3	N;SG
احوال	kondisi	احوال	kondisi	N;NOM;MASC;SG;3	N;SG
احوال	ketentuan	احوال	ketentuan	N;NOM;MASC;SG;3	N;SG
احوال	syarat	احوال	syarat	N;NOM;MASC;SG;3	N;SG
احوال	kondisi	احوال	kondisi	N;NOM;MASC;SG;3	N;SG
احوال	peristiwa	احوال	peristiwa	N;NOM;MASC;SG;3	N;SG
احوال	kegiatan	احوال	kegiatan	N;NOM;MASC;SG;3	N;SG
احوال	event	احوال	event	N;NOM;MASC;SG;3	N
احوال	acara	احوال	acara	N;NOM;MASC;SG;3	N;SG
احوال	insiden	احوال	insiden	N;NOM;MASC;SG;3	N;SG
احیا	keluarga	احیا	keluarga	N;NOM;MASC;SG;3	N;SG
احیا	klan	احیا	klan	N;NOM;MASC;SG;3	N
احیا	suku	احیا	suku	N;NOM;MASC;SG;3	N;SG
احیاناً	kadang	احیاناً	kadang	ADV	ADV
اخبار	peristiwa	اخبار	peristiwa	N;NOM;MASC;SG;3	N;SG
اخبار	kegiatan	اخبار	kegiatan	N;NOM;MASC;SG;3	N;SG
اخبار	event	اخبار	event	N;NOM;MASC;SG;3	N
اخبار	acara	اخبار	acara	N;NOM;MASC;SG;3	N;SG
اخبار	koran	اخبار	koran	N;NOM;MASC;SG;3	N;SG
اخبار	tradisi	اخبار	tradisi	N;NOM;MASC;SG;3	N;SG
اخبار	berita	اخبار	berita	N;NOM;MASC;SG;3	N;SG
اخبار	peristiwa	اخبار	peristiwa	N;NOM;MASC;SG;3	N;SG
اخبار	kegiatan	اخبار	kegiatan	N;NOM;MASC;SG;3	N;SG
اخبار	event	اخبار	event	N;NOM;MASC;SG;3	N
اخبار	acara	اخبار	acara	N;NOM;MASC;SG;3	N;SG
اخبار	koran	اخبار	koran	N;NOM;MASC;SG;3	N;SG
اخبار	tradisi	اخبار	tradisi	N;NOM;MASC;SG;3	N;SG
اخبار	berita	اخبار	berita	N;NOM;MASC;SG;3	N;SG
اُخت	saudari	اُخت	saudari		
اِختباری	percobaan	اِختباری	percobaan	N;NOM;MASC;SG;3	N;SG
اِختباری	eksperimen	اِختباری	eksperimen	N;NOM;MASC;SG;3	N;SG
اِختباری	eksperimental	اِختباری	eksperimental	N;NOM;MASC;SG;3	N
اِختباری	analitik	اِختباری	analitik	N;NOM;MASC;SG;3	N
اِختباریت	empirisme	اِختباریت	empirisme	N;NOM;MASC;SG;3	N
اِختتامی	terakhir	اِختتامی	terakhir	ADJ	ADJ;RL;SG
اِختراع	penemuan	اِختراع	pentemuan	N;NOM;MASC;SG;3	N;SG
اِختراع	inovasi	اِختراع	inovasi	N;NOM;MASC;SG;3	N;SG
اِختراع	ramuan	اِختراع	ramuan	N;NOM;MASC;SG;3	N;SG
اِختراع	kebohongan	اِختراع	kebohongan	N;NOM;MASC;SG;3	N;SG
اِختراع	fabrikasi	اِختراع	fabrikasi	N;NOM;MASC;SG;3	N;SG
اِختراع	pembuatan	اِختراع	penbuatan	N;NOM;MASC;SG;3	N;SG
اِختراع	ciptaan	اِختراع	ciptaan	N;NOM;MASC;SG;3	N;SG
اِختراع	penciptaan	اِختراع	penciptaan	N;NOM;MASC;SG;3	N;SG
اِختراع	kreasi	اِختراع	kreasi	N;NOM;MASC;SG;3	N;SG;ACT
اِختراعی	inovatif	اِختراعی	inovatif	ADJ;NOM	ADJ;SG
اِختصار	kependekan	اِختصار	kependekan	N;NOM;MASC;SG;3	N;SG
اِختصار	singkatan	اِختصار	singkatan	N;NOM;MASC;SG;3	N;SG
اِختصار	rangkuman	اِختصار	rangkuman	N;NOM;MASC;SG;3	N;SG
اِختصار	ringkasan	اِختصار	ringkasan	N;NOM;MASC;SG;3	N;SG
اِختصار	sinopsis	اِختصار	sinopsis	N;NOM;MASC;SG;3	N;SG
اِختصاصی	spesialis	اِختصاصی	spesialis	ADJ;NOM	ADJ;SG
اِختلاط	campuran	اِختلاط	campuran	N;NOM;MASC;SG;3	N;SG
اِختلاط	keintiman	اِختلاط	keintiman	N;NOM;MASC;SG;3	N;SG
اِختلاط	persahabatan	اِختلاط	persahabatan	N;NOM;MASC;SG;3	N;SG
اِختلاط	pertemanan	اِختلاط	pertemanan	N;NOM;MASC;SG;3	N;SG
اِختلاط	antek	اِختلاط	antek	N;NOM;MASC;SG;3	N;SG
اِختلال	penyumbatan	اِختلال	pensumbatan	N;NOM;MASC;SG;3	N;SG
اِختلال	gangguan	اِختلال	gangguan	N;NOM;MASC;SG;3	N;SG
اِختلال	penyimpangan	اِختلال	pensimpangan	N;NOM;MASC;SG;3	N;SG
اِختلال	kelainan	اِختلال	kelainan	N;NOM;MASC;SG;3	N;SG
اِختلال	kebingungan	اِختلال	kebingungan	N;NOM;MASC;SG;3	N;SG
اِختیار	pilihan	اِختیار	pilihan	N;NOM;MASC;SG;3	N;SG
اِختیار	tenaga	اِختیار	tenaga	N;NOM;MASC;SG;3	N;SG
اِختیار	kekuasaan	اِختیار	kekuasaan	N;NOM;MASC;SG;3	N;SG
اِختیار	kekuatan	اِختیار	kekuatan	N;NOM;MASC;SG;3	N;SG
اِختیار	daya	اِختیار	daya	N;NOM;MASC;SG;3	N;SG
اِختیار	pemilu	اِختیار	pemilu	N;NOM;MASC;SG;3	N;SG
اِختیار	yurisdiksi	اِختیار	yurisdiksi	N;NOM;MASC;SG;3	N
اِختیار	kendali	اِختیار	kendali	N;NOM;MASC;SG;3	N;SG
اِختیار	kontrol	اِختیار	kontrol	N;NOM;MASC;SG;3	N;SG;ACT
اِختیار	pengendalian	اِختیار	penkendalian	N;NOM;MASC;SG;3	N;SG
اِختیار	opsi	اِختیار	opsi	N;NOM;MASC;SG;3	N;SG
اِختیار	otoritas	اِختیار	otoritas	N;NOM;MASC;SG;3	N;SG
اِختیار	kewenangan	اِختیار	kewenangan	N;NOM;MASC;SG;3	N;SG
اِختیار	otonomi	اِختیار	otonomi	N;NOM;MASC;SG;3	N;SG
اِختیاری	opsional	اِختیاری	opsional	N;NOM;MASC;SG;3	N
اِختیاری	pilihan	اِختیاری	pilihan	N;NOM;MASC;SG;3	N;SG
اخذ	deduksi	اخذ	deduksi	N;NOM;MASC;SG;3	N
اخذ	ekstraksi	اخذ	ekstraksi	N;NOM;MASC;SG;3	N;SG
اخذ	pencabutan	اخذ	pencabutan	N;NOM;MASC;SG;3	N;SG
اخذ	deduksi	اخذ	deduksi	N;NOM;MASC;SG;3	N
اخراج	pengeluaran	اخراج	penkeluaran	N;NOM;MASC;SG;3	N;SG
اخرف	pikun	اخرف	pikun		
اخلاق	etika	اخلاق	etika	N;NOM;MASC;SG;3	N;SG
اخلاق	etika	اخلاق	etika	N;NOM;MASC;SG;3	N;SG
اخلاق	etiket	اخلاق	etiket	N;NOM;MASC;SG;3	N;SG
اخلاق	kesopanan	اخلاق	kesopanan	N;NOM;MASC;SG;3	N;SG
اخلاق	moral	اخلاق	moral	N;NOM;MASC;SG;3	N;SG
اخلاق	disposisi	اخلاق	disposisi	N;NOM;MASC;SG;3	N;SG
اخلاق	kesopanan	اخلاق	kesopanan	N;NOM;MASC;SG;3	N;SG
اخلاقیات	moralitas	اخلاقیات	moralitas	N;NOM;MASC;PL;3	N
اخلاقیات	moralitas	اخلاقیات	moralitas	N;NOM;MASC;PL;3	N
اخیر	alhasil	اخیر	alhasil		
اخیر	alhasil	اخیر	alhasil		
ادا	postur	ادا	postur	N;NOM;MASC;SG;3	N;SG
ادا	pembayaran	ادا	penbayaran	N;NOM;MASC;SG;3	N;SG
ادا	gaya	ادا	gaya	N;NOM;MASC;SG;3	N;SG
ادا	style	ادا	style	N;NOM;MASC;SG;3	N
ادات	instrumen	ادات	instrumen	N;NOM;MASC;SG;3	N;SG
ادات	perkakas	ادات	perkakas	N;NOM;MASC;SG;3	N;SG
ادات	alat	ادات	alat	N;NOM;MASC;SG;3	N;SG
ادات	peralatan	ادات	peralatan	N;NOM;MASC;SG;3	N;SG
ادات	tools	ادات	tools	N;NOM;MASC;SG;3	N
ادات	artikel	ادات	artikel	N;NOM;MASC;SG;3	N;SG
ادات	alphabet	ادات	alphabet	N;NOM;MASC;SG;3	N
ادات	alfabet	ادات	alfabet	N;NOM;MASC;SG;3	N;SG
ادات	abjad	ادات	abjad	N;NOM;MASC;SG;3	N;SG
ادات	penerapan	ادات	penterapan	N;NOM;MASC;SG;3	N;SG
ادات	huruf	ادات	huruf	N;NOM;MASC;SG;3	N;SG
اِدارت	kompilasi	اِدارت	kompilasi	N;NOM;MASC;SG;3	N;SG
اِدارہ	institusi	اِدارہ	institusi	N;NOM;MASC;SG;3	N;SG
اِدارہ	lembaga	اِدارہ	lembaga	N;NOM;MASC;SG;3	N;SG
اُداسی	melankolis	اُداسی	melankolis	N;NOM;MASC;SG;3	N
اُداسی	pertapa	اُداسی	pertapa	N;NOM;MASC;SG;3	N
اُداسی	kesedihan	اُداسی	kesedihan	N;NOM;MASC;SG;3	N;SG
اُداسی	fakir	اُداسی	fakir	N;NOM;MASC;SG;3	N;SG
اداکار	aktor	اداکار	aktor	N;NOM;MASC;SG;3	N;SG
اداکارہ	aktris	اداکارہ	aktris	N;NOM;MASC;SG;3	N;SG
ادانی	galak	ادانی	galak	ADJ	ADJ;SG
ادائیگی	pemenuhan	ادائیگی	penpenuhan	N;NOM;FEM;SG;3	N;SG
ادائیگی	pembayaran	ادائیگی	penbayaran	N;NOM;FEM;SG;3	N;SG
ادب	sastra	ادب	sastra	N;NOM;MASC;SG;3	N
ادب	etika	ادب	etika	N;NOM;MASC;SG;3	N;SG
ادب	etiket	ادب	etiket	N;NOM;MASC;SG;3	N;SG
ادب	respek	ادب	respek	N;NOM;MASC;SG;3	N;SG
ادب	hormat	ادب	hormat	N;NOM;MASC;SG;3	N;SG
ادب	sastra	ادب	sastra	N;NOM;MASC;SG;3	N
ادب	etika	ادب	etika	N;NOM;MASC;SG;3	N;SG
ادب	etiket	ادب	etiket	N;NOM;MASC;SG;3	N;SG
ادب	kesopanan	ادب	kesopanan	N;NOM;MASC;SG;3	N;SG
ادب	respek	ادب	respek	N;NOM;MASC;SG;3	N;SG
ادب	hormat	ادب	hormat	N;NOM;MASC;SG;3	N;SG
ادرک	jahe	ادرک	jahe	N;NOM;MASC;SG;3	N;SG
ادوات	tools	ادوات	tools	N;NOM;MASC;PL;3	N
ادوار	usia	ادوار	usia	N;NOM;MASC;SG;3	N;SG
ادوار	umur	ادوار	umur	N;NOM;MASC;SG;3	N;SG
ادوار	periode	ادوار	periode	N;NOM;MASC;SG;3	N;SG
ادیب	pengarang	ادیب	penarang	N;NOM;MASC;SG;3	N;SG
ادیب	penulis	ادیب	pentulis	N;NOM;MASC;SG;3	N;SG
ادیب	pembuat	ادیب	penbuat	N;NOM;MASC;SG;3	N;SG
ادیب	pengarang	ادیب	penarang	N;NOM;MASC;SG;3	N;SG
ادیب	penulis	ادیب	pentulis	N;NOM;MASC;SG;3	N;SG
ادیب	pembuat	ادیب	penbuat	N;NOM;MASC;SG;3	N;SG
ادیب	penulis	ادیب	pentulis	N;NOM;MASC;SG;3	N;SG
اُدھڑنا	terurai	اُدھڑنا	terurai	V;NFIN	V;SG;PASS
ادِھکاری	otoritas	ادِھکاری	otoritas	N;NOM;MASC;SG;3	N;SG
ادِھکاری	kewenangan	ادِھکاری	kewenangan	N;NOM;MASC;SG;3	N;SG
ادِھکاری	kepemilikan	ادِھکاری	kepemilikan	N;NOM;MASC;SG;3	N
اذکار	dongeng	اذکار	dongeng	N;NOM;MASC;SG;3	N;SG
اذکار	cerita	اذکار	cerita	N;NOM;MASC;SG;3	N;SG
اذہان	fikiran	اذہان	fikiran	N;NOM;MASC;SG;3	N;SG
اذہان	pikiran	اذہان	pikiran	N;NOM;MASC;SG;3	N;SG
اِرادتاً	sengaja	اِرادتاً	sengaja	ADV	ADV
اِرادتاً	sengaja	اِرادتاً	sengaja	ADV	ADV
اِرادتاً	sengaja	اِرادتاً	sengaja	ADV	ADV
اراضی	bidang	اراضی	bidang	N;NOM;FEM;SG;3	N;SG
اراضی	lapangan	اراضی	lapangan	N;NOM;FEM;SG;3	N;SG
اراضی	medan	اراضی	medan	N;NOM;FEM;SG;3	N;SG
اراضی	kolom	اراضی	kolom	N;NOM;FEM;SG;3	N;SG
اراضی	plot	اراضی	plot	N;NOM;FEM;SG;3	N
اراضی	alur	اراضی	alur	N;NOM;FEM;SG;3	N;SG
اراضی	makar	اراضی	makar	N;NOM;FEM;SG;3	N;SG
اراضی	perkebunan	اراضی	perkebunan	N;NOM;FEM;SG;3	N;SG
اراضی	perumahan	اراضی	penrumahan	N;NOM;FEM;SG;3	N;SG
اراضی	estate	اراضی	estate	N;NOM;FEM;SG;3	N
اِرتحال	pemberangkatan	اِرتحال	penberangkatan	N;NOM;MASC;SG;3	N;SG
اِرتحال	keberangkatan	اِرتحال	keberangkatan	N;NOM;MASC;SG;3	N;SG
اِرتحال	kematian	اِرتحال	kematian	N;NOM;MASC;SG;3	N;SG
اِرتحال	wafatnya	اِرتحال	wafat	N;NOM;MASC;SG;3	N;SG
اردب	sematkan	اردب	sematkan		
ارض	negara	ارض	negara	N;NOM;MASC;SG;3	N;SG
ارض	daratan	ارض	daratan	N;NOM;MASC;SG;3	N;SG
ارض	tanah	ارض	tanah	N;NOM;MASC;SG;3	N;SG
ارضیات	geologi	ارضیات	geologi	N;NOM;MASC;PL;3	N
