sunt	हैं	fi	है	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
apoi	फिर	apoi	फिर	ADV	ADV
grup	ग्रुप	grup	ग्रुप	N;INDF;MASC;SG	N;NOM;MASC;SG;3
grup	समूह	grup	समूह	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	बस्ती	oras	बस्ती	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oras	नगर	oras	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	कस्बा	oras	कस्बा	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	शहर	oras	शहर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	सिटी	oras	सिटी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oras	नगर	oras	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	बस्ती	oras	बस्ती	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oras	नगर	oras	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	कस्बा	oras	कस्बा	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	शहर	oras	शहर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	सिटी	oras	सिटी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oras	नगर	oras	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	बस्ती	oras	बस्ती	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oras	नगर	oras	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	कस्बा	oras	कस्बा	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	शहर	oras	शहर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oras	सिटी	oras	सिटी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
oras	नगर	oras	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
camp	कैम्प	camp	कैम्प	N;INDF;MASC;SG	N;NOM;MASC;SG;3
camp	कैंप	camp	कैंप	N;INDF;MASC;SG	N;NOM;MASC;SG;3
camp	शिविर	camp	शिविर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
camp	फील्ड	camp	फील्ड	N;INDF;MASC;SG	N;NOM;MASC;SG;3
camp	फ़ील्ड	camp	फ़ील्ड	N;INDF;MASC;SG	N;NOM;MASC;SG;3
face	बना	face	बन	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;V.PTCP;ACT
razboi	युद्ध	razboi	युद्ध	N;INDF;MASC;SG	N;NOM;MASC;SG;3
razboi	युद्ध	razboi	युद्ध	N;INDF;MASC;SG	N;NOM;MASC;SG;3
afla	सीख	afla	सीख	V;IND;SG;3;IPFV;FIN	V;FIN;ACT
roman	उपन्यास	roman	उपन्यास	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	बिंदु	punct	बिंदु	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	बिन्दु	punct	बिंदु	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	बिंदु	punct	बिंदु	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	बिन्दु	punct	बिंदु	N;INDF;MASC;SG	N;NOM;MASC;SG;3
punct	पॉइंट	punct	पॉइंट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stat	अवस्था	stat	अवस्था	N;INDF;MASC;SG	N;NOM;FEM;SG;3
stat	स्टेट	stat	स्टेट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stat	स्थिति	stat	स्थिति	N;INDF;MASC;SG	N;NOM;FEM;SG;3
stat	राज्य	stat	राज्य	N;INDF;MASC;SG	N;NOM;MASC;SG;3
atunci	फिर	atunci	फिर	ADV	ADV
film	चलचित्र	film	चलचित्र	N;INDF;MASC;SG	N;NOM;MASC;SG;3
film	फ़िल्म	film	फ़िल्म	N;INDF;MASC;SG	N;NOM;FEM;SG;3
film	मूवी	film	मूवी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;INDF;MASC;SG	N;NOM;FEM;SG;3
film	फ़िल्म	film	फ़िल्म	N;INDF;MASC;SG	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;INDF;MASC;SG	N;NOM;FEM;SG;3
vorbitori	अध्यक्षों	vorbitor	अध्यक्ष	N;INDF;MASC;PL	N;ACC;MASC;PL;3
date	तिथियाँ	dată	तिथी	N;INDF;FEM;PL	N;NOM;FEM;PL;3
decat	than	decat	than		
decat	than	decat	than		
mari	बड़े	mare	बडा	ADJ;INDF;PL	ADJ;NOM;MASC;PL
zile	दिनों	zi	दिन	N;INDF;FEM;PL	N;NOM;MASC;PL;3
club	क्लब	club	क्लब	N;INDF;MASC;SG	N;NOM;MASC;SG;3
nou	नया	nou	नया	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
nou	नई	nou	नया	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
ion	आयन	ion	आयन	N;INDF;MASC;SG	N;NOM;MASC;SG;3
doi	दो	doi	दो	NUM;MASC;PL	NUM
numit	नामित	numit	नामित	ADJ;INDF;MASC;SG	ADJ
descrisa	वर्णित	descrisa	वर्णित	ADJ;DEF;FEM;SG	ADJ
oficial	सरकारी	oficial	सरकारी	ADJ;INDF;MASC;SG	ADJ;NOM
oficial	आधिकारिक	oficial	आधिकारिक	ADJ;INDF;MASC;SG	ADJ
desi	यद्यपि	desi	यद्यपि		
desi	यद्यपि	desi	यद्यपि		
desi	यद्यपि	desi	यद्यपि		
saint	संत	saint	संत	N;INDF;MASC;SG	N;NOM;MASC;SG;3
putin	लिटिल	putin	लिटिल		
inca	स्टिल	inca	स्टिल		
inca	स्टिल	inca	स्टिल		
lemn	लकड़ी	lemn	लकडी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
mod	मोड	mod	मोड	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mod	विधि	mod	विधि	N;INDF;MASC;SG	N;NOM;FEM;SG;3
american	अमरीकी	american	अमरीकी	ADJ;INDF;MASC;SG	ADJ
prezent	वर्तमान	prezent	वर्तमान	N;INDF;MASC;SG	N;NOM;MASC;SG;3
text	पाठ	text	पाठ	N;INDF;MASC;SG	N;NOM;MASC;SG;3
text	टेक्स्ट	text	टेक्स्ट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
http	http	http	http	N	N;NOM;MASC;SG;3
site	साइटें	sită	साइट	N;INDF;FEM;PL	N;NOM;FEM;PL;3
articole	वस्तुएँ	articol	वस्तु	N;INDF;FEM;PL	N;NOM;FEM;PL;3
articole	वस्तुएं	articol	वस्तु	N;INDF;FEM;PL	N;NOM;FEM;PL;3
milioane	लाख	milion	लाख	NUM;INDF;FEM;PL	NUM
sate	गावों	sat	गाव	N;INDF;FEM;PL	N;ACC;MASC;PL;3
sate	गांवों	sat	गांव	N;INDF;FEM;PL	N;NOM;MASC;PL;3
patru	चार	patru	चार	NUM;PL	NUM
tip	प्रकार	tip	प्रकार	N;INDF;MASC;SG	N;NOM;MASC;SG;3
persoane	व्यक्तियों	persoană	व्यक्ति	N;INDF;FEM;PL	N;ACC;MASC;PL;3
persoane	लोग	persoană	लोग	N;INDF;FEM;PL	N;NOM;MASC;PL;3
persoane	लोगों	persoană	लोग	N;INDF;FEM;PL	N;ACC;MASC;PL;3
etc	etc	etc	etc		
etc	इत्यादि	etc	इत्यादि		
exemplu	उदाहरण	exemplu	उदाहरण	N;INDF;MASC;SG	N;NOM;MASC;SG;3
articol	लेख	articol	लेख	N;INDF;MASC;SG	N;NOM;MASC;SG;3
articol	आलेख	articol	आलेख	N;INDF;MASC;SG	N;NOM;MASC;SG;3
jos	नीचे	jos	नीचे	ADV	ADV;NOM;MASC;SG;3
deoarece	क्योंकि	deoarece	क्योंकि	CONJ;POS	CONJ
raport	रिपोर्ट	raport	रिपोर्ट	N;INDF;MASC;SG	N;NOM;FEM;SG;3
raport	रपट	raport	रपट	N;INDF;MASC;SG	N;NOM;FEM;SG;3
diferite	अलग	diferit	अलग	ADJ;INDF;FEM;PL	ADJ
imparat	सम्राट	impara	सम्राट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
imparat	सम्राट	impara	सम्राट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
format	प्रारूप	format	प्रारूप	N;INDF;MASC;SG	N;NOM;MASC;SG;3
format	फ़ॉर्मेट	format	फ़ॉर्मेट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
format	फॉर्मेट	format	फॉर्मेट	N;INDF;MASC;SG	N;NOM;MASC;SG;3
format	स्वरूप	format	स्वरूप	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	प्रदेशाध्यक्ष	presedinte	प्रदेशाध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	अध्यक्ष	presedinte	अध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	चेयरमैन	presedinte	चेयरमैन	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	अध्यक्ष	presedinte	अध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	प्रदेशाध्यक्ष	presedinte	प्रदेशाध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	अध्यक्ष	presedinte	अध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	प्रदेशाध्यक्ष	presedinte	प्रदेशाध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	अध्यक्ष	presedinte	अध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	चेयरमैन	presedinte	चेयरमैन	N;INDF;MASC;SG	N;NOM;MASC;SG;3
presedinte	अध्यक्ष	presedinte	अध्यक्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
oameni	लोग	om	लोग	N;INDF;MASC;PL	N;NOM;MASC;PL;3
oameni	लोगों	om	लोग	N;INDF;MASC;PL	N;ACC;MASC;PL;3
istoric	ऐतिहासिक	istoric	ऐतिहासिक	ADJ;INDF;MASC;SG	ADJ
istoric	ऐतिहासिक	istoric	ऐतिहासिक	ADJ;INDF;MASC;SG	ADJ
team	टीम	team	टीम	N;INDF;MASC;SG	N;NOM;FEM;SG;3
team	टोली	team	टोली	N;INDF;MASC;SG	N;NOM;FEM;SG;3
copii	बच्चों	copil	बच्चा	N;INDF;MASC;PL	N;ACC;MASC;PL;3
copii	बच्चे	copil	बच्चा	N;INDF;MASC;PL	N;NOM;MASC;PL;3
lucru	बात	lucru	बात	N;INDF;MASC;SG	N;NOM;FEM;SG;3
lucru	कार्यालय	lucru	कार्यालय	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	काम	lucru	काम	N;INDF;MASC;SG	N;NOM;MASC;SG;3
lucru	कार्य	lucru	कार्य	N;INDF;MASC;SG	N;NOM;MASC;SG;3
numar	संख्या	numar	संख्या	N;INDF;MASC;SG	N;NOM;FEM;SG;3
numar	नंबर	numar	नंबर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
numar	संख्या	numar	संख्या	N;INDF;MASC;SG	N;NOM;FEM;SG;3
numar	नंबर	numar	नंबर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
vechi	पुरानी	vechi	पुराना	ADJ;INDF;MASC;SG	ADJ;FEM;SG
vechi	पुराना	vechi	पुराना	ADJ;INDF;MASC;SG	ADJ;MASC;SG
limbi	भाषाएँ	limbă	भाषा	N;INDF;FEM;PL	N;NOM;FEM;PL;3
limbi	भाषाएं	limbă	भाषा	N;INDF;FEM;PL	N;NOM;FEM;PL;3
fel	प्रकार	fel	प्रकार	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fotbal	सॉकर	fotbal	सॉकर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fotbal	फुटबॉल	fotbal	फुटबॉल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
fotbal	फुटबाल	fotbal	फुटबाल	N;INDF;MASC;SG	N;NOM;FEM;SG;3
fotbal	फ़ुटबॉल	fotbal	फ़ुटबॉल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
orase	शहरों	oras	शहर	N;INDF;FEM;PL	N;ACC;MASC;PL;3
orase	शहरों	oras	शहर	N;INDF;FEM;PL	N;ACC;MASC;PL;3
orase	कस्बों	oras	कस्बा	N;INDF;FEM;PL	N;ACC;MASC;PL;3
orase	शहरों	oras	शहर	N;INDF;FEM;PL	N;ACC;MASC;PL;3
istorice	ऐतिहासिक	istoric	ऐतिहासिक	ADJ;INDF;FEM;PL	ADJ
titlu	शीर्षक	titlu	शीर्षक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
titlu	शीर्षक	titlu	शीर्षक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
goluri	लक्ष्यों	gol	लक्ष्य	N;INDF;FEM;PL	N;ACC;MASC;PL;3
album	एलबम	album	एलबम	N;INDF;MASC;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mica	छोटी	mic	छोटा	ADJ;DEF;FEM;SG	ADJ;FEM;SG
des	अक्सर	des	अक्सर	ADV	ADV
des	प्रायः	des	प्रायः	ADV	ADV
principal	प्रमुख	principal	प्रमुख	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	प्रधानाचार्य	principal	प्रधानाचार्य	N;INDF;MASC;SG	N;NOM;MASC;SG;3
principal	प्रिंसिपल	principal	प्रिंसिपल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
mici	छोटे	mic	छोटा	ADJ;INDF;PL	ADJ;NOM;MASC;PL
mic	छोटा	mic	छोटा	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mic	छोटी	mic	छोटा	ADJ;INDF;MASC;SG	ADJ;FEM;SG
mic	छोटा	mic	छोटा	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;SG
mic	छोटी	mic	छोटा	ADJ;INDF;MASC;SG	ADJ;FEM;SG
gen	विधा	gen	विधा	N;INDF;MASC;SG	N;NOM;FEM;SG;3
gen	जनरल	gen	जनरल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
com	com	com	com		
importante	महत्वपूर्ण	important	महत्वपूर्ण	ADJ;INDF;FEM;PL	ADJ
aur	सोने	aur	सोना	N;INDF;MASC;SG	N;NOM;MASC;SG;3
local	स्थानीय	local	स्थानीय	ADJ;INDF;MASC;SG	ADJ;NOM
fapt	तथ्य	fapt	तथ्य	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	प्रोफ़ेसर	profesor	प्रोफ़ेसर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	प्रोफेसर	profesor	प्रोफेसर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	प्राध्यापक	profesor	प्राध्यापक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	शिक्षक	profesor	शिक्षक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	अध्यापक	profesor	अध्यापक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
profesor	टीचर	profesor	टीचर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
cinci	पांच	cinci	पांच	NUM;PL	NUM
cinci	पाँच	cinci	पाँच	NUM;PL	NUM
situat	स्थित	situa	स्थित	ADJ;INDF;MASC;SG	ADJ
initial	प्रारंभिक	initial	प्रारंभिक	ADJ;INDF;MASC;SG	ADJ;NOM
descoperitor	discoverer	descoperitor	discoverer	N;INDF;MASC;SG	N;NOM;MASC;SG;3
body	जिस्म	body	जिस्म	N;INDF;MASC;SG	N;NOM;MASC;SG;3
body	बॉडी	body	बॉडी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
body	शरीर	body	शरीर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
imagini	छवियां	imagine	छवी	N;INDF;FEM;PL	N;NOM;FEM;PL;3
imagini	छवियाँ	imagine	छवी	N;INDF;FEM;PL	N;NOM;FEM;PL;3
imagini	छवियाँ	imagine	छवी	N;INDF;FEM;PL	N;NOM;FEM;PL;3
imagini	पिक्चर्स	imagine	पिक्चर	N;INDF;FEM;PL	N;NOM;MASC;PL;3
imagini	तस्वीरें	imagine	तस्वीर	N;INDF;FEM;PL	N;NOM;FEM;PL;3
spune	कह	spune	कह	V;IND;SG;3;PRS;FIN	V;FIN;ACT
succes	सफलता	succes	सफलता	N;INDF;MASC;SG	N;NOM;FEM;SG;3
succes	कामयाबी	succes	कामयाबी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
primar	मेयर	primar	मेयर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
primar	महापौर	primar	महापौर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
primar	प्राथमिक	primar	प्राथमिक	N;INDF;MASC;SG	N;NOM
francez	फ्रांसीसी	francez	फ्रांसीसी	ADJ;INDF;MASC;SG	ADJ;NOM
scriitor	रचनाकार	scriitor	रचनाकार	N;INDF;MASC;SG	N;NOM;MASC;SG;3
scriitor	लेखक	scriitor	लेखक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sur	सुर	sur	सुर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
single	एकल	single	एकल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
xix	xix	xix	xix		
ministru	मंत्री	ministru	मंत्री	N;INDF;MASC;SG	N;NOM;MASC;SG;3
politic	राजनीतिक	politic	राजनीतिक	ADJ;INDF;MASC;SG	ADJ;NOM
publicat	प्रकाशित	publica	प्रकाशित	ADJ;INDF;MASC;SG	ADJ
curs	पाठ्यक्रम	curs	पाठ्यक्रम	N;INDF;MASC;SG	N;NOM;MASC;SG;3
curs	कोर्स	curs	कोर्स	N;INDF;MASC;SG	N;NOM;MASC;SG;3
probabil	शायद	probabil	शायद	ADV	ADV
probabil	संभवतः	probabil	संभवतः	ADV	ADV
sistem	तंत्र	sistem	तंत्र	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sistem	सिस्टम	sistem	सिस्टम	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sistem	तन्त्र	sistem	तन्त्र	N;INDF;MASC;SG	N;NOM;MASC;SG;3
sistem	प्रणाली	sistem	प्रणाली	N;INDF;MASC;SG	N;NOM;FEM;SG;3
politice	राजनीतिक	politic	राजनीतिक	ADJ;INDF;FEM;PL	ADJ;NOM
autor	रचयिता	autor	रचयिता	N;INDF;MASC;SG	N;NOM;MASC;SG;3
autor	लेखक	autor	लेखक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
nivel	स्तर	nivel	स्तर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
top	शीर्ष	top	शीर्ष	N;INDF;MASC;SG	N;NOM;MASC;SG;3
realizat	हासिल	realiza	हासिल	ADJ;INDF;MASC;SG	ADJ
filme	फिल्में	film	फिल्म	N;INDF;FEM;PL	N;NOM;FEM;PL;3
filme	फ़िल्में	film	फ़िल्म	N;INDF;FEM;PL	N;NOM;FEM;PL;3
filme	फिल्मों	film	फिल्म	N;INDF;FEM;PL	N;ACC;FEM;PL;3
city	शहर	city	शहर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
city	सिटी	city	सिटी	N;INDF;MASC;SG	N;NOM;FEM;SG;3
city	नगर	city	नगर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
afluent	उपनदी	afluent	उपनद	N;INDF;MASC;SG	N;NOM;FEM;SG;3
construit	निर्मित	construi	निर्मित	ADJ;INDF;MASC;SG	ADJ
luni	महीनों	lună	महीना	N;INDF;FEM;PL	N;NOM;MASC;PL;3
zone	क्षेत्रों	zonă	क्षेत्र	N;INDF;FEM;PL	N;ACC;MASC;PL;3
radio	रेडियो	radio	रेडियो	N;INDF;MASC;SG	N;NOM;MASC;SG;3
istorica	ऐतिहासिक	istorică	ऐतिहासिक	ADJ;DEF;FEM;SG	ADJ
istorica	ऐतिहासिक	istorică	ऐतिहासिक	ADJ;DEF;FEM;SG	ADJ
monument	स्मारक	monument	स्मारक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
moment	क्षण	moment	क्षण	N;INDF;MASC;SG	N;NOM;MASC;SG;3
moment	पल	moment	पल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
km²	km²	km²	km²		
recensamant	जनगणना	recensamant	जनगणना	N;INDF;MASC;SG	N;NOM;FEM;SG;3
recensamant	जनसांख्यिकी	recensamant	जनसांख्यिकी	N;INDF;MASC;SG	N;NOM;MASC;SG;3
actor	अभिनेता	actor	अभिनेता	N;INDF;MASC;SG	N;NOM;MASC;SG;3
actor	एक्टर	actor	एक्टर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
actor	कर्ता	actor	कर्ता	N;INDF;MASC;SG	N;NOM;MASC;SG;3
veche	पुरानी	vechi	पुराना	ADJ;INDF;FEM;SG	ADJ;FEM;SG
veche	पुराना	vechi	पुराना	ADJ;INDF;FEM;SG	ADJ;MASC;SG
conte	गणना	conte	गणना	N;INDF;MASC;SG	N;NOM;FEM;SG;3
conte	गिनती	conte	गिनती	N;INDF;MASC;SG	N;NOM;FEM;SG;3
specii	प्रजातियां	specie	प्रजाति	N;INDF;FEM;PL	N;NOM;FEM;PL;3
membri	सदस्य	membru	सदस्य	N;INDF;MASC;PL	N;NOM;MASC;PL;3
membri	सदस्यों	membru	सदस्य	N;INDF;MASC;PL	N;ACC;MASC;PL;3
creat	निर्मित	crea	निर्मित	ADJ;INDF;MASC;SG	ADJ
locuri	सीटें	loc	सीट	N;INDF;FEM;PL	N;NOM;FEM;PL;3
locuri	सीटों	loc	सीट	N;INDF;FEM;PL	N;ACC;FEM;PL;3
uri	uri	uri	uri		
produs	उत्पाद	produs	उत्पाद	N;INDF;MASC;SG	N;NOM;MASC;SG;3
declarat	घोषित	declara	घोषित	ADJ;INDF;MASC;SG	ADJ
obicei	आदत	obicei	आदत	N;INDF;MASC;SG	N;NOM;FEM;SG;3
echipe	टीमों	echipă	टीम	N;INDF;FEM;PL	N;ACC;FEM;PL;3
rol	भूमिका	rol	भूमिका	N;INDF;MASC;SG	N;NOM;FEM;SG;3
obtinut	प्राप्त	obtine	प्राप्त	ADJ;INDF;MASC;SG	ADJ
obtinut	हासिल	obtine	हासिल	ADJ;INDF;MASC;SG	ADJ
carti	पुस्तकें	carti	पुस्तक	N;INDF;FEM;PL	N;NOM;FEM;PL;3
carti	पुस्तकों	carti	पुस्तक	N;INDF;FEM;PL	N;ACC;FEM;PL;3
carti	किताबें	carti	किताब	N;INDF;FEM;PL	N;NOM;FEM;PL;3
carti	पुस्तकें	carti	पुस्तक	N;INDF;FEM;PL	N;NOM;FEM;PL;3
carti	पुस्तकों	carti	पुस्तक	N;INDF;FEM;PL	N;ACC;FEM;PL;3
carti	किताबें	carti	किताब	N;INDF;FEM;PL	N;NOM;FEM;PL;3
carti	पुस्तकें	carti	पुस्तक	N;INDF;FEM;PL	N;NOM;FEM;PL;3
carti	पुस्तकों	carti	पुस्तक	N;INDF;FEM;PL	N;ACC;FEM;PL;3
carti	किताबें	carti	किताब	N;INDF;FEM;PL	N;NOM;FEM;PL;3
rock	रॉक	rock	रॉक	N;INDF;MASC;SG	N;NOM;MASC;SG;3
rock	चट्टान	rock	चट्टान	N;INDF;MASC;SG	N;NOM;FEM;SG;3
stil	शैली	stil	शैली	N;INDF;MASC;SG	N;NOM;FEM;SG;3
stil	अंदाज़	stil	अंदाज़	N;INDF;MASC;SG	N;NOM;MASC;SG;3
stil	स्टाइल	stil	स्टाइल	N;INDF;MASC;SG	N;NOM;MASC;SG;3
teatru	थिएटर	teatru	थिएटर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
teatru	सिनेमाघर	teatru	सिनेमाघर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
teatru	रंगमंच	teatru	रंगमंच	N;INDF;MASC;SG	N;NOM;MASC;SG;3
teatru	थिएटर	teatru	थिएटर	N;INDF;MASC;SG	N;NOM;MASC;SG;3
post	पोस्ट	post	पोस्ट	N;INDF;MASC;SG	N;NOM;FEM;SG;3
