اتھاہ	עמוק	اتھاہ	עמוק		
اُچھلنا	לשמוח	اُچھل	שמח	V;SG;NFIN;ACT	V;NFIN;ACT
احادیث	מסורת	احادیث	מסורת	N;NOM;MASC;SG;3	N;FEM;SG
اِحتمالی	סביר	اِحتمالی	סביר	ADJ	ADJ;MASC;SG
اِحتمالی	סבירה	اِحتمالی	סביר	ADJ	ADJ;FEM;SG
اِحتمالی	סביר	اِحتمالی	סביר	ADJ	ADJ;MASC;SG
اِحتمالی	היפותטי	اِحتمالی	היפותטי	ADJ	ADJ;MASC;SG
احثابحثی	קטטה	احثابحثی	קטטה	N	N;FEM;SG
احکام	פקודות	حکم	פקודה	N;NOM;MASC;PL;3	N;FEM;PL
احکام	הזמנות	حکم	הזמנה	N;NOM;MASC;PL;3	N;FEM;PL
احکام	פקודות	حکم	פקודה	N;NOM;MASC;PL;3	N;FEM;PL
احکام	הוראות	حکم	הוראה	N;NOM;MASC;PL;3	N;FEM;PL
احکام	גזירות	حکم	גזירה	N;NOM;MASC;PL;3	N;FEM;PL
احمقانہ	אידיוטי	احمقانہ	אידיוטי	ADJ	ADJ;MASC;SG
احمقانہ	אידיוטי	احمقانہ	אידיוטי	ADJ	ADJ;MASC;SG
احوال	מדינה	احوال	מדינה	N;NOM;MASC;SG;3	N;FEM;SG
احوال	מצב	احوال	מצב	N;NOM;MASC;SG;3	N;MASC;SG
احیاناً	לפעמים	احیاناً	לפעמים	ADV	ADV
احیاناً	לעתים	احیاناً	לעתים	ADV	ADV
اخ	אח	اخ	אח		
اخ	אחי	اخ	אחי		
اِخبات	הצניעות	اِخبہ	הצניעות	N;NOM;MASC;PL;3	N;FEM;PL
اخبار	עיתון	اخبار	עיתון	N;NOM;MASC;SG;3	N;MASC;SG
اخبار	מסורת	اخبار	מסורת	N;NOM;MASC;SG;3	N;FEM;SG
اخبار	עיתון	اخبار	עיתון	N;NOM;MASC;SG;3	N;MASC;SG
اخبار	מסורת	اخبار	מסורת	N;NOM;MASC;SG;3	N;FEM;SG
اِختباری	נסיוני	اِختباری	נסיון	N;NOM;MASC;SG;3	N;MASC;SG
اِختباری	אנליטית	اِختباری	אנליטי	N;NOM;MASC;SG;3	N;FEM;SG
اِختباریت	אמפיריציזם	اِختباریت	אמפיריציזם	N;NOM;MASC;SG;3	N;MASC;SG
اِختتام	סופו	اِختتام	סופה		
اِختتام	קץ	اِختتام	קץ		
اِختتام	קרוב	اِختتام	קרוב		
اِختتام	סגור	اِختتام	סגור		
اِختتامی	אחרונה	اِختتامی	אחרון	ADJ	ADJ;FEM;SG
اِختتامی	אחרונים	اِختتامی	אחרון	ADJ	ADJ;MASC;PL
اِختتامی	אחרון	اِختتامی	אחרון	ADJ	ADJ;MASC;SG
اِختراع	המצאה	اِختراع	המצאה	N;NOM;MASC;SG;3	N;FEM;SG
اِختراع	חדשנות	اِختراع	חדשנות	N;NOM;MASC;SG;3	N;FEM;SG
اِختراع	הבריאה	اِختراع	הבריא	N;NOM;MASC;SG;3	N;FEM;SG
اِختراع	יצירה	اِختراع	יצירה	N;NOM;MASC;SG;3	N;FEM;SG
اِختصار	סיכום	اِختصار	סיכום	N;NOM;MASC;SG;3	N;MASC;SG
اِختلاط	תערובת	اِختلاط	תערובת	N;NOM;MASC;SG;3	N;FEM;SG
اِختلاط	ידידות	اِختلاط	ידידות	N;NOM;MASC;SG;3	N;FEM;SG
اِختلال	הפרעה	اِختلال	הפרעה	N;NOM;MASC;SG;3	N;FEM;SG
اِختلال	בלבול	اِختلال	בלבול	N;NOM;MASC;SG;3	N;MASC;SG
اِختیار	ברירה	اِختیار	ברירה	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	בחירה	اِختیار	בחירה	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	כוח	اِختیار	כוח	N;NOM;MASC;SG;3	N;MASC;SG
اِختیار	עוצמה	اِختیار	עוצמה	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	שיפוט	اِختیار	שיפוט	N;NOM;MASC;SG;3	N;MASC;SG
اِختیار	בקרה	اِختیار	בקרה	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	שליטה	اِختیار	שליטה	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	פיקוח	اِختیار	פיקוח	N;NOM;MASC;SG;3	N;MASC;SG
اِختیار	אפשרות	اِختیار	אפשרות	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	אופציה	اِختیار	אופציה	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	רשות	اِختیار	רשות	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	סמכות	اِختیار	סמכות	N;NOM;MASC;SG;3	N;FEM;SG
اِختیار	אוטונומיה	اِختیار	אוטונומיה	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	נטילת	اخذ	נטילה	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	לקיחת	اخذ	לקיחה	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	ניכוי	اخذ	ניכוי	N;NOM;MASC;SG;3	N;MASC;SG
اخذ	חילוץ	اخذ	חילוץ	N;NOM;MASC;SG;3	N;MASC;SG
اخذ	נטילת	اخذ	נטילה	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	לקיחת	اخذ	לקיחה	N;NOM;MASC;SG;3	N;FEM;SG
اخذ	ניכוי	اخذ	ניכוי	N;NOM;MASC;SG;3	N;MASC;SG
اخراج	הוצאה	اخراج	הוצאה	N;NOM;MASC;SG;3	N;FEM;SG
اخراجات	הוצאות	خرچ	הוצאה	N;NOM;MASC;PL;3	N;FEM;PL
اخرف	סנילי	اخرف	סניל		
اِخفات	חשאיות	اِخفہ	חשאי	N;NOM;MASC;PL;3	N;FEM;PL
اخلاط	ליחה	اخلاط	ליחה	N;NOM;MASC;SG;3	N;FEM;SG
اخلاف	צאצא	اخلاف	צאצא		
اخلاق	האתיקה	اخلاق	האתיק	N;NOM;MASC;SG;3	N;FEM;SG
اخلاق	אתיקה	اخلاق	אתיקה	N;NOM;MASC;SG;3	N;FEM;SG
اخلاق	נימוס	اخلاق	נימוס	N;NOM;MASC;SG;3	N;MASC;SG
اخلاق	אדיבות	اخلاق	אדיבות	N;NOM;MASC;SG;3	N;FEM;SG
اخلاق	מוסר	اخلاق	מוסר	N;NOM;MASC;SG;3	N;MASC;SG
اخلاق	נימוס	اخلاق	נימוס	N;NOM;MASC;SG;3	N;MASC;SG
اخو	אח	اخو	אח		
اخو	אחי	اخو	אחי		
اخی	אח	اخی	אח		
اخی	אחי	اخی	אחי		
اخیر	סופו	اخیر	סופה		
اخیر	קץ	اخیر	קץ		
اخیر	סופו	اخیر	סופה		
اخیر	קץ	اخیر	קץ		
اخیر	סופי	اخیر	סופי		
ادا	יציבה	ادا	יציב	N;NOM;MASC;SG;3	N;FEM;SG
ادا	תנוחה	ادا	תנוחה	N;NOM;MASC;SG;3	N;FEM;SG
ادا	תשלום	ادا	תשלום	N;NOM;MASC;SG;3	N;MASC;SG
ادا	סגנון	ادا	סגנון	N;NOM;MASC;SG;3	N;MASC;SG
ادات	האלפבית	ادات	האלפבית	N;NOM;MASC;SG;3	N;FEM;SG
اِدارہ	מוסד	اِدارہ	מוסד	N;NOM;MASC;SG;3	N;MASC;SG
اُداسی	עצבות	اُداسی	עצבות	N;NOM;MASC;SG;3	N;FEM;SG
اداکار	שחקן	اداکار	שחקן	N;NOM;MASC;SG;3	N;MASC;SG
اداکارہ	שחקנית	اداکارہ	שחקן	N;NOM;MASC;SG;3	N;FEM;SG
ادائیگی	הגשמה	ادائیگی	הגשמה	N;NOM;FEM;SG;3	N;FEM;SG
ادائیگی	תשלום	ادائیگی	תשלום	N;NOM;FEM;SG;3	N;MASC;SG
ادب	ספרות	ادب	ספרות	N;NOM;MASC;SG;3	N;FEM;SG
ادب	אדיבות	ادب	אדיבות	N;NOM;MASC;SG;3	N;FEM;SG
ادب	כבוד	ادب	כבוד	N;NOM;MASC;SG;3	N;MASC;SG
ادب	ספרות	ادب	ספרות	N;NOM;MASC;SG;3	N;FEM;SG
ادب	אדיבות	ادب	אדיבות	N;NOM;MASC;SG;3	N;FEM;SG
ادب	כבוד	ادب	כבוד	N;NOM;MASC;SG;3	N;MASC;SG
اَدل	ניכר	اَدل	ניכר		
ادوات	מכשירים	ادوات	הכשיר	N;NOM;MASC;PL;3	N;MASC;PL
ادوات	כלים	ادوات	כלי	N;NOM;MASC;PL;3	N;MASC;PL
ادوات	כלים	ادوات	כלי	N;NOM;MASC;PL;3	N;MASC;PL
ادوات	נשקים	ادوات	נשק	N;NOM;MASC;PL;3	N;MASC;PL
ادویات	סמים	دوای	סם	N;NOM;MASC;PL;3	N;MASC;PL
ادویات	תרופות	دوای	תרופה	N;NOM;MASC;PL;3	N;FEM;PL
ادویات	תרופות	دوای	תרופה	N;NOM;MASC;PL;3	N;FEM;PL
ادویاتی	רפואי	ادویاتی	רפואי	ADJ;NOM	ADJ;MASC;SG
ادیان	והדתות	ادیان	והדתות	N;NOM;MASC;PL;3	N;FEM;PL
ادیان	דתות	ادیان	דתה	N;NOM;MASC;PL;3	N;FEM;PL
ادیان	הדתות	ادیان	הדתה	N;NOM;MASC;PL;3	N;FEM;PL
ادیب	סופרת	ادیب	סופר	N;NOM;MASC;SG;3	N;FEM;SG
ادیب	סופר	ادیب	סופר	N;NOM;MASC;SG;3	N;MASC;SG
ادیب	סופרת	ادیب	סופר	N;NOM;MASC;SG;3	N;FEM;SG
ادیب	סופר	ادیب	סופר	N;NOM;MASC;SG;3	N;MASC;SG
ادیب	סופר	ادیب	סופר	N;NOM;MASC;SG;3	N;MASC;SG
ادھر	ליפ	ادھر	ליפ		
ادھر	מושהה	ادھر	הושהה		
ادِھکاری	רשות	ادِھکاری	רשות	N;NOM;MASC;SG;3	N;FEM;SG
ادِھکاری	סמכות	ادِھکاری	סמכות	N;NOM;MASC;SG;3	N;FEM;SG
ادِھکاری	בעלות	ادِھکاری	בעלות	N;NOM;MASC;SG;3	N;FEM;SG
اِذن	עזוב	اِذن	עזוב		
اُذن	אוזן	اُذن	אוזן		
اِرادتاً	במתכוון	اِرادتاً	במתכוון	ADV	ADV
اِرادتاً	במכוון	اِرادتاً	במכוון	ADV	ADV
اِرادتاً	במכוון	اِرادتاً	במכוון	ADV	ADV
اِرادی	מכוונת	اِرادی	מכוון	ADJ	ADJ;FEM;SG
اِرادی	מכוון	اِرادی	מכוון	ADJ	ADJ;MASC;SG
اِرادی	מכוונת	اِرادی	מכוון	ADJ	ADJ;FEM;SG
اِرادی	מכוון	اِرادی	מכוון	ADJ	ADJ;MASC;SG
اراضی	שטח	اراضی	שטח	N;NOM;FEM;SG;3	N;MASC;SG
اراضی	שדה	اراضی	שדה	N;NOM;FEM;SG;3	N;MASC;SG
اراضی	מזימה	اراضی	מזימה	N;NOM;FEM;SG;3	N;FEM;SG
اراضی	עלילה	اراضی	עלילה	N;NOM;FEM;SG;3	N;FEM;SG
اراضیات	אדמות	اراضیات	אדמה	N;NOM;MASC;PL;3	N;FEM;PL
ارپن	מתנה	ارپن	מתנה		
اِرتحال	עזיבה	اِرتحال	עזיבה	N;NOM;MASC;SG;3	N;FEM;SG
اِرتحال	מוות	اِرتحال	מוות	N;NOM;MASC;SG;3	N;MASC;SG
اردب	pin	اردب	pin		
ارز	הערך	ارز	הערך		
ارزاں	זולים	ارزاں	זול	N;NOM;MASC;PL;3	N;MASC;PL
اِرشادات	אמרות	اِرشاد	אמר	N;NOM;MASC;PL;3	N;FEM;PL
اِرشادات	פקודות	اِرشاد	פקודה	N;NOM;MASC;PL;3	N;FEM;PL
ارض	מדינה	ارض	מדינה	N;NOM;MASC;SG;3	N;FEM;SG
ارض	ארץ	ارض	ארץ	N;NOM;MASC;SG;3	N;FEM;SG
ارض	אדמה	ارض	אדמה	N;NOM;MASC;SG;3	N;FEM;SG
ارض	ארץ	ارض	ארץ	N;NOM;MASC;SG;3	N;FEM;SG
ارض	קרקע	ارض	קרקע	N;NOM;MASC;SG;3	N;FEM;SG
ارضیات	גיאולוגיה	ارضیات	גיאולוגיה	N;NOM;MASC;PL;3	N
ارکان	רכיבים	رکن	רכיב	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	עמודים	رکن	עמוד	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	העמודים	رکن	העמוד	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	אצילים	رکن	אציל	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	האצילים	رکن	האצילים	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	המרכיבים	رکن	המרכיב	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	רכיבים	رکن	רכיב	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	טורים	رکن	טור	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	עמודים	رکن	עמוד	N;NOM;MASC;PL;3	N;MASC;PL
ارکان	עמודות	رکن	עמוד	N;NOM;MASC;PL;3	N;FEM;PL
ارکان	ראשים	رکن	ראשים	N;NOM;MASC;PL;3	N;MASC;PL
ارمانی	שאפתן	ارمانی	שאפתן	ADJ	ADJ;MASC;SG
ارنب	ארנב	ارنب	ארנב		
اریکہ	כס	اریکہ	כס		
اڑانا	תומך	اڑانا	תמך	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;ACT
اڑانا	התמיכה	اڑانا	התמיך	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;3;PST;ACT
اڑانا	תלבש	اڑانا	תלבש	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;3;FUT;ACT
اڑانا	ללבוש	اڑانا	לבש	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
اُڑنا	להתאדות	اُڑنا	התאדה	V;MASC;SG;NFIN;ACT	V;NFIN
اُڑنا	להתפוצץ	اُڑنا	התפוצץ	V;MASC;SG;NFIN;ACT	V;NFIN
اُڑنا	להמריא	اُڑنا	המריא	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
ازخود	מרצון	ازخود	מרצון		
ازلی	נצחיים	ازلی	נצחי	ADJ	ADJ;MASC;PL
ازواج	בעלים	ازواج	בעלים	N;NOM;MASC;PL;3	N;MASC;PL
اُس	זה	وہ	זה	PRO;NOM;SG;3	PRO;MASC;SG;3
اساس	קרן	اساس	קרן	N;NOM;MASC;SG;3	N;FEM;SG
اساس	בסיס	اساس	בסיס	N;NOM;MASC;SG;3	N;MASC;SG
اساسی	ראשוני	اساسی	ראשוני	ADJ	ADJ;MASC;SG
اساسی	עיקרי	اساسی	עיקרי	ADJ	ADJ;MASC;SG
اساسی	ראשוני	اساسی	ראשוני	ADJ	ADJ;MASC;SG
اساسی	עיקרי	اساسی	עיקרי	ADJ	ADJ;MASC;SG
اساسی	בסיסי	اساسی	בסיסי	ADJ	ADJ;MASC;SG
اساسی	בסיסיים	اساسی	בסיסי	ADJ	ADJ;MASC;PL
اساسی	בסיסיות	اساسی	בסיסי	ADJ	ADJ;FEM;PL
اساطِین	פרסומים	اساطِین	פרסום	N;NOM;MASC;PL;3	N;MASC;PL
اساطِین	פוסטים	اساطِین	פוסט	N;NOM;MASC;PL;3	N;MASC;PL
اساطِین	עמודים	اساطِین	עמוד	N;NOM;MASC;PL;3	N;MASC;PL
اساطِین	העמודים	اساطِین	העמוד	N;NOM;MASC;PL;3	N;MASC;PL
اساطِین	טורים	اساطِین	טור	N;NOM;MASC;PL;3	N;MASC;PL
اساطِین	עמודים	اساطِین	עמוד	N;NOM;MASC;PL;3	N;MASC;PL
اساطِین	עמודות	اساطِین	עמוד	N;NOM;MASC;PL;3	N;FEM;PL
اسباب	סחורות	اسباب	סחורה	N;NOM;MASC;PL;3	N;FEM;PL
اسباب	המניעים	اسباب	המניע	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	מניעים	اسباب	מניע	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	דברים	اسباب	דבר	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	סיבות	اسباب	סיבה	N;NOM;MASC;PL;3	N;FEM;PL
اسباب	מאמרים	اسباب	מאמר	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	רהיטים	اسباب	רהיט	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	משאבים	اسباب	משאב	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	מזוודות	اسباب	מזוודה	N;NOM;MASC;PL;3	N;FEM;PL
اسباب	אמצעים	اسباب	אמצעי	N;NOM;MASC;PL;3	N;MASC;PL
اسباب	סיבות	اسباب	סיבה	N;NOM;MASC;PL;3	N;FEM;PL
اسباق	שיעורים	اسباق	שיעור	N;NOM;MASC;PL;3	N;MASC;PL
اسباق	שיעורי	اسباق	שיעור	N;NOM;MASC;PL;3	N;PSSD;MASC;PL
اُستاد	מורה	اُستاد	מורה	N;NOM;MASC;SG;3	N;MASC;SG
اِستجابت	קבלה	اِستجابت	קבלה	N;NOM;MASC;SG;3	N;FEM;SG
اِستجابت	השלמה	اِستجابت	השלמה	N;NOM;MASC;SG;3	N;FEM;SG
اِستحضار	ספיגה	اِستحضار	ספיגה	N;NOM;MASC;SG;3	N;FEM;SG
اِستحقار	ביזיון	اِستحقار	ביזיון	N;NOM;MASC;SG;3	N;MASC;SG
اِستحکام	יציבות	اِستحکام	יציבות	N;NOM;MASC;SG;3	N;FEM;SG
اِستحکام	כוח	اِستحکام	כוח	N;NOM;MASC;SG;3	N;MASC;SG
اِستحکام	חוזק	اِستحکام	חזק	N;NOM;MASC;SG;3	N;MASC;SG
اِستحکام	עוצמה	اِستحکام	עוצמה	N;NOM;MASC;SG;3	N;FEM;SG
اُستخوانی	עמיד	اُستخوانی	עמיד	ADJ;NOM	ADJ;MASC;SG
اُستخوانی	חזקים	اُستخوانی	חזק	ADJ;NOM	ADJ;MASC;PL
اُستخوانی	חזקה	اُستخوانی	חזק	ADJ;NOM	ADJ;FEM;SG
اُستخوانی	חזק	اُستخوانی	חזק	ADJ;NOM	ADJ;MASC;SG
اُستخوانی	חזקות	اُستخوانی	חזק	ADJ;NOM	ADJ;FEM;PL
استرکاری	ציפוי	استرکاری	ציפוי	N;NOM;MASC;SG;3	N;MASC;SG
اِستشارہ	ייעוץ	اِستشارہ	ייעוץ	N;NOM;MASC;SG;3	N;MASC;SG
اِستشارہ	התייעצות	اِستشارہ	התייעצות	N;NOM;MASC;SG;3	N;FEM;SG
