for	pre	for	pre	ADP	ADP;ACC
august	augusta	august	augusta	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
gang	dobe	gang	dobe	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
gang	čas	gang	čas	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
gang	doba	gang	doba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
forskellige	rôznych	forskellig	rôzny	ADJ;PL	ADJ;GEN;MASC;PL
tid	dobe	tid	dobe	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
tid	čas	tid	čas	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
tid	doba	tid	doba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
januar	januára	januar	január	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
januar	január	januar	január	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
januar	januári	januar	január	N;INDF;MASC+FEM;SG	N;INAN;ESS;MASC;SG
stor	veľké	stor	veľký	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stor	veľká	stor	veľký	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	veľký	stor	veľký	ADJ;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
stor	veľký	stor	veľký	ADJ;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
stor	veľké	stor	veľký	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stor	veľká	stor	veľký	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	skvelé	stor	skvelý	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
hold	podržať	holde	podržať	V;IMP	V;PFV;POS;NFIN
hold	držte	holde	držt	V;IMP	V;IPFV;IMP;PL;2;POS;FIN
hold	držať	holde	držať	V;IMP	V;IPFV;POS;NFIN
når	keď	når	keď	CONJ	CONJ
juni	júni	juni	jún	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
juni	júna	juni	jún	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
kendt	známe	kendt	známy	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
kendt	známa	kendt	známy	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kendt	známym	kendt	známy	ADJ;INDF;SG	ADJ;INS;MASC;SG
kendt	známy	kendt	známy	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
kendt	slávny	kendt	slávny	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
kendt	slávna	kendt	slávny	ADJ;INDF;SG	ADJ;NOM;FEM;SG
før	predtým	før	predtým	ADV	ADV
sogn	farnosti	sogn	farnosť	N;INDF;NEUT;SG	N;DAT;FEM;SG
september	september	september	september	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
september	septembra	september	september	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
september	septembri	september	september	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mest	najviac	mest	veľa	ADV;RL	ADV;RL
april	apríl	april	aprila	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
april	apríla	april	apríl	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
oktober	októbra	oktober	október	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
oktober	október	oktober	október	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
marts	marec	marts	marec	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
marts	marci	marts	marec	N;INDF;MASC+FEM;SG	N;INAN;ESS;MASC;SG
marts	marca	marts	marec	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
marts	marcu	marts	marec	N;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG
marts	pochod	marts	pochod	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
hele	celý	hel	celý	ADJ;DEF;SG	ADJ;INAN;NOM;MASC;SG
hele	celé	hel	celý	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
hele	celá	hel	celý	ADJ;DEF;SG	ADJ;NOM;FEM;SG
juli	júl	juli	júl	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
juli	júla	juli	júla	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
kirke	kostola	kirke	kostol	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
kirke	kostol	kirke	kostol	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
kirke	cirkev	kirke	cirkev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
række	riadok	række	riadok	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
række	rad	række	rad	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
række	riadku	række	riadok	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
derfor	preto	derfor	preto	ADV	ADV
derfor	preto	derfor	preto	ADV	ADV
navn	názov	navn	názov	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
navn	meno	navn	meno	N;INDF;NEUT;SG	N;NOM;NEUT;SG
ofte	často	ofte	často	ADV	ADV
ofte	častokrát	ofte	častokrát	ADV	ADV
ofte	často	ofte	často	ADV	ADV
november	novembri	november	november	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
november	november	november	november	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
november	novembra	november	november	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
december	december	december	december	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
december	decembra	december	december	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
december	decembri	december	december	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
december	decembru	december	december	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
først	najprv	først	najprv	ADV	ADV
mål	cieľ	mål	cieľ	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
mål	target	mål	target	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
mål	cieľ	mål	cieľ	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
mål	cieľ	mål	cieľ	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
mål	gól	mål	gól	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
film	filmy	film	film	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
film	filmov	film	film	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
film	filmy	film	film	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
sidste	posledným	sidste	posledný	ADJ	ADJ;INS;NEUT;SG
sidste	posledný	sidste	posledný	ADJ	ADJ;INAN;NOM;MASC;SG
sidste	posledné	sidste	posledný	ADJ	ADJ;NOM;NEUT;SG
noget	niečo	nogen	niečo	PRO;NEUT;SG	PRO;NOM;NEUT;SG
noget	čosi	nogen	čosi	PRO;NEUT;SG	PRO;NOM;NEUT;SG
gik	išiel	gå	ísť	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gik	išla	gå	ísť	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
gik	šiel	gå	ísť	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gik	kráčal	gå	kráčať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gik	vošiel	gå	vojsť	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
indtil	kým	indtil	kým	CONJ	CONJ
indtil	dokiaľ	indtil	dokiaľ	CONJ	CONJ
februar	februára	februar	február	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
februar	február	februar	február	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
fire	štyroch	fire	štyri	NUM	NUM;ANIM;ACC;MASC;PL
fire	štyria	fire	štyri	NUM	NUM;ANIM;NOM;MASC;PL
fire	štyri	fire	štyri	NUM	NUM;INAN;NOM;MASC;PL
vandt	vyhrali	vinde	vyhrať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
vandt	vyhrala	vinde	vyhrať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
vandt	zvíťazil	vinde	zvíťaziť	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
vandt	vyhral	vinde	vyhrať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
inden	predtým	inden	predtým	ADV	ADV
mindre	menšie	mindre	malý	ADV;CMPR	ADV;CMPR
mindre	menšie	mindre	malý	ADV;CMPR	ADV;CMPR
mindre	menej	mindre	málo	ADV;CMPR	ADV;CMPR
frem	dopredu	frem	dopredu	ADV	ADV
frem	vpred	frem	vpred	ADV	ADV
største	najväčšia	stor	veľký	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
største	najväčší	stor	veľký	ADJ;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
største	najväčší	stor	veľký	ADJ;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
største	najväčšia	stor	veľký	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
hjemmeside	web	hjemmeside	web	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
hjemmeside	webe	hjemmeside	wiaba	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
side	stránke	side	stránka	N;INDF;MASC+FEM;SG	N;DAT;FEM;SG
side	strana	side	strana	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
side	stránka	side	stránka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
side	stránku	side	stránka	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
side	strana	side	strana	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
medlem	členka	medlem	členka	N;INDF;NEUT;SG	N;NOM;FEM;SG
medlem	členom	medlem	člen	N;INDF;NEUT;SG	N;ANIM;INS;MASC;SG
medlem	člena	medlem	člen	N;INDF;NEUT;SG	N;ANIM;ACC;MASC;SG
medlem	poslanec	medlem	poslanec	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
medlem	člen	medlem	člen	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
større	väčšiu	stor	veľký	ADJ;CMPR	ADJ;ACC;CMPR;FEM;SG
større	väčšia	stor	veľký	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	väčší	stor	veľký	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
større	väčšia	stor	veľký	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	väčší	stor	veľký	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
større	väčšia	stor	veľký	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	väčší	stor	veľký	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
spillede	nehral	spille	hrať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
spillede	hralo	spille	hrať	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;POS;PST;V.PTCP
spillede	hrala	spille	hrať	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
spillede	hral	spille	hrať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
spillede	hrali	spille	hrať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
igen	znovu	igen	znovu	ADV	ADV
igen	znova	igen	znova	ADV	ADV
igen	opäť	igen	opäť	ADV	ADV
søn	syna	søn	syn	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
søn	syn	søn	syn	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
søn	synček	søn	synček	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
grund	rozum	grund	rozum	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
grund	príčina	grund	príčina	N;INDF;NEUT;SG	N;NOM;FEM;SG
grund	dôvod	grund	dôvod	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
grund	dovod	grund	dovod	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
tog	trénovať	tage	trénovať	V;IND;PST;FIN;ACT	V;IPFV;POS;NFIN
tog	zobrala	tage	zobrať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
tog	vzal	tage	vziať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
tog	bral	tage	brať	V;IND;PST;FIN;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
amerikansk	americké	amerikansk	americký	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
amerikansk	americká	amerikansk	americký	ADJ;INDF;SG	ADJ;NOM;FEM;SG
amerikansk	americký	amerikansk	americký	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
lille	malá	lille	malý	ADJ;SG	ADJ;NOM;FEM;SG
lille	malý	lille	malý	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
lille	malé	lille	malý	ADJ;SG	ADJ;NOM;NEUT;SG
lille	malá	lille	malý	ADJ;SG	ADJ;NOM;FEM;SG
lille	malé	lille	malý	ADJ;SG	ADJ;NOM;NEUT;SG
lille	malý	lille	malý	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
hvad	čo	hvad	čo	PRO;SG	PRO;NOM;NEUT;SG
nord	sever	nord	sever	N;INDF	N;INAN;NOM;MASC;SG
nord	severne	nord	severne	N;INDF	N;NOM;FEM;PL
kort	krátka	kort	krátka	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kort	krátky	kort	krátky	ADJ;INDF;SG	ADJ;INAN;NOM;MASC;SG
kort	krátke	kort	krátky	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
artikler	články	artikel	článok	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
artikler	článkov	artikel	článok	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
artikler	predmety	artikel	predmet	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
begyndte	začali	begynde	začať	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;POS;PST;V.PTCP
begyndte	začalo	begynde	začať	V;IND;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
begyndte	začal	begynde	začať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
begyndte	začala	begynde	začať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
begyndte	začal	begynde	začať	V;IND;PST;FIN;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
begyndte	začalo	begynde	začať	V;IND;PST;FIN;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
begyndte	začali	begynde	začať	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;POS;PST;V.PTCP
begyndte	začala	begynde	začať	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
helt	úplne	helt	úplne	ADV	ADV
helt	kompletne	helt	kompletne	ADV	ADV
gange	krát	gang	krát	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
gange	časy	gang	čas	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
bedste	najlepší	god	dobrý	ADJ;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
bedste	najlepšia	god	dobrý	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
døde	mŕtvi	død	mŕtvy	ADJ;PL	ADJ;ANIM;NOM;MASC;PL
tysk	nemecká	tysk	nemecko	ADJ;INDF;SG	ADJ;NOM;FEM;SG
tysk	nemecké	tysk	nemecký	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
