medaljen	medaljen	medalje	medalj	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
speciale	speciale	speciale	special	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
speciale	specialitet	speciale	specialitet	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
løsninger	lösningar	løsning	lösning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
effektive	effektiva	effektiv	effektiv	ADJ;PL	ADJ;NOM;PL
effektive	effektiva	effektiv	effektiv	ADJ;PL	ADJ;NOM;PL
flyvende	flygande	flyvende	flyga	ADJ	ADJ;NOM;PRS;V.PTCP
opvækst	uppfostran	opvækst	uppfostran	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
normer	normer	norm	norm	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
normer	standarder	norm	standard	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
normer	normer	norm	norm	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
dateret	dejtade	dateret	dejta	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
forbedringer	förbättringar	forbedring	förbättring	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
forbedringer	förbättringar	forbedring	förbättring	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
sind	mind	sind	mind	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
sind	sinne	sind	sinna	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
brune	bruna	brune	brun	ADJ;PL	ADJ;NOM;PL
falske	förfalskade	falsk	förfalskad	ADJ;PL	ADJ;NOM;PL;PST;V.PTCP
falske	falska	falsk	falsk	ADJ;PL	ADJ;NOM;PL
falske	falska	falsk	falsk	ADJ;PL	ADJ;NOM;PL
falske	falska	falsk	falsk	ADJ;PL	ADJ;NOM;PL
båret	burit	bære	burit	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
båret	burit	bære	burit	V;INDF;SG;PST;V.PTCP	V;V.CVB;ACT
etaper	etapper	etape	etapp	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
etaper	faser	etape	fas	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
etaper	stadier	etape	stadium	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
etaper	etapper	etape	etapp	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
etaper	faser	etape	fas	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
industrien	industrin	industri	industri	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
rør	vidröra	røre	vidröra	V;IMP	V;IMP;FIN;ACT
valuta	valuta	valuta	valut	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nomineringer	nomineringar	nominering	nominering	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
dialog	dialog	dialog	dialag	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kapital	huvudstad	kapital	huvudstad	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
kapital	capital	kapital	capital	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
kapital	kapital	kapital	kapital	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
annonceret	tillkännagav	annoncere	tillkännagav	V;INDF;SG;PST;V.PTCP	V;IMP;FIN;ACT
annonceret	meddelade	annoncere	meddela	V;INDF;SG;PST;V.PTCP	V;IND;PST;V.PTCP;ACT
dokumentation	dokumentation	dokumentation	dokumentation	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
dømte	dömde	dømme	döma	V;PL;PST;V.PTCP	V;IND;PST;FIN;ACT
dømte	dömde	dømme	döma	V;PL;PST;V.PTCP	V;IND;PST;FIN;ACT
årgang	vintage	årgang	vinta	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
årgang	årgång	årgang	årgång	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
opfylder	uppfyller	opfylde	uppfylla	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
opfylder	möter	opfylde	möta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
opfylder	uppfyller	opfylde	uppfylla	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
besøger	besöker	besøge	besöka	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
etnisk	etniskt	etnisk	etnisk	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
etnisk	etnisk	etnisk	etnisk	ADJ;INDF;SG	ADJ;NOM;INDF;MASC+FEM;SG
etnisk	etniskt	etnisk	etnisk	ADJ;INDF;SG	ADJ;NOM;INDF;NEUT;SG
skjulte	gömde	skjule	göma	V;PL;PST;V.PTCP	V;IND;PST;FIN;ACT
hat	keps	hat	keps	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
hat	mössa	hat	möss	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
hat	hatt	hat	hatt	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
reklamer	annonser	reklame	annons	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
flyder	flyter	flyde	flyta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
flyder	svävar	flyde	sväv	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
forvaltning	management	forvaltning	management	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
forvaltning	ledning	forvaltning	ledning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forvaltning	hantering	forvaltning	hantering	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forvaltning	förvaltning	forvaltning	förvaltning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forvaltning	förvaltning	forvaltning	förvaltning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forvaltning	administration	forvaltning	administration	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forvaltning	styre	forvaltning	styre	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
forvaltning	styrning	forvaltning	styrning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
curling	curling	curling	curling	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
venter	väntar	vente	vänta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
venter	förväntar	vente	förvänta	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
tegne	prenumerera	tegne	prenumerera	V;NFIN;ACT	V;IMP;FIN;ACT
tegne	teckna	tegne	tecken	V;NFIN;ACT	V;IMP;FIN;ACT
tegne	dra	tegne	dra	V;NFIN;ACT	V;IMP;FIN;ACT
tegne	rita	tegne	rita	V;NFIN;ACT	V;IMP;FIN;ACT
tegne	rita	tegne	rita	V;NFIN;ACT	V;IMP;FIN;ACT
tegne	ritar	tegne	rita	V;NFIN;ACT	V;IND;PRS;FIN;ACT
selvbiografi	självbiografi	selvbiografi	självbiografi	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
besøge	besöker	besøge	besöka	V;NFIN;ACT	V;IND;PRS;FIN;ACT
besøge	besöka	besøge	besöka	V;NFIN;ACT	V;IMP;FIN;ACT
introduktion	introduktion	introduktion	introduktion	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
introduktion	inledning	introduktion	inledning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
introduktion	införande	introduktion	införande	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
introduktion	införsel	introduktion	införsel	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
introduktion	introduktion	introduktion	introduktion	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
introduktion	intro	introduktion	intro	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
forstærkninger	förstärkningar	forstærkning	förstärkning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
forstærkninger	förstärkningar	forstærkning	förstärkning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
cello	cello	cello	cello	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
territorier	territorier	territori	territorium	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
svag	svagt	svag	svag	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
svag	klen	svag	kle	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
svag	svag	svag	svag	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
løve	lion	løve	lion	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
løve	lejon	løve	lejon	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sikrer	säkerställer	sikre	säkerställa	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
aftaler	erbjudanden	aftale	erbjudande	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
aftaler	möten	aftale	möt	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
aftaler	utnämningar	aftale	utnämning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
aftaler	överenskommelser	aftale	överenskommelse	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
spænding	spänning	spænding	spänning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
spænding	upphetsning	spænding	upphetsning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
spænding	spänning	spænding	spänning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
spænding	spänt	spænding	spänna	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
spænding	spänning	spænding	spänning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
spænding	spänning	spænding	spänning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kontrakten	kontraktet	kontrakt	kontrakt	N;DEF;MASC+FEM;SG	N;NOM;DEF;NEUT;SG
løsladt	släppts	løsladt	släppa	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
planlægning	planering	planlægning	planering	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
planlægning	programmering	planlægning	programmering	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
ubåde	ubåtar	ubåd	ubåt	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
ubåde	ubåtar	ubåd	ubåt	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
fløjte	flöjt	fløjte	flyja	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
romantiske	romantiska	romantisk	romantisk	ADJ;PL	ADJ;NOM;PL
delstater	delstater	delstat	delstat	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
tykke	tjocka	tyk	tjocka	ADJ;PL	ADJ;NOM;PL
sammenlægning	samgående	sammenlægning	samgående	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sammenlægning	fusion	sammenlægning	fusion	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sammenlægning	sammanslagning	sammenlægning	sammanslagning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sammenlægning	sammanläggning	sammenlægning	sammanläggning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
zoo	djurpark	zoo	djurpark	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
zoo	zoo	zoo	zoo	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
opbakning	uppbackning	opbakning	uppbackning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
indsigt	insikt	indsigt	insikt	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
indsigt	inblick	indsigt	inblick	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
jennifer	jennifer	jennif	jennif	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
glemt	glömde	glemme	glömma	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
meddelelser	anmälningar	meddelelse	anmälning	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
meddelelser	meddelanden	meddelelse	meddelande	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
meddelelser	underrättelser	meddelelse	underrättelse	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
meddelelser	meddelanden	meddelelse	meddelande	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
meddelelser	meddelanden	meddelelse	meddelande	N;INDF;MASC+FEM;PL	N;NOM;INDF;NEUT;PL
meddelelser	kommunikationer	meddelelse	kommunikation	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
tynde	magra	tynd	magon	ADJ;PL	ADJ;NOM;PL
tynde	smala	tynd	smal	ADJ;PL	ADJ;NOM;PL
tynde	tunna	tynd	tun	ADJ;PL	ADJ;NOM;PL
måne	måne	måne	måne	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
måne	moon	måne	moon	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
krydsede	korsade	krydse	korsa	V;IND;PST;FIN;ACT	V;NOM;PST;V.PTCP
regn	regn	regn	regn	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
regn	rain	regn	rain	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nedbør	nederbörd	nedbør	nederbörd	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nedbør	nederbörd	nedbør	nederbörd	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
bibliografi	bibliografi	bibliografi	bibliografi	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kræft	cancer	kræft	cancer	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
strækninger	sträckor	strækning	sträcka	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
strækninger	rader	strækning	rad	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
strækninger	linjer	strækning	linje	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
strækninger	banor	strækning	bana	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
strækninger	sektioner	strækning	sektion	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
malta	malta	malta	malta	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
holck	holck	holck	holck	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
kulturel	kulturellt	kulturel	kulturell	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;NEUT;SG
kulturel	kulturell	kulturel	kulturell	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
dagbog	tidskrift	dagbog	tidskrift	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
dagbog	journal	dagbog	journal	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
dagbog	tidning	dagbog	tidning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
dagbog	dagbok	dagbog	dagbok	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nevø	systerson	nevø	systerson	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
nevø	brorson	nevø	brorson	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
journalister	journalister	journalist	journalist	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
journalister	reportrar	journalist	reportra	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
journalister	journalister	journalist	journalist	N;INDF;MASC+FEM;PL	N;NOM;INDF;MASC+FEM;PL
etage	våning	etage	våning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
etage	golv	etage	golv	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
poesi	poesi	poesi	poesi	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sektion	avsnitt	sektion	avsnitt	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sektion	sektion	sektion	sektion	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
sektion	avdelning	sektion	avdelning	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
mil	mile	mil	mile	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
mil	mil	mil	mil	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
mil	miles	mil	miles	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
mil	mil	mil	mil	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
mil	mil	mil	mil	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
installeret	installerats	installere	installera	V;INDF;SG;PST;V.PTCP	V;V.CVB;PASS
varmt	hett	varm	hett	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
varmt	snygg	varm	snygg	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
varmt	varmt	varm	varm	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
varmt	varm	varm	varm	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
varmt	varmt	varm	varm	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
passere	passera	passere	passera	V;NFIN;ACT	V;IMP;FIN;ACT
ideologi	ideologi	ideologi	ideologi	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
udvalget	kommittén	udvalg	kommitté	N;DEF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
udvalget	utskottet	udvalg	utskott	N;DEF;NEUT;SG	N;NOM;DEF;NEUT;SG
byområde	storstadsregion	byområde	storstadsregion	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
byområde	tätbebyggelse	byområde	tätbebyggelse	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
byområde	tätort	byområde	tätor	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
væske	vätska	væske	vätsk	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
væske	vätska	væske	vätsk	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
konklusion	slutsats	konklusion	slutsats	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
forfatningen	grundlagen	forfatning	grundlag	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
forfatningen	konstitutionen	forfatning	konstitution	N;DEF;MASC+FEM;SG	N;NOM;DEF;MASC+FEM;SG
spørger	frågar	spørge	fråga	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
spørger	frågar	spørge	fråga	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
lejr	camp	lejr	camp	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
stødte	stötte	stod	stötte	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
stødte	mötte	stod	mötte	V;IND;PST;FIN;ACT	V;IND;PST;FIN;ACT
sum	sum	sum	sum	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
sum	summa	sum	summa	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
unikke	unika	unik	unik	ADJ;PL	ADJ;NOM;PL
banks	banks	banks	banks	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
tove	rep	tov	rep	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
xbox	xbox	xbox	xbox	N;INDF;MASC+FEM;SG	N;NOM;INDF;NEUT;SG
skygge	skugga	skygge	skugga	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
skygge	shadow	skygge	shado	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
skygge	skugga	skygge	skugga	N;INDF;MASC+FEM;SG	N;NOM;INDF;MASC+FEM;SG
