daha	više	daha	mnogo	ADV	ADV;CMPR
sağlık	zdravlje	sağlık	zdravlje	N;NOM;SG;3	N;NOM;NEUT;SG
sağlık	zdravlja	sağlık	zdravlje	N;NOM;SG;3	N;NOM;NEUT;SG
sağlık	zdravstvo	sağlık	zdravstvo	N;NOM;SG;3	N;NOM;NEUT;SG
adı	naziv	ad	naziv	N;NOM;SG;3	N;NOM;MASC;SG
adı	ime	ad	ime	N;NOM;SG;3	N;NOM;NEUT;SG
kasım	qasim	kasım	qas		
ama	ali	ama	ali	CONJ	CONJ
ikinci	drugi	ikinci	drugi	ADJ	ADJ;NOM;MASC;SG
ikinci	drugo	ikinci	drugi	ADJ	ADJ;NOM;NEUT;SG
ikinci	druga	ikinci	drugi	ADJ	ADJ;NOM;FEM;SG
içinde	iznutra	içinde	iznutra	ADV	ADV
içinde	unutra	içinde	unutra	ADV	ADV
üniversitesi	fakultet	üniversitesi	fakultet	N;NOM;SG;3	N;NOM;MASC;SG
üniversitesi	sveučilište	üniversitesi	sveučilište	N;NOM;SG;3	N;NOM;NEUT;SG
zaman	vreme	zaman	vreme	N;NOM;SG;3	N;NOM;NEUT;SG
zaman	vrijeme	zaman	vrijeme	N;NOM;SG;3	N;NOM;NEUT;SG
aralık	prosinac	aralık	prosinac	N;NOM;SG;3	N;NOM;MASC;SG
aralık	interval	aralık	interval	N;NOM;SG;3	N;NOM;MASC;SG
yüksek	visok	yüksek	visok	ADJ	ADJ;NOM;INDF;MASC;SG
yüksek	visoka	yüksek	visok	ADJ	ADJ;NOM;DEF;FEM;SG
yüksek	viši	yüksek	visok	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
sadece	samo	sadece	samo	ADV	ADV
sadece	jedino	sadece	jedino	ADV	ADV
sadece	samo	sadece	samo	ADV	ADV
bilgi	info	bilgi	info	N;NOM;SG;3	N;NOM;MASC;SG
bilgi	informacija	bilgi	informacija	N;NOM;SG;3	N;NOM;FEM;SG
bilgi	poznavanje	bilgi	poznavanje	N;NOM;SG;3	N;NOM;NEUT;SG
bilgi	znanje	bilgi	znanje	N;NOM;SG;3	N;NOM;NEUT;SG
devlet	stanje	devlet	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
devlet	država	devlet	država	N;NOM;SG;3	N;NOM;FEM;SG
devlet	vlada	devlet	vlada	N;NOM;SG;3	N;NOM;FEM;SG
üç	tri	üç	tri	NUM	NUM
başladı	počelo	başla	početi	V;PFV;IND;SG;3;POS;PST	V;NEUT;SG;PST;V.PTCP;ACT
küçük	maleno	küçük	malen	ADJ	ADJ;NOM;DEF;NEUT;SG
küçük	male	küçük	mali	ADJ	ADJ;NOM;DEF;FEM;PL
küçük	mali	küçük	mali	ADJ	ADJ;NOM;DEF;MASC;SG
küçük	mala	küçük	mali	ADJ	ADJ;NOM;DEF;FEM;SG
küçük	male	küçük	mali	ADJ	ADJ;NOM;DEF;FEM;PL
küçük	mali	küçük	mali	ADJ	ADJ;NOM;DEF;MASC;SG
kabul	prihvaćanje	kabul	prihvaćanje	N;NOM;SG;3	N;NOM;NEUT;SG
kupası	pehar	kupa	pehar	N;NOM;SG;3	N;NOM;MASC;SG
kupası	šalica	kupa	šalica	N;NOM;SG;3	N;NOM;FEM;SG
kupası	kup	kupa	kup	N;NOM;SG;3	N;NOM;MASC;SG
okulu	skola	okul	skola	N;NOM;SG;3	N;NOM;FEM;SG
okulu	škola	okul	škola	N;NOM;SG;3	N;NOM;FEM;SG
aldı	uzeo	al	uzeti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
aldı	primio	al	primiti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
farklı	drugačiji	farklı	drugačiji	ADJ	ADJ;NOM;DEF;MASC;SG
farklı	drugačija	farklı	drugačiji	ADJ	ADJ;NOM;DEF;FEM;SG
özel	ekskluzivni	özel	ekskluzivan	ADJ	ADJ;NOM;DEF;MASC;SG
özel	privatni	özel	privatan	ADJ	ADJ;NOM;DEF;MASC;SG
özel	posebni	özel	poseban	ADJ	ADJ;NOM;DEF;MASC;SG
özel	poseban	özel	poseban	ADJ	ADJ;NOM;INDF;MASC;SG
özel	posebna	özel	poseban	ADJ	ADJ;NOM;DEF;FEM;SG
özel	prilagođena	özel	prilagoditi	ADJ	ADJ;NOM;DEF;FEM;SG;V.PTCP
biri	neko	biri	neki	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
biri	netko	biri	netko	PRO;NOM;SG;3	PRO;NOM;MASC;3
biri	neko	biri	neki	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
biri	netko	biri	netko	PRO;NOM;SG;3	PRO;NOM;MASC;3
alanı	polje	alan	polje	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	područje	alan	područje	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	oblast	alan	oblast	N;NOM;SG;3	N;NOM;FEM;SG
uzun	visoki	uzun	visok	ADJ	ADJ;NOM;DEF;MASC;SG
uzun	visok	uzun	visok	ADJ	ADJ;NOM;INDF;MASC;SG
uzun	visoka	uzun	visok	ADJ	ADJ;NOM;DEF;FEM;SG
uzun	produženi	uzun	produžiti	ADJ	ADJ;NOM;DEF;MASC;PL;V.PTCP
uzun	viši	uzun	visok	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
elektrik	struja	elektrik	struja	N;NOM;SG;3	N;NOM;FEM;SG
ardından	poslije	ardından	poslije	ADV	ADV
kısa	kraća	kısa	kraća	ADJ	ADJ;NOM;DEF;CMPR;FEM;SG
kısa	kraći	kısa	krat	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
kısa	kratki	kısa	kratka	ADJ	ADJ;NOM;DEF;MASC;SG
kısa	kratka	kısa	kratak	ADJ	ADJ;NOM;DEF;FEM;SG
kişi	osoba	kişi	osoba	N;NOM;SG;3	N;NOM;FEM;SG
olmak	postati	ol	postati	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
el	ruka	el	ruka	N;NOM;SG;3	N;NOM;FEM;SG
gol	jezero	gol	jezero	N;NOM;SG;3	N;NOM;NEUT;SG
gol	gol	gol	gol	N;NOM;SG;3	N;NOM;MASC;SG
gol	cilj	gol	cilj	N;NOM;SG;3	N;NOM;MASC;SG
ödülü	nagradu	ödül	nagrada	N;ACC;SG;3	N;ACC;FEM;SG
yerine	zamjeni	yer	zamjena	N;DAT;SG;3	N;DAT;FEM;SG
gün	dan	gün	dan	N;NOM;SG;3	N;NOM;MASC;SG
süre	vreme	süre	vreme	N;NOM;SG;3	N;NOM;NEUT;SG
süre	vrijeme	süre	vrijeme	N;NOM;SG;3	N;NOM;NEUT;SG
süre	trajanje	süre	trajanje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	trening	eğitim	trening	N;NOM;SG;3	N;NOM;MASC;SG
eğitim	obuka	eğitim	obuka	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	treniranje	eğitim	treniranje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	obrazovanje	eğitim	obrazovanje	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	školovanje	eğitim	školovanje	N;NOM;SG;3	N;NOM;NEUT;SG
az	malo	az	malo	ADV	ADV
az	manje	az	malo	ADV	ADV;CMPR
görev	dužnost	görev	dužnost	N;NOM;SG;3	N;NOM;FEM;SG
görev	zadatak	görev	zadatak	N;NOM;SG;3	N;NOM;MASC;SG
görev	zadatak	görev	zadatak	N;NOM;SG;3	N;NOM;MASC;SG
görev	zadatak	görev	zadatak	N;NOM;SG;3	N;NOM;MASC;SG
görev	misija	görev	misija	N;NOM;SG;3	N;NOM;FEM;SG
yine	ponovo	yine	ponovo	ADV	ADV
yine	opet	yine	opet	ADV	ADV
ekonomisi	ekonomija	ekonomi	ekonomija	N;NOM;SG;3	N;NOM;FEM;SG
ekonomisi	gospodarstvo	ekonomi	gospodarstvo	N;NOM;SG;3	N;NOM;NEUT;SG
telefon	mobitel	telefon	mobitel	N;NOM;SG;3	N;NOM;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;MASC;SG
yeniden	ponovo	yeniden	ponovo	ADV	ADV
yeniden	opet	yeniden	opet	ADV	ADV
savaş	boj	savaş	boj	N;NOM;SG;3	N;NOM;MASC;SG
savaş	bitka	savaş	bitka	N;NOM;SG;3	N;NOM;FEM;SG
savaş	rat	savaş	rat	N;NOM;SG;3	N;NOM;MASC;SG
savaş	borba	savaş	borba	N;NOM;SG;3	N;NOM;FEM;SG
rağmen	unatoč	rağmen	unatoč	ADP	ADP;DAT
bgcolor	bgcolor	bgcolor	bgcolor		
kullanıcı	korisnik	kullanıcı	korisnik	N;NOM;SG;3	N;NOM;MASC;SG
birliği	unija	birlik	unija	N;NOM;SG;3	N;NOM;FEM;SG
birliği	unije	birlik	unija	N;NOM;SG;3	N;NOM;FEM;SG
birliği	sindikat	birlik	sindikat	N;NOM;SG;3	N;NOM;MASC;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
kanalizasyon	kanalizacija	kanalizasyon	kanalizacija	N;NOM;SG;3	N;NOM;FEM;SG
maç	mac	maç	mac	N;NOM;SG;3	N;NOM;MASC;SG
maç	maca	maç	mac	N;NOM;SG;3	N;NOM;FEM;SG
maç	igra	maç	igra	N;NOM;SG;3	N;NOM;FEM;SG
maç	meč	maç	meč	N;NOM;SG;3	N;NOM;MASC;SG
maç	podudaranje	maç	podudaranje	N;NOM;SG;3	N;NOM;NEUT;SG
sıra	redak	sıra	redak	N;NOM;SG;3	N;NOM;MASC;SG
sıra	red	sıra	red	N;NOM;SG;3	N;NOM;MASC;SG
teknik	tehnička	teknik	tehnički	ADJ	ADJ;NOM;DEF;FEM;SG
uygun	prikladno	uygun	prikladno	ADJ	ADJ;NOM;DEF;NEUT;SG
uygun	prikladno	uygun	prikladno	ADJ	ADJ;NOM;DEF;NEUT;SG
uygun	prigodno	uygun	prigodno	ADJ	ADJ;NOM;DEF;NEUT;SG
uygun	pogodno	uygun	pogodno	ADJ	ADJ;NOM;DEF;NEUT;SG
uygun	pogodan	uygun	pogodan	ADJ	ADJ;NOM;INDF;MASC;SG
uygun	prikladno	uygun	prikladno	ADJ	ADJ;NOM;DEF;NEUT;SG
bütün	cijeli	bütün	cijel	ADJ	ADJ;NOM;DEF;MASC;SG
bütün	cijela	bütün	cijel	ADJ	ADJ;NOM;DEF;FEM;SG
bütün	cijele	bütün	cio	ADJ	ADJ;NOM;DEF;FEM;PL
listesi	lista	liste	list	N;NOM;SG;3	N;NOM;FEM;SG
listesi	popis	liste	popis	N;NOM;SG;3	N;NOM;MASC;SG
dört	četiri	dört	četiri	NUM	NUM
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;MASC;SG
bar	šank	bar	šank	N;NOM;SG;3	N;NOM;MASC;SG
bar	pub	bar	pub	N;NOM;SG;3	N;NOM;MASC;SG
sonunda	konačno	sonunda	konačno	ADV	ADV
sonunda	konacno	sonunda	konacno	ADV	ADV
sonunda	napokon	sonunda	napokon	ADV	ADV
onu	njega	o	on	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	ga	o	on	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	nju	o	on	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
birkaç	nekoliko	birkaç	nekoliko	DET	DET
açık	vedro	açık	vedro	ADJ	ADJ;NOM;NEUT;SG
insan	osoba	insan	osoba	N;NOM;SG;3	N;NOM;FEM;SG
insan	covjek	insan	covjek	N;NOM;SG;3	N;NOM;MASC;SG
insan	čovjek	insan	čovjek	N;NOM;SG;3	N;NOM;MASC;SG
insan	čovek	insan	čovek	N;NOM;SG;3	N;NOM;MASC;SG
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;MASC;SG
an	trenutak	an	trenutak	N;NOM;SG;3	N;NOM;MASC;SG
an	moment	an	moment	N;NOM;SG;3	N;NOM;MASC;SG
iş	posao	iş	posao	N;NOM;SG;3	N;NOM;MASC;SG
iş	rad	iş	rad	N;NOM;SG;3	N;NOM;MASC;SG
iş	posao	iş	posao	N;NOM;SG;3	N;NOM;MASC;SG
iş	poslovanje	iş	poslovanje	N;NOM;SG;3	N;NOM;NEUT;SG
iş	posao	iş	posao	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	odjeljak	bölüm	odjeljak	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	sekcija	bölüm	sekcija	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	odjel	bölüm	odjel	N;NOM;SG;3	N;NOM;MASC;SG
güzel	predivno	güzel	predivno	ADJ	ADJ;NOM;DEF;NEUT;SG
güzel	prelijepo	güzel	prelijepo	ADJ	ADJ;NOM;DEF;NEUT;SG
güzel	lijepa	güzel	lijep	ADJ	ADJ;NOM;DEF;FEM;SG
güzel	prekrasna	güzel	prekrasan	ADJ	ADJ;NOM;DEF;FEM;SG
güzel	predivna	güzel	predivan	ADJ	ADJ;NOM;DEF;FEM;SG
güzel	dobar	güzel	dobar	ADJ	ADJ;NOM;INDF;MASC;SG
güzel	lijep	güzel	lijep	ADJ	ADJ;NOM;INDF;MASC;SG
güzel	lijepa	güzel	lijep	ADJ	ADJ;NOM;DEF;FEM;SG
güzel	zgodna	güzel	zgodan	ADJ	ADJ;NOM;DEF;FEM;SG
güzel	divna	güzel	divan	ADJ	ADJ;NOM;DEF;FEM;SG
güzel	divno	güzel	divan	ADJ	ADJ;NOM;DEF;NEUT;SG
çocuk	dečko	çocuk	dečko	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	momak	çocuk	momak	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	dječak	çocuk	dječak	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	klinac	çocuk	klinac	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	djete	çocuk	dijete	N;NOM;SG;3	N;NOM;NEUT;SG
çocuk	dete	çocuk	deti	N;NOM;SG;3	N;NOM;NEUT;SG
çocuk	dijete	çocuk	dijete	N;NOM;SG;3	N;NOM;NEUT;SG
sinema	film	sine	film	N;NOM;SG;3	N;NOM;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;NOM;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;NOM;MASC;SG
ay	mesec	ay	mesec	N;NOM;SG;3	N;NOM;MASC;SG
ay	mjesec	ay	mjesec	N;NOM;SG;3	N;NOM;MASC;SG
ay	mesec	ay	mesec	N;NOM;SG;3	N;NOM;MASC;SG
ay	mjesec	ay	mjesec	N;NOM;SG;3	N;NOM;MASC;SG
imparatorluğu	carstvo	imparatorluk	carstvo	N;NOM;SG;3	N;NOM;NEUT;SG
internet	web	internet	web	N;NOM;SG;3	N;NOM;MASC;SG
internet	internet	internet	internet	N;NOM;SG;3	N;NOM;MASC;SG
tiyatro	drama	tiyatro	drama	N;NOM;SG;3	N;NOM;FEM;SG
tiyatro	teatar	tiyatro	teatar	N;NOM;SG;3	N;NOM;MASC;SG
tiyatro	kazalište	tiyatro	kazalište	N;NOM;SG;3	N;NOM;NEUT;SG
tiyatro	teatar	tiyatro	teatar	N;NOM;SG;3	N;NOM;MASC;SG
tiyatro	kazalište	tiyatro	kazalište	N;NOM;SG;3	N;NOM;NEUT;SG
kazandı	osvojio	kazan	osvojiti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
kazandı	pobijedio	kazan	pobijediti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
kazandı	pobjedio	kazan	pobjediti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
karar	presuda	karar	presuda	N;NOM;SG;3	N;NOM;FEM;SG
karar	odluka	karar	odluka	N;NOM;SG;3	N;NOM;FEM;SG
tarih	spoj	tarih	spoj	N;NOM;SG;3	N;NOM;MASC;SG
tarih	datum	tarih	datum	N;NOM;SG;3	N;NOM;MASC;SG
tarih	povijest	tarih	povijest	N;NOM;SG;3	N;NOM;FEM;SG
tarih	istorija	tarih	istorija	N;NOM;SG;3	N;NOM;FEM;SG
temel	osnovno	temel	osnovno	ADJ	ADJ;NOM;DEF;NEUT;SG
temel	osnovne	temel	osnovan	ADJ	ADJ;NOM;DEF;FEM;PL
temel	osnovni	temel	osnovan	ADJ	ADJ;NOM;DEF;MASC;SG
ünlü	poznat	ünlü	poznat	ADJ	ADJ;NOM;MASC;SG
ünlü	slavni	ünlü	slavan	ADJ	ADJ;NOM;DEF;MASC;SG
ünlü	poznati	ünlü	poznat	ADJ	ADJ;NOM;DEF;MASC;PL
ünlü	poznata	ünlü	poznat	ADJ	ADJ;NOM;DEF;FEM;SG
ünlü	slavan	ünlü	slavan	ADJ	ADJ;NOM;INDF;MASC;SG
ünlü	slavna	ünlü	slavan	ADJ	ADJ;NOM;DEF;FEM;SG
bile	čak	bile	čak	ADV	ADV
sosyal	društven	sosyal	društven	ADJ	ADJ;NOM;INDF;MASC;SG
sosyal	društveni	sosyal	društven	ADJ	ADJ;NOM;DEF;MASC;SG
sosyal	društvena	sosyal	društven	ADJ	ADJ;NOM;DEF;FEM;SG
sosyal	socijalne	sosyal	socijalan	ADJ	ADJ;NOM;DEF;FEM;PL
sosyal	socijalna	sosyal	socijalan	ADJ	ADJ;NOM;DEF;FEM;SG
geldi	stiglo	gel	stići	V;PFV;IND;SG;3;POS;PST	V;NEUT;SG;PST;V.PTCP;ACT
geldi	stigao	gel	stići	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
geldi	stigla	gel	stići	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
oy	glasanje	oy	glasanje	N;NOM;SG;3	N;NOM;NEUT;SG
oy	glasovanje	oy	glasovanje	N;NOM;SG;3	N;NOM;NEUT;SG
oy	glasanje	oy	glasanje	N;NOM;SG;3	N;NOM;NEUT;SG
geniş	široka	geniş	širok	ADJ	ADJ;NOM;DEF;FEM;SG
geniş	širok	geniş	širok	ADJ	ADJ;NOM;INDF;MASC;SG
geniş	široki	geniş	širok	ADJ	ADJ;NOM;DEF;MASC;SG
geniş	široka	geniş	širok	ADJ	ADJ;NOM;DEF;FEM;SG
ev	dom	ev	dom	N;NOM;SG;3	N;NOM;MASC;SG
ev	kuca	ev	kucati	N;NOM;SG;3	N;NOM;FEM;SG
ev	house	ev	house	N;NOM;SG;3	N;NOM;MASC;SG
ev	kuća	ev	kuća	N;NOM;SG;3	N;NOM;FEM;SG
hareket	prijedlog	hareket	prijedlog	N;NOM;SG;3	N;NOM;MASC;SG
bölgesi	regija	bölge	regija	N;NOM;SG;3	N;NOM;FEM;SG
bölgesi	teritorij	bölge	teritorij	N;NOM;SG;3	N;NOM;MASC;SG
sahibi	vlasnica	sahip	vlasnica	N;NOM;SG;3	N;NOM;FEM;SG
sahibi	vlasnik	sahip	vlasnik	N;NOM;SG;3	N;NOM;MASC;SG
bilim	nauka	bilim	nauk	N;NOM;SG;3	N;NOM;FEM;SG
bilim	znanost	bilim	znanost	N;NOM;SG;3	N;NOM;FEM;SG
verdi	dao	ver	dati	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
verdi	dala	ver	dati	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
hiç	nikada	hiç	nikada	ADV	ADV
hiç	nikad	hiç	nikad	ADV	ADV
hiç	ikada	hiç	ikada	ADV	ADV
hiç	ikad	hiç	ikad	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N;NOM;MASC;SG
ifade	iskaz	ifade	iskaz	N;NOM;SG;3	N;NOM;MASC;SG
ifade	priopćenje	ifade	priopćenje	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	izjava	ifade	izjava	N;NOM;SG;3	N;NOM;FEM;SG
ifade	svjedočenje	ifade	svjedočenje	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	svjedočanstvo	ifade	svjedočanstvo	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	iskaz	ifade	iskaz	N;NOM;SG;3	N;NOM;MASC;SG
ifade	izraz	ifade	izraz	N;NOM;SG;3	N;NOM;MASC;SG
ifade	izražavanje	ifade	izražavanje	N;NOM;SG;3	N;NOM;NEUT;SG
şey	stvar	şey	stvar	N;NOM;SG;3	N;NOM;FEM;SG
rapor	izvješće	rapor	izvješće	N;NOM;SG;3	N;NOM;NEUT;SG
rapor	izvještaj	rapor	izvještaj	N;NOM;SG;3	N;NOM;MASC;SG
altı	šest	altı	šest	NUM	NUM
dizi	serija	dizi	serija	N;NOM;SG;3	N;NOM;FEM;SG
dizi	slijed	dizi	slijed	N;NOM;SG;3	N;NOM;MASC;SG
ayrı	odvojeni	ayrı	odvojen	ADJ	ADJ;NOM;DEF;MASC;PL
ayrı	rastavljeni	ayrı	rastaviti	ADJ	ADJ;NOM;DEF;MASC;PL;V.PTCP
ayrı	razdvojeni	ayrı	razdvojen	ADJ	ADJ;NOM;DEF;MASC;PL;V.PTCP
ayrı	odvojeni	ayrı	odvojen	ADJ	ADJ;NOM;DEF;MASC;PL
ayrı	razdvojeni	ayrı	razdvojen	ADJ	ADJ;NOM;DEF;MASC;PL;V.PTCP
şampiyonası	prvenstvo	şampiyon	prvenstvo	N;NOM;SG;3	N;NOM;NEUT;SG
göz	oka	göz	oko	N;NOM;SG;3	N;NOM;NEUT;SG
televizyon	televizija	televizyon	televizija	N;NOM;SG;3	N;NOM;FEM;SG
galatasaray	galatasaray	galatasarayay	galatasaray	N;NOM;SG;3	N;NOM;MASC;SG
galatasaray	liverpool	galatasarayay	liverpool	N;NOM;SG;3	N;NOM;MASC;SG
fenerbahçe	fenerbahce	fenerbahç	fenerbahce	N;NOM;SG;3	N;NOM;MASC;SG
fenerbahçe	fenerbahçe	fenerbahç	fenerbahve	N;NOM;SG;3	N;NOM;MASC;SG
durum	status	durum	status	N;NOM;SG;3	N;NOM;MASC;SG
durum	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durum	situacija	durum	situacija	N;NOM;SG;3	N;NOM;FEM;SG
durum	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durum	uvjet	durum	uvjet	N;NOM;SG;3	N;NOM;MASC;SG
gelenek	tradicija	gelenek	tradicija	N;NOM;SG;3	N;NOM;FEM;SG
yeri	lokaciju	yer	lokacija	N;ACC;SG;3	N;ACC;FEM;SG
al	dobiti	al	dobiti	V;PFV;IMP;SG;2;POS;PRS	V;NFIN
ses	zvuk	ses	zvuk	N;NOM;SG;3	N;NOM;MASC;SG
ses	sound	ses	sound	N;NOM;SG;3	N;NOM;MASC;SG
ses	glas	ses	glas	N;NOM;SG;3	N;NOM;MASC;SG
ses	zvuk	ses	zvuk	N;NOM;SG;3	N;NOM;MASC;SG
ses	buka	ses	buka	N;NOM;SG;3	N;NOM;FEM;SG
ses	količina	ses	količina	N;NOM;SG;3	N;NOM;FEM;SG
ses	volumen	ses	volumen	N;NOM;SG;3	N;NOM;MASC;SG
milli	nacionalni	milli	nacionalan	ADJ	ADJ;NOM;DEF;MASC;SG
milli	nacionalna	milli	nacionalan	ADJ	ADJ;NOM;DEF;FEM;SG
kitap	knjiga	kitap	knjiga	N;NOM;SG;3	N;NOM;FEM;SG
ödülleri	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
ödülleri	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
ödülleri	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
kaldı	preostalo	kal	preostati	V;PFV;IND;SG;3;POS;PST	V;NEUT;SG;PST;V.PTCP;ACT
kaldı	ostala	kal	ostati	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP;ACT
kaldı	ostao	kal	ostati	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
bakanı	ministar	bakan	ministar	N;NOM;SG;3	N;NOM;MASC;SG
bakanı	ministrica	bakan	ministrica	N;NOM;SG;3	N;NOM;FEM;SG
geçti	prošao	geç	proći	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
geçti	položio	geç	položiti	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP;ACT
krallık	kraljevina	krallık	kraljevina	N;NOM;SG;3	N;NOM;FEM;SG
krallık	kraljevstvo	krallık	kraljevstvo	N;NOM;SG;3	N;NOM;NEUT;SG
başkanlığı	predsjedništvo	başkanlık	predsjedništvo	N;NOM;SG;3	N;NOM;NEUT;SG
bakanlığı	ministarstvo	bakanlık	ministarstvo	N;NOM;SG;3	N;NOM;NEUT;SG
