من	از	مِن	از	ADP	ADP
محافظة	مهدیه	مُحَافَظَة	مهدیه	N;NOM;INDF;SG	N;SG
اليمن	یمن	يَمَن	یمن	N;NOM;DEF;SG	N;SG
خارجية	بیرونی	خَارِجِيَّة	None	N;NOM;INDF;SG	N;SG
توقيت	زمانبندی	تَوقِيت	زمانبندی	N;NOM;INDF;SG	N;SG
الصورة	فتو	صُورَة	فتو	N;NOM;DEF;SG	N;SG
الصورة	photo	صُورَة	photo	N;NOM;DEF;SG	N;SG
الصورة	عکس	صُورَة	عکس	N;NOM;DEF;SG	N;SG
الصورة	تصویر	صُورَة	تصویر	N;NOM;DEF;SG	N;SG
الصورة	نگاره	صُورَة	نگاره	N;NOM;DEF;SG	N;SG
الصورة	عکسه	صُورَة	عکسه	N;NOM;DEF;SG	N;SG
الصورة	عکس	صُورَة	عکس	N;NOM;DEF;SG	N;SG
خريطة	نگاشت	خَرِيطَة	نگاشت#گار	N;NOM;INDF;SG	N;SG
خريطة	نقشه	خَرِيطَة	None	N;NOM;INDF;SG	N;SG
فرق	تیمهای	فِرقَة	تیم	N;NOM;INDF;PL	N;PL
قائمة	فهرست	قَائِمَة	فهرست	N;NOM;INDF;SG	N;SG
مقاطعة	شهرستان	مُقَاطَعَة	شهرستان	N;NOM;INDF;SG	N;SG
مقاطعة	کانتی	مُقَاطَعَة	کانت#کان	N;NOM;INDF;SG	N;SG
مقاطعة	ولایت	مُقَاطَعَة	ولایت	N;NOM;INDF;SG	N;SG
مقاطعة	استان	مُقَاطَعَة	استان	N;NOM;INDF;SG	N;SG
مقاطعة	تحریم	مُقَاطَعَة	تحریم	N;NOM;INDF;SG	N;SG
تقسيم	پارتیشن	تَقسِيم	پارتیشن	N;NOM;INDF;SG	N;SG
تقسيم	افراز	تَقسِيم	فرد	N;NOM;INDF;SG	N;SG
تقسيم	شکافتن	تَقسِيم	شکافتن	N;NOM;INDF;SG	N;SG
العالم	جهان	عَالَم	جهان	N;NOM;DEF;SG	N;SG
العالم	دنیا	عَالَم	دنیا	N;NOM;DEF;SG	N;SG
العالم	جهانی	عَالَم	جهانی	N;NOM;DEF;SG	N;SG
العالم	دانشمندی	عَالَم	دانشمندی	N;NOM;DEF;SG	N;SG
العالم	دانشمند	عَالَم	دانشمند	N;NOM;DEF;SG	N;SG
القرن	هورن	قَرن	هورن	N;NOM;DEF;SG	N;SG
القرن	بوق	قَرن	بوق	N;NOM;DEF;SG	N;SG
القرن	شیپور	قَرن	شیپور	N;NOM;DEF;SG	N;SG
القرن	قرن	قَرن	قرن	N;NOM;DEF;SG	N;SG
القرن	قرنه	قَرن	قرنه	N;NOM;DEF;SG	N;SG
القرن	سده	قَرن	سده	N;NOM;DEF;SG	N;SG
الموقع	محل	مَوقِع	محل	N;NOM;DEF;SG	N;SG
الموقع	مکان	مَوقِع	مکان	N;NOM;DEF;SG	N;SG
الثاني	دوم	ثَانِي	دوم	ADJ;NOM;DEF;MASC;SG	ADJ
الثاني	دومی	ثَانِي	None	ADJ;NOM;DEF;MASC;SG	ADJ
القدم	پای	قَدَم	پا	N;NOM;DEF;SG	N;SG
القدم	فوت	قَدَم	فوت	N;NOM;DEF;SG	N;SG
القدم	پیاده	قَدَم	پیاده	N;NOM;DEF;SG	N;SG
القدم	پا	قَدَم	پا	N;NOM;DEF;SG	N;SG
القدم	پایی	قَدَم	پا	N;NOM;DEF;SG	N;SG
القدم	پای	قَدَم	پا	N;NOM;DEF;SG	N;SG
القدم	پاش	قَدَم	پاش	N;NOM;DEF;SG	N;SG
القدم	ساق	قَدَم	None	N;NOM;DEF;SG	N;SG
القدم	پا	قَدَم	پا	N;NOM;DEF;SG	N;SG
منطقة	منطقه	مِنطَقَة	منطقه	N;NOM;INDF;SG	N;SG
منطقة	ناحیه	مِنطَقَة	ناحیه	N;NOM;INDF;SG	N;SG
منطقة	استان	مِنطَقَة	استان	N;NOM;INDF;SG	N;SG
منطقة	منطقۀ	مِنطَقَة	منطقۀ	N;NOM;INDF;SG	N;SG
منطقة	منطقه	مِنطَقَة	منطقه	N;NOM;INDF;SG	N;SG
منطقة	ناحیه	مِنطَقَة	ناحیه	N;NOM;INDF;SG	N;SG
منطقة	بخش	مِنطَقَة	بخش	N;NOM;INDF;SG	N;SG
منطقة	منطقه	مِنطَقَة	منطقه	N;NOM;INDF;SG	N;SG
منطقة	زون	مِنطَقَة	زون	N;NOM;INDF;SG	N;SG
منطقة	منطقه	مِنطَقَة	منطقه	N;NOM;INDF;SG	N;SG
منطقة	مساحت	مِنطَقَة	مساحت	N;NOM;INDF;SG	N;SG
منطقة	ناحیه	مِنطَقَة	ناحیه	N;NOM;INDF;SG	N;SG
الرمز	نماد	رَمز	نماد	N;NOM;DEF;SG	N;SG
الرمز	کد	رَمز	کرد#کن	N;NOM;DEF;SG	N;SG
البلد	کانتری	بَلَد	کان	N;NOM;DEF;SG	N;SG
البلد	کشوری	بَلَد	کشوری	N;NOM;DEF;SG	N;SG
البلد	کشور	بَلَد	کشور	N;NOM;DEF;SG	N;SG
البلد	مملکت	بَلَد	مملکت	N;NOM;DEF;SG	N;SG
البلد	ییلاق	بَلَد	ییلاق	N;NOM;DEF;SG	N;SG
مدن	شهرها	مَدِينَة	شهر	N;NOM;INDF;PL	N;PL
مدن	شهرها	مَدِينَة	شهر	N;NOM;INDF;PL	N;PL
يمكن	میتوانست	أَمكَن	توانست#توان	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;SG;3;PST
نتيجة	نتیجه	نَتِيجَة	نتیجه	N;ACC;INDF;SG	N;SG
نتيجة	حاصل	نَتِيجَة	حاصل	N;ACC;INDF;SG	N;SG
الكلية	کالج	كُلِّيَّة	None	N;NOM;DEF;SG	N;SG
الكلية	دانشکده	كُلِّيَّة	دانشکده	N;NOM;DEF;SG	N;SG
الكلية	دانشگاه	كُلِّيَّة	دانشگاه	N;NOM;DEF;SG	N;SG
الكلية	دانشگاهی	كُلِّيَّة	دانشگاهی	N;NOM;DEF;SG	N;SG
الكلية	کلیه	كُلِّيَّة	کلیه	N;NOM;DEF;SG	N;SG
الكلية	قلوه	كُلِّيَّة	قلوه	N;NOM;DEF;SG	N;SG
ولاية	حالت	وِلَايَة	حالت	N;NOM;INDF;SG	N;SG
ولاية	استیت	وِلَايَة	استیت	N;NOM;INDF;SG	N;SG
ولاية	دولت	وِلَايَة	دولت	N;NOM;INDF;SG	N;SG
ولاية	وضعیت	وِلَايَة	وضعیت	N;NOM;INDF;SG	N;SG
ولاية	ایالت	وِلَايَة	ایالت	N;NOM;INDF;SG	N;SG
العرض	پیشکش	عَرض	پیشکش	N;NOM;DEF;SG	N;SG
العرض	پیشنهاد	عَرض	پیشنهاد	N;NOM;DEF;SG	N;SG
العرض	تقدیم	عَرض	تقدیم	N;NOM;DEF;SG	N;SG
العرض	نمایش	عَرض	نمایش	N;NOM;DEF;SG	N;SG
العرض	عرض	عَرض	عرض	N;NOM;DEF;SG	N;SG
العرض	ارائه	عَرض	ارائه	N;NOM;DEF;SG	N;SG
جامعة	دانشگاه	جَامِعَة	دانشگاه	N;NOM;INDF;SG	N;SG
جامعة	qom	جَامِعَة	qom	N;NOM;INDF;SG	N;SG
المساحة	منطقه	مِسَاحَة	منطقه	N;NOM;DEF;SG	N;SG
المساحة	مساحت	مِسَاحَة	مساحت	N;NOM;DEF;SG	N;SG
المساحة	ناحیه	مِسَاحَة	ناحیه	N;NOM;DEF;SG	N;SG
الطول	ارتفاعی	طُول	ارتفاعی	N;NOM;DEF;SG	N;SG
الطول	بلندی	طُول	بلندی	N;NOM;DEF;SG	N;SG
الطول	ارتفاع	طُول	ارتفاع	N;NOM;DEF;SG	N;SG
الطول	height	طُول	height	N;NOM;DEF;SG	N;SG
الحياة	زندگى	حَيَاة	زندگى	N;NOM;DEF;SG	N;SG
الحياة	زندگی	حَيَاة	زندگی	N;NOM;DEF;SG	N;SG
مصر	مصر	مِصر	مصر	N;NOM;INDF;SG	N;SG
وصلات	پیوندها	وُصلَة	پیوند	N;NOM;INDF;PL	N;PL
وصلات	پیوندهای	وُصلَة	پیوند	N;NOM;INDF;PL	N;PL
المركز	سنتر	مَركَز	سنتر	N;NOM;DEF;SG	N;SG
المركز	مرکزش	مَركَز	مرکزش	N;NOM;DEF;SG	N;SG
المركز	مرکز	مَركَز	مرکز	N;NOM;DEF;SG	N;SG
المركز	سنتر	مَركَز	سنتر	N;NOM;DEF;SG	N;SG
المركز	مرکز	مَركَز	مرکز	N;NOM;DEF;SG	N;SG
مجموعة	گروهبندی	مَجمُوعَة	گروهبندی	N;NOM;INDF;SG	N;SG
مجموعة	گروپ	مَجمُوعَة	گروپ	N;NOM;INDF;SG	N;SG
مجموعة	گروه	مَجمُوعَة	گروه	N;NOM;INDF;SG	N;SG
مجموعة	مجموعۀ	مَجمُوعَة	مجموعۀ	N;NOM;INDF;SG	N;SG
مجموعة	مجموعه	مَجمُوعَة	مجموعه	N;NOM;INDF;SG	N;SG
قرى	روستاها	قَريَة	روستا	N;NOM;INDF;PL	N;PL
قرى	روستاهای	قَريَة	روستا	N;NOM;INDF;PL	N;PL
موقع	محل	مَوقِع	محل	N;NOM;INDF;SG	N;SG
موقع	مکان	مَوقِع	مکان	N;NOM;INDF;SG	N;SG
مكان	محل	مَكَان	محل	N;NOM;INDF;SG	N;SG
مكان	مکانی	مَكَان	مکان	N;NOM;INDF;SG	N;SG
مكان	مکان	مَكَان	مکان	N;NOM;INDF;SG	N;SG
مكان	جای	مَكَان	جا	N;NOM;INDF;SG	N;SG
مكان	جایی	مَكَان	جا	N;NOM;INDF;SG	N;SG
نقاش	بحثش	نِقَاش	بحثش	N;NOM;INDF;SG	N;SG
نقاش	بحث	نِقَاش	بحث	N;NOM;INDF;SG	N;SG
نقاش	مناظره	نِقَاش	مناظره	N;NOM;INDF;SG	N;SG
الثالث	سومین	ثَالِث	سومین	ADJ;NOM;DEF;MASC;SG	ADJ;RL
الثالث	سوم	ثَالِث	سوم	ADJ;NOM;DEF;MASC;SG	ADJ
هناك	آنجا	هُنَاكَ	آنجا	ADV	ADV;ESS
تحت	زیر	تَحتَ	زیر	ADP;ACC	ADP
تحت	تحت	تَحتَ	تحت	ADP;ACC	ADP
تحت	زیر	تَحتَ	زیر	ADP;ACC	ADP
حجم	اندازۀ	حَجم	اندازۀ	N;NOM;INDF;SG	N;SG
حجم	اندازه	حَجم	اندازه	N;NOM;INDF;SG	N;SG
الشيخ	شیخ	شَيخ	شیخ	N;NOM;DEF;SG	N;SG
الشيخ	شیخ	شَيخ	شیخ	N;NOM;DEF;SG	N;SG
المحافظة	ولایت	مُحَافَظَة	ولایت	N;NOM;DEF;SG	N;SG
المحافظة	استان	مُحَافَظَة	استان	N;NOM;DEF;SG	N;SG
المحافظة	حفاظت	مُحَافَظَة	حفاظت	N;NOM;DEF;SG	N;SG
الحرب	جنگ	حَرب	جنگ	N;NOM;DEF;SG	N;SG
الحرب	جنگی	حَرب	جنگی	N;NOM;DEF;SG	N;SG
قرية	روستای	قَريَة	روستا	N;NOM;INDF;SG	N;SG
قرية	دهکده	قَريَة	دهکده	N;NOM;INDF;SG	N;SG
قرية	ویلیج	قَريَة	ویلیج	N;NOM;INDF;SG	N;SG
قرية	روستا	قَريَة	روستا	N;NOM;INDF;SG	N;SG
العام	سال	عَام	سال	N;NOM;DEF;SG	N;SG
رئيس	رییس	رَئِيس	رییس	N;NOM;INDF;SG	N;SG
رئيس	رئیس	رَئِيس	رئیس	N;NOM;INDF;SG	N;SG
الكثافة	شدت	كَثَّافَة	شدت	N;NOM;DEF;SG	N;SG
الكثافة	تراکم	كَثَّافَة	None	N;NOM;DEF;SG	N;SG
الكثافة	چگالی	كَثَّافَة	چگالی	N;NOM;DEF;SG	N;SG
الوفاة	مرگ	وَفَاة	مرگ	N;NOM;DEF;SG	N;SG
شعار	شعار	شِعَار	شعار	N;NOM;INDF;SG	N;SG
شعار	لوگو	شِعَار	لوگو	N;NOM;INDF;SG	N;SG
شعار	شعار	شِعَار	شعار	N;NOM;INDF;SG	N;SG
عزلة	جداسازی	عُزلَة	جداسازی	N;NOM;INDF;SG	N;SG
عزلة	انزوا	عُزلَة	None	N;NOM;INDF;SG	N;SG
كتاب	کتاب	كِتَاب	کتاب	N;NOM;INDF;SG	N;SG
كتاب	کتابی	كِتَاب	کتاب	N;NOM;INDF;SG	N;SG
حول	درباره	حَولَ	درباره	ADP;ACC	ADP
حول	دربارۀ	حَولَ	دربارۀ	ADP;ACC	ADP
العمل	کنش	عَمَل	None	N;NOM;DEF;SG	N;SG
العمل	اکشن	عَمَل	اکشن	N;NOM;DEF;SG	N;SG
العمل	اقدام	عَمَل	اقدام	N;NOM;DEF;SG	N;SG
العمل	عمل	عَمَل	عمل	N;NOM;DEF;SG	N;SG
العمل	کار	عَمَل	کار	N;NOM;DEF;SG	N;SG
العمل	کاری	عَمَل	کار	N;NOM;DEF;SG	N;SG
العمل	تجارت	عَمَل	تجارت	N;NOM;DEF;SG	N;SG
العمل	کسب	عَمَل	کسب	N;NOM;DEF;SG	N;SG
العمل	b	عَمَل	b	N;NOM;DEF;SG	N;SG
الخريطة	نگاشت	خَرِيطَة	نگاشت#گار	N;NOM;DEF;SG	N;SG
الخريطة	نقشه	خَرِيطَة	None	N;NOM;DEF;SG	N;SG
الرسمي	رسمی	رَسمِيّ	رسمی	ADJ;NOM;DEF;MASC;SG	ADJ
الرسمي	رسمی	رَسمِيّ	رسمی	ADJ;NOM;DEF;MASC;SG	ADJ
عشر	ده	عَشَرَة	ده	NUM;MASC	NUM
سنوات	سالهای	سَنَة	سال	N;NOM;INDF;PL	N;PL
سنوات	سالها	سَنَة	سال	N;NOM;INDF;PL	N;PL
يوم	روز	يَوم	روز	N;NOM;INDF;SG	N;SG
يوم	روزی	يَوم	روز	N;NOM;INDF;SG	N;SG
كتابة	نوشتن	كِتَابَة	نوشتن	N;NOM;INDF;SG	N;SG
كتابة	نویسندگی	كِتَابَة	نویسندگی	N;NOM;INDF;SG	N;SG
كتابة	نوشتن	كِتَابَة	نوشتن	N;NOM;INDF;SG	N;SG
طريق	جاده	طَرِيق	جاده	N;NOM;INDF;SG	N;SG
الدين	مذهب	دِين	مذهب	N;NOM;DEF;SG	N;SG
الدين	دین	دِين	دین	N;NOM;DEF;SG	N;SG
الدين	قرض	دِين	قرض	N;NOM;DEF;SG	N;SG
الدين	قرضی	دِين	قرضی	N;NOM;DEF;SG	N;SG
الدين	قرضه	دِين	قرضه	N;NOM;DEF;SG	N;SG
الدين	بدهی	دِين	None	N;NOM;DEF;SG	N;SG
مركز	سنتر	مَركَز	سنتر	N;NOM;INDF;SG	N;SG
مركز	مرکزش	مَركَز	مرکزش	N;NOM;INDF;SG	N;SG
مركز	مرکز	مَركَز	مرکز	N;NOM;INDF;SG	N;SG
مركز	سنتر	مَركَز	سنتر	N;NOM;INDF;SG	N;SG
مركز	مرکز	مَركَز	مرکز	N;NOM;INDF;SG	N;SG
ملف	پرونده	مِلَفّ	پرونده	N;NOM;INDF;SG	N;SG
مجلس	شورای	مَجلِس	شورا	N;NOM;INDF;SG	N;SG
مجلس	شورا	مَجلِس	شورا	N;NOM;INDF;SG	N;SG
مجلس	انجمن	مَجلِس	انجمن	N;NOM;INDF;SG	N;SG
الثانية	دوم	ثَانِي	دوم	ADJ;NOM;DEF;FEM;SG	ADJ
الثانية	دومی	ثَانِي	None	ADJ;NOM;DEF;FEM;SG	ADJ
قيد	قید	قَيد	قید	N;NOM;INDF;SG	N;SG
السكان	ساکنین	سَاكِن	ساکنین	N;NOM;DEF;PL	N;PL
السكان	یاران	سَاكِن	یار	N;NOM;DEF;PL	N;PL
الدولة	حالت	دَولَة	حالت	N;NOM;DEF;SG	N;SG
الدولة	استیت	دَولَة	استیت	N;NOM;DEF;SG	N;SG
الدولة	دولت	دَولَة	دولت	N;NOM;DEF;SG	N;SG
الدولة	وضعیت	دَولَة	وضعیت	N;NOM;DEF;SG	N;SG
الدولة	ایالت	دَولَة	ایالت	N;NOM;DEF;SG	N;SG
قال	گفت	قَال	گفت#گو	V;PFV;MASC;SG;3;ACT	V;SG;3;PST
الملك	پادشاه	مَلِك	پادشاه	N;NOM;DEF;SG	N;SG
الملك	کینگ	مَلِك	کینگ	N;NOM;DEF;SG	N;SG
الملك	شاه	مَلِك	شاه	N;NOM;DEF;SG	N;SG
الاسم	نام	اِسم	نام	N;NOM;DEF;SG	N;SG
ولد	پسر	وَلَد	پسر	N;NOM;INDF;SG	N;SG
ولد	زاده	وَلَد	زاده	N;NOM;INDF;SG	N;SG
البحر	دریا	بَحر	دریا	N;NOM;DEF;SG	N;SG
البحر	دریای	بَحر	دریا	N;NOM;DEF;SG	N;SG
شركة	استواری	شَرِكَة	استواری	N;NOM;INDF;SG	N;SG
شركة	شرکت	شَرِكَة	شرکت	N;NOM;INDF;SG	N;SG
شركة	company	شَرِكَة	None	N;NOM;INDF;SG	N;SG
شركة	کمپانی	شَرِكَة	کمپانی	N;NOM;INDF;SG	N;SG
فيلم	فیلمی	فِيلم	فیلم	N;NOM;INDF;SG	N;SG
فيلم	فیلم	فِيلم	فیلم	N;NOM;INDF;SG	N;SG
فيلم	فیلم	فِيلم	فیلم	N;NOM;INDF;SG	N;SG
صورة	فتو	صُورَة	فتو	N;NOM;INDF;SG	N;SG
صورة	photo	صُورَة	photo	N;NOM;INDF;SG	N;SG
صورة	عکس	صُورَة	عکس	N;NOM;INDF;SG	N;SG
صورة	تصویر	صُورَة	تصویر	N;NOM;INDF;SG	N;SG
صورة	نگاره	صُورَة	نگاره	N;NOM;INDF;SG	N;SG
صورة	عکسه	صُورَة	عکسه	N;NOM;INDF;SG	N;SG
صورة	عکس	صُورَة	عکس	N;NOM;INDF;SG	N;SG
بطولة	قهرمانی	بُطُولَة	قهرمانی	N;NOM;INDF;SG	N;SG
بطولة	تورنومنت	بُطُولَة	تورنومنت	N;NOM;INDF;SG	N;SG
بطولة	تورنمنت	بُطُولَة	تورنمنت	N;NOM;INDF;SG	N;SG
نباتات	گیاهان	نَبَات	گیاه	N;NOM;INDF;PL	N;PL
الولادة	زاییدن	وِلَادَة	زاییدن	N;NOM;DEF;SG	N;SG
الولادة	زایمان	وِلَادَة	زایمان	N;NOM;DEF;SG	N;SG
الولادة	تولد	وِلَادَة	تولد	N;NOM;DEF;SG	N;SG
الولادة	ولادت	وِلَادَة	None	N;NOM;DEF;SG	N;SG
المملكة	فرمانروایی	مَملَكَة	فرمانروایی	N;NOM;DEF;SG	N;SG
المملكة	پادشاهی	مَملَكَة	پادشاه	N;NOM;DEF;SG	N;SG
المملكة	قلمرو	مَملَكَة	قلمرو	N;NOM;DEF;SG	N;SG
المملكة	عربستان	مَملَكَة	عربستان	N;NOM;DEF;SG	N;SG
البريدي	پستی	البريدي	پستی	N;NOM;DEF;SG	N;SG
الدوري	لیگ	دَورِيّ	لیگ	N;NOM;DEF;SG	N;SG
خلفية	زمینه	خَلفِيَّة	زمینه	N;NOM;INDF;SG	N;SG
فقط	تنها	فَقَط	تنها	ADV	ADV
فقط	فقط	فَقَط	فقط	ADV	ADV
جائزة	جایزه	جَائِزَة	جایزه	N;NOM;INDF;SG	N;SG
جائزة	جایزه	جَائِزَة	جایزه	N;NOM;INDF;SG	N;SG
نظام	سامانه	نِظَام	سامانه	N;NOM;INDF;SG	N;SG
نظام	سیستم	نِظَام	سیستم	N;NOM;INDF;SG	N;SG
قسم	وزارت	قِسم	وزارت	N;NOM;INDF;SG	N;SG
قسم	اداره	قِسم	اداره	N;NOM;INDF;SG	N;SG
قسم	بخش	قِسم	بخش	N;NOM;INDF;SG	N;SG
قسم	بخش	قِسم	بخش	N;NOM;INDF;SG	N;SG
السعودية	عربستان	سَعُودِيَّة	عربستان	N;NOM;DEF;SG	N;SG
فترة	دوره	فَترَة	دوره	N;NOM;INDF;SG	N;SG
فترة	پریود	فَترَة	پریود	N;NOM;INDF;SG	N;SG
فترة	دورۀ	فَترَة	دورۀ	N;NOM;INDF;SG	N;SG
عقد	قرارداده	عَقَد	قرارداده	V;PFV;MASC;SG;3;ACT	V;SG;3;V.PTCP
والذي	کدام	والذي	کدام	N;NOM;DEF;SG	N;SG
مارس	مارس	مَارِس	مارس	N;GEN;INDF;SG	N;SG
مارس	پیشروی	مَارِس	پیشروی	N;GEN;INDF;SG	N;SG
مارس	راهپیمایی	مَارِس	راهپیمایی	N;GEN;INDF;SG	N;SG
مارس	مریخ	مَارِس	مریخ	N;GEN;INDF;SG	N;SG
مارس	مارس	مَارِس	مارس	N;GEN;INDF;SG	N;SG
رقم	عدد	رَقم	عدد	N;NOM;INDF;SG	N;SG
رقم	شمارۀ	رَقم	شمارۀ	N;NOM;INDF;SG	N;SG
رقم	شماره	رَقم	شماره	N;NOM;INDF;SG	N;SG
اليوم	روز	يَوم	روز	N;ACC;DEF;SG	N;SG
اليوم	روزی	يَوم	روز	N;ACC;DEF;SG	N;SG
يناير	jan	يَنَايِر	jan	N;GEN;INDF;SG	N;SG
يناير	یان	يَنَايِر	یان	N;GEN;INDF;SG	N;SG
يناير	ژانویه	يَنَايِر	ژانویه	N;GEN;INDF;SG	N;SG
اللغة	زبان	لُغَة	زبان	N;NOM;DEF;SG	N;SG
عمل	شغل	عَمَل	شغل	N;NOM;INDF;SG	N;SG
عمل	کار	عَمَل	کار	N;NOM;INDF;SG	N;SG
عمل	ایوب	عَمَل	ایوب	N;NOM;INDF;SG	N;SG
عمل	کار	عَمَل	کار	N;NOM;INDF;SG	N;SG
عمل	کاری	عَمَل	کار	N;NOM;INDF;SG	N;SG
