the	die	the	die	DET;DEF	DET;DEF
left	gelaat	leave	gelaat	V;PST;V.PTCP	V;PST;V.PTCP
here	hier	here	hier	ADV	ADV
living	tuiste	living	tuiste	N;SG	N;SG
day	dag	day	dag	N;SG	N;SG
place	plek	place	plek	N;SG	N;SG
college	kollege	college	kollege	N;SG	N;SG
result	uitslag	result	uitslag	N;SG	N;SG
result	resultaat	result	resultaat	N;SG	N;SG
keep	aanhou	keep	aanhou	V;IMP;FIN	V;PRS
keep	hou	keep	hou	V;IMP;FIN	V;PRS
keep	behou	keep	behou	V;IMP;FIN	V;PRS
appropriate	geskikte	appropriate	geskik	ADJ	ADJ;NOM
appropriate	toepaslike	appropriate	toepaslik	ADJ	ADJ;NOM
even	selfs	even	selfs	ADV	ADV
class	klas	class	klas	N;SG	N;SG
government	regering	government	regering	N;SG	N;SG
called	geroep	call	roep	V;PST;V.PTCP	V;PST;V.PTCP
called	gebel	call	gebel	V;PST;V.PTCP	V;PST;V.PTCP
found	gekry	find	kry	V;PST;V.PTCP	V;PST;V.PTCP
found	gevind	find	vind	V;PST;V.PTCP	V;PST;V.PTCP
long	lank	long	lank	ADV	ADV
country	land	country	land	N;SG	N;SG
way	manier	way	manier	N;SG	N;SG
modify	verander	modify	verander	V;IMP;FIN	V;PRS
modify	wysig	modify	wysig	V;IMP;FIN	V;PRS
end	einde	end	einde	N;SG	N;SG
make	maak	make	maak	V;IMP;FIN	V;PRS
public	openbare	public	openbaar	ADJ	ADJ;NOM
played	gespeel	play	speel	V;PST;V.PTCP	V;PST;V.PTCP
won	gewen	win	wen	V;PST;FIN	V;PST;V.PTCP
released	vrygestel	release	vrystel	V;PST;V.PTCP	V;PST;V.PTCP
released	gelos	release	gelos	V;PST;V.PTCP	V;PST;V.PTCP
support	ondersteuning	support	ondersteuning	N;SG	N;SG
support	bystand	support	bystand	N;SG	N;SG
games	speletjies	game	speletjies	N;PL	N;PL
games	wedstryde	game	wedstryde	N;PL	N;PL
former	voormalige	former	voormalig	ADJ	ADJ;NOM
films	films	film	films	N;PL	N;PL
line	lyn	line	lyn	N;SG	N;SG
members	lede	member	lid	N;PL	N;PL
image	prent	image	prent	N;SG	N;SG
show	gewys	show	wys	V;IMP;FIN	V;PST;V.PTCP
show	wys	show	wys	V;IMP;FIN	V;PRS
still	steeds	still	steeds	ADV	ADV
still	nogsteeds	still	nogsteeds	ADV	ADV
system	lêerstelsel	system	lêerstelsel	N;SG	N;SG
system	sisteem	system	sisteem	N;SG	N;SG
system	stelsel	system	stelsel	N;SG	N;SG
song	liedjie	song	liedjie	N;SG	N;SG
song	lied	song	lied	N;SG	N;SG
section	afdeling	section	afdeling	N;SG	N;SG
included	ingesluit	include	insluit	V;PST;V.PTCP	V;PST;V.PTCP
align	belyn	align	belyn	V;IMP;FIN	V;PRS
home	huistoe	home	huistoe	N;SG	N;SG
home	tuisblad	home	tuisblad	N;SG	N;SG
home	huis	home	huis	N;SG	N;SG
women	vroue	woman	vrou	N;PL	N;PL
women	vrouens	woman	vrou	N;PL	N;PL
seed	saad	seed	saad	N;SG	N;SG
member	lid	member	lid	N;SG	N;SG
goals	doelwitte	goal	doelwit	N;PL	N;PL
goals	doele	goal	doele	N;PL	N;PL
sources	bronne	source	bron	N;PL	N;PL
book	boek	book	boek	N;SG	N;SG
station	stasie	station	stasie	N;SG	N;SG
order	orde	order	orde	N;SG	N;SG
order	volgorde	order	volgorde	N;SG	N;SG
order	bestelling	order	bestelling	N;SG	N;SG
information	informasie	information	informasie	N;SG	N;SG
information	inligting	information	inligting	N;SG	N;SG
set	gestel	set	stel	V;FIN	V;PST;V.PTCP
set	instel	set	instel	V;FIN	V;PRS
set	stel	set	stel	V;FIN	V;PRS
own	eie	own	eie	ADJ	ADJ;NOM
text	teksboodskap	text	teksboodskap	N;SG	N;SG
text	teks	text	teks	N;SG	N;SG
band	musiekgroep	band	musiekgroep	N;SG	N;SG
point	punt	point	punt	N;SG	N;SG
local	plaaslike	local	plaaslik	ADJ	ADJ;NOM
river	rivier	river	rivier	N;SG	N;SG
french	franse	french	frans	ADJ	ADJ;NOM
career	loopbaan	career	loopbaan	N;SG	N;SG
original	oorspronklike	original	oorspronklik	ADJ	ADJ;NOM
age	ouderdom	age	ouderdom	N;SG	N;SG
service	diens	service	diens	N;SG	N;SG
established	daargestel	establish	daarstel	V;PST;V.PTCP	V;PST;V.PTCP
established	vasgestel	establish	vasstel	V;PST;V.PTCP	V;PST;V.PTCP
established	gevestig	establish	vestig	V;PST;V.PTCP	V;PST;V.PTCP
website	webwerf	website	webwerf	N;SG	N;SG
website	webtuiste	website	webtuiste	N;SG	N;SG
population	bevolking	population	bevolking	N;SG	N;SG
law	wet	law	wet	N;SG	N;SG
military	militêre	military	militêr	ADJ	ADJ;NOM
clubs	klubs	club	klubs	N;PL	N;PL
published	gepubliseer	publish	publiseer	V;PST;V.PTCP	V;PST;V.PTCP
official	amptenaar	official	amptenaar	N;SG	N;SG
case	geval	case	geval	N;SG	N;SG
times	tye	time	tye	N;PL	N;PL
times	kere	time	kere	N;PL	N;PL
although	hoewel	although	hoewel	CONJ	CONJ
although	alhoewel	although	alhoewel	CONJ	CONJ
different	verskillende	different	verskil	ADJ	ADJ;NOM
get	kry	get	kry	V;IMP;FIN	V;PRS
village	dorpie	village	dorpie	N;SG	N;SG
closed	gesluit	close	sluit	V;PST;V.PTCP	V;PST;V.PTCP
closed	toegemaak	close	toemaak	V;PST;V.PTCP	V;PST;V.PTCP
player	speler	player	speler	N;SG	N;SG
community	samelewing	community	samelewing	N;SG	N;SG
community	gemeenskap	community	gemeenskap	N;SG	N;SG
army	weermag	army	weermag	N;SG	N;SG
award	toekenning	award	toekenning	N;SG	N;SG
death	dood	death	dood	N;SG	N;SG
men	mans	man	man	N;PL	N;PL
men	manne	man	man	N;PL	N;PL
five	vyf	five	vyf	NUM	NUM
road	pad	road	pad	N;SG	N;SG
children	kinders	child	kind	N;PL	N;PL
include	insluit	include	insluit	V;IND;PRS;FIN	V;PRS
association	vereniging	association	vereniging	N;SG	N;SG
association	assosiasie	association	assosiasie	N;SG	N;SG
given	gegee	give	gee	V;PST;V.PTCP	V;PST;V.PTCP
source	bron	source	bron	N;SG	N;SG
man	man	man	man	N;SG	N;SG
written	geskryf	write	skryf	V;PST;V.PTCP	V;PST;V.PTCP
created	geskep	create	skep	V;PST;V.PTCP	V;PST;V.PTCP
media	media	media	media	N;SG	N;SG
take	neem	take	neem	V;IMP;FIN	V;PRS
take	tree	take	tree	V;IMP;FIN	V;PRS
take	vat	take	vat	V;IMP;FIN	V;PRS
division	deling	division	deling	N;SG	N;SG
comment	kommentaar	comment	kommentaar	N;SG	N;SG
having	ondervind	have	ondervind	V;V.MSDR	V;PRS
died	gesterf	die	sterf	V;IND;PST;FIN	V;PST;V.PTCP
ship	skip	ship	skip	N;SG	N;SG
research	navorsing	research	navorsing	N;SG	N;SG
record	rekord	record	rekord	N;SG	N;SG
archive	argief	archive	argief	N;SG	N;SG
places	plekke	place	plek	N;PL	N;PL
cup	koppie	cup	koppie	N;SG	N;SG
cup	beker	cup	beker	N;SG	N;SG
records	rekords	record	rekord	N;PL	N;PL
often	gereeld	often	gereeld	ADV	ADV
often	dikwels	often	dikwels	ADV	ADV
power	krag	power	krag	N;SG	N;SG
power	elektrisiteit	power	elektrisiteit	N;SG	N;SG
education	opvoeding	education	opvoeding	N;SG	N;SG
education	onderwys	education	onderwys	N;SG	N;SG
education	opleiding	education	opleiding	N;SG	N;SG
education	onderrig	education	onderrig	N;SG	N;SG
know	ken	know	ken	V;IND;PRS;FIN	V;PRS
know	weet	know	weet	V;IND;PRS;FIN	V;PRS
water	water	water	water	N;SG	N;SG
political	politieke	political	politiek	ADJ	ADJ;NOM
species	spesies	species	spesie	N;PL	N;PL
field	terrein	field	terrein	N;SG	N;SG
field	veld	field	veld	N;SG	N;SG
video	video	video	video	N;SG	N;SG
need	benodig	need	benodig	V;IND;PRS;FIN	V;PRS
island	eiland	island	eiland	N;SG	N;SG
find	vind	find	vind	V;IMP;FIN	V;PRS
play	toneelstuk	play	toneelstuk	N;SG	N;SG
project	projek	project	projek	N;SG	N;SG
development	ontwikkeling	development	ontwikkeling	N;SG	N;SG
example	voorbeeld	example	voorbeeld	N;SG	N;SG
live	gepubliseer	live	publiseer	V;IMP;FIN	V;PST;V.PTCP
union	unie	union	unie	N;SG	N;SG
court	hof	court	hof	N;SG	N;SG
region	streek	region	streek	N;SG	N;SG
province	provinsie	province	provinsie	N;SG	N;SG
western	westelike	western	westelik	ADJ	ADJ;NOM
son	seun	son	seun	N;SG	N;SG
council	raad	council	raad	N;SG	N;SG
street	straat	street	straat	N;SG	N;SG
department	departement	department	departement	N;SG	N;SG
help	hulp	help	hulp	N;SG	N;SG
force	krag	force	krag	N;SG	N;SG
director	direkteur	director	direkteur	N;SG	N;SG
father	vader	father	vader	N;SG	N;SG
track	snit	track	snit	N;SG	N;SG
track	baan	track	baan	N;SG	N;SG
never	nooit	never	nooit	ADV	ADV
australian	australiese	australian	australies	ADJ	ADJ;NOM
society	samelewing	society	samelewing	N;SG	N;SG
society	gemeenskap	society	gemeenskap	N;SG	N;SG
society	geselskap	society	geselskap	N;SG	N;SG
moved	geskuif	move	skuif	V;PST;V.PTCP	V;PST;V.PTCP
office	kantoor	office	kantoor	N;SG	N;SG
period	periode	period	periode	N;SG	N;SG
songs	liedere	song	lied	N;PL	N;PL
songs	liedjies	song	liedjies	N;PL	N;PL
various	verskeie	various	verskeie	ADJ	ADJ;NOM
days	dae	day	dag	N;PL	N;PL
land	grond	land	grond	N;SG	N;SG
business	besigheid	business	besigheid	N;SG	N;SG
reason	rede	reason	rede	N;SG	N;SG
million	miljoen	million	miljoen	NUM	NUM
european	europese	european	europees	ADJ	ADJ;NOM
term	termyn	term	termyn	N;SG	N;SG
six	ses	six	ses	NUM	NUM
post	plasing	post	plasing	N;SG	N;SG
produced	geproduseer	produce	produseer	V;PST;V.PTCP	V;PST;V.PTCP
science	wetenskap	science	wetenskap	N;SG	N;SG
related	verwante	related	verwant	ADJ	ADJ;NOM
rock	rock	rock	rock	N;SG	N;SG
archived	geargiveer	archive	argiveer	V;PST;V.PTCP	V;PST;V.PTCP
railway	spoorweg	railway	spoorweg	N;SG	N;SG
railway	spoorlyn	railway	spoorlyn	N;SG	N;SG
led	gelei	lead	lei	V;PST;V.PTCP	V;PST;V.PTCP
students	studente	student	student	N;PL	N;PL
news	nuus	news	nuus	N;SG	N;SG
role	rol	role	rol	N;SG	N;SG
election	verkiesing	election	verkiesing	N;SG	N;SG
albums	albums	album	albums	N;PL	N;PL
books	boeke	book	boeke	N;PL	N;PL
important	belangrike	important	belangrik	ADJ	ADJ;NOM
northern	noordelike	northern	noordelik	ADJ	ADJ;NOM
run	hardloop	run	hardloop	V;IMP;FIN	V;PRS
canadian	kanadese	canadian	kanades	ADJ	ADJ;NOM
act	wet	act	wet	N;SG	N;SG
editor	redakteur	editor	redakteur	N;SG	N;SG
schools	skole	school	skool	N;PL	N;PL
issue	kwessie	issue	kwessie	N;SG	N;SG
social	maatskaplike	social	maatskaplik	ADJ	ADJ;NOM
social	sosiale	social	sosiaal	ADJ	ADJ;NOM
production	produksie	production	produksie	N;SG	N;SG
male	mannetjie	male	mannetjie	N;SG	N;SG
awards	toekennings	award	toekenning	N;PL	N;PL
awards	toekenings	award	toekening	N;PL	N;PL
points	punte	point	punt	N;PL	N;PL
similar	soortgelyke	similar	soortgelyk	ADJ	ADJ;NOM
professional	professionele	professional	professioneel	ADJ	ADJ;NOM
say	sê	say	sê	V;IMP;FIN	V;PRS
background	agtergrond	background	agtergrond	N;SG	N;SG
lead	lood	lead	lood	N;SG	N;SG
common	gemeenskaplike	common	gemeenskaplik	ADJ	ADJ;NOM
overlap	oorvleuel	overlap	oorvleuel	V;IMP;FIN	V;PRS
data	data	data	data	N;SG	N;SG
color	deursigtigheid	color	deursigtigheid	N;SG	N;SG
services	dienste	service	diens	N;PL	N;PL
museum	museum	museum	museum	N;SG	N;SG
battle	slag	battle	slag	N;SG	N;SG
battle	veldslag	battle	veldslag	N;SG	N;SG
sports	sportsoorte	sport	sportsoort	N;PL	N;PL
already	alreeds	already	alreeds	ADV	ADV
already	reeds	already	reeds	ADV	ADV
currently	tans	currently	tans	ADV	ADV
hall	saal	hall	saal	N;SG	N;SG
buildings	geboue	building	bou	N;PL	N;PL
historic	historiese	historic	histories	ADJ	ADJ;NOM
date	datum	date	datum	N;SG	N;SG
deleted	geskrap	delete	geskrap	V;PST;V.PTCP	V;PST;V.PTCP
location	ligging	location	ligging	N;SG	N;SG
must	moet	must	moet	V;FIN	V;PRS
our	ons	we	ons	PRO;PL;1	PRO;PL;1
southern	suidelike	southern	suidelik	ADJ	ADJ;NOM
something	iets	something	iets	PRO;SG	PRO
review	resensie	review	resensie	N;SG	N;SG
review	hersiening	review	hersiening	N;SG	N;SG
review	oorsig	review	oorsig	N;SG	N;SG
together	saam	together	saam	ADV	ADV
fact	feit	fact	feit	N;SG	N;SG
japanese	japannese	japanese	japannees	ADJ	ADJ;NOM
board	bord	board	bord	N;SG	N;SG
policy	beleid	policy	beleid	N;SG	N;SG
event	geleentheid	event	geleentheid	N;SG	N;SG
events	gebeure	event	gebeure	N;PL	N;PL
events	aktiwiteite	event	aktiwiteit	N;PL	N;PL
events	geleenthede	event	geleentheid	N;PL	N;PL
done	gedoen	do	doen	V;PST;V.PTCP	V;PST;V.PTCP
start	begin	start	begin	V;IMP;FIN	V;PRS
personal	persoonlike	personal	persoonlik	ADJ	ADJ;NOM
space	spasie	space	spasie	N;SG	N;SG
areas	gebiede	area	gebied	N;PL	N;PL
star	ster	star	ster	N;SG	N;SG
taken	geneem	take	neem	V;PST;V.PTCP	V;PST;V.PTCP
far	ver	far	ver	ADV	ADV
minister	minister	minister	minister	N;SG	N;SG
reported	gerapporteer	report	rapporteer	V;PST;V.PTCP	V;PST;V.PTCP
married	getroude	married	trou	ADJ	ADJ;NOM
founded	gestig	found	stig	V;PST;V.PTCP	V;PST;V.PTCP
author	skrywer	author	skrywer	N;SG	N;SG
author	outeur	author	outeur	N;SG	N;SG
independent	onafhanklike	independent	onafhanklik	ADJ	ADJ;NOM
independent	selfstandige	independent	selfstandig	ADJ	ADJ;NOM
process	proses	process	proses	N;SG	N;SG
teams	spanne	team	span	N;PL	N;PL
pages	bladsye	page	bladsy	N;PL	N;PL
pages	blaaie	page	blaaie	N;PL	N;PL
release	vrystelling	release	vrystelling	N;SG	N;SG
episode	episode	episode	episode	N;SG	N;SG
companies	maatskappye	company	maatskappy	N;PL	N;PL
russian	russiese	russian	russies	ADJ	ADJ;NOM
race	ras	race	ras	N;SG	N;SG
worked	gewerk	work	werk	V;PST;V.PTCP	V;PST;V.PTCP
route	roete	route	roet	N;SG	N;SG
recorded	opgeneem	record	opneem	V;PST;V.PTCP	V;PST;V.PTCP
someone	iemand	someone	iemand	PRO;SG	PRO
listed	gelys	list	lys	V;PST;V.PTCP	V;PST;V.PTCP
users	gebruikers	user	gebruiker	N;PL	N;PL
body	lyf	body	lyf	N;SG	N;SG
body	liggaam	body	liggaam	N;SG	N;SG
question	vraag	question	vraag	N;SG	N;SG
italian	italiaanse	italian	italiaans	ADJ	ADJ;NOM
featured	uitgelig	feature	uitlig	V;PST;V.PTCP	V;PST;V.PTCP
featured	uitgestal	feature	uitstal	V;PST;V.PTCP	V;PST;V.PTCP
week	week	week	week	N;SG	N;SG
week	vakansie	week	vakansie	N;SG	N;SG
editors	redigeerders	editor	redigeerder	N;PL	N;PL
match	passing	match	passing	N;SG	N;SG
match	ooreenstemming	match	ooreenstemming	N;SG	N;SG
come	kom	come	kom	V;IMP;FIN	V;PRS
playing	speel	play	speel	V;V.MSDR	V;PRS
health	gesondheid	health	gesondheid	N;SG	N;SG
institute	instituut	institute	instituut	N;SG	N;SG
forces	magte	force	mag	N;PL	N;PL
rights	regte	rights	reg	N;PL	N;PL
evidence	getuienis	evidence	getuienis	N;SG	N;SG
originally	oorspronklik	originally	oorspronklik	ADV	ADV
aircraft	vliegtuig	aircraft	vliegtuig	N;SG	N;SG
range	omvang	range	omvang	N;SG	N;SG
bar	balk	bar	balk	N;SG	N;SG
look	kyk	look	kyk	V;IMP;FIN	V;PRS
issues	kwessies	issue	kwessie	N;PL	N;PL
alumni	alumni	alumnus	alumni	N;PL	N;PL
average	gemiddelde	average	gemiddel	ADJ	ADJ;NOM
win	wen	win	wen	V;IMP;FIN	V;PRS
shows	vertonings	show	vertoning	N;PL	N;PL
shows	programme	show	program	N;PL	N;PL
wife	vrou	wife	vrou	N;SG	N;SG
returned	teruggestuur	return	terugstuur	V;PST;V.PTCP	V;PST;V.PTCP
night	aand	night	aand	N;SG	N;SG
magazine	tydskrif	magazine	tydskrif	N;SG	N;SG
completed	afgehandel	complete	afhandel	V;PST;V.PTCP	V;PST;V.PTCP
stage	stadium	stage	stadium	N;SG	N;SG
stage	etage	stage	etag	N;SG	N;SG
addition	byvoeging	addition	byvoeging	N;SG	N;SG
academy	akademie	academy	akademie	N;SG	N;SG
self	self	self	self	PRO	PRO;SG;3;REFL
stations	stasies	station	stasie	N;PL	N;PL
mother	moeder	mother	moeder	N;SG	N;SG
mother	ma	mother	ma	N;SG	N;SG
culture	kultuur	culture	kultuur	N;SG	N;SG
spanish	spaanse	spanish	spaans	ADJ	ADJ;NOM
committee	komitee	committee	komitee	N;SG	N;SG
things	dinge	thing	ding	N;PL	N;PL
fire	vuur	fire	vuur	N;SG	N;SG
changed	gewysig	change	wysig	V;PST;V.PTCP	V;PST;V.PTCP
gold	goud	gold	goud	N;SG	N;SG
female	wyfie	female	wyfie	N;SG	N;SG
directed	gerig	direct	rig	V;PST;V.PTCP	V;PST;V.PTCP
months	maande	month	maand	N;PL	N;PL
mentioned	genoem	mention	noem	V;PST;V.PTCP	V;PST;V.PTCP
basketball	basketball	basketball	basketball	N;SG	N;SG
performance	werkverrigting	performance	werkverrigting	N;SG	N;SG
performance	prestasie	performance	prestasie	N;SG	N;SG
performance	opvoering	performance	opvoering	N;SG	N;SG
means	beteken	mean	beteken	V;IND;SG;3;PRS;FIN	V;PRS
give	gee	give	gee	V;IMP;FIN	V;PRS
training	oefening	training	oefening	N;SG	N;SG
artist	kunstenaar	artist	kunstenaar	N;SG	N;SG
word	woord	word	woord	N;SG	N;SG
primary	primêr	primary	primêr	ADJ	ADJ;NOM
primary	primêre	primary	primêr	ADJ	ADJ;NOM
announced	aangekondig	announce	aankondig	V;PST;V.PTCP	V;PST;V.PTCP
value	waarde	value	waarde	N;SG	N;SG
private	privaat	private	privaat	ADJ	ADJ;NOM
catholic	katolieke	catholic	katoliek	ADJ	ADJ;NOM
artists	kunstenaars	artist	kunstenaar	N;PL	N;PL
view	aansig	view	aansig	N;SG	N;SG
seven	sewe	seven	sewe	NUM	NUM
ever	ooit	ever	ooit	ADV	ADV
provide	voorsien	provide	voorsien	V;IMP;FIN	V;PRS
provide	verskaf	provide	verskaf	V;IMP;FIN	V;PRS
future	toekoms	future	toekoms	N;SG	N;SG
census	sensus	census	sensus	N;SG	N;SG
images	prente	image	prent	N;PL	N;PL
images	beelde	image	beelde	N;PL	N;PL
results	resultate	result	resultate	N;PL	N;PL
results	uitslae	result	uitslag	N;PL	N;PL
return	terugkeer	return	terugkeer	N;SG	N;SG
quality	kwaliteit	quality	kwaliteit	N;SG	N;SG
quality	gehalte	quality	gehalte	N;SG	N;SG
construction	oprigting	construction	oprigting	N;SG	N;SG
construction	konstruksie	construction	konstruksie	N;SG	N;SG
front	voorkant	front	voorkant	N;SG	N;SG
read	lees	read	lees	V;IMP;FIN	V;PRS
read	gelees	read	gelees	V;IMP;FIN	V;PST;V.PTCP
material	rots	material	rots	N;SG	N;SG
material	materiaal	material	materiaal	N;SG	N;SG
coach	afrigter	coach	afrigter	N;SG	N;SG
federal	federale	federal	federaal	ADJ	ADJ;NOM
car	motor	car	motor	N;SG	N;SG
car	motorvoertuig	car	motorvoertuig	N;SG	N;SG
attack	aanval	attack	aanval	N;SG	N;SG
study	studie	study	studie	N;SG	N;SG
brother	broer	brother	broer	N;SG	N;SG
writer	skrywer	writer	skrywer	N;SG	N;SG
writer	outeur	writer	outeur	N;SG	N;SG
characters	karakters	character	karakter	N;PL	N;PL
border	grens	border	grens	N;SG	N;SG
medical	mediese	medical	medies	ADJ	ADJ;NOM
countries	lande	country	land	N;PL	N;PL
past	verlede	past	verlede	N;SG	N;SG
interest	belangstelling	interest	belangstelling	N;SG	N;SG
interest	rente	interest	rente	N;SG	N;SG
killed	gedood	kill	dood	V;PST;V.PTCP	V;PST;V.PTCP
killed	doodgemaak	kill	doodgemaak	V;PST;V.PTCP	V;PST;V.PTCP
medal	medalje	medal	medalje	N;SG	N;SG
especially	veral	especially	veral	ADV	ADV
refer	verwys	refer	verwys	V;IMP;FIN	V;PRS
references	verwysings	reference	verwysing	N;PL	N;PL
features	kenmerke	feature	kenmerk	N;PL	N;PL
features	eienskappe	feature	eienskap	N;PL	N;PL
navy	vloot	navy	vloot	N;SG	N;SG
historical	geskiedkundige	historical	geskiedkundig	ADJ	ADJ;NOM
historical	historiese	historical	histories	ADJ	ADJ;NOM
daughter	dogter	daughter	dogter	N;SG	N;SG
systems	sisteme	system	sisteme	N;PL	N;PL
systems	stelsels	system	stelsel	N;PL	N;PL
movement	beweging	movement	beweging	N;SG	N;SG
specific	spesifieke	specific	spesifiek	ADJ	ADJ;NOM
always	altyd	always	altyd	ADV	ADV
actor	akteur	actor	akteur	N;SG	N;SG
natural	natuurlike	natural	natuurlik	ADJ	ADJ;NOM
coast	kus	coast	kus	N;SG	N;SG
coast	kuslyn	coast	kuslyn	N;SG	N;SG
performed	uitgevoer	perform	uitvoer	V;PST;V.PTCP	V;PST;V.PTCP
individual	individu	individual	individu	N;SG	N;SG
lists	lyste	list	lyste	N;PL	N;PL
hand	hand	hand	hand	N;SG	N;SG
base	basis	base	basis	N;SG	N;SG
capital	hoofstad	capital	hoofstad	N;SG	N;SG
valley	vallei	valley	vallei	N;SG	N;SG
bank	bank	bank	bank	N;SG	N;SG
ground	grond	ground	grond	N;SG	N;SG
energy	energie	energy	energie	N;SG	N;SG
believe	glo	believe	glo	V;IMP;FIN	V;PRS
leader	leier	leader	leier	N;SG	N;SG
active	onaktiewe	active	onaktief	ADJ	ADJ;NOM
bridge	brug	bridge	brug	N;SG	N;SG
families	families	family	families	N;PL	N;PL
families	gesinne	family	gesin	N;PL	N;PL
collection	versameling	collection	versameling	N;SG	N;SG
soon	gou	soon	gou	ADV	ADV
writers	skrywers	writer	skrywer	N;PL	N;PL
professor	professor	professor	professor	N;SG	N;SG
studio	ateljee	studio	ateljee	N;SG	N;SG
competition	kompetisie	competition	kompetisie	N;SG	N;SG
campaign	veldtog	campaign	veldtog	N;SG	N;SG
theatre	teater	theatre	teater	N;SG	N;SG
length	tydsduur	length	tydsduur	N;SG	N;SG
length	lengte	length	lengte	N;SG	N;SG
islands	eilande	island	eilande	N;PL	N;PL
singer	sangeres	singer	sangere	N;SG	N;SG
