for	για	for	για	ADP	ADP
dag	μέρα	dag	μέρα	N;INDF;MASC;SG	N;ACC;FEM;SG
navnet	ονομασία	navn	ονομασία	N;DEF;NEUT;SG	N;NOM;FEM;SG
navnet	όνομα	navn	όνομα	N;DEF;NEUT;SG	N;NOM;NEUT;SG
navnet	ονομα	navn	ονομα	N;DEF;NEUT;SG	N;NOM;NEUT;SG
mars	μαρτίου	mars	μάρτιος	N;INDF;MASC;SG	N;GEN;MASC;SG
mars	μάρτιος	mars	μάρτιος	N;INDF;MASC;SG	N;NOM;MASC;SG
mars	μάρτιο	mars	μάρτιο	N;INDF;MASC;SG	N
mars	άρη	mars	άρη	N;INDF;MASC;SG	N;MASC;SG
mars	αρης	mars	αρος	N;INDF;MASC;SG	N;NOM;MASC;SG
plass	χώρος	plass	χώρος	N;INDF;MASC;SG	N;NOM;MASC;SG
plass	χώρο	plass	χώρος	N;INDF;MASC;SG	N;ACC;MASC;SG
plass	διαστημα	plass	διαστημα	N;INDF;MASC;SG	N;NOM;NEUT;SG
plass	διάστημα	plass	διάστημα	N;INDF;MASC;SG	N;NOM;NEUT;SG
nye	νέα	ny	νέος	ADJ;PL	ADJ;NOM;NEUT;PL
tid	χρόνος	tid	χρόνος	N;INDF;FEM;SG	N;NOM;MASC;SG
tid	ώρα	tid	ώρα	N;INDF;FEM;SG	N;ACC;FEM;SG
tid	φορά	tid	φορά	N;INDF;FEM;SG	N;ACC;FEM;SG
tid	ωρα	tid	ωρα	N;INDF;FEM;SG	N;ACC;FEM;SG
tid	χρόνο	tid	χρόνος	N;INDF;FEM;SG	N;ACC;MASC;SG
gang	χρόνος	gang	χρόνος	N;INDF;MASC;SG	N;NOM;MASC;SG
gang	ώρα	gang	ώρα	N;INDF;MASC;SG	N;ACC;FEM;SG
gang	φορά	gang	φορά	N;INDF;MASC;SG	N;ACC;FEM;SG
gang	ωρα	gang	ωρα	N;INDF;MASC;SG	N;ACC;FEM;SG
gang	χρόνο	gang	χρόνος	N;INDF;MASC;SG	N;ACC;MASC;SG
stor	μεγάλο	stor	μεγάλος	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
stor	μεγάλη	stor	μεγάλος	ADJ;INDF;SG	ADJ;NOM;FEM;SG
stor	μεγάλος	stor	μεγάλος	ADJ;INDF;SG	ADJ;NOM;MASC;SG
stor	μεγάλο	stor	μεγάλος	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
stor	τεράστια	stor	τεράστιος	ADJ;INDF;SG	ADJ;NOM;FEM;SG
stor	τεράστιος	stor	τεράστιος	ADJ;INDF;SG	ADJ;NOM;MASC;SG
stor	τεράστιο	stor	τεράστιος	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
siste	τελευταίο	sist	τελευταίος	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
siste	τελευταίος	sist	τελευταίος	ADJ;DEF;SG	ADJ;NOM;MASC;SG
siste	τελικός	sist	τελικός	ADJ;DEF;SG	ADJ;NOM;MASC;SG
siste	τελικό	sist	τελικός	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
siste	τελική	sist	τελικός	ADJ;DEF;SG	ADJ;NOM;FEM;SG
september	σεπτεμβρίου	september	σεπτέμβριο	N;INDF;MASC;SG	N;GEN;MASC;SG
september	σεπτέμβριος	september	σεπτέμβριος	N;INDF;MASC;SG	N;NOM;MASC;SG
september	σεπτέμβριο	september	σεπτέμβριο	N;INDF;MASC;SG	N
juni	ιουνίου	juni	ιούνιος	N;INDF;MASC;SG	N;GEN;MASC;SG
tok	πήρε	ta	παίρνω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
oktober	οκτώβριος	oktober	οκτώβριος	N;INDF;MASC;SG	N;NOM;MASC;SG
oktober	οκτώβριο	oktober	οκτώβριο	N;INDF;MASC;SG	N
oktober	οκτωβρίου	oktober	οκτώβριος	N;INDF;MASC;SG	N;GEN;MASC;SG
april	απρίλιος	april	απρίλιος	N;INDF;MASC;SG	N;NOM;MASC;SG
april	απρίλιο	april	απρίλιο	N;INDF;MASC;SG	N
april	απρίλη	april	απρίλιος	N;INDF;MASC;SG	N
april	απριλίου	april	απρίλιος	N;INDF;MASC;SG	N;GEN;MASC;SG
april	έιπριλ	april	έιπριλ	N;INDF;MASC;SG	N
juli	ιούλιο	juli	ιούλιος	N;INDF;MASC;SG	N;ACC;MASC;SG
juli	ιουλίου	juli	ιούλιος	N;INDF;MASC;SG	N;GEN;NEUT;SG
juli	ιουλιος	juli	ιουλιος	N;INDF;MASC;SG	N;NOM;MASC;SG
går	περπατώντας	gå	περπατώ	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
går	πηγαίνοντας	gå	πηγαίνω	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
går	περπατάει	gå	περπατώ	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
går	περπατά	gå	περπατός	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
februar	φεβρουάριος	februar	φεβρουάριος	N;INDF;MASC;SG	N;NOM;MASC;SG
februar	φεβρουάριο	februar	φεβρουάριο	N;INDF;MASC;SG	N
februar	φεβρουαρίου	februar	φεβρουάριο	N;INDF;MASC;SG	N;GEN;MASC;SG
november	νοεμβρίου	november	νόεμβριος	N;INDF;MASC;SG	N;GEN;MASC;SG
november	νοέμβριο	november	νοέμβριος	N;INDF;MASC;SG	N;NOM;MASC;SG
november	νοέμβριος	november	νοέμβριος	N;INDF;MASC;SG	N;NOM;MASC;SG
desember	δεκέμβριο	desember	δεκέμβριος	N;INDF;MASC;SG	N
desember	δεκέμβριος	desember	δεκέμβριος	N;INDF;MASC;SG	N;NOM;MASC;SG
desember	δεκεμβρίου	desember	δεκέμβριο	N;INDF;MASC;SG	N;GEN;MASC;SG
fire	τέσσερις	fire	τέσσερις	NUM;PL	NUM;NOM;MASC;PL
fire	τέσσερα	fire	τέσσερις	NUM;PL	NUM;NOM;NEUT;PL
gruppen	όμιλος	grupp	όμιλος	N;DEF;MASC;SG	N;NOM;MASC;SG
gruppen	ομαδα	grupp	ομαδα	N;DEF;MASC;SG	N;NOM;FEM;SG
gruppen	ομάδα	grupp	ομάδα	N;DEF;MASC;SG	N;ACC;FEM;SG
new	νεα	new	νέος	N;INDF;SG	N;NOM;FEM;SG
deltok	παρευρέθηκαν	delta	παρεύρομαι	V;IND;PST;FIN	V;PFV;IND;PL;3;PST;FIN;PASS
deltok	συμμετείχε	delta	συμμετέχω	V;IND;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
deltok	συμμετείχαν	delta	συμμετέχω	V;IND;PST;FIN	V;IPFV;IND;PL;3;PST;FIN;ACT
deltok	συμμετείχα	delta	συμμετέχω	V;IND;PST;FIN	V;IPFV;IND;SG;1;PST;FIN;ACT
igjen	πάλι	igjen	πάλι	ADV	ADV
igjen	ξανά	igjen	ξανά	ADV	ADV
igjen	παλι	igjen	παλι	ADV	ADV
laget	ομαδα	lag	ομαδα	N;DEF;NEUT;SG	N;NOM;FEM;SG
laget	ομάδα	lag	ομάδα	N;DEF;NEUT;SG	N;ACC;FEM;SG
først	πρώτον	først	πρώτον	ADV	ADV
først	πρώτα	først	πρώτα	ADV	ADV
land	χωρα	land	χωρα	N;INDF;NEUT;SG	N;ACC;FEM;SG
land	χώρα	land	χώρα	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	γη	land	γη	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	στεριά	land	στεριά	N;INDF;NEUT;SG	N;NOM;FEM;SG
sommer	καλοκαιρι	sommer	καλοκαιρι	N;INDF;MASC;SG	N;NOM;NEUT;SG
sommer	καλοκαίρι	sommer	καλοκαίρι	N;INDF;MASC;SG	N;NOM;NEUT;SG
sommer	σάμμερ	sommer	σάμμερ	N;INDF;MASC;SG	N
liste	λίστα	liste	λίστα	N;INDF;FEM;SG	N;NOM;FEM;SG
liste	κατάλογος	liste	κατάλογος	N;INDF;FEM;SG	N;NOM;MASC;SG
side	πλευρα	side	πλευρα	N;INDF;FEM;SG	N;ACC;FEM;SG
side	πλευρά	side	πλευρά	N;INDF;FEM;SG	N;ACC;FEM;SG
side	σελίδα	side	σελίδα	N;INDF;FEM;SG	N;NOM;FEM;SG
side	σελιδα	side	σελιδα	N;INDF;FEM;SG	N;ACC;FEM;SG
helt	ήρωας	helt	ήρωο	N;INDF;MASC;SG	N;NOM;MASC;SG
helt	ήρωα	helt	ήρωα	N;INDF;MASC;SG	N;ACC;MASC;SG
amerikansk	αμερικανική	amerikansk	αμερικάνικος	ADJ;INDF;SG	ADJ;NOM;FEM;SG
amerikansk	αμερικανός	amerikansk	Αμερικανός	ADJ;INDF;SG	ADJ;NOM;MASC;SG
amerikansk	αμερικάνος	amerikansk	αμερικάνος	ADJ;INDF;SG	ADJ;NOM;MASC;SG
amerikansk	αμερικάνικο	amerikansk	Αμερικάνικος	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
spilte	έπαιζε	spilte	παίζω	V;IND;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
spilte	έπαιζα	spilte	έπαιζα	V;IND;PST;FIN	V;IPFV;IND;SG;1;PST;FIN;ACT
spilte	έπαιξε	spilte	παίζω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
spilte	παίχτηκε	spilte	παίσταμαι	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;PASS
spilte	έπαιξα	spilte	δαπαίζω	V;IND;PST;FIN	V;PFV;IND;SG;1;PST;FIN;ACT
grunn	αιτία	grunn	αιτία	N;INDF;MASC;SG	N;NOM;FEM;SG
grunn	λόγος	grunn	λόγος	N;INDF;MASC;SG	N;NOM;MASC;SG
artikkelen	αρθρο	artikkel	αρθρο	N;DEF;MASC;SG	N;NOM;NEUT;SG
artikkelen	άρθρο	artikkel	άρθρο	N;DEF;MASC;SG	N;NOM;NEUT;SG
mindre	μικρότερος	liten	μικρός	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
mindre	μικρότερο	liten	μικρός	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
mindre	μικρότερες	liten	μικρός	ADJ;CMPR	ADJ;NOM;CMPR;FEM;PL
mindre	μικρότερη	liten	μικρός	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	ανήλικος	liten	ανήλικος	ADJ;CMPR	ADJ;NOM;MASC;SG
mindre	λιγότερες	liten	λίγος	ADJ;CMPR	ADJ;NOM;CMPR;FEM;PL
rekke	σειρά	rekke	σειρά	N;INDF;FEM;SG	N;ACC;FEM;SG
rekke	σειρα	rekke	σειρα	N;INDF;FEM;SG	N;NOM;FEM;SG
tillegg	πρόσθεση	tillegg	πρόσθεση	N;INDF;NEUT;SG	N;NOM;FEM;SG
tillegg	προσθήκη	tillegg	προσθήκη	N;INDF;NEUT;SG	N
landet	χωρα	land	χωρα	N;DEF;NEUT;SG	N;ACC;FEM;SG
landet	χώρα	land	χώρα	N;DEF;NEUT;SG	N;NOM;FEM;SG
arter	ειδη	arter	ειδη	N;INDF;FEM;PL	N;NOM;NEUT;PL
arter	είδη	arter	είδος	N;INDF;FEM;PL	N;NOM;NEUT;PL
området	έκταση	område	έκταση	N;DEF;NEUT;SG	N;ACC;FEM;SG
området	εμβαδόν	område	εμβαδόν	N;DEF;NEUT;SG	N;NOM;NEUT;SG
området	περιοχή	område	περιοχή	N;DEF;NEUT;SG	N;NOM;FEM;SG
området	περιοχη	område	περιοχος	N;DEF;NEUT;SG	N;NOM;FEM;SG
lag	ομαδα	lag	ομαδα	N;INDF;NEUT;SG	N;NOM;FEM;SG
lag	ομάδα	lag	ομάδα	N;INDF;NEUT;SG	N;ACC;FEM;SG
årene	κουπιά	år	κουπιό	N;DEF;FEM;PL	N;NOM;NEUT;PL
tatt	σπασμένο	ta	σπάζω	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG
bruk	χρήση	bruk	χρήση	N;INDF;MASC;SG	N;ACC;FEM;SG
bruk	χρησιμοποίηση	bruk	χρησιμοποίηση	N;INDF;MASC;SG	N;ACC;FEM;SG
øst	ανατολή	øs	ανατολή	N;INDF;NEUT;SG	N;NOM;FEM;SG
døde	νεκροί	død	νεκρός	ADJ;PL	ADJ;NOM;MASC;PL
county	κομητεία	county	κομητείο	N;INDF;SG	N;NOM;FEM;SG
større	μεγαλύτερος	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
større	μεγαλύτερο	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
større	μεγαλύτερη	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	μεγαλύτερη	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	μεγαλύτερος	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
større	μεγαλύτερο	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;SG
større	μεγαλύτερη	stor	μεγάλος	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
begynte	ξεκίνησα	begynne	ξεκινώ	V;IND;PST;FIN	V;PFV;IND;SG;1;PST;FIN;ACT
begynte	άρχισε	begynne	αρχίζω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
begynte	ξεκίνησε	begynne	ξεκινώ	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
kirke	τσερτς	kirke	τσερτς	N;INDF;MASC;SG	N
kirke	εκκλησία	kirke	εκκλησία	N;INDF;MASC;SG	N;NOM;FEM;SG
kirke	εκκλησια	kirke	εκκλησιος	N;INDF;MASC;SG	N;NOM;FEM;SG
frem	ώθηση	frem	ώθηση	N;INDF;MASC;SG	N;ACC;FEM;SG
frem	τόνωση	frem	τόνωση	N;INDF;MASC;SG	N;ACC;FEM;SG
artikler	άρθρα	artikke	άρθρο	N;INDF;FEM;PL	N;NOM;NEUT;PL
artikler	τεχνουργήματα	artikke	τεχνούργημα	N;INDF;FEM;PL	N;NOM;NEUT;PL
gjorde	έκανε	gjere	κάνω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
skrevet	γραπτή	skrev	γραπτός	N;DEF;NEUT;SG	N;NOM;FEM;SG
familien	οικογενεια	familie	οικογενεια	N;DEF;MASC;SG	N;ACC;FEM;SG
familien	οικογένεια	familie	οικογένεια	N;DEF;MASC;SG	N;NOM;FEM;SG
eksempel	δείγμα	eksempel	δείγμα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
eksempel	παράδειγμα	eksempel	παράδειγμα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
eksempel	παραδειγμα	eksempel	παραδειγμα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
kjente	γνωστοί	kjent	γνωστός	ADJ;PL	ADJ;NOM;MASC;PL
kjente	γνωστές	kjent	γνωστός	ADJ;PL	ADJ;NOM;FEM;PL
ganger	φορές	gange	φορά	N;INDF;MASC;PL	N;NOM;FEM;PL
ganger	χρόνοι	gange	χρόνος	N;INDF;MASC;PL	N;NOM;MASC;PL
artikkel	αρθρο	artikkel	αρθρο	N;INDF;MASC;SG	N;NOM;NEUT;SG
artikkel	άρθρο	artikkel	άρθρο	N;INDF;MASC;SG	N;NOM;NEUT;SG
ser	ψάχνει	sjå	ψάχνω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
ser	παρακολουθώ	sjå	παρακολουθώ	V;IND;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
ser	παρακολουθεί	sjå	παρακολουθώ	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
ser	βλέποντας	sjå	βλέπω	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
ser	παρακολουθώντας	sjå	παρακολουθώ	V;IND;PRS;FIN	V;IPFV;V.CVB;ACT
ulike	διαφορετικοί	ulik	διαφορετικός	ADJ;PL	ADJ;NOM;MASC;PL
score	βαθμολογία	score	βαθμολογία	N;INDF;NEUT;SG	N;ACC;FEM;SG
like	ίσης	lik	ίσος	ADJ;SG	ADJ;GEN;FEM;SG
gruppe	όμιλος	gruppe	όμιλος	N;INDF;FEM;SG	N;NOM;MASC;SG
gruppe	ομαδα	gruppe	ομαδα	N;INDF;FEM;SG	N;NOM;FEM;SG
gruppe	ομάδα	gruppe	ομάδα	N;INDF;FEM;SG	N;ACC;FEM;SG
deretter	τότε	deretter	τότε	ADV	ADV
deretter	μετά	deretter	μετά	ADV	ADV
deretter	αναλόγως	deretter	αναλόγως	ADV	ADV
lang	μακρύς	lang	μακρύς	ADJ;INDF;SG	ADJ;NOM;MASC;SG
europa	ευρωπη	europa	ευρωπη	N;DEF;NEUT;SG	N;NOM;FEM;SG
medlem	μέλος	medlem	μέλος	N;INDF;MASC;SG	N;NOM;NEUT;SG
medlem	βουλευτής	medlem	βουλευτής	N;INDF;MASC;SG	N;NOM;MASC;SG
medlem	μελος	medlem	μελος	N;INDF;MASC;SG	N;NOM;NEUT;SG
fem	πεντε	fem	πεντε	NUM;PL	NUM
fem	πέντε	fem	πέντε	NUM;PL	NUM;NOM;MASC;PL
per	ανά	per	ανά	ADP	ADP
nok	αρκετά	nok	αρκετά	ADV	ADV
deler	μερίδια	del	μερίδιο	N;INDF;MASC;PL	N;NOM;NEUT;PL
deler	μετοχές	del	μετοχή	N;INDF;MASC;PL	N;NOM;FEM;PL
deler	μέρη	del	μέρος	N;INDF;MASC;PL	N;NOM;NEUT;PL
deler	τμήματα	del	τμήμα	N;INDF;MASC;PL	N;NOM;NEUT;PL
deler	ενότητες	del	ενότητα	N;INDF;MASC;PL	N;NOM;FEM;PL
fordi	επειδή	fordi	επειδή	CONJ	CONJ
fordi	γιατί	fordi	γιατί	CONJ	CONJ
står	στέκεται	stå	στέκω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
står	στέκεται	stå	στέκω	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
året	ετος	år	ετος	N;DEF;NEUT;SG	N;NOM;NEUT;SG
året	έτος	år	έτος	N;DEF;NEUT;SG	N;ACC;NEUT;SG
året	χρονιά	år	χρονιά	N;DEF;NEUT;SG	N;ACC;FEM;SG
året	έτο	år	έτος	N;DEF;NEUT;SG	N
perioden	περίοδος	periode	περίοδος	N;DEF;MASC;SG	N;NOM;FEM;SG
perioden	περίοδο	periode	περίοδος	N;DEF;MASC;SG	N;ACC;FEM;SG
består	αποτελείται	bestå	αποτελώ	V;IND;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
sønn	γιος	sønn	γιος	N;INDF;MASC;SG	N;NOM;MASC;SG
sønn	υιός	sønn	υιός	N;INDF;MASC;SG	N;NOM;MASC;SG
språk	γλώσσα	språk	γλώσσα	N;INDF;NEUT;SG	N;NOM;FEM;SG
språk	γλωσσα	språk	γλωσσα	N;INDF;NEUT;SG	N;ACC;FEM;SG
forfatter	συγγραφέας	forfatter	συγγραφέα	N;INDF;FEM;SG	N;NOM;MASC;SG
forfatter	συγγραφέα	forfatter	συγγραφέα	N;INDF;FEM;SG	N;VOC;MASC;SG
forfatter	συγγραφέας	forfatter	συγγραφέα	N;INDF;FEM;SG	N;NOM;MASC;SG
forfatter	συγγραφέα	forfatter	συγγραφέα	N;INDF;FEM;SG	N;VOC;MASC;SG
forfatter	συντάκτης	forfatter	συντάκτης	N;INDF;FEM;SG	N;NOM;MASC;SG
fil	φάκελος	fil	φάκελος	N;INDF;MASC;SG	N;NOM;MASC;SG
fil	αρχείο	fil	αρχείο	N;INDF;MASC;SG	N;NOM;NEUT;SG
menn	ανδρες	mann	άντρας	N;INDF;MASC;PL	N;NOM;MASC;PL
menn	άντρες	mann	άντρας	N;INDF;MASC;PL	N;NOM;MASC;PL
menn	άνδρες	mann	άντρας	N;INDF;MASC;PL	N;NOM;MASC;PL
barn	παιδια	barn	παιδί	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	παιδιά	barn	παιδί	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	παιδια	barn	παιδί	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	τέκνα	barn	τέκνα	N;INDF;NEUT;PL	N;NOM;NEUT;PL
barn	παιδιά	barn	παιδί	N;INDF;NEUT;PL	N;NOM;NEUT;PL
kamper	αγώνες	kamp	αγώνας	N;INDF;FEM;PL	N;NOM;MASC;PL
kamper	σπίρτα	kamp	σπίρτα	N;INDF;FEM;PL	N;NOM;NEUT;PL
kamper	καβγάδες	kamp	καβγάδα	N;INDF;FEM;PL	N;NOM;FEM;PL
kamper	καυγάδες	kamp	καυγάδα	N;INDF;FEM;PL	N;NOM;FEM;PL
kamper	μάχες	kamp	μάχη	N;INDF;FEM;PL	N;NOM;FEM;PL
kamper	παιχνίδια	kamp	παιχνίδιο	N;INDF;FEM;PL	N;NOM;NEUT;PL
kamper	αγωνες	kamp	αγωνας	N;INDF;FEM;PL	N;NOM;MASC;PL
kamper	αγώνες	kamp	αγώνας	N;INDF;FEM;PL	N;NOM;MASC;PL
kamper	μάχες	kamp	μάχη	N;INDF;FEM;PL	N;NOM;FEM;PL
spiller	παιζει	spille	παίζω	V;IND;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
