brilla	brille	brilla	briller	V	V;IND;SG;3;PRS;FIN
quixeches	voulait	quixeche	vouloir	V	V;IND;SG;3;IPFV;FIN
xenerosa	généreuse	xeneroso	généreux	ADJ	ADJ;FEM;SG
xenerosa	généreuses	xeneroso	généreux	ADJ	ADJ;FEM;PL
xenerosa	généreux	xeneroso	généreux	ADJ	ADJ;MASC;SG
culto	secte	culto	secte	N	N;FEM;SG
culto	culte	culto	culte	N	N;MASC;SG
culto	cultes	culto	culte	N	N;MASC;PL
irlandesa	irlandaise	irlandesa	irlandais	ADJ	ADJ;FEM;SG
irlandesa	irlandais	irlandesa	irlandais	ADJ	ADJ;MASC;SG
lagoa	lagune	lagoa	lagune	N	N;FEM;SG
lagoa	lagon	lagoa	lagon	N	N;MASC;SG
meniña	fille	meniña	fille	N	N;FEM;SG
meniña	fillette	meniña	fillette	N	N;FEM;SG
católicos	catholiques	católico	catholique	ADJ	ADJ;MASC;PL
católicos	catholique	católico	catholique	ADJ	ADJ;MASC;SG
católicos	catholiques	católico	catholique	ADJ	ADJ;MASC;PL
pasear	marcher	pasear	marcher	V	V;NFIN
clans	clan	clan	clan	N	N;MASC;SG
clans	clans	clan	clan	N	N;MASC;PL
marquesa	marquise	marquesa	marquise	N	N;FEM;SG
duchêne	duchene	duchêne	duchene	N	N;MASC;SG
cuarteto	quartet	cuarteto	quartet	N	N;MASC;SG
cuarteto	quatuor	cuarteto	quatuor	N	N;MASC;SG
corría	courir	corría	courir	V	V;NFIN
corría	etait	corría	etever	V	V;IND;SG;3;IPFV;FIN
ensino	enseignement	ensino	enseignement	N	N;MASC;SG
informática	ordinateurs	informática	ordinateur	N	N;MASC;PL
informática	ordinateur	informática	ordinateur	N	N;MASC;SG
confesión	confession	confesión	confession	N	N;FEM;SG
confesión	aveux	confesión	aveu	N	N;MASC;PL
confesión	aveu	confesión	aveu	N	N;MASC;SG
loitan	combattre	loitar	combattre	V	V;NFIN
medicinas	médecine	medicina	médecine	N	N;FEM;SG
medicinas	médicament	medicina	médicament	N	N;MASC;SG
perden	perdez	perder	perdre	V	V;IMP;PL;2;PRS;FIN
perden	perdre	perder	perdre	V	V;NFIN
perden	perd	perder	perdre	V	V;IND;SG;3;PRS;FIN
culturas	cultures	cultura	culture	N	N;FEM;PL
interpretación	interprétation	interpretación	interprétation	N	N;FEM;SG
escoitan	ecouter	escoitar	ecouter	V	V;NFIN
escoitan	écoutant	escoitar	écouter	V	V;PRS;V.PTCP
escoitan	écouter	escoitar	écouter	V	V;NFIN
dinámica	dynamisme	dinámica	dynamisme	N	N;MASC;SG
populares	populaires	popular	populaire	ADJ	ADJ;MASC;PL
populares	populaire	popular	populaire	ADJ	ADJ;MASC;SG
aumenta	fera	aumentar	faire	V	V;IND;SG;3;FUT;FIN
aumenta	augmenter	aumentar	augmenter	V	V;NFIN
aumenta	accroître	aumentar	accroître	V	V;NFIN
sida	sida	sida	sida	N	N;MASC;SG
sida	aides	sida	aide	N	N;FEM;PL
similar	similaires	similar	similaire	ADJ	ADJ;MASC;PL
similar	similaire	similar	similaire	ADJ	ADJ;MASC;SG
similar	semblables	similar	semblable	ADJ	ADJ;MASC;PL
similar	analogue	similar	analogue	ADJ	ADJ;MASC;SG
similar	semblable	similar	semblable	ADJ	ADJ;MASC;SG
espectadores	téléspectateurs	espectador	téléspectateur	N	N;MASC;PL
espectadores	spectateurs	espectador	spectateur	N	N;MASC;PL
decateime	réalisé	decateime	réaliser	V	V;MASC;SG;PST;V.PTCP
saibas	connaitre	saber	connaître	V	V;NFIN
saibas	connaître	saber	connaître	V	V;NFIN
saibas	sachez	saber	savoir	V	V;IMP;PL;2;PRS;FIN
saibas	savoir	saber	savoir	V	V;NFIN
garantía	garantie	garantía	garantie	N	N;FEM;SG
bambú	bambou	bambú	bambou	N	N;MASC;SG
bambú	bambous	bambú	bambous	N	N;MASC;PL
falsos	faux	falso	faux	ADJ	ADJ;MASC;SG
falsos	fausse	falso	faux	ADJ	ADJ;FEM;SG
falsos	fausses	falso	faux	ADJ	ADJ;FEM;PL
pensaban	réfléchi	pensabar	réfléchir	V	V;MASC;SG;PST;V.PTCP
pensaban	pensais	pensabar	penser	V	V;IND;SG;1;IPFV;FIN
pensaban	pensé	pensabar	pensé	V	V;MASC;SG;PST;V.PTCP
coñecida	connues	coñecer	connaître	V	V;FEM;PL;PST;V.PTCP
coñecida	connue	coñecer	connaître	V	V;FEM;SG;PST;V.PTCP
coñecida	connus	coñecer	connaître	V	V;MASC;PL;PST;V.PTCP
coñecida	connu	coñecer	connaître	V	V;MASC;SG;PST;V.PTCP
xulgado	tribunal	xulgado	tribunal	N	N;MASC;SG
xulgado	cour	xulgado	cour	N	N;FEM;SG
extensión	prolongement	extensión	prolongement	N	N;MASC;SG
extensión	prolongation	extensión	prolongation	N	N;FEM;SG
extensión	extension	extensión	extension	N	N;FEM;SG
extensión	vulgarisation	extensión	vulgarisation	N	N;FEM;SG
expansión	agrandissement	expansión	agrandissement	N	N;MASC;SG
expansión	extension	expansión	extension	N	N;FEM;SG
expansión	expansion	expansión	expansion	N	N;FEM;SG
azar	hasard	azar	hasard	N	N;MASC;SG
azar	chance	azar	chance	N	N;FEM;SG
organizacións	organismes	organización	organisme	N	N;MASC;PL
organizacións	organisations	organización	organisation	N	N;FEM;PL
individual	individuelle	individual	individuel	ADJ	ADJ;FEM;SG
individual	individuels	individual	individuel	ADJ	ADJ;MASC;PL
individual	individuel	individual	individuel	ADJ	ADJ;MASC;SG
web	site	web	site	N	N;MASC;SG
web	web	web	web	N	N;MASC;SG
web	enchaînement	web	enchaînement	N	N;MASC;SG
novamente	encore	novamente	encore	ADV	ADV
intres	moments	intres	moment	N	N;MASC;PL
intres	instants	intres	instant	N	N;MASC;PL
específico	spécifiques	específico	spécifique	ADJ	ADJ;MASC;PL
específico	spécifique	específico	spécifique	ADJ	ADJ;MASC;SG
ordenadores	ordinateurs	ordenador	ordinateur	N	N;MASC;PL
ordenadores	ordinateurs	ordenador	ordinateur	N	N;MASC;PL
ordenadores	ordinateur	ordenador	ordinateur	N	N;MASC;SG
estatísticas	statistiques	estatística	statistique	N	N;FEM;PL
capturado	capturées	capturado	capturer	V	V;FEM;PL;PST;V.PTCP
capturado	capturée	capturado	capturer	V	V;FEM;SG;PST;V.PTCP
capturado	capturé	capturado	capturer	V	V;MASC;SG;PST;V.PTCP
capturado	capturés	capturado	capturer	V	V;MASC;PL;PST;V.PTCP
características	fonctions	característica	fonction	N	N;FEM;PL
características	fonctionnalités	característica	fonctionnalité	N	N;FEM;PL
residencia	résidence	residencia	résidence	N	N;FEM;SG
paran	arrêter	parar	arrêter	V	V;NFIN
paran	arrête	parar	arrêter	V	V;IND;SG;3;PRS;FIN
paran	arrêtez	parar	arrêter	V	V;IMP;PL;2;PRS;FIN
pensara	pense	pensar	penser	V	V;IND;SG;3;PRS;FIN
pensara	pensez	pensar	penser	V	V;IMP;PL;2;PRS;FIN
pensara	penser	pensar	penser	V	V;NFIN
pensara	réfléchir	pensar	réfléchir	V	V;NFIN
pensara	réfléchi	pensar	réfléchir	V	V;MASC;SG;PST;V.PTCP
pensara	pensais	pensar	penser	V	V;IND;SG;1;IPFV;FIN
pensara	pensé	pensar	pensé	V	V;MASC;SG;PST;V.PTCP
calefacción	chaleur	calefacción	chaleur	N	N;FEM;SG
calefacción	chauffage	calefacción	chauffage	N	N;MASC;SG
respondeu	répondu	responder	répondre	V	V;MASC;SG;PST;V.PTCP
décadas	décennies	década	décennie	N	N;FEM;PL
enfermos	malades	enfermo	malade	N	N;MASC;PL
compartimos	partager	compartir	partager	V	V;NFIN
compartimos	partagez	compartir	partager	V	V;IMP;PL;2;PRS;FIN
compartimos	partagées	compartir	partager	V	V;FEM;PL;PST;V.PTCP
compartimos	partagée	compartir	partager	V	V;FEM;SG;PST;V.PTCP
compartimos	partagé	compartir	partager	V	V;MASC;SG;PST;V.PTCP
redución	réduction	redución	réduction	N	N;FEM;SG
arder	brûlant	arder	brûler	V	V;PRS;V.PTCP
arder	brûler	arder	brûler	V	V;NFIN
arder	graver	arder	graver	V	V;NFIN
arder	brûler	arder	brûler	V	V;NFIN
arder	brûlent	arder	brûlent	V	V;IND;PL;3;PRS;FIN
volcán	volcan	volcán	volcan	N	N;MASC;SG
volcán	volcans	volcán	volcan	N	N;MASC;PL
oriental	orientale	oriental	oriental	ADJ	ADJ;FEM;SG
oriental	oriental	oriental	oriental	ADJ	ADJ;MASC;SG
oriental	orientale	oriental	oriental	ADJ	ADJ;FEM;SG
oriental	orientales	oriental	oriental	ADJ	ADJ;FEM;PL
oriental	oriental	oriental	oriental	ADJ	ADJ;MASC;SG
oriental	orientaux	oriental	oriental	ADJ	ADJ;MASC;PL
violín	violon	violín	violon	N	N;MASC;SG
sufriu	subie	sufrir	subie	V	V;FEM;SG;PST;V.PTCP
sufriu	souffert	sufrir	souffert	V	V;MASC;SG;PST;V.PTCP
usado	utilisées	usar	utiliser	V	V;FEM;PL;PST;V.PTCP
usado	utilisé	usar	utiliser	V	V;MASC;SG;PST;V.PTCP
usado	utilisés	usar	utiliser	V	V;MASC;PL;PST;V.PTCP
usado	utilisée	usar	utiliser	V	V;FEM;SG;PST;V.PTCP
explorar	découvrir	explorar	découvrir	V	V;NFIN
explorar	explorer	explorar	explorer	V	V;NFIN
explorar	explorant	explorar	explorer	V	V;PRS;V.PTCP
explorar	explorer	explorar	explorer	V	V;NFIN
xeralmente	généralement	xeral	généralement	ADV	ADV
teléfonos	smartphones	teléfono	smartphone	N	N;MASC;PL
teléfonos	téléphones	teléfono	téléphone	N	N;MASC;PL
estruturas	structures	estrutura	structure	N	N;FEM;PL
fusión	fusion	fusión	fusion	N	N;FEM;SG
suma	somme	suma	somme	N	N;FEM;SG
tanque	réservoir	tanque	réservoir	N	N;MASC;SG
tanque	tank	tanque	tank	N	N;MASC;SG
tanque	citerne	tanque	citerne	N	N;FEM;SG
tanque	cuve	tanque	cuve	N	N;FEM;SG
eventos	évènements	evento	évènement	N	N;MASC;PL
eventos	evénements	evento	evénement	N	N;MASC;PL
eventos	evenements	evento	evenement	N	N;MASC;PL
eventos	événements	evento	événement	N	N;MASC;PL
axenda	agenda	axenda	agenda	N	N;MASC;SG
bancos	banques	banco	banque	N	N;FEM;PL
pensaron	réfléchi	pensar	réfléchir	V	V;MASC;SG;PST;V.PTCP
pensaron	pensais	pensar	penser	V	V;IND;SG;1;IPFV;FIN
pensaron	pensé	pensar	pensé	V	V;MASC;SG;PST;V.PTCP
instrucións	consignes	instrución	consigne	N	N;FEM;PL
instrucións	instructions	instrución	instruction	N	N;FEM;PL
chamábase	nommer	chamábase	nommer	V	V;NFIN
chamábase	etait	chamábase	etever	V	V;IND;SG;3;IPFV;FIN
chamábase	appelée	chamábase	appeler	V	V;FEM;SG;PST;V.PTCP
chamábase	appelé	chamábase	appeler	V	V;MASC;SG;PST;V.PTCP
chamábase	appelés	chamábase	appeler	V	V;MASC;PL;PST;V.PTCP
pluma	stylo	plumo	stylo	N	N;MASC;SG
pluma	pen	plumo	pen	N	N;MASC;SG
pluma	plume	plumo	plume	N	N;FEM;SG
pluma	stylos	plumo	stylo	N	N;MASC;PL
pluma	plumes	plumo	plume	N	N;FEM;PL
pluma	plume	plumo	plume	N	N;FEM;SG
espido	nu	espido	nu	N	N;MASC;SG
técnicos	techniciens	técnico	technicien	N	N;MASC;PL
verbas	mots	verba	mot	N	N;MASC;PL
deixalos	congés	deixalo	congé	N	N;MASC;PL
deixalos	congé	deixalo	congé	N	N;MASC;SG
conclusión	conclusion	conclusión	conclusion	N	N;FEM;SG
orgullosos	fière	orgulloso	fière	ADJ	ADJ;FEM;SG
orgullosos	fiers	orgulloso	fier	ADJ	ADJ;MASC;PL
orgullosos	orgueilleux	orgulloso	orgueilleux	ADJ	ADJ;MASC;SG
orgullosos	fières	orgulloso	fière	ADJ	ADJ;FEM;PL
chegarán	fera	chegar	faire	V	V;IND;SG;3;FUT;FIN
escoitou	entendu	escoitar	entendre	V	V;MASC;SG;PST;V.PTCP
escoitou	entendue	escoitar	entendre	V	V;FEM;SG;PST;V.PTCP
escoitou	entendues	escoitar	entendre	V	V;FEM;PL;PST;V.PTCP
escoitou	entendus	escoitar	entendre	V	V;MASC;PL;PST;V.PTCP
músculos	muscles	músculo	muscle	N	N;MASC;PL
demostración	démonstration	demostración	démonstration	N	N;FEM;SG
demostración	démonstrations	demostración	démonstration	N	N;FEM;PL
demostración	manifestation	demostración	manifestation	N	N;FEM;SG
computador	ordinateurs	computador	ordinateur	N	N;MASC;PL
computador	ordinateur	computador	ordinateur	N	N;MASC;SG
xogadores	joueurs	xogador	joueur	N	N;MASC;PL
xogadores	joueurs	xogador	joueur	N	N;MASC;PL
gañando	gagner	gañar	gagner	V	V;NFIN
gañando	gagnant	gañar	gagner	V	V;PRS;V.PTCP
preguntando	demandant	preguntar	demander	V	V;PRS;V.PTCP
supostamente	prétendument	supostamente	prétendument	ADV	ADV
violación	viols	violación	viol	N	N;MASC;PL
violación	viol	violación	viol	N	N;MASC;SG
violación	colza	violación	colza	N	N;MASC;SG
violación	violation	violación	violation	N	N;FEM;SG
violación	infraction	violación	infraction	N	N;FEM;SG
gustoume	aime	gustoume	aimer	V	V;IND;SG;3;PRS;FIN
gustoume	aiment	gustoume	aimer	V	V;IND;PL;3;PRS;FIN
gustoume	aimez	gustoume	aimer	V	V;IMP;PL;2;PRS;FIN
gustoume	apprécié	gustoume	apprécier	V	V;MASC;SG;PST;V.PTCP
gustoume	aimés	gustoume	aimer	V	V;MASC;PL;PST;V.PTCP
gustoume	aimées	gustoume	aimer	V	V;FEM;PL;PST;V.PTCP
gustoume	aimée	gustoume	aimer	V	V;FEM;SG;PST;V.PTCP
gustoume	aimé	gustoume	aimer	V	V;MASC;SG;PST;V.PTCP
xefa	tête	xefa	tête	N	N;FEM;SG
xefa	têtes	xefa	tête	N	N;FEM;PL
manchas	spots	mancha	spot	N	N;MASC;PL
manchas	taches	mancha	tache	N	N;FEM;PL
vestida	habillé	vestida	habiller	V	V;MASC;SG;PST;V.PTCP
vestida	habillée	vestida	habillé	V	V;FEM;SG;PST;V.PTCP
vestida	habillées	vestida	habillé	V	V;FEM;PL;PST;V.PTCP
vestida	vêtue	vestida	vêtir	V	V;FEM;SG;PST;V.PTCP
vestida	habillés	vestida	habillé	V	V;MASC;PL;PST;V.PTCP
neveira	frigidaire	neveiro	frigidaire	N	N;MASC;SG
neveira	réfrigérateur	neveiro	réfrigérateur	N	N;MASC;SG
neveira	frigo	neveiro	frigo	N	N;MASC;SG
potente	puissant	potente	puissant	ADJ	ADJ;MASC;SG
potente	puissants	potente	puissant	ADJ	ADJ;MASC;PL
potente	puissante	potente	puissant	ADJ	ADJ;FEM;SG
potente	puissantes	potente	puissant	ADJ	ADJ;FEM;PL
perigosa	dangereux	perigosa	dangereux	ADJ	ADJ;MASC;SG
perigosa	dangereuse	perigosa	dangereux	ADJ	ADJ;FEM;SG
perigosa	dangereuses	perigosa	dangereux	ADJ	ADJ;FEM;PL
categoría	catégorie	categoría	catégorie	N	N;FEM;SG
categoría	catégories	categoría	catégorie	N	N;FEM;PL
amargo	amertume	amargo	amertume	N	N;FEM;SG
equivocado	erroné	equivocar	erroné	V	V;MASC;SG;PST;V.PTCP
representante	mandataire	representante	mandataire	N	N;MASC;SG
representante	proxy	representante	proxy	N	N;MASC;SG
representante	procuration	representante	procuration	N	N;FEM;SG
representante	représentant	representante	représentant	N	N;MASC;SG
representante	représentante	representante	représentant	N	N;FEM;SG
levárono	pris	levárono	prendre	V	V;MASC;SG;PST;V.PTCP
levárono	prit	levárono	prendre	V	V;IND;SG;3;PST;FIN
xogamos	joués	xogar	jouer	V	V;MASC;PL;PST;V.PTCP
xogamos	jouées	xogar	joué	V	V;FEM;PL;PST;V.PTCP
xogamos	jouée	xogar	jouer	V	V;FEM;SG;PST;V.PTCP
xogamos	joué	xogar	jouer	V	V;MASC;SG;PST;V.PTCP
xogamos	jouer	xogar	jouer	V	V;NFIN
xogamos	jouez	xogar	jouer	V	V;IMP;PL;2;PRS;FIN
feitas	fait	facer	faire	V	V;MASC;SG;PST;V.PTCP
feitas	fabriqués	facer	fabriquer	V	V;MASC;PL;PST;V.PTCP
feitas	faite	facer	faire	V	V;FEM;SG;PST;V.PTCP
feitas	fabriqué	facer	fabriquer	V	V;MASC;SG;PST;V.PTCP
renunciar	donnant	renunciar	donner	V	V;PRS;V.PTCP
logro	accomplissement	logro	accomplissement	N	N;MASC;SG
estranxeira	étrangère	estranxeiro	étranger	ADJ	ADJ;FEM;SG
estranxeira	étrangères	estranxeiro	étranger	ADJ	ADJ;FEM;PL
seguranza	entrepreneur	seguranza	entrepreneur	N	N;MASC;SG
seguranza	contractant	seguranza	contracter	N	N;MASC;SG
ciclo	cycle	ciclo	cycle	N	N;MASC;SG
dirán	dites	dir	dire	V	V;FEM;PL;PST;V.PTCP
dirán	dire	dir	dire	V	V;NFIN
néboa	brume	néboa	brume	N	N;FEM;SG
néboa	brouillard	néboa	brouillard	N	N;MASC;SG
ducia	douzaines	ducia	douzaine	N	N;FEM;PL
ducia	dizaine	ducia	dizaine	N	N;FEM;SG
