από	از	από	از	ADP	ADP
συνέχεια	ادامه	συνέχεια	ادامه	N;ACC;FEM;SG	N;SG
κάτω	پایین	κάτω	پایین	ADV	ADV;ESS
σύστημα	سامانه	σύστημα	سامانه	N;NOM;NEUT;SG	N;SG
σύστημα	سیستم	σύστημα	سیستم	N;NOM;NEUT;SG	N;SG
ακόμα	همچنان	ακόμα	همچنان	ADV	ADV
ακόμα	هنوزم	ακόμα	هنوزم	ADV	ADV
ακόμα	هنوز	ακόμα	هنوز	ADV	ADV
φορές	زمانهای	φορά	زمان	N;NOM;FEM;PL	N;PL
φορές	دفعات	φορά	دفعه	N;NOM;FEM;PL	N;PL
ίδια	همسان	ίδιος	همسان	ADJ;NOM;FEM;SG	ADJ
ίδια	منطبق	ίδιος	None	ADJ;NOM;FEM;SG	ADJ
ιουλίου	ژوئیه	ιούλιος	ژوئیه	N;GEN;NEUT;SG	N;SG
ιουλίου	جولای	ιούλιος	جولا	N;GEN;NEUT;SG	N;SG
χώρα	کانتری	χώρα	کان	N;NOM;FEM;SG	N;SG
χώρα	کشوری	χώρα	کشوری	N;NOM;FEM;SG	N;SG
χώρα	کشور	χώρα	کشور	N;NOM;FEM;SG	N;SG
χώρα	مملکت	χώρα	مملکت	N;NOM;FEM;SG	N;SG
χώρα	ییلاق	χώρα	ییلاق	N;NOM;FEM;SG	N;SG
αποτέλεσμα	عاقبت	αποτέλεσμα	None	N;ACC;NEUT;SG	N;SG
αποτέλεσμα	نتیجه	αποτέλεσμα	نتیجه	N;ACC;NEUT;SG	N;SG
αποτέλεσμα	نتیجه	αποτέλεσμα	نتیجه	N;ACC;NEUT;SG	N;SG
αποτέλεσμα	حاصل	αποτέλεσμα	حاصل	N;ACC;NEUT;SG	N;SG
αποτέλεσμα	اثر	αποτέλεσμα	اثر	N;ACC;NEUT;SG	N;SG
αποτέλεσμα	جلوه	αποτέλεσμα	جلوه	N;ACC;NEUT;SG	N;SG
αποτέλεσμα	تأثیر	αποτέλεσμα	تأثیر	N;ACC;NEUT;SG	N;SG
οκτωβρίου	اکتبر	οκτώβριος	اکتبر	N;GEN;MASC;SG	N;SG
οκτωβρίου	october	οκτώβριος	None	N;GEN;MASC;SG	N;SG
σεπτεμβρίου	september	σεπτέμβριο	september	N;GEN;MASC;SG	N;SG
σεπτεμβρίου	سپتامبر	σεπτέμβριο	سپتامبر	N;GEN;MASC;SG	N;SG
νοεμβρίου	نوامبر	νόεμβριος	نوامبر	N;GEN;MASC;SG	N;SG
αγώνες	بازیهای	αγώνας	None	N;NOM;MASC;PL	N;PL
αγώνες	بازیها	αγώνας	بازی	N;NOM;MASC;PL	N;PL
ταινίες	فیلمهایی	ταινία	فیلم	N;NOM;FEM;PL	N;PL
ταινίες	فیلمهای	ταινία	فیلم	N;NOM;FEM;PL	N;PL
ταινίες	فیلمهایی	ταινία	فیلم	N;NOM;FEM;PL	N;PL
ταινίες	فیلمها	ταινία	فیلم	N;NOM;FEM;PL	N;PL
μαρτίου	مارس	μάρτιος	مارس	N;GEN;MASC;SG	N;SG
μαρτίου	پیشروی	μάρτιος	پیشروی	N;GEN;MASC;SG	N;SG
μαρτίου	راهپیمایی	μάρτιος	راهپیمایی	N;GEN;MASC;SG	N;SG
ιουνίου	ژوئن	ιούνιος	None	N;GEN;MASC;SG	N;SG
αυτές	اینها	αυτός	این	PRO;NOM;FEM;PL;3	PRO;PL
απριλίου	اپریل	απρίλιος	اپریل	N;GEN;MASC;SG	N;SG
απριλίου	آوریل	απρίλιος	None	N;GEN;MASC;SG	N;SG
τρεις	سه	τρεις	سه	NUM;NOM;MASC;PL	NUM
αυγούστου	آگوست	αυγούστος	آگوست	N;GEN;MASC;SG	N;SG
αυγούστου	آگست	αυγούστος	آگست	N;GEN;MASC;SG	N;SG
αυγούστου	اوت	αυγούστος	اوت	N;GEN;MASC;SG	N;SG
έργα	پروژههای	έργο	پروژه	N;NOM;NEUT;PL	N;PL
δεκεμβρίου	دسامبر	δεκέμβριο	دسامبر	N;GEN;MASC;SG	N;SG
πολιτική	سیاست	πολιτική	سیاست	N;NOM;FEM;SG	N;SG
πολιτική	سیاست	πολιτική	سیاست	N;NOM;FEM;SG	N;SG
ακόμη	همچنان	ακόμα	همچنان	ADV	ADV
ακόμη	هنوزم	ακόμα	هنوزم	ADV	ADV
ακόμη	هنوز	ακόμα	هنوز	ADV	ADV
μας	ما	μου	ما	PRO;GEN;MASC;PL;1	PRO;PL;1
εκλογές	انتخابات	εκλογή	انتخابات	N;NOM;FEM;PL	N;PL
εκλογές	انتخاباتی	εκλογή	انتخابات	N;NOM;FEM;PL	N;PL
εκλογές	انتخابات	εκλογή	انتخابات	N;NOM;FEM;PL	N;PL
μέλη	اعضای	μέλος	عضو	N;NOM;NEUT;PL	N;PL
μέλη	اعضا	μέλος	عضو	N;NOM;NEUT;PL	N;PL
τελικά	سرانجام	τελικά	سرانجام	ADV	ADV
τελικά	بالاخره	τελικά	بالاخره	ADV	ADV
τελικά	بلاخره	τελικά	بلاخره	ADV	ADV
μέλος	عضو	μέλος	عضو	N;NOM;NEUT;SG	N;SG
μέλος	عضوی	μέλος	عضو	N;NOM;NEUT;SG	N;SG
εποχή	دوره	εποχή	دوره	N;ACC;FEM;SG	N;SG
εποχή	فصل	εποχή	فصل	N;ACC;FEM;SG	N;SG
εποχή	دوران	εποχή	دوره	N;ACC;FEM;SG	N;SG
εποχή	عصری	εποχή	عصری	N;ACC;FEM;SG	N;SG
χωριό	روستای	χωριό	روستا	N;NOM;NEUT;SG	N;SG
χωριό	دهکده	χωριό	دهکده	N;NOM;NEUT;SG	N;SG
χωριό	ویلیج	χωριό	ویلیج	N;NOM;NEUT;SG	N;SG
χωριό	روستا	χωριό	روستا	N;NOM;NEUT;SG	N;SG
περίοδος	دوره	περίοδος	دوره	N;NOM;FEM;SG	N;SG
περίοδος	پریود	περίοδος	پریود	N;NOM;FEM;SG	N;SG
περίοδος	دورۀ	περίοδος	دورۀ	N;NOM;FEM;SG	N;SG
κύπελλο	فنجان	κύπελλος	None	N;NOM;NEUT;SG	N;SG
κύπελλο	جامی	κύπελλος	جام	N;NOM;NEUT;SG	N;SG
κύπελλο	کاپ	κύπελλος	کاپ	N;NOM;NEUT;SG	N;SG
κύπελλο	جام	κύπελλος	جام	N;NOM;NEUT;SG	N;SG
ζωή	زندگى	ζωή	زندگى	N;ACC;FEM;SG	N;SG
ζωή	زندگی	ζωή	زندگی	N;ACC;FEM;SG	N;SG
έδρα	صندلی	έδρα	صندلی	N;NOM;FEM;SG	N;SG
μεγάλο	بزرگ	μεγάλος	بزرگ	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	درشت	μεγάλος	درشت	ADJ;NOM;NEUT;SG	ADJ
μεγάλο	بزرگ	μεγάλος	بزرگ	ADJ;NOM;NEUT;SG	ADJ
βάση	پایه	βάση	پایه	N;ACC;FEM;SG	N;SG
βάση	مبنا	βάση	مبنا	N;ACC;FEM;SG	N;SG
βάση	پایگاه	βάση	None	N;ACC;FEM;SG	N;SG
βάση	پایه	βάση	پایه	N;ACC;FEM;SG	N;SG
κέντρο	سنتر	κέντρο	سنتر	N;NOM;NEUT;SG	N;SG
κέντρο	مرکزش	κέντρο	مرکزش	N;NOM;NEUT;SG	N;SG
κέντρο	مرکز	κέντρο	مرکز	N;NOM;NEUT;SG	N;SG
κέντρο	سنتر	κέντρο	سنتر	N;NOM;NEUT;SG	N;SG
κέντρο	مرکز	κέντρο	مرکز	N;NOM;NEUT;SG	N;SG
γεννήσεις	تولدها	γεννήση	تولد	N;NOM;FEM;PL	N;PL
φεβρουαρίου	فوریه	φεβρουάριο	فوریه	N;GEN;MASC;SG	N;SG
μορφή	فرم	μορφή	None	N;NOM;FEM;SG	N;SG
μορφή	شکل	μορφή	شکل	N;NOM;FEM;SG	N;SG
μορφή	قالب	μορφή	قالب	N;NOM;FEM;SG	N;SG
μορφή	قالبی	μορφή	قالبی	N;NOM;FEM;SG	N;SG
χρόνο	زمان	χρόνος	زمان	N;ACC;MASC;SG	N;SG
χρόνο	تایم	χρόνος	تایم	N;ACC;MASC;SG	N;SG
ιστοσελίδα	سایت	ιστοσελίδα	سایت	N;NOM;FEM;SG	N;SG
ιστοσελίδα	وبگاه	ιστοσελίδα	وبگاه	N;NOM;FEM;SG	N;SG
ιστοσελίδα	وبسایت	ιστοσελίδα	وبسایت	N;NOM;FEM;SG	N;SG
κόμμα	مهمانی	κόμμα	مهمان	N;NOM;NEUT;SG	N;SG
κόμμα	پارتی	κόμμα	پارت	N;NOM;NEUT;SG	N;SG
κόμμα	مهمونی	κόμμα	مهمونی	N;NOM;NEUT;SG	N;SG
κόμμα	حزب	κόμμα	حزب	N;NOM;NEUT;SG	N;SG
κόμμα	جشن	κόμμα	جشن	N;NOM;NEUT;SG	N;SG
κόμμα	کاما	κόμμα	کاما	N;NOM;NEUT;SG	N;SG
γιατί	چون	γιατί	چون	CONJ	CONJ
ρόλο	رولو	ρόλος	رولو	N;ACC;MASC;SG	N;SG
ρόλο	نقشی	ρόλος	نقش	N;ACC;MASC;SG	N;SG
ρόλο	رل	ρόλος	رل	N;ACC;MASC;SG	N;SG
ρόλο	نقش	ρόλος	نقش	N;ACC;MASC;SG	N;SG
άλμπουμ	آلبوم	άλμπουμ	آلبوم	N;MASC;SG	N;SG
επειδή	چون	επειδή	چون	CONJ	CONJ
έκδοση	ورژن	έκδοση	ورژن	N;ACC;FEM;SG	N;SG
έκδοση	نسخۀ	έκδοση	نسخۀ	N;ACC;FEM;SG	N;SG
έκδοση	نسخه	έκδοση	نسخه	N;ACC;FEM;SG	N;SG
αρχές	مسئولین	αρχή	مسئولین	N;NOM;FEM;PL	N;PL
αρχές	مقامات	αρχή	مقام	N;NOM;FEM;PL	N;PL
αρχές	مسئولان	αρχή	مسئول	N;NOM;FEM;PL	N;PL
αρχές	اصول	αρχή	اصل	N;NOM;FEM;PL	N;PL
συνήθως	معمولا	συνήθως	معمولاً	ADV	ADV
ονομασία	نام	ονομασία	نام	N;NOM;FEM;SG	N;SG
κοινότητα	اجتماع	κοινότητα	None	N;ACC;FEM;SG	N;SG
κοινότητα	ملتی	κοινότητα	ملت	N;ACC;FEM;SG	N;SG
κοινότητα	جامعه	κοινότητα	جامعه	N;ACC;FEM;SG	N;SG
κοινότητα	انجمن	κοινότητα	انجمن	N;ACC;FEM;SG	N;SG
κοινότητα	امت	κοινότητα	امت	N;ACC;FEM;SG	N;SG
τελευταία	اخیرا	τελευταία	اخیرا	ADV	ADV
τελευταία	جدیدا	τελευταία	None	ADV	ADV
κυβέρνηση	دولتی	κυβέρνηση	دولتی	N;NOM;FEM;SG	N;SG
κυβέρνηση	حکومت	κυβέρνηση	حکومت	N;NOM;FEM;SG	N;SG
κυβέρνηση	دولت	κυβέρνηση	دولت	N;NOM;FEM;SG	N;SG
γλώσσα	زبون	γλώσσα	زبون	N;NOM;FEM;SG	N;SG
γλώσσα	زبان	γλώσσα	زبان	N;NOM;FEM;SG	N;SG
γλώσσα	زبان	γλώσσα	زبان	N;NOM;FEM;SG	N;SG
γιος	پسر	γιος	پسر	N;NOM;MASC;SG	N;SG
μάχη	رزم	μάχη	رزم	N;ACC;FEM;SG	N;SG
μάχη	کارزار	μάχη	کارزار	N;ACC;FEM;SG	N;SG
μάχη	بتل	μάχη	بتل	N;ACC;FEM;SG	N;SG
μάχη	نبرد	μάχη	None	N;ACC;FEM;SG	N;SG
μάχη	مقابله	μάχη	مقابله	N;ACC;FEM;SG	N;SG
μάχη	نبرد	μάχη	None	N;ACC;FEM;SG	N;SG
μάχη	بجنگ	μάχη	بجنگ	N;ACC;FEM;SG	N;SG
πανεπιστήμιο	دانشگاه	πανεπιστήμιο	دانشگاه	N;NOM;NEUT;SG	N;SG
πανεπιστήμιο	qom	πανεπιστήμιο	qom	N;NOM;NEUT;SG	N;SG
κάποια	برخی	κάποιος	برخی	PRO;NOM;NEUT;PL;3	PRO
πόλεμο	جنگ	πόλεμος	جنگ	N;ACC;MASC;SG	N;SG
πόλεμο	جنگی	πόλεμος	جنگی	N;ACC;MASC;SG	N;SG
συχνά	غالبا	συχνά	غالبا	ADV	ADV
συχνά	اغلب	συχνά	اغلب	ADV	ADV
περιοχές	نواحی	περιοχή	ناحیه	N;NOM;FEM;PL	N;PL
περιοχές	مناطق	περιοχή	منطقه	N;NOM;FEM;PL	N;PL
παράδειγμα	مثلی	παράδειγμα	مثلی	N;NOM;NEUT;SG	N;SG
παράδειγμα	مثال	παράδειγμα	مثال	N;NOM;NEUT;SG	N;SG
παράδειγμα	نمونه	παράδειγμα	نمونه	N;NOM;NEUT;SG	N;SG
άρθρο	مطلب	άρθρο	مطلب	N;NOM;NEUT;SG	N;SG
άρθρο	مقالۀ	άρθρο	مقالۀ	N;NOM;NEUT;SG	N;SG
άρθρο	مقاله	άρθρο	مقاله	N;NOM;NEUT;SG	N;SG
εικόνα	عکسه	εικόνα	عکسه	N;NOM;FEM;SG	N;SG
εικόνα	عکس	εικόνα	عکس	N;NOM;FEM;SG	N;SG
εικόνα	تصویر	εικόνα	تصویر	N;NOM;FEM;SG	N;SG
εικόνα	نگاره	εικόνα	نگاره	N;NOM;FEM;SG	N;SG
επίσημη	رسمی	επίσημος	رسمی	ADJ;NOM;FEM;SG	ADJ
επίσημη	رسمی	επίσημος	رسمی	ADJ;NOM;FEM;SG	ADJ
κατοίκους	ساکنین	κάτοικος	ساکنین	N;ACC;MASC;PL	N;PL
κατοίκους	یاران	κάτοικος	یار	N;ACC;MASC;PL	N;PL
πηγές	منابع	πηγή	منبع	N;NOM;FEM;PL	N;PL
πόλεις	شهرها	πόλη	شهر	N;NOM;FEM;PL	N;PL
πόλεις	شهرها	πόλη	شهر	N;NOM;FEM;PL	N;PL
ιδιαίτερα	مخصوصا	ιδιαίτερα	مخصوصا	ADV	ADV
αγώνα	نژاد	αγώνας	نژاد	N;ACC;MASC;SG	N;SG
αγώνα	مسابقه	αγώνας	مسابقه	N;ACC;MASC;SG	N;SG
αγώνα	تطبیق	αγώνας	None	N;ACC;MASC;SG	N;SG
αγώνα	مسابقه	αγώνας	مسابقه	N;ACC;MASC;SG	N;SG
αγώνα	کبریت	αγώνας	کبریت	N;ACC;MASC;SG	N;SG
αγώνα	تطابق	αγώνας	تطابق	N;ACC;MASC;SG	N;SG
αγώνα	بجنگ	αγώνας	بجنگ	N;ACC;MASC;SG	N;SG
γεγονός	رویداد	γεγονός	رویداد	N;NOM;NEUT;SG	N;SG
γεγονός	واقعه	γεγονός	واقعه	N;NOM;NEUT;SG	N;SG
γεγονός	رخداد	γεγονός	رخداد	N;NOM;NEUT;SG	N;SG
σελίδα	صفحۀ	σελίδα	صفحۀ	N;NOM;FEM;SG	N;SG
σελίδα	صفحه	σελίδα	صفحه	N;NOM;FEM;SG	N;SG
θέμα	چهره	θέμα	چهره	N;NOM;NEUT;SG	N;SG
θέμα	چهرۀ	θέμα	چهرۀ	N;NOM;NEUT;SG	N;SG
θέμα	تم	θέμα	تم	N;NOM;NEUT;SG	N;SG
θέμα	سوژه	θέμα	None	N;NOM;NEUT;SG	N;SG
θέμα	فاعل	θέμα	None	N;NOM;NEUT;SG	N;SG
θέμα	موضوع	θέμα	موضوع	N;NOM;NEUT;SG	N;SG
ηλικία	عصر	ηλικία	عصر	N;NOM;FEM;SG	N;SG
ηλικία	سنی	ηλικία	سنی	N;NOM;FEM;SG	N;SG
ηλικία	سن	ηλικία	سن	N;NOM;FEM;SG	N;SG
μέγεθος	اندازۀ	μέγεθος	اندازۀ	N;NOM;NEUT;SG	N;SG
μέγεθος	اندازه	μέγεθος	اندازه	N;NOM;NEUT;SG	N;SG
εδώ	اینجا	εδώ	اینجا	ADV	ADV;ESS
σημείο	نکته	σημείο	نکته	N;NOM;NEUT;SG	N;SG
σημείο	نقطه	σημείο	نقطه	N;NOM;NEUT;SG	N;SG
σημείο	پوینت	σημείο	پوینت	N;NOM;NEUT;SG	N;SG
σχέση	رابطه	σχέση	رابطه	N;ACC;FEM;SG	N;SG
περίπτωση	پرونده	περίπτωση	پرونده	N;ACC;FEM;SG	N;SG
περίπτωση	کیس	περίπτωση	کیس	N;ACC;FEM;SG	N;SG
περίπτωση	مورد	περίπτωση	مورد	N;ACC;FEM;SG	N;SG
νέο	نو	νέος	نو	ADJ;ACC;NEUT;SG	ADJ
νέο	جدید	νέος	جدید	ADJ;ACC;NEUT;SG	ADJ
ήδη	قبلا	ήδη	None	ADV	ADV
έτος	سال	έτος	سال	N;ACC;NEUT;SG	N;SG
σχεδόν	تقریباً	σχεδόν	تقریباً	ADV	ADV
σχεδόν	تقریبا	σχεδόν	None	ADV	ADV
ένωση	یونیون	ένωση	یونیون	N;NOM;FEM;SG	N;SG
ένωση	اتحادیه	ένωση	اتحادیه	N;NOM;FEM;SG	N;SG
ένωση	اتحاد	ένωση	اتحاد	N;NOM;FEM;SG	N;SG
ένωση	انجمن	ένωση	انجمن	N;NOM;FEM;SG	N;SG
περισσότερο	دیگر	πολύ	دیگر	ADV;CMPR	ADV
βασιλιά	پادشاه	βασιλιάς	پادشاه	N;ACC;MASC;SG	N;SG
βασιλιά	کینگ	βασιλιάς	کینگ	N;ACC;MASC;SG	N;SG
βασιλιά	شاه	βασιλιάς	شاه	N;ACC;MASC;SG	N;SG
εκκλησία	کلیسا	εκκλησία	None	N;NOM;FEM;SG	N;SG
εκκλησία	چرچ	εκκλησία	چرچ	N;NOM;FEM;SG	N;SG
εκκλησία	کلیسای	εκκλησία	None	N;NOM;FEM;SG	N;SG
εκδόσεις	نشریات	έκδοση	نشریه	N;NOM;FEM;PL	N;PL
μουσείο	موزه	μουσείο	موزه	N;NOM;NEUT;SG	N;SG
συμμετοχή	گرفتاری	συμμετοχή	گرفتاری	N;NOM;FEM;SG	N;SG
συμμετοχή	درگیری	συμμετοχή	درگیری	N;NOM;FEM;SG	N;SG
συμμετοχή	دخالت	συμμετοχή	دخالت	N;NOM;FEM;SG	N;SG
συμμετοχή	مشارکت	συμμετοχή	مشارکت	N;NOM;FEM;SG	N;SG
δυο	دو	δύο	دو	NUM;NOM;PL	NUM
μεγαλύτερη	بزرگتر	μεγάλος	بزرگ	ADJ;NOM;CMPR;FEM;SG	ADJ;CMPR
μεγαλύτερη	پیرتر	μεγάλος	پیر	ADJ;NOM;CMPR;FEM;SG	ADJ;CMPR
