egy	eine	egy	ein	DET;INDF	DET;NOM;INDF;FEM;SG
nemzeti	national	nemzeti	national	ADJ;NOM;SG	ADJ
élő	living	élő	living		
évi	baujahr	évi	baujahr		
század	firma	század	firma	N;NOM;SG	N;NOM;FEM;SG
hivatalos	beamter	hivatalos	beamt	ADJ;NOM;SG	ADJ
hivatalos	offizielles	hivatalos	offiziell	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
hivatalos	offizieller	hivatalos	offiziell	ADJ;NOM;SG	ADJ
hivatalos	offiziellen	hivatalos	offiziell	ADJ;NOM;SG	ADJ
ellen	gegen	ellen	gegen	ADP	ADP
sok	partien	sok	parti		
sok	lot	sok	lot		
sok	partie	sok	partie		
először	zuerst	először	zuerst	ADV	ADV
szövetség	vereinigung	szövetség	vereinigung	N;NOM;SG	N;NOM;FEM;SG
szövetség	assoziation	szövetség	assoziation	N;NOM;SG	N;NOM;FEM;SG
szövetség	vereinigung	szövetség	vereinigung	N;NOM;SG	N;NOM;FEM;SG
jobbra	recht	jobbra	recht	ADV	ADV
jobbra	richtig	jobbra	richtig	ADV	ADV
jobbra	rechts	jobbra	rechts	ADV	ADV
nagyon	sehr	nagyon	sehr	ADV	ADV
nagyon	äußerst	nagyon	äußerst	ADV	ADV
következő	next	következő	next		
kis	kleines	kis	klein	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kis	kleiner	kis	klein	ADJ;NOM;SG	ADJ
kis	klein	kis	klein	ADJ;NOM;SG	ADJ
kis	kleiner	kis	klein	ADJ;NOM;SG	ADJ
kis	klein	kis	klein	ADJ;NOM;SG	ADJ
ott	dort	ott	dort	ADV	ADV
ott	dorthin	ott	dorthin	ADV	ADV
ott	da	ott	da	ADV	ADV
elhunyt	weitergegeben	el+huny	weitergeben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	bestanden	el+huny	bestehen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	vergangen	el+huny	vergehen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	übergeben	el+huny	übergeben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	verstorben	el+huny	versterben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	gestorben	el+huny	sterben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
olasz	italiener	olasz	italiener		
kapott	eingegangen	kap	eingehen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kapott	empfangen	kap	empfangen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kapott	erhielt	kap	erhalten	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
teljes	gesamt	teljes	gesamt		
teljes	voller	teljes	voll		
teljes	vollen	teljes	voll		
legnagyobb	größter	nagy	groß	ADJ;NOM;RL;SG	ADJ
legnagyobb	größte	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;FEM;SG
legnagyobb	grösste	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;SG
legnagyobb	größten	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;MASC;SG
legnagyobb	größtes	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;NEUT;SG
legnagyobb	größter	nagy	groß	ADJ;NOM;RL;SG	ADJ
legnagyobb	größte	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;FEM;SG
legnagyobb	grösste	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;SG
legnagyobb	größten	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;MASC;SG
legnagyobb	größtes	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;NEUT;SG
legnagyobb	größte	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;FEM;SG
legnagyobb	größten	nagy	groß	ADJ;NOM;RL;SG	ADJ;NOM;MASC;SG
óta	seit	óta	seit	ADP	ADP
család	familie	család	familie	N;NOM;SG	N;NOM;FEM;SG
falu	dorf	falu	dorf	N;NOM;SG	N;NOM;NEUT;SG
neve	name	név	Name	N;NOM;SG	N;NOM;SG
igen	yes	igen	yes		
halál	todesstrafe	halál	todesstraf	N;NOM;SG	N;NOM;FEM;SG
bár	obwohl	bár	obwohl	CONJ	CONJ
bár	obwohl	bár	obwohl	CONJ	CONJ
készült	hergestellt	készül	herstellen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
készült	machte	készül	machen	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
készült	gemacht	készül	machen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
készült	geschafft	készül	schaffen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
film	kino	film	kino	N;NOM;SG	N;NOM;NEUT;SG
from	vom	from	vom		
kapcsolódó	verbunden	kapcsolódó	verbinden	ADJ;NOM;SG	ADJ;V.PTCP
kapcsolódó	verbundene	kapcsolódó	verbunden	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kapcsolódó	verbunden	kapcsolódó	verbinden	ADJ;NOM;SG	ADJ;V.PTCP
kapcsolódó	verknüpfte	kapcsolódó	verknüpfen	ADJ;NOM;SG	ADJ;SG
kapcsolódó	verwandt	kapcsolódó	verwandt	ADJ;NOM;SG	ADJ
kapcsolódó	verbundene	kapcsolódó	verbunden	ADJ;NOM;SG	ADJ;NOM;FEM;SG
négy	vier	négy	vier	NUM;NOM;SG	NUM
éve	jahr	év	Jahr	N;NOM;SG	N;NOM;NEUT;SG
éve	jahres	év	jahres	N;NOM;SG	N;NOM;NEUT;SG
áll	stehen	áll	stehen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
áll	steht	áll	stehen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
adott	gegeben	ad	geben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
adott	gab	ad	geben	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
míg	weile	míg	weil	ADV	ADV
nagyobb	größer	nagy	groß	ADJ;NOM;CMPR;SG	ADJ
nagyobb	grösser	nagy	groß	ADJ;NOM;CMPR;SG	ADJ
nagyobb	größeren	nagy	groß	ADJ;NOM;CMPR;SG	ADJ
nagyobb	größer	nagy	groß	ADJ;NOM;CMPR;SG	ADJ
nagyobb	größer	nagy	groß	ADJ;NOM;CMPR;SG	ADJ
nagyobb	grösser	nagy	groß	ADJ;NOM;CMPR;SG	ADJ
nagyobb	höheren	nagy	hoch	ADJ;NOM;CMPR;SG	ADJ
nagyobb	höher	nagy	hoch	ADJ;NOM;CMPR;SG	ADJ
európai	europäisch	európai	europäisch	ADJ;NOM;SG	ADJ
európai	europäischen	európai	europäisch	ADJ;NOM;SG	ADJ;NOM;SG
európai	europäisches	európai	europäisch	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
európai	europäischer	európai	europäisch	ADJ;NOM;SG	ADJ
vett	gekauft	vesz	kaufen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
vett	kaufte	vesz	kaufen	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
bajnokság	meisterschaft	bajnokság	meisterschaft	N;NOM;SG	N;NOM;FEM;SG
bajnokság	wettkampf	bajnokság	wettkampf	N;NOM;SG	N
szó	wortes	szó	wort	N;NOM;SG	N;NOM;NEUT;SG
szó	wort	szó	wort	N;NOM;SG	N;NOM;NEUT;SG
kiadó	verlag	kiadó	verliegen	N;NOM;SG	N;NOM;MASC;SG
kiadó	autovermietung	kiadó	autovermietung	N;NOM;SG	N;NOM;MASC;SG
tudományos	wissenschaftlich	tudományos	wissenschaftlich	ADJ;NOM;SG	ADJ
tudományos	wissenschaftlichen	tudományos	wissenschaftlich	ADJ;NOM;SG	ADJ
sorozat	serie	sorozat	serie	N;NOM;SG	N;NOM;FEM;SG
tól	vom	tól	vom		
lap	bleche	lap	blechen	N;NOM;SG	N;NOM
orosz	russen	orosz	russen		
hazai	inländischen	hazai	inländisch	ADJ;NOM;SG	ADJ
éves	jährlich	éves	jährlich	ADJ;NOM;SG	ADJ
éves	jährlichen	éves	jährlich	ADJ;NOM;SG	ADJ
éves	jährlich	éves	jährlich	ADJ;NOM;SG	ADJ
éves	jährlichen	éves	jährlich	ADJ;NOM;SG	ADJ
száma	anzahl	szám	anzahl	N;NOM;SG	N;SG
száma	zahl	szám	zahl	N;NOM;SG	N;NOM;FEM;SG
egyetlen	einzel	egyetlen	einzel		
egyetlen	single	egyetlen	single		
nélkül	ohne	nélkül	ohne	ADP	ADP
község	gemeinde	község	gemeinde	N;NOM;SG	N;NOM;FEM;SG
község	kommune	község	kommun	N;NOM;SG	N;NOM;FEM;SG
csoport	gruppe	csoport	grappe	N;NOM;SG	N;NOM;FEM;SG
csoport	gruppierung	csoport	gruppierung	N;NOM;SG	N;NOM;FEM;SG
csoport	unternehmensgruppe	csoport	unternehmensgruppe	N;NOM;SG	N;NOM;FEM;SG
író	autor	író	autor	N;NOM;SG	N;NOM;MASC;SG
most	nun	most	nun	ADV	ADV
most	jetzt	most	jetzt	ADV	ADV
épült	aufgebaut	épül	aufbauen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
épült	gebaut	épül	bauen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
épült	errichtet	épül	errichten	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
épült	erbaut	épül	erbauen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
férfi	mensch	férfi	mensch	N;NOM;SG	N;SG
szerzett	gekauft	szerzett	kaufen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
szerzett	erworben	szerzett	erwerben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ember	mensch	ember	mensch	N;NOM;SG	N;SG
ember	mensch	ember	mensch	N;NOM;SG	N;SG
vissza	zurück	vissza	zurück	ADV	ADV
vissza	zurück	vissza	zurück	ADV	ADV
vissza	wieder	vissza	wieder	ADV	ADV
vissza	hinten	vissza	hinten	ADV	ADV
miután	nachdem	miután	nachdem	CONJ	CONJ
teljesen	voll	teljes	voll	ADJ;FRML;SG	ADJ
teljesen	komplett	teljes	komplett	ADJ;FRML;SG	ADJ
teljesen	vollständig	teljes	vollständig	ADJ;FRML;SG	ADJ
teljesen	vollständig	teljes	vollständig	ADJ;FRML;SG	ADJ
teljesen	komplett	teljes	komplett	ADJ;FRML;SG	ADJ
teljesen	vollkommen	teljes	vollkommen	ADJ;FRML;SG	ADJ
teljesen	völlig	teljes	völlig	ADJ;FRML;SG	ADJ
teljesen	total	teljes	total	ADJ;FRML;SG	ADJ
teljesen	völlig	teljes	völlig	ADJ;FRML;SG	ADJ
fontos	wichtig	fontos	wichtig	ADJ;NOM;SG	ADJ
fontos	wichtiges	fontos	wichtig	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
fontos	wichtiger	fontos	wichtig	ADJ;NOM;SG	ADJ
fontos	wichtigen	fontos	wichtig	ADJ;NOM;SG	ADJ
állt	stand	áll	stehen	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
mindig	stets	mindig	stets	ADV	ADV
mindig	immer	mindig	immer	ADV	ADV
korábban	zuvor	korán	zuvor	ADV	ADV
korábban	vorher	korán	vorher	ADV	ADV
korábban	bisher	korán	bisher	ADV	ADV
korábban	zuvor	korán	zuvor	ADV	ADV
korábbi	früher	korábbi	früher	ADJ;NOM;CMPR;SG	ADJ
korábbi	ehemaliger	korábbi	ehemalig	ADJ;NOM;CMPR;SG	ADJ
korábbi	früheren	korábbi	früh	ADJ;NOM;CMPR;SG	ADJ
korábbi	vorheriger	korábbi	vorherig	ADJ;NOM;CMPR;SG	ADJ
újra	wieder	újra	wieder	ADV	ADV
török	türkisch	török	türkisch	ADJ;NOM;SG	ADJ
török	türkisches	török	türkisch	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kellett	gebraucht	kell	brauchen|gebrauchen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kellett	benötigt	kell	benötigen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
stadion	stadion	stadion	stadion	N;NOM;SG	N;NOM;NEUT;SG
stadion	stadion	stadion	stadion	N;NOM;SG	N;NOM;NEUT;SG
stadion	stadions	stadion	stadions	N;NOM;SG	N;NOM;NEUT;SG
kisebb	kleiner	kis	klein	ADJ;NOM;CMPR;SG	ADJ
kisebb	kleineren	kis	klein	ADJ;NOM;CMPR;SG	ADJ
kisebb	kleinerer	kis	klein	ADJ;NOM;CMPR;SG	ADJ
kisebb	kleiner	kis	klein	ADJ;NOM;CMPR;SG	ADJ
kisebb	geringer	kis	gering	ADJ;NOM;CMPR;SG	ADJ
brit	brite	brit	brit		
brit	briten	brit	breten		
inkább	vielmehr	inkább	vielmehr	ADV	ADV
inkább	eher	inkább	eher	ADV	ADV
kívül	aussen	kívül	außenßen		
álló	stationär	álló	stationär	ADJ;NOM;SG	ADJ
álló	stationären	álló	stationär	ADJ;NOM;SG	ADJ
maradt	geblieben	marad	bleiben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
maradt	blieb	marad	bleiben	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
körül	um	körül	um	ADP	ADP
görög	griechen	görög	griechen		
görög	grieche	görög	griech		
helyszín	ort	helyszín	ort	N;NOM;SG	N;NOM;MASC;SG
helyszín	ort	helyszín	ort	N;NOM;SG	N;NOM;MASC;SG
helyszín	standorte	helyszín	standort	N;NOM;SG	N;NOM
helyszín	website	helyszín	websit	N;NOM;SG	N;SG
helyszín	seite	helyszín	seit	N;NOM;SG	N
megjelent	erschienen	megjelent	erscheinen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
megjelent	schien	megjelent	scheinen	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
megjelent	erschien	megjelent	erscheinen	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
politikai	politisch	politikai	politisch	ADJ;NOM;SG	ADJ
politikai	politisches	politikai	politisch	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
politikai	politischer	politikai	politisch	ADJ;NOM;SG	ADJ
nyelv	sprache	nyelv	sprechen	N;NOM;SG	N;NOM;FEM;SG
háború	krieg	háború	kriegen	N;NOM;SG	N
írt	geschrieben	ír	schreiben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
írt	schrieb	ír	schreiben	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
jobb	besser	jó	gut	ADJ;NOM;CMPR;SG	ADJ
jobb	besseren	jó	gut	ADJ;NOM;CMPR;SG	ADJ
alá	unter	alá	unter	ADP	ADP
egyetem	hochschule	egyetem	hochschule	N;NOM;SG	N;NOM;FEM;SG
egyetem	hochschule	egyetem	hochschule	N;NOM;SG	N;NOM;FEM;SG
hely	ort	hely	ort	N;NOM;SG	N;NOM;MASC;SG
hely	ort	hely	ort	N;NOM;SG	N;NOM;MASC;SG
hely	standorte	hely	standort	N;NOM;SG	N;NOM
jelenleg	derzeit	jelenleg	derzeit	ADV	ADV
jelenleg	zurzeit	jelenleg	zurzeit	ADV	ADV
hasonló	vergleichbar	hasonló	vergleichbar	ADJ;NOM;SG	ADJ
hasonló	ähnliches	hasonló	ähnlich	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
hasonló	ähnlich	hasonló	ähnlich	ADJ;NOM;SG	ADJ
hasonló	ähnlichen	hasonló	ähnlich	ADJ;NOM;SG	ADJ
fehér	weiss	fehér	wissen		
lista	liste	lista	lassen	N;NOM;SG	N;NOM;FEM;SG
lista	aufstellung	lista	aufstellingen	N;NOM;SG	N;NOM;FEM;SG
többi	ruhe	többi	ruhe		
többi	rest	többi	rest		
országos	nationaler	országos	national	ADJ;NOM;SG	ADJ
országos	nationalen	országos	national	ADJ;NOM;SG	ADJ;NOM
országos	national	országos	national	ADJ;NOM;SG	ADJ
országos	bundesweit	országos	bundesweit	ADJ;NOM;SG	ADJ
katonai	militär	katonai	militär	ADJ;NOM;SG	ADJ
katonai	militärisch	katonai	militärisch	ADJ;NOM;SG	ADJ
északi	nordic	északi	nordic		
északi	skandinavien	északi	skandinavien		
sikerült	gelungen	sikerül	gelingen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	geschafft	sikerül	schaffen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	verwaltet	sikerül	verwalten	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	bewirtschaftet	sikerül	bewirtschaften	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	gelungen	sikerül	gelingen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	geschafft	sikerül	schaffen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
általános	generika	általános	generika		
szám	anzahl	szám	anzahl	N;NOM;SG	N;SG
szám	zahl	szám	zahl	N;NOM;SG	N;NOM;FEM;SG
újabb	neuer	új	neu	ADJ;NOM;CMPR;SG	ADJ
újabb	neuerer	új	neu	ADJ;NOM;CMPR;SG	ADJ
újabb	neueren	új	neu	ADJ;NOM;CMPR;SG	ADJ
tovább	weiter	tovább	weiter	ADV	ADV
félidő	halbzeit	félidő	halbzeit	N;NOM;SG	N
keresztül	durch	keresztül	durch	ADP	ADP
külön	einzeln	kül	einzeln		
nyugati	west	nyugati	west		
nap	tag	nap	tagen	N;NOM;SG	N;NOM;MASC;SG
nap	tages	nap	tagen	N;NOM;SG	N;NOM;MASC;SG
változott	änderte	változik	ändern	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
változott	geändert	változik	ändern	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
változott	verändert	változik	verändern	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
nyári	sommerurlaub	nyári	sommerurlaub		
története	erzählung	történet	erzählung	N;NOM;SG	N;FEM;SG
vette	nahm	vesz	nehmen	V;DEF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
látható	erkennbar	látható	erkennbar	ADJ;NOM;SG	ADJ
látható	sichtbaren	látható	sichtbar	ADJ;NOM;SG	ADJ
látható	sichtbar	látható	sichtbar	ADJ;NOM;SG	ADJ
látható	sichtbarer	látható	sichtbar	ADJ;NOM;SG	ADJ
ellenére	trotz	ellenére	trotz	ADP	ADP
ellenére	trotz	ellenére	trotz	ADP	ADP
múzeum	museum	múzeum	museum	N;NOM;SG	N;NOM;NEUT;SG
közben	unterdessen	közben	unterdessen	ADV	ADV
közben	mittlerweile	közben	mittlerweile	ADV	ADV
közben	inzwischen	közben	inzwischen	ADV	ADV
közben	währenddessen	közben	währenddessen	ADV	ADV
tartozott	schuldete	tartozik	schuldet	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
tartozott	geschuldet	tartozik	schulden	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
tartozott	gehörte	tartozik	gehören	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
név	name	név	Name	N;NOM;SG	N;NOM;SG
dolgozott	gearbeitet	dolgozik	arbeiten	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
dolgozott	arbeitete	dolgozik	arbeiten	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
kupa	pokal	kupa	pokal	N;NOM;SG	N;NOM;MASC;SG
játszott	spielte	játszik	spielen	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
játszott	gespielt	játszik	spielen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
játszott	abgespielt	játszik	abspielen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
terület	fläche	terület	fläche	N;NOM;SG	N;NOM;FEM;SG
com	kom	com	kom		
com	com	com	com		
végzett	graduierte	végez	graduieren	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
herceg	prinz	herceg	prinz	N;NOM;SG	N;NOM;MASC;SG
magas	hoch	magas	hoch	ADJ;NOM;SG	ADJ
magas	groß	magas	groß	ADJ;NOM;SG	ADJ
kínai	chinesen	kínai	chinese		
színház	kino	színház	kino	N;NOM;SG	N;NOM;NEUT;SG
színház	theater	színház	theat	N;NOM;SG	N;NOM;SG
színház	theater	színház	theat	N;NOM;SG	N;NOM;SG
millió	million	millió	Million	NUM;NOM;SG	NUM
millió	million	millió	Million	NUM;NOM;SG	NUM
vezető	führer	vezető	führer		
köztársaság	republik	köztársaság	republik	N;NOM;SG	N;NOM;FEM;SG
vendég	kunden	vendég	kund	N;NOM;SG	N
együttes	band	együttes	binden		
együttes	ensemble	együttes	ensemble		
együttes	ensembles	együttes	ensembl		
együttes	gelenk	együttes	gelenken		
oldal	seite	oldal	seit	N;NOM;SG	N
rendszer	system	rendszer	system	N;NOM;SG	N;NOM;NEUT;SG
valaki	irgendwer	valaki	irgendwer		
valaki	jmd	valaki	jmd		
valaki	jmd	valaki	jmd		
valaki	irgendwer	valaki	irgendwer		
mikor	wann	mikor	wann	ADV	ADV
belső	internen	belső	intern		
belső	inner	belső	inner		
írta	geschrieben	ír	schreiben	V;DEF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
írta	geschrieben	ír	schreiben	V;DEF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
írta	schrieb	ír	schreiben	V;DEF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
császár	kaiser	császár	kaiser		
császár	herrscher	császár	herrscher		
császár	kaisers	császár	kaisers		
szerkesztő	redaktion	szerkesztő	redaktion	N;NOM;SG	N;SG
gazdasági	wirtschaftlich	gazdasági	wirtschaftlich	ADJ;NOM;SG	ADJ
élt	gelebt	él	peben	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
élt	lebte	él	leben	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
ház	haus	ház	haus	N;NOM;SG	N;NOM;NEUT;SG
felesége	ehefrau	fel+eség	ehefrau	N;NOM;SG	N;NOM;FEM;SG
felesége	frau	fel+eség	frau	N;NOM;SG	N;NOM;FEM;SG
sor	linien	sor	Linie		
sor	zeile	sor	zeilen		
sor	zeile	sor	zeilen		
alakult	gegründet	alakul	gründen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
alakult	gebildet	alakul	bilden	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
alakult	geformt	alakul	formen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
