amb	مع	amb	مَعَ	ADP	ADP;ACC
ciutat	المدينة	ciutat	مَدِينَة	N;FEM;SG	N;NOM;DEF;SG
habitatges	البيوت	habitatge	بَيت	N;MASC;PL	N;NOM;DEF;PL
habitatges	منازل	habitatge	مَنزِل	N;MASC;PL	N;NOM;INDF;PL
habitatges	بيوت	habitatge	بَيت	N;MASC;PL	N;NOM;INDF;PL
habitatges	المنازل	habitatge	مَنزِل	N;MASC;PL	N;NOM;DEF;PL
nord	شمال	nord	شَمَال	N;MASC;SG	N;NOM;INDF;SG
nord	شمالا	nord	شَمَال	N;MASC;SG	N;ACC;INDF;SG
nord	الشمال	nord	شَمَال	N;MASC;SG	N;NOM;DEF;SG
primer	اول	primer	أَوَّل	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
primer	اولا	primer	أَوَّل	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
primer	الاول	primer	أَوَّل	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
primer	الاولى	primer	أَوَّل	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
segle	قرن	segle	قَرن	N;MASC;SG	N;NOM;INDF;SG
segle	القرن	segle	قَرن	N;MASC;SG	N;NOM;DEF;SG
tres	ثلاثة	tres	ثَلَاثَة	NUM;PL	NUM;NOM;INDF;MASC
tres	ثلاث	tres	ثَلَاثَة	NUM;PL	NUM;NOM;INDF;FEM
sud	جنوبا	sud	جَنُوب	N;MASC;SG	N;ACC;INDF;SG
sud	الجنوب	sud	جَنُوب	N;MASC;SG	N;NOM;DEF;SG
sud	جنوب	sud	جَنُوب	N;MASC;SG	N;NOM;INDF;SG
lloc	مكان	lloc	مَكَان	N;MASC;SG	N;NOM;INDF;SG
lloc	المكان	lloc	مَكَان	N;MASC;SG	N;NOM;DEF;SG
nova	جديد	nou	جَدِيد	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
nova	جديدة	nou	جَدِيد	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
nova	الجديد	nou	جَدِيد	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
homes	الرجال	home	رَجُل	N;MASC;PL	N;NOM;DEF;PL
homes	رجال	home	رَجُل	N;MASC;PL	N;NOM;INDF;PL
primera	اول	primer	أَوَّل	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
primera	اولا	primer	أَوَّل	ADJ;FEM;SG	ADJ;ACC;INDF;MASC;SG
primera	الاول	primer	أَوَّل	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
primera	الاولى	primer	أَوَّل	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
dues	اثنين	dos	اِثنَان	NUM;FEM;PL	NUM;NOM;INDF;MASC
dues	اثنتان	dos	اِثنَان	NUM;FEM;PL	NUM;NOM;INDF;FEM
següent	القادم	següent	قَادِم	ADJ;SG	ADJ;NOM;DEF;MASC;SG
següent	التالي	següent	تَالِي	ADJ;SG	ADJ;NOM;DEF;MASC;SG
general	عامة	general	عَامّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
municipi	البلدية	municipi	بَلَدِيَّة	N;MASC;SG	N;NOM;DEF;SG
municipi	بلدية	municipi	بَلَدِيَّة	N;MASC;SG	N;NOM;INDF;SG
fet	معمول	fet	مَعمُول	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
dades	البيانات	dada	بَيَان	N;FEM;PL	N;NOM;DEF;PL
dades	بيانات	dada	بَيَان	N;FEM;PL	N;NOM;INDF;PL
només	فقط	només	فَقَط	ADV	ADV
només	فقط	només	فَقَط	ADV	ADV
regió	منطقة	regió	مِنطَقَة	N;FEM;SG	N;NOM;INDF;SG
regió	المنطقة	regió	مِنطَقَة	N;FEM;SG	N;NOM;DEF;SG
temps	وقت	temps	وَقت	N;MASC	N;NOM;INDF;SG
temps	الزمن	temps	زَمَن	N;MASC	N;NOM;DEF;SG
temps	الوقت	temps	وَقت	N;MASC	N;NOM;DEF;SG
temps	زمن	temps	زَمَن	N;MASC	N;NOM;INDF;SG
temps	الزمان	temps	زَمَان	N;MASC	N;NOM;DEF;SG
empreses	الشركات	empresa	شَرِكَة	N;FEM;PL	N;NOM;DEF;PL
empreses	شركات	empresa	شَرِكَة	N;FEM;PL	N;NOM;INDF;PL
grup	مجموعة	grup	مَجمُوعَة	N;MASC;SG	N;NOM;INDF;SG
grup	المجموعة	grup	مَجمُوعَة	N;MASC;SG	N;NOM;DEF;SG
contra	ضد	contra	ضِدَّ	ADP	ADP;ACC
famílies	العائلات	família	عَائِلَة	N;FEM;PL	N;NOM;DEF;PL
famílies	الاسر	família	أُسرَة	N;FEM;PL	N;NOM;DEF;PL
famílies	العوائل	família	عَائِلَة	N;FEM;PL	N;NOM;DEF;PL
famílies	عائلات	família	عَائِلَة	N;FEM;PL	N;NOM;INDF;PL
fills	الاطفال	fill	طِفل	N;MASC;PL	N;NOM;DEF;PL
rei	الملك	rei	مَلِك	N;MASC;SG	N;NOM;DEF;SG
francès	فرنسيا	francès	فَرَنسِيّ	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
francès	فرنسية	francès	فَرَنسِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
francès	فرنسي	francès	فَرَنسِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
nombre	عدد	nombre	عَدَد	N;MASC;SG	N;NOM;INDF;SG
nombre	العدد	nombre	عَدَد	N;MASC;SG	N;NOM;DEF;SG
nombre	الرقم	nombre	رَقم	N;MASC;SG	N;NOM;DEF;SG
nombre	رقم	nombre	رَقم	N;MASC;SG	N;NOM;INDF;SG
edició	التعديل	edició	تَعدِيل	N;FEM;SG	N;NOM;DEF;SG
edició	تحرير	edició	تَحرِير	N;FEM;SG	N;NOM;INDF;SG
edició	التحرير	edició	تَحرِير	N;FEM;SG	N;NOM;DEF;SG
edició	نشر	edició	نَشر	N;FEM;SG	N;NOM;INDF;SG
edició	النشر	edició	نَشر	N;FEM;SG	N;NOM;DEF;SG
renda	ايجار	renda	إِيجَار	N;FEM;SG	N;NOM;INDF;SG
quatre	اربع	quatre	أَربَعَة	NUM;PL	NUM;NOM;INDF;FEM
quatre	اربعة	quatre	أَربَعَة	NUM;PL	NUM;NOM;INDF;MASC
partit	حفلة	partit	حَفلَة	N;MASC;SG	N;NOM;INDF;SG
partit	الطرف	partit	طَرَف	N;MASC;SG	N;NOM;DEF;SG
partit	حزب	partit	حِزب	N;MASC;SG	N;NOM;INDF;SG
partit	حفل	partit	حَفل	N;MASC;SG	N;NOM;INDF;SG
partit	الحزب	partit	حِزب	N;MASC;SG	N;NOM;DEF;SG
aquests	هؤلاء	aquest	هٰذَا	DET;MASC;PL	DET;NOM;MASC;PL
fill	الابن	fill	اِبن	N;MASC;SG	N;NOM;DEF;SG
nou	جديد	nou	جَدِيد	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
nou	جديدة	nou	جَدِيد	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
nou	الجديد	nou	جَدِيد	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
març	المسيرة	març	مَسِيرَة	N	N;NOM;DEF;SG
març	مارس	març	مَارِس	N	N;GEN;INDF;SG
març	مسيرة	març	مَسِيرَة	N	N;NOM;INDF;SG
març	اذار	març	آذَار	N	N;NOM;INDF;SG
setembre	ايلول	setembre	أَيلُول	N	N;NOM;INDF;SG
setembre	سبتمبر	setembre	سِبتَمبِر	N	N;GEN;INDF;SG
principal	رئيسية	principal	رَئِيسِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
principal	الرئيسية	principal	رَئِيسِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
color	لون	color	لَون	N;MASC;SG	N;NOM;INDF;SG
color	اللون	color	لَون	N;MASC;SG	N;NOM;DEF;SG
color	الوان	color	لَون	N;MASC;SG	N;NOM;DEF;SG
color	لون	color	لَون	N;MASC;SG	N;NOM;INDF;SG
color	اللون	color	لَون	N;MASC;SG	N;NOM;DEF;SG
món	عالم	món	عَالَم	N;MASC;SG	N;NOM;INDF;SG
món	الدنيا	món	دِنِّيَا	N;MASC;SG	N;NOM;DEF;SG
món	العالم	món	عَالَم	N;MASC;SG	N;NOM;DEF;SG
octubre	اكتوبر	octubre	أُكتُوبِر	N	N;GEN;INDF;SG
empresa	شركة	empresa	شَرِكَة	N;FEM;SG	N;NOM;INDF;SG
empresa	الشركة	empresa	شَرِكَة	N;FEM;SG	N;NOM;DEF;SG
empresa	رفقة	empresa	رِفقَة	N;FEM;SG	N;NOM;INDF;SG
edat	السن	edat	سِنّ	N;FEM;SG	N;NOM;DEF;SG
edat	العمر	edat	عُمر	N;FEM;SG	N;NOM;DEF;SG
web	الشبكة	web	شَبَكَة	N;SG	N;NOM;DEF;SG
web	الويب	web	وَيب	N;SG	N;NOM;DEF;SG
església	كنيسة	església	كَنِيسَة	N;FEM;SG	N;NOM;INDF;SG
església	الكنيسة	església	كَنِيسَة	N;FEM;SG	N;NOM;DEF;SG
maig	مايو	maig	مَايُو	N	N;GEN;INDF;SG
maig	ايار	maig	أَيَّار	N	N;NOM;INDF;SG
casa	المنزل	casa	مَنزِل	N;FEM;SG	N;NOM;DEF;SG
casa	منزل	casa	مَنزِل	N;FEM;SG	N;NOM;INDF;SG
casa	البيت	casa	بَيت	N;FEM;SG	N;NOM;DEF;SG
història	قصة	història	قِصَّة	N;FEM;SG	N;NOM;INDF;SG
història	حكاية	història	حِكَايَة	N;FEM;SG	N;NOM;INDF;SG
història	القصة	història	قِصَّة	N;FEM;SG	N;NOM;DEF;SG
història	التاريخ	història	تَارِيخ	N;FEM;SG	N;NOM;DEF;SG
història	تاريخ	història	تَارِيخ	N;FEM;SG	N;NOM;INDF;SG
segona	ثانيا	segon	ثَانِي	ADJ;FEM;SG	ADJ;ACC;INDF;MASC;SG
segona	الثاني	segon	ثَانِي	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
segona	الثانية	segon	ثَانِي	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
govern	الحكومة	govern	حُكُومَة	N;MASC;SG	N;NOM;DEF;SG
govern	حكومة	govern	حُكُومَة	N;MASC;SG	N;NOM;INDF;SG
est	شرق	est	شَرق	N;MASC;SG	N;NOM;INDF;SG
est	الشرق	est	شَرق	N;MASC;SG	N;NOM;DEF;SG
est	شرقا	est	شِرق	N;MASC;SG	N;ACC;INDF;SG
vida	الحياة	vida	حَيَاة	N;FEM;SG	N;NOM;DEF;SG
vida	الحياه	vida	حِيَاه	N;FEM;SG	N;NOM;DEF;SG
vida	حياة	vida	حَيَاة	N;FEM;SG	N;NOM;INDF;SG
gener	يناير	gener	يَنَايِر	N	N;GEN;INDF;SG
tipus	النوع	tipus	نَوع	N;MASC	N;NOM;DEF;SG
tipus	نوع	tipus	نَوع	N;MASC	N;NOM;INDF;SG
habitatge	الاسكان	habitatge	إِسكَان	N;MASC;SG	N;NOM;DEF;SG
habitatge	السكن	habitatge	سَكَن	N;MASC;SG	N;NOM;DEF;SG
habitatge	سكن	habitatge	سَكَن	N;MASC;SG	N;NOM;INDF;SG
habitatge	اسكان	habitatge	إِسكَان	N;MASC;SG	N;NOM;INDF;SG
juny	حزيران	juny	حَزِيرَان	N	N;NOM;INDF;SG
juny	يونيو	juny	يُونِيُو	N	N;GEN;INDF;SG
diferents	مختلفين	diferent	مُختَلِف	ADJ;PL	ADJ;ACC;INDF;MASC;PL
títol	اللقب	títol	لَقَب	N;MASC;SG	N;NOM;DEF;SG
títol	العنوان	títol	عُنوَان	N;MASC;SG	N;NOM;DEF;SG
títol	عنوان	títol	عُنوَان	N;MASC;SG	N;NOM;INDF;SG
desembre	ديسمبر	desembre	دِيسَمبِر	N	N;GEN;INDF;SG
nacional	وطنية	nacional	وَطَنِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
nacional	وطني	nacional	وَطَنِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
abril	ابريل	abril	أَبرِيل	N	N;GEN;INDF;SG
abril	نيسان	abril	نِيسَان	N	N;NOM;INDF;SG
agost	اغسطس	agost	أَغُسطُس	N	N;GEN;INDF;SG
poble	قرية	poble	قَريَة	N;MASC;SG	N;NOM;INDF;SG
poble	القرية	poble	قَريَة	N;MASC;SG	N;NOM;DEF;SG
centre	المركز	centre	مَركَز	N;MASC;SG	N;NOM;DEF;SG
centre	المنتصف	centre	مُنتَصَف	N;MASC;SG	N;NOM;DEF;SG
centre	الوسط	centre	وَسط	N;MASC;SG	N;NOM;DEF;SG
centre	مركز	centre	مَركَز	N;MASC;SG	N;NOM;INDF;SG
centre	المركز	centre	مَركَز	N;MASC;SG	N;NOM;DEF;SG
centre	مركز	centre	مَركَز	N;MASC;SG	N;NOM;INDF;SG
aquestes	هؤلاء	aquest	هٰذَا	DET;FEM;PL	DET;NOM;MASC;PL
riu	النهر	riu	نَهر	N;MASC;SG	N;NOM;DEF;SG
riu	نهر	riu	نَهر	N;MASC;SG	N;NOM;INDF;SG
disc	قرص	disc	قُرصَ	N;MASC;SG	N;NOM;INDF;SG
disc	القرص	disc	قُرصَة	N;MASC;SG	N;NOM;DEF;SG
mostra	اظهر	mostrar	أَظهَر	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;3;ACT
novembre	نوفمبر	novembre	نُوفِمبِر	N	N;GEN;INDF;SG
obres	اشغال	obra	شُغل	N;FEM;PL	N;NOM;INDF;PL
millor	الافضل	millor	أَفضَل	ADJ;SG	ADJ;NOM;DEF;MASC;SG
millor	افضل	millor	أَفضَل	ADJ;SG	ADJ;NOM;INDF;MASC;SG
sistema	نظام	sistema	نِظَام	N;MASC;SG	N;NOM;INDF;SG
sistema	النظام	sistema	نِظَام	N;MASC;SG	N;NOM;DEF;SG
sistema	المنظومة	sistema	مَنظُومَة	N;MASC;SG	N;NOM;DEF;SG
juliol	يوليو	juliol	يُولِيُو	N	N;GEN;INDF;SG
juliol	تموز	juliol	تَمُّوز	N	N;GEN;INDF;SG
total	مجموع	total	مَجمُوع	ADJ;SG	ADJ;NOM;INDF;MASC;SG
total	الاجمالي	total	إِجمَالِيّ	ADJ;SG	ADJ;NOM;DEF;MASC;SG
universitat	جامعة	universitat	جَامِعَة	N;FEM;SG	N;NOM;INDF;SG
universitat	الجامعة	universitat	جَامِعَة	N;FEM;SG	N;NOM;DEF;SG
dia	اليوم	dia	يَوم	N;MASC;SG	N;ACC;DEF;SG
dia	يوم	dia	يَوم	N;MASC;SG	N;NOM;INDF;SG
mitjà	متوسط	mitjà	مُتَوَسِّط	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
mitjà	متوسطة	mitjà	مُتَوَسِّط	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
mitjà	المتوسط	mitjà	مُتَوَسِّط	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
data	موعد	data	مَوعِد	N;FEM;SG	N;NOM;INDF;SG
data	الموعد	data	مَوعِد	N;FEM;SG	N;NOM;DEF;SG
data	التاريخ	data	تَارِيخ	N;FEM;SG	N;NOM;DEF;SG
data	تاريخ	data	تَارِيخ	N;FEM;SG	N;NOM;INDF;SG
departament	القسم	departament	قِسم	N;MASC;SG	N;NOM;DEF;SG
departament	قسم	departament	قِسم	N;MASC;SG	N;NOM;INDF;SG
departament	الادارة	departament	إِدَارَة	N;MASC;SG	N;NOM;DEF;SG
construcció	البناء	construcció	بِنَاء	N;FEM;SG	N;NOM;DEF;SG
construcció	التشييد	construcció	تَشيِيد	N;FEM;SG	N;NOM;DEF;SG
construcció	تشييد	construcció	تَشيِيد	N;FEM;SG	N;NOM;INDF;SG
construcció	بناء	construcció	بِنَاء	N;FEM;SG	N;ACC;INDF;SG
construcció	الانشاء	construcció	إِنشَاء	N;FEM;SG	N;NOM;DEF;SG
premi	الجائزة	premi	جَائِزَة	N;MASC;SG	N;NOM;DEF;SG
premi	جائزة	premi	جَائِزَة	N;MASC;SG	N;NOM;INDF;SG
premi	الجائزة	premi	جَائِزَة	N;MASC;SG	N;NOM;DEF;SG
premi	جائزة	premi	جَائِزَة	N;MASC;SG	N;NOM;INDF;SG
febrer	فبراير	febrer	فِبرَايِر	N	N;GEN;INDF;SG
febrer	شباط	febrer	شُبَاط	N	N;NOM;INDF;SG
escola	مدرسة	escola	مَدرَسَة	N;FEM;SG	N;NOM;INDF;SG
escola	المدرسة	escola	مَدرَسَة	N;FEM;SG	N;NOM;DEF;SG
cinc	خمسة	cinc	خَمسَة	NUM;PL	NUM;NOM;INDF;MASC
cinc	خمس	cinc	خَمسَة	NUM;PL	NUM;NOM;INDF;FEM
font	المصدر	font	مَصدَر	N;FEM;SG	N;NOM;DEF;SG
font	مصدر	font	مَصدَر	N;FEM;SG	N;NOM;INDF;SG
zona	منطقة	zona	مِنطَقَة	N;FEM;SG	N;NOM;INDF;SG
zona	المنطقة	zona	مِنطَقَة	N;FEM;SG	N;NOM;DEF;SG
central	مركزية	central	مَركَزِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
central	مركزي	central	مركزي	ADJ;SG	ADJ;NOM;INDF;MASC;SG
província	مقاطعة	província	مُقَاطَعَة	N;FEM;SG	N;NOM;INDF;SG
província	المحافظة	província	مُحَافَظَة	N;FEM;SG	N;NOM;DEF;SG
província	محافظة	província	مُحَافَظَة	N;FEM;SG	N;NOM;INDF;SG
província	المقاطعة	província	مُقَاطَعَة	N;FEM;SG	N;NOM;DEF;SG
oficial	ضابطة	oficial	ضَابِط	ADJ;SG	ADJ;NOM;INDF;FEM;SG
superfície	السطح	superfície	سَطح	N;FEM;SG	N;NOM;DEF;SG
cens	التعداد	cens	تَعدَاد	N;MASC;SG	N;NOM;DEF;SG
equip	الفريق	equip	فَرِيق	N;MASC;SG	N;NOM;DEF;SG
equip	فريق	equip	فَرِيق	N;MASC;SG	N;NOM;INDF;SG
punt	نقطة	punt	نُقطَة	N;MASC;SG	N;NOM;INDF;SG
punt	النقطة	punt	نُقطَة	N;MASC;SG	N;NOM;DEF;SG
unitats	وحدات	unitat	وَحدَة	N;FEM;PL	N;NOM;INDF;PL
unitats	الوحدات	unitat	وَحدَة	N;FEM;PL	N;NOM;DEF;PL
activitats	النشاطات	activitat	نَشَاط	N;FEM;PL	N;NOM;DEF;PL
activitats	انشطة	activitat	نَشَاط	N;FEM;PL	N;NOM;INDF;PL
president	رئيس	president	رَئِيس	N;MASC;SG	N;NOM;INDF;SG
president	الرئيس	president	رَئِيس	N;MASC;SG	N;NOM;DEF;SG
article	مقالة	article	مَقَالَة	N;MASC;SG	N;NOM;INDF;SG
article	مقال	article	مَقَال	N;MASC;SG	N;NOM;INDF;SG
article	المقالة	article	مُقَال	N;MASC;SG	N;NOM;DEF;SG
article	المادة	article	مَادَّة	N;MASC;SG	N;NOM;DEF;SG
exèrcit	الجيش	exèrcit	جَيش	N;MASC;SG	N;NOM;DEF;SG
exèrcit	جيش	exèrcit	جَيش	N;MASC;SG	N;NOM;INDF;SG
música	موسيقى	música	مُوسِيقِيّ	N;FEM;SG	N;NOM;INDF;SG
música	موسيقي	música	مُوسِيقِيّ	N;FEM;SG	N;NOM;INDF;SG
música	الموسيقى	música	الموسيقى	N;FEM;SG	N;NOM;DEF;SG
aigua	الماء	aigua	مَاء	N;FEM;SG	N;NOM;DEF;SG
aigua	ماء	aigua	مَاء	N;FEM;SG	N;NOM;INDF;SG
increment	زيادة	increment	زِيَادَة	N;MASC;SG	N;NOM;INDF;SG
increment	الزيادة	increment	زِيَادَة	N;MASC;SG	N;NOM;DEF;SG
llavors	اذن	llavors	إِذَن	ADV	ADV
conegut	المعروفة	conegut	مَعرُوف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG
conegut	معلوم	conegut	مَعلُوم	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
conegut	معروف	conegut	مَعرُوف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
conegut	معروفة	conegut	مَعرُوف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
conegut	المعروف	conegut	مَعرُوف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;MASC;SG
art	الفن	art	فَنّ	N;MASC;SG	N;NOM;DEF;SG
club	النادي	club	نَادِي	N;MASC;SG	N;NOM;DEF;SG
club	ناد	club	نَادِي	N;MASC;SG	N;NOM;INDF;SG
etapa	المنصة	etapa	مِنَصَّة	N;FEM;SG	N;NOM;DEF;SG
etapa	المسرح	etapa	مَسرَح	N;FEM;SG	N;NOM;DEF;SG
etapa	المرحلة	etapa	مَرحَلَة	N;FEM;SG	N;NOM;DEF;SG
etapa	مرحلة	etapa	مَرحَلَة	N;FEM;SG	N;NOM;INDF;SG
república	الجمهورية	república	جُمهُورِيَّة	N;FEM;SG	N;NOM;DEF;SG
república	جمهورية	república	جُمهُورِيَّة	N;FEM;SG	N;NOM;INDF;SG
donar	اعطي	donar	أَعطَى	V;NFIN	V;PFV;MASC;SG;3;ACT
cosa	الشيء	cosa	شَيء	N;FEM;SG	N;NOM;DEF;SG
ell	هو	ell	هُوَ	PRO;MASC;SG;3	PRO;NOM;MASC;SG;3
llista	قائمة	llista	قَائِمَة	N;FEM;SG	N;NOM;INDF;SG
llista	القائمة	llista	قَائِمَة	N;FEM;SG	N;NOM;DEF;SG
important	هام	important	هَامّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
important	مهم	important	مُهِمّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
segon	ثانيا	segon	ثَانِي	ADJ;MASC;SG	ADJ;ACC;INDF;MASC;SG
segon	الثاني	segon	ثَانِي	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
segon	الثانية	segon	ثَانِي	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
servei	الخدمة	servei	خِدمَة	N;MASC;SG	N;NOM;DEF;SG
servei	خدمة	servei	خِدمَة	N;MASC;SG	N;NOM;INDF;SG
serveis	خدمات	servei	خِدمَة	N;MASC;PL	N;NOM;INDF;PL
serveis	الخدمات	servei	خِدمَة	N;MASC;PL	N;NOM;DEF;PL
piràmide	الهرم	piràmide	هَرم	N;FEM;SG	N;NOM;DEF;SG
antic	قديمة	antic	قَدِيم	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
antic	قديم	antic	قَدِيم	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
antic	القديم	antic	قَدِيم	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
plaça	المربع	plaça	مُرَبَّع	N;FEM;SG	N;NOM;DEF;SG
plaça	ميدان	plaça	مَيدَان	N;FEM;SG	N;NOM;INDF;SG
plaça	بلازا	plaça	بَلَد	N;FEM;SG	N;NOM;INDF;SG
comtat	مقاطعة	comtar	مُقَاطَعَة	N;MASC;SG	N;NOM;INDF;SG
comtat	المقاطعة	comtar	مُقَاطَعَة	N;MASC;SG	N;NOM;DEF;SG
informació	الاعلام	informació	إِعلَام	N;FEM;SG	N;NOM;DEF;SG
mar	البحر	mar	بَحر	N;SG	N;NOM;DEF;SG
mar	بحر	mar	بَحر	N;SG	N;NOM;INDF;SG
actual	الحالي	actual	حَالِيّ	ADJ;SG	ADJ;NOM;DEF;MASC;SG
castell	قلعة	castell	قلعة	N;MASC;SG	N;NOM;INDF;SG
castell	القلعة	castell	قَلعَة	N;MASC;SG	N;NOM;DEF;SG
països	بلدان	país	بَلَد	N;MASC;PL	N;NOM;INDF;PL
països	البلدان	país	بَلَد	N;MASC;PL	N;NOM;DEF;PL
països	الدول	país	دَولَة	N;MASC;PL	N;NOM;DEF;PL
moment	اللحظة	moment	لَحظَة	N;MASC;SG	N;NOM;DEF;SG
anglès	الانجليزية	anglès	إِنجلِيزِيَّة	N;MASC;SG	N;NOM;DEF;SG
illa	الجزيرة	illa	جَزِيرَة	N;FEM;SG	N;NOM;DEF;SG
