irmandade	veljeskunta	irmandade	veljes#kunta	N	N;NOM;SG
católicos	katolinen	católico	kato#linen	ADJ	ADJ;NOM;SG
pasear	kävellä	pasear	kävellä	V	V;SG;NFIN;ACT
clans	klaani	clan	klaa	N	N;NOM;SG
clans	klaanin	clan	klaani	N	N;GEN;SG
clans	klaanit	clan	klaani	N	N;NOM;PL
nomura	nomura	nomura	nomura	N	N;NOM;SG
cuarteto	kvartetin	cuarteto	kvartetti	N	N;GEN;SG
corría	juoksevat	corría	juosta	V	V;IND;PL;3;PRS;FIN;ACT
corría	juoksee	corría	juosta	V	V;IND;SG;3;PRS;FIN;ACT
corría	oli	corría	olla	V	V;IND;SG;3;PST;FIN;ACT
ensino	opettaminen	ensino	opettaminen	N	N;NOM;SG
ensino	opetus	ensino	opetus	N	N;NOM;SG
ensino	opetusta	ensino	opetus	N	N;PRT;SG
informática	tietokoneet	informática	tieto#kone	N	N;NOM;PL
informática	tietokone	informática	tieto#kone	N	N;NOM;SG
informática	tietokoneen	informática	tieto#kone	N	N;GEN;SG
técnicas	tekniikat	técnica	tekniikka	N	N;NOM;PL
técnicas	tekniikoita	técnica	tekniikka	N	N;PRT;PL
confesión	tunnustus	confesión	tunnustus	N	N;NOM;SG
confesión	tunnustuksen	confesión	tunnustus	N	N;GEN;SG
loitan	taistella	loitar	taistella	V	V;SG;NFIN;ACT
loitan	taistelevat	loitar	taistella	V	V;IND;PL;3;PRS;FIN;ACT
loitan	taistella	loitar	taistella	V	V;SG;NFIN;ACT
loitan	taistele	loitar	taistella	V	V;IMP;SG;2;FIN;ACT
medicinas	lääkettä	medicina	lääke	N	N;PRT;SG
medicinas	lääketiede	medicina	lääke#tiede	N	N;NOM;SG
medicinas	lääkkeet	medicina	lääke	N	N;NOM;PL
medicinas	lääke	medicina	lääke	N	N;NOM;SG
perden	hävitä	perder	hävitä	V	V;SG;NFIN;ACT
perden	häviä	perder	hävi	V	V;IMP;SG;2;FIN;ACT
perden	menettää	perder	menettää	V	V;IND;SG;3;PRS;FIN;ACT
perden	häviää	perder	hävitä	V	V;IND;SG;3;PRS;FIN;ACT
culturas	kulttuurit	cultura	kulttuuri	N	N;NOM;PL
culturas	kulttuurien	cultura	kulttuuri	N	N;GEN;PL
interpretación	tulkinta	interpretación	tulkinta	N	N;NOM;SG
interpretación	tulkintaa	interpretación	tulkinta	N	N;PRT;SG
escoitan	kuunnella	escoitar	kuunnella	V	V;SG;NFIN;ACT
escoitan	kuuntelee	escoitar	kuunnella	V	V;IND;SG;3;PRS;FIN;ACT
escoitan	kuuntelemassa	escoitar	kuunnella	V	V;IN+ESS;SG;NFIN;ACT
dinámica	dynaamista	dinámica	dynaaminen	N	N;PRT;SG
dinámica	dynamiikka	dinámica	dynamiikka	N	N;NOM;SG
dinámica	dynamiikkaa	dinámica	dynamiikka	N	N;PRT;SG
populares	suosittu	popular	suosittu	ADJ	ADJ;NOM;SG
populares	suosittua	popular	suosittu	ADJ	ADJ;PRT;SG
populares	suosittuja	popular	suosittu	ADJ	ADJ;PRT;PL
populares	suositut	popular	suosittu	ADJ	ADJ;NOM;PL
aumenta	lisätä	aumentar	lisätä	V	V;SG;NFIN;ACT
sida	aids	sida	aids	N	N;NOM;SG
sida	tuet	sida	tuki	N	N;NOM;PL
sida	aidsin	sida	aitsi	N	N;GEN;SG
similar	samanlaisia	similar	samanlainen	ADJ	ADJ;PRT;PL
similar	samankaltaiset	similar	samankaltainen	ADJ	ADJ;NOM;PL
similar	samankaltaista	similar	samankaltainen	ADJ	ADJ;PRT;SG
similar	samanlaiset	similar	samanlainen	ADJ	ADJ;NOM;PL
similar	samanlainen	similar	samanlainen	ADJ	ADJ;NOM;SG
similar	samankaltainen	similar	samankaltainen	ADJ	ADJ;NOM;SG
espectadores	katsojat	espectador	katsoja	N	N;NOM;PL
espectadores	katsojia	espectador	katsoja	N	N;PRT;PL
decateime	tajusi	decateime	tajuta	V	V;IND;SG;3;PST;FIN;ACT
saibas	tietää	saber	tietää	V	V;IND;SG;PRS;FIN;ACT
saibas	tiedä	saber	tietää	V	V;IMP;SG;2;FIN;ACT
garantía	vakuus	garantía	vakuus	N	N;NOM;SG
garantía	takuun	garantía	takuu	N	N;GEN;SG
garantía	takuu	garantía	takuu	N	N;NOM;SG
garantía	takaus	garantía	takaus	N	N;NOM;SG
falsos	väärä	falso	väärä	ADJ	ADJ;NOM;SG
falsos	väärät	falso	väärä	ADJ	ADJ;NOM;PL
pensaban	luulin	pensabar	luulla	V	V;IND;SG;1;PST;FIN;ACT
pensaban	luuli	pensabar	luulla	V	V;IND;SG;3;PST;FIN;ACT
coñecida	tunnetaan	coñecer	tuntea	V	V;IND;PRS;FIN;PASS
xulgado	oikeus	xulgado	oikeus	N	N;NOM;SG
xulgado	tuomioistuin	xulgado	tuomio#istuin	N	N;NOM;SG
extensión	laajentaminen	extensión	laajentaminen	N	N;NOM;SG
extensión	pidentäminen	extensión	pidentäminen	N	N;NOM;SG
extensión	laajennus	extensión	laajennus	N	N;NOM;SG
extensión	laajentamisesta	extensión	laajentaminen	N	N;IN+ABL;SG
expansión	laajentuminen	expansión	laajentuminen	N	N;NOM;SG
expansión	laajentaminen	expansión	laajentaminen	N	N;NOM;SG
expansión	laajeneminen	expansión	laajeneminen	N	N;NOM;SG
expansión	laajennus	expansión	laajennus	N	N;NOM;SG
azar	sattuma	azar	sattuma	N	N;NOM;SG
azar	mahdollisuus	azar	mahdollisuus	N	N;NOM;SG
necesitan	tarvitaan	necesitar	tarvita	V	V;IND;PRS;FIN;PASS
necesitan	tarvita	necesitar	tarvita	V	V;IMP;SG;2;FIN;ACT
organizacións	organisaatiot	organización	organisaatio	N	N;NOM;PL
organizacións	järjestöt	organización	järjestö	N	N;NOM;PL
organizacións	yhdistykset	organización	yhdistys	N	N;NOM;PL
organizacións	organisaatioita	organización	organisaatio	N	N;PRT;PL
organizacións	järjestöjen	organización	järjestö	N	N;GEN;PL
individual	yksittäiset	individual	yksittäinen	ADJ	ADJ;NOM;PL
individual	yksittäisten	individual	yksittäinen	ADJ	ADJ;GEN;PL
individual	yksilöllinen	individual	yksilöllinen	ADJ	ADJ;NOM;SG
individual	yksittäinen	individual	yksittäinen	ADJ	ADJ;NOM;SG
web	sivuston	web	sivusto	N	N;GEN;SG
web	sivusto	web	sivusto	N	N;NOM;SG
web	verkkosivusto	web	verkko#sivusto	N	N;NOM;SG
web	web	web	web	N	N;NOM;SG
novamente	uudestaan	novamente	uudestaan	ADV	ADV
novamente	uudelleen	novamente	uudelleen	ADV	ADV
novamente	taas	novamente	taas	ADV	ADV
novamente	jälleen	novamente	jälleen	ADV	ADV
intres	hetket	intres	hetki	N	N;NOM;PL
intres	hetkiä	intres	hetki	N	N;PRT;PL
específico	erityiset	específico	erityinen	ADJ	ADJ;NOM;PL
específico	erityinen	específico	erityinen	ADJ	ADJ;NOM;SG
específico	erityisiä	específico	erityinen	ADJ	ADJ;PRT;PL
específico	erityistä	específico	erityinen	ADJ	ADJ;PRT;SG
ordenadores	tietokoneita	ordenador	tieto#kone	N	N;PRT;PL
ordenadores	tietokoneet	ordenador	tieto#kone	N	N;NOM;PL
ordenadores	tietokoneet	ordenador	tieto#kone	N	N;NOM;PL
ordenadores	tietokone	ordenador	tieto#kone	N	N;NOM;SG
ordenadores	tietokoneen	ordenador	tieto#kone	N	N;GEN;SG
estatísticas	tilastotietoja	estatística	tilasto#tieto	N	N;PRT;PL
estatísticas	tilastotiedot	estatística	tilasto#tieto	N	N;NOM;PL
estatísticas	tilastot	estatística	tilasto	N	N;NOM;PL
estatísticas	tilastojen	estatística	tilasto	N	N;GEN;PL
estatísticas	tilastoja	estatística	tilasto	N	N;PRT;PL
capturado	vangittu	capturado	vangita	V	V;NOM;SG;V.PTCP;PASS
trece	thirteen	trecer	thirre	N	N;NOM;SG
características	piirteet	característica	piirre	N	N;NOM;PL
características	ominaisuuksia	característica	ominaisuus	N	N;PRT;PL
características	ominaisuudet	característica	ominaisuus	N	N;NOM;PL
características	piirteet	característica	piirre	N	N;NOM;PL
características	ominaispiirteet	característica	ominainen#piirre	N	N;NOM;PL
características	ominaisuudet	característica	ominaisuus	N	N;NOM;PL
residencia	kotipaikka	residencia	koti#paikka	N	N;NOM;SG
residencia	residence	residencia	residence	N	N;NOM;SG
residencia	asuinpaikka	residencia	asuin#paikka	N	N;NOM;SG
residencia	oleskelu	residencia	oleskelu	N	N;NOM;SG
paran	lopeta	parar	lopettaa	V	V;IMP;SG;2;FIN;ACT
pensara	ajattele	pensar	ajatella	V	V;IMP;SG;2;FIN;ACT
pensara	mieti	pensar	mieti	V	V;IMP;SG;2;FIN;ACT
pensara	luulin	pensar	luulla	V	V;IND;SG;1;PST;FIN;ACT
pensara	luuli	pensar	luulla	V	V;IND;SG;3;PST;FIN;ACT
calefacción	lämpöä	calefacción	lämpö	N	N;PRT;SG
calefacción	kuumuus	calefacción	kuumuus	N	N;NOM;SG
calefacción	lämpö	calefacción	lämpö	N	N;NOM;SG
calefacción	helle	calefacción	hälle	N	N;NOM;SG
calefacción	lämmitys	calefacción	lämmitys	N	N;NOM;SG
respondeu	vastattu	responder	vastata	V	V;NOM;SG;V.PTCP;PASS
respondeu	vastasi	responder	vastata	V	V;IND;SG;3;PST;FIN;ACT
décadas	vuosikymmeniä	década	vuosikymmen	N	N;PRT;PL
décadas	vuosikymmenten	década	vuosi#kymmen	N	N;GEN;PL
décadas	vuosikymmenien	década	vuosikymmen	N	N;GEN;PL
décadas	vuosikymmen	década	vuosi#kymmen	N	N;NOM;SG
compartimos	jakaa	compartir	jakaa	V	V;SG;NFIN;ACT
compartimos	jaa	compartir	jaa	V	V;IMP;SG;2;FIN;ACT
compartimos	jakanut	compartir	jakaa	V	V;NOM;SG;V.PTCP;ACT
compartimos	jakoi	compartir	jakaa	V	V;IND;SG;3;PST;FIN;ACT
compartimos	jaettu	compartir	jakaa	V	V;NOM;SG;V.PTCP;PASS
compartimos	jaetut	compartir	jakaa	V	V;NOM;PL;V.PTCP;PASS
redución	vähennys	redución	vähennys	N	N;NOM;SG
redución	vähentäminen	redución	vähentäminen	N	N;NOM;SG
redución	pienentäminen	redución	pienentäminen	N	N;NOM;SG
redución	väheneminen	redución	väheneminen	N	N;NOM;SG
arder	palava	arder	palava	V	V;NOM;SG;V.PTCP;ACT
arder	poltetaan	arder	polttaa	V	V;IND;PRS;FIN;PASS
arder	polttaa	arder	polttaa	V	V;IND;SG;3;PRS;FIN;ACT
arder	palaa	arder	palata	V	V;IMP;SG;2;FIN;ACT
arder	polta	arder	polta	V	V;IMP;SG;2;FIN;ACT
arder	poltetaan	arder	polttaa	V	V;IND;PRS;FIN;PASS
arder	polttaa	arder	polttaa	V	V;IND;SG;3;PRS;FIN;ACT
volcán	tulivuori	volcán	tuli#vuori	N	N;NOM;SG
kg	kiloa	kg	kilo	N	N;PRT;SG
oriental	itäinen	oriental	itäinen	ADJ	ADJ;NOM;SG
oriental	itämainen	oriental	itämainen	ADJ	ADJ;NOM;SG
violín	viulu	violín	viulu	N	N;NOM;SG
violín	viulua	violín	viulu	N	N;PRT;SG
sufriu	kärsi	sufrir	kärsiä	V	V;IND;SG;3;PST;FIN;ACT
sufriu	kärsineet	sufrir	kärsiä	V	V;NOM;PL;V.PTCP;ACT
sufriu	kärsinyt	sufrir	kärsiä	V	V;NOM;SG;V.PTCP;ACT
usado	käytetyt	usar	käyttää	V	V;NOM;PL;V.PTCP;PASS
usado	käytetty	usar	käyttää	V	V;NOM;SG;V.PTCP;PASS
usado	käytettyjä	usar	käyttää	V	V;PRT;PL;V.PTCP;PASS
explorar	tutkia	explorar	tutkia	V	V;SG;NFIN;ACT
explorar	tutustu	explorar	tutustua	V	V;IMP;SG;2;FIN;ACT
explorar	tutki	explorar	tutkia	V	V;IMP;SG;2;FIN;ACT
explorar	tutkimassa	explorar	tutkia	V	V;IN+ESS;SG;NFIN;ACT
xeralmente	yleisesti	xeral	yleisesti	ADV	ADV
xeralmente	yleensä	xeral	yleensä	ADV	ADV
teléfonos	puhelimet	teléfono	puhelin	N	N;NOM;PL
teléfonos	puhelimia	teléfono	puhelin	N	N;PRT;PL
estruturas	rakenteita	estrutura	rakenne	N	N;PRT;PL
estruturas	rakenteet	estrutura	rakenne	N	N;NOM;PL
estruturas	rakenteiden	estrutura	rakenne	N	N;GEN;PL
fusión	fuusio	fusión	fuusio	N	N;NOM;SG
fusión	fuusion	fusión	fuusio	N	N;GEN;SG
suma	summaa	suma	summa	N	N;PRT;SG
suma	summa	suma	summa	N	N;NOM;SG
mentais	henkistä	mental	henkinen	N	N;PRT;SG
tanque	säiliö	tanque	säiliö	N	N;NOM;SG
tanque	tank	tanque	tank	N	N;NOM;SG
tanque	tankki	tanque	tankki	N	N;NOM;SG
eventos	tapahtumat	evento	tapahtuma	N	N;NOM;PL
eventos	tapahtumien	evento	tapahtuma	N	N;GEN;PL
eventos	tapahtumia	evento	tapahtuma	N	N;PRT;PL
axenda	agenda	axenda	agenda	N	N;NOM;SG
bancos	pankit	banco	pankki	N	N;NOM;PL
bancos	pankkien	banco	pankki	N	N;GEN;PL
pensaron	luulin	pensar	luulla	V	V;IND;SG;1;PST;FIN;ACT
pensaron	luuli	pensar	luulla	V	V;IND;SG;3;PST;FIN;ACT
instrucións	ohjeet	instrución	ohje	N	N;NOM;PL
instrucións	ohjeita	instrución	ohje	N	N;PRT;PL
chamábase	oli	chamábase	olla	V	V;IND;SG;3;PST;FIN;ACT
chamábase	kutsuttu	chamábase	kutsua	V	V;NOM;SG;V.PTCP;PASS
chamábase	soitti	chamábase	soittaa	V	V;IND;SG;3;PST;FIN;ACT
pluma	kynän	plumo	kynä	N	N;GEN;SG
pluma	kynä	plumo	kynä	N	N;NOM;SG
pluma	sulka	plumo	sulka	N	N;NOM;SG
espido	alaston	espido	alasto	N	N;GEN;SG
técnicos	teknikot	técnico	teknikko	N	N;NOM;PL
verbas	sanoja	verba	sana	N	N;PRT;PL
verbas	sanat	verba	sana	N	N;NOM;PL
deixalos	lähde	deixalo	lähde	N	N;NOM;SG
conclusión	päätelmät	conclusión	päätelmä	N	N;NOM;PL
conclusión	päätelmä	conclusión	päätelmä	N	N;NOM;SG
conclusión	johtopäätös	conclusión	johto#päätös	N	N;NOM;SG
orgullosos	ylpeitä	orgulloso	ylpe	ADJ	ADJ;PRT;PL
orgullosos	ylpeänä	orgulloso	ylpeä	ADJ	ADJ;FRML;SG
orgullosos	ylpeä	orgulloso	ylpeä	ADJ	ADJ;NOM;SG
escoitou	kuultu	escoitar	kuulla	V	V;NOM;SG;V.PTCP;PASS
escoitou	kuullut	escoitar	kuulla	V	V;NOM;SG;V.PTCP;ACT
escoitou	kuulin	escoitar	kuulla	V	V;IND;SG;1;PST;FIN;ACT
escoitou	kuuli	escoitar	kuulla	V	V;IND;SG;3;PST;FIN;ACT
músculos	lihaksia	músculo	lihas	N	N;PRT;PL
músculos	lihakset	músculo	lihas	N	N;NOM;PL
músculos	lihasten	músculo	lihas	N	N;GEN;PL
demostración	osoittaminen	demostración	osoittaminen	N	N;NOM;SG
demostración	mielenosoitus	demostración	mielen#osoitus	N	N;NOM;SG
computador	tietokoneet	computador	tieto#kone	N	N;NOM;PL
computador	tietokone	computador	tieto#kone	N	N;NOM;SG
computador	tietokoneen	computador	tieto#kone	N	N;GEN;SG
xogadores	pelaajat	xogador	pelaaja	N	N;NOM;PL
xogadores	pelaajia	xogador	pelaaja	N	N;PRT;PL
xogadores	toimijoiden	xogador	toimija	N	N;GEN;PL
xogadores	pelaajien	xogador	pelaaja	N	N;GEN;PL
xogadores	pelaajia	xogador	pelaaja	N	N;PRT;PL
xogadores	pelaajat	xogador	pelaaja	N	N;NOM;PL
gañando	voittaa	gañar	voittaa	V	V;IND;SG;3;PRS;FIN;ACT
preguntando	kysyy	preguntar	kysyä	V	V;IND;SG;3;PRS;FIN;ACT
supostamente	oletettavasti	supostamente	oletettavasti	ADV	ADV
violación	raiskaus	violación	raiskaus	N	N;NOM;SG
violación	rikkomisen	violación	rikkominen	N	N;GEN;SG
violación	rikkomus	violación	rikkomus	N	N;NOM;SG
violación	rikkomuksen	violación	rikkomus	N	N;GEN;SG
violación	rikkominen	violación	rikkominen	N	N;NOM;SG
gustoume	tykkää	gustoume	tykätä	V	V;IMP;SG;2;FIN;ACT
gustoume	piti	gustoume	pitää	V	V;IND;SG;3;PST;FIN;ACT
gustoume	tykännyt	gustoume	tykätä	V	V;NOM;SG;V.PTCP;ACT
gustoume	pidetty	gustoume	pitää	V	V;NOM;SG;V.PTCP;PASS
xefa	pää	xefa	pää	N	N;NOM;SG
xefa	päätä	xefa	pää	N	N;PRT;SG
xefa	pään	xefa	pää	N	N;GEN;SG
vestida	pukeutunut	vestida	pukeutua	V	V;NOM;SG;V.PTCP;ACT
neveira	jääkaappi	neveiro	jää#kaappi	N	N;NOM;SG
neveira	jääkaapin	neveiro	jää#kaappi	N	N;GEN;SG
potente	voimakasta	potente	voimakas	ADJ	ADJ;PRT;SG
potente	voimakkaita	potente	voimakas	ADJ	ADJ;PRT;PL
potente	voimakas	potente	voimakas	ADJ	ADJ;NOM;SG
cas	with	cas	with	N	N;NOM;SG
perigosa	vaarallista	perigosa	vaarallinen	ADJ	ADJ;PRT;SG
perigosa	vaarallinen	perigosa	vaarallinen	ADJ	ADJ;NOM;SG
perigosa	vaaralliset	perigosa	vaarallinen	ADJ	ADJ;NOM;PL
categoría	kategoria	categoría	kategori	N	N;NOM;SG
categoría	luokan	categoría	luokka	N	N;GEN;SG
categoría	luokka	categoría	luokka	N	N;NOM;SG
representante	asiamies	representante	asia#mies	N	N;NOM;SG
representante	proxy	representante	proxy	N	N;NOM;SG
representante	edustaja	representante	edustaja	N	N;NOM;SG
levárono	otti	levárono	ottaa	V	V;IND;SG;3;PST;FIN;ACT
levárono	vei	levárono	viedä	V	V;IND;SG;3;PST;FIN;ACT
xogamos	pelattu	xogar	pelata	V	V;NOM;SG;V.PTCP;PASS
xogamos	soitettu	xogar	soittaa	V	V;NOM;SG;V.PTCP;PASS
xogamos	pelasi	xogar	pelata	V	V;IND;SG;3;PST;FIN;ACT
xogamos	pelannut	xogar	pelata	V	V;NOM;SG;V.PTCP;ACT
xogamos	soita	xogar	soittaa	V	V;IMP;SG;2;FIN;ACT
xogamos	pelata	xogar	pelata	V	V;SG;NFIN;ACT
xogamos	pelaa	xogar	pelata	V	V;IMP;SG;2;FIN;ACT
feitas	tehdyt	facer	tehdä	V	V;NOM;PL;V.PTCP;PASS
feitas	tehty	facer	tehdä	V	V;NOM;SG;V.PTCP;PASS
feitas	valmistettu	facer	valmistaa	V	V;NOM;SG;V.PTCP;PASS
renunciar	antamassa	renunciar	antaa	V	V;IN+ESS;SG;NFIN;ACT
logro	saavutus	logro	saavutus	N	N;NOM;SG
logro	saavuttaminen	logro	saavuttaa	N	N;NOM;SG
estranxeira	ulkomaalainen	estranxeiro	ulko#maalainen	ADJ	ADJ;NOM;SG
estranxeira	ulkomainen	estranxeiro	ulko#mainen	ADJ	ADJ;NOM;SG
estranxeira	ulkomaiset	estranxeiro	ulko#mainen	ADJ	ADJ;NOM;PL
estranxeira	ulkomaalainen	estranxeiro	ulko#maalainen	ADJ	ADJ;NOM;SG
favorita	suosikki	favoritar	suosikki	N	N;NOM;SG
favorita	lempi	favoritar	lempi	N	N;NOM;SG
seguranza	urakoitsija	seguranza	urakoitsija	N	N;NOM;SG
subtítulos	tekstitys	subtítulo	tekstitys	N	N;NOM;SG
subtítulos	tekstitykset	subtítulo	tekstitys	N	N;NOM;PL
ciclo	kierto	ciclo	kierto	N	N;NOM;SG
ciclo	syklin	ciclo	syklin	N	N;GEN;SG
dirán	sano	dir	sanoa	V	V;IMP;SG;2;FIN;ACT
viaxa	matkustaa	viaxa	matkustaa	V	V;IND;SG;FIN;ACT
néboa	sumun	néboa	sumu	N	N;GEN;SG
néboa	sumu	néboa	sumu	N	N;NOM;SG
néboa	sumua	néboa	sumu	N	N;PRT;SG
ducia	tusina	ducia	tusina	N	N;NOM;SG
ducia	tusinaa	ducia	tusina	N	N;PRT;SG
localización	sijainti	localización	sijainti	N	N;NOM;SG
levado	vietiin	levar	viedä	V	V;IND;PST;FIN;PASS
levado	ottaa	levar	ottaa	V	V;IND;SG;3;PRS;FIN;ACT
levado	viety	levar	viedä	V	V;NOM;SG;V.PTCP;PASS
levado	otettu	levar	ottaa	V	V;NOM;SG;V.PTCP;PASS
cidadás	kansalaisten	cidadán	kansalainen	N	N;GEN;PL
cidadás	kansalaisia	cidadán	kansa#lainen	N	N;PRT;PL
cidadás	kansalaiset	cidadán	kansalainen	N	N;NOM;PL
satisfacer	tyydytä	satisfacer	tyydyttää	V	V;IMP;SG;2;FIN;ACT
satisfacer	tyydyttää	satisfacer	tyydyttää	V	V;IND;SG;PRS;FIN;ACT
pioneiros	edelläkävijöitä	pioneiro	edellä#kävijä	N	N;PRT;PL
esperan	odottaen	esperar	odottaa	V	V;INS;SG;NFIN;ACT
esperan	odottaa	esperar	odottaa	V	V;IND;SG;3;PRS;FIN;ACT
esperan	odotetaan	esperar	odottaa	V	V;IND;PRS;FIN;PASS
esperan	odottamassa	esperar	odottaa	V	V;IN+ESS;SG;NFIN;ACT
lémbrome	muistakaa	lémbrome	muistaa	V	V;IMP;PL;2;FIN;ACT
metais	metallit	metal	metalli	N	N;NOM;PL
lixeiro	kevyt	lixeiro	kevyt	ADJ	ADJ;NOM;SG
raíces	juuria	raíz	juuri	N	N;PRT;PL
raíces	juuret	raíz	juuri	N	N;NOM;PL
evidentemente	ilmiselvästi	evidente	ilmiselvästi	ADV	ADV
evidentemente	selvästi	evidente	selvästi	ADV	ADV
evidentemente	ilmeisesti	evidente	ilmeisesti	ADV	ADV
tina	tinaa	tina	tina	N	N;PRT;SG
tina	tina	tina	tina	N	N;NOM;SG
condena	aika	condena	aika	N	N;NOM;SG
condena	ajan	condena	aika	N	N;GEN;SG
condena	aikaa	condena	aika	N	N;PRT;SG
fuga	raajan	fugar	raaja	N	N;GEN;SG
fantasma	vaunut	fantasma	vaunu	N	N;NOM;PL
fantasma	vaunu	fantasma	vaunu	N	N;NOM;SG
fantasma	haamu	fantasma	haamu	N	N;NOM;SG
fantasma	kummitus	fantasma	kummitus	N	N;NOM;SG
fantasma	aave	fantasma	aave	N	N;NOM;SG
escapou	pakeni	escapar	paeta	V	V;IND;SG;3;PST;FIN;ACT
escapou	paennut	escapar	paeta	V	V;NOM;SG;V.PTCP;ACT
escapou	karannut	escapar	karata	V	V;NOM;SG;V.PTCP;ACT
escapou	karkasi	escapar	karata	V	V;IND;SG;3;PST;FIN;ACT
tumbas	hautoja	tumba	hauta	N	N;PRT;PL
cooperativas	osuuskunta	cooperativa	osuus#kunta	N	N;NOM;SG
cooperativas	osuuskuntien	cooperativa	osuus#kunta	N	N;GEN;PL
internado	sairaala	internado	sairaala	N	N;NOM;SG
internado	sairaalassa	internado	sairaala	N	N;IN+ESS;SG
pensado	luulin	pensar	luulla	V	V;IND;SG;1;PST;FIN;ACT
pensado	luuli	pensar	luulla	V	V;IND;SG;3;PST;FIN;ACT
sabas	lakanat	saber	lakana	N	N;NOM;PL
sermón	saarna	sermón	saari	N	N;NOM;SG
barriga	vatsa	barriga	vatsa	N	N;NOM;SG
barriga	maha	barriga	maha	N	N;NOM;SG
gustaríalle	tykkää	gustaríalle	tykätä	V	V;IMP;SG;2;FIN;ACT
parado	stand	parado	stand	N	N;NOM;SG
esperas	odottaminen	espera	odottaminen	N	N;NOM;SG
escravo	orja	escravo	orja	N	N;NOM;SG
escravo	orjan	escravo	orja	N	N;GEN;SG
socorro	apua	socorro	apu	N	N;PRT;SG
socorro	ohje	socorro	ohje	N	N;NOM;SG
mandou	lähetetty	mandar	lähettää	V	V;NOM;SG;V.PTCP;PASS
mandou	lähetetyt	mandar	lähettää	V	V;NOM;PL;V.PTCP;PASS
seda	silkkiä	sedo	silkki	N	N;PRT;SG
secreta	salaisuuden	secreta	salaisuus	N	N;GEN;SG
secreta	salaisuus	secreta	salaisuus	N	N;NOM;SG
ombreiro	olkapää	ombreiro	olka#pää	N	N;NOM;SG
dispararon	ammuttu	disparar	ampua	V	V;NOM;SG;V.PTCP;PASS
dispararon	ampui	disparar	ampua	V	V;IND;SG;3;PST;FIN;ACT
potencia	teho	potencia	teho	N	N;NOM;SG
potencia	power	potencia	power	N	N;NOM;SG
potencia	voima	potencia	voima	N	N;NOM;SG
potencia	voimia	potencia	voima	N	N;PRT;PL
potencia	valta	potencia	valta	N	N;NOM;SG
potencia	valtaa	potencia	valta	N	N;PRT;SG
prometo	luvata	prometo	luvata	V	V;SG;FIN;ACT
