البني	brown	بَنِّيّ	brown	N;NOM;DEF;SG	N;MASC+FEM;SG
البيانو	piano	بِيَانُو	piano	N;NOM;DEF;SG	N;MASC+FEM;SG
التلفاز	televisie	تَلَفُّز	televisie	N;NOM;DEF;SG	N;MASC+FEM;SG
المتحدث	speaker	مُتَحَدِّث	speaker	N;NOM;DEF;SG	N;MASC+FEM;SG
المتحدث	luidspreker	مُتَحَدِّث	luidspreker	N;NOM;DEF;SG	N;MASC+FEM;SG
المتحدث	spreker	مُتَحَدِّث	spreker	N;NOM;DEF;SG	N;MASC+FEM;SG
خبير	expert	خَبِير	expert	N;NOM;INDF;SG	N;MASC+FEM;SG
قضاة	magistraten	قَاضِي	magistraat	N;NOM;INDF;PL	N;PL
قضاة	rechters	قَاضِي	rechter	N;NOM;INDF;PL	N;PL
منحة	subsidie	مِنحَة	subsidie	N;NOM;INDF;SG	N;MASC+FEM;SG
منحة	grant	مِنحَة	grant	N;NOM;INDF;SG	N;MASC+FEM;SG
التخلي	stopzetting	تَخَلِّي	stopzetting	N;NOM;DEF;SG	N;MASC+FEM;SG
التعادل	pariteit	تَعَادُل	pariteit	N;NOM;DEF;SG	N;MASC+FEM;SG
التعادل	gelijkspel	تَعَادُل	gelijkspel	N;NOM;DEF;SG	N;NEUT;SG
التعادل	stropdas	تَعَادُل	stropdas	N;NOM;DEF;SG	N;MASC+FEM;SG
التعادل	das	تَعَادُل	das	N;NOM;DEF;SG	N;MASC+FEM;SG
القوس	boogschutter	قَوس	boogschutter	N;NOM;DEF;SG	N;MASC+FEM;SG
القوس	bow	قَوس	bow	N;NOM;DEF;SG	N;MASC+FEM;SG
القوس	boeg	قَوس	boeg	N;NOM;DEF;SG	N;MASC+FEM;SG
القوس	buiging	قَوس	buiging	N;NOM;DEF;SG	N;MASC+FEM;SG
القوس	boog	قَوس	boog	N;NOM;DEF;SG	N;MASC+FEM;SG
تسلم	ontvangst	تَسَلُّم	ontvangst	N;NOM;INDF;SG	N;MASC+FEM;SG
تسلم	kwitantie	تَسَلُّم	kwitantie	N;NOM;INDF;SG	N;MASC+FEM;SG
تسلم	ontvangstbewijs	تَسَلُّم	ontvangstbewijs	N;NOM;INDF;SG	N;NEUT;SG
العنصرية	racist	عُنصُرِيَّة	racist	N;NOM;DEF;SG	N;MASC+FEM;SG
العنصرية	racisme	عُنصُرِيَّة	racisme	N;NOM;DEF;SG	N;NEUT;SG
المشي	wandeling	مُشِيّ	wandeling	N;NOM;DEF;SG	N;MASC+FEM;SG
المشي	walk	مُشِيّ	walk	N;NOM;DEF;SG	N;MASC+FEM;SG
الكاتبة	schrijver	كَاتِب	schrijver	N;NOM;DEF;SG	N;MASC+FEM;SG
الكاتبة	schrijfster	كَاتِب	schrijfster	N;NOM;DEF;SG	N;MASC+FEM;SG
الاندماج	fusie	اِندِمَاج	fusie	N;NOM;DEF;SG	N;MASC+FEM;SG
الاندماج	integratie	اِندِمَاج	integratie	N;NOM;DEF;SG	N;MASC+FEM;SG
اليومي	dagelijkse	يَومِيّ	dagelijks	ADJ;NOM;DEF;MASC;SG	ADJ
اليومي	dagelijks	يَومِيّ	dagelijks	ADJ;NOM;DEF;MASC;SG	ADJ
شمل	inbegrepen	شَمِل	inbegrip	V;PFV;MASC;SG;3;ACT	V;V.PTCP
الترفيه	ontspanning	تَرفِيه	ontspanning	N;NOM;DEF;SG	N;MASC+FEM;SG
الترفيه	recreatie	تَرفِيه	recreatie	N;NOM;DEF;SG	N;MASC+FEM;SG
الترفيه	vermaak	تَرفِيه	vermaak	N;NOM;DEF;SG	N;NEUT;SG
الترفيه	amusement	تَرفِيه	amusement	N;NOM;DEF;SG	N;NEUT;SG
الترفيه	entertainment	تَرفِيه	entertainment	N;NOM;DEF;SG	N;NEUT;SG
صفقة	deal	صَفقَة	deal	N;NOM;INDF;SG	N;MASC+FEM;SG
الوقوف	stand	وُقُوف	stand	N;NOM;DEF;SG	N;MASC+FEM;SG
دبلوماسية	diplomatiek	دِبلُومَاسِيّ	diplomatiek	ADJ;NOM;INDF;FEM;SG	ADJ
دبلوماسية	diplomatieke	دِبلُومَاسِيّ	diplomatiek	ADJ;NOM;INDF;FEM;SG	ADJ
دبلوماسية	diplomatiek	دِبلُومَاسِيّ	diplomatiek	ADJ;NOM;INDF;FEM;SG	ADJ
الزملاء	collegae	زَمِيل	collegae	N;NOM;DEF;PL	N;PL
السمات	attributen	سَمَة	attribuut	N;NOM;DEF;PL	N;PL
السمات	kenmerken	سَمَة	kenmerk	N;NOM;DEF;PL	N;PL
السمات	eigenschappen	سَمَة	eigenschap	N;NOM;DEF;PL	N;PL
السمات	functies	سَمَة	functie	N;NOM;DEF;PL	N;PL
السمات	kenmerken	سَمَة	kenmerk	N;NOM;DEF;PL	N;PL
كارثة	catastrofe	كَارِثَة	catastrofe	N;NOM;INDF;SG	N;MASC+FEM;SG
كارثة	ramp	كَارِثَة	ramp	N;NOM;INDF;SG	N;MASC+FEM;SG
كارثة	rampspoed	كَارِثَة	rampspoed	N;NOM;INDF;SG	N;MASC+FEM;SG
مفاوضات	onderhandelingen	مُفَاوَضَة	onderhandeling	N;NOM;INDF;PL	N;PL
مفاوضات	onderhandelingen	مُفَاوَضَة	onderhandeling	N;NOM;INDF;PL	N;PL
المحاسبة	boekhouding	مُحَاسَبَة	boekhouding	N;NOM;DEF;SG	N;MASC+FEM;SG
يفصل	scheidt	فَصَل	scheiden	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;SG;PRS;FIN
يونانية	griekse	يُونَانِيّ	grieks	ADJ;NOM;INDF;FEM;SG	ADJ
يونانية	grieks	يُونَانِيّ	grieks	ADJ;NOM;INDF;FEM;SG	ADJ
عميقة	diep	عَمِيق	diep	ADJ;NOM;INDF;FEM;SG	ADJ
عميقة	diepe	عَمِيق	diep	ADJ;NOM;INDF;FEM;SG	ADJ
الكريمة	crème	كَرِيم	crum	N;NOM;DEF;SG	N;MASC+FEM;SG
الكريمة	room	كَرِيم	room	N;NOM;DEF;SG	N;MASC+FEM;SG
اجراء	aktie	إِجرَاء	aktie	N;NOM;INDF;SG	N;MASC+FEM;SG
اجراء	actie	إِجرَاء	actie	N;NOM;INDF;SG	N;MASC+FEM;SG
اجراء	procedure	إِجرَاء	procedure	N;NOM;INDF;SG	N;MASC+FEM;SG
البعثات	missies	بَعثَة	missie	N;NOM;DEF;PL	N;PL
فهرس	index	فهرس	index	N;NOM;INDF;SG	N;MASC+FEM;SG
فهرس	indexcijfer	فهرس	indexcijfer	N;NOM;INDF;SG	N;NEUT;SG
فهرس	catalogus	فهرس	catalogus	N;NOM;INDF;SG	N;MASC+FEM;SG
فهرس	catalogus	فهرس	catalogus	N;NOM;INDF;SG	N;MASC+FEM;SG
مماثل	identieke	مُمَاثِل	identiek	ADJ;NOM;INDF;MASC;SG	ADJ
مماثل	identiek	مُمَاثِل	identiek	ADJ;NOM;INDF;MASC;SG	ADJ
مماثل	vergelijkbaar	مُمَاثِل	vergelijkbaar	ADJ;NOM;INDF;MASC;SG	ADJ
مماثل	vergelijkbare	مُمَاثِل	vergelijkbaar	ADJ;NOM;INDF;MASC;SG	ADJ
مماثل	soortgelijk	مُمَاثِل	soortgelijk	ADJ;NOM;INDF;MASC;SG	ADJ
مماثل	soortgelijke	مُمَاثِل	soortgelijk	ADJ;NOM;INDF;MASC;SG	ADJ
مماثل	gelijkaardig	مُمَاثِل	gelijkaardig	ADJ;NOM;INDF;MASC;SG	ADJ
المغني	zanger	مَغَنِيّ	zanger	N;NOM;DEF;SG	N;MASC+FEM;SG
المغني	singer	مَغَنِيّ	singer	N;NOM;DEF;SG	N;MASC+FEM;SG
المغني	zangeres	مَغَنِيّ	zangeres	N;NOM;DEF;SG	N;MASC+FEM;SG
اتفاقيات	conventies	اِتِّفَاقِيَّة	conventie	N;NOM;INDF;PL	N;PL
المحاضرات	lezingen	مُحَاضِرَة	lezing	N;NOM;DEF;PL	N;PL
شريك	partner	شَرِيك	partner	N;NOM;INDF;SG	N;MASC+FEM;SG
المفاتيح	sleutels	مُفَاتِيح	sleutel	N;NOM;DEF;PL	N;PL
المفاتيح	toetsen	مُفَاتِيح	toetsen	N;NOM;DEF;PL	N;PL
عنيفة	gewelddadige	عَنِيف	gewelddadig	ADJ;NOM;INDF;FEM;SG	ADJ
عنيفة	gewelddadig	عَنِيف	gewelddadig	ADJ;NOM;INDF;FEM;SG	ADJ
مستشفيات	ziekenhuizen	مُستَشفَى	ziekenhuis	N;NOM;INDF;PL	N;PL
عانى	leed	عَانَى	lijden	V;PFV;MASC;SG;3;ACT	V;SG;PST;FIN
حلت	opgelost	حَلّ	oplossen	V;PFV;FEM;SG;3;ACT	V;V.PTCP
السادة	heren	سَيِّد	heer	N;NOM;DEF;PL	N;PL
نظمت	geënsceneerd	نَظَّم	ensceneren	V;PFV;FEM;SG;3;ACT	V;V.PTCP
استفتاء	referenda	اِستِفتَاء	referenda	N;NOM;INDF;SG	N;MASC+FEM;SG
استفتاء	referendum	اِستِفتَاء	referendum	N;NOM;INDF;SG	N;NEUT;SG
سمات	attributen	سِمَّة	attribuut	N;NOM;INDF;PL	N;PL
سمات	kenmerken	سِمَّة	kenmerk	N;NOM;INDF;PL	N;PL
سمات	eigenschappen	سِمَّة	eigenschap	N;NOM;INDF;PL	N;PL
سمات	functies	سِمَّة	functie	N;NOM;INDF;PL	N;PL
سمات	kenmerken	سِمَّة	kenmerk	N;NOM;INDF;PL	N;PL
مشروعات	projecten	مَشرُوع	project	N;NOM;INDF;PL	N;PL
الناصرة	nazareth	نَاصِرَة	nazareth	N;NOM;DEF;SG	N;MASC+FEM;SG
البصر	aanblik	بَصر	aanblik	N;NOM;DEF;SG	N;MASC+FEM;SG
فتحت	geopend	فَتَح	openen	V;PFV;FEM;SG;3;ACT	V;V.PTCP
صحي	gezonde	صِحِّيّ	gezonde	ADJ;NOM;INDF;MASC;SG	ADJ
صحي	gezond	صِحِّيّ	gezond	ADJ;NOM;INDF;MASC;SG	ADJ
المشاعر	emoties	مَشعَر	emotie	N;NOM;DEF;PL	N;PL
المشاعر	gevoelens	مَشعَر	gevoel	N;NOM;DEF;PL	N;PL
اختراق	bres	اِختِرَاق	bres	N;NOM;INDF;SG	N;MASC+FEM;SG
اختراق	schending	اِختِرَاق	schending	N;NOM;INDF;SG	N;MASC+FEM;SG
اختراق	inbreuk	اِختِرَاق	inbreuk	N;NOM;INDF;SG	N;MASC+FEM;SG
اختراق	piercing	اِختِرَاق	piercing	N;NOM;INDF;SG	N;MASC+FEM;SG
اختراق	prutser	اِختِرَاق	prutser	N;NOM;INDF;SG	N;MASC+FEM;SG
اختراق	hack	اِختِرَاق	hack	N;NOM;INDF;SG	N;MASC+FEM;SG
عصبي	zenuwachtig	عصبي	zenuwachtig	ADJ;NOM;INDF;MASC;SG	ADJ
عصبي	nerveus	عصبي	nerveus	ADJ;NOM;INDF;MASC;SG	ADJ
شق	incisie	شَقّ	incisie	N;NOM;INDF;SG	N;MASC+FEM;SG
شق	crack	شَقّ	crack	N;NOM;INDF;SG	N;MASC+FEM;SG
حدد	specificeren	حَدَّد	specificeren	V;PFV;MASC;SG;3;ACT	V;NFIN
حدد	kies	حَدَّد	kiezen	V;PFV;MASC;SG;3;ACT	V;SG;PRS;FIN
حدد	selecteren	حَدَّد	select	V;PFV;MASC;SG;3;ACT	V;NFIN
الكرامة	waardigheid	كَرَامَة	waardigheid	N;NOM;DEF;SG	N;MASC+FEM;SG
الكتف	schouder	كِتف	schouder	N;NOM;DEF;SG	N;MASC+FEM;SG
جزئي	gedeeltelijk	جُزئِيّ	gedeeltelijk	ADJ;NOM;INDF;MASC;SG	ADJ
جزئي	gedeeltelijke	جُزئِيّ	gedeeltelijk	ADJ;NOM;INDF;MASC;SG	ADJ
جزئي	partiële	جُزئِيّ	partiel	ADJ;NOM;INDF;MASC;SG	ADJ
الفقرات	paragrafen	فَقرَة	paragraaf	N;NOM;DEF;PL	N;PL
ربحية	rentabiliteit	رِبحِيّ	rentabiliteit	N;NOM;INDF;SG	N;MASC+FEM;SG
ربحية	winstgevendheid	رِبحِيّ	winstgevendheid	N;NOM;INDF;SG	N;MASC+FEM;SG
دجلة	tigris	دِجلَة	tigris	N;NOM;INDF;SG	N;MASC+FEM;SG
هدم	sloop	هَدم	sluipen	N;NOM;INDF;SG	N;MASC+FEM;SG
هدم	afbraak	هَدم	afbraak	N;NOM;INDF;SG	N;MASC+FEM;SG
اغنية	nummer	أَغنِيّ	nummer	N;NOM;INDF;SG	N;MASC+FEM;SG
اغنية	song	أَغنِيّ	song	N;NOM;INDF;SG	N;MASC+FEM;SG
اغنية	zang	أَغنِيّ	zang	N;NOM;INDF;SG	N;MASC+FEM;SG
اغنية	lied	أَغنِيّ	lied	N;NOM;INDF;SG	N;NEUT;SG
اغنية	liedje	أَغنِيّ	liedje	N;NOM;INDF;SG	N;NEUT;SG
مصرف	bank	مَصرِف	bank	N;NOM;INDF;SG	N;MASC+FEM;SG
قياسي	standaard	قِيَاسِيّ	standaard	ADJ;NOM;INDF;MASC;SG	ADJ
مذكرة	memo	مُذَكِّرَة	memo	N;NOM;INDF;SG	N;MASC+FEM;SG
مذكرة	memorandum	مُذَكِّرَة	memorandum	N;NOM;INDF;SG	N;NEUT;SG
مذكرة	notitie	مُذَكِّرَة	notitie	N;NOM;INDF;SG	N;MASC+FEM;SG
المنتدى	forum	مُنتَدَى	forum	N;NOM;DEF;SG	N;NEUT;SG
خزان	tank	خَزَّان	tank	N;NOM;INDF;SG	N;MASC+FEM;SG
خزان	stuwmeer	خَزَّان	stuwmeer	N;NOM;INDF;SG	N;NEUT;SG
خزان	reservoir	خَزَّان	reservoir	N;NOM;INDF;SG	N;NEUT;SG
صممت	ontworpen	صَمَّم	ontwerpen	V;PFV;FEM;SG;3;ACT	V;V.PTCP
مجلد	map	مُجَلَّد	map	N;NOM;INDF;SG	N;MASC+FEM;SG
السكن	huisvesting	سَكَن	huisvesting	N;NOM;DEF;SG	N;MASC+FEM;SG
السكن	accommodatie	سَكَن	accommodatie	N;NOM;DEF;SG	N;MASC+FEM;SG
حائز	houder	حَائِز	houder	N;NOM;INDF;SG	N;MASC+FEM;SG
التنقيب	opgraving	تَنقِيب	opgraving	N;NOM;DEF;SG	N;MASC+FEM;SG
التنقيب	prospectie	تَنقِيب	prospectie	N;NOM;DEF;SG	N;MASC+FEM;SG
كيان	entiteit	كِيَان	entiteit	N;NOM;INDF;SG	N;MASC+FEM;SG
صعوبات	moeilijkheden	صُعُوبَة	moeilijkheid	N;NOM;INDF;PL	N;PL
جدل	polemiek	جَدَل	polemiek	N;NOM;INDF;SG	N;MASC+FEM;SG
الفلم	filmpje	فَلَّم	filmp	N;NOM;DEF;SG	N;NEUT;SG
الفلم	film	فَلَّم	film	N;NOM;DEF;SG	N;MASC+FEM;SG
يولد	geboren	وَلَّد	geboren	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;V.PTCP
نقش	gravure	نَقش	gravure	N;NOM;INDF;SG	N;MASC+FEM;SG
نقش	opschrift	نَقش	opschrift	N;NOM;INDF;SG	N;NEUT;SG
نقش	inscriptie	نَقش	inscriptie	N;NOM;INDF;SG	N;MASC+FEM;SG
مترجم	tolk	مُتَرجِم	tolk	N;NOM;INDF;SG	N;MASC+FEM;SG
مترجم	vertaler	مُتَرجِم	vertaler	N;NOM;INDF;SG	N;MASC+FEM;SG
مترجم	tolk	مُتَرجِم	tolk	N;NOM;INDF;SG	N;MASC+FEM;SG
مترجم	vertaler	مُتَرجِم	vertaler	N;NOM;INDF;SG	N;MASC+FEM;SG
جلسات	sessies	جَلسَة	sessie	N;NOM;INDF;PL	N;PL
جلسات	zittingen	جَلسَة	zitting	N;NOM;INDF;PL	N;PL
تام	tam	تَامّ	tam	ADJ;NOM;INDF;MASC;SG	ADJ
القراءات	lezingen	قِرَاء	lezing	N;NOM;DEF;PL	N;PL
مريض	patiënt	مَرِيض	patiënt	N;NOM;INDF;SG	N;MASC+FEM;SG
مريض	patient	مَرِيض	patienen	N;NOM;INDF;SG	N;MASC+FEM;SG
بطريق	pinguïn	بُطرِيق	pinguïn	N;NOM;INDF;SG	N;MASC+FEM;SG
بطريق	penguin	بُطرِيق	penguin	N;NOM;INDF;SG	N;MASC+FEM;SG
جرعة	dosis	جُرعَة	dosis	N;NOM;INDF;SG	N;MASC+FEM;SG
جرعة	dosering	جُرعَة	dosering	N;NOM;INDF;SG	N;MASC+FEM;SG
مناورات	manoeuvres	مُنَاوَرَة	manoeuvre	N;NOM;INDF;PL	N;PL
مناورات	manoeuvres	مُنَاوَرَة	manoeuvre	N;NOM;INDF;PL	N;PL
مثيرة	opwindend	مُثِير	opwindend	ADJ;NOM;INDF;FEM;SG	ADJ
مثيرة	spannend	مُثِير	spannend	ADJ;NOM;INDF;FEM;SG	ADJ
المثالية	idealisme	المثالية	idealisme	N;NOM;DEF;SG	N;NEUT;SG
الشفاء	genezing	شِفَاء	genezing	N;NOM;DEF;SG	N;MASC+FEM;SG
شتاء	winter	شِتَاء	winter	N;NOM;INDF;SG	N;MASC+FEM;SG
شرب	drankje	شُرب	drank	N;NOM;INDF;SG	N;NEUT;SG
اكتساب	aankoop	اِكتِسَاب	aankoop	N;NOM;INDF;SG	N;MASC+FEM;SG
اكتساب	acquisitie	اِكتِسَاب	acquisitie	N;NOM;INDF;SG	N;MASC+FEM;SG
اكتساب	verwerving	اِكتِسَاب	verwerving	N;NOM;INDF;SG	N;MASC+FEM;SG
اكتساب	overname	اِكتِسَاب	overname	N;NOM;INDF;SG	N;MASC+FEM;SG
اكتساب	aanwinst	اِكتِسَاب	aanwinst	N;NOM;INDF;SG	N;MASC+FEM;SG
المتاحف	musea	مُتَاحَف	museum	N;NOM;DEF;PL	N;PL
النزاعات	conflicten	نِزَاع	conflict	N;NOM;DEF;PL	N;PL
النزاعات	geschillen	نِزَاع	geschil	N;NOM;DEF;PL	N;PL
منتظم	regelmatige	مُنتَظِم	regelmatig	ADJ;NOM;INDF;MASC;SG	ADJ
منتظم	regulier	مُنتَظِم	regulier	ADJ;NOM;INDF;MASC;SG	ADJ
منتظم	reguliere	مُنتَظِم	regulier	ADJ;NOM;INDF;MASC;SG	ADJ
منتظم	regelmatig	مُنتَظِم	regelmatig	ADJ;NOM;INDF;MASC;SG	ADJ
الجيولوجية	geologisch	جِيُولُوجِيّ	geologisch	ADJ;NOM;DEF;FEM;SG	ADJ
الصانع	producent	صَانِع	producent	N;NOM;DEF;SG	N;MASC+FEM;SG
الصانع	fabrikant	صَانِع	fabrikant	N;NOM;DEF;SG	N;MASC+FEM;SG
المواصفات	specificaties	مُوَاصَفَة	specificatie	N;NOM;DEF;PL	N;PL
المواصفات	specificaties	مُوَاصَفَة	specificatie	N;NOM;DEF;PL	N;PL
المواصفات	specificaties	مُوَاصَفَة	specificatie	N;NOM;DEF;PL	N;PL
الطيبة	vriendelijkheid	طَيِّب	vriendelijkheid	N;NOM;DEF;SG	N;MASC+FEM;SG
جوقة	koor	جُوقَة	koor	N;NOM;INDF;SG	N;NEUT;SG
موانئ	havens	مِينَاء	haven	N;NOM;INDF;PL	N;PL
موانئ	poorten	مِينَاء	poort	N;NOM;INDF;PL	N;PL
شعور	gevoel	شُعُور	gevoel	N;NOM;INDF;SG	N;NEUT;SG
العملاق	giant	عِملَاق	ganen	N;NOM;DEF;SG	N;MASC+FEM;SG
العملاق	reus	عِملَاق	reus	N;NOM;DEF;SG	N;MASC+FEM;SG
الصهيوني	zionistische	صَهيُونِيّ	zionistisch	ADJ;NOM;DEF;MASC;SG	ADJ
ليلا	laila	ليلا	laila	N;NOM;INDF;SG	N;MASC+FEM;SG
ليلا	avond	ليلا	avond	N;NOM;INDF;SG	N;MASC+FEM;SG
ليلا	nacht	ليلا	nacht	N;NOM;INDF;SG	N;MASC+FEM;SG
ليلا	avondje	ليلا	avond	N;NOM;INDF;SG	N;NEUT;SG
العجز	invaliditeit	عَجز	invaliditeit	N;NOM;DEF;SG	N;MASC+FEM;SG
العجز	handicap	عَجز	handicap	N;NOM;DEF;SG	N;NEUT;SG
العجز	arbeidsongeschiktheid	عَجز	arbeidsongeschiktheid	N;NOM;DEF;SG	N;MASC+FEM;SG
العجز	deficit	عَجز	deficit	N;NOM;DEF;SG	N;NEUT;SG
العجز	tekort	عَجز	tekort	N;NOM;DEF;SG	N;NEUT;SG
الانتقام	wraak	اِنتِقَام	wraak	N;NOM;DEF;SG	N;MASC+FEM;SG
جرام	gram	جرَام	gram	N;NOM;INDF;SG	N;MASC+FEM;SG
الضابط	officier	ضَابِط	officier	N;NOM;DEF;SG	N;MASC+FEM;SG
الضابط	agent	ضَابِط	agent	N;NOM;DEF;SG	N;MASC+FEM;SG
الفاكهة	fruit	فَاكِهَة	fruit	N;NOM;DEF;SG	N;NEUT;SG
الفاكهة	vrucht	فَاكِهَة	vrucht	N;NOM;DEF;SG	N;MASC+FEM;SG
الكود	wetboek	الكود	wetboek	N;NOM;DEF;SG	N;NEUT;SG
الكود	code	الكود	code	N;NOM;DEF;SG	N;MASC+FEM;SG
حريق	brand	حَرِيق	brand	N;NOM;INDF;SG	N;MASC+FEM;SG
حريق	vuur	حَرِيق	vuur	N;NOM;INDF;SG	N;NEUT;SG
الخلط	vermenging	خَلط	vermenging	N;NOM;DEF;SG	N;MASC+FEM;SG
الخلط	menging	خَلط	mengaan	N;NOM;DEF;SG	N;MASC+FEM;SG
الخلط	verwardheid	خَلط	verwardheid	N;NOM;DEF;SG	N;MASC+FEM;SG
الخلط	verwarring	خَلط	verwarring	N;NOM;DEF;SG	N;MASC+FEM;SG
الزهراء	zahra	زَهرَاء	zahra	N;NOM;DEF;SG	N;MASC+FEM;SG
زمان	zaman	زَمَان	zaman	N;NOM;INDF;SG	N;MASC+FEM;SG
تصريح	machtiging	تَصرِيح	machtiging	N;NOM;INDF;SG	N;MASC+FEM;SG
تصريح	autorisatie	تَصرِيح	autorisatie	N;NOM;INDF;SG	N;MASC+FEM;SG
تصريح	vergunning	تَصرِيح	vergunning	N;NOM;INDF;SG	N;MASC+FEM;SG
تصريح	permissie	تَصرِيح	permissie	N;NOM;INDF;SG	N;MASC+FEM;SG
تصريح	toestemming	تَصرِيح	toestemming	N;NOM;INDF;SG	N;MASC+FEM;SG
دلالة	betekenis	دَلَالَة	betekenis	N;NOM;INDF;SG	N;MASC+FEM;SG
منفصل	aparte	مُنفَصِل	apart	ADJ;NOM;INDF;MASC;SG	ADJ
منفصل	apart	مُنفَصِل	apart	ADJ;NOM;INDF;MASC;SG	ADJ
بديلة	alternatief	بَدِيلَة	alternatief	N;NOM;INDF;SG	N;NEUT;SG
بديلة	plaatsvervanger	بَدِيلَة	plaatsvervanger	N;NOM;INDF;SG	N;MASC+FEM;SG
ذروة	climax	ذُروَة	climax	N;NOM;INDF;SG	N;MASC+FEM;SG
ذروة	hoogtepunt	ذُروَة	hoogtepunt	N;NOM;INDF;SG	N;NEUT;SG
ذروة	peak	ذُروَة	peak	N;NOM;INDF;SG	N;MASC+FEM;SG
ذروة	piek	ذُروَة	piek	N;NOM;INDF;SG	N;MASC+FEM;SG
ذروة	hoogtepunt	ذُروَة	hoogtepunt	N;NOM;INDF;SG	N;NEUT;SG
الشيعية	sjiitische	شِيعِيّ	sjiitisch	ADJ;NOM;DEF;FEM;SG	ADJ
الشهادات	getuigenissen	شَهَادَة	getuigenis	N;NOM;DEF;PL	N;PL
الشهادات	certificaten	شَهَادَة	certificaat	N;NOM;DEF;PL	N;PL
التنبؤ	voorspelling	تَنَبُّؤ	voorspelling	N;NOM;DEF;SG	N;MASC+FEM;SG
المشرف	moderator	مُشرِف	moderator	N;NOM;DEF;SG	N;MASC+FEM;SG
المشرف	toezichthouder	مُشرِف	toezichthouder	N;NOM;DEF;SG	N;MASC+FEM;SG
المشرف	supervisor	مُشرِف	supervisor	N;NOM;DEF;SG	N;MASC+FEM;SG
المشرف	opzichter	مُشرِف	opzichter	N;NOM;DEF;SG	N;MASC+FEM;SG
المشرف	admin	مُشرِف	admin	N;NOM;DEF;SG	N;MASC+FEM;SG
المشرف	beheerder	مُشرِف	beheerd	N;NOM;DEF;SG	N;MASC+FEM;SG
ترميز	codering	تَرمِيز	codering	N;NOM;INDF;SG	N;MASC+FEM;SG
ترميز	codering	تَرمِيز	codering	N;NOM;INDF;SG	N;MASC+FEM;SG
يفتح	opent	فَتَح	openen	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;SG;PRS;FIN
مثبطات	remmers	مُثَبِّط	remmer	N;NOM;INDF;PL	N;PL
الحمد	loof	حَمد	loof	N;NOM;DEF;SG	N;NEUT;SG
الحمد	lof	حَمد	lof	N;NOM;DEF;SG	N;MASC+FEM;SG
الصيانة	onderhoud	صِيَانَة	onderhoud	N;NOM;DEF;SG	N;NEUT;SG
التبغ	tabak	التبغ	tabak	N;NOM;DEF;SG	N;MASC+FEM;SG
اصدار	editie	إِصدَار	editie	N;NOM;INDF;SG	N;MASC+FEM;SG
اصدار	uitgave	إِصدَار	uitgave	N;NOM;INDF;SG	N;MASC+FEM;SG
اصدار	versie	إِصدَار	versie	N;NOM;INDF;SG	N;MASC+FEM;SG
