matado	zabil	matado	zabít	V	V;MASC;SG;POS;PST;V.PTCP;ACT
interpretación	tlumočení	interpretación	tlumočení	N	N;NOM;NEUT;SG;POS
escoitan	poslouchat	escoitar	poslouchat	V	V;IPFV;POS;NFIN
dinámica	dynamika	dinámica	dynamika	N	N;NOM;FEM;SG;POS
dinámica	dynamika	dinámica	dynamika	N	N;NOM;FEM;SG;POS
dinámica	dynamics	dinámica	dynamics	N	N;NOM;MASC;SG;POS
dinámica	dynamiku	dinámica	dynamika	N	N;ACC;FEM;SG;POS
populares	oblíbená	popular	oblíbený	ADJ	ADJ;NOM;FEM;SG;POS
populares	oblíbené	popular	oblíbený	ADJ	ADJ;NOM;NEUT;SG;POS
populares	populární	popular	populární	ADJ	ADJ;NOM;MASC;SG;POS
populares	oblíbený	popular	oblíbený	ADJ	ADJ;INAN;NOM;MASC;SG;POS
aumenta	bude	aumentar	být	V	V;IND;SG;3;POS;FUT;FIN;ACT
aumenta	zvýšit	aumentar	zvýšit	V	V;PFV;POS;NFIN
sida	aids	sida	AIDS	N	N;INAN;MASC;POS
sida	pomůcky	sida	pomůcka	N	N;NOM;FEM;PL;POS
similar	podobné	similar	podobný	ADJ	ADJ;NOM;NEUT;PL;POS
similar	podobná	similar	podobný	ADJ	ADJ;NOM;FEM;SG;POS
similar	podobný	similar	podobný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
similar	obdobné	similar	obdobný	ADJ	ADJ;NOM;MASC;PL;POS
espectadores	diváci	espectador	divák	N	N;ANIM;NOM;MASC;PL;POS
espectadores	diváky	espectador	divák	N	N;ANIM;ACC;MASC;PL;POS
espectadores	diváků	espectador	divák	N	N;ANIM;GEN;MASC;PL;POS
saibas	vědět	saber	vědět	V	V;POS;NFIN
garantía	garance	garantía	garance	N	N;NOM;FEM;PL;POS
garantía	ručení	garantía	ručení	N	N;NOM;NEUT;SG;POS
garantía	záruka	garantía	záruka	N	N;NOM;FEM;SG;POS
bambú	bambus	bambú	bambus	N	N;INAN;NOM;MASC;SG;POS
falsos	nepravdivé	falso	pravdivý	ADJ	ADJ;NOM;NEUT;SG;NEG
falsos	falešné	falso	falešný	ADJ	ADJ;NOM;NEUT;PL;POS
pensaban	myslel	pensabar	myslet	V	V;MASC;SG;POS;PST;V.PTCP;ACT
xulgado	soudu	xulgado	soud	N	N;INAN;GEN;MASC;SG;POS
xulgado	soud	xulgado	soud	N	N;INAN;NOM;MASC;SG;POS
xulgado	dvůr	xulgado	dvůr	N	N;INAN;NOM;MASC;SG;POS
extensión	prodloužení	extensión	prodloužení	N	N;NOM;NEUT;SG;POS
extensión	rozšíření	extensión	rozšíření	N	N;NOM;NEUT;SG;POS
expansión	expanze	expansión	expanze	N	N;NOM;FEM;SG;POS
expansión	rozšiřování	expansión	rozšiřování	N	N;NOM;NEUT;SG;POS
expansión	rozšíření	expansión	rozšíření	N	N;NOM;NEUT;SG;POS
azar	šance	azar	šance	N	N;NOM;FEM;SG;POS
azar	chance	azar	chanec	N	N;NOM;FEM;SG;POS
azar	šanci	azar	šance	N	N;ACC;FEM;SG;POS
necesitan	potřebovat	necesitar	potřebovat	V	V;IPFV;POS;NFIN
necesitan	potřebuji	necesitar	potřebovat	V	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
necesitan	potřebují	necesitar	potřebovat	V	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT
organizacións	organizace	organización	organizace	N	N;NOM;FEM;SG;POS
individual	individuální	individual	individuální	ADJ	ADJ;NOM;MASC;SG;POS
web	web	web	web	N	N;INAN;NOM;MASC;SG;POS
web	web	web	web	N	N;INAN;NOM;MASC;SG;POS
web	webu	web	web	N	N;INAN;NOM;MASC;SG;POS
novamente	znovu	novamente	znovu	ADV	ADV
novamente	zase	novamente	zase	ADV	ADV
novamente	opět	novamente	opět	ADV	ADV
intres	moments	intres	moment	N	N;MASC;SG;POS
intres	momenty	intres	moment	N	N;INAN;NOM;MASC;PL;POS
intres	okamžiky	intres	okamžik	N	N;INAN;NOM;MASC;PL;POS
intres	chvíle	intres	chvíle	N	N;NOM;FEM;PL;POS
específico	specifické	específico	specifický	ADJ	ADJ;NOM;MASC;PL;POS
específico	specifická	específico	specifický	ADJ	ADJ;NOM;FEM;SG;POS
específico	konkrétní	específico	konkrétní	ADJ	ADJ;NOM;MASC;SG;POS
específico	specifický	específico	specifický	ADJ	ADJ;INAN;NOM;MASC;SG;POS
ordenadores	počítače	ordenador	počítač	N	N;INAN;NOM;MASC;PL;POS
ordenadores	počítač	ordenador	počítač	N	N;INAN;NOM;MASC;SG;POS
ordenadores	počítače	ordenador	počítač	N	N;INAN;NOM;MASC;PL;POS
ordenadores	počítači	ordenador	počítač	N	N;INAN;NOM;MASC;PL;POS
estatísticas	statistiky	estatística	statistika	N	N;NOM;FEM;PL;POS
estatísticas	statistika	estatística	statistika	N	N;NOM;FEM;SG;POS
capturado	zajali	capturado	zajmout	V	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
trece	třináctka	trecer	třináctka	N	N;NOM;FEM;SG;POS
trece	thirteen	trecer	thirteen	N	N;INAN;NOM;MASC;SG;POS
lémbrame	připomíná	lémbrame	připomínat	V	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
características	vlastnosti	característica	vlastnost	N	N;NOM;FEM;PL;POS
características	funkce	característica	funkce	N	N;NOM;FEM;SG;POS
características	prvky	característica	prvek	N	N;INAN;NOM;MASC;PL;POS
características	rysy	característica	rys	N	N;INAN;NOM;MASC;PL;POS
características	vlastnosti	característica	vlastnost	N	N;NOM;FEM;PL;POS
características	charakteristika	característica	charakteristika	N	N;NOM;FEM;SG;POS
características	charakteristiky	característica	charakteristika	N	N;NOM;FEM;PL;POS
residencia	sídlo	residencia	sídlo	N	N;NOM;NEUT;SG;POS
residencia	bydliště	residencia	bydliště	N	N;NOM;NEUT;SG;POS
residencia	rezidence	residencia	rezidence	N	N;NOM;FEM;SG;POS
pensara	myslel	pensar	myslet	V	V;MASC;SG;POS;PST;V.PTCP;ACT
calefacción	horko	calefacción	horko	N	N;NOM;NEUT;SG;POS
calefacción	žár	calefacción	žár	N	N;INAN;NOM;MASC;SG;POS
calefacción	tepla	calefacción	teplo	N	N;NOM;NEUT;SG;POS
calefacción	teplo	calefacción	teplo	N	N;NOM;NEUT;SG;POS
calefacción	vytápění	calefacción	vytápění	N	N;NOM;NEUT;SG;POS
calefacción	topení	calefacción	topení	N	N;NOM;NEUT;SG;POS
respondeu	odpovědělo	responder	odpovědět	V	V;NEUT;SG;POS;PST;V.PTCP;ACT
respondeu	odpověděl	responder	odpovědět	V	V;MASC;SG;POS;PST;V.PTCP;ACT
décadas	desetiletí	década	desetiletí	N	N;NOM;NEUT;PL;POS
décadas	dekády	década	dekáda	N	N;NOM;FEM;PL;POS
compartimos	sdílet	compartir	sdílet	V	V;IPFV;POS;NFIN
redución	snižování	redución	snižování	N	N;NOM;NEUT;SG;POS
redución	snížení	redución	snížení	N	N;NOM;NEUT;SG;POS
redución	redukce	redución	redukce	N	N;NOM;FEM;SG;POS
redución	zmenšení	redución	zmenšení	N	N;NOM;NEUT;SG;POS
arder	hoří	arder	hořet	V	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
arder	hořet	arder	hořet	V	V;POS;NFIN
arder	spálit	arder	spálit	V	V;PFV;POS;NFIN
volcán	vulkán	volcán	vulkaný	N	N;INAN;NOM;MASC;SG;POS
volcán	sopka	volcán	sopka	N	N;NOM;FEM;SG;POS
kg	libry	kg	libra	N	N;NOM;FEM;PL;POS
kg	liber	kg	libra	N	N;GEN;FEM;PL;POS
kg	kila	kg	kilo	N	N;NOM;NEUT;PL;POS
oriental	východní	oriental	východní	ADJ	ADJ;NOM;FEM;SG;POS
oriental	orientální	oriental	orientální	ADJ	ADJ;NOM;MASC;SG;POS
violín	housle	violín	housle	N	N;NOM;FEM;PL;POS
sufriu	trpěli	sufrir	trpět	V	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
sufriu	trpěla	sufrir	trpět	V	V;POS;PST;V.PTCP;ACT
sufriu	trpěl	sufrir	trpět	V	V;MASC;SG;POS;PST;V.PTCP;ACT
explorar	prozkoumat	explorar	prozkoumat	V	V;PFV;POS;NFIN
xeralmente	obecně	xeral	obecně	ADV	ADV;POS
xeralmente	všeobecně	xeral	všeobecně	ADV	ADV;POS
teléfonos	smartphony	teléfono	smartphon	N	N;INAN;NOM;MASC;PL;POS
teléfonos	telefony	teléfono	telefon	N	N;INAN;NOM;MASC;PL;POS
estruturas	struktury	estrutura	struktura	N	N;NOM;FEM;PL;POS
estruturas	stavby	estrutura	stavba	N	N;NOM;FEM;PL;POS
estruturas	konstrukce	estrutura	konstrukce	N	N;NOM;FEM;SG;POS
fusión	fúze	fusión	fúze	N	N;NOM;FEM;SG;POS
suma	částka	suma	částka	N	N;NOM;FEM;SG;POS
suma	suma	suma	suma	N	N;NOM;FEM;SG;POS
suma	součet	suma	součet	N	N;INAN;NOM;MASC;SG;POS
tanque	tanku	tanque	tank	N	N;INAN;DAT;MASC;SG;POS
tanque	tank	tanque	tank	N	N;INAN;NOM;MASC;SG;POS
tanque	nádrž	tanque	nádrž	N	N;NOM;FEM;SG;POS
eventos	akce	evento	akce	N	N;NOM;FEM;SG;POS
eventos	událostí	evento	událost	N	N;INS;FEM;SG;POS
eventos	události	evento	událost	N	N;NOM;FEM;PL;POS
axenda	agendu	axenda	agenda	N	N;ACC;FEM;SG;POS
axenda	agenda	axenda	agenda	N	N;NOM;FEM;SG;POS
bancos	banky	banco	banka	N	N;NOM;FEM;PL;POS
bancos	bankám	banco	banka	N	N;DAT;FEM;PL;POS
bancos	bank	banco	banka	N	N;GEN;FEM;PL;POS
pensaron	myslel	pensar	myslet	V	V;MASC;SG;POS;PST;V.PTCP;ACT
instrucións	pokyny	instrución	pokyn	N	N;INAN;NOM;MASC;PL;POS
instrucións	instrukce	instrución	instrukce	N	N;NOM;FEM;PL;POS
instrucións	návod	instrución	návod	N	N;INAN;NOM;MASC;SG;POS
chamábase	bylo	chamábase	být	V	V;NEUT;SG;POS;PST;V.PTCP;ACT
chamábase	byl	chamábase	být	V	V;MASC;SG;POS;PST;V.PTCP;ACT
chamábase	byla	chamábase	být	V	V;POS;PST;V.PTCP;ACT
chamábase	volal	chamábase	volat	V	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
chamábase	zavolal	chamábase	zavolat	V	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
chamábase	volala	chamábase	volat	V	V;IPFV;POS;PST;V.PTCP;ACT
chamábase	volali	chamábase	volat	V	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP;ACT
pluma	tužka	plumo	tužka	N	N;NOM;FEM;SG;POS
pluma	pero	plumo	pero	N	N;NOM;NEUT;SG;POS
pluma	peří	plumo	peří	N	N;NOM;NEUT;SG;POS
pluma	pírko	plumo	pírko	N	N;NOM;NEUT;SG;POS
espido	nazí	espido	nazit	N	N;ANIM;NOM;MASC;PL;POS
espido	nahý	espido	nahý	N	N;ANIM;NOM;MASC;SG;POS
espido	nahé	espido	nahý	N	N;NOM;FEM;PL;POS
espido	nahá	espido	nahý	N	N;NOM;FEM;SG;POS
técnicos	technici	técnico	technik	N	N;ANIM;NOM;MASC;PL;POS
verbas	slov	verba	slovo	N	N;GEN;NEUT;PL;POS
verbas	slova	verba	slovo	N	N;NOM;NEUT;PL;POS
conclusión	závěr	conclusión	závěr	N	N;INAN;NOM;MASC;SG;POS
conclusión	závěry	conclusión	závěr	N	N;INAN;NOM;MASC;PL;POS
orgullosos	pyšný	orgulloso	pyšný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
orgullosos	hrdá	orgulloso	hrdý	ADJ	ADJ;NOM;FEM;SG;POS
orgullosos	pyšná	orgulloso	pyšný	ADJ	ADJ;NOM;FEM;SG;POS
orgullosos	hrdí	orgulloso	hrdý	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
orgullosos	hrdý	orgulloso	hrdý	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
chegarán	bude	chegar	být	V	V;IND;SG;3;POS;FUT;FIN;ACT
escoitou	slyšel	escoitar	slyšet	V	V;MASC;SG;POS;PST;V.PTCP;ACT
músculos	svalů	músculo	sval	N	N;INAN;GEN;MASC;PL;POS
músculos	svaly	músculo	sval	N	N;INAN;NOM;MASC;PL;POS
demostración	demonstrace	demostración	demonstrace	N	N;NOM;FEM;SG;POS
demostración	ukázku	demostración	ukázka	N	N;ACC;FEM;SG;POS
demostración	ukázka	demostración	ukázka	N	N;NOM;FEM;SG;POS
demostración	předvedení	demostración	předvedení	N	N;NOM;NEUT;SG;POS
demostración	prokazování	demostración	prokazování	N	N;NOM;NEUT;SG;POS
computador	počítač	computador	počítač	N	N;INAN;NOM;MASC;SG;POS
computador	počítače	computador	počítač	N	N;INAN;NOM;MASC;PL;POS
computador	počítači	computador	počítač	N	N;INAN;NOM;MASC;PL;POS
xogadores	hráči	xogador	hráč	N	N;ANIM;NOM;MASC;PL;POS
xogadores	hráče	xogador	hráč	N	N;ANIM;ACC;MASC;PL;POS
xogadores	hráčů	xogador	hráč	N	N;ANIM;GEN;MASC;PL;POS
xogadores	hráči	xogador	hráč	N	N;ANIM;NOM;MASC;PL;POS
xogadores	přehrávače	xogador	přehrávač	N	N;INAN;NOM;MASC;PL;POS
supostamente	údajně	supostamente	údajně	ADV	ADV;POS
violación	znásilnění	violación	znásilnění	N	N;NOM;NEUT;SG;POS
violación	porušení	violación	porušení	N	N;NOM;NEUT;SG;POS
violación	porušování	violación	porušování	N	N;NOM;NEUT;SG;POS
gustoume	líbilo	gustoume	líbit	V	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT
xefa	head	xefa	haad	N	N;INAN;NOM;MASC;SG;POS
xefa	hlavu	xefa	hlava	N	N;ACC;FEM;SG;POS
xefa	hlavička	xefa	hlavička	N	N;NOM;FEM;SG;POS
xefa	hlava	xefa	hlava	N	N;NOM;FEM;SG;POS
manchas	skvrny	mancha	skvrna	N	N;NOM;FEM;PL;POS
neveira	lednice	neveiro	lednice	N	N;NOM;FEM;SG;POS
neveira	lednička	neveiro	lednička	N	N;NOM;FEM;SG;POS
neveira	ledničky	neveiro	lednička	N	N;NOM;FEM;PL;POS
potente	mocná	potente	mocný	ADJ	ADJ;NOM;FEM;SG;POS
potente	mocný	potente	mocný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
potente	mocní	potente	mocní	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
lexítimo	právoplatné	lexítimo	právoplatný	ADJ	ADJ;NOM;NEUT;SG;POS
perigosa	nebezpečné	perigosa	bezpečný	ADJ	ADJ;NOM;NEUT;SG;NEG
perigosa	nebezpečný	perigosa	bezpečný	ADJ	ADJ;INAN;NOM;MASC;SG;NEG
perigosa	nebezpečná	perigosa	bezpečný	ADJ	ADJ;NOM;FEM;SG;NEG
categoría	kategorii	categoría	kategorie	N	N;ACC;FEM;SG;POS
categoría	kategorie	categoría	kategorie	N	N;NOM;FEM;SG;POS
estatal	státní	estatal	státní	ADJ	ADJ;NOM;MASC;SG;POS
representante	proxy	representante	prox	N	N;NOM;FEM;SG;POS
representante	zástupce	representante	zástupce	N	N;ANIM;NOM;MASC;SG;POS
representante	představitel	representante	představitel	N	N;ANIM;NOM;MASC;SG;POS
levárono	vzal	levárono	vzít	V	V;MASC;SG;POS;PST;V.PTCP;ACT
xogamos	hrála	xogar	hrát	V	V;POS;PST;V.PTCP;ACT
xogamos	hrál	xogar	hrát	V	V;MASC;SG;POS;PST;V.PTCP;ACT
xogamos	hráli	xogar	hrát	V	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
xogamos	hrajte	xogar	hrát	V	V;PFV;IMP;PL;2;POS;FIN
xogamos	přehrát	xogar	přehrát	V	V;POS;NFIN
xogamos	hrát	xogar	hrát	V	V;POS;NFIN
feitas	vyrobil	facer	vyrobit	V	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
feitas	udělal	facer	udělat	V	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
logro	dosažení	logro	dosažení	N	N;NOM;NEUT;SG;POS
logro	úspěch	logro	úspěch	N	N;INAN;NOM;MASC;SG;POS
estranxeira	zahraniční	estranxeiro	zahraniční	ADJ	ADJ;NOM;MASC;SG;POS
estranxeira	cizí	estranxeiro	cizí	ADJ	ADJ;NOM;MASC;SG;POS
seguranza	stavitel	seguranza	stavitel	N	N;ANIM;NOM;MASC;SG;POS
seguranza	dodavatel	seguranza	dodavatel	N	N;ANIM;NOM;MASC;SG;POS
subtítulos	titulky	subtítulo	titulek	N	N;INAN;NOM;MASC;PL;POS
ciclo	cyklu	ciclo	cyklus	N	N;INAN;GEN;MASC;SG;POS
ciclo	cyklus	ciclo	cyklus	N	N;INAN;NOM;MASC;SG;POS
ciclo	koloběh	ciclo	koloběh	N	N;INAN;NOM;MASC;SG;POS
dirán	řekněme	dir	říci	V	V;PFV;IMP;PL;2;POS;FIN
dirán	řekněte	dir	říci	V	V;PFV;IMP;PL;2;POS;FIN
dirán	řekni	dir	říci	V	V;IMP;SG;1;POS;FIN
viaxa	cestuje	viaxa	cestovat	V	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
viaxa	cestovat	viaxa	cestovat	V	V;IPFV;POS;NFIN
néboa	mlhu	néboa	mlha	N	N;ACC;FEM;SG;POS
néboa	mlhy	néboa	mlha	N	N;NOM;FEM;PL;POS
néboa	mlha	néboa	mlha	N	N;NOM;FEM;SG;POS
ducia	tucet	ducia	tucet	N	N;INAN;NOM;MASC;SG;POS
localización	lokace	localización	lokace	N	N;NOM;FEM;PL;POS
localización	místo	localización	místo	N	N;NOM;NEUT;SG;POS
localización	poloha	localización	poloha	N	N;NOM;FEM;SG;POS
localización	umístění	localización	umístění	N	N;NOM;NEUT;SG;POS
localización	lokalita	localización	lokalita	N	N;NOM;FEM;SG;POS
cidadás	občané	cidadán	občan	N	N;ANIM;NOM;MASC;PL;POS
cidadás	občany	cidadán	občan	N	N;ANIM;ACC;MASC;PL;POS
satisfacer	uspokojit	satisfacer	uspokojit	V	V;PFV;POS;NFIN
pioneiros	pionýři	pioneiro	pionýr	N	N;ANIM;NOM;MASC;PL;POS
esperan	doufám	esperar	doufat	V	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
esperan	doufat	esperar	doufat	V	V;IPFV;POS;NFIN
esperan	čeká	esperar	čekat	V	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
esperan	čekat	esperar	čekat	V	V;IPFV;POS;NFIN
esperan	čekám	esperar	čekat	V	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
lémbrome	nezapomeňte	lémbrome	zapomenotit	V	V;IMP;PL;2;POS;FIN
lémbrome	pamatujte	lémbrome	pamatovat	V	V;PFV;IMP;PL;2;POS;FIN
lote	šarže	lote	šarže	N	N;NOM;FEM;SG;POS
metais	kovy	metal	kov	N	N;INAN;NOM;MASC;PL;POS
lixeiro	lehké	lixeiro	lehký	ADJ	ADJ;NOM;NEUT;SG;POS
acumulación	hromadění	acumulación	hromadění	N	N;NOM;NEUT;SG;POS
acumulación	kumulace	acumulación	kumulace	N	N;NOM;FEM;SG;POS
acumulación	akumulace	acumulación	akumulace	N	N;NOM;FEM;SG;POS
manchester	manchesteru	manchester	manchester	N	N;INAN;GEN;MASC;SG;POS
raíces	kořeny	raíz	kořen	N	N;INAN;NOM;MASC;PL;POS
raíces	kořenů	raíz	kořen	N	N;INAN;GEN;MASC;PL;POS
evidentemente	očividně	evidente	očividně	ADV	ADV;POS
tina	tinu	tina	tina	N	N;ACC;FEM;SG;POS
condena	dob	condena	doba	N	N;GEN;FEM;PL;POS
condena	čas	condena	čas	N	N;INAN;NOM;MASC;SG;POS
condena	doba	condena	doba	N	N;NOM;FEM;SG;POS
condena	time	condena	time	N	N;INAN;NOM;MASC;SG;POS
defunto	zpoždění	defunto	zpoždění	N	N;NOM;NEUT;SG;POS
fuga	končetiny	fugar	končetina	N	N;NOM;FEM;PL;POS
fantasma	přeprava	fantasma	přeprava	N	N;NOM;FEM;SG;POS
fantasma	kočár	fantasma	kočár	N	N;INAN;NOM;MASC;SG;POS
fantasma	přízrak	fantasma	přízrak	N	N;INAN;NOM;MASC;SG;POS
fantasma	duch	fantasma	duch	N	N;ANIM;NOM;MASC;SG;POS
fantasma	duchu	fantasma	duch	N	N;ANIM;DAT;MASC;SG;POS
fantasma	strašidlo	fantasma	strašidlo	N	N;NOM;NEUT;SG;POS
escapou	utekl	escapar	utéci	V	V;MASC;SG;POS;PST;V.PTCP;ACT
escapou	unikl	escapar	uniknout	V	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
tumbas	hroby	tumba	hrob	N	N;INAN;NOM;MASC;PL;POS
amada	milovaná	amadar	milovaný	ADJ	ADJ;NOM;FEM;SG;POS
amada	milován	amadar	milovaný	ADJ	ADJ;MASC;SG;POS;V.PTCP;PASS
cooperativas	družstvo	cooperativa	družstvo	N	N;NOM;NEUT;SG;POS
cooperativas	družstva	cooperativa	družstvo	N	N;NOM;NEUT;PL;POS
cooperativas	družstev	cooperativa	družstvo	N	N;GEN;NEUT;PL;POS
colgar	viset	colgar	viset	V	V;IPFV;POS;NFIN
colgar	pověsit	colgar	pověsit	V	V;PFV;POS;NFIN
internado	nemocnice	internado	nemocnice	N	N;NOM;FEM;SG;POS
internado	nemocnici	internado	nemocnice	N	N;DAT;FEM;SG;POS
