もの	şeyler	もの	şey	N	N;NOM;PL;3
地域	bölgesi	地域	bölge	N	N;NOM;SG;3
変更	değiştirme	変更	değiş	V	V;PFV;IMP;SG;2;NEG;PRS;CAUS
サイト	site	サイト	sit	N	N;NOM;SG;3
サイト	sitede	サイト	site	N	N;ESS;SG;3
サイト	siteler	サイト	site	N	N;NOM;PL;3
サイト	siteleri	サイト	site	N	N;ACC;PL;3
関係	ilişki	関係	ilişki	N	N;NOM;SG;3
関係	akrabalık	関係	akrabalık	N	N;NOM;SG;3
関係	ilişkiler	関係	ilişki	N	N;NOM;PL;3
関係	ilişkileri	関係	ilişki	N	N;ACC;PL;3
クラブ	kulübü	クラブ	kulüb	N	N;NOM;SG;3
クラブ	kulüpler	クラブ	kulüp	N	N;NOM;PL;3
クラブ	kulüpleri	クラブ	kulüp	N	N;ACC;PL;3
中央	merkezi	中央	merkez	N	N;ACC;SG;3
中央	merkezi	中央	merkez	N	N;ACC;SG;3
中央	center	中央	center	N	N;NOM;SG;3
中央	merkezi	中央	merkez	N	N;ACC;SG;3
同じ	aynısından	同じ	aynı	ADJ	ADJ;AT+ABL;SG;3
同じ	aynı	同じ	aynı	ADJ	ADJ
設立	kurulmuştur	設立	kur	V	V;PFV;NFH;SG;3;POS;PST;PASS
設立	kurulmuş	設立	kur	V	V;PFV;NFH;IND;SG;3;POS;PST;PASS
設立	kuruldu	設立	kur	V	V;PFV;IND;SG;3;POS;PST;PASS
設立	kurulan	設立	kur	V	V;PFV;IND;POS;PRS;V.PTCP;PASS
設立	kurulması	設立	kur	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
考え	düşünerek	考える	düşün	V	V;PFV;IND;POS;PRS;V.CVB
考え	düşünmek	考える	düşün	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
考え	düşünüyorum	考える	düşün	V	V;PROG;IND;SG;1;POS;INFM;PRS
教育	eğitim	教育	eğitim	N	N;NOM;SG;3
設置	yükleme	設置	yükle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
小学校	ilköğretim	小学校	ilköğretim	N	N;NOM;SG;3
編集	düzenleyin	編集	düzenle	V	V;PFV;IMP;PL;2;POS;PRS
編集	düzenleme	編集	düzenle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
編集	düzenlemeler	編集	düzenle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
編集	düzenlemeleri	編集	düzenle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
編集	düzenleme	編集	düzenle	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
シーズン	sezonu	シーズン	sezon	N	N;ACC;SG;3
ファイル	dosyalar	ファイル	dosya	N	N;NOM;PL;3
ファイル	dosyaları	ファイル	dosya	N	N;NOM;PL;3
ファイル	dosyası	ファイル	dosya	N	N;NOM;SG;3
都市	kentler	都市	kent	N	N;NOM;PL;3
都市	şehirler	都市	şehir	N	N;NOM;PL;3
都市	şehirleri	都市	şehir	N	N;NOM;PL;3
出版	yayınlama	出版	yayınla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
出版	yayınlama	出版	yayınla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
会社	firma	会社	firma	N	N;NOM;SG;3
会社	firma	会社	firma	N	N;NOM;SG;3
会社	firmalar	会社	firma	N	N;NOM;PL;3
会社	şirketleri	会社	şirket	N	N;ACC;PL;3
会社	şirketler	会社	şirket	N	N;NOM;PL;3
世紀	yüzyıllar	世紀	yüzyıl	N	N;NOM;PL;3
世紀	asırlar	世紀	asır	N	N;NOM;PL;3
ノート	defterler	ノート	defter	N	N;NOM;PL;3
ノート	notları	ノート	not	N	N;ACC;PL;3
ノート	notlar	ノート	not	N	N;NOM;PL;3
ノート	defteri	ノート	defteri	N	N;NOM;SG;3
社会	sosyete	社会	sosyet	N	N;NOM;SG;3
社会	toplumlar	社会	toplum	N	N;NOM;PL;3
社会	topluluklar	社会	topluluk	N	N;NOM;PL;3
開催	tutulan	開催	tut	V	V;PFV;IND;POS;PRS;V.PTCP;PASS
開催	düzenlenen	開催	düzenle	V	V;PFV;IND;POS;PRS;V.PTCP;PASS
センター	merkezi	センター	merkez	N	N;ACC;SG;3
センター	center	センター	center	N	N;NOM;SG;3
センター	merkezi	センター	merkez	N	N;ACC;SG;3
終了	bitir	終了	bitir	V	V;PFV;IMP;SG;2;POS;PRS
終了	bitir	終了	bitir	V	V;PFV;IMP;SG;2;POS;PRS
終了	bitmiş	終了	bit	V	V;PFV;NFH;IND;SG;3;POS;PST
終了	bitti	終了	bit	V	V;PFV;IND;SG;3;POS;PST
終了	bitirdim	終了	bitir	V	V;PFV;IND;SG;1;POS;PST
終了	tamamlandı	終了	tamamla	V	V;PFV;IND;SG;3;POS;PST;PASS
中心	merkezi	中心	merkez	N	N;ACC;SG;3
中心	center	中心	center	N	N;NOM;SG;3
中心	merkezi	中心	merkez	N	N;ACC;SG;3
内容	içeriğe	内容	içerik	N	N;DAT;SG;3
内容	içeriği	内容	içerik	N	N;NOM;SG;3
内容	içerikler	内容	içerik	N	N;NOM;PL;3
内容	içeriği	内容	içerik	N	N;NOM;SG;3
内容	içerikler	内容	içerik	N	N;NOM;PL;3
ドラマ	tiyatro	ドラマ	tiyatro	N	N;NOM;SG;3
選手権	şampiyonası	選手権	şampiyon	N	N;NOM;SG;3
選手権	şampiyonluk	選手権	şampiyonluk	N	N;NOM;SG;3
選手権	şampiyona	選手権	şampiyon	N	N;DAT;SG;3
選手権	şampiyonası	選手権	şampiyon	N	N;NOM;SG;3
選手権	şampiyonluk	選手権	şampiyonluk	N	N;NOM;SG;3
選手権	şampiyona	選手権	şampiyon	N	N;DAT;SG;3
指定	belirtin	指定	belir	V	V;PFV;IMP;PL;2;POS;PRS
人物	kişi	人物	kişi	N	N;NOM;SG;3
人物	kişiye	人物	kişi	N	N;DAT;SG;3
人物	insan	人物	insan	N	N;NOM;SG;3
公開	yayınlama	公開	yayınla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
公開	yayınlamak	公開	yayınla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
確認	onaylama	確認	onayla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
歴史	tarih	歴史	tarih	N	N;NOM;SG;3
選挙	seçimler	選挙	seçim	N	N;NOM;PL;3
選挙	seçimler	選挙	seçim	N	N;NOM;PL;3
計画	planı	計画	plan	N	N;ACC;SG;3
計画	planlar	計画	plan	N	N;NOM;PL;3
計画	planları	計画	plan	N	N;ACC;PL;3
経済	ekonomileri	経済	ekonomi	N	N;NOM;PL;3
経済	ekonomisi	経済	ekonomi	N	N;NOM;SG;3
ページ	sayfaya	ページ	sayfa	N	N;DAT;SG;3
ページ	sayfada	ページ	sayfa	N	N;ESS;SG;3
ページ	sayfası	ページ	sayfa	N	N;NOM;SG;3
ページ	sayfayı	ページ	sayfa	N	N;ACC;SG;3
ページ	sayfaları	ページ	sayfa	N	N;ACC;PL;3
ページ	sayfalar	ページ	sayfa	N	N;NOM;PL;3
劇場	tiyatro	劇場	tiyatro	N	N;NOM;SG;3
劇場	tiyatro	劇場	tiyatro	N	N;NOM;SG;3
グループ	gruplar	グループ	grup	N	N;NOM;PL;3
グループ	grupları	グループ	grup	N	N;ACC;PL;3
女性	kadınım	女性	kadın	N	N;NOM;SG;3
地区	ilçesi	地区	ilçe	N	N;NOM;SG;3
地区	semt	地区	semt	N	N;NOM;SG;3
コメント	yorumda	コメント	yorum	N	N;ESS;SG;3
コメント	yorumu	コメント	yorum	N	N;ACC;SG;3
コメント	yoruma	コメント	yorum	N	N;DAT;SG;3
コメント	yorumları	コメント	yorum	N	N;ACC;PL;3
コメント	yorumlar	コメント	yorum	N	N;NOM;PL;3
他の	başkaları	他の	başka	ADJ	ADJ;ACC;PL;3
廃止	kaldırılması	廃止	kal	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
販売	satıyor	販売	sat	V	V;PROG;IND;SG;3;POS;INFM;PRS
販売	satmak	販売	sat	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
販売	satıyorum	販売	sat	V	V;PROG;IND;SG;1;POS;INFM;PRS
協会	derneği	協会	dernek	N	N;NOM;SG;3
路線	yolları	路線	yol	N	N;NOM;PL;3
戦争	savaş	戦争	savaş	N	N;NOM;SG;3
戦争	savaşları	戦争	savaş	N	N;NOM;PL;3
戦争	savaşlar	戦争	savaş	N	N;NOM;PL;3
部分	parçası	部分	parça	N	N;NOM;SG;3
番号	numarası	番号	numara	N	N;NOM;SG;3
当初	başlangıçta	当初	başlangıç	N	N;ESS;SG;3
最初	öncelikle	最初	öncelik	N	N;INS;SG;3
期間	süresi	期間	süre	N	N;NOM;SG;3
期間	süre	期間	süre	N	N;NOM;SG;3
場所	yer	場所	yer	N	N;NOM;SG;3
場所	yer	場所	yer	N	N;NOM;SG;3
場所	konumu	場所	konum	N	N;ACC;SG;3
場所	konum	場所	konum	N	N;NOM;SG;3
場所	yeri	場所	yer	N	N;ACC;SG;3
場所	mekanlar	場所	mekan	N	N;NOM;PL;3
場所	yerleri	場所	yer	N	N;ACC;PL;3
場所	yerler	場所	yer	N	N;NOM;PL;3
合併	birleşmesi	合併	birleş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
道路	yollar	道路	yol	N	N;NOM;PL;3
道路	karayolu	道路	karayolu	N	N;NOM;SG;3
特定	spesifik	特定	spesifik		
特定	belirli	特定	belirli		
システム	sistem	システム	sistem	N	N;NOM;SG;3
システム	sistemi	システム	sistem	N	N;ACC;SG;3
システム	sistemleri	システム	sistem	N	N;ACC;PL;3
システム	sistemler	システム	sistem	N	N;NOM;PL;3
システム	sistem	システム	sistem	N	N;NOM;SG;3
モデル	modeller	モデル	model	N	N;NOM;PL;3
モデル	modelleri	モデル	model	N	N;NOM;PL;3
モデル	mankenler	モデル	manken	N	N;NOM;PL;3
モデル	modeli	モデル	model	N	N;NOM;SG;3
列車	trenle	列車	trenl	N	N;INS;SG;3
列車	trenler	列車	tren	N	N;NOM;PL;3
列車	trenleri	列車	tren	N	N;ACC;PL;3
科学	bilim	科学	bilim	N	N;NOM;SG;3
理由	sebepleri	理由	sebep	N	N;NOM;PL;3
理由	nedenler	理由	neden	N	N;NOM;PL;3
理由	sebepler	理由	sebep	N	N;NOM;PL;3
理由	nedenleri	理由	neden	N	N;ACC;PL;3
理由	nedeni	理由	neden	N	N;NOM;SG;3
そして	ve	そして	ve	CONJ	CONJ
車両	araçlar	車両	araç	N	N;NOM;PL;3
自動車	otomobil	自動車	otomobil	N	N;NOM;SG;3
自動車	otomobil	自動車	otomobil	N	N;NOM;SG;3
人口	nüfusu	人口	nüfus	N	N;ACC;SG;3
人口	nüfusu	人口	nüfus	N	N;ACC;SG;3
営業	iş	営業	iş	N	N;NOM;SG;3
新聞	gazeteler	新聞	gazete	N	N;NOM;PL;3
政府	devlet	政府	devlet	N	N;NOM;SG;3
構成	yapılandırma	構成	yapılan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
構成	yapılandırmaları	構成	yapılan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
キャラクター	karakteri	キャラクター	karakteri	N	N;ESS;SG;3
キャラクター	karakterler	キャラクター	karak	N	N;NOM;PL;3
キャラクター	karakterleri	キャラクター	karakter	N	N;NOM;PL;3
小説	romanlar	小説	roman	N	N;NOM;PL;3
機関	organlar	機関	organ	N	N;NOM;PL;3
機関	organları	機関	organ	N	N;NOM;PL;3
機関	kuruluşlar	機関	kuruluş	N	N;NOM;PL;3
機関	kurumlar	機関	kurum	N	N;NOM;PL;3
機関	kurumları	機関	kurum	N	N;ACC;PL;3
メンバー	üyeler	メンバー	üye	N	N;NOM;PL;3
メンバー	üyeleri	メンバー	üye	N	N;NOM;PL;3
画像	görüntüler	画像	görüntü	N	N;NOM;PL;3
画像	resimler	画像	resim	N	N;NOM;PL;3
画像	görüntü	画像	görüntü	N	N;NOM;SG;3
状態	devlet	状態	devlet	N	N;NOM;SG;3
状態	durum	状態	durum	N	N;NOM;SG;3
状態	durumu	状態	durum	N	N;NOM;SG;3
名称	adınız	名称	adınız	N	N;NOM;SG;3
名称	isim	名称	isim	N	N;NOM;SG;3
名称	ad	名称	ad	N	N;NOM;SG;3
名称	adı	名称	ad	N	N;NOM;SG;3
名称	isimler	名称	isim	N	N;NOM;PL;3
名称	adlar	名称	ad	N	N;NOM;PL;3
名称	adları	名称	ad	N	N;ACC;PL;3
名称	isimleri	名称	isim	N	N;ACC;PL;3
ダム	barajı	ダム	barajı	N	N;NOM;SG;3
ホーム	ev	ホーム	ev	N	N;NOM;SG;3
ホーム	evde	ホーム	ev	N	N;ESS;SG;3
ホーム	eve	ホーム	ev	N	N;DAT;SG;3
ホーム	evim	ホーム	ev	N	N;NOM;SG;3
投稿	paylaşma	投稿	paylaş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
名前	adınız	名前	adınız	N	N;NOM;SG;3
名前	isim	名前	isim	N	N;NOM;SG;3
名前	ad	名前	ad	N	N;NOM;SG;3
名前	adı	名前	ad	N	N;NOM;SG;3
名前	isimler	名前	isim	N	N;NOM;PL;3
名前	adlar	名前	ad	N	N;NOM;PL;3
名前	adları	名前	ad	N	N;ACC;PL;3
名前	isimleri	名前	isim	N	N;ACC;PL;3
施設	tesisler	施設	tesis	N	N;NOM;PL;3
施設	tesisleri	施設	tesis	N	N;ACC;PL;3
施設	olanaklar	施設	olanak	N	N;NOM;PL;3
施設	imkanlar	施設	imkan	N	N;NOM;PL;3
施設	tesisi	施設	tesi	N	N;NOM;SG;3
製造	üretilen	製造	üre	V	V;PFV;IND;POS;PRS;V.PTCP;PASS
製造	üretilmiş	製造	üre	V	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
物語	hikaye	物語	hika	N	N;NOM;SG;3
神社	tapınaklar	神社	tapınak	N	N;NOM;PL;3
航空	havacılık	航空	havacılık	N	N;NOM;SG;3
航空	air	航空	air	N	N;NOM;SG;3
帝国	imparatorluk	帝国	imparatorluk	N	N;NOM;SG;3
帝国	imparatorluğu	帝国	imparatorluk	N	N;NOM;SG;3
トン	tonluk	トン	tonluk	N	N;NOM;SG;3
勝利	kazanmak	勝利	kazan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
勝利	kazandı	勝利	kazan	V	V;PFV;IND;SG;3;POS;PST
勝利	kazanıyor	勝利	kazan	V	V;PROG;IND;SG;3;POS;INFM;PRS
勝利	kazanır	勝利	kazan	V	V;IPFV;IND;SG;3;POS
勝利	kazanmak	勝利	kazan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
勝利	kazanıyor	勝利	kazan	V	V;PROG;IND;SG;3;POS;INFM;PRS
デザイン	tasarımları	デザイン	tasarım	N	N;ACC;PL;3
デザイン	tasarımlar	デザイン	tasarım	N	N;NOM;PL;3
デザイン	dizayn	デザイン	dizayn	N	N;NOM;SG;3
デザイン	tasarımı	デザイン	tasarım	N	N;ACC;SG;3
人間	insan	人間	insan	N	N;NOM;SG;3
交通	trafik	交通	trafik	N	N;NOM;SG;3
交通	taşımacılık	交通	taşımacılık	N	N;NOM;SG;3
交通	ulaşım	交通	ulaşım	N	N;NOM;SG;3
交通	ulaşım	交通	ulaşım	N	N;NOM;SG;3
組織	organizasyon	組織	organizasyon	N	N;NOM;SG;3
組織	organizasyon	組織	organizasyon	N	N;NOM;SG;3
構造	yapıları	構造	yap	N	N;ACC;PL;3
構造	yapıların	構造	yapı	N	N;GEN;PL;3
構造	yapılar	構造	yap	N	N;NOM;PL;3
構造	yapısı	構造	yapı	N	N;NOM;SG;3
実施	uygulanması	実施	uygula	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
以前	öncesi	以前	önce	N	N;NOM;SG;3
以前	öncesinde	以前	önce	N	N;ESS;SG;3
サービス	hizmetler	サービス	hizmet	N	N;NOM;PL;3
サービス	hizmetleri	サービス	hizmet	N	N;NOM;PL;3
サービス	hizmet	サービス	hizmet	N	N;NOM;SG;3
サービス	servisi	サービス	servi	N	N;NOM;SG;3
サービス	hizmet	サービス	hizmet	N	N;NOM;SG;3
統合	birleştirmek	統合	birleş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
統合	birleştirme	統合	birleş	V	V;PFV;IMP;SG;2;NEG;PRS;CAUS
統合	bütünleşme	統合	bütünleş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
面積	alanı	面積	alan	N	N;NOM;SG;3
エンジン	motoru	エンジン	motor	N	N;ACC;SG;3
エンジン	motorlar	エンジン	motor	N	N;NOM;PL;3
エンジン	motorları	エンジン	motor	N	N;ACC;PL;3
主演	başrolde	主演	başrol	N	N;ESS;SG;3
日本語	japonlar	日本語	japon	N	N;NOM;PL;3
設定	yapılandırma	設定	yapılan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
含む	içerdiği	含む	içer	V	V;PFV;IND;POS;PST;V.PTCP
含む	içeriyor	含む	içer	V	V;PROG;IND;SG;3;POS;INFM;PRS
専門	uzmanlık	専門	uzmanlık	N	N;NOM;SG;3
機能	işlevi	機能	işlev	N	N;NOM;SG;3
機能	fonksiyonu	機能	fonksiyon	N	N;NOM;SG;3
機能	özellikler	機能	özellik	N	N;NOM;PL;3
機能	özellikleri	機能	özellik	N	N;NOM;PL;3
機能	özelliği	機能	özellik	N	N;NOM;SG;3
機能	işlevsellik	機能	işlevsellik	N	N;NOM;SG;3
身長	yüksekliği	身長	yükseklik	N	N;ACC;SG;3
身長	yükseklik	身長	yükseklik	N	N;NOM;SG;3
身長	boyu	身長	boy	N	N;NOM;SG;3
所在	mekanlar	所在	mekan	N	N;NOM;PL;3
所在	konumlar	所在	konum	N	N;NOM;PL;3
所在	yerler	所在	yer	N	N;NOM;PL;3
所在	konumları	所在	konum	N	N;ACC;PL;3
所在	yerleri	所在	yer	N	N;ACC;PL;3
所在	yer	所在	yer	N	N;NOM;SG;3
所在	konumu	所在	konum	N	N;ACC;SG;3
所在	konum	所在	konum	N	N;NOM;SG;3
所在	yeri	所在	yer	N	N;ACC;SG;3
完成	tamamlanması	完成	tamamla	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
写真	fotoğrafçılık	写真	fotoğrafçılık	N	N;NOM;SG;3
高い	yükseklerde	高い	yüksek	ADJ	ADJ;ESS;PL;3
高い	yüksek	高い	yüksek	ADJ	ADJ
高い	uzun	高い	uzun	ADJ	ADJ
管理	yönet	管理	yönet	V	V;PFV;IMP;SG;2;POS;PRS;CAUS
管理	yönetmek	管理	yönet	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
バー	barlar	バー	bar	N	N;NOM;PL;3
バー	çubuklar	バー	çubuk	N	N;NOM;PL;3
バー	parmaklıklar	バー	parmaklık	N	N;NOM;PL;3
バー	bar	バー	bar	N	N;NOM;SG;3
公園	park	公園	park	N	N;NOM;SG;3
公園	parklar	公園	park	N	N;NOM;PL;3
スポーツ	sporlar	スポーツ	spor	N	N;NOM;PL;3
目的	amaçları	目的	amaç	N	N;ACC;PL;3
目的	amaçlar	目的	amaç	N	N;NOM;PL;3
目的	amaçlar	目的	amaç	N	N;NOM;PL;3
目的	amacı	目的	amaç	N	N;NOM;SG;3
タイトル	başlıklar	タイトル	başlık	N	N;NOM;PL;3
タイトル	unvanlar	タイトル	unvan	N	N;NOM;PL;3
タイトル	başlığı	タイトル	başlık	N	N;NOM;SG;3
電気	elektrik	電気	elektrik	N	N;NOM;SG;3
電気	elektrik	電気	elektrik	N	N;NOM;SG;3
作成	oluştur	作成	oluş	V	V;PFV;IMP;SG;2;POS;PRS;CAUS
作成	oluşturun	作成	oluş	V	V;PFV;IMP;PL;2;POS;PRS;CAUS
作成	oluşturma	作成	oluş	V	V;PFV;IND;SG;2;POS;PRS;CAUS
作成	yarat	作成	yarat	V	V;PFV;IMP;SG;2;POS;PRS
作成	oluşturmak	作成	oluş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
作成	yaratma	作成	yarat	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
作成	oluşturma	作成	oluş	V	V;PFV;IND;SG;2;POS;PRS;CAUS
作成	yaratılmış	作成	yarat	V	V;PFV;NFH;IND;SG;3;POS;PST;PASS
作成	oluşturuldu	作成	oluş	V	V;PFV;IND;SG;3;POS;PST;PASS
作成	yaratıldı	作成	yarat	V	V;PFV;IND;SG;3;POS;PST;PASS
作成	yarattı	作成	yarat	V	V;PFV;IND;SG;3;POS;PST
作成	oluşturulan	作成	oluş	V	V;PFV;IND;POS;PRS;V.PTCP;PASS
ガン	silahı	ガン	silah	N	N;ACC;SG;3
スター	yıldızlı	スター	yıldızlı	N	N;NOM;SG;3
自由	ücretsiz	自由	ücretsiz	ADJ	ADJ
表示	gör	表示	gör	V	V;PFV;IMP;SG;2;POS;PRS
社長	cumhurbaşkanı	社長	cumhurbaşkanı	N	N;NOM;SG;3
社長	başkanlar	社長	başkan	N	N;NOM;PL;3
社長	başkanları	社長	başkan	N	N;ACC;PL;3
団体	kuruluşlar	団体	kuruluş	N	N;NOM;PL;3
団体	organizasyon	団体	organizasyon	N	N;NOM;SG;3
団体	organizasyon	団体	organizasyon	N	N;NOM;SG;3
工業	endüstriyel	工業	endüstriyel	N	N;NOM;SG;3
通り	sokak	通り	sokak	N	N;NOM;SG;3
通り	cadde	通り	cadde	N	N;NOM;SG;3
通信	iletişim	通信	iletiş	N	N;NOM;SG;3
通信	iletişim	通信	iletiş	N	N;NOM;SG;3
俳優	aktörler	俳優	aktör	N	N;NOM;PL;3
俳優	oyuncular	俳優	oyuncu	N	N;NOM;PL;3
少年	çocuk	少年	çocuk	N	N;NOM;SG;3
病院	hastaneler	病院	hastane	N	N;NOM;PL;3
病院	hastaneleri	病院	hastane	N	N;ACC;PL;3
個人	şahıslar	個人	şahıs	N	N;NOM;PL;3
個人	bireyler	個人	birey	N	N;NOM;PL;3
区間	aralık	区間	aralık	N	N;NOM;SG;3
区間	aralığı	区間	aralık	N	N;NOM;SG;3
銀行	bankacılık	銀行	bankacılık	N	N;NOM;SG;3
銀行	banka	銀行	banka	N	N;NOM;SG;3
研究所	enstitüsü	研究所	enstitü	N	N;NOM;SG;3
