bedeuten	impliceren	bedeuten	impliceren	V;NFIN	V;NFIN
wertung	beoordeling	wertung	beoordeling	N;FEM;SG	N;MASC+FEM;SG
vorschriften	eisen	vorschreifen	eisen	V;NFIN	V;NFIN
vorschriften	vereisten	vorschreifen	vereisten	V;NFIN	V;V.PTCP
eintragen	inschrijven	eintragen	inschrijven	V;NFIN	V;NFIN
eintragen	registreren	eintragen	registreren	V;NFIN	V;NFIN
eintragen	invoeren	eintragen	invoeren	V;NFIN	V;NFIN
lass	laat	laß	laten	V;IND;SG;2;PRS;FIN	V;SG;PRS;FIN
beitragen	bijdragende	beitragen	bijdragend	V;NFIN	V;V.PTCP
kopiert	gekopieerd	kopieren	kopiëren	V;V.PTCP	V;V.PTCP
dünn	mager	dünn	maag	ADJ	ADJ
dünn	magere	dünn	maag	ADJ	ADJ;CMPR
dünn	mager	dünn	maag	ADJ	ADJ
dünn	dun	dünn	dun	ADJ	ADJ
dünn	schaars	dünn	schaar	ADJ	ADJ
dünn	karig	dünn	karig	ADJ	ADJ
berechnet	berekende	berechnen	berekenen	V;V.PTCP	V;SG;PST;FIN
berechnet	berekend	berechnen	berekenen	V;V.PTCP	V;V.PTCP
berechnet	berekende	berechnen	berekenen	V;V.PTCP	V;SG;PST;FIN
berechnet	berekend	berechnen	berekenen	V;V.PTCP	V;V.PTCP
berechnet	geheven	berechnen	heffen	V;V.PTCP	V;V.PTCP
berechnet	opgeladen	berechnen	opladen	V;V.PTCP	V;V.PTCP
berechnet	geladen	berechnen	laden	V;V.PTCP	V;V.PTCP
berechnet	aangeklaagd	berechnen	aanklagen	V;V.PTCP	V;V.PTCP
verlieren	verliezen	verlieren	verliezen	V;NFIN	V;NFIN
verlieren	verliest	verlieren	verliezen	V;NFIN	V;SG;PRS;FIN
verlieren	verliezen	verlieren	verliezen	V;NFIN	V;NFIN
umfassenden	omvattend	umfassend	omvatten	V;FIN	V;V.PTCP
verarbeitet	bewerkt	verarbeiten	bewerken	V;V.PTCP	V;V.PTCP
verarbeitet	verwerkt	verarbeiten	verwerken	V;V.PTCP	V;V.PTCP
verarbeitet	verwerkte	verarbeiten	verwerken	V;V.PTCP	V;SG;PST;FIN
gültigen	valide	gültig	valide	ADJ	ADJ
gültigen	geldig	gültig	geldig	ADJ	ADJ
gültigen	geldige	gültig	geldig	ADJ	ADJ
funktionieren	functioneert	funktionieren	functioneren	V;NFIN	V;SG;PRS;FIN
funktionieren	functionerend	funktionieren	functioneren	V;NFIN	V;V.PTCP
funktionieren	functioneren	funktionieren	functioneren	V;NFIN	V;NFIN
bedeutend	aanzienlijk	bedeutend	aanzienlijk	ADJ	ADJ
wohnen	levende	wohnen	leven	V;NFIN	V;V.PTCP
wohnen	leef	wohnen	leven	V;NFIN	V;SG;PRS;FIN
zeichnen	tekenen	zeichnen	tekenen	V;NFIN	V;NFIN
zeichnen	trekken	zeichnen	trekken	V;NFIN	V;NFIN
zeichnen	tekenen	zeichnen	tekenen	V;NFIN	V;NFIN
zeichnen	schetsen	zeichnen	schetsen	V;NFIN	V;NFIN
marianne	marianne	marianne	marianne	N;NOM;FEM;SG	N;MASC+FEM;SG
österreichisch	oostenrijks	österreichisch	oostenrijks	ADJ	ADJ
österreichisch	oostenrijkse	österreichisch	oostenrijks	ADJ	ADJ
klarer	duidelijkere	klar	duidelijk	ADJ	ADJ;CMPR
klarer	helderder	klar	helder	ADJ	ADJ;CMPR
klarer	duidelijker	klar	duidelijk	ADJ	ADJ;CMPR
anfangen	start	anfangen	starten	V;NFIN	V;SG;PRS;FIN
anfangen	starten	anfangen	starten	V;NFIN	V;NFIN
anfangen	beginnen	anfangen	beginnen	V;NFIN	V;NFIN
anfangen	beginnen	anfangen	beginnen	V;NFIN	V;NFIN
arabische	arabisch	arabisch	arabisch	ADJ;NOM;FEM;PL	ADJ
arabische	arabische	arabisch	arabisch	ADJ;NOM;FEM;PL	ADJ
arabische	arabisch	arabisch	arabisch	ADJ;NOM;FEM;PL	ADJ
ankunft	aankomst	ankunft	aankomst	N;FEM;SG	N;MASC+FEM;SG
mörder	killer	mörder	kil	ADJ	ADJ;CMPR
verändern	veranderen	verändern	veranderen	V;NFIN	V;NFIN
verändern	veranderende	verändern	veranderen	V;NFIN	V;V.PTCP
verändern	aanpassen	verändern	aanpassen	V;NFIN	V;NFIN
verändern	wijzigen	verändern	wijzigen	V;NFIN	V;NFIN
heller	feller	hell	fel	ADJ	ADJ;CMPR
heller	helderder	hell	helder	ADJ	ADJ;CMPR
befreit	bevrijd	befreien	bevrijden	V;V.PTCP	V;V.PTCP
befreit	bevrijde	befreien	bevrijden	V;V.PTCP	V;SG;PST;FIN
befreit	bevrijd	befreien	bevrijden	V;V.PTCP	V;V.PTCP
befreit	vrijgesteld	befreien	vrijstellen	V;V.PTCP	V;V.PTCP
befreit	vrijgestelde	befreien	vrijstellen	V;V.PTCP	V;V.PTCP
befreit	vrijgesteld	befreien	vrijstellen	V;V.PTCP	V;V.PTCP
befreit	vrijgestelde	befreien	vrijstellen	V;V.PTCP	V;V.PTCP
erteilt	afgegeven	erteilen	afgeven	V;V.PTCP	V;V.PTCP
erteilt	uitgegeven	erteilen	uitgeven	V;V.PTCP	V;V.PTCP
erteilt	verleend	erteilen	verlenen	V;V.PTCP	V;V.PTCP
erteilt	toegekend	erteilen	toekennen	V;V.PTCP	V;V.PTCP
nordischen	noordse	nordisch	noords	ADJ	ADJ
nordischen	scandinavische	nordisch	scandinavisch	ADJ	ADJ
gebeten	vroegen	bitten	vraag	V;V.PTCP	V;PL;PST;FIN
gebeten	gevraagd	bitten	vraag	V;V.PTCP	V;V.PTCP
wörtlich	letterlijk	wörtlich	letterlijk	ADJ	ADJ
wörtlich	letterlijke	wörtlich	letterlijk	ADJ	ADJ
wörtlich	letterlijk	wörtlich	letterlijk	ADJ	ADJ
wörtlich	woordelijk	wörtlich	woordelijk	ADJ	ADJ
wörtlich	letterlijk	wörtlich	letterlijk	ADJ	ADJ
renoviert	opgeknapt	renovieren	opknappen	V;V.PTCP	V;V.PTCP
renoviert	gerenoveerd	renovieren	renoveren	V;V.PTCP	V;V.PTCP
renoviert	gerenoveerde	renovieren	renoveren	V;V.PTCP	V;V.PTCP
renoviert	gerenoveerd	renovieren	renoveren	V;V.PTCP	V;V.PTCP
renoviert	gerestaureerde	renovieren	restaureren	V;V.PTCP	V;V.PTCP
renoviert	gerestaureerd	renovieren	restaureren	V;V.PTCP	V;V.PTCP
renoviert	hersteld	renovieren	herstellen	V;V.PTCP	V;V.PTCP
renoviert	heringericht	renovieren	heringericht	V;V.PTCP	V;V.PTCP
kritisierte	bekritiseerd	kritisieren	bekritiseren	V;IND;SG;3;PST;FIN	V;V.PTCP
kritisierte	bekritiseerde	kritisieren	bekritiseren	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
kritisierte	bekritiseerd	kritisieren	bekritiseren	V;IND;SG;3;PST;FIN	V;V.PTCP
kritisierte	bekritiseerde	kritisieren	bekritiseren	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
jemals	ooit	jemals	ooit	ADV	ADV
verschwunden	verdwenen	verschwinden	verdwijnen	V;V.PTCP	V;V.PTCP
verschwunden	verdween	verschwinden	verdwijnen	V;V.PTCP	V;SG;PST;FIN
verschwunden	verdwenen	verschwinden	verdwijnen	V;V.PTCP	V;V.PTCP
verschwunden	verdween	verschwinden	verdwijnen	V;V.PTCP	V;SG;PST;FIN
kirchliche	kerkelijke	kirchlich	kerkelijk	ADJ;NOM;FEM;PL	ADJ
startet	lanceert	starten	lanceren	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
startet	begint	starten	beginnen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
älterer	oudere	alt	oud	ADJ	ADJ;CMPR
älterer	ouder	alt	ouder	ADJ	ADJ;CMPR
erwachsenen	volwassenen	erwachsen	volwassenen	ADJ	ADJ
erwachsenen	volwassen	erwachsen	volwassen	ADJ	ADJ
erwachsenen	volwassenen	erwachsen	volwassenen	ADJ	ADJ
erwachsenen	volwassene	erwachsen	volwassene	ADJ	ADJ
trennen	loskoppelen	trennen	loskoppel	V;NFIN	V;NFIN
trennen	verbreken	trennen	verbreken	V;NFIN	V;NFIN
trennen	gescheiden	trennen	scheiden	V;NFIN	V;V.PTCP
entscheidende	doorslaggevend	entscheidend	doorslaggevend	ADJ;NOM;FEM;PL	ADJ
entscheidende	cruciale	entscheidend	cruciaal	ADJ;NOM;FEM;PL	ADJ
entscheidende	cruciaal	entscheidend	cruciaal	ADJ;NOM;FEM;PL	ADJ
spezialisiert	gespecialiseerd	spezialisieren	gespecialiseerd	V;V.PTCP	V;V.PTCP
spezialisiert	gespecialiseerd	spezialisieren	gespecialiseerd	V;V.PTCP	V;V.PTCP
transportiert	overgebracht	transportieren	overbrengen	V;V.PTCP	V;V.PTCP
transportiert	vervoerd	transportieren	vervoeren	V;V.PTCP	V;V.PTCP
transportiert	getransporteerd	transportieren	transporteren	V;V.PTCP	V;V.PTCP
transportiert	vervoerde	transportieren	vervoeren	V;V.PTCP	V;SG;PST;FIN
benachbarte	naburige	benachbart	naburig	ADJ;NOM;FEM;PL	ADJ
benachbarte	naburige	benachbart	naburig	ADJ;NOM;FEM;PL	ADJ
benachbarte	aangrenzende	benachbart	aangrenzend	ADJ;NOM;FEM;PL	ADJ
singen	zing	singen	zingen	V;NFIN	V;SG;PRS;FIN
singen	zingen	singen	zingen	V;NFIN	V;NFIN
singen	zingen	singen	zingen	V;NFIN	V;NFIN
woher	hoe	woher	hoe	ADV	ADV
überprüfung	beoordeling	überprüfung	beoordeling	N;NOM;FEM;SG	N;MASC+FEM;SG
überprüfung	recensie	überprüfung	recensie	N;NOM;FEM;SG	N;MASC+FEM;SG
überprüfung	herziening	überprüfung	herziening	N;NOM;FEM;SG	N;MASC+FEM;SG
überprüfung	keuring	überprüfung	keuring	N;NOM;FEM;SG	N;MASC+FEM;SG
überprüfung	verificatie	überprüfung	verificatie	N;NOM;FEM;SG	N;MASC+FEM;SG
ägyptischen	egyptisch	ägyptisch	egyptisch	ADJ;PL	ADJ
ägyptischen	egyptische	ägyptisch	egyptisch	ADJ;PL	ADJ
ständigen	permanente	ständig	permanent	ADJ	ADJ
ständigen	permanent	ständig	permanent	ADJ	ADJ
bühnen	platforms	bühnen	platform	N;NOM;PL	N;PL
bühnen	platformen	bühnen	platform	N;NOM;PL	N;PL
bühnen	fasen	bühnen	fas	N;NOM;PL	N;PL
bühnen	etappes	bühnen	etap	N;NOM;PL	N;PL
bühnen	stadia	bühnen	stadium	N;NOM;PL	N;PL
abgehalten	gehouden	abhalten	houden	V;V.PTCP	V;V.PTCP
abgehalten	vastgehouden	abhalten	vasthouden	V;V.PTCP	V;V.PTCP
japanisch	japans	japanisch	japans	ADJ	ADJ
japanisch	japanse	japanisch	japans	ADJ	ADJ
fliehen	ontsnappen	fliehen	ontsnappen	V;NFIN	V;NFIN
fliehen	ontvluchten	fliehen	ontvluchten	V;NFIN	V;NFIN
fliehen	ontsnappen	fliehen	ontsnappen	V;NFIN	V;NFIN
stoffe	stoffen	stoffen	stof	N;NOM;PL	N;PL
stoffe	weefsels	stoffen	weefsel	N;NOM;PL	N;PL
stoffe	substanties	stoffen	substantie	N;NOM;PL	N;PL
stoffe	stoffen	stoffen	stof	N;NOM;PL	N;PL
fraglich	twijfelachtige	fraglich	twijfelachtig	ADJ	ADJ
fraglich	twijfelachtig	fraglich	twijfelachtig	ADJ	ADJ
fraglich	discutabel	fraglich	discutabel	ADJ	ADJ
fraglich	twijfelachtige	fraglich	twijfelachtig	ADJ	ADJ
fraglich	twijfelachtig	fraglich	twijfelachtig	ADJ	ADJ
empfangen	ontvang	empfangen	ontvang	V;V.PTCP	V;SG;PRS;FIN
empfangen	ontvangen	empfangen	ontvangen	V;V.PTCP	V;V.PTCP
empfangen	ontvangen	empfangen	ontvangen	V;V.PTCP	V;V.PTCP
empfangen	ontvangende	empfangen	ontvangen	V;V.PTCP	V;V.PTCP
empfangen	ontvangen	empfangen	ontvangen	V;V.PTCP	V;V.PTCP
türkisch	turkse	türkisch	turks	ADJ	ADJ
türkisch	turks	türkisch	turk	ADJ	ADJ
nummern	getallen	nummern	getal	N	N;PL
nummern	nummers	nummern	nummer	N	N;PL
nummern	aantallen	nummern	aantal	N	N;PL
schnellen	snel	schnell	snel	ADJ	ADJ
schnellen	snelle	schnell	snel	ADJ	ADJ
wusste	wist	wissen	weten	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
theologische	theologische	theologisch	theologisch	ADJ;NOM;FEM;PL	ADJ
hinreichend	voldoende	hinreichend	voldoende	ADJ	ADJ
hinreichend	adequaat	hinreichend	adequaat	ADJ	ADJ
theoretisch	theoretische	theoretisch	theoretisch	ADJ	ADJ
theoretisch	theoretisch	theoretisch	theoretisch	ADJ	ADJ
theoretisch	theoretisch	theoretisch	theoretisch	ADJ	ADJ
decken	dekken	decken	dekken	V;NFIN	V;NFIN
persönlicher	persoonlijke	persönlich	persoonlijk	ADJ	ADJ
persönlicher	persoonlijk	persönlich	persoonlijk	ADJ	ADJ
ernährung	voeding	Ernährung	voeding	N;NOM;FEM;SG	N;MASC+FEM;SG
ernährung	dieet	Ernährung	dieet	N;NOM;FEM;SG	N;NEUT;SG
ernährung	voeding	Ernährung	voeding	N;NOM;FEM;SG	N;MASC+FEM;SG
vergleichen	vergelijken	vergleichen	vergelijken	V;NFIN	V;NFIN
vergleichen	vergelijk	vergleichen	vergelijk	V;NFIN	V;SG;PRS;FIN
vergleichen	vergelijken	vergleichen	vergelijken	V;NFIN	V;NFIN
lebensweise	leefwijze	lebensweise	leefwijze	N	N;MASC+FEM;SG
lebensweise	levensstijl	lebensweise	levensstijl	N	N;MASC+FEM;SG
lebensweise	lifestyle	lebensweise	lifestyle	N	N;MASC+FEM;SG
lebensweise	levenswijze	lebensweise	levenswijze	N	N;MASC+FEM;SG
lebensweise	levensstijl	lebensweise	levensstijl	N	N;MASC+FEM;SG
gestrichen	verwijderde	gestrechen	verwijderen	V;V.PTCP	V;SG;PST;FIN
gestrichen	geschrapt	gestrechen	schrappen	V;V.PTCP	V;V.PTCP
gestrichen	verwijderd	gestrechen	verwijderen	V;V.PTCP	V;V.PTCP
gestrichen	gewist	gestrechen	wissen	V;V.PTCP	V;V.PTCP
gestrichen	geannuleerd	gestrechen	annuleren	V;V.PTCP	V;V.PTCP
gestrichen	afgelast	gestrechen	afgelasten	V;V.PTCP	V;V.PTCP
gestrichen	geannuleerde	gestrechen	geannuleerd	V;V.PTCP	V;SG;PST;FIN
gestrichen	geverfd	gestrechen	verven	V;V.PTCP	V;V.PTCP
gestrichen	beschilderd	gestrechen	beschilderen	V;V.PTCP	V;V.PTCP
gestrichen	geschilderd	gestrechen	schilderen	V;V.PTCP	V;V.PTCP
gestrichen	afgeschaft	gestrechen	afschaffen	V;V.PTCP	V;V.PTCP
gestrichen	geannuleerd	gestrechen	annuleren	V;V.PTCP	V;V.PTCP
gestrichen	afgelast	gestrechen	afgelasten	V;V.PTCP	V;V.PTCP
verabschiedet	geadopteerd	verabschieden	dopteren	V;V.PTCP	V;V.PTCP
verabschiedet	aangenomen	verabschieden	aannemen	V;V.PTCP	V;V.PTCP
verabschiedet	goedgekeurd	verabschieden	goedkeuren	V;V.PTCP	V;V.PTCP
geistliche	geestelijken	geistlich	geestelijk	ADJ;NOM;FEM;PL	ADJ
geistliche	geestelijke	geistlich	geestelijke	ADJ;NOM;FEM;PL	ADJ
geistliche	spirituele	geistlich	spiritueel	ADJ;NOM;FEM;PL	ADJ
geistliche	spiritueel	geistlich	spiritueel	ADJ;NOM;FEM;PL	ADJ
geistliche	geestelijk	geistlich	geestelijk	ADJ;NOM;FEM;PL	ADJ
geistliche	geestelijken	geistlich	geestelijk	ADJ;NOM;FEM;PL	ADJ
springen	spring	springen	spring	V;NFIN	V;SG;PRS;FIN
springen	springen	springen	springen	V;NFIN	V;NFIN
springen	sprong	springen	springen	V;NFIN	V;SG;PST;FIN
springen	sprong	springen	springen	V;NFIN	V;SG;PST;FIN
springen	springende	springen	springend	V;NFIN	V;V.PTCP
springen	springen	springen	springen	V;NFIN	V;NFIN
interessierte	geïnteresseerd	interessieren	interesseren	V;IND;SG;3;PST;FIN	V;V.PTCP
ära	tijdperk	ära	tijdperk	N;NOM;FEM;SG	N;NEUT;SG
ära	era	ära	era	N;NOM;FEM;SG	N;NEUT;SG
annehmen	accepteren	annehmen	accepteren	V;NFIN	V;NFIN
