vsebovala	zawierał	vsebovati	zawierać	V;IPFV;FEM;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
profesorica	profesor	profesorica	profesor	N;NOM;FEM;SG	N;NOM;MASC;SG
univerz	uniwersytetów	univerza	uniwersytet	N;GEN;FEM;PL	N;GEN;MASC;PL
prejšnji	poprzedni	prejšnji	poprzedni	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
odstranitev	usunięcie	odstranitev	usunąć	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
odstranitev	usuwanie	odstranitev	usuwać	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
sladkorja	cukru	sladkor	cukr	N;GEN;MASC;SG	N;GEN;MASC;SG
nepravilnosti	anomalii	nepravilnost	anomalia	N;GEN;FEM;SG	N;GEN;FEM;SG
roland	roland	roland	roland	N;NOM;MASC;SG	N;NOM;MASC;SG
krajevna	miejscowa	krajeven	miejscowy	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
krajevna	lokalny	krajeven	lokalny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
krajevna	lokalna	krajeven	lokalny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
krajevna	lokalne	krajeven	lokalny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
krajevna	miejscowy	krajeven	miejscowy	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
spreminjanje	zmiana	spreminjanje	zmiana	N;NOM;NEUT;SG	N;NOM;FEM;SG
uspešnost	wykonanie	uspešnost	wykonać	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
uspešnost	skuteczność	uspešnost	skuteczność	N;NOM;FEM;SG	N;NOM;FEM;SG
uspešnost	skuteczność	uspešnost	skuteczność	N;NOM;FEM;SG	N;NOM;FEM;SG
uspešnost	efektywność	uspešnost	efektywność	N;NOM;FEM;SG	N;NOM;FEM;SG
uspešnost	sukces	uspešnost	sukces	N;NOM;FEM;SG	N;NOM;MASC;SG
uspešnost	powodzenie	uspešnost	powodzenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
battista	battista	battist	battista	N;NOM;MASC;SG	N;NOM;MASC;SG
orel	orzeł	orela	orzeł	N;NOM;MASC;SG	N;NOM;MASC;SG
opredelitev	definicja	opredelitev	definicja	N;NOM;FEM;SG	N;NOM;FEM;SG
nominiran	nominowany	nominiran	nominować	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
rumeni	żółte	rume	żółty	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
rumeni	żółta	rume	żółta	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
rumeni	żółty	rume	żółty	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
zaposlitev	rekrutacja	zaposlitev	rekrutacja	N;NOM;FEM;SG	N;NOM;FEM;SG
zaposlitev	zlecenie	zaposlitev	zlecenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
zaposlitev	praca	zaposlitev	praca	N;NOM;FEM;SG	N;NOM;FEM;SG
zaposlitev	zatrudnienie	zaposlitev	zatrudnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG
dostopna	dostępny	dostopen	dostępny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
dostopna	dostępna	dostopen	dostępny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
dostopna	dostępne	dostopen	dostępny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
boljša	lepsza	dober	dobry	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
boljša	lepsze	dober	dobry	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;MASC;SG
razpad	zerwanie	razpad	zerwanie	N;NOM;MASC;SG	N;NOM;NEUT;SG
razpad	rozstanie	razpad	rozstać	N;NOM;MASC;SG	N;NOM;FEM;SG
razpad	rozpad	razpad	rozpad	N;NOM;MASC;SG	N;NOM;MASC;SG
rektor	rektor	rektor	rektor	N;NOM;MASC;SG	N;NOM;MASC;SG
kolonija	kolonia	kolonija	kolonia	N;NOM;FEM;SG	N;NOM;FEM;SG
spol	płeć	spol	płeć	N;NOM;MASC;SG	N;NOM;FEM;SG
spol	płeć	spol	płeć	N;NOM;MASC;SG	N;NOM;FEM;SG
spol	seks	spol	seks	N;NOM;MASC;SG	N;NOM;MASC;SG
razviti	rozwinąć	razviti	rozwinąć	V;PFV;NFIN	V;PFV;NFIN;ACT
oborožitev	uzbrojenie	oborožitev	uzbrojenie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
fotografij	zdjęć	fotografija	zdjęcie	N;GEN;FEM;PL	N;GEN;NEUT;PL
trak	opaska	trak	opaskać	N;NOM;MASC;SG	N;NOM;FEM;SG
trak	pasek	trak	pask	N;NOM;MASC;SG	N;NOM;MASC;SG
trak	taśma	trak	taśma	N;NOM;MASC;SG	N;NOM;FEM;SG
trak	pasek	trak	pask	N;NOM;MASC;SG	N;NOM;MASC;SG
vidik	aspekt	vidik	aspekt	N;NOM;MASC;SG	N;NOM;MASC;SG
učiteljev	nauczycielki	učitelj	nauczycielka	N;GEN;MASC;PL	N;GEN;FEM;PL
dokazano	udowodnione	dokazano	udowodnić	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
plašč	kurtka	plašč	kurtka	N;NOM;MASC;SG	N;NOM;FEM;SG
plašč	płaszcz	plašč	płaszcz	N;NOM;MASC;SG	N;NOM;MASC;SG
plašč	płaszcz	plašč	płaszcz	N;NOM;MASC;SG	N;NOM;MASC;SG
sneg	śnieg	sneg	śnieg	N;NOM;MASC;SG	N;NOM;MASC;SG
sneg	śnieżka	sneg	śnieżkać	N;NOM;MASC;SG	N;NOM;FEM;SG
frentzen	frentzen	frentzen	frentzen	N;NOM;MASC;SG	N;NOM;MASC;SG
zasebni	prywatne	zaseben	prywatny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
zasebni	szeregowy	zaseben	szeregowy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
zasebni	prywatna	zaseben	prywatny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
zasebni	prywatny	zaseben	prywatny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
soba	pomieszczenie	soba	pomieszczenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
soba	pokój	soba	pokój	N;NOM;FEM;SG	N;NOM;MASC;SG
novinarka	dziennikarstwo	novinarka	dziennikarstwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
novinarka	dziennikarz	novinarka	dziennikarz	N;NOM;FEM;SG	N;NOM;MASC;SG
novinarka	dziennikarka	novinarka	dziennikarka	N;NOM;FEM;SG	N;NOM;FEM;SG
novinarka	reporterka	novinarka	reporterka	N;NOM;FEM;SG	N;NOM;FEM;SG
novinarka	dziennikarz	novinarka	dziennikarz	N;NOM;FEM;SG	N;NOM;MASC;SG
novinarka	dziennikarka	novinarka	dziennikarka	N;NOM;FEM;SG	N;NOM;FEM;SG
novinarka	reporter	novinarka	reporter	N;NOM;FEM;SG	N;NOM;MASC;SG
napisi	podpisy	napis	podpis	N;NOM;MASC;PL	N;NOM;MASC;PL
potisk	pchnięcie	potisk	pchnięcie	N;NOM;MASC;SG	N;NOM;NEUT;SG
potisk	ciąg	potisk	ciąg	N;NOM;MASC;SG	N;NOM;MASC;SG
usmerjena	skierowany	usmerjen	skierować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
usmerjena	skierowana	usmerjen	skierować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
usmerjena	skierowane	usmerjen	skierować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
usmerjena	ukierunkowana	usmerjen	ukierunkować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
skok	skok	skok	skok	N;NOM;MASC;SG	N;NOM;MASC;SG
skok	skok	skok	skok	N;NOM;MASC;SG	N;NOM;MASC;SG
esej	esej	esaj	esej	N;NOM;MASC;SG	N;NOM;MASC;SG
esej	wypracowanie	esaj	wypracować	N;NOM;MASC;SG	N;NOM;NEUT;SG
huda	poważna	hud	poważny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
huda	poważne	hud	poważny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
padlo	spadł	pasti	spaść	V;PFV;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
padlo	spadła	pasti	spaść	V;PFV;NEUT;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
padlo	upadła	pasti	upaść	V;PFV;NEUT;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
padlo	upadł	pasti	upaść	V;PFV;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
padlo	spadła	pasti	spaść	V;PFV;NEUT;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
colorado	colorado	colorada	colorado	N;NOM;FEM;SG	N;NOM;MASC;SG
zmes	mieszanka	zmes	mieszanka	N;NOM;FEM;SG	N;NOM;FEM;SG
zmes	mieszanina	zmes	mieszanina	N;NOM;FEM;SG	N;NOM;FEM;SG
zaslužil	zasłużył	zaslužiti	zasłużyć	V;PFV;MASC;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
zaslužil	zarobił	zaslužiti	zarobić	V;PFV;MASC;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
zapor	areszt	zapor	areszt	N;NOM;MASC;SG	N;NOM;MASC;SG
zapor	więzienie	zapor	więzienie	N;NOM;MASC;SG	N;NOM;NEUT;SG
zapor	więzienie	zapor	więzienie	N;NOM;MASC;SG	N;NOM;NEUT;SG
tradicija	tradycja	tradicija	tradycja	N;NOM;FEM;SG	N;NOM;FEM;SG
praksa	trening	praks	trening	N;NOM;FEM;SG	N;NOM;MASC;SG
praksa	praktyka	praks	praktyka	N;NOM;FEM;SG	N;NOM;FEM;SG
komedija	komedia	komedija	komediać	N;NOM;FEM;SG	N;NOM;FEM;SG
sprejema	akceptuje	sprejemati	akceptować	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sprejema	przyjmuje	sprejemati	przyjmować	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sprejema	przyjmuje	sprejemati	przyjmować	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gsub	gsub	gsub	gsub		
slabosti	niedociągnięcia	slabost	niedociągnięcie	N;NOM;FEM;PL	N;NOM;NEUT;PL
preprosta	prosty	preprost	prosty	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
unija	związek	unija	związek	N;NOM;FEM;SG	N;NOM;MASC;SG
dnevni	dzienna	dneven	dzienny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
dnevni	codzienne	dneven	codzienny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
predstavljen	wyświetlane	predstavljen	wyświetlać	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
predstavljen	prezentowane	predstavljen	prezentować	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
predstavljen	polecane	predstavljen	polecać	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
predstavljen	rekomendowane	predstavljen	rekomendować	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
predstavljen	przedstawiona	predstavljen	przedstawić	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
predstavljen	przedstawiony	predstavljen	przedstawić	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
predstavljen	prezentowane	predstavljen	prezentować	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
predstavljen	przedstawione	predstavljen	przedstawić	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
obvezno	obowiązkowo	obvezno	obowiązkowo	ADV	ADV
obvezno	obowiązkowo	obvezno	obowiązkowo	ADV	ADV
obvezno	obowiązkowo	obvezno	obowiązkowo	ADV	ADV
svobodna	wolne	svoboden	wolny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
svobodna	wolny	svoboden	wolny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
svobodna	bezpłatne	svoboden	bezpłatny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
predniki	przodkowie	prednik	przodek	N;NOM;MASC;PL	N;NOM;MASC;PL
nameščena	zamontowane	nameščen	zamontować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
nameščena	zamontowany	nameščen	zamontować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
nameščena	zainstalowany	nameščen	zainstalować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
nameščena	zainstalowane	nameščen	zainstalować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
nameščena	zainstalowana	nameščen	zainstalować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
garda	straż	garda	straż	N;NOM;FEM;SG	N;NOM;FEM;SG
garda	strażnik	garda	strażnik	N;NOM;FEM;SG	N;NOM;MASC;SG
dansko	duńskie	danski	duński	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
dansko	duński	danski	duński	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
veriga	łańcuch	veriga	łańcuch	N;NOM;FEM;SG	N;NOM;MASC;SG
reaktor	reaktor	reaktor	reaktor	N;NOM;MASC;SG	N;NOM;MASC;SG
usoda	przeznaczenie	usoda	przeznaczenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
usoda	los	usoda	los	N;NOM;FEM;SG	N;NOM;MASC;SG
usoda	przeznaczenie	usoda	przeznaczenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
učinkovita	efektywne	učinkovit	efektywny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
učinkovita	skuteczne	učinkovit	skuteczny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
učinkovita	efektywny	učinkovit	efektywny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
učinkovita	sprawny	učinkovit	sprawny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
učinkovita	efektywne	učinkovit	efektywny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
učinkovita	skuteczny	učinkovit	skuteczny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
učinkovita	efektywna	učinkovit	efektywny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
učinkovita	efektywny	učinkovit	efektywny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
učinkovita	skuteczne	učinkovit	skuteczny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
opisana	opisane	opisan	opisać	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
opisana	opisana	opisan	opisać	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
prizadevanja	starania	prizadevanje	starać	N;NOM;NEUT;PL	N;NOM;NEUT;PL
prizadevanja	wysiłki	prizadevanje	wysiłek	N;NOM;NEUT;PL	N;NOM;MASC;PL
prizadevanja	wysiłki	prizadevanje	wysiłek	N;NOM;NEUT;PL	N;NOM;MASC;PL
bistvo	istota	bistvo	istota	N;NOM;NEUT;SG	N;NOM;FEM;SG
poljubno	arbitralnie	poljubno	arbitralnie	ADV	ADV
izpostavljenosti	narażenia	izpostavljenost	narażenie	N;GEN;FEM;SG	N;GEN;NEUT;SG
izpostavljenosti	ekspozycji	izpostavljenost	ekspozycja	N;GEN;FEM;SG	N;GEN;FEM;SG
talent	talent	talent	talent	N;NOM;MASC;SG	N;NOM;MASC;SG
podrejen	podporządkowane	podrejen	podporządkować	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
podrejen	podporządkowane	podrejen	podporządkować	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pomembnosti	istotności	pomembnost	istotność	N;GEN;FEM;SG	N;GEN;FEM;SG
amsterdam	amsterdam	amsterda	amsterdam	N;NOM;MASC;SG	N;NOM;MASC;SG
gosti	goście	gost	gość	N;NOM;MASC;PL	N;NOM;MASC;PL
redir	redir	redir	redir		
party	przyjęcie	party	przyjąć	N;NOM;MASC;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
party	partia	party	partia	N;NOM;MASC;SG	N;NOM;FEM;SG
party	impreza	party	impreza	N;NOM;MASC;SG	N;NOM;FEM;SG
dovoljenja	licencje	dovoljenje	licencja	N;NOM;NEUT;PL	N;NOM;FEM;PL
dovoljenja	uprawnienia	dovoljenje	uprawnić	N;NOM;NEUT;PL	N;NOM;NEUT;PL
regij	regionów	regija	region	N;GEN;FEM;PL	N;GEN;MASC;PL
pozitiven	pozytywna	pozitiven	pozytywny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
pozitiven	pozytywne	pozitiven	pozytywny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
pozitiven	pozytywny	pozitiven	pozytywny	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
dež	deszcz	dež	deszcz	N;NOM;MASC;SG	N;NOM;MASC;SG
nasledstvo	dziedzictwo	nasledstvo	dziedzictwo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
nasledstvo	dziedzictwo	nasledstvo	dziedzictwo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
nasledstvo	spadek	nasledstvo	spadka	N;NOM;NEUT;SG	N;NOM;MASC;SG
razporeditev	dystrybucja	razporeditev	dystrybucja	N;NOM;FEM;SG	N;NOM;FEM;SG
razporeditev	rozkład	razporeditev	rozkład	N;NOM;FEM;SG	N;NOM;MASC;SG
razporeditev	układ	razporeditev	układ	N;NOM;FEM;SG	N;NOM;MASC;SG
razporeditev	rozmieszczenie	razporeditev	rozmieszczenie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
razporeditev	układ	razporeditev	układ	N;NOM;FEM;SG	N;NOM;MASC;SG
razporeditev	porozumienie	razporeditev	porozumienie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
vdova	wdowa	vdova	wdowa	N;NOM;FEM;SG	N;NOM;FEM;SG
izbruh	epidemia	izbruh	epidemia	N;NOM;MASC;SG	N;NOM;FEM;SG
izbruh	erupcja	izbruh	erupcja	N;NOM;MASC;SG	N;NOM;FEM;SG
nižja	niższy	nizek	nisszyć	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;MASC;SG
nižja	niższa	nizek	nissza	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
stabilnost	stabilizacja	stabilnost	stabilizacja	N;NOM;FEM;SG	N;NOM;FEM;SG
stabilnost	stabilność	stabilnost	stabilność	N;NOM;FEM;SG	N;NOM;FEM;SG
grobnice	groby	grobnica	grób	N;NOM;FEM;PL	N;NOM;MASC;PL
grobnice	grobowce	grobnica	grobowiec	N;NOM;FEM;PL	N;NOM;MASC;PL
krst	chrzest	krst	chrzest	N;NOM;MASC;SG	N;NOM;MASC;SG
krst	chrzest	krst	chrzest	N;NOM;MASC;SG	N;NOM;MASC;SG
konflikt	konflikt	konflikt	konflikt	N;NOM;MASC;SG	N;NOM;MASC;SG
uniči	zniszczyć	uničiti	zniszczyć	V;PFV;IND;SG;3;PRS;FIN	V;PFV;NFIN;ACT
razvito	rozwijane	razvit	rozwijać	ADJ;NOM;NEUT;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
razvito	opracowane	razvit	opracować	ADJ;NOM;NEUT;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
razvito	rozwinięte	razvit	rozwinąć	ADJ;NOM;NEUT;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
razvito	opracowany	razvit	opracować	ADJ;NOM;NEUT;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
umetniška	artystyczna	umetniški	artystyczny	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
umetniška	artystyczne	umetniški	artystyczny	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
umetniška	artystyczny	umetniški	artystyczny	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
mlajše	młodsza	mlad	młody	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
mlajše	młodszy	mlad	młody	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;MASC;SG
mlajše	młodsze	mlad	młody	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
možen	możliwy	možen	możliwy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
možen	możliwa	možen	możliwy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
možen	możliwe	možen	możliwy	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
založnik	wydawnictwo	založnik	wydawnictwo	N;NOM;MASC;SG	N;NOM;NEUT;SG
založnik	wydawca	založnik	wydawca	N;NOM;MASC;SG	N;NOM;MASC;SG
založnik	wydawcy	založnik	wydawca	N;NOM;MASC;SG	N;NOM;MASC;SG
možje	mężowie	mož	męż	N;NOM;MASC;PL	N;NOM;MASC;PL
možje	faceci	mož	facet	N;NOM;MASC;PL	N;NOM;MASC;PL
možje	mężczyźni	mož	mężczyzna	N;NOM;MASC;PL	N;NOM;MASC;PL
pripravljena	gotowy	pripravljen	gotowy	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;MASC;SG
pripravljena	gotowe	pripravljen	gotowy	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG
pripravljena	przygotowane	pripravljen	przygotować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pripravljena	przygotowany	pripravljen	przygotować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
pripravljena	przygotowana	pripravljen	przygotować	ADJ;NOM;FEM;SG;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
označevanje	oznakowanie	označevanje	oznakowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
označevanje	oznaczenie	označevanje	oznaczenie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
označevanje	oznaczanie	označevanje	oznaczać	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
označevanje	znakowanie	označevanje	znakowanie	N;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
označevanje	oznaczanie	označevanje	oznaczać	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
označevanje	znakowanie	označevanje	znakowanie	N;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
označevanje	oznakowanie	označevanje	oznakowanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
pionirski	pionierskie	pionirski	pionierski	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
fokker	fokker	fokker	fokker	N;NOM;MASC;SG	N;NOM;MASC;SG
državljanstvo	obywatelstwo	državljanstvo	obywatelstwo	N;NOM;NEUT;SG	N;NOM;NEUT;SG
