kuzu	羔羊	kuz	羔羊		
teorileri	理論	teori	理論	N;ACC;PL;3	N
aramak	呼叫	ara	呼叫	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
simetri	對稱	simetri	對稱	N;NOM;SG;3	N
yenilik	革新	yenilik	革新	N;NOM;SG;3	N
yenilik	創新	yenilik	創新	N;NOM;SG;3	N
yenilik	新奇	yenilik	新奇	N;NOM;SG;3	N
yenilik	革新	yenilik	革新	N;NOM;SG;3	N
yenilik	創新	yenilik	創新	N;NOM;SG;3	N
avcılık	獵	avcılık	獵	N;NOM;SG;3	N
adımlar	步驟	adım	步驟	N;NOM;PL;3	N
yüzünü	臉	yüz	臉	N;ACC;SG;3	N
yüzünü	臉部	yüz	臉部	N;ACC;SG;3	N
vitamini	維他	vitam	維他	N;NOM;SG;3	N
atlar	馬	at	馬	N;NOM;PL;3	N
atlar	馬匹	at	馬匹	N;NOM;PL;3	N
küfür	髒話	küfür	髒話	N;NOM;SG;3	N
küfür	咒罵	küfür	咒罵	N;NOM;SG;3	N
izlemek	觀看	izle	觀看	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
ataları	祖先	ata	祖先	N;NOM;PL;3	N
uranyum	鈾	uranyu	鈾	N;NOM;SG;3	N
ziyaretçi	訪客	ziyaretçi	訪客	N;NOM;SG;3	N
ziyaretçi	遊客	ziyaretçi	遊客	N;NOM;SG;3	N
ziyaretçi	訪客	ziyaretçi	訪客	N;NOM;SG;3	N
içeriyor	含有	içer	含有	V;PROG;IND;SG;3;POS;INFM;PRS	V
içeriyor	包含	içer	包含	V;PROG;IND;SG;3;POS;INFM;PRS	V
aydınlanma	啓	aydınlan	啓	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
anlaşıldı	理解	anlaş	理解	V;PFV;IND;SG;3;POS;PST;PASS	V
başlatan	發起	başla	發起	V;PFV;IND;POS;PRS;V.PTCP;CAUS	V
yansıma	反射	yansı	反射	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yansıma	反省	yansı	反省	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
adamlar	男性	adam	男性	N;NOM;PL;3	N
adamlar	男人	adam	男人	N;NOM;PL;3	N
adamlar	男子	adam	男子	N;NOM;PL;3	N
ağları	網路	ağ	網路	N;ACC;PL;3	N
dokusu	紋理	doku	紋理	N;NOM;SG;3	N
hidrolik	水力	hidrolik	水力	N;NOM;SG;3	N
hidrolik	液壓	hidrolik	液壓	N;NOM;SG;3	N
hidrolik	水利	hidrolik	水利	N;NOM;SG;3	N
hidrolik	水力	hidrolik	水力	N;NOM;SG;3	N
hidrolik	液壓	hidrolik	液壓	N;NOM;SG;3	N
müzisyenler	樂手	müzisyen	樂手	N;NOM;PL;3	N
müttefikler	盟友	müttefik	盟友	N;NOM;PL;3	N
müttefikler	盟軍	müttefik	盟軍	N;NOM;PL;3	N
müttefikler	盟國	müttefik	盟國	N;NOM;PL;3	N
müttefikler	同盟	müttefik	同盟	N;NOM;PL;3	N
kanatları	翅膀	kanat	翅膀	N;ACC;PL;3	N
kanatları	翼	kanat	翼	N;ACC;PL;3	N
akrabaları	親屬	akraba	親屬	N;NOM;PL;3	N
akrabaları	親戚	akraba	親戚	N;NOM;PL;3	N
geceler	夜晚	gece	夜晚	N;NOM;PL;3	N
geceler	夜	gece	夜	N;NOM;PL;3	N
geceler	夜晚	gece	夜晚	N;NOM;PL;3	N
geceler	晚上	gece	晚上	N;NOM;PL;3	N
geceler	夜	gece	夜	N;NOM;PL;3	N
aletler	儀器	alet	儀器	N;NOM;PL;3	N
aletler	樂器	alet	樂器	N;NOM;PL;3	N
aletler	文書	alet	文書	N;NOM;PL;3	N
aletler	工具	alet	工具	N;NOM;PL;3	N
kafası	頭	kafa	頭	N;NOM;SG;3	N
kafası	頭部	kafa	頭部	N;NOM;SG;3	N
doğuştan	先天	doğuş	先天	N;AT+ABL;SG;3	N
doğuştan	先天	doğuş	先天	N;AT+ABL;SG;3	N
doğuştan	天生	doğuş	天生	N;AT+ABL;SG;3	N
kullanıyor	使用	kullan	使用	V;PROG;IND;SG;3;POS;INFM;PRS	V
pisti	跑道	pist	跑道	N;NOM;SG;3	N
hikâyeler	故事	hikuye	故事	N;NOM;PL;3	N
hikâyeler	動態	hikuye	動態	N;NOM;PL;3	N
tüketimi	消費	tüket	消費	N;ACC;SG;3	N
rakipleri	對手	rakip	對手	N;ACC;PL;3	N
rakipleri	對手	rakip	對手	N;ACC;PL;3	N
hece	音節	hece	音節	N;NOM;SG;3	N
hece	音節	hece	音節	N;NOM;SG;3	N
kanunlar	法律	kanun	法律	N;NOM;PL;3	N
hırsız	竊賊	hırsız	竊賊		
korunmuş	保護	korun	保護	V;PFV;NFH;IND;POS;PST;V.PTCP	V
cebir	代數	cebir	代數	N;NOM;SG;3	N
güneşi	太陽	güneş	太陽	N;NOM;SG;3	N
güneşi	陽光	güneş	陽光	N;NOM;SG;3	N
yoğurt	酸奶	yoğurt	酸奶	N;NOM;SG;3	N
saatleri	小時	saat	小時	N;ACC;PL;3	N
saatleri	鐘錶	saat	鐘錶	N;ACC;PL;3	N
saatleri	時鐘	saat	時鐘	N;ACC;PL;3	N
saatleri	手錶	saat	手錶	N;ACC;PL;3	N
bilet	票	bilet	票	N;NOM;SG;3	N
bilet	門票	bilet	門票	N;NOM;SG;3	N
bilet	車票	bilet	車票	N;NOM;SG;3	N
bilet	票券	bilet	票券	N;NOM;SG;3	N
bilet	售票	bilet	售票	N;NOM;SG;3	N
bilet	票	bilet	票	N;NOM;SG;3	N
bilet	門票	bilet	門票	N;NOM;SG;3	N
bilet	車票	bilet	車票	N;NOM;SG;3	N
yenilikçi	進步	yenilikçi	進步	N;NOM;SG;3	N
yenilikçi	累進	yenilikçi	累進	N;NOM;SG;3	N
yenilikçi	創新	yenilikçi	創新	N;NOM;SG;3	N
eşyalar	項目	eşya	項目	N;NOM;PL;3	N
volvo	富豪	volvo	富豪	N;NOM;SG;3	N
kopyala	複製	kopyal	複製	V;PFV;IMP;SG;2;POS;PRS	V
boşandı	離異	boşa	離異	V;PFV;IND;SG;3;POS;PST;PASS	V
boşandı	離婚	boşa	離婚	V;PFV;IND;SG;3;POS;PST;PASS	V
dyp	dyp	dyp	dyp		
savunmak	捍衛	savun	捍衛	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
savunmak	保衛	savun	保衛	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
savunmak	捍衛	savun	捍衛	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
sokaklar	街道	sokak	街道	N;NOM;PL;3	N
öğretmenler	教師	öğretmen	教師	N;NOM;PL;3	N
ressamlar	畫家	ressam	畫家	N;NOM;PL;3	N
diyagramı	圖表	diyagram	圖表	N;ACC;SG;3	N
diyagramı	圖	diyagram	圖	N;ACC;SG;3	N
nedenler	理由	neden	理由	N;NOM;PL;3	N
nedenler	原因	neden	原因	N;NOM;PL;3	N
nedenler	起因	neden	起因	N;NOM;PL;3	N
tepeleri	丘陵	tepe	丘陵	N;ACC;PL;3	N
eylemler	行動	eylem	行動	N;NOM;PL;3	N
planlar	藍圖	plan	藍圖	N;NOM;PL;3	N
belirtileri	症狀	belir	症狀	N;NOM;PL;3	N
belirtiler	症狀	belir	症狀	N;NOM;PL;3	N
tamamlanması	竣工	tamamla	竣工	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	V
övgü	贊美	övgü	贊美		
formatı	格式	format	格式	N;ACC;SG;3	N
formatı	形式	format	形式	N;ACC;SG;3	N
formatı	格式	format	格式	N;ACC;SG;3	N
mobilya	家	mobilya	家	N;NOM;SG;3	N
mobilya	傢具	mobilya	傢具	N;NOM;SG;3	N
mobilya	傢俱	mobilya	傢俱	N;NOM;SG;3	N
haritalar	地圖	harita	地圖	N;NOM;PL;3	N
yassı	平	yass	平		
kumanda	遙控	kumanda	遙控	N;NOM;SG;3	N
tadı	味道	tat	味道	N;NOM;SG;3	N
tadı	味覺	tat	味覺	N;NOM;SG;3	N
tadı	品味	tat	品味	N;NOM;SG;3	N
tadı	味道	tat	味道	N;NOM;SG;3	N
tadı	口味	tat	口味	N;NOM;SG;3	N
tadı	品味	tat	品味	N;NOM;SG;3	N
termodinamik	熱力	termodinamik	熱力	N;NOM;SG;3	N
mesajları	訊息	mesaj	訊息	N;ACC;PL;3	N
mesajları	信件	mesaj	信件	N;ACC;PL;3	N
tankları	坦克	tank	坦克	N;ACC;PL;3	N
arkadaşım	朋友	arkadaş	朋友	N;NOM;SG;3	N
arkadaşım	好友	arkadaş	好友	N;NOM;SG;3	N
yatakları	床位	yatak	床位	N;ACC;PL;3	N
yatakları	床	yatak	床	N;ACC;PL;3	N
yatakları	床鋪	yatak	床鋪	N;ACC;PL;3	N
yatakları	病床	yatak	病床	N;ACC;PL;3	N
farklılıkları	差異	farklılık	差異	N;NOM;PL;3	N
farklılıkları	差額	farklılık	差額	N;NOM;PL;3	N
farklılıkları	分歧	farklılık	分歧	N;NOM;PL;3	N
maceraları	冒險	macera	冒險	N;ACC;PL;3	N
özü	精華	öz	精華		
anten	觸角	anten	觸角	N;NOM;SG;3	N
anten	天線	anten	天線	N;NOM;SG;3	N
anten	天線	anten	天線	N;NOM;SG;3	N
taraflar	實體	taraf	實體	N;NOM;PL;3	N
kanarya	金絲	kanarya	金絲	N;NOM;SG;3	N
kanarya	金絲	kanarya	金絲	N;NOM;SG;3	N
baskılar	版本	baskı	版本	N;NOM;PL;3	N
kurbağa	蟾蜍	kurbak	蟾蜍		
ördek	鴨	ördek	鴨	N;NOM;SG;3	N
ördek	鴨子	ördek	鴨子	N;NOM;SG;3	N
kalıntısı	殘餘	kalıntı	殘餘	N;NOM;SG;3	N
kalıntısı	遺跡	kalıntı	遺跡	N;NOM;SG;3	N
tutma	留用	tut	留用	V;PFV;IMP;SG;2;NEG;PRS	V
yıldızlı	星星	yıldızlı	星星	N;NOM;SG;3	N
yıldızlı	恆星	yıldızlı	恆星	N;NOM;SG;3	N
yıldızlı	星	yıldızlı	星	N;NOM;SG;3	N
yıldızlı	明星	yıldızlı	明星	N;NOM;SG;3	N
akrabası	親戚	akraba	親戚	N;NOM;SG;3	N
nesneleri	物體	nesne	物體	N;ACC;PL;3	N
nesneleri	天體	nesne	天體	N;ACC;PL;3	N
nesneleri	物件	nesne	物件	N;ACC;PL;3	N
siteler	網站	site	網站	N;NOM;PL;3	N
alın	獲取	al	獲取	V;PFV;IMP;PL;2;POS;PRS	V
alın	獲得	al	獲得	V;PFV;IMP;PL;2;POS;PRS	V
alın	得到	al	得到	V;PFV;IMP;PL;2;POS;PRS	V
mezarları	墳	mezar	墳	N;ACC;PL;3	N
mezarları	墓穴	mezar	墓穴	N;ACC;PL;3	N
boşanma	離婚	boşan	離婚	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	V
karışıklık	亂	karışıklık	亂	N;NOM;SG;3	N
karışıklık	爛	karışıklık	爛	N;NOM;SG;3	N
karışıklık	混淆	karışıklık	混淆	N;NOM;SG;3	N
karışıklık	混亂	karışıklık	混亂	N;NOM;SG;3	N
karışıklık	迷惘	karışıklık	迷惘	N;NOM;SG;3	N
rüşvet	賄賂	rüşvet	賄賂		
rüşvet	賄賂	rüşvet	賄賂		
rüşvet	賄賂	rüşvet	賄賂		
zihin	頭腦	zih	頭腦	N;NOM;SG;3	N
zihin	心靈	zih	心靈	N;NOM;SG;3	N
kayısı	杏	kayı	杏	N;NOM;SG;3	N
smaç	灌籃	smaç	灌籃	N;NOM;SG;3	N
çalışanlar	僱員	çalışan	僱員	N;NOM;PL;3	N
çalışanlar	員工	çalışan	員工	N;NOM;PL;3	N
teknikler	技術	teknik	技術	N;NOM;PL;3	N
seçenekleri	選項	seçenek	選項	N;NOM;PL;3	N
parçacıkları	顆	parçacık	顆	N;NOM;PL;3	N
parçacıkları	粒子	parçacık	粒子	N;NOM;PL;3	N
parçacıkları	微粒	parçacık	微粒	N;NOM;PL;3	N
parçacıkları	片段	parçacık	片段	N;NOM;PL;3	N
samimi	舒適	samim	舒適	ADJ	ADJ
samimi	真誠	samim	真誠	ADJ	ADJ
varlıklar	資產	varlık	資產	N;NOM;PL;3	N
varlıklar	實體	varlık	實體	N;NOM;PL;3	N
bayramlar	假期	bayram	假期	N;NOM;PL;3	N
bayramlar	假日	bayram	假日	N;NOM;PL;3	N
