से	no	से	no		
प्राचीन	senā	प्राचीन	sens	ADJ;NOM	ADJ;NOM;FEM;SG
प्राचीन	senās	प्राचीन	sena	ADJ;NOM	ADJ;NOM;FEM;PL
प्राचीन	senie	प्राचीन	sens	ADJ;NOM	ADJ;NOM;MASC;PL
देखें	skatīties	देख	skatīties	V;SBJV;PL;FIN;ACT	V;POS;REFL;NFIN
देखें	skatīt	देख	skatīt	V;SBJV;PL;FIN;ACT	V;POS;NFIN
देखें	apskatīt	देख	apskatīt	V;SBJV;PL;FIN;ACT	V;POS;NFIN
भाषा	valoda	भाषा	valoda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रयोग	lietošana	प्रयोग	lietošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रयोग	izmantošana	प्रयोग	izmantošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रयोग	lietojums	प्रयोग	lietojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रयोग	izmēģinājums	प्रयोग	izmēģinājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रयोग	eksperiments	प्रयोग	eksperiments	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्थान	vieta	स्थान	vieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्थान	vieta	स्थान	vieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्थान	vieta	स्थान	vieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्थान	novietojums	स्थान	novietojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रमुख	priekšnieks	प्रमुख	priekšnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गए	aizgāja	जा	aiziet	V;PFV;MASC;PL;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
गए	devās	जा	doties	V;PFV;MASC;PL;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
गए	gāja	जा	iet	V;PFV;MASC;PL;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
थी	tika	था	tikt	V;FEM;IND;SG;PST;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
कार्य	darbs	कार्य	darbs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्य	darbiņš	कार्य	darbiņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्य	darbs	कार्य	darbs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्य	uzdevums	कार्य	uzdevums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नगर	pilsēta	नगर	pilsēta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नगर	pilsēta	नगर	pilsēta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	lietošana	उपयोग	lietošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	izmantošana	उपयोग	izmantošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	lietojums	उपयोग	lietojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उपयोग	lietošana	उपयोग	lietošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	lietojums	उपयोग	lietojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उपयोग	izmantošana	उपयोग	izmantošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आधार	pamatne	आधार	pamatne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आधार	pamats	आधार	pamats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आधार	bāze	आधार	bāze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आधार	pamats	आधार	pamats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आधार	bāze	आधार	bāze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
काम	darbs	काम	darbs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जीवन	dzīve	जीवन	dzīve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जीवन	dzīvība	जीवन	dzīvība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्व	pasaule	विश्व	pasaule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	izveidošanas	निर्माण	izveidošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	izveide	निर्माण	izveide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	izveidošana	निर्माण	izveidošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	radīšana	निर्माण	radīšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	celtniecība	निर्माण	celtniecība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	būve	निर्माण	būve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	uzbūve	निर्माण	uzbūve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	būvniecība	निर्माण	būvniecība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	konstrukcija	निर्माण	konstrukcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	ražošana	निर्माण	ražošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गई	aizgāja	जा	aiziet	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
गई	devās	जा	doties	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
गई	gāja	जा	iet	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	N
जानकारी	informācija	जानकारी	informācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पोर्टल	portāls	पोर्टल	portāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शहर	pilsēta	शहर	pilsēta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बार	bārs	बार	bārs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बार	stienis	बार	stienis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
फिल्म	filma	फिल्म	filma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
फिल्म	plēve	फिल्म	plēve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
फिल्म	filma	फिल्म	filma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रसिद्ध	slavena	प्रसिद्ध	slavena	ADJ	ADJ;NOM;FEM;SG
प्रसिद्ध	slavens	प्रसिद्ध	slavens	ADJ	ADJ;NOM;MASC;SG
प्रसिद्ध	slavenais	प्रसिद्ध	slavenais	ADJ	ADJ;NOM;MASC;SG
प्रसिद्ध	slaveno	प्रसिद्ध	slavens	ADJ	ADJ;ACC;MASC;SG
विकास	attīstība	विकास	attīstība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विकास	izstrāde	विकास	izstrāde	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विकास	attīstīšana	विकास	attīstīšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विकास	pieaugums	विकास	pieaugums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विकास	augšana	विकास	augšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विकास	izaugsme	विकास	izaugsme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
केवल	tikai	केवल	tikai	PART	PART
देश	valsts	देश	valsts	N;NOM;MASC;SG;3	N;NOM;FEM;SG
देश	nācija	देश	nācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
देश	tauta	देश	tauta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वेबसाइट	mājaslapa	वेबसाइट	mājaslaps	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अलग	dažādi	अलग	dažāds	ADJ	ADJ;NOM;MASC;PL
अलग	atšķirīgs	अलग	atšķirīgs	ADJ	ADJ;NOM;MASC;SG
अलग	dažādas	अलग	dažāda	ADJ	ADJ;NOM;FEM;PL
अलग	atsevišķu	अलग	atsevišķs	ADJ	ADJ;ACC;MASC;SG
अलग	atsevišķs	अलग	atsevišķs	ADJ	ADJ;NOM;MASC;SG
अलग	atsevišķie	अलग	atsevišķs	ADJ	ADJ;NOM;MASC;PL
अलग	atsevišķa	अलग	atsevišķa	ADJ	ADJ;NOM;FEM;SG
विशेष	ekskluzīvā	विशेष	ekskluzīva	ADJ;NOM	ADJ;NOM;FEM;SG
विशेष	ekskluzīva	विशेष	ekskluzīva	ADJ;NOM	ADJ;NOM;FEM;SG
विशेष	ekskluzīvas	विशेष	ekskluzīva	ADJ;NOM	ADJ;NOM;FEM;PL
विशेष	īpaša	विशेष	īpaša	ADJ;NOM	ADJ;NOM;FEM;SG
विशेष	īpašais	विशेष	īpašs	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	īpašs	विशेष	īpašs	ADJ;NOM	ADJ;NOM;MASC;SG
विशेष	īpašā	विशेष	īpaša	ADJ;NOM	ADJ;NOM;FEM;SG
दी	dots	दे	dot	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
दी	dota	दे	dot	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
दी	iedeva	दे	iedot	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
पृष्ठ	lappuse	पृष्ठ	lappuse	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पृष्ठ	lapa	पृष्ठ	lapa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
माना	uzskatīja	मान	uzskatīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
माना	uzskatīts	मान	uzskatīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
माना	apsvērta	मान	apsvērt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
माना	uzskatīta	मान	uzskatīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
फिर	tad	फिर	tad	ADV	ADV
तीन	trim	तीन	trīs	NUM	NUM;DAT;MASC;PL
तीन	trīs	तीन	trīs	NUM	NUM;NOM;MASC;PL
पुरस्कार	balva	पुरस्कार	balva	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	apbalvošana	पुरस्कार	apbalvošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	balva	पुरस्कार	balva	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	piešķiršana	पुरस्कार	piešķiršana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	apbalvošana	पुरस्कार	apbalvošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	balva	पुरस्कार	balva	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	atalgojums	पुरस्कार	atalgojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेख	raksts	लेख	raksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेख	izstrādājums	लेख	izstrādājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेख	pants	लेख	pants	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्थल	vieta	स्थल	vieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विभिन्न	dažādi	विभिन्न	dažāds	ADJ	ADJ;NOM;MASC;PL
विभिन्न	dažādas	विभिन्न	dažāda	ADJ	ADJ;NOM;FEM;PL
इतिहास	vēsture	इतिहास	vēsture	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लिया	ņemta	ले	ņemt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
लिया	ņemts	ले	ņemt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
फ़िल्म	filma	फ़िल्म	filma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
फ़िल्म	plēve	फ़िल्म	plēve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
फ़िल्म	filma	फ़िल्म	filma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्योंकि	jo	क्योंकि	jo	CONJ	CONJ
विस्तृत	sīks	विस्तृत	sīks	ADJ	ADJ;NOM;MASC;SG
दिन	diena	दिन	diena	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कृषि	lauksaimniecība	कृषि	lauksaimniecība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जाना	dzīvotspēja	जा	dzīvotspēja	V;MASC;NFIN;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
व्यक्ति	cilvēks	व्यक्ति	cilvēks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
व्यक्ति	persona	व्यक्ति	persona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
व्यक्ति	individuālisms	व्यक्ति	individuālisms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विज्ञान	zinātne	विज्ञान	zinātne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सदस्य	locekļi	सदस्य	loceklis	N;NOM;MASC;PL;3	N;NOM;MASC;PL
सदस्य	dalībnieki	सदस्य	dalībnieks	N;NOM;MASC;PL;3	N;NOM;MASC;PL
सदस्य	deputāti	सदस्य	deputāts	N;NOM;MASC;PL;3	N;NOM;MASC;PL
सदस्य	biedri	सदस्य	biedrs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
संख्या	numurs	संख्या	numurs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
संख्या	skaitlis	संख्या	skaitlis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
संख्या	skaits	संख्या	skaits	N;NOM;FEM;SG;3	N;NOM;MASC;SG
अपना	tavs	अपना	tavs	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG;3
अपना	tava	अपना	tava	PRO;NOM;MASC;SG	PRO;NOM;FEM;SG;3
साहित्य	literatūra	साहित्य	literatūra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शिक्षा	izglītība	शिक्षा	izglītība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
धर्म	reliģija	धर्म	reliģija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
धर्म	dharma	धर्म	dharma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मूल	izcelsme	मूल	izcelsme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मूल	oriģināls	मूल	oriģināls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मूल	oriģināla	मूल	oriģināls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मूल	pamata	मूल	pamats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बना	padarīt	बन	padarīt	V;PFV;MASC;SG;V.PTCP;ACT	V;POS;NFIN
बना	padarītu	बन	padarīt	V;PFV;MASC;SG;V.PTCP;ACT	V;COND;POS;FIN;ACT
बना	izgatavots	बन	izgatavot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
युद्ध	kauja	युद्ध	kauja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युद्ध	cīņa	युद्ध	cīņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युद्ध	karš	युद्ध	karš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
युद्ध	kara	युद्ध	karš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नदी	upe	नदी	upe	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नदी	upes	नदी	upe	N;NOM;FEM;SG;3	N;NOM;FEM;SG
काल	laikposms	काल	laikposms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
काल	periods	काल	periods	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वर्षों	gadi	वर्ष	gads	N;NOM;MASC;PL;3	N;NOM;MASC;PL
स्टेशन	stacija	स्टेशन	stacija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बड़े	lielie	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;PL
बड़े	lielas	बडा	liela	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
बड़े	lieli	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;PL
बड़े	lieli	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;PL
राजा	karalis	राजा	karalis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
राजा	ķēniņš	राजा	ķēniņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रथम	pirmais	प्रथम	pirmais	ADJ	ADJ;NOM;DEF;MASC;SG
प्रथम	pirmā	प्रथम	pirmā	ADJ	ADJ;NOM;DEF;FEM;SG
प्रथम	pirmās	प्रथम	pirmā	ADJ	ADJ;NOM;DEF;FEM;PL
प्रथम	pirmie	प्रथम	pirmais	ADJ	ADJ;NOM;DEF;MASC;PL
प्रथम	pirma	प्रथम	pirma	ADJ	ADJ;NOM;FEM;SG
विश्वविद्यालय	universitāte	विश्वविद्यालय	universitāte	N;NOM;MASC;SG;3	N;NOM;FEM;SG
महत्वपूर्ण	svarīgs	महत्वपूर्ण	svarīgs	ADJ	ADJ;NOM;MASC;SG
महत्वपूर्ण	svarīga	महत्वपूर्ण	svarīga	ADJ	ADJ;NOM;FEM;SG
महत्वपूर्ण	svarīgas	महत्वपूर्ण	svarīga	ADJ	ADJ;NOM;FEM;PL
महत्वपूर्ण	nozīmīgs	महत्वपूर्ण	nozīmīgs	ADJ	ADJ;NOM;MASC;SG
महत्वपूर्ण	kritiskie	महत्वपूर्ण	kritisks	ADJ	ADJ;NOM;MASC;PL
महत्वपूर्ण	kritisko	महत्वपूर्ण	kritiska	ADJ	ADJ;ACC;MASC;SG
महत्वपूर्ण	kritiska	महत्वपूर्ण	kritiska	ADJ	ADJ;NOM;FEM;SG
महत्वपूर्ण	kritisks	महत्वपूर्ण	kritisks	ADJ	ADJ;NOM;MASC;SG
आप	tu	आप	tu	PRO;NOM;SG;2;FORM	PRO;NOM;SG;2
समूह	grupa	समूह	grupa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वर्तमान	strāva	वर्तमान	strāva	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अध्ययन	pētījums	अध्ययन	pētījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अध्ययन	izpēte	अध्ययन	izpēte	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विभाग	departaments	विभाग	departaments	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विभाग	divīzija	विभाग	divīzija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विभाग	rajons	विभाग	rajons	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विभाग	dalīšana	विभाग	dalīšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आम	kopējo	आम	kopēja	ADJ	ADJ;ACC;MASC;SG
स्थिति	statuss	स्थिति	statuss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	amats	स्थिति	amats	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	novietojums	स्थिति	novietojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	pozīcija	स्थिति	pozīcija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थिति	valsts	स्थिति	valsts	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थिति	štats	स्थिति	štats	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	nosacījums	स्थिति	nosacījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	stāvoklis	स्थिति	stāvoklis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थिति	situācija	स्थिति	situācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थिति	stāvoklis	स्थिति	stāvoklis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रभाव	trieciens	प्रभाव	trieciens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभाव	ietekme	प्रभाव	ietekme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रभाव	efekts	प्रभाव	efekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभाव	iedarbība	प्रभाव	iedarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रभाव	ietekme	प्रभाव	ietekme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रभाव	efekts	प्रभाव	efekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभाव	ietekme	प्रभाव	ietekme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
साल	gads	साल	gads	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पहली	pirmais	पहला	pirmais	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
पहली	pirmā	पहला	pirmā	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
पहली	pirma	पहला	pirma	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
संगीत	mūzika	संगीत	mūzika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सेवा	serviss	सेवा	serviss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सेवा	apkalpošana	सेवा	apkalpošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
