daha	更	daha	更	ADV	ADV
aralık	間	aralık	間	N;NOM;SG;3	N
yüksek	較高	yüksek	較高	ADJ	ADJ
yüksek	更高	yüksek	更高	ADJ	ADJ
sadece	只	sadece	只	ADV	ADV
sadece	只	sadece	只	ADV	ADV
bilgi	資訊	bilgi	資訊	N;NOM;SG;3	N
bilgi	知識	bilgi	知識	N;NOM;SG;3	N
kez	時代	kez	時代	N;NOM;SG;3	N
kez	時報	kez	時報	N;NOM;SG;3	N
devlet	國家	devlet	國家	N;NOM;SG;3	N
devlet	州	devlet	州	N;NOM;SG;3	N
devlet	政府	devlet	政府	N;NOM;SG;3	N
üç	三	üç	三	NUM	NUM
üç	三	üç	三	NUM	NUM
kupası	盃	kupa	盃	N;NOM;SG;3	N
kupası	杯	kupa	杯	N;NOM;SG;3	N
kupası	杯子	kupa	杯子	N;NOM;SG;3	N
okulu	學校	okul	學校	N;NOM;SG;3	N
farklı	不同	farklı	不同	ADJ	ADJ
özel	私人	özel	私人	ADJ	ADJ
alanı	欄位	alan	欄位	N;NOM;SG;3	N
alanı	面積	alan	面積	N;NOM;SG;3	N
alanı	地區	alan	地區	N;NOM;SG;3	N
alanı	區域	alan	區域	N;NOM;SG;3	N
alanı	區	alan	區	N;NOM;SG;3	N
uzun	高大	uzun	高大	ADJ	ADJ
uzun	更高	uzun	更高	ADJ	ADJ
geri	背	geri	背		
elektrik	電力	elektrik	電力	N;NOM;SG;3	N
elektrik	電	elektrik	電	N;NOM;SG;3	N
elektrik	電氣	elektrik	電氣	N;NOM;SG;3	N
elektrik	電氣	elektrik	電氣	N;NOM;SG;3	N
elektrik	電	elektrik	電	N;NOM;SG;3	N
elektrik	電動	elektrik	電動	N;NOM;SG;3	N
ardından	後	ardından	後	ADV	ADV
merkezi	中央	merkez	中央	N;ACC;SG;3	N
merkezi	中心	merkez	中心	N;ACC;SG;3	N
merkezi	中心	merkez	中心	N;ACC;SG;3	N
kısa	簡短	kısa	簡短	ADJ	ADJ
kısa	簡短	kısa	簡短	ADJ	ADJ
açıklama	解釋	açıkla	解釋	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
açıklama	說明	açıkla	說明	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
açıklama	描述	açıkla	描述	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
el	手	el	手	N;NOM;SG;3	N
gol	湖泊	gol	湖泊	N;NOM;SG;3	N
gol	湖	gol	湖	N;NOM;SG;3	N
gol	目標	gol	目標	N;NOM;SG;3	N
gol	目標	gol	目標	N;NOM;SG;3	N
suyu	汁	su	汁	N;ACC;SG;3	N
suyu	果汁	su	果汁	N;ACC;SG;3	N
ilköğretim	初等	ilköğretim	初等	N;NOM;SG;3	N
ödülü	獎勵	ödül	獎勵	N;ACC;SG;3	N
ödülü	獎賞	ödül	獎賞	N;ACC;SG;3	N
ödülü	賞金	ödül	賞金	N;ACC;SG;3	N
ödülü	賞	ödül	賞	N;ACC;SG;3	N
ödülü	獎品	ödül	獎品	N;ACC;SG;3	N
ödülü	獎賞	ödül	獎賞	N;ACC;SG;3	N
ödülü	獎	ödül	獎	N;ACC;SG;3	N
ödülü	獎	ödül	獎	N;ACC;SG;3	N
gün	白天	gün	白天	N;NOM;SG;3	N
süre	時光	süre	時光	N;NOM;SG;3	N
süre	時間	süre	時間	N;NOM;SG;3	N
süre	期限	süre	期限	N;NOM;SG;3	N
eğitim	培訓	eğitim	培訓	N;NOM;SG;3	N
eğitim	教育	eğitim	教育	N;NOM;SG;3	N
eğitim	學歷	eğitim	學歷	N;NOM;SG;3	N
eğitim	教育	eğitim	教育	N;NOM;SG;3	N
yaklaşık	大致	yaklaşık	大致		
kaynak	源	kaynak	源		
kullanılan	使用	kullan	使用	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
görev	職責	görev	職責	N;NOM;SG;3	N
görev	任務	görev	任務	N;NOM;SG;3	N
görev	任務	görev	任務	N;NOM;SG;3	N
görev	任務	görev	任務	N;NOM;SG;3	N
onun	他	o	他	PRO;GEN;SG;3	PRO;3
onun	她	o	她	PRO;GEN;SG;3	PRO;3
yine	再次	yine	再次	ADV	ADV
ekonomisi	經濟	ekonomi	經濟	N;NOM;SG;3	N
telefon	電話	telefon	電話	N;NOM;SG;3	N
telefon	手機	telefon	手機	N;NOM;SG;3	N
telefon	電話	telefon	電話	N;NOM;SG;3	N
yeniden	再次	yeniden	再次	ADV	ADV
savaş	戰	savaş	戰	N;NOM;SG;3	N
savaş	戰役	savaş	戰役	N;NOM;SG;3	N
savaş	戰鬥	savaş	戰鬥	N;NOM;SG;3	N
savaş	戰	savaş	戰	N;NOM;SG;3	N
savaş	戰爭	savaş	戰爭	N;NOM;SG;3	N
savaş	打架	savaş	打架	N;NOM;SG;3	N
savaş	戰鬥	savaş	戰鬥	N;NOM;SG;3	N
söz	承諾	söz	承諾		
birliği	聯盟	birlik	聯盟	N;NOM;SG;3	N
birliği	工會	birlik	工會	N;NOM;SG;3	N
kanalizasyon	污水	kanalizasyon	污水	N;NOM;SG;3	N
kanalizasyon	污水	kanalizasyon	污水	N;NOM;SG;3	N
maç	比賽	maç	比賽	N;NOM;SG;3	N
maç	遊戲	maç	遊戲	N;NOM;SG;3	N
sıra	划	sıra	划	N;NOM;SG;3	N
sıra	排	sıra	排	N;NOM;SG;3	N
nüfusu	人口	nüfus	人口	N;ACC;SG;3	N
uygun	合適	uygun	合適	ADJ	ADJ
yakın	近	yakın	近		
listesi	名單	liste	名單	N;NOM;SG;3	N
listesi	清單	liste	清單	N;NOM;SG;3	N
dört	四	dört	四	NUM	NUM
dört	四	dört	四	NUM	NUM
dört	四	dört	四	NUM	NUM
stadyumu	體育	stadyum	體育	N;NOM;SG;3	N
stadyumu	球場	stadyum	球場	N;NOM;SG;3	N
sonucu	後果	sonuç	後果	N;ACC;SG;3	N
bar	酒吧	bar	酒吧	N;NOM;SG;3	N
bar	酒吧	bar	酒吧	N;NOM;SG;3	N
bar	酒館	bar	酒館	N;NOM;SG;3	N
sonunda	終於	sonunda	終於	ADV	ADV
onu	她	o	她	PRO;ACC;SG;3	PRO;3
insan	人	insan	人	N;NOM;SG;3	N
insan	男人	insan	男人	N;NOM;SG;3	N
insan	人類	insan	人類	N;NOM;SG;3	N
neden	為何	ne	為何		
stadyum	體育	stadyum	體育	N;NOM;SG;3	N
stadyum	球場	stadyum	球場	N;NOM;SG;3	N
an	時刻	an	時刻	N;NOM;SG;3	N
iş	工作	iş	工作	N;NOM;SG;3	N
iş	工作	iş	工作	N;NOM;SG;3	N
iş	工作	iş	工作	N;NOM;SG;3	N
iş	企業	iş	企業	N;NOM;SG;3	N
iş	業務	iş	業務	N;NOM;SG;3	N
iş	商業	iş	商業	N;NOM;SG;3	N
iş	商務	iş	商務	N;NOM;SG;3	N
bölümü	部門	bölüm	部門	N;NOM;SG;3	N
bunu	這	bu	這	PRO;ACC;SG;3	PRO
güzel	很好	güzel	很好	ADJ	ADJ
çocuk	男孩	çocuk	男孩	N;NOM;SG;3	N
çocuk	小孩	çocuk	小孩	N;NOM;SG;3	N
çocuk	兒童	çocuk	兒童	N;NOM;SG;3	N
çocuk	兒童	çocuk	兒童	N;NOM;SG;3	N
çocuk	孩子	çocuk	孩子	N;NOM;SG;3	N
sinema	電影	sine	電影	N;NOM;SG;3	N
sinema	影片	sine	影片	N;NOM;SG;3	N
sinema	電影	sine	電影	N;NOM;SG;3	N
sinema	電影	sine	電影	N;NOM;SG;3	N
sinema	電影	sine	電影	N;NOM;SG;3	N
sinema	戲院	sine	戲院	N;NOM;SG;3	N
ay	月	ay	月	N;NOM;SG;3	N
ay	個	ay	個	N;NOM;SG;3	N
ay	月份	ay	月份	N;NOM;SG;3	N
ay	月	ay	月	N;NOM;SG;3	N
ay	月份	ay	月份	N;NOM;SG;3	N
ay	月球	ay	月球	N;NOM;SG;3	N
ay	月亮	ay	月亮	N;NOM;SG;3	N
ay	月	ay	月	N;NOM;SG;3	N
imparatorluğu	帝國	imparatorluk	帝國	N;NOM;SG;3	N
internet	網	internet	網	N;NOM;SG;3	N
internet	網路	internet	網路	N;NOM;SG;3	N
internet	網路	internet	網路	N;NOM;SG;3	N
internet	網際	internet	網際	N;NOM;SG;3	N
tiyatro	電視	tiyatro	電視	N;NOM;SG;3	N
tiyatro	劇情	tiyatro	劇情	N;NOM;SG;3	N
tiyatro	戲劇	tiyatro	戲劇	N;NOM;SG;3	N
tiyatro	劇	tiyatro	劇	N;NOM;SG;3	N
tiyatro	電影	tiyatro	電影	N;NOM;SG;3	N
tiyatro	劇場	tiyatro	劇場	N;NOM;SG;3	N
tiyatro	戲劇	tiyatro	戲劇	N;NOM;SG;3	N
tiyatro	劇院	tiyatro	劇院	N;NOM;SG;3	N
tiyatro	戲院	tiyatro	戲院	N;NOM;SG;3	N
tiyatro	劇場	tiyatro	劇場	N;NOM;SG;3	N
tiyatro	戰區	tiyatro	戰區	N;NOM;SG;3	N
tiyatro	戲劇	tiyatro	戲劇	N;NOM;SG;3	N
tiyatro	劇院	tiyatro	劇院	N;NOM;SG;3	N
tiyatro	戲院	tiyatro	戲院	N;NOM;SG;3	N
karar	判決	karar	判決	N;NOM;SG;3	N
tarih	日期	tarih	日期	N;NOM;SG;3	N
tarih	約會	tarih	約會	N;NOM;SG;3	N
tarih	歷史	tarih	歷史	N;NOM;SG;3	N
ünlü	著名	ünlü	著名	ADJ	ADJ
çıktı	產出	çık	產出	V;PFV;IND;SG;3;POS;PST	V
bile	甚至	bile	甚至	ADV	ADV
geldi	抵達	gel	抵達	V;PFV;IND;SG;3;POS;PST	V
geldi	到	gel	到	V;PFV;IND;SG;3;POS;PST	V
liste	列表	lis	列表		
oy	選票	oy	選票	N;NOM;SG;3	N
geniş	寬敞	geniş	寬敞	ADJ	ADJ
ev	家	ev	家	N;NOM;SG;3	N
ev	住家	ev	住家	N;NOM;SG;3	N
ev	屋	ev	屋	N;NOM;SG;3	N
ev	房屋	ev	房屋	N;NOM;SG;3	N
ev	房子	ev	房子	N;NOM;SG;3	N
hareket	動議	hareket	動議	N;NOM;SG;3	N
hareket	運動	hareket	運動	N;NOM;SG;3	N
hareket	動	hareket	動	N;NOM;SG;3	N
hareket	運動	hareket	運動	N;NOM;SG;3	N
bölgesi	區域	bölge	區域	N;NOM;SG;3	N
bölgesi	領地	bölge	領地	N;NOM;SG;3	N
bölgesi	領土	bölge	領土	N;NOM;SG;3	N
sahibi	業	sahip	業	N;NOM;SG;3	N
bilim	科學	bilim	科學	N;NOM;SG;3	N
üreten	製成	üreten	製成	V;PFV;IND;POS;PRS;V.PTCP;CAUS	V
sistemi	系統	sistem	系統	N;ACC;SG;3	N
yaşayan	生活	yaşa	生活	V;PFV;IND;POS;PRS;V.PTCP	V
hiç	從來	hiç	從來	ADV	ADV
ifade	快車	ifade	快車	N;NOM;SG;3	N
ifade	特快	ifade	特快	N;NOM;SG;3	N
ifade	證言	ifade	證言	N;NOM;SG;3	N
ifade	證詞	ifade	證詞	N;NOM;SG;3	N
ifade	表情	ifade	表情	N;NOM;SG;3	N
rapor	報告	rapor	報告	N;NOM;SG;3	N
kullanılır	使用	kullan	使用	V;IPFV;IND;SG;3;POS;PASS	V
altı	六	altı	六	NUM	NUM
altı	六	altı	六	NUM	NUM
dizi	系列	dizi	系列	N;NOM;SG;3	N
dizi	陣列	dizi	陣列	N;NOM;SG;3	N
dizi	序列	dizi	序列	N;NOM;SG;3	N
dizi	數列	dizi	數列	N;NOM;SG;3	N
dizi	順序	dizi	順序	N;NOM;SG;3	N
şampiyonası	錦標	şampiyon	錦標	N;NOM;SG;3	N
şampiyonası	錦標	şampiyon	錦標	N;NOM;SG;3	N
göz	眼神	göz	眼神	N;NOM;SG;3	N
göz	眼睛	göz	眼睛	N;NOM;SG;3	N
göz	眼	göz	眼	N;NOM;SG;3	N
göz	眼	göz	眼	N;NOM;SG;3	N
göz	眼睛	göz	眼睛	N;NOM;SG;3	N
televizyon	電視	televizyon	電視	N;NOM;SG;3	N
televizyon	電視	televizyon	電視	N;NOM;SG;3	N
televizyon	電視	televizyon	電視	N;NOM;SG;3	N
sezonu	季	sezon	季	N;ACC;SG;3	N
sezonu	季節	sezon	季節	N;ACC;SG;3	N
durum	狀況	durum	狀況	N;NOM;SG;3	N
durum	狀態	durum	狀態	N;NOM;SG;3	N
durum	現況	durum	現況	N;NOM;SG;3	N
durum	情況	durum	情況	N;NOM;SG;3	N
durum	條件	durum	條件	N;NOM;SG;3	N
durum	狀況	durum	狀況	N;NOM;SG;3	N
gelenek	傳統	gelenek	傳統	N;NOM;SG;3	N
gelenek	傳統	gelenek	傳統	N;NOM;SG;3	N
nasıl	如何	nasıl	如何		
yeri	位置	yer	位置	N;ACC;SG;3	N
yeri	地點	yer	地點	N;ACC;SG;3	N
al	獲取	al	獲取	V;PFV;IMP;SG;2;POS;PRS	V
al	獲得	al	獲得	V;PFV;IMP;SG;2;POS;PRS	V
al	得到	al	得到	V;PFV;IMP;SG;2;POS;PRS	V
ses	聲音	ses	聲音	N;NOM;SG;3	N
ses	音效	ses	音效	N;NOM;SG;3	N
ses	語音	ses	語音	N;NOM;SG;3	N
ses	嗓子	ses	嗓子	N;NOM;SG;3	N
ses	聲音	ses	聲音	N;NOM;SG;3	N
ses	音訊	ses	音訊	N;NOM;SG;3	N
ses	噪聲	ses	噪聲	N;NOM;SG;3	N
ses	噪音	ses	噪音	N;NOM;SG;3	N
ses	體積	ses	體積	N;NOM;SG;3	N
ses	音量	ses	音量	N;NOM;SG;3	N
kitap	圖書	kitap	圖書	N;NOM;SG;3	N
kitap	書	kitap	書	N;NOM;SG;3	N
kitap	書籍	kitap	書籍	N;NOM;SG;3	N
kitap	圖書	kitap	圖書	N;NOM;SG;3	N
kitap	書	kitap	書	N;NOM;SG;3	N
kitap	書籍	kitap	書籍	N;NOM;SG;3	N
ödülleri	獎勵	ödül	獎勵	N;NOM;PL;3	N
ödülleri	獎勵	ödül	獎勵	N;NOM;PL;3	N
ödülleri	獎	ödül	獎	N;NOM;PL;3	N
ödülleri	獎品	ödül	獎品	N;NOM;PL;3	N
bakanı	大臣	bakan	大臣	N;NOM;SG;3	N
bakanı	部長	bakan	部長	N;NOM;SG;3	N
krallık	王國	krallık	王國	N;NOM;SG;3	N
krallık	國度	krallık	國度	N;NOM;SG;3	N
doğdu	生	doğ	生	V;PFV;IND;SG;3;POS;PST	V
doğdu	誕生	doğ	誕生	V;PFV;IND;SG;3;POS;PST	V
doğdu	出生	doğ	出生	V;PFV;IND;SG;3;POS;PST	V
durumu	狀況	durum	狀況	N;NOM;SG;3	N
durumu	狀態	durum	狀態	N;NOM;SG;3	N
durumu	現況	durum	現況	N;NOM;SG;3	N
durumu	條件	durum	條件	N;NOM;SG;3	N
durumu	狀況	durum	狀況	N;NOM;SG;3	N
tamamen	充分	tamamen	充分		
araştırma	詢問	araştır	詢問	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
araştırma	研究	araştır	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yardım	援助	yardım	援助	N;NOM;SG;3	N
oranı	速率	oran	速率	N;NOM;SG;3	N
oranı	率	oran	率	N;NOM;SG;3	N
oranı	利率	oran	利率	N;NOM;SG;3	N
oranı	比率	oran	比率	N;NOM;SG;3	N
oranı	比值	oran	比值	N;NOM;SG;3	N
oranı	比例	oran	比例	N;NOM;SG;3	N
şarkıcı	歌手	şarkıcı	歌手	N;NOM;SG;3	N
katıldı	出席	kat	出席	V;PFV;IND;SG;3;POS;PST;PASS	V
katıldı	加入	kat	加入	V;PFV;IND;SG;3;POS;PST;PASS	V
bugün	今日	bugün	今日	N;NOM;SG;3	N
bugün	今天	bugün	今天	N;NOM;SG;3	N
hafta	星期	hafta	星期	N;NOM;SG;3	N
hafta	週	hafta	週	N;NOM;SG;3	N
hafta	星期	hafta	星期	N;NOM;SG;3	N
hafta	週數	hafta	週數	N;NOM;SG;3	N
adam	人	adam	人	N;NOM;SG;3	N
adam	男人	adam	男人	N;NOM;SG;3	N
it	推	it	推		
nehri	河	nehir	河	N;ACC;SG;3	N
nehri	江河	nehir	江河	N;ACC;SG;3	N
nehri	河流	nehir	河流	N;ACC;SG;3	N
yolu	路徑	yol	路徑	N;ACC;SG;3	N
girdi	投入	gir	投入	V;PFV;IND;SG;3;POS;PST	V
girdi	輸入	gir	輸入	V;PFV;IND;SG;3;POS;PST	V
girdi	入境	gir	入境	V;PFV;IND;SG;3;POS;PST	V
çalışma	研究	çalış	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
çalışma	學習	çalış	學習	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
yıllar	歲	yıl	歲	N;NOM;PL;3	N
yıllar	年份	yıl	年份	N;NOM;PL;3	N
ilan	廣告	ilan	廣告	N;NOM;SG;3	N
sürekli	連續	sürekli	連續	ADV	ADV
sonrasında	之後	sonra	之後	N;ESS;SG;3	N
sonrasında	事後	sonra	事後	N;ESS;SG;3	N
basketbol	籃球	basketbol	籃球	N;NOM;SG;3	N
kullanımı	用法	kullanım	用法	N;NOM;SG;3	N
kullanımı	用量	kullanım	用量	N;NOM;SG;3	N
kiralık	租金	kiralık	租金	N;NOM;SG;3	N
kiralık	租賃	kiralık	租賃	N;NOM;SG;3	N
kiralık	租金	kiralık	租金	N;NOM;SG;3	N
kiralık	房租	kiralık	房租	N;NOM;SG;3	N
kiralık	租	kiralık	租	N;NOM;SG;3	N
kiralık	租金	kiralık	租金	N;NOM;SG;3	N
zaten	已經	zaten	已經	ADV	ADV
madalya	獎章	madalya	獎章	N;NOM;SG;3	N
madalya	勳章	madalya	勳章	N;NOM;SG;3	N
madalya	獎牌	madalya	獎牌	N;NOM;SG;3	N
madalya	獎章	madalya	獎章	N;NOM;SG;3	N
madalya	勳章	madalya	勳章	N;NOM;SG;3	N
madalya	獎牌	madalya	獎牌	N;NOM;SG;3	N
milletvekili	議員	milletvekili	議員	N;NOM;SG;3	N
milletvekili	國會	milletvekili	國會	N;NOM;SG;3	N
hakları	權利	hak	權利	N;ACC;PL;3	N
çalışmalar	研究	çalış	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
maddeler	物質	madde	物質	N;NOM;PL;3	N
kulübü	幫會	kulüb	幫會	N;NOM;SG;3	N
kulübü	俱樂部	kulüb	俱樂部	N;NOM;SG;3	N
tanımlar	定義	tanım	定義	N;NOM;PL;3	N
fark	斑點	fark	斑點	N;NOM;SG;3	N
fark	差額	fark	差額	N;NOM;SG;3	N
fark	區別	fark	區別	N;NOM;SG;3	N
fark	差別	fark	差別	N;NOM;SG;3	N
fark	差異	fark	差異	N;NOM;SG;3	N
bölgede	區域	bölge	區域	N;ESS;SG;3	N
ilçesi	區	ilçe	區	N;NOM;SG;3	N
ilçesi	地區	ilçe	地區	N;NOM;SG;3	N
yayınlanan	出版	yayınla	出版	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
yayınlanan	發表	yayınla	發表	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
yalnızca	只	yalnızca	只	ADV	ADV
güncelleme	增訂	güncelle	增訂	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
tartışma	討論	tartış	討論	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
tartışma	爭論	tartış	爭論	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
baş	頭	baş	頭	N;NOM;SG;3	N
baş	頭部	baş	頭部	N;NOM;SG;3	N
yaşam	生命	yaşam	生命	N;NOM;SG;3	N
yaşam	人生	yaşam	人生	N;NOM;SG;3	N
festivali	節慶	festivali	節慶	N;ACC;SG;3	N
festivali	節日	festivali	節日	N;ACC;SG;3	N
çalışmaları	研究	çalış	研究	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
isim	名詞	isim	名詞	N;NOM;SG;3	N
isim	名字	isim	名字	N;NOM;SG;3	N
isim	名稱	isim	名稱	N;NOM;SG;3	N
isim	姓名	isim	姓名	N;NOM;SG;3	N
gece	黑夜	gece	黑夜	N;NOM;SG;3	N
gece	夜晚	gece	夜晚	N;NOM;SG;3	N
gece	晚上	gece	晚上	N;NOM;SG;3	N
gece	夜	gece	夜	N;NOM;SG;3	N
bilgiler	資訊	bilgi	資訊	N;NOM;PL;3	N
site	網站	sit	網站	N;NOM;SG;3	N
site	網頁	sit	網頁	N;NOM;SG;3	N
site	網站	sit	網站	N;NOM;SG;3	N
site	工地	sit	工地	N;NOM;SG;3	N
site	桌面	sit	桌面	N;NOM;SG;3	N
sınıf	課室	sınıf	課室	N;NOM;SG;3	N
sınıf	教室	sınıf	教室	N;NOM;SG;3	N
sınıf	課堂	sınıf	課堂	N;NOM;SG;3	N
sınıf	階級	sınıf	階級	N;NOM;SG;3	N
sınıf	類	sınıf	類	N;NOM;SG;3	N
sınıf	類別	sınıf	類別	N;NOM;SG;3	N
sınıf	課堂	sınıf	課堂	N;NOM;SG;3	N
sınıf	班級	sınıf	班級	N;NOM;SG;3	N
dizisi	序列	dizi	序列	N;NOM;SG;3	N
dizisi	數列	dizi	數列	N;NOM;SG;3	N
dizisi	順序	dizi	順序	N;NOM;SG;3	N
seçildi	當選	seç	當選	V;PFV;IND;SG;3;POS;PST;PASS	V
seçildi	選取	seç	選取	V;PFV;IND;SG;3;POS;PST;PASS	V
oyunları	遊戲	oyun	遊戲	N;ACC;PL;3	N
yapıldı	完成	yap	完成	V;PFV;IND;SG;3;POS;PST;PASS	V
park	樸	park	樸	N;NOM;SG;3	N
park	公園	park	公園	N;NOM;SG;3	N
siyasetçi	政客	siyasetçi	政客	N;NOM;SG;3	N
siyasetçi	政治	siyasetçi	政治	N;NOM;SG;3	N
edebiyat	文學	edebiyat	文學	N;NOM;SG;3	N
edebiyat	文獻	edebiyat	文獻	N;NOM;SG;3	N
edebiyat	文學	edebiyat	文學	N;NOM;SG;3	N
müzesi	博物	müze	博物	N;ACC;SG;3	N
haber	新聞	haber	新聞	N;NOM;SG;3	N
annesi	母后	anne	母后	N;NOM;SG;3	N
annesi	母親	anne	母親	N;NOM;SG;3	N
bulundu	找到	bulun	找到	V;PFV;IND;SG;3;POS;PST	V
bulundu	發現	bulun	發現	V;PFV;IND;SG;3;POS;PST	V
doğum	生日	doğum	生日	N;NOM;SG;3	N
doğum	產婦	doğum	產婦	N;NOM;SG;3	N
doğum	婦產	doğum	婦產	N;NOM;SG;3	N
doğum	產科	doğum	產科	N;NOM;SG;3	N
başkenti	資本	başkent	資本	N;NOM;SG;3	N
başkenti	首都	başkent	首都	N;NOM;SG;3	N
hala	仍然	hala	仍然	ADV	ADV
hala	依然	hala	依然	ADV	ADV
derneği	協會	dernek	協會	N;NOM;SG;3	N
www	www	www	www		
kuruldu	安裝	kur	安裝	V;PFV;IND;SG;3;POS;PST;PASS	V
taşıyan	攜	taşı	攜	V;PFV;IND;POS;PRS;V.PTCP	V
taşıyan	承載	taşı	承載	V;PFV;IND;POS;PRS;V.PTCP	V
öğretim	教學	öğretim	教學	N;NOM;SG;3	N
öğretim	指令	öğretim	指令	N;NOM;SG;3	N
öğretim	教書	öğretim	教書	N;NOM;SG;3	N
öğretim	教學	öğretim	教學	N;NOM;SG;3	N
öğretim	教	öğretim	教	N;NOM;SG;3	N
kaynağı	源	kaynak	源		
kanalı	運河	kanalı	運河	N;ACC;SG;3	N
kanalı	頻道	kanalı	頻道	N;ACC;SG;3	N
kanalı	海峽	kanalı	海峽	N;ACC;SG;3	N
kanalı	通道	kanalı	通道	N;ACC;SG;3	N
arka	背	arka	背		
aşk	戀愛	aşk	戀愛	N;NOM;SG;3	N
aşk	愛情	aşk	愛情	N;NOM;SG;3	N
inç	寸寸	inç	寸寸		
aktif	積極	aktif	積極		
etkisi	特效	etki	特效	N;NOM;SG;3	N
etkisi	效果	etki	效果	N;NOM;SG;3	N
etkisi	效應	etki	效應	N;NOM;SG;3	N
ailesi	家人	aile	家人	N;NOM;SG;3	N
ailesi	家屬	aile	家屬	N;NOM;SG;3	N
ailesi	家庭	aile	家庭	N;NOM;SG;3	N
insanlar	人類	insan	人類	N;NOM;PL;3	N
insanlar	人	insan	人	N;NOM;PL;3	N
insanlar	人們	insan	人	N;NOM;PL;3	N;PL
insanlar	人民	insan	人民	N;NOM;PL;3	N
etkin	積極	etkin	積極		
eğitimi	培訓	eğitim	培訓	N;ACC;SG;3	N
bilgisayar	電腦	bilgisayar	電腦	N;NOM;SG;3	N
bilgisayar	電子	bilgisayar	電子	N;NOM;SG;3	N
bilgisayar	電腦	bilgisayar	電腦	N;NOM;SG;3	N
sınırları	邊界	sınır	邊界	N;NOM;PL;3	N
sınırları	界	sınır	界	N;NOM;PL;3	N
sınırları	界	sınır	界	N;NOM;PL;3	N
sınırları	邊界	sınır	邊界	N;NOM;PL;3	N
sınırları	邊框	sınır	邊框	N;NOM;PL;3	N
sınırları	邊境	sınır	邊境	N;NOM;PL;3	N
sınırları	極限	sınır	極限	N;NOM;PL;3	N
sınırları	限額	sınır	限額	N;NOM;PL;3	N
parlaklık	亮度	parlaklık	亮度	N;NOM;SG;3	N
sistem	系統	sistem	系統	N;NOM;SG;3	N
sistem	系統	sistem	系統	N;NOM;SG;3	N
özellikleri	特徵	özellik	特徵	N;NOM;PL;3	N
özellikleri	特性	özellik	特性	N;NOM;PL;3	N
özellikleri	特點	özellik	特點	N;NOM;PL;3	N
özellikleri	屬性	özellik	屬性	N;NOM;PL;3	N
özellikleri	功能	özellik	功能	N;NOM;PL;3	N
özellikleri	特色	özellik	特色	N;NOM;PL;3	N
özellikleri	特徵	özellik	特徵	N;NOM;PL;3	N
özellikleri	特點	özellik	特點	N;NOM;PL;3	N
özellikleri	屬性	özellik	屬性	N;NOM;PL;3	N
kişilik	烙	kişilik	烙	N;NOM;SG;3	N
