この	這	この	這	DET	DET
決定	決定	決定	決定	V	V
音楽	音樂	音楽	音樂	N	N
転送	轉帳	転送	轉帳	V	V
転送	轉讓	転送	轉讓	V	V
転送	轉移	転送	轉移	V	V
転送	轉讓	転送	轉讓	V	V
情報	資訊	情報	資訊	N	N
参加	加入	参加	加入	V	V
参加	參與	参加	參與	V	V
地域	區域	地域	區域	N	N
地域	區域	地域	區域	N	N
変更	變更	変更	變更	V	V
変更	變動	変更	變動	V	V
変更	變化	変更	變化	V	V
変更	變更	変更	變更	V	V
変更	修改	変更	修改	V	V
変更	改變	変更	改變	V	V
変更	變更	変更	變更	V	V
変更	變	変更	變	V	V
サイト	網站	サイト	網站	N	N
サイト	工地	サイト	工地	N	N
記録	錄音	記録	錄音	V	V
記録	記錄	記録	記錄	V	V
記録	記錄	記録	記錄	V	V
関係	關係	関係	關係	N	N
関係	關係	関係	關係	N	N
クラブ	幫會	クラブ	幫會	N	N
クラブ	俱樂部	クラブ	俱樂部	N	N
クラブ	俱樂部	クラブ	俱樂部	N	N
中央	中央	中央	中央	N	N
中央	中心	中央	中心	N	N
中央	中心	中央	中心	N	N
同じ	相同	同じ	相同	ADJ	ADJ
設立	建立	設立	建立	V	V
教育	教育	教育	教育	N	N
教育	學歷	教育	學歷	N	N
設置	安裝	設置	安裝	V	V
発表	公告	発表	公告	V	V
小学校	初等	小学校	初等	N	N
編集	變更	編集	變更	V	V
編集	修改	編集	修改	V	V
シーズン	季	シーズン	季	N	N
シーズン	季節	シーズン	季節	N	N
シーズン	季	シーズン	季	N	N
シーズン	季節	シーズン	季節	N	N
ファイル	文件	ファイル	文件	N	N
ファイル	檔案	ファイル	檔案	N	N
ファイル	文件	ファイル	文件	N	N
ファイル	檔案	ファイル	檔案	N	N
都市	城市	都市	城市	N	N
都市	市	都市	市	N	N
都市	城	都市	城	N	N
都市	城市	都市	城市	N	N
出版	出版	出版	出版	V	V
出版	出版	出版	出版	V	V
出版	出版	出版	出版	V	V
出版	發表	出版	發表	V	V
出版	出版	出版	出版	V	V
出版	出版	出版	出版	V	V
会社	事務	会社	事務	N	N
会社	公司	会社	公司	N	N
会社	公司	会社	公司	N	N
世紀	世紀	世紀	世紀	N	N
ノート	筆記	ノート	筆記	N	N
ノート	筆	ノート	筆	N	N
ノート	筆記	ノート	筆記	N	N
ノート	筆	ノート	筆	N	N
社会	社會	社会	社會	N	N
社会	社會	社会	社會	N	N
シングル	單人	シングル	單人	N	N
シングル	單身	シングル	單身	N	N
センター	中心	センター	中心	N	N
センター	中心	センター	中心	N	N
終了	退出	終了	退出	V	V
終了	完成	終了	完成	V	V
終了	結束	終了	結束	V	V
終了	完成	終了	完成	V	V
終了	退出	終了	退出	V	V
終了	出境	終了	出境	V	V
中心	中心	中心	中心	N	N
中心	中心	中心	中心	N	N
内容	內容	内容	內容	N	N
文化	文化	文化	文化	N	N
ドラマ	電視	ドラマ	電視	N	N
ドラマ	劇情	ドラマ	劇情	N	N
ドラマ	戲劇	ドラマ	戲劇	N	N
ドラマ	劇	ドラマ	劇	N	N
撮影	拍攝	撮影	拍攝	V	V
選手権	錦標	選手権	錦標	N	N
選手権	錦標	選手権	錦標	N	N
野球	棒球	野球	棒球	N	N
指定	稱	指定	稱	V	V
指定	指定	指定	指定	V	V
指定	指明	指定	指明	V	V
指定	指定	指定	指定	V	V
以下	下方	以下	下方	N	N
卒業	畢業	卒業	畢業	V	V
卒業	畢業	卒業	畢業	V	V
文庫	文庫	文庫	文庫	N	N
公開	公開	公開	公開	V	V
公開	刊登	公開	刊登	V	V
公開	發表	公開	發表	V	V
最終	上次	最終	上次	N	N
最終	最後	最終	最後	N	N
最終	決賽	最終	決賽	N	N
アニメ	動畫	アニメ	動畫	N	N
確認	確認	確認	確認	V	V
確認	證實	確認	證實	V	V
確認	確認	確認	確認	V	V
確認	證實	確認	證實	V	V
歴史	歷史	歴史	歷史	N	N
計画	計畫	計画	計畫	N	N
経済	經濟	経済	經濟	N	N
ページ	頁	ページ	頁	N	N
教授	教授	教授	教授	N	N
ラジオ	電台	ラジオ	電台	N	N
ラジオ	廣播	ラジオ	廣播	N	N
ラジオ	廣播	ラジオ	廣播	N	N
劇場	電影	劇場	電影	N	N
劇場	劇場	劇場	劇場	N	N
劇場	戲劇	劇場	戲劇	N	N
劇場	劇院	劇場	劇院	N	N
劇場	戲院	劇場	戲院	N	N
劇場	劇場	劇場	劇場	N	N
劇場	戰區	劇場	戰區	N	N
劇場	戲劇	劇場	戲劇	N	N
劇場	劇院	劇場	劇院	N	N
劇場	戲院	劇場	戲院	N	N
グループ	群組	グループ	群組	N	N
グループ	群	グループ	群	N	N
グループ	群組	グループ	群組	N	N
グループ	團體	グループ	團體	N	N
女性	女人	女性	女人	N	N
女性	女	女性	女	N	N
女性	女子	女性	女子	N	N
女性	女	女性	女	N	N
女性	女性	女性	女性	N	N
女性	婦女	女性	婦女	N	N
女性	女性	女性	女性	N	N
地区	區	地区	區	N	N
地区	地區	地区	地區	N	N
獲得	掙	獲得	掙	V	V
獲得	賺取	獲得	賺取	V	V
獲得	賺	獲得	賺	V	V
得点	分數	得点	分數	N	N
得点	得分	得点	得分	N	N
コメント	意見	コメント	意見	N	N
漫画	漫畫	漫画	漫畫	N	N
漫画	漫畫	漫画	漫畫	N	N
就任	假定	就任	假定	V	V
廃止	廢除	廃止	廢除	V	V
廃止	裁撤	廃止	裁撤	V	V
販売	銷售	販売	銷售	V	V
販売	賣	販売	賣	V	V
販売	銷售	販売	銷售	V	V
販売	銷售	販売	銷售	V	V
販売	銷售	販売	銷售	V	V
攻撃	攻擊	攻撃	攻擊	V	V
攻撃	攻擊	攻撃	攻擊	V	V
攻撃	進攻	攻撃	進攻	V	V
サッカー	足球	サッカー	足球	N	N
議員	議員	議員	議員	N	N
全国	全國	全国	全國	N	N
協会	協會	協会	協會	N	N
路線	路線	路線	路線	N	N
戦争	戰	戦争	戰	N	N
戦争	戰爭	戦争	戰爭	N	N
戦争	戰爭	戦争	戰爭	N	N
製作	製作	製作	製作	V	V
製作	生產	製作	生產	V	V
番号	數字	番号	數字	N	N
番号	數	番号	數	N	N
番号	號碼	番号	號碼	N	N
番号	編號	番号	編號	N	N
当初	最初	当初	最初	N	N
受賞	頒獎	受賞	頒獎	V	V
受賞	授予	受賞	授予	V	V
期間	期限	期間	期限	N	N
期間	期間	期間	期間	N	N
場所	地方	場所	地方	N	N
場所	地點	場所	地點	N	N
場所	位置	場所	位置	N	N
場所	地點	場所	地點	N	N
場所	地方	場所	地方	N	N
場所	地點	場所	地點	N	N
技術	技術	技術	技術	N	N
技術	科技	技術	科技	N	N
海軍	海軍	海軍	海軍	N	N
リンク	連結	リンク	連結	V	V
合併	合併	合併	合併	V	V
合併	合併	合併	合併	V	V
道路	公路	道路	公路	N	N
道路	道路	道路	道路	N	N
道路	公路	道路	公路	N	N
道路	道路	道路	道路	N	N
道路	路	道路	路	N	N
システム	系統	システム	系統	N	N
システム	系統	システム	系統	N	N
モデル	模型	モデル	模型	N	N
モデル	模特	モデル	模特	N	N
モデル	型號	モデル	型號	N	N
モデル	模特	モデル	模特	N	N
モデル	模範	モデル	模範	N	N
モデル	模型	モデル	模型	N	N
モデル	型號	モデル	型號	N	N
モデル	模特	モデル	模特	N	N
対応	書信	対応	書信	N	N
列車	火車	列車	火車	N	N
列車	列車	列車	列車	N	N
列車	火車	列車	火車	N	N
列車	列車	列車	列車	N	N
建設	建設	建設	建設	V	V
最後	上次	最後	上次	N	N
最後	最後	最後	最後	N	N
科学	科學	科学	科學	N	N
理由	理由	理由	理由	N	N
理由	原因	理由	原因	N	N
理由	理由	理由	理由	N	N
理由	理性	理由	理性	N	N
理由	原因	理由	原因	N	N
一	一	一	一	NUM	NUM
一	一	一	一	NUM	NUM
ブロック	區塊	ブロック	區塊	N	N
ブロック	積木	ブロック	積木	N	N
ブロック	區塊	ブロック	區塊	N	N
車両	車輛	車両	車輛	N	N
車両	車輛	車両	車輛	N	N
自動車	車	自動車	車	N	N
自動車	汽車	自動車	汽車	N	N
人口	人口	人口	人口	N	N
特に	尤其	特に	尤其	ADV	ADV
特に	尤其	特に	尤其	ADV	ADV
営業	企業	営業	企業	N	N
営業	業務	営業	業務	N	N
営業	商業	営業	商業	N	N
営業	商務	営業	商務	N	N
新聞	報紙	新聞	報紙	N	N
新聞	報	新聞	報	N	N
新聞	報章	新聞	報章	N	N
新聞	報章	新聞	報章	N	N
新聞	報刊	新聞	報刊	N	N
連続	連續	連続	連續	ADJ	ADJ
政府	政府	政府	政府	N	N
キャラクター	字元	キャラクター	字元	N	N
キャラクター	人物	キャラクター	人物	N	N
キャラクター	角色	キャラクター	角色	N	N
キャラクター	性格	キャラクター	性格	N	N
キャラクター	品格	キャラクター	品格	N	N
キャラクター	字元	キャラクター	字元	N	N
キャラクター	角色	キャラクター	角色	N	N
小説	小說	小説	小說	N	N
小説	小說	小説	小說	N	N
機関	器官	機関	器官	N	N
機関	體制	機関	體制	N	N
機関	機構	機関	機構	N	N
機関	機構	機関	機構	N	N
参照	參考	参照	參考	V	V
メンバー	會員	メンバー	會員	N	N
メンバー	成員	メンバー	成員	N	N
メンバー	成員	メンバー	成員	N	N
画像	影像	画像	影像	N	N
画像	圖片	画像	圖片	N	N
画像	照片	画像	照片	N	N
画像	圖片	画像	圖片	N	N
画像	影象	画像	影象	N	N
画像	影像	画像	影像	N	N
画像	圖片	画像	圖片	N	N
画像	畫報	画像	畫報	N	N
状態	國家	状態	國家	N	N
状態	州	状態	州	N	N
状態	條件	状態	條件	N	N
状態	狀況	状態	狀況	N	N
名称	名字	名称	名字	N	N
名称	名稱	名称	名稱	N	N
名称	姓名	名称	姓名	N	N
名称	人名	名称	人名	N	N
名称	名稱	名称	名稱	N	N
名称	姓名	名称	姓名	N	N
ダム	壩	ダム	壩	N	N
ダム	水電	ダム	水電	N	N
ダム	水庫	ダム	水庫	N	N
ダム	大壩	ダム	大壩	N	N
ダム	水壩	ダム	水壩	N	N
ホーム	家	ホーム	家	N	N
ホーム	住家	ホーム	住家	N	N
運行	運算	運行	運算	V	V
運行	操作	運行	操作	V	V
投稿	發文	投稿	發文	V	V
名前	名字	名前	名字	N	N
名前	名稱	名前	名稱	N	N
名前	姓名	名前	姓名	N	N
名前	人名	名前	人名	N	N
名前	名稱	名前	名稱	N	N
名前	姓名	名前	姓名	N	N
施設	設施	施設	設施	N	N
施設	體制	施設	體制	N	N
施設	機構	施設	機構	N	N
施設	設施	施設	設施	N	N
調査	調查	調査	調查	V	V
調査	調查	調査	調查	V	V
調査	調查	調査	調查	V	V
調査	問	調査	問	V	V
製造	製造	製造	製造	V	V
物語	動態	物語	動態	N	N
物語	故事	物語	故事	N	N
神社	神社	神社	神社	N	N
神社	神社	神社	神社	N	N
企業	企業	企業	企業	N	N
航空	航空	航空	航空	N	N
航空	空中	航空	空中	N	N
航空	航空	航空	航空	N	N
航空	空氣	航空	空氣	N	N
帝国	帝國	帝国	帝國	N	N
トン	噸	トン	噸	N	N
トン	公噸	トン	公噸	N	N
トン	噸	トン	噸	N	N
トン	噸	トン	噸	N	N
トン	噸	トン	噸	N	N
トン	公噸	トン	公噸	N	N
影響	影響	影響	影響	V	V
影響	影響	影響	影響	V	V
影響	影響	影響	影響	V	V
勝利	贏	勝利	贏	V	V
本社	總部	本社	總部	N	N
人間	人類	人間	人類	N	N
交通	交通	交通	交通	N	N
交通	運輸	交通	運輸	N	N
交通	交通	交通	交通	N	N
交通	運輸	交通	運輸	N	N
交通	交通	交通	交通	N	N
組織	組織	組織	組織	N	N
組織	組織	組織	組織	N	N
構造	結構	構造	結構	N	N
構造	結構	構造	結構	N	N
ここ	這裡	ここ	這裡	PRO	PRO
以前	以前	以前	以前	N	N
以前	前	以前	前	N	N
以前	之前	以前	之前	N	N
統合	鞏固	統合	鞏固	V	V
統合	合併	統合	合併	V	V
統合	融合	統合	融合	V	V
テーマ	主題	テーマ	主題	N	N
テーマ	專題	テーマ	專題	N	N
テーマ	主題	テーマ	主題	N	N
面積	面積	面積	面積	N	N
面積	地區	面積	地區	N	N
面積	區域	面積	區域	N	N
面積	區	面積	區	N	N
エンジン	引擎	エンジン	引擎	N	N
エンジン	引擎	エンジン	引擎	N	N
ビル	法案	ビル	法案	N	N
日本語	日文	日本語	日文	N	N
設定	設定	設定	設定	V	V
ライブ	活	ライブ	活	N	N
含む	含有	含む	含有	V	V
含む	包含	含む	包含	V	V
含む	包括	含む	包括	V	V
含む	包括	含む	包括	V	V
専門	專長	専門	專長	N	N
機能	功能	機能	功能	N	N
機能	職能	機能	職能	N	N
機能	函數	機能	函數	N	N
機能	功能	機能	功能	N	N
機能	特色	機能	特色	N	N
機能	特徵	機能	特徵	N	N
機能	特點	機能	特點	N	N
機能	功能	機能	功能	N	N
機能	特色	機能	特色	N	N
機能	特徵	機能	特徵	N	N
機能	功能	機能	功能	N	N
身長	身高	身長	身高	N	N
身長	高度	身長	高度	N	N
所在	地點	所在	地點	N	N
所在	位置	所在	位置	N	N
所在	地點	所在	地點	N	N
完成	竣工	完成	竣工	V	V
運転	駕駛	運転	駕駛	V	V
写真	像片	写真	像片	N	N
写真	照片	写真	照片	N	N
写真	攝影	写真	攝影	N	N
写真	像片	写真	像片	N	N
写真	照片	写真	照片	N	N
写真	照片	写真	照片	N	N
写真	圖片	写真	圖片	N	N
関連	相關	関連	相關	V	V
関連	相關	関連	相關	V	V
書店	書店	書店	書店	N	N
高い	高大	高い	高大	ADJ	ADJ
生産	製作	生産	製作	V	V
生産	生產	生産	生產	V	V
上	上方	上	上方	N	N
宇宙	宇宙	宇宙	宇宙	N	N
管理	管理	管理	管理	V	V
管理	管理	管理	管理	V	V
バー	酒吧	バー	酒吧	N	N
バー	酒吧	バー	酒吧	N	N
公園	樸	公園	樸	N	N
公園	公園	公園	公園	N	N
公園	公園	公園	公園	N	N
スポーツ	體育	スポーツ	體育	N	N
スポーツ	運動	スポーツ	運動	N	N
スポーツ	體育	スポーツ	體育	N	N
スポーツ	運動	スポーツ	運動	N	N
脚本	劇本	脚本	劇本	N	N
脚本	編劇	脚本	編劇	N	N
脚本	電影	脚本	電影	N	N
脚本	劇本	脚本	劇本	N	N
目的	目標	目的	目標	N	N
目的	目的	目的	目的	N	N
目的	宗旨	目的	宗旨	N	N
目的	目標	目的	目標	N	N
生活	生活	生活	生活	V	V
カード	紙牌	カード	紙牌	N	N
カード	卡片	カード	卡片	N	N
カード	牌	カード	牌	N	N
カード	名片	カード	名片	N	N
カード	紙牌	カード	紙牌	N	N
カード	卡片	カード	卡片	N	N
基本	基本	基本	基本	N	N
女優	女	女優	女	N	N
女優	女	女優	女	N	N
女優	女	女優	女	N	N
女優	演員	女優	演員	N	N
タイトル	頭銜	タイトル	頭銜	N	N
タイトル	職銜	タイトル	職銜	N	N
タイトル	標題	タイトル	標題	N	N
タイトル	標題	タイトル	標題	N	N
政治	政治	政治	政治	N	N
政治	政治	政治	政治	N	N
電気	電力	電気	電力	N	N
電気	電	電気	電	N	N
電気	電氣	電気	電氣	N	N
電気	電	電気	電	N	N
電気	電動	電気	電動	N	N
警察	警方	警察	警方	N	N
警察	警務	警察	警務	N	N
警察	警察	警察	警察	N	N
作成	創建	作成	創建	V	V
作成	創作	作成	創作	V	V
作成	創建	作成	創建	V	V
作成	創造	作成	創造	V	V
作成	建立	作成	建立	V	V
ガン	槍支	ガン	槍支	N	N
ガン	槍	ガン	槍	N	N
ガン	炮	ガン	炮	N	N
スター	星星	スター	星星	N	N
スター	恆星	スター	恆星	N	N
スター	星	スター	星	N	N
スター	明星	スター	明星	N	N
経営	管理	経営	管理	V	V
過去	過往	過去	過往	N	N
過去	過去	過去	過去	N	N
陸軍	集團	陸軍	集團	N	N
陸軍	軍隊	陸軍	軍隊	N	N
陸軍	軍	陸軍	軍	N	N
陸軍	陸軍	陸軍	陸軍	N	N
運営	運算	運営	運算	V	V
運営	操作	運営	操作	V	V
表示	檢視	表示	檢視	V	V
表示	瀏覽	表示	瀏覽	V	V
社長	總統	社長	總統	N	N
社長	主席	社長	主席	N	N
団体	組織	団体	組織	N	N
工業	工業	工業	工業	N	N
通り	街頭	通り	街頭	N	N
通り	街道	通り	街道	N	N
通り	街	通り	街	N	N
通信	書信	通信	書信	N	N
通信	通訊	通信	通訊	N	N
通信	通訊	通信	通訊	N	N
俳優	演員	俳優	演員	N	N
俳優	女	俳優	女	N	N
俳優	女	俳優	女	N	N
俳優	演員	俳優	演員	N	N
俳優	男	俳優	男	N	N
俳優	演員	俳優	演員	N	N
少年	男孩	少年	男孩	N	N
病院	醫院	病院	醫院	N	N
病院	醫院	病院	醫院	N	N
結婚	結婚	結婚	結婚	V	V
個人	個人	個人	個人	N	N
個人	個人	個人	個人	N	N
個人	個別	個人	個別	N	N
個人	個	個人	個	N	N
区間	區間	区間	區間	N	N
区間	間歇	区間	間歇	N	N
区間	間	区間	間	N	N
銀行	銀行	銀行	銀行	N	N
学園	學園	学園	學園	N	N
彼女	她	彼女	她	PRO	PRO;3
ニュース	新聞	ニュース	新聞	N	N
その	其他	その	其他	DET	DET
その	其他	その	其他	DET	DET
ソフト	軟	ソフト	軟	ADJ	ADJ
ソフト	柔	ソフト	柔	ADJ	ADJ
文学	文獻	文学	文獻	N	N
文学	文學	文学	文學	N	N
能力	能力	能力	能力	N	N
学者	學人	学者	學人	N	N
学者	狀元	学者	狀元	N	N
学者	學者	学者	學者	N	N
学者	學者	学者	學者	N	N
国内	家用	国内	家用	N	N
国内	國內	国内	國內	N	N
空港	機場	空港	機場	N	N
空港	機場	空港	機場	N	N
言語	語言	言語	語言	N	N
言語	語文	言語	語文	N	N
言語	語言	言語	語言	N	N
言語	語	言語	語	N	N
言語	語文	言語	語文	N	N
設計	設計	設計	設計	V	V
ベスト	馬甲	ベスト	馬甲	N	N
ベスト	背心	ベスト	背心	N	N
現代	當代	現代	當代	N	N
会議	會議	会議	會議	N	N
会議	會議	会議	會議	N	N
会議	會議	会議	會議	N	N
バンド	樂團	バンド	樂團	N	N
バンド	樂隊	バンド	樂隊	N	N
バンド	樂隊	バンド	樂隊	N	N
追加	加上	追加	加上	V	V
追加	附加	追加	附加	V	V
移動	移動	移動	移動	V	V
移動	感動	移動	感動	V	V
国民	國家	国民	國家	N	N
ファン	粉絲	ファン	粉絲	N	N
ファン	粉絲	ファン	粉絲	N	N
ファン	範	ファン	範	N	N
すべて	一切	すべて	一切	N	N
運動	練習	運動	練習	V	V
環境	環境	環境	環境	N	N
環境	環境	環境	環境	N	N
競技	競爭	競技	競爭	N	N
競技	競賽	競技	競賽	N	N
会長	主席	会長	主席	N	N
会長	主席	会長	主席	N	N
形式	形式	形式	形式	N	N
形式	表格	形式	表格	N	N
工場	工廠	工場	工廠	N	N
工場	廠	工場	廠	N	N
工場	工廠	工場	工廠	N	N
相手	對手	相手	對手	N	N
戦闘	作戰	戦闘	作戰	V	V
労働	勞工	労働	勞工	N	N
労働	勞力	労働	勞力	N	N
労働	勞工	労働	勞工	N	N
限定	受限	限定	受限	V	V
データ	資料	データ	資料	N	N
作戦	手術	作戦	手術	N	N
作戦	行動	作戦	行動	N	N
可能性	可能	可能性	可能	N	N
可能性	可能	可能性	可能	N	N
可能性	可能	可能性	可能	N	N
種類	型態	種類	型態	N	N
種類	類型	種類	類型	N	N
種類	類型	種類	類型	N	N
文字	字元	文字	字元	N	N
文字	人物	文字	人物	N	N
文字	角色	文字	角色	N	N
文字	性格	文字	性格	N	N
文字	品格	文字	品格	N	N
文字	字元	文字	字元	N	N
文字	角色	文字	角色	N	N
大統領	總統	大統領	總統	N	N
大統領	主席	大統領	主席	N	N
協力	合作	協力	合作	V	V
指導	指導	指導	指導	V	V
判断	判斷	判断	判斷	V	V
判断	判斷	判断	判斷	V	V
判断	判斷	判断	判斷	V	V
判断	判斷	判断	判斷	V	V
連邦	聯邦	連邦	聯邦	N	N
ネット	網	ネット	網	N	N
ネット	籃網	ネット	籃網	N	N
ネット	漁網	ネット	漁網	N	N
ネット	蚊帳	ネット	蚊帳	N	N
共和国	共和	共和国	共和	N	N
共和国	共和	共和国	共和	N	N
引退	退休	引退	退休	V	V
引退	退休	引退	退休	V	V
引退	退役	引退	退役	V	V
部門	部門	部門	部門	N	N
産業	工業	産業	工業	N	N
産業	產業	産業	產業	N	N
産業	行業	産業	行業	N	N
産業	業界	産業	業界	N	N
決勝	決賽	決勝	決賽	N	N
系統	世系	系統	世系	N	N
系統	血統	系統	血統	N	N
誕生	出生	誕生	出生	V	V
指揮	命令	指揮	命令	V	V
指揮	指揮	指揮	指揮	V	V
レース	比賽	レース	比賽	N	N
レース	賽	レース	賽	N	N
レース	種族	レース	種族	N	N
レース	競賽	レース	競賽	N	N
レース	賽車	レース	賽車	N	N
レース	蕾絲	レース	蕾絲	N	N
レース	花邊	レース	花邊	N	N
郵便	郵件	郵便	郵件	N	N
郵便	郵寄	郵便	郵寄	N	N
郵便	信件	郵便	信件	N	N
項目	條目	項目	條目	N	N
カップ	杯子	カップ	杯子	N	N
カップ	盃	カップ	盃	N	N
カップ	杯	カップ	杯	N	N
カップ	杯子	カップ	杯子	N	N
移転	轉帳	移転	轉帳	V	V
移転	轉讓	移転	轉讓	V	V
移転	轉移	移転	轉移	V	V
移転	搬遷	移転	搬遷	V	V
移転	遷移	移転	遷移	V	V
ほぼ	幾乎	ほぼ	幾乎	ADV	ADV
交差点	路口	交差点	路口	N	N
イベント	事件	イベント	事件	N	N
イベント	活動	イベント	活動	N	N
イベント	事件	イベント	事件	N	N
イベント	活動	イベント	活動	N	N
出典	來源	出典	來源	N	N
出典	來源	出典	來源	N	N
ほとんど	幾乎	ほとんど	幾乎	ADV	ADV
重要	重要	重要	重要	ADJ	ADJ
プロジェクト	項目	プロジェクト	項目	N	N
プロジェクト	項目	プロジェクト	項目	N	N
電車	火車	電車	火車	N	N
電車	列車	電車	列車	N	N
電車	火車	電車	火車	N	N
電車	列車	電車	列車	N	N
建築	結構	建築	結構	N	N
建築	架構	建築	架構	N	N
建築	建築	建築	建築	N	N
クラス	類別	クラス	類別	N	N
クラス	班級	クラス	班級	N	N
クラス	階級	クラス	階級	N	N
クラス	類	クラス	類	N	N
クラス	類別	クラス	類別	N	N
クラス	課堂	クラス	課堂	N	N
クラス	班級	クラス	班級	N	N
普通	普通	普通	普通	ADJ	ADJ
舞台	階段	舞台	階段	N	N
舞台	舞台	舞台	舞台	N	N
舞台	階段	舞台	階段	N	N
意見	意見	意見	意見	N	N
意見	意見	意見	意見	N	N
再び	再次	再び	再次	ADV	ADV
発見	發現	発見	發現	V	V
発見	探索	発見	探索	V	V
発見	發現	発見	發現	V	V
発見	探索	発見	探索	V	V
保護	保護	保護	保護	V	V
保護	保護	保護	保護	V	V
保護	保護	保護	保護	V	V
少女	女生	少女	女生	N	N
少女	姑娘	少女	姑娘	N	N
少女	女孩	少女	女孩	N	N
試験	考試	試験	考試	N	N
試験	考試	試験	考試	N	N
試験	考試	試験	考試	N	N
作家	作者	作家	作者	N	N
作家	作家	作家	作家	N	N
作家	作者	作家	作者	N	N
作家	編劇	作家	編劇	N	N
作家	作家	作家	作家	N	N
作家	作者	作家	作者	N	N
作家	作者	作家	作者	N	N
地球	大地	地球	大地	N	N
方法	方法	方法	方法	N	N
方法	辦法	方法	辦法	N	N
方法	方式	方法	方式	N	N
特徴	特徵	特徴	特徵	N	N
特徴	特性	特徴	特性	N	N
特徴	特點	特徴	特點	N	N
特徴	功能	特徴	功能	N	N
特徴	特色	特徴	特色	N	N
特徴	特徵	特徴	特徵	N	N
特徴	特點	特徴	特點	N	N
特徴	功能	特徴	功能	N	N
特徴	特色	特徴	特色	N	N
特徴	特徵	特徴	特徵	N	N
特徴	特性	特徴	特性	N	N
特徴	特點	特徴	特點	N	N
特徴	特徵	特徴	特徵	N	N
ベース	基地	ベース	基地	N	N
