jako	जैसे	jako	जैसे	CONJ	CONJ
obyvatel	निवासी	obyvatel	निवासी	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
bar	पट्टी	bar	पट्टी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
bar	बार	bar	बार	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
text	पाठ	text	पाठ	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
text	टेक्स्ट	text	टेक्स्ट	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
město	बस्ती	město	बस्ती	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
město	नगर	město	नगर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
město	कस्बा	město	कस्बा	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
město	शहर	město	शहर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
město	सिटी	město	सिटी	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
město	नगर	město	नगर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
související	संबंधित	související	संबंधित	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ
související	सम्बन्धित	související	संबन्धित	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ
poté	बाद	poté	बाद	ADV	ADV;NOM;MASC;SG;3
název	नाम	název	नाम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
název	शीर्षक	název	शीर्षक	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
úmrtí	निधन	úmrtí	निधन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
úmrtí	मृत्यु	úmrtí	मृत्यु	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
úmrtí	मौत	úmrtí	मौत	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
úmrtí	fatalities	úmrtí	fatalities	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
dva	दो	dva	दो	NUM;NOM;MASC;PL	NUM
seznam	सूची	seznam	सूची	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
několik	कई	několik	कई	DET;NOM	DET
několik	अनेक	několik	अनेक	DET;NOM	DET
datum	तारीख	datum	तारीख	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
datum	तारीख़	datum	तारीख़	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
datum	दिनांक	datum	दिनांक	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
datum	तिथि	datum	तिथि	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
období	अवधि	období	अवधि	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
období	काल	období	काल	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
období	अवधि	období	अवधि	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
protože	क्योंकि	protože	क्योंकि	CONJ	CONJ
roky	सालों	rok	साल	N;INAN;NOM;MASC;PL;POS	N;NOM;MASC;PL;3
roky	वर्षों	rok	वर्ष	N;INAN;NOM;MASC;PL;POS	N;NOM;MASC;PL;3
diskuse	परिचर्चा	diskuse	परिचर्चा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
diskuse	चर्चा	diskuse	चर्चा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
diskuse	बहस	diskuse	बहस	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
druhé	दूसरा	druhý	दूसरा	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
druhé	दूसरी	druhý	दूसरा	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
jeden	एक	jeden	एक	NUM;NOM;MASC;SG	NUM
soubor	फाइल	soubor	फाइल	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
soubor	फ़ाइल	soubor	फााइल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
soubor	संचिका	soubor	संचिका	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
tři	तीन	tři	तीन	NUM;NOM;PL	NUM
kostel	गिरजाघर	kostel	गिरजाघर	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
kostel	चर्च	kostel	चर्च	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
kostel	गिरिजाघर	kostel	गिरिजाघर	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
počet	संख्या	počet	संख्या	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
počet	नंबर	počet	नंबर	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
často	अक्सर	často	अक्सर	ADV;POS	ADV
často	अक्सर	často	अक्सर	ADV;POS	ADV
často	प्रायः	často	प्रायः	ADV;POS	ADV
stránky	साइटें	stránka	साइट	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
stránky	साइटें	stránka	साइट	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
stránky	साइट्स	stránka	साइट	N;NOM;FEM;PL;POS	N;NOM;MASC;PL;3
oficiální	सरकारी	oficiální	सरकारी	ADJ;NOM;MASC;SG;POS	ADJ;NOM
oficiální	आधिकारिक	oficiální	आधिकारिक	ADJ;NOM;MASC;SG;POS	ADJ
album	एलबम	album	एलबम	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
zejména	विशेषकर	zejména	विशेषकर	ADV	ADV
dvě	दो	dva	दो	NUM;NOM;PL	NUM
jméno	नाम	jméno	नाम	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
rok	वर्ष	rok	वर्ष	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
rok	साल	rok	साल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
obec	कम्यून	obec	कम्यून	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
obec	नगरपालिका	obec	नगरपालिका	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
obec	समुदाय	obec	समुदाय	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
bude	होगी	být	हो	V;IND;SG;3;POS;FUT;FIN;ACT	V;FEM;IND;SG;3;FUT;FIN;ACT
bude	करेगा	být	कर	V;IND;SG;3;POS;FUT;FIN;ACT	V;MASC;IND;SG;3;FUT;FIN;ACT
bude	करेगी	být	कर	V;IND;SG;3;POS;FUT;FIN;ACT	V;FEM;IND;SG;3;FUT;FIN;ACT
bude	होगा	být	हो	V;IND;SG;3;POS;FUT;FIN;ACT	V;MASC;IND;SG;3;FUT;FIN;ACT
velké	बड़े	velký	बडा	ADJ;NOM;MASC;PL;POS	ADJ;NOM;MASC;PL
velké	विशाल	velký	विशाल	ADJ;NOM;MASC;PL;POS	ADJ;NOM
velké	बड़े	velký	बडा	ADJ;NOM;MASC;PL;POS	ADJ;NOM;MASC;PL
země	देश	země	देश	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
země	देशो	země	देशो	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
země	देश	země	देश	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
země	भूमि	země	भूमि	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
země	जमीन	země	जमीन	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
země	ग्राउंड	země	ग्राउंड	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
země	जमीन	země	जमीन	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
země	मैदान	země	मैदान	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
země	धरती	země	धरती	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
mistrovství	चैम्पियनशिप	mistrovství	चैम्पियनशिप	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
mistrovství	चैंपियनशिप	mistrovství	चैंपियनशिप	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
http	http	http	http	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
film	चलचित्र	film	चलचित्र	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
film	फ़िल्म	film	फ़िल्म	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
film	मूवी	film	मूवी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
film	फ़िल्म	film	फ़िल्म	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
strany	पार्टियाँ	strana	पार्टी	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
jiné	अलग	jiný	अलग	ADJ;NOM;NEUT;SG;POS	ADJ
poslední	अंतिम	poslední	अंतिम	ADJ;NOM;MASC;SG;POS	ADJ;NOM
poslední	आखिरी	poslední	आखिरी	ADJ;NOM;MASC;SG;POS	ADJ
poslední	पिछला	poslední	पिछला	ADJ;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
narození	जन्म	narození	जन्म	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
americký	अमरीकी	americký	अमरीकी	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
okres	लैन	okres	लैन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
okres	जिला	okres	जिला	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
okres	डिस्ट्रिक्ट	okres	डिस्ट्रिक्ट	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
okres	ज़िला	okres	ज़िला	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
článek	लेख	článek	लेख	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
článek	आलेख	článek	आलेख	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
spolu	साथ	spolu	साथ	ADV	ADV;NOM;MASC;SG;3
společnosti	कंपनियाँ	společnost	कंपनी	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
vlastní	अनुकूलित	vlastní	अनुकूलित	ADJ;NOM;MASC;SG;POS	ADJ
skupina	ग्रुप	skupina	ग्रुप	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
skupina	समूह	skupina	समूह	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
některé	कुछ	některý	कुछ	DET;NOM;MASC;PL	DET
klub	क्लब	klub	क्लब	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
několika	कई	několik	कई	DET;INS	DET
několika	अनेक	několik	अनेक	DET;INS	DET
strana	दल	strana	दल	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
strana	पार्टी	strana	पार्टी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
strana	पृष्ठ	strana	पृष्ठ	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
strana	पेज	strana	पेज	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
strana	पक्ष	strana	पक्ष	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
práce	नौकरी	práce	नौकरी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
práce	कार्य	práce	कार्य	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
práce	जॉब	práce	जॉब	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
práce	कार्यालय	práce	कार्यालय	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
práce	काम	práce	काम	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
práce	कार्य	práce	कार्य	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
mnoho	कई	mnoho	कई	DET;NOM	DET
mnoho	अनेक	mnoho	अनेक	DET;NOM	DET
nakonec	अंततः	nakonec	अंततः	ADV	ADV
nakonec	आखिरकार	nakonec	आखिरकार	ADV	ADV
nakonec	आखिरकार	nakonec	आखिरकार	ADV	ADV
politik	राजनीतिज्ञ	politik	राजनीतिज्ञ	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
web	वेबसाइट	web	वेबसाइट	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
web	जालस्थल	web	जालस्थल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
web	वेब	web	वेब	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
původní	असली	původní	असली	ADJ;NOM;MASC;SG;POS	ADJ;NOM
nejlepší	बेहतरीन	dobrý	बेहतरीन	ADJ;NOM;RL;MASC;SG;POS	ADJ
společnost	सोसायटी	společnost	सोसायटी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
společnost	समाज	společnost	समाज	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
společnost	कंपनी	společnost	कंपनी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
společnost	कम्पनी	společnost	कम्पनी	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
číslo	संख्या	číslo	संख्या	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
číslo	नंबर	číslo	नंबर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
nový	नया	nový	नया	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
nový	नई	nový	नया	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
reprezentace	प्रतिनिधित्व	reprezentace	प्रतिनिधित्व	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
život	जिंदगी	život	जिंदगी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
život	ज़िन्दगी	život	ज़िन्दगी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
život	ज़िंदगी	život	ज़िंदगी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
život	जिन्दगी	život	जिन्दगी	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
život	जीवन	život	जीवन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
titul	शीर्षक	titul	शीर्षक	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
různých	विभिन्न	různý	विभिन्न	ADJ;GEN;MASC;PL;POS	ADJ
vesnice	गांव	vesnice	गाँव	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
systém	तंत्र	systém	तंत्र	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
systém	सिस्टम	systém	सिस्टम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
systém	तन्त्र	systém	तन्त्र	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
systém	प्रणाली	systém	प्रणाली	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
třetí	तीसरा	třetí	तीसरा	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
umění	कला	umění	कला	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
umění	कला	umění	कला	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
umění	आर्ट	umění	आर्ट	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
možné	संभव	možný	संभव	ADJ;NOM;NEUT;SG;POS	ADJ
verze	वर्जन	verze	वर्जन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
verze	संस्करण	verze	संस्करण	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
verze	संस्करण	verze	संस्करण	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
vlády	सरकारें	vláda	सरकार	N;NOM;FEM;PL;POS	N;NOM;FEM;PL;3
den	दिवस	den	दिवस	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
den	दिन	den	दिन	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
království	हुकूमत	království	हुकूमत	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
celé	पूरी	celý	पूरा	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;FEM;SG
celé	पूरा	celý	पूरा	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;MASC;SG
kolo	पहिया	kolo	पहिया	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kolo	चक्र	kolo	चक्र	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kolo	व्हील	kolo	व्हील	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kolo	बाइक	kolo	बाइक	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
kolo	साइकिल	kolo	साइकिल	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
kolo	दौर	kolo	दौर	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kolo	गोल	kolo	गोल	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kolo	राउंड	kolo	राउंड	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kolo	गोलाकार	kolo	गोलाकार	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
spisovatel	रचनाकार	spisovatel	रचनाकार	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
spisovatel	लेखक	spisovatel	लेखक	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
stanice	स्टेशन	stanice	स्टेशन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
stanice	स्टेशन	stanice	स्टेशन	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
stát	अवस्था	stát	अवस्था	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
stát	स्टेट	stát	स्टेट	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
stát	स्थिति	stát	स्थिति	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
stát	राज्य	stát	राज्य	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
stát	स्टैंड	stát	स्टैंड	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
větší	बड़ा	velký	बड़ा	ADJ;NOM;CMPR;MASC;SG;POS	ADJ;NOM;MASC;SG
větší	बड़ा	velký	बड़ा	ADJ;NOM;CMPR;MASC;SG;POS	ADJ;NOM;MASC;SG
čtyři	चार	čtyři	चार	NUM;NOM;PL	NUM
společně	साथ	společně	साथ	ADV;POS	ADV;NOM;MASC;SG;3
označení	नामांकन	označení	नामांकन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
označení	टैग	označení	टैग	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
označení	लेबल	označení	लेबल	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
označení	टैग	označení	टैग	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
tým	टीम	tým	टीम	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
tým	टोली	tým	टोली	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
stadion	स्टेडियम	stadión	स्टेडियम	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
soutěž	प्रतिस्पर्धा	soutěž	प्रतिस्पर्धा	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
soutěž	प्रतियोगिता	soutěž	प्रतियोगिता	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
soutěž	प्रतियोगिता	soutěž	प्रतियोगिता	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
král	राजा	král	राजा	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
král	बादशाह	král	बादशाह	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
obvykle	प्रायः	obvykle	प्रायः	ADV;POS	ADV
obvykle	सामान्यतः	obvykle	सामान्यतः	ADV;POS	ADV
horní	ऊपरी	horní	ऊपरी	ADJ;NOM;MASC;SG;POS	ADJ;NOM
režie	निर्देशक	režie	निर्देशक	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
režie	निदेशक	režie	निदेशक	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
postupně	धीरे	postupně	धीरे	ADV;POS	ADV
report	रिपोर्ट	report	रिपोर्ट	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
report	रपट	report	रपट	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
okolí	परिवेश	okolí	परिवेश	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
okolí	पड़ोस	okolí	पड़ोस	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
okolí	निकटवर्ती	okolí	निकटवर्ती	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
většinou	प्रायः	většinou	प्रायः	ADV	ADV
většinou	अधिकांशतः	většinou	अधिकांशतः	ADV	ADV
délka	लम्बाई	délka	लम्बाई	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
délka	लंबाई	délka	लंबाई	N;NOM;FEM;SG;POS	N;NOM;FEM;SG;3
délka	देशांतर	délka	देशांतर	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
typ	प्रकार	typ	प्रकार	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
dříve	पहले	brzy	पहले	ADV;CMPR;POS	ADV;NOM;MASC;SG;3
syn	बेटा	syn	बेटा	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
syn	पुत्र	syn	पुत्र	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
syn	बेटे	syn	बेटा	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
množství	मात्रा	množství	मात्रा	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
množství	राशि	množství	राशि	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
množství	मात्रा	množství	मात्रा	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
rozhodčí	रेफरी	rozhodčí	रेफरी	N;ANIM;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
rozhodčí	संदर्भ	rozhodčí	संदर्भ	N;ANIM;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
mnoha	कई	mnoho	कई	DET;INS	DET
mnoha	अनेक	mnoho	अनेक	DET;INS	DET
historie	इतिहास	historie	इतिहास	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
místní	स्थानीय	místní	स्थानीय	ADJ;NOM;MASC;SG;POS	ADJ;NOM
místní	स्थानीय	místní	स्थानीय	ADJ;NOM;MASC;SG;POS	ADJ;NOM
přímo	सीधे	přímo	सीधे	ADV;POS	ADV
přímo	सीधे	přímo	सीधे	ADV;POS	ADV
většina	बहुमत	většina	बहुमत	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
přírodní	स्वाभाविक	přírodní	स्वाभाविक	ADJ;NOM;MASC;PL;POS	ADJ
narodil	जन्मे	narodit	जन्मा	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;IND;SG;3;FIN;ACT
profil	रूपरेखा	profil	रूपरेखा	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
profil	प्रोफाइल	profil	प्रोफाइल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
profil	प्रोफ़ाइल	profil	प्रोफ़ाइल	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
oblast	क्षेत्र	oblast	क्षेत्र	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
oblast	प्रदेश	oblast	प्रदेश	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
oblast	क्षेत्र	oblast	क्षेत्र	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
oblast	क्षेत्रफल	oblast	क्षेत्रफल	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
jednou	एकबार	jednou	एकबार	ADV	ADV
prostředí	वातावरण	prostředí	वातावरण	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
prostředí	परिवेश	prostředí	परिवेश	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
prostředí	एनवायरनमेंट	prostředí	एनवायरनमेंट	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
prostředí	पर्यावरण	prostředí	पर्यावरण	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
kraj	क्षेत्र	kraj	क्षेत्र	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
kraj	प्रदेश	kraj	प्रदेश	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
kraj	शायर	kraj	शायर	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG;3
říše	फ्रेम	říše	फ्रेम	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
říše	साम्राज्य	říše	साम्राज्य	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
západní	पश्चिमी	západní	पश्चिमी	ADJ;NOM;MASC;SG;POS	ADJ
velký	बड़ा	velký	बड़ा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
velký	बड़ी	velký	बडा	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
velký	विशाल	velký	विशाल	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM
