med	साथ	med	साथ	ADV	ADV;NOM;MASC;SG;3
skulle	चाहिए	skulle	चाहिए	V;IND;PST;FIN;ACT	V;ACT
tre	तीन	tre	तीन	NUM	NUM
byen	बस्ती	by	बस्ती	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
byen	नगर	by	नगर	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
byen	कस्बा	by	कस्बा	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
byen	शहर	by	शहर	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
byen	सिटी	by	सिटी	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
byen	नगर	by	नगर	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	दिवस	dag	दिवस	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	दिन	dag	दिन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
tilbage	पीछे	tilbage	पीछे	ADV	ADV;NOM;MASC;SG;3
kommune	कम्यून	kommune	कम्यून	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kommune	नगरपालिका	kommune	नगरपालिका	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
død	निधन	død	निधन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
død	मृत्यु	død	मृत्यु	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
død	मौत	død	मौत	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
død	मुर्दे	død	मुर्दा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gang	वक़्त	gang	वक़्त	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gang	वक्त	gang	वक्त	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gang	समय	gang	समय	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forskellige	अलग	forskellig	अलग	ADJ;PL	ADJ
forskellige	विभिन्न	forskellig	विभिन्न	ADJ;PL	ADJ
tid	वक़्त	tid	वक़्त	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
tid	वक्त	tid	वक्त	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
tid	समय	tid	समय	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stor	बड़ा	stor	बड़ा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	बड़ी	stor	बडा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	विशाल	stor	विशाल	ADJ;INDF;MASC+FEM;SG	ADJ;NOM
stor	बड़ा	stor	बड़ा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	बड़ी	stor	बडा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	महान	stor	महान	ADJ;INDF;MASC+FEM;SG	ADJ
stor	बड़ा	stor	बड़ा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
hold	पकड़ो	holde	पकड़	V;IMP	V;SG;FIN;ACT
hold	थाम	holde	थाम	V;IMP	V;SG;FIN;ACT
kendt	मशहूर	kendt	मशहूर	ADJ;INDF;SG	ADJ
kendt	प्रसिद्ध	kendt	प्रसिद्ध	ADJ;INDF;SG	ADJ
før	पहले	før	पहले	ADV	ADV;NOM;MASC;SG;3
marts	कूच	marts	कूच	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
hele	पूरी	hel	पूरा	ADJ;DEF;SG	ADJ;NOM;FEM;SG
hele	पूरा	hel	पूरा	ADJ;DEF;SG	ADJ;NOM;MASC;SG
kirke	गिरजाघर	kirke	गिरजाघर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kirke	चर्च	kirke	चर्च	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kirke	गिरिजाघर	kirke	गिरिजाघर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
række	पंक्ति	række	पंक्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
række	पंक्ति	række	पंक्ति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
navn	नाम	navn	नाम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
ofte	अक्सर	ofte	अक्सर	ADV	ADV
ofte	अक्सर	ofte	अक्सर	ADV	ADV
ofte	प्रायः	ofte	प्रायः	ADV	ADV
ville	होता	ville	हो	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
først	पहले	først	पहले	ADV	ADV;NOM;MASC;SG;3
mål	टार्गेट	mål	टार्गेट	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	टारगेट	mål	टारगेट	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	लक्ष्य	mål	लक्ष्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	निशाना	mål	निशाना	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	उद्देश्य	mål	उद्देश्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	लक्ष्य	mål	लक्ष्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	उद्देश्य	mål	उद्देश्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	लक्ष्य	mål	लक्ष्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	गोल	mål	गोल	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	ध्येय	mål	ध्येय	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	लक्ष्य	mål	लक्ष्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
film	फिल्में	film	फिल्म	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
film	फ़िल्में	film	फ़िल्म	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL;3
film	फिल्मों	film	फिल्म	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL;3
sidste	अंतिम	sidste	अंतिम	ADJ	ADJ;NOM
sidste	आखिरी	sidste	आखिरी	ADJ	ADJ
sidste	पिछला	sidste	पिछला	ADJ	ADJ;NOM;MASC;SG
gik	गए	gå	जा	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP;ACT
gik	गये	gå	जा	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP;ACT
gik	गया	gå	जा	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
gik	गई	gå	जा	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
fire	चार	fire	चार	NUM	NUM
vandt	जीता	vinde	जीत	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
vandt	जीते	vinde	जीत	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
vandt	जीती	vinde	जीत	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
inden	पहले	inden	पहले	ADV	ADV;NOM;MASC;SG;3
frem	आगे	frem	आगे	ADV	ADV;NOM;MASC;SG;3
hjemmeside	वेबसाइट	hjemmeside	वेबसाइट	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
hjemmeside	जालस्थल	hjemmeside	जालस्थल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
hjemmeside	होमपेज	hjemmeside	होमपेज	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
side	पृष्ठ	side	पृष्ठ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
side	पेज	side	पेज	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
side	पक्ष	side	पक्ष	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
større	बड़ा	stor	बड़ा	ADJ;CMPR	ADJ;NOM;MASC;SG
større	बड़ा	stor	बड़ा	ADJ;CMPR	ADJ;NOM;MASC;SG
spillede	निभाई	spille	निभा	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
søn	बेटा	søn	बेटा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
søn	पुत्र	søn	पुत्र	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
søn	बेटे	søn	बेटा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
grund	कारण	grund	कारण	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
amerikansk	अमरीकी	amerikansk	अमरीकी	ADJ;INDF;SG	ADJ
lille	छोटा	lille	छोटा	ADJ;SG	ADJ;NOM;MASC;SG
lille	छोटी	lille	छोटा	ADJ;SG	ADJ;FEM;SG
lille	छोटा	lille	छोटा	ADJ;SG	ADJ;NOM;MASC;SG
lille	छोटी	lille	छोटा	ADJ;SG	ADJ;FEM;SG
kort	छोटा	kort	छोटा	ADJ;INDF;SG	ADJ;NOM;MASC;SG
kort	छोटी	kort	छोटा	ADJ;INDF;SG	ADJ;FEM;SG
gamle	पुराने	gammel	पुराना	ADJ;PL	ADJ;MASC;PL
bedste	बेहतरीन	god	बेहतरीन	ADJ;DEF;RL	ADJ
amerikanske	अमरीकी	amerikansk	अमरीकी	ADJ;PL	ADJ
gruppe	ग्रुप	gruppe	ग्रुप	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gruppe	समूह	gruppe	समूह	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stedet	जगह	sted	जगह	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
stedet	स्थान	sted	स्थान	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
stedet	प्लेस	sted	प्लेस	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
lige	सीधे	lige	सीधे	ADV	ADV
spillet	निभाई	spille	निभा	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
forbindelse	कनेक्शन	forbindelse	कनेक्शन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
historie	कहानी	historie	कहानी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
historie	स्टोरी	historie	स्टोरी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
historie	इतिहास	historie	इतिहास	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
århundrede	शतक	århundrede	शतक	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
århundrede	शताब्दी	århundrede	शताब्दी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
sted	जगह	sted	जगह	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
sted	स्थान	sted	स्थान	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
sted	प्लेस	sted	प्लेस	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
sted	लोकेशन	sted	लोकेशन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
sted	अवस्थिति	sted	अवस्थिति	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
sted	स्थान	sted	स्थान	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forhold	संबंध	forhold	संबंध	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forhold	रिश्ता	forhold	रिश्ता	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
forhold	संबंध	forhold	संबंध	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
kommer	आता	komme	आ	V;IND;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
især	विशेषकर	især	विशेषकर	ADV	ADV
især	विशेषकर	især	विशेषकर	ADV	ADV
kampe	लड़ाइयों	kamp	लड़ाई	N;INDF;MASC+FEM;PL	N;ACC;FEM;PL;3
går	चलना	gå	चल	V;IND;PRS;FIN;ACT	V;MASC;NFIN;ACT
går	चलता	gå	चल	V;IND;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
fordi	क्योंकि	fordi	क्योंकि	CONJ	CONJ
skrevet	लिखी	skrive	लिख	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
skrevet	लिखा	skrive	लिख	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
ned	नीचे	ned	नीचे	ADV	ADV;NOM;MASC;SG;3
form	आकृति	form	आकृति	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
form	आकार	form	आकार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
form	प्रपत्र	form	प्रपत्र	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
form	फॉर्म	form	फॉर्म	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
form	फार्म	form	फार्म	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
form	रूप	form	रूप	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
gjorde	किया	gøre	कर	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
arbejde	कार्यालय	arbejde	कार्यालय	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
arbejde	काम	arbejde	काम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
arbejde	कार्य	arbejde	कार्य	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	देश	land	देश	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	भूमि	land	भूमि	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
land	जमीन	land	जमीन	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
landet	देश	land	देश	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
børn	बच्चों	barn	बच्चा	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
børn	बच्चे	barn	बच्चा	N;INDF;NEUT;PL	N;NOM;MASC;PL;3
http	http	http	http	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
verden	दुनिया	verden	दुनिया	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
verden	विश्व	verden	विश्व	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
verden	संसार	verden	संसार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lang	लंबी	lang	लंबा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
lang	लंबा	lang	लंबा	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
lang	लम्बी	lang	लंबा	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
plads	सीट	plads	सीट	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
plads	जगह	plads	जगह	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
plads	स्थान	plads	स्थान	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plads	प्लेस	plads	प्लेस	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
plads	अंतरिक्ष	plads	अंतरिक्ष	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plads	जगह	plads	जगह	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
plads	स्पेस	plads	स्पेस	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
stort	बड़ा	stor	बड़ा	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
stort	बड़ी	stor	बडा	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
stort	विशाल	stor	विशाल	ADJ;INDF;NEUT;SG	ADJ;NOM
stort	बड़ा	stor	बड़ा	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;SG
stort	बड़ी	stor	बडा	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
derefter	फिर	derefter	फिर	ADV	ADV
sprog	भाषा	sprog	भाषा	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
sprog	भाषा	sprog	भाषा	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
set	देखा	se	देख	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
set	देखी	se	देख	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
set	देखा	se	देख	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
set	देखी	se	देख	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
gav	दी	give	दे	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
gav	दिया	give	दे	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
mand	पुरुष	mand	पुरुष	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	नर	mand	नर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	पुरूष	mand	पुरूष	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	पति	mand	पति	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	husband	mand	husband	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	पुरुष	mand	पुरुष	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	मनुष्य	mand	मनुष्य	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	आदमी	mand	आदमी	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mand	इन्सान	mand	इन्सान	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
medlemmer	सदस्य	medlem	सदस्य	N;INDF;NEUT;PL	N;NOM;MASC;PL;3
medlemmer	सदस्यों	medlem	सदस्य	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
brug	उपयोग	brug	उपयोग	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lande	देशों	land	देश	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
bygget	बनवाया	bygge	बन	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
bygget	बनवाई	bygge	बन	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
skuespiller	अदाकारा	skuespiller	अदाकारा	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
skuespiller	अभिनेत्री	skuespiller	अभिनेत्री	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
skuespiller	अभिनेता	skuespiller	अभिनेता	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
skuespiller	एक्टर	skuespiller	एक्टर	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
skuespiller	कर्ता	skuespiller	कर्ता	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
liv	जिंदगी	liv	जिंदगी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
liv	ज़िन्दगी	liv	ज़िन्दगी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
liv	ज़िंदगी	liv	ज़िंदगी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
liv	जिन्दगी	liv	जिन्दगी	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
liv	जीवन	liv	जीवन	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
fem	पांच	fem	पांच	NUM	NUM
fem	पाँच	fem	पाँच	NUM	NUM
personer	व्यक्तियों	person	व्यक्ति	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
personer	लोग	person	लोग	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL;3
personer	लोगों	person	लोग	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
forfatter	रचनाकार	forfatter	रचनाकार	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forfatter	लेखक	forfatter	लेखक	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forfatter	रचयिता	forfatter	रचयिता	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
forfatter	लेखक	forfatter	लेखक	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
album	एलबम	album	एलबम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
album	एलबम	album	एलबम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
areal	क्षेत्र	areal	क्षेत्र	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
areal	क्षेत्रफल	areal	क्षेत्रफल	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
giver	देता	give	दे	V;IND;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
giver	दे	give	दे	V;IND;PRS;FIN;ACT	V;FIN;ACT
nuværende	मौजूद	nuværende	मौजूद	ADJ	ADJ
nuværende	उपस्थित	nuværende	उपस्थित	ADJ	ADJ
indbyggere	निवासियों	indbygger	निवासी	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
indbyggere	निवासियों	indbygger	निवासी	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL;3
gør	करता	gøre	कर	V;IND;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
mennesker	मनुष्यों	menneske	मनुष्य	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
mennesker	लोग	menneske	लोग	N;INDF;NEUT;PL	N;NOM;MASC;PL;3
mennesker	लोगों	menneske	लोग	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
skrev	लिखा	skrive	लिख	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
datter	बेटी	datter	बेटी	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
område	फील्ड	område	फील्ड	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
område	फ़ील्ड	område	फ़ील्ड	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
område	क्षेत्र	område	क्षेत्र	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
område	क्षेत्रफल	område	क्षेत्रफल	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
året	वर्ष	år	वर्ष	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
året	साल	år	साल	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
franske	फ्रांसीसी	fransk	फ्रांसीसी	ADJ;PL	ADJ;NOM
slaget	लड़ाई	slag	लड़ाई	N;DEF;NEUT;SG	N;NOM;FEM;SG;3
slaget	युद्ध	slag	युद्ध	N;DEF;NEUT;SG	N;NOM;MASC;SG;3
måde	तरीका	måde	तरीका	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
måde	राह	måde	राह	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
måde	मार्ग	måde	मार्ग	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
måde	रास्ते	måde	रास्ता	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
måde	रास्ता	måde	रास्ता	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udgave	संस्करण	udgave	संस्करण	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udgave	वर्जन	udgave	वर्जन	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
udgave	संस्करण	udgave	संस्करण	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
fransk	फ्रांसीसी	fransk	फ्रांसीसी	ADJ;INDF;SG	ADJ;NOM
folk	लोग	folk	लोग	N;INDF;NEUT;PL	N;NOM;MASC;PL;3
folk	लोगों	folk	लोग	N;INDF;NEUT;PL	N;ACC;MASC;PL;3
far	पिताजी	far	पिताजी	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
far	पिताजी	far	पिताजी	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
far	बाप	far	बाप	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
far	पिता	far	पिता	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
liste	सूची	liste	सूची	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kamp	झगडा	kamp	झगडा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kamp	लड़ाई	kamp	लड़ाई	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kamp	गेम	kamp	गेम	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kamp	खेल	kamp	खेल	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kamp	संघर्ष	kamp	संघर्ष	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kamp	लड़ाई	kamp	लड़ाई	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kamp	युद्ध	kamp	युद्ध	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
eksempel	उदाहरण	eksempel	उदाहरण	N;INDF;NEUT;SG	N;NOM;MASC;SG;3
langt	दूर	langt	दूर	ADV	ADV;NOM;MASC;SG;3
tiden	वक़्त	tid	वक़्त	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
tiden	वक्त	tid	वक्त	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
