서식	التنسيق	서식	تَنسِيق	N	N;NOM;DEF;SG
매뉴얼	دليل	매뉴얼	دَلِيل	N	N;NOM;INDF;SG
매뉴얼	الدليل	매뉴얼	دَلِيل	N	N;NOM;DEF;SG
안전성	السلامة	안전성	سَلَامَة	N	N;NOM;DEF;SG
안전성	سلامة	안전성	سَلَامَة	N	N;NOM;INDF;SG
안전성	الامان	안전성	أَمَان	N	N;NOM;DEF;SG
예매	حجز	예매	حَجز	N	N;NOM;INDF;SG
예매	جز	예매	جز	N	N;NOM;INDF;SG
예매	الحجز	예매	حَجز	N	N;NOM;DEF;SG
향수	عطور	향수	عَطَوِرّ	N	N;NOM;INDF;PL
향수	الحنين	향수	الحنين	N	N;NOM;DEF;SG
향수	العطور	향수	عَطَوِرّ	N	N;NOM;DEF;PL
향수	العطر	향수	عَطَر	N	N;NOM;DEF;SG
국민투표	استفتاء	국민투표	اِستِفتَاء	N	N;NOM;INDF;SG
국민투표	الاستفتاء	국민투표	اِستِفتَاء	N	N;NOM;DEF;SG
술집	حانات	술집	حَانَة	N	N;NOM;INDF;PL
술집	الحانات	술집	حَانَة	N	N;NOM;DEF;PL
술집	الحانة	술집	حَانَة	N	N;NOM;DEF;SG
술집	حانة	술집	حَانَة	N	N;NOM;INDF;SG
부관	النائب	부관	نَائِب	N	N;NOM;DEF;SG
부관	نائب	부관	نَائِب	N	N;NOM;INDF;SG
신탁	الثقة	신탁	ثِقَة	N	N;NOM;DEF;SG
신탁	ثقة	신탁	ثِقَة	N	N;NOM;INDF;SG
칙령	المرسوم	칙령	مَرسُوم	N	N;NOM;DEF;SG
칙령	مرسوم	칙령	مرسوم	N	N;NOM;INDF;SG
상어	القروش	상어	قِرش	N	N;NOM;DEF;PL
상어	قرش	상어	قِرش	N	N;NOM;INDF;SG
상어	القرش	상어	قَرش	N	N;NOM;DEF;SG
근로자	العمال	근로자	عَامِل	N	N;NOM;DEF;PL
근로자	العاملون	근로자	عَامِل	N	N;NOM;DEF;PL
근로자	عمال	근로자	عَامِل	N	N;NOM;INDF;PL
근로자	العامل	근로자	عَامِل	N	N;NOM;DEF;SG
근로자	عامل	근로자	عَامِل	N	N;NOM;INDF;SG
응답	الردود	응답	رَدّ	N	N;NOM;DEF;PL
응답	الاستجابات	응답	اِستِجَابَة	N	N;NOM;DEF;PL
응답	استجابات	응답	اِستِجَابَة	N	N;NOM;INDF;PL
응답	ردود	응답	رَدّ	N	N;NOM;INDF;PL
응답	الردود	응답	رَدّ	N	N;NOM;DEF;PL
응답	ردود	응답	رَدّ	N	N;NOM;INDF;PL
응답	اجابة	응답	إِجَابَة	N	N;NOM;INDF;SG
응답	الاجابة	응답	إِجَابَة	N	N;NOM;DEF;SG
응답	جواب	응답	جَابّ	N	N;NOM;INDF;SG
응답	الجواب	응답	جَوَاب	N	N;NOM;DEF;SG
응답	الرد	응답	رَدّ	N	N;NOM;DEF;SG
응답	الاستجابة	응답	اِستِجَابَة	N	N;NOM;DEF;SG
응답	الرد	응답	رَدّ	N	N;NOM;DEF;SG
응답	استجابة	응답	اِستِجَابَة	N	N;NOM;INDF;SG
저널리즘	صحافة	저널리즘	صَحَافَة	N	N;NOM;INDF;SG
저널리즘	الصحافة	저널리즘	صَحَافَة	N	N;NOM;DEF;SG
이륙	اقلاع	이륙	اقلاع	N	N;NOM;INDF;SG
이륙	الاقلاع	이륙	إِقلَاع	N	N;NOM;DEF;SG
등대	منارة	등대	منارة	N	N;NOM;INDF;SG
등대	المنارة	등대	مَنَارَة	N	N;NOM;DEF;SG
통계학	احصاءات	통계학	إِحصَاء	N	N;NOM;INDF;PL
통계학	الاحصاءات	통계학	إِحصَاء	N	N;NOM;DEF;PL
통계학	الاحصاء	통계학	إِحصَاء	N	N;NOM;DEF;SG
픽션	الخيال	픽션	خِيَال	N	N;NOM;DEF;SG
픽션	خيال	픽션	خيال	N	N;NOM;INDF;SG
학업	اكاديمية	학업	أَكَادِيمِيَّة	N	N;NOM;INDF;SG
학업	الاكاديمي	학업	إِكَادِيمِيّ	N	N;NOM;DEF;SG
혐오	الاشمئزاز	혐오	الاشمئزاز	N	N;NOM;DEF;SG
혐오	الكراهية	혐오	كُرَاهِيّ	N	N;NOM;DEF;SG
혐오	الحقد	혐오	الحقد	N	N;NOM;DEF;SG
혐오	كراهية	혐오	كَرَاهِيَّة	N	N;NOM;INDF;SG
혐오	الكراهية	혐오	كُرَاهِيّ	N	N;NOM;DEF;SG
혐오	الكره	혐오	الكره	N	N;NOM;DEF;SG
혐오	حقد	혐오	حَقد	N	N;NOM;INDF;SG
등산	التسلق	등산	تَسَلُّق	N	N;NOM;DEF;SG
착용	لبس	착용	لَبس	N	N;NOM;INDF;SG
착용	ارتداء	착용	اِرتِدَاء	N	N;NOM;INDF;SG
천장	السقف	천장	سَقف	N	N;NOM;DEF;SG
천장	سقف	천장	سَقف	N	N;NOM;INDF;SG
신용카드	ائتمان	신용카드	اِئتِمَان	N	N;NOM;INDF;SG
신용카드	الائتمان	신용카드	اِئتِمَان	N	N;NOM;DEF;SG
신용카드	رصيد	신용카드	رَصِيد	N	N;NOM;INDF;SG
대리석	الرخام	대리석	رُخَام	N	N;NOM;DEF;SG
핸드	اليد	핸드	يَد	N	N;NOM;DEF;SG
핸드	يد	핸드	يَد	N	N;NOM;INDF;SG
외모	المظاهر	외모	مَظهَر	N	N;NOM;DEF;PL
외모	الظهور	외모	ظُهُور	N	N;NOM;DEF;SG
외모	ظهور	외모	ظُهُور	N	N;NOM;INDF;SG
외모	مظهر	외모	مَظهَر	N	N;NOM;INDF;SG
형제들	الاخوان	형제+들	أَخ	N	N;NOM;DEF;PL
형제들	الاخوة	형제+들	أُخُوَّة	N	N;NOM;DEF;SG
형제들	اخوة	형제+들	أُخُوَّة	N	N;NOM;INDF;SG
외로운	وحيدة	외롭+ㄴ	وَحِيد	ADJ	ADJ;NOM;INDF;FEM;SG
라벨	التسميات	라벨	تَسمِيَة	N	N;NOM;DEF;PL
라벨	تسمية	라벨	تَسمِيَة	N	N;NOM;INDF;SG
라벨	التسمية	라벨	تَسمِيَة	N	N;NOM;DEF;SG
벽돌	الطوب	벽돌	طُوب	N	N;NOM;DEF;SG
폴란드인	الاقطاب	폴란드인	قُطب	N	N;NOM;DEF;SG
백금	البلاتين	백금	بَلَاتِين	N	N;NOM;DEF;SG
걷기	يمشي	걷+기	أَمشَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
걷기	مشت	걷+기	مَشت	V	V;PFV;FEM;SG;3;ACT
걷기	مشى	걷+기	مشى	V	V;PFV;MASC;SG;3;ACT
바지	البنطلون	바지	بِنطِلُون	N	N;NOM;DEF;SG
바지	السراويل	바지	اَلسَرَاوِيل	N	N;NOM;DEF;PL
바지	البنطال	바지	بِنطَال	N	N;NOM;DEF;SG
설득	اقناع	설득	إِقنَاع	N	N;NOM;INDF;SG
설득	الاقناع	설득	إِقنَاع	N	N;NOM;DEF;SG
광업	التعدين	광업	تَعدِين	N	N;NOM;DEF;SG
광업	المناجم	광업	مَنجَم	N	N;NOM;DEF;PL
광업	تعدين	광업	تَعدِين	N	N;NOM;INDF;SG
완화	التخفيف	완화	تَخفِيف	N	N;NOM;DEF;SG
완화	تخفيف	완화	تَخفِيف	N	N;NOM;INDF;SG
완화	تخفيف	완화	تَخفِيف	N	N;NOM;INDF;SG
떠나기	غادر	떠나+기	غَادَر	V	V;PFV;MASC;SG;3;ACT
떠나기	يغادر	떠나+기	غَادَر	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
농도	تركيزات	농도	تَركِيز	N	N;NOM;INDF;PL
농도	التركيز	농도	تَركِيز	N	N;NOM;DEF;SG
농도	تركيز	농도	تَركِيز	N	N;NOM;INDF;SG
농도	عمق	농도	عُمق	N	N;NOM;INDF;SG
농도	العمق	농도	عُمق	N	N;NOM;DEF;SG
슬롯	الفتحة	슬롯	فَتحَة	N	N;NOM;DEF;SG
슬롯	فتحة	슬롯	فَتحَة	N	N;NOM;INDF;SG
슬롯	فتحات	슬롯	فَتحَة	N	N;NOM;INDF;PL
슬롯	الفتحات	슬롯	فَتحَة	N	N;NOM;DEF;PL
샘플링	العينة	샘플링	عَينَة	N	N;NOM;DEF;SG
샘플링	عينة	샘플링	عَيِّنَة	N	N;NOM;INDF;SG
튜브	الانبوب	튜브	أُنبُوب	N	N;NOM;DEF;SG
튜브	انبوب	튜브	أُنبُوب	N	N;NOM;INDF;SG
카트	العربة	카트	عَرَبَة	N	N;NOM;DEF;SG
카트	عربة	카트	عَرَبَة	N	N;NOM;INDF;SG
직위	موقف	직위	مَوقِف	N	N;NOM;INDF;SG
직위	المنصب	직위	مَنصِب	N	N;NOM;DEF;SG
직위	الموضع	직위	مُوَضَّع	N	N;NOM;DEF;SG
직위	الموقف	직위	مَوقِف	N	N;NOM;DEF;SG
직위	المناصب	직위	مُنَاصِب	N	N;NOM;DEF;PL
직위	المواقف	직위	مَوقِف	N	N;NOM;DEF;PL
직위	مناصب	직위	مَنصِب	N	N;NOM;INDF;PL
직위	المواقع	직위	مَوقِع	N	N;NOM;DEF;PL
진흙	الطين	진흙	طِين	N	N;NOM;DEF;SG
추론	تعليل	추론	تَعلِيل	N	N;NOM;INDF;SG
적응	التكيف	적응	تَكَيُّف	N	N;NOM;DEF;SG
적응	تكيف	적응	كَاف	N	N;NOM;INDF;SG
적응	تكييف	적응	تكييف	N	N;NOM;INDF;SG
적응	التكيف	적응	تَكَيُّف	N	N;NOM;DEF;SG
적응	تكيف	적응	كَاف	N	N;NOM;INDF;SG
적응	تكييف	적응	تكييف	N	N;NOM;INDF;SG
코뮌	بلديات	코뮌	بَلَدِيَّة	N	N;NOM;INDF;PL
흡연	تدخين	흡연	تَدخِين	N	N;NOM;INDF;SG
흡연	التدخين	흡연	تَدخِين	N	N;NOM;DEF;SG
흡연	مدخن	흡연	مدخن	N	N;NOM;INDF;SG
흡연	المدخن	흡연	مُدَخِّن	N	N;NOM;DEF;SG
복권	اليانصيب	복권	اليانصيب	N	N;NOM;DEF;SG
복권	القرعة	복권	قُرعَة	N	N;NOM;DEF;SG
호스팅	استضافة	호스팅	اِستِضَافَة	N	N;NOM;INDF;SG
호스팅	استضافة	호스팅	اِستِضَافَة	N	N;NOM;INDF;SG
목차	محتويات	목차	مُحتَوَى	N	N;NOM;INDF;PL
결핵	السل	결핵	سِلّ	N	N;NOM;DEF;SG
불평등	التفاوت	불평등	تَفَاوُت	N	N;NOM;DEF;SG
남용	الاساءة	남용	اِسَّاء	N	N;NOM;DEF;SG
남용	اساءة	남용	اساءة	N	N;NOM;INDF;SG
편집기	محرر	편집기	محرر	N	N;NOM;INDF;SG
편집기	المحرر	편집기	مُحَرَّر	N	N;NOM;DEF;SG
편집기	المحررين	편집기	مُحَرِّر	N	N;NOM;DEF;PL
퇴직	تقاعد	퇴직	تَقَاعُد	N	N;NOM;INDF;SG
퇴직	التقاعد	퇴직	تَقَاعُد	N	N;NOM;DEF;SG
퇴직	تقاعد	퇴직	تَقَاعُد	N	N;NOM;INDF;SG
퇴직	المتقاعدين	퇴직	مُتَقَاعِد	N	N;NOM;DEF;PL
포인터	مؤشر	포인터	مُؤَشِّر	N	N;NOM;INDF;SG
포인터	المؤشر	포인터	مُؤَشِّر	N	N;NOM;DEF;SG
재활	التاهيل	재활	تَاهِيل	N	N;NOM;DEF;SG
통증	الالم	통증	أَلم	N	N;NOM;DEF;SG
통증	الم	통증	إِلم	N	N;NOM;DEF;SG
복합체	مجمع	복합체	مَجمَع	N	N;NOM;INDF;SG
복합체	مجمع	복합체	مَجمَع	N	N;NOM;INDF;SG
복합체	المجمع	복합체	مَجمَع	N	N;NOM;DEF;SG
복합체	مركب	복합체	مركب	N	N;NOM;INDF;SG
카누	الزورق	카누	الزورق	N	N;NOM;DEF;SG
카누	زورق	카누	زورق	N	N;NOM;INDF;SG
시그널	الاشارة	시그널	إِشَارَة	N	N;NOM;DEF;SG
시그널	اشارة	시그널	إِشَارَة	N	N;NOM;INDF;SG
댓글	التعليق	댓글	تَعلِيق	N	N;NOM;DEF;SG
댓글	تعليق	댓글	تَعلِيق	N	N;NOM;INDF;SG
댓글	تعليقات	댓글	تَعلِيق	N	N;NOM;INDF;PL
댓글	التعليقات	댓글	تَعلِيق	N	N;NOM;DEF;PL
아래쪽	ادناه	아래+쪽	ادناه	N	N;NOM;INDF;SG
아래쪽	القاع	아래+쪽	قَاع	N	N;NOM;DEF;SG
아래쪽	قاع	아래+쪽	قَاع	N	N;NOM;INDF;SG
조달	الشراء	조달	شِرَاء	N	N;NOM;DEF;SG
조달	المشتريات	조달	مُشتَرَى	N	N;NOM;DEF;PL
검출	الكشف	검출	كَشف	N	N;NOM;DEF;SG
손상된	تضررت	손상+되+ㄴ	تَضَرَّر	V	V;PFV;FEM;SG;3;ACT
걷고	يمشي	걷+고	أَمشَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
범죄자	المجرمون	범죄자	مُجرِم	N	N;NOM;DEF;PL
범죄자	المجرمين	범죄자	مُجرِم	N	N;NOM;DEF;PL
범죄자	مجرمون	범죄자	مَجرِم	N	N;NOM;INDF;PL
범죄자	مجرم	범죄자	مُجرِم	N	N;NOM;INDF;SG
범죄자	المجرم	범죄자	مَجرِم	N	N;NOM;DEF;SG
범죄자	الجاني	범죄자	جَانِي	N	N;NOM;DEF;SG
입술	الشفاه	입술	شِفَاه	N	N;NOM;DEF;SG
농부	المزارعين	농부	مُزَارِع	N	N;NOM;DEF;PL
농부	المزارعون	농부	مُزَارِع	N	N;NOM;DEF;PL
농부	المزارع	농부	مَزرَعَة	N	N;NOM;DEF;PL
농부	مزارع	농부	مَزرَعَة	N	N;NOM;INDF;PL
호위	المرافقة	호위	مُرَافَقَة	N	N;NOM;DEF;SG
호위	مرافق	호위	مِرفَق	N	N;NOM;INDF;PL
호위	مرافقة	호위	مُرَافَقَة	N	N;NOM;INDF;SG
응급	طوارئ	응급	طَارِئَة	N	N;NOM;INDF;PL
응급	الطوارئ	응급	طَارِئَة	N	N;NOM;DEF;PL
실린더	الاسطوانة	실린더	أُسطُوَانَة	N	N;NOM;DEF;SG
실린더	اسطوانة	실린더	اسطوانة	N	N;NOM;INDF;SG
혈관	اوعية	혈관	وِعِّيّ	N	N;NOM;INDF;SG
공지	الاعلان	공지	إِعلَان	N	N;NOM;DEF;SG
공지	اعلان	공지	إِعلَان	N	N;NOM;INDF;SG
공지	الاشعار	공지	شَعَر	N	N;NOM;DEF;PL
공지	اشعار	공지	شَعر	N	N;NOM;INDF;PL
공지	الاعلانات	공지	إِعلَان	N	N;NOM;DEF;PL
공지	اعلانات	공지	إِعلَان	N	N;NOM;INDF;PL
잠금	قفل	잠금	قفل	N	N;NOM;INDF;SG
잠금	القفل	잠금	القفل	N	N;NOM;DEF;SG
온실	الدفيئة	온실	دَفِيء	N	N;NOM;DEF;SG
감지	الكشف	감+지	كَشف	N	N;NOM;DEF;SG
통역	مترجم	통역	مُتَرجِم	N	N;NOM;INDF;SG
연습생	التدريب	연습생	تَدرِيب	N	N;NOM;DEF;SG
연습생	ممارسة	연습생	مُمَارَسَة	N	N;NOM;INDF;SG
연습생	الممارسة	연습생	مُمَارَسَة	N	N;NOM;DEF;SG
연습생	التمرين	연습생	تَمرِين	N	N;NOM;DEF;SG
연습생	تدريب	연습생	تَدرِيب	N	N;NOM;INDF;SG
민병대	ميليشيات	민병대	ميليشيات	N	N;NOM;INDF;PL
민병대	المليشيات	민병대	مُلِيشِيّ	N	N;NOM;DEF;PL
민병대	الميليشيات	민병대	مِيلِيشِيَا	N	N;NOM;DEF;PL
민병대	الميليشيا	민병대	مِيلِيشِيَا	N	N;NOM;DEF;SG
전갈자리	العقرب	전갈자리	عَقرَب	N	N;NOM;DEF;SG
체계적	منهجية	체계+적	مُنهَجِيّ	N	N;NOM;INDF;SG
물고기자리	الحوت	물고기+자리	حُوت	N	N;NOM;DEF;SG
자격증	التصديق	자격증	تَصدِيق	N	N;NOM;DEF;SG
자격증	المؤهلات	자격증	مُؤَهِّل	N	N;NOM;DEF;PL
자격증	مصدق	자격증	مصدق	N	N;NOM;INDF;SG
가정교사	تدريس	가정교사	تَدرِيس	N	N;NOM;INDF;SG
벤치	مقعد	벤치	مَقعَد	N	N;NOM;INDF;SG
벤치	المقعد	벤치	مَقعَد	N	N;NOM;DEF;SG
흔적	الاثر	흔적	أَثَر	N	N;NOM;DEF;SG
흔적	درب	흔적	دَرَّب	N	N;NOM;INDF;SG
흔적	الاثر	흔적	أَثَر	N	N;NOM;DEF;SG
흔적	مسارات	흔적	مَسَار	N	N;NOM;INDF;PL
세르비아인	الصرب	세르비아인	صَرب	N	N;NOM;DEF;PL
세르비아인	الصرب	세르비아인	صَرب	N	N;NOM;DEF;PL
플루트	الفلوت	플루트	فِلَىت	N	N;NOM;DEF;SG
플루트	الناي	플루트	نَايِي	N	N;NOM;DEF;SG
부모님	الاهل	부모님	أَهل	N	N;NOM;DEF;SG
부모님	الوالدين	부모님	الدالدين	N	N;NOM;DEF;PL
부모님	الوالدان	부모님	وَالِدَان	N	N;NOM;DEF;PL
부모님	الاباء	부모님	أَبَاء	N	N;NOM;DEF;PL
부모님	اباء	부모님	اباء	N	N;NOM;INDF;PL
단락	الفقرة	단락	فَقرَة	N	N;NOM;DEF;SG
단락	فقرة	단락	فَقرَة	N	N;NOM;INDF;SG
단락	الفقرات	단락	فَقرَة	N	N;NOM;DEF;PL
거품	فقاعات	거품	فِقَاعَة	N	N;NOM;INDF;PL
거품	الفقاعات	거품	فِقَاعَة	N	N;NOM;DEF;PL
거품	رغوة	거품	رَغوَة	N	N;NOM;INDF;SG
거품	فقاعة	거품	فِقَاعَة	N	N;NOM;INDF;SG
거품	الفقاعة	거품	فَقَّاع	N	N;NOM;DEF;SG
랠리	تجمع	랠리	تَجَمُّع	N	N;NOM;INDF;SG
랠리	التجمع	랠리	تَجَمُّع	N	N;NOM;DEF;SG
배너	رايات	배너	رايات	N	N;NOM;INDF;PL
배너	الرايات	배너	رَايَّة	N	N;NOM;DEF;PL
배너	شعارات	배너	شِعَار	N	N;NOM;INDF;PL
배너	لافتات	배너	لَافِتَة	N	N;NOM;INDF;PL
배너	الراية	배너	رَايَة	N	N;NOM;DEF;SG
배너	لافتة	배너	لَافِت	N	N;NOM;INDF;SG
배너	راية	배너	رَايَة	N	N;NOM;INDF;SG
억제	تثبيط	억제	تَثبِيط	N	N;NOM;INDF;SG
억제	قمع	억제	قَمع	N	N;NOM;INDF;SG
억제	القمع	억제	قَمع	N	N;NOM;DEF;SG
방학	العطلة	방학	عُطلَة	N	N;NOM;DEF;SG
방학	الاجازة	방학	إِجَازَة	N	N;NOM;DEF;SG
방학	عطلة	방학	عُطلَة	N	N;NOM;INDF;SG
방학	اجازة	방학	إِجَازَة	N	N;NOM;INDF;SG
가정부	خادمة	가정부	خَادِمَة	N	N;NOM;INDF;SG
멤버들	الاعضاء	멤버+들	عُضو	N	N;NOM;DEF;PL
멤버들	اعضاء	멤버+들	عُضو	N	N;NOM;INDF;PL
애정	المودة	애정	مَوَدَّة	N	N;NOM;DEF;SG
볼륨	الحجم	볼륨	حَجم	N	N;NOM;DEF;SG
볼륨	المجلد	볼륨	مَجلَد	N	N;NOM;DEF;SG
볼륨	حجم	볼륨	حَجم	N	N;NOM;INDF;SG
엘프	قزم	엘프	قَزَّم	N	N;NOM;INDF;SG
엘프	الجان	엘프	جَان	N	N;NOM;DEF;SG
백조	البجعة	백조	بَجعَة	N	N;NOM;DEF;SG
외출	نزهة	외출	نُزهَة	N	N;NOM;INDF;SG
외출	سفرة	외출	سِفرَة	N	N;NOM;INDF;SG
출판물	النشر	출판물	نَشر	N	N;NOM;DEF;SG
출판물	منشورات	출판물	مَنشُور	N	N;NOM;INDF;PL
출판물	المطبوعات	출판물	مَطبُوع	N	N;NOM;DEF;PL
출판물	المنشورات	출판물	مَنشُور	N	N;NOM;DEF;PL
발목	الكاحل	발목	كَاحِل	N	N;NOM;DEF;SG
새우	الجمبري	새우	جُمبُرِيّ	N	N;NOM;DEF;SG
혼돈	الخلط	혼돈	خَلط	N	N;NOM;DEF;SG
혼돈	التشويش	혼돈	تَشوِيش	N	N;NOM;DEF;SG
혼돈	الارتباك	혼돈	اِرتِبَاك	N	N;NOM;DEF;SG
혼돈	الفوضى	혼돈	فَوضَى	N	N;NOM;DEF;SG
일관성	التماسك	일관성	تَمَاسُك	N	N;NOM;DEF;SG
일관성	الاتساق	일관성	اِتِّسَاق	N	N;NOM;DEF;SG
일관성	اتساق	일관성	اِتِّسَاق	N	N;NOM;INDF;SG
일관성	اتساق	일관성	اِتِّسَاق	N	N;NOM;INDF;SG
일관성	الاتساق	일관성	اِتِّسَاق	N	N;NOM;DEF;SG
망치	المطرقة	망치	مُطَّرِق	N	N;NOM;DEF;SG
망치	مطرقة	망치	مطرقة	N	N;NOM;INDF;SG
재산권	ملكية	재산권	مِلكِيَّة	N	N;NOM;INDF;SG
재산권	الملكية	재산권	مِلكِيَّة	N	N;NOM;DEF;SG
재산권	الممتلكات	재산권	مُمتَلَكَات	N	N;NOM;DEF;PL
재산권	ممتلكات	재산권	مُمتَلَكَات	N	N;NOM;INDF;PL
장애물	عرقلة	장애물	عَرقَلَة	N	N;NOM;INDF;SG
장애물	اعاقة	장애물	إِعَاقَة	N	N;NOM;INDF;SG
장애물	انسداد	장애물	اِنسِدَاد	N	N;NOM;INDF;SG
장애물	القفز	장애물	قَفز	N	N;NOM;DEF;SG
장애물	عائق	장애물	عَائِق	N	N;NOM;INDF;SG
장애물	العقبة	장애물	عَقَبَة	N	N;NOM;DEF;SG
장애물	عقبة	장애물	عَقَبَة	N	N;NOM;INDF;SG
장애물	العقبات	장애물	عَقَبَة	N	N;NOM;DEF;PL
장애물	عقبات	장애물	عَقَبَة	N	N;NOM;INDF;PL
장애물	العراقيل	장애물	عَرقَلَة	N	N;NOM;DEF;PL
장애물	العوائق	장애물	عَائِق	N	N;NOM;DEF;PL
사용법	الاستعمال	사용법	اِستِعمَال	N	N;NOM;DEF;SG
사용법	الاستخدام	사용법	اِستِخدَام	N	N;NOM;DEF;SG
사용법	استعمال	사용법	اِستِعمَال	N	N;NOM;INDF;SG
분사	حقن	분사	حَقَّن	N	N;NOM;INDF;SG
분사	الحقن	분사	الحقن	N	N;NOM;DEF;SG
분사	الحقنة	분사	الحقنة	N	N;NOM;DEF;SG
지뢰	مناجم	지뢰	مَنجَم	N	N;NOM;INDF;PL
지뢰	الالغام	지뢰	لَغَم	N	N;NOM;DEF;PL
지뢰	المناجم	지뢰	مَنجَم	N	N;NOM;DEF;PL
정서	عاطفة	정서	عاطفة	N	N;NOM;INDF;SG
정서	العاطفة	정서	عَاطِفَة	N	N;NOM;DEF;SG
정서	العواطف	정서	عَاطِفَة	N	N;NOM;DEF;PL
현미경	المجهر	현미경	مُجَهِّر	N	N;NOM;DEF;SG
트레이딩	التداول	트레이딩	تَدَاوُل	N	N;NOM;DEF;SG
트레이딩	تجارة	트레이딩	تِجَارَة	N	N;NOM;INDF;SG
트레이딩	المتاجرة	트레이딩	مُتَاجَرَة	N	N;NOM;DEF;SG
중요성	الاهمية	중요성	أَهَمِّيَّة	N	N;NOM;DEF;SG
중요성	اهمية	중요성	أَهَمِّيَّة	N	N;NOM;INDF;SG
전화번호	الهاتف	전화번호	هَاتِف	N	N;NOM;DEF;SG
긴장	توتر	긴장	تُوتِر	N	N;NOM;INDF;SG
긴장	التوتر	긴장	تَوَتُّر	N	N;NOM;DEF;SG
질투	غيور	질투	غَير	N	N;NOM;INDF;SG
질투	الغيرة	질투	غَيرَة	N	N;NOM;DEF;SG
질투	غيرة	질투	غَيرَة	N	N;NOM;INDF;SG
플라스마	البلازما	플라스마	البلازما	N	N;NOM;DEF;SG
타당성	الجدوى	타당성	جَدوَى	N	N;NOM;DEF;SG
타당성	جدوى	타당성	جَدوَى	N	N;NOM;INDF;SG
타당성	صلاحية	타당성	صَلَاحِيَّة	N	N;NOM;INDF;SG
타당성	صحة	타당성	صِحَّة	N	N;NOM;INDF;SG
타당성	الصلاحية	타당성	صَلَاحِيَّة	N	N;NOM;DEF;SG
탈레반	الطالبان	탈레반	طَالِبَان	N	N;NOM;DEF;DU
탈레반	طالبان	탈레반	طَالِبَان	N	N;NOM;INDF;SG
용접	اللحام	용접	اللحام	N	N;NOM;DEF;SG
용접	اللحام	용접	اللحام	N	N;NOM;DEF;SG
악용	الاساءة	악용	اِسَّاء	N	N;NOM;DEF;SG
악용	اساءة	악용	اساءة	N	N;NOM;INDF;SG
대리인	عميل	대리+이+ㄴ	عَمِيل	N	N;NOM;INDF;SG
대리인	وكيل	대리+이+ㄴ	وَكِيل	N	N;NOM;INDF;SG
대리인	العميل	대리+이+ㄴ	عَمِيل	N	N;NOM;DEF;SG
대리인	الوكيل	대리+이+ㄴ	وَكِيل	N	N;NOM;DEF;SG
성기	القضيب	성기	قَضِيب	N	N;NOM;DEF;SG
복수형	الجمع	복수형	جَمع	N	N;NOM;DEF;SG
위생	نظافة	위생	نَظَافَة	N	N;NOM;INDF;SG
위생	النظافة	위생	نِظَافَة	N	N;NOM;DEF;SG
사구	الكثبان	사구	كَثَب	N	N;NOM;DEF;PL
사구	الكثبان	사구	كَثَب	N	N;NOM;DEF;PL
노예제	العبد	노예제	العبد	N	N;NOM;DEF;SG
노예제	الرق	노예제	رَقّ	N	N;NOM;DEF;SG
노예제	العبودية	노예제	عُبُودِيّ	N	N;NOM;DEF;SG
노예제	الاسترقاق	노예제	اِستِرقَاق	N	N;NOM;DEF;SG
