con	с	con	с	ADP	ADP
nueva	новое	nuevo	новый	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
historia	новость	historia	новость	N;FEM;SG	N;INAN;NOM;FEM;SG
historia	рассказ	historia	рассказ	N;FEM;SG	N;INAN;NOM;MASC;SG
historia	история	historia	история	N;FEM;SG	N;INAN;NOM;FEM;SG
historia	история	historia	история	N;FEM;SG	N;INAN;NOM;FEM;SG
club	клуб	club	клуб	N;MASC;SG	N;INAN;NOM;MASC;SG
cual	которое	cual	который	PRO;SG	PRO;NOM
cual	которая	cual	который	PRO;SG	PRO;NOM
cual	которые	cual	который	PRO;SG	PRO;NOM
cual	который	cual	который	PRO;SG	PRO;NOM
universidad	университет	universidad	университет	N;FEM;SG	N;INAN;NOM;MASC;SG
universidad	коллегия	universidad	коллегия	N;FEM;SG	N;INAN;NOM;FEM;SG
universidad	колледж	universidad	колледж	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	форме	forma	форма	N;FEM;SG	N;INAN;DAT;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
forma	форме	forma	форма	N;FEM;SG	N;INAN;DAT;FEM;SG
forma	форма	forma	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
forma	бланк	forma	бланк	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	формуляр	forma	формуляр	N;FEM;SG	N;INAN;NOM;MASC;SG
forma	форму	forma	форма	N;FEM;SG	N;INAN;ACC;FEM;SG
tres	три	tres	три	NUM;PL	NUM;NOM
tres	трое	tres	трое	NUM;PL	NUM;NOM
grupo	группа	grupo	группа	N;MASC;SG	N;INAN;NOM;FEM;SG
general	генерал	general	генерал	N;SG	N;ANIM;NOM;MASC;SG
guerra	война	guerra	война	N;FEM;SG	N;INAN;NOM;FEM;SG
aunque	хотя	aunque	хотя	CONJ	CONJ
aunque	хотя	aunque	хотя	CONJ	CONJ
tras	после	tras	после	ADP	ADP
familia	семья	familia	семья	N;FEM;SG	N;INAN;NOM;FEM;SG
familia	семейство	familia	семейство	N;FEM;SG	N;INAN;NOM;NEUT;SG
además	также	además	также	ADV	ADV
todo	все	todo	все	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
todo	всё	todo	все	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
todo	все	todo	все	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
sur	сюр	sur	сюртить	N;MASC;SG	N;INAN;NOM;MASC;SG
sur	юг	sur	юг	N;MASC;SG	N;INAN;NOM;MASC;SG
tiempo	погода	tiempo	погода	N;MASC;SG	N;INAN;NOM;FEM;SG
tiempo	время	tiempo	время	N;MASC;SG	N;INAN;NOM;NEUT;SG
tiempo	времени	tiempo	время	N;MASC;SG	N;INAN;GEN;NEUT;SG
tiempo	тайм	tiempo	тайма	N;MASC;SG	N;INAN;NOM;MASC;SG
provincia	область	provincia	область	N;FEM;SG	N;INAN;NOM;FEM;SG
provincia	провинция	provincia	провинция	N;FEM;SG	N;INAN;NOM;FEM;SG
partido	сторона	partido	сторона	N;MASC;SG	N;INAN;NOM;FEM;SG
partido	партия	partido	партия	N;MASC;SG	N;INAN;NOM;FEM;SG
partido	вечеринка	partido	вечеринка	N;MASC;SG	N;INAN;NOM;FEM;SG
partido	матч	partido	матч	N;MASC;SG	N;INAN;NOM;MASC;SG
partido	совпадение	partido	совпадение	N;MASC;SG	N;INAN;NOM;NEUT;SG
contra	против	contra	против	ADP	ADP
encuentra	найти	encontrar	найти	V;IND;SG;3;PRS;FIN	V;PFV;NFIN;ACT
encuentra	находит	encontrar	находить	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
encuentra	считает	encontrar	считать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
municipio	муниципалитет	municipio	муниципалитет	N;MASC;SG	N;INAN;NOM;MASC;SG
todos	всем	todo	все	PRO;MASC;PL	PRO;ANIM;DAT;PL
todos	всем	todo	все	PRO;MASC;PL	PRO;ANIM;DAT;PL
todos	всех	todo	все	PRO;MASC;PL	PRO;ANIM;ACC;PL
todos	всем	todo	все	PRO;MASC;PL	PRO;ANIM;DAT;PL
todos	всех	todo	все	PRO;MASC;PL	PRO;ANIM;ACC;PL
bajo	под	bajo	под	ADP	ADP
serie	серия	serie	серия	N;FEM;SG	N;INAN;NOM;FEM;SG
cada	каждая	cada	каждый	DET;SG	DET;NOM;FEM;SG
cada	каждую	cada	каждый	DET;SG	DET;ACC;FEM;SG
cada	каждый	cada	каждый	DET;SG	DET;NOM;MASC;SG
cada	каждое	cada	каждый	DET;SG	DET;NOM;NEUT;SG
cada	каждая	cada	каждый	DET;SG	DET;NOM;FEM;SG
cada	каждому	cada	каждый	DET;SG	DET;DAT;MASC;SG
cada	каждый	cada	каждый	DET;SG	DET;NOM;MASC;SG
cada	каждое	cada	каждый	DET;SG	DET;NOM;NEUT;SG
fútbol	футбол	fútbol	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
fútbol	футбол	fútbol	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
equipo	снаряжение	equipo	снаряжение	N;MASC;SG	N;INAN;NOM;NEUT;SG
equipo	аппаратура	equipo	аппаратура	N;MASC;SG	N;INAN;NOM;FEM;SG
equipo	оборудование	equipo	оборудование	N;MASC;SG	N;INAN;NOM;NEUT;SG
equipo	оборудования	equipo	оборудование	N;MASC;SG	N;INAN;NOM;NEUT;SG
equipo	команда	equipo	команда	N;MASC;SG	N;INAN;NOM;FEM;SG
norte	норте	norte	норта	N;MASC;SG	N;INAN;NOM;MASC;SG
norte	север	norte	север	N;MASC;SG	N;INAN;NOM;MASC;SG
norte	норт	norte	норт	N;MASC;SG	N;INAN;NOM;MASC;SG
río	река	río	река	N;MASC;SG	N;INAN;NOM;FEM;SG
méxico	мексику	méxico	мексика	N;MASC;SG	N;INAN;ACC;FEM;SG
méxico	мексика	méxico	мексика	N;MASC;SG	N;INAN;NOM;FEM;SG
argentina	аргентинская	argentino	аргентинский	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nuevo	новая	nuevo	новый	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nuevo	новый	nuevo	новый	ADJ;MASC;SG	ADJ;NOM;MASC;SG
nuevo	новое	nuevo	новый	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
véase	посмотреть	véase	смотреть	V;SBJV;SG;3;PRS;FIN	V;PFV;NFIN;ACT
septiembre	сентября	septiembre	сентябрь	N	N;INAN;GEN;MASC;SG
septiembre	сентябрь	septiembre	сентябрь	N	N;INAN;NOM;MASC;SG
octubre	октябрь	octubre	октябрь	N	N;INAN;NOM;MASC;SG
octubre	октября	octubre	октябрь	N	N;INAN;GEN;MASC;SG
segunda	второй	segundo	второй	ADJ;FEM;SG	ADJ;NOM;MASC;SG
segunda	вторая	segundo	второй	ADJ;FEM;SG	ADJ;NOM;FEM;SG
segunda	второе	segundo	второй	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
discusión	обсуждение	discusión	обсуждение	N;FEM;SG	N;INAN;NOM;NEUT;SG
discusión	дискуссия	discusión	дискуссия	N;FEM;SG	N;INAN;NOM;FEM;SG
gobierno	управление	gobierno	управление	N;MASC;SG	N;INAN;NOM;NEUT;SG
gobierno	правительство	gobierno	правительство	N;MASC;SG	N;INAN;NOM;NEUT;SG
condado	графство	condado	графство	N;MASC;SG	N;INAN;NOM;NEUT;SG
condado	округе	condado	округ	N;MASC;SG	N;INAN;ESS;MASC;SG
condado	округ	condado	округ	N;MASC;SG	N;INAN;NOM;MASC;SG
final	конце	final	конец	N;MASC;SG	N;INAN;ESS;MASC;SG
final	конец	final	конец	N;MASC;SG	N;INAN;NOM;MASC;SG
final	финал	final	финал	N;MASC;SG	N;INAN;NOM;MASC;SG
final	финал	final	финал	N;MASC;SG	N;INAN;NOM;MASC;SG
vida	жизнь	vida	жизнь	N;FEM;SG	N;INAN;NOM;FEM;SG
vida	вида	vida	вид	N;FEM;SG	N;INAN;GEN;MASC;SG
personas	лиц	persona	лицо	N;FEM;PL	N;ANIM;GEN;NEUT;PL
personas	людей	persona	человек	N;FEM;PL	N;ANIM;GEN;MASC;PL
personas	люди	persona	человек	N;FEM;PL	N;ANIM;NOM;MASC;PL
centro	центр	centro	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
centro	центр	centro	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
julio	хулио	julio	хулио	N	N;INAN;NOM;MASC;SG
julio	юлиус	julio	юлиус	N	N;ANIM;NOM;MASC;SG
julio	джулиус	julio	джулиус	N	N;ANIM;NOM;MASC;SG
julio	юлий	julio	юлий	N	N;ANIM;NOM;MASC;SG
julio	июль	julio	июль	N	N;INAN;NOM;MASC;SG
lincoln	линкольн	lincoln	линкольн	N;MASC;SG	N;ANIM;NOM;MASC;SG
país	страна	país	страна	N;MASC;SG	N;INAN;NOM;FEM;SG
web	вебсайт	web	вебсайт	N;FEM;SG	N;INAN;NOM;MASC;SG
web	сайт	web	сайт	N;FEM;SG	N;INAN;NOM;MASC;SG
web	web	web	веб	N;FEM;SG	N;INAN;NOM;MASC;SG
web	веб	web	веб	N;FEM;SG	N;INAN;NOM;MASC;SG
internacional	международный	internacional	международный	ADJ;SG	ADJ;NOM;MASC;SG
santa	святая	santo	святой	ADJ;FEM;SG	ADJ;NOM;FEM;SG
santa	святой	santo	святой	ADJ;FEM;SG	ADJ;NOM;MASC;SG
santa	святейший	santo	святой	ADJ;FEM;SG	ADJ;NOM;RL;MASC;SG
santa	святое	santo	святой	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
santa	святой	santo	святой	ADJ;FEM;SG	ADJ;NOM;MASC;SG
santa	святая	santo	святой	ADJ;FEM;SG	ADJ;NOM;FEM;SG
antes	ранее	antes	ранее	ADV	ADV
antes	прежде	antes	прежде	ADV	ADV
oficial	официальное	oficial	официальный	ADJ;SG	ADJ;NOM;NEUT;SG
oficial	официальный	oficial	официальный	ADJ;SG	ADJ;NOM;MASC;SG
oficial	официальная	oficial	официальный	ADJ;SG	ADJ;NOM;FEM;SG
quien	кто	quien	кто	PRO;SG	PRO;NOM
mundo	мир	mundo	мир	N;MASC;SG	N;INAN;NOM;MASC;SG
embargo	эмбарго	embargo	эмбарго	N;MASC;SG	N;INAN;NOM;NEUT;SG
embargo	блокада	embargo	блокада	N;MASC;SG	N;INAN;NOM;FEM;SG
mayo	мая	mayo	май	N	N;INAN;GEN;MASC;SG
mayo	мэй	mayo	мэй	N	N;ANIM;NOM;FEM;SG
mayo	майонез	mayo	майонез	N	N;INAN;NOM;MASC;SG
temporada	сезон	temporada	сезон	N;FEM;SG	N;INAN;NOM;MASC;SG
luego	тогда	luego	тогда	ADV	ADV
luego	потом	luego	потом	ADV	ADV
luego	затем	luego	затем	ADV	ADV
marzo	марш	marzo	марш	N	N;INAN;NOM;MASC;SG
marzo	март	marzo	март	N	N;INAN;NOM;MASC;SG
marzo	марта	marzo	март	N	N;INAN;GEN;MASC;SG
día	день	día	день	N;MASC;SG	N;INAN;NOM;MASC;SG
día	дэй	día	дэй	N;MASC;SG	N;INAN;NOM;MASC;SG
madrid	мадрид	madrid	мадрид	N;MASC;SG	N;INAN;NOM;MASC;SG
madrid	мадриде	madrid	мадрид	N;MASC;SG	N;INAN;NOM;MASC;SG
madrid	ливерпуль	madrid	ливерпуль	N;MASC;SG	N;INAN;NOM;MASC;SG
enero	джен	enero	джен	N	N;ANIM;NOM;FEM;SG
enero	ян	enero	ян	N	N;ANIM;NOM;MASC;SG
enero	яна	enero	яна	N	N;ANIM;NOM;FEM;SG
enero	джан	enero	джан	N	N;ANIM;NOM;MASC;SG
enero	январь	enero	январь	N	N;INAN;NOM;MASC;SG
enero	января	enero	январь	N	N;INAN;GEN;MASC;SG
número	число	número	число	N;MASC;SG	N;INAN;NOM;NEUT;SG
número	номер	número	номер	N;MASC;SG	N;INAN;NOM;MASC;SG
número	количество	número	количество	N;MASC;SG	N;INAN;NOM;NEUT;SG
agosto	августа	agosto	август	N	N;INAN;GEN;MASC;SG
agosto	август	agosto	август	N	N;INAN;NOM;MASC;SG
diciembre	декабрь	diciembre	декабрь	N	N;INAN;NOM;MASC;SG
artículo	статья	artículo	статья	N;MASC;SG	N;INAN;NOM;FEM;SG
artículo	пункт	artículo	пункт	N;MASC;SG	N;INAN;NOM;MASC;SG
artículo	товар	artículo	товар	N;MASC;SG	N;INAN;NOM;MASC;SG
noviembre	ноября	noviembre	ноябрь	N	N;INAN;GEN;MASC;SG
noviembre	ноябрь	noviembre	ноябрь	N	N;INAN;NOM;MASC;SG
noviembre	ноябрь	noviembre	ноябрь	N	N;INAN;NOM;MASC;SG
abril	эйприл	abril	эйприль	N	N;ANIM;NOM;FEM;SG
abril	апрель	abril	апрель	N	N;INAN;NOM;MASC;SG
abril	апреля	abril	апрель	N	N;INAN;GEN;MASC;SG
región	область	región	область	N;FEM;SG	N;INAN;NOM;FEM;SG
región	регион	región	регион	N;FEM;SG	N;INAN;NOM;MASC;SG
sistema	система	sistema	система	N;MASC;SG	N;INAN;NOM;FEM;SG
habitantes	обитатели	habitante	обитатель	N;PL	N;ANIM;NOM;MASC;PL
habitantes	жители	habitante	житель	N;PL	N;ANIM;NOM;MASC;PL
habitantes	жителей	habitante	житель	N;PL	N;ANIM;GEN;MASC;PL
habitantes	резиденты	habitante	резидент	N;PL	N;ANIM;NOM;MASC;PL
habitantes	жители	habitante	житель	N;PL	N;ANIM;NOM;MASC;PL
maría	мари	maría	мари	N;FEM;SG	N;ANIM;NOM;FEM;SG
maría	маша	maría	маша	N;FEM;SG	N;ANIM;NOM;FEM;SG
maría	мэри	maría	мэр	N;FEM;SG	N;ANIM;NOM;FEM;SG
maría	мария	maría	мария	N;FEM;SG	N;ANIM;NOM;FEM;SG
maría	мери	maría	мера	N;FEM;SG	N;INAN;NOM;FEM;SG
maría	мария	maría	мария	N;FEM;SG	N;ANIM;NOM;FEM;SG
real	настоящий	real	настоящий	ADJ;SG	ADJ;NOM;MASC;SG
real	настоящая	real	настоящий	ADJ;SG	ADJ;NOM;FEM;SG
real	королевский	real	королевский	ADJ;SG	ADJ;NOM;MASC;SG
real	королевской	real	королевский	ADJ;SG	ADJ;INS;FEM;SG
real	королевская	real	королевский	ADJ;SG	ADJ;NOM;FEM;SG
página	страница	página	страница	N;FEM;SG	N;INAN;NOM;FEM;SG
página	страницу	página	страница	N;FEM;SG	N;INAN;ACC;FEM;SG
esto	это	este	это	PRO;SG	PRO;INAN;NOM;NEUT;SG
mundial	глобальное	mundial	глобальный	ADJ;SG	ADJ;NOM;NEUT;SG
mundial	глобальный	mundial	глобальный	ADJ;SG	ADJ;NOM;MASC;SG
mundial	глобальная	mundial	глобальный	ADJ;SG	ADJ;NOM;FEM;SG
música	музыка	música	музыка	N;FEM;SG	N;INAN;NOM;FEM;SG
música	музыку	música	музыка	N;FEM;SG	N;INAN;ACC;FEM;SG
presidente	председатель	presidente	председатель	N;MASC;SG	N;ANIM;NOM;MASC;SG
presidente	председателю	presidente	председатель	N;MASC;SG	N;ANIM;DAT;MASC;SG
presidente	председателя	presidente	председатель	N;MASC;SG	N;ANIM;ACC;MASC;SG
presidente	председатель	presidente	председатель	N;MASC;SG	N;ANIM;NOM;MASC;SG
presidente	президент	presidente	президент	N;MASC;SG	N;ANIM;NOM;MASC;SG
presidente	председатель	presidente	председатель	N;MASC;SG	N;ANIM;NOM;MASC;SG
casa	дом	casa	дом	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	дом	casa	дом	N;FEM;SG	N;INAN;NOM;MASC;SG
álbum	альбом	álbum	альбый	N;MASC;SG	N;INAN;NOM;MASC;SG
cuenta	считать	contar	считать	V;IND;SG;3;PRS;FIN	V;IPFV;NFIN;ACT
cuenta	считается	contar	считать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
junio	июнь	junio	июнь	N	N;INAN;NOM;MASC;SG
junio	джун	junio	джун	N	N;ANIM;NOM;FEM;SG
junio	июня	junio	июнь	N	N;INAN;GEN;MASC;SG
febrero	февраля	febrero	февраль	N	N;INAN;GEN;MASC;SG
febrero	февраль	febrero	февраль	N	N;INAN;NOM;MASC;SG
ella	она	él	она	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
ella	ее	él	она	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
ella	ей	él	она	PRO;FEM;SG;3	PRO;DAT;FEM;SG;3
ella	её	él	она	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
tipo	тип	tipo	тип	N;MASC;SG	N;INAN;NOM;MASC;SG
obra	работа	obra	работа	N;FEM;SG	N;INAN;NOM;FEM;SG
obra	труд	obra	труд	N;FEM;SG	N;INAN;NOM;MASC;SG
iglesia	церковь	iglesia	церковь	N;FEM;SG	N;INAN;NOM;FEM;SG
iglesia	церкви	iglesia	церковь	N;FEM;SG	N;INAN;NOM;FEM;SG
película	фильм	película	фильм	N;FEM;SG	N;INAN;NOM;MASC;SG
película	кино	película	кино	N;FEM;SG	N;INAN;NOM;NEUT;SG
película	фильм	película	фильм	N;FEM;SG	N;INAN;NOM;MASC;SG
película	кино	película	кино	N;FEM;SG	N;INAN;NOM;NEUT;SG
entonces	тогда	entonces	тогда	ADV	ADV
entonces	потом	entonces	потом	ADV	ADV
entonces	затем	entonces	затем	ADV	ADV
banda	банда	banda	банда	N;FEM;SG	N;INAN;NOM;FEM;SG
banda	банда	banda	банда	N;FEM;SG	N;INAN;NOM;FEM;SG
cuatro	четверо	cuatro	четверо	NUM;PL	NUM;NOM
cuatro	четыре	cuatro	четыре	NUM;PL	NUM;NOM
zona	зона	zona	зона	N;FEM;SG	N;INAN;NOM;FEM;SG
zona	область	zona	область	N;FEM;SG	N;INAN;NOM;FEM;SG
zona	район	zona	район	N;FEM;SG	N;INAN;NOM;MASC;SG
zona	площадь	zona	площадь	N;FEM;SG	N;INAN;NOM;FEM;SG
televisión	телевидение	televisión	телевидение	N;FEM;SG	N;INAN;NOM;NEUT;SG
televisión	телевизор	televisión	телевизор	N;FEM;SG	N;INAN;NOM;MASC;SG
principal	основная	principal	основной	ADJ;SG	ADJ;NOM;FEM;SG
principal	главная	principal	главный	ADJ;SG	ADJ;NOM;FEM;SG
tuvo	имел	tener	иметь	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
carlos	шарль	carlo	шарль	N;MASC;SG	N;ANIM;NOM;MASC;SG
carlos	чарльз	carlo	чарльз	N;MASC;SG	N;ANIM;NOM;MASC;SG
carlos	карлос	carlo	карлос	N;MASC;SG	N;ANIM;NOM;MASC;SG
carlos	чарли	carlo	чарли	N;MASC;SG	N;ANIM;NOM;MASC;SG
rey	король	rey	король	N;MASC;SG	N;ANIM;NOM;MASC;SG
rey	кинг	rey	кинг	N;MASC;SG	N;INAN;NOM;MASC;SG
rey	царь	rey	царь	N;MASC;SG	N;ANIM;NOM;MASC;SG
premio	премия	premio	премия	N;MASC;SG	N;INAN;NOM;FEM;SG
premio	приз	premio	приз	N;MASC;SG	N;INAN;NOM;MASC;SG
premio	премия	premio	премия	N;MASC;SG	N;INAN;NOM;FEM;SG
premio	награду	premio	награда	N;MASC;SG	N;INAN;ACC;FEM;SG
premio	награда	premio	награда	N;MASC;SG	N;INAN;NOM;FEM;SG
hace	делает	hacer	делать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
hace	делает	hacer	делать	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
edición	правка	edición	правка	N;FEM;SG	N;INAN;NOM;FEM;SG
edición	редактирование	edición	редактирование	N;FEM;SG	N;INAN;NOM;NEUT;SG
edición	издание	edición	издание	N;FEM;SG	N;INAN;NOM;NEUT;SG
edición	монтаж	edición	монтаж	N;FEM;SG	N;INAN;NOM;MASC;SG
edición	редактирование	edición	редактирование	N;FEM;SG	N;INAN;NOM;NEUT;SG
premios	награды	premio	награда	N;MASC;PL	N;INAN;NOM;FEM;PL
premios	награды	premio	награда	N;MASC;PL	N;INAN;NOM;FEM;PL
premios	призы	premio	приз	N;MASC;PL	N;INAN;NOM;MASC;PL
sitio	вебсайт	sitio	вебсайт	N;MASC;SG	N;INAN;NOM;MASC;SG
sitio	сайт	sitio	сайт	N;MASC;SG	N;INAN;NOM;MASC;SG
sitio	осада	sitio	осада	N;MASC;SG	N;INAN;NOM;FEM;SG
sitio	сайт	sitio	сайт	N;MASC;SG	N;INAN;NOM;MASC;SG
futbolistas	футболисты	futbolista	футболист	N;PL	N;ANIM;NOM;MASC;PL
bien	хорошо	bien	хорошо	ADV	ADV
segundo	второй	segundo	второй	ADJ;MASC;SG	ADJ;NOM;MASC;SG
segundo	вторая	segundo	второй	ADJ;MASC;SG	ADJ;NOM;FEM;SG
segundo	второе	segundo	второй	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
mar	море	mar	море	N;SG	N;INAN;NOM;NEUT;SG
mar	океан	mar	океан	N;SG	N;INAN;NOM;MASC;SG
mar	океана	mar	океан	N;SG	N;INAN;GEN;MASC;SG
poco	мало	poco	мало	ADV	ADV
orden	орден	orden	орден	N;MASC;SG	N;INAN;NOM;MASC;SG
orden	заказ	orden	заказ	N;MASC;SG	N;INAN;NOM;MASC;SG
orden	приказ	orden	приказ	N;MASC;SG	N;INAN;NOM;MASC;SG
orden	порядок	orden	порядок	N;MASC;SG	N;INAN;NOM;MASC;SG
estadounidense	американский	estadounidense	американский	ADJ;SG	ADJ;NOM;MASC;SG
estadounidense	американская	estadounidense	американский	ADJ;SG	ADJ;NOM;FEM;SG
agua	вода	agua	вода	N;FEM;SG	N;INAN;NOM;FEM;SG
agua	воду	agua	вода	N;FEM;SG	N;INAN;ACC;FEM;SG
tierra	земля	tierra	земля	N;FEM;SG	N;INAN;NOM;FEM;SG
