une	egy	un	egy	DET;INDF;FEM;SG	DET;INDF
alors	akkor	alors	akkor	ADV	ADV
site	weboldal	site	weboldal	N;MASC;SG	N;NOM;SG
site	honlap	site	honlap	N;MASC;SG	N;NOM;SG
site	webhely	site	webhely	N;MASC;SG	N;NOM;SG
site	helyszín	site	helyszín	N;MASC;SG	N;NOM;SG
site	helyén	site	hely	N;MASC;SG	N;ON+ESS;SG
site	webhely	site	webhely	N;MASC;SG	N;NOM;SG
premier	első	premier	első	ADJ;MASC;SG	ADJ;NOM;SG
ces	ezek	ce	ez	PRO;PL;3	PRO;NOM;PL;3
ces	ezeket	ce	ez	PRO;PL;3	PRO;ACC;PL;3
film	filmet	film	film	N;MASC;SG	N;ACC;SG
film	mozi	film	mozi	N;MASC;SG	N;NOM;SG
film	film	film	film	N;MASC;SG	N;NOM;SG
film	fólia	film	fólia	N;MASC;SG	N;NOM;SG
film	film	film	film	N;MASC;SG	N;NOM;SG
pays	ország	pays	ország	N;MASC;SG	N;NOM;SG
pays	országban	pays	ország	N;MASC;SG	N;IN+ESS;SG
source	forrás	source	forrás	N;FEM;SG	N;NOM;SG
ils	ők	il	ők	PRO;MASC;PL;3	PRO;NOM;PL;3
grand	nagyméretű	grand	nagyméretű	ADJ;MASC;SG	ADJ;NOM;SG
grand	nagy	grand	nagy	ADJ;MASC;SG	ADJ;NOM;SG
grand	nagy	grand	nagy	ADJ;MASC;SG	ADJ;NOM;SG
tout	minden	tout	minden	PRO;MASC;SG	PRO;NOM;SG;3
tout	minden	tout	minden	PRO;MASC;SG	PRO;NOM;SG;3
groupe	zenekar	groupe	zenekar	N;MASC;SG	N;NOM;SG
groupe	csoport	groupe	csoport	N;MASC;SG	N;NOM;SG
groupe	csoportban	groupe	csoport	N;MASC;SG	N;IN+ESS;SG
également	egyben	également	egyben	ADV	ADV
titre	cím	titre	cím	N;MASC;SG	N;NOM;SG
titre	címe	titre	cím	N;MASC;SG	N;NOM;SG
titre	beosztás	titre	beosztás	N;MASC;SG	N;NOM;SG
monde	vilag	monde	vilag	N;MASC;SG	N;NOM;SG
nord	északra	nord	észak	N;MASC;SG	N;ON+ALL;SG
années	évek	année	év	N;FEM;PL	N;NOM;PL
contre	ellen	contre	ellen	ADP	ADP
liste	jegyzék	liste	jegyzék	N;FEM;SG	N;NOM;SG
liste	lista	liste	lista	N;FEM;SG	N;NOM;SG
équipe	brigád	équipe	brigád	N;FEM;SG	N;NOM;SG
équipe	osztag	équipe	osztag	N;FEM;SG	N;NOM;SG
équipe	csapat	équipe	csapat	N;FEM;SG	N;NOM;SG
club	klub	club	klub	N;MASC;SG	N;NOM;SG
partie	buli	partie	buli	N;FEM;SG	N;NOM;SG
partie	rész	partie	rész	N;FEM;SG	N;NOM;SG
partie	része	partie	rész	N;FEM;SG	N;NOM;SG
avant	előtt	avant	előtt	ADP	ADP
non	nem	non	nem	ADV	ADV
très	nagyon	très	nagyon	ADV	ADV
trois	három	trois	három	NUM	NUM;NOM;SG
articles	árucikkek	article	árucik	N;MASC;PL	N;NOM;PL
articles	cikkek	article	cikk	N;MASC;PL	N;NOM;PL
article	árucikk	article	árucikk	N;MASC;SG	N;NOM;SG
article	cikk	article	cikk	N;MASC;SG	N;NOM;SG
guerre	háború	guerre	háború	N;FEM;SG	N;NOM;SG
sans	nélkül	sans	nélkül	ADP	ADP
saison	szezont	saison	szezont	N;FEM;SG	N;ACC;SG
saison	idény	saison	idény	N;FEM;SG	N;NOM;SG
saison	évszak	saison	évszú	N;FEM;SG	N;NOM;SG
saison	évad	saison	évad	N;FEM;SG	N;NOM;SG
saison	szezon	saison	szez	N;FEM;SG	N;NOM;SG
fin	befejezés	fin	befejezés	N;FEM;SG	N;NOM;SG
fin	vége	fin	vég	N;FEM;SG	N;NOM;SG
fin	vég	fin	vég	N;FEM;SG	N;NOM;SG
vers	felé	vers	felé	ADP	ADP
année	évjárat	année	évjárat	N;FEM;SG	N;NOM;SG
année	éve	année	év	N;FEM;SG	N;NOM;SG
année	év	année	év	N;FEM;SG	N;NOM;SG
temps	időjárás	temps	időjárás	N;MASC;SG	N;NOM;SG
temps	ideje	temps	idő	N;MASC;SG	N;NOM;SG
temps	időpont	temps	időpont	N;MASC;SG	N;NOM;SG
temps	idő	temps	idő	N;MASC;SG	N;NOM;SG
faire	csinál	faire	csinál	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
mars	március	mars	március	N;MASC;SG	N;NOM;SG
mars	marson	mars	marson	N;MASC;SG	N;NOM;SG
histoire	történelme	histoire	történelem	N;FEM;SG	N;NOM;SG
histoire	történelem	histoire	történel	N;FEM;SG	N;NOM;SG
série	sorozat	série	sorozat	N;FEM;SG	N;NOM;SG
série	sorozat	série	sorozat	N;FEM;SG	N;NOM;SG
joueur	lejátszó	joueur	lejátszó	N;MASC;SG	N;NOM;SG
joueur	játékos	joueur	játékos	N;MASC;SG	N;NOM;SG
mai	május	mai	május	N;MASC;SG	N;NOM;SG
mai	májusban	mai	május	N;MASC;SG	N;IN+ESS;SG
tour	turné	tour	tur	N;MASC;SG	N;NOM;SG
tour	túra	tour	túra	N;MASC;SG	N;NOM;SG
tour	torony	tour	torony	N;MASC;SG	N;NOM;SG
mort	meghalt	mourir	meg+hal	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
juin	június	juin	június	N;MASC;SG	N;NOM;SG
juin	júniusban	juin	június	N;MASC;SG	N;IN+ESS;SG
pierre	kő	pierre	kő	N;FEM;SG	N;NOM;SG
région	régió	région	régió	N;FEM;SG	N;NOM;SG
région	terület	région	terület	N;FEM;SG	N;NOM;SG
région	környék	région	környék	N;FEM;SG	N;NOM;SG
janvier	január	janvier	január	N;MASC;SG	N;NOM;SG
janvier	januárban	janvier	január	N;MASC;SG	N;IN+ESS;SG
avoir	van	avoir	van	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
fois	times	fois	times	N;FEM;SG	N;NOM;SG
autre	más	autre	más	PRO;SG	PRO;NOM;SG;3
septembre	szeptemberben	septembre	szeptember	N;MASC;SG	N;IN+ESS;SG
septembre	szeptember	septembre	szeptember	N;MASC;SG	N;NOM;SG
juillet	júliusban	juillet	július	N;MASC;SG	N;IN+ESS;SG
juillet	július	juillet	július	N;MASC;SG	N;NOM;SG
état	állapot	état	állap	N;MASC;SG	N;NOM;SG
état	státusz	état	státusz	N;MASC;SG	N;NOM;SG
état	állapot	état	állap	N;MASC;SG	N;NOM;SG
état	állam	état	állam	N;MASC;SG	N;NOM;SG
état	állapota	état	állapot	N;MASC;SG	N;NOM;SG
état	feltétel	état	feltétel	N;MASC;SG	N;NOM;SG
état	állapot	état	állap	N;MASC;SG	N;NOM;SG
église	templom	église	templom	N;FEM;SG	N;NOM;SG
église	egyház	église	egyház	N;FEM;SG	N;NOM;SG
octobre	októberben	octobre	október	N;MASC;SG	N;IN+ESS;SG
octobre	október	octobre	október	N;MASC;SG	N;NOM;SG
place	hely	place	hely	N;FEM;SG	N;NOM;SG
famille	családi	famille	családi	N;FEM;SG	N;NOM;SG
famille	családtag	famille	családtag	N;FEM;SG	N;NOM;SG
famille	család	famille	család	N;FEM;SG	N;NOM;SG
états	államok	état	állam	N;MASC;PL	N;NOM;PL
états	államokat	état	állam	N;MASC;PL	N;ACC;PL
général	tábornok	général	tábornok	N;MASC;SG	N;NOM;SG
avril	április	avril	április	N;MASC;SG	N;NOM;SG
avril	áprilisban	avril	április	N;MASC;SG	N;IN+ESS;SG
album	album	album	album	N;MASC;SG	N;NOM;SG
décembre	december	décembre	december	N;MASC;SG	N;NOM;SG
décembre	decemberben	décembre	december	N;MASC;SG	N;IN+ESS;SG
août	augusztusban	août	augusztus	N;MASC;SG	N;IN+ESS;SG
août	augusztus	août	augusztus	N;MASC;SG	N;NOM;SG
août	aug	août	aug	N;MASC;SG	N;NOM;SG
novembre	november	novembre	november	N;MASC;SG	N;NOM;SG
novembre	novemberben	novembre	november	N;MASC;SG	N;IN+ESS;SG
novembre	nov	novembre	nov	N;MASC;SG	N;NOM;SG
prix	ára	prix	ár	N;MASC;SG	N;NOM;SG
nouvelle	új	nouveau	új	ADJ;FEM;SG	ADJ;NOM;SG
février	februárban	février	február	N;MASC;SG	N;IN+ESS;SG
février	február	février	február	N;MASC;SG	N;NOM;SG
département	részleg	département	részleg	N;MASC;SG	N;NOM;SG
grande	nagyméretű	grand	nagyméretű	ADJ;FEM;SG	ADJ;NOM;SG
grande	nagy	grand	nagy	ADJ;FEM;SG	ADJ;NOM;SG
grande	nagy	grand	nagy	ADJ;FEM;SG	ADJ;NOM;SG
peu	kevesen	peu	kevés	ADV	ADV
américain	amerikai	américain	amerikai	ADJ;MASC;SG	ADJ;NOM;SG
début	kezdés	début	kezdés	N;MASC;SG	N;NOM;SG
début	kezdete	début	kezdet	N;MASC;SG	N;NOM;SG
début	eleje	début	eleje	N;MASC;SG	N;NOM;SG
début	kezdet	début	kezd	N;MASC;SG	N;NOM;SG
ligne	vonal	ligne	vonal	N;FEM;SG	N;NOM;SG
ligne	sort	ligne	sor	N;FEM;SG	N;ACC;SG
suite	lakosztály	suite	lakosztály	N;FEM;SG	N;NOM;SG
nationale	nemzeti	national	nemzeti	ADJ;FEM;SG	ADJ;NOM;SG
nationale	országos	national	országos	ADJ;FEM;SG	ADJ;NOM;SG
championnat	bajnokság	championnat	bajnokság	N;MASC;SG	N;NOM;SG
encore	újra	encore	újra	ADV	ADV
encore	még	encore	még	ADV	ADV
image	képet	image	kép	N;FEM;SG	N;ACC;SG
image	kép	image	kép	N;FEM;SG	N;NOM;SG
image	fénykép	image	fénykép	N;FEM;SG	N;NOM;SG
image	kép	image	kép	N;FEM;SG	N;NOM;SG
image	képet	image	kép	N;FEM;SG	N;ACC;SG
vie	élet	vie	élet	N;FEM;SG	N;NOM;SG
vie	életem	vie	élet	N;FEM;SG	N;NOM;SG
lien	hivatkozás	lien	hivatkozás	N;MASC;SG	N;NOM;SG
lien	kapcsolat	lien	kapcsolat	N;MASC;SG	N;NOM;SG
lien	hivatkozást	lien	hivatkozás	N;MASC;SG	N;ACC;SG
football	foci	football	foci	N;MASC;SG	N;NOM;SG
football	futball	football	futball	N;MASC;SG	N;NOM;SG
football	foci	football	foci	N;MASC;SG	N;NOM;SG
football	football	football	football	N;MASC;SG	N;IN+ESS;SG
football	futball	football	futball	N;MASC;SG	N;NOM;SG
jeux	játékok	jeu	játék	N;MASC;PL	N;NOM;PL
moins	kevésbé	moins	kevésbé	ADV	ADV
page	oldalt	page	oldal	N;FEM;SG	N;ACC;SG
page	oldal	page	oldal	N;FEM;SG	N;NOM;SG
nouveau	új	nouveau	új	ADJ;MASC;SG	ADJ;NOM;SG
centre	középre	centre	közép	N;MASC;SG	N;ON+ALL;SG
centre	központ	centre	központ	N;MASC;SG	N;NOM;SG
centre	középre	centre	közép	N;MASC;SG	N;ON+ALL;SG
centre	központ	centre	központ	N;MASC;SG	N;NOM;SG
centre	centrum	centre	centrum	N;MASC;SG	N;NOM;SG
cours	tanfolyam	cours	tanfolyam	N;MASC;SG	N;NOM;SG
village	település	village	település	N;MASC;SG	N;NOM;SG
village	falu	village	falu	N;MASC;SG	N;NOM;SG
université	egyetem	université	egyetem	N;FEM;SG	N;NOM;SG
université	kollégium	université	kollégium	N;FEM;SG	N;NOM;SG
université	főiskola	université	főiskola	N;FEM;SG	N;NOM;SG
université	egyetem	université	egyetem	N;FEM;SG	N;NOM;SG
nombre	szám	nombre	szám	N;MASC;SG	N;NOM;SG
nombre	száma	nombre	szám	N;MASC;SG	N;NOM;SG
siècle	évszázad	siècle	évszázad	N;MASC;SG	N;NOM;SG
siècle	század	siècle	század	N;MASC;SG	N;NOM;SG
coupe	frizura	coupe	frizura	N;FEM;SG	N;NOM;SG
coupe	kupa	coupe	kupa	N;FEM;SG	N;NOM;SG
coupe	csésze	coupe	csésze	N;FEM;SG	N;NOM;SG
coupe	pohár	coupe	pohár	N;FEM;SG	N;NOM;SG
coupe	bögre	coupe	bögre	N;FEM;SG	N;NOM;SG
coupe	vágás	coupe	vágás	N;FEM;SG	N;NOM;SG
coupe	vágás	coupe	vágás	N;FEM;SG	N;NOM;SG
population	populáció	population	populáció	N;FEM;SG	N;NOM;SG
population	népesség	population	népesség	N;FEM;SG	N;NOM;SG
population	lakosság	population	lakosság	N;FEM;SG	N;NOM;SG
homme	férfi	homme	férfi	N;MASC;SG	N;NOM;SG
homme	hím	homme	hím	N;MASC;SG	N;NOM;SG
homme	férfi	homme	férfi	N;MASC;SG	N;NOM;SG
homme	férfi	homme	férfi	N;MASC;SG	N;NOM;SG
homme	ember	homme	ember	N;MASC;SG	N;NOM;SG
communes	települések	commune	település	N;FEM;PL	N;NOM;PL
communes	önkormányzatok	commune	önkormányzat	N;FEM;PL	N;NOM;PL
communes	települések	commune	település	N;FEM;PL	N;NOM;PL
division	hadosztály	division	hadosztály	N;FEM;SG	N;NOM;SG
division	körzet	division	körzet	N;FEM;SG	N;NOM;SG
division	részleg	division	részleg	N;FEM;SG	N;NOM;SG
division	divízió	division	divízió	N;FEM;SG	N;NOM;SG
président	elnök	président	elnök	N;MASC;SG	N;NOM;SG
président	széket	président	szék	N;MASC;SG	N;ACC;SG
président	szék	président	szék	N;MASC;SG	N;NOM;SG
président	elnök	président	elnök	N;MASC;SG	N;NOM;SG
national	nemzeti	national	nemzeti	ADJ;MASC;SG	ADJ;NOM;SG
national	országos	national	országos	ADJ;MASC;SG	ADJ;NOM;SG
société	társadalom	société	társadalom	N;FEM;SG	N;NOM;SG
société	társaság	société	társaság	N;FEM;SG	N;NOM;SG
société	vállalat	société	vállalat	N;FEM;SG	N;NOM;SG
société	cég	société	cég	N;FEM;SG	N;NOM;SG
société	század	société	század	N;FEM;SG	N;NOM;SG
quatre	négy	quatre	négy	NUM	NUM;NOM;SG
cas	ügy	cas	ügy	N;MASC;SG	N;NOM;SG
cas	eset	cas	eset	N;MASC;SG	N;NOM;SG
jeu	szerencsejáték	jeu	szerencsejáték	N;MASC;SG	N;NOM;SG
jeu	játék	jeu	játék	N;MASC;SG	N;NOM;SG
jeu	meccs	jeu	meccs	N;MASC;SG	N;NOM;SG
jeu	szerencsejáték	jeu	szerencsejáték	N;MASC;SG	N;NOM;SG
genre	műfaj	genre	műfaj	N;MASC;SG	N;NOM;SG
genre	nemi	genre	nemi	N;MASC;SG	N;NOM;SG
genre	neme	genre	ne	N;MASC;SG	N;NOM;SG
musique	zene	musique	zene	N;FEM;SG	N;NOM;SG
fils	drót	fils	dró	N;MASC;SG	N;NOM;SG
fils	vezeték	fils	vezeték	N;MASC;SG	N;NOM;SG
fils	fiam	fils	fia	N;MASC;SG	N;NOM;SG
fils	fiuk	fils	fiuk	N;MASC;SG	N;NOM;SG
fils	fonalat	fils	fonalat	N;MASC;SG	N;ACC;SG
fils	fonal	fils	fonal	N;MASC;SG	N;NOM;SG
parti	elment	partir	elment	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
parti	eltűnt	partir	el+tűnik	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
jour	nap	jour	nap	N;MASC;SG	N;NOM;SG
jour	napon	jour	nap	N;MASC;SG	N;ON+ESS;SG
jour	nappal	jour	nap	N;MASC;SG	N;INS;SG
jour	napot	jour	nap	N;MASC;SG	N;ACC;SG
europe	európában	europe	európa	N;FEM;SG	N;IN+ESS;SG
forme	űrlap	forme	űrlap	N;FEM;SG	N;NOM;SG
forme	forma	forme	forma	N;FEM;SG	N;NOM;SG
forme	formájában	forme	forma	N;FEM;SG	N;IN+ESS;SG
forme	nyomtatvány	forme	nyomtatvány	N;FEM;SG	N;NOM;SG
forme	alakja	forme	alak	N;FEM;SG	N;NOM;SG
forme	forma	forme	forma	N;FEM;SG	N;NOM;SG
forme	formát	forme	forma	N;FEM;SG	N;ACC;SG
forme	alakzat	forme	alakzat	N;FEM;SG	N;NOM;SG
époque	korszak	époque	korsz	N;FEM;SG	N;NOM;SG
époque	korszak	époque	korsz	N;FEM;SG	N;NOM;SG
devient	válik	devenir	válik	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
ancien	idősebb	ancien	idős	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
ancien	korábbi	ancien	korábbi	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
origine	eredet	origine	eredet	N;FEM;SG	N;NOM;SG
origine	eredete	origine	eredet	N;FEM;SG	N;NOM;SG
origine	származás	origine	származás	N;FEM;SG	N;NOM;SG
origine	eredet	origine	eredet	N;FEM;SG	N;NOM;SG
ordre	megrendelés	ordre	megrendelés	N;MASC;SG	N;NOM;SG
ordre	rendelés	ordre	rendelés	N;MASC;SG	N;NOM;SG
ordre	rend	ordre	rend	N;MASC;SG	N;NOM;SG
ordre	parancs	ordre	parancs	N;MASC;SG	N;NOM;SG
château	várban	château	vár	N;MASC;SG	N;IN+ESS;SG
château	kastély	château	kastély	N;MASC;SG	N;NOM;SG
école	iskola	école	iskola	N;FEM;SG	N;NOM;SG
école	iskolában	école	iskolában	N;FEM;SG	N;IN+ESS;SG
école	iskola	école	iskola	N;FEM;SG	N;NOM;SG
carrière	karrier	carrière	karrier	N;FEM;SG	N;NOM;SG
carrière	karrier	carrière	karrier	N;FEM;SG	N;NOM;SG
part	részesedése	part	részesedés	N;FEM;SG	N;NOM;SG
part	részesedés	part	részesedés	N;FEM;SG	N;NOM;SG
charles	károly	charle	károly	N;MASC;SG	N;NOM;SG
points	pontokat	point	pont	N;MASC;PL	N;ACC;PL
points	pontok	point	pont	N;MASC;PL	N;NOM;PL
points	pontok	point	pont	N;MASC;PL	N;NOM;PL
rue	utca	rue	utca	N;FEM;SG	N;NOM;SG
chef	szakács	chef	szakács	N;MASC;SG	N;NOM;SG
chef	séf	chef	séf	N;MASC;SG	N;NOM;SG
chef	főnök	chef	főnök	N;MASC;SG	N;NOM;SG
père	apa	père	apa	N;MASC;SG	N;NOM;SG
exemple	példa	exemple	példa	N;MASC;SG	N;NOM;SG
trouve	talál	trouver	talál	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
trouve	megtalálja	trouver	meg+talál	V;IND;SG;3;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
rapport	jelentést	rapport	jelentés	N;MASC;SG	N;ACC;SG
rapport	jelentés	rapport	jelentés	N;MASC;SG	N;NOM;SG
art	művészet	art	művészet	N;MASC;SG	N;NOM;SG
dernier	legújabb	dernier	legújabb	ADJ;MASC;SG	ADJ;NOM;RL;SG
dernier	legfrissebb	dernier	fons	ADJ;MASC;SG	ADJ;NOM;RL;SG
type	típus	type	típus	N;MASC;SG	N;NOM;SG
type	típusa	type	típus	N;MASC;SG	N;NOM;SG
habitants	lakói	habitant	lakó	N;MASC;PL	N;NOM;PL
habitants	lakosok	habitant	lakos	N;MASC;PL	N;NOM;PL
habitants	lakói	habitant	lakó	N;MASC;PL	N;NOM;PL
habitants	lakók	habitant	lakó	N;MASC;PL	N;NOM;PL
habitants	lakosok	habitant	lakos	N;MASC;PL	N;NOM;PL
compte	fiók	compte	fió	N;MASC;SG	N;NOM;SG
compte	számla	compte	számla	N;MASC;SG	N;NOM;SG
période	időszak	période	időszak	N;FEM;SG	N;NOM;SG
période	időtartam	période	időtartam	N;FEM;SG	N;NOM;SG
période	periódus	période	periódus	N;FEM;SG	N;NOM;SG
armée	katonaság	armée	katonaság	N;FEM;SG	N;NOM;SG
armée	hadsereg	armée	hadsereg	N;FEM;SG	N;NOM;SG
armée	sereg	armée	sereg	N;FEM;SG	N;NOM;SG
armée	hadsereg	armée	hadsereg	N;FEM;SG	N;NOM;SG
eau	víz	eau	víz	N;FEM;SG	N;NOM;SG
eau	vizet	eau	víz	N;FEM;SG	N;ACC;SG
discuter	beszélgetni	discuter	beszélget	V;NFIN	V;NFIN;ACT
province	tartomány	province	tartomány	N;FEM;SG	N;NOM;SG
province	tartományban	province	tartomány	N;FEM;SG	N;IN+ESS;SG
international	nemzetközi	international	nemzetközi	ADJ;MASC;SG	ADJ;NOM;SG
conseil	tanácsadás	conseil	tanácsadás	N;MASC;SG	N;NOM;SG
conseil	konzultáció	conseil	konzultáció	N;MASC;SG	N;NOM;SG
conseil	tanácsadás	conseil	tanácsadás	N;MASC;SG	N;NOM;SG
conseil	tanács	conseil	tanács	N;MASC;SG	N;NOM;SG
conseil	tanácsot	conseil	tanács	N;MASC;SG	N;ACC;SG
conseil	tanács	conseil	tanács	N;MASC;SG	N;NOM;SG
maison	ház	maison	ház	N;FEM;SG	N;NOM;SG
cela	ezt	cela	ez	PRO;SG	PRO;ACC;SG;3
cela	ez	cela	ez	PRO;SG	PRO;NOM;SG;3
cela	ez	cela	ez	PRO;SG	PRO;NOM;SG;3
demande	megkeresés	demande	megkeresés	N;FEM;SG	N;NOM;SG
demande	kérésére	demande	kérés	N;FEM;SG	N;ON+ALL;SG
demande	kérésre	demande	kérés	N;FEM;SG	N;ON+ALL;SG
demande	kérés	demande	kérés	N;FEM;SG	N;NOM;SG
fonction	függvény	fonction	függvény	N;FEM;SG	N;NOM;SG
fonction	funkció	fonction	funkció	N;FEM;SG	N;NOM;SG
toujours	mindig	toujours	mindig	ADV	ADV
toujours	még	toujours	még	ADV	ADV
doit	kell	devoir	kell	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
production	előállítás	production	előállítás	N;FEM;SG	N;NOM;SG
production	gyártás	production	gyártás	N;FEM;SG	N;NOM;SG
production	termelés	production	termelés	N;FEM;SG	N;NOM;SG
membre	tag	membre	tag	N;MASC;SG	N;NOM;SG
rôle	szerepet	rôle	szerep	N;MASC;SG	N;ACC;SG
rôle	szerep	rôle	szerep	N;MASC;SG	N;NOM;SG
rôle	szerepe	rôle	szerep	N;MASC;SG	N;NOM;SG
meilleur	jobb	meilleur	jó	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
droit	jog	droit	jog	N;MASC;SG	N;NOM;SG
droit	törvény	droit	törvény	N;MASC;SG	N;NOM;SG
mois	hónap	mois	hónap	N;MASC;SG	N;NOM;SG
mois	hónap	mois	hónap	N;MASC;SG	N;NOM;SG
mois	hónapja	mois	hónap	N;MASC;SG	N;NOM;SG
île	sziget	île	sziget	N;FEM;SG	N;NOM;SG
île	szigeten	île	sziget	N;FEM;SG	N;ON+ESS;SG
île	île	île	île	N;FEM;SG	N;NOM;SG
république	köztársaság	république	köztársaság	N;FEM;SG	N;NOM;SG
service	szerviz	service	szerviz	N;MASC;SG	N;NOM;SG
service	szolgálat	service	szolgálat	N;MASC;SG	N;NOM;SG
service	szolgáltatás	service	szolgáltatás	N;MASC;SG	N;NOM;SG
score	pontszám	score	pontszám	N;MASC;SG	N;NOM;SG
ensuite	akkor	ensuite	akkor	ADV	ADV
langue	nyelv	langue	nyelv	N;FEM;SG	N;NOM;SG
dit	mondta	dire	mond	V;MASC;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
gouvernement	kormány	gouvernement	kormány	N;MASC;SG	N;NOM;SG
gouvernement	kormányzat	gouvernement	kormányzat	N;MASC;SG	N;NOM;SG
center	középre	center	közép	N;MASC;SG	N;ON+ALL;SG
center	központ	center	központ	N;MASC;SG	N;NOM;SG
elles	ők	il	ők	PRO;FEM;PL;3	PRO;NOM;PL;3
petit	kis	petit	kis	ADJ;MASC;SG	ADJ;NOM;SG
petit	kis	petit	kis	ADJ;MASC;SG	ADJ;NOM;SG
argent	pénz	argent	pénz	N;MASC;SG	N;NOM;SG
argent	pénzt	argent	pénz	N;MASC;SG	N;ACC;SG
argent	készpénz	argent	készpénz	N;MASC;SG	N;NOM;SG
argent	készpénzben	argent	készpénz	N;MASC;SG	N;IN+ESS;SG
argent	pénzt	argent	pénz	N;MASC;SG	N;ACC;SG
style	stílus	style	stílus	N;MASC;SG	N;NOM;SG
face	arcát	face	arca	N;FEM;SG	N;ACC;SG
face	arc	face	arc	N;FEM;SG	N;NOM;SG
face	arca	face	az	N;FEM;SG	N;NOM;SG
ministre	miniszter	ministre	miniszter	N;MASC;SG	N;NOM;SG
mondiale	világszintű	mondial	világszintű	ADJ;FEM;SG	ADJ;NOM;SG
