bija	بود	būt	بود#باش	V;FH;IND;3;POS;PST;FIN;ACT	V;SG;3;PST
spēles	بازیهای	spēle	None	N;NOM;FEM;PL	N;PL
spēles	بازیها	spēle	بازی	N;NOM;FEM;PL	N;PL
nosaukums	نام	nosaukums	نام	N;NOM;MASC;SG	N;SG
sezonas	فصلها	sezona	فصل	N;NOM;FEM;PL	N;PL
sezonas	فصول	sezona	فصول	N;NOM;FEM;PL	N;PL
visu	همه	viss	همه	PRO;ACC;MASC;SG	PRO
grupas	گروهها	grupa	گروه	N;NOM;FEM;PL	N;PL
vienu	یکی	viens	یک	NUM;ACC;MASC;SG	NUM
vienu	یک	viens	یک	NUM;ACC;MASC;SG	NUM
laika	هوای	laiks	هوا	N;GEN;MASC;SG	N;SG
laika	هوا	laiks	هوا	N;GEN;MASC;SG	N;SG
laika	زمان	laiks	زمان	N;GEN;MASC;SG	N;SG
laika	تایم	laiks	تایم	N;GEN;MASC;SG	N;SG
gads	سال	gads	سال	N;NOM;MASC;SG	N;SG
centra	سنتر	centrs	سنتر	N;GEN;MASC;SG	N;SG
centra	مرکز	centrs	مرکز	N;GEN;MASC;SG	N;SG
otrā	دوم	otrā	دوم	ADJ;NOM;DEF;FEM;SG	ADJ
otrā	دومی	otrā	None	ADJ;NOM;DEF;FEM;SG	ADJ
krievu	روس	krievs	روس	N;ACC;MASC;SG	N;SG
krievu	روسیه	krievs	روسیه	N;ACC;MASC;SG	N;SG
krievu	روسی	krievs	روسی	N;ACC;MASC;SG	N;SG
krievu	روسو	krievs	روسو	N;ACC;MASC;SG	N;SG
profils	profile	profils	profile	N;NOM;MASC;SG	N;SG
profils	نمایه	profils	نمایه	N;NOM;MASC;SG	N;SG
profils	پروفایل	profils	پروفایل	N;NOM;MASC;SG	N;SG
bez	بدون	bez	بدون	ADP	ADP
tautas	مردمان	tauta	مردم	N;NOM;FEM;PL	N;PL
apmēram	حدوداً	apmēram	حدوداً	ADV	ADV
daudz	بسیار	daudz	بسیار	ADV	ADV
daudz	بسیار	daudz	بسیار	ADV	ADV
divas	دو	divas	دو	NUM;NOM;FEM;PL	NUM
komandas	فرمانها	komanda	فرمان	N;NOM;FEM;PL	N;PL
komandas	فرمانهای	komanda	فرمان	N;NOM;FEM;PL	N;PL
komandas	تیمهای	komanda	تیم	N;NOM;FEM;PL	N;PL
pils	قصر	pils	None	N;NOM;FEM;SG	N;SG
pils	کاستل	pils	کاستل	N;NOM;FEM;SG	N;SG
pils	کستل	pils	کستل	N;NOM;FEM;SG	N;SG
pils	قلعه	pils	قلعه	N;NOM;FEM;SG	N;SG
pils	دیس	pils	دیس	N;NOM;FEM;SG	N;SG
pils	کاخ	pils	کاخ	N;NOM;FEM;SG	N;SG
pils	قصر	pils	None	N;NOM;FEM;SG	N;SG
vietas	مکانهای	vieta	مکان	N;NOM;FEM;PL	N;PL
vietas	مکانها	vieta	مکان	N;NOM;FEM;PL	N;PL
vietas	محلهای	vieta	محل	N;NOM;FEM;PL	N;PL
vietas	مکانهایی	vieta	مکان	N;NOM;FEM;PL	N;PL
vietas	مکانها	vieta	مکان	N;NOM;FEM;PL	N;PL
vietas	مساجد	vieta	None	N;NOM;FEM;PL	N;PL
valodas	زبانهای	valoda	زبان	N;NOM;FEM;PL	N;PL
valodas	زبانها	valoda	زبان	N;NOM;FEM;PL	N;PL
sezonā	فصل	sezona	فصل	N;ESS;FEM;SG	N;SG
grupa	گروهبندی	grupa	گروهبندی	N;NOM;FEM;SG	N;SG
grupa	گروپ	grupa	گروپ	N;NOM;FEM;SG	N;SG
grupa	گروه	grupa	گروه	N;NOM;FEM;SG	N;SG
ūdens	آب	ūdens	آب	N;NOM;MASC;SG	N;SG
šīs	اینها	šī	این	PRO;NOM;FEM;PL	PRO;PL
valoda	زبان	valoda	زبان	N;NOM;FEM;SG	N;SG
janvārī	ژانویه	janvāris	ژانویه	N;ESS;MASC;SG	N;SG
sugas	گونههای	suga	گونه	N;NOM;FEM;PL	N;PL
pasaulē	جهان	pasaule	جهان	N;ESS;FEM;SG	N;SG
pasaulē	دنیا	pasaule	دنیا	N;ESS;FEM;SG	N;SG
pasaulē	جهانی	pasaule	جهانی	N;ESS;FEM;SG	N;SG
jūlijā	ژوئیه	jūlijs	ژوئیه	N;ESS;MASC;SG	N;SG
jūlijā	جولای	jūlijs	جولا	N;ESS;MASC;SG	N;SG
ciems	روستای	ciems	روستا	N;NOM;MASC;SG	N;SG
ciems	دهکده	ciems	دهکده	N;NOM;MASC;SG	N;SG
ciems	ویلیج	ciems	ویلیج	N;NOM;MASC;SG	N;SG
ciems	روستا	ciems	روستا	N;NOM;MASC;SG	N;SG
citas	دیگران	cita	دیگری	PRO;NOM;FEM;PL	PRO
skaits	شمارش	skaits	شمارش	N;NOM;MASC;SG	N;SG
skaits	عدد	skaits	عدد	N;NOM;MASC;SG	N;SG
skaits	شمارۀ	skaits	شمارۀ	N;NOM;MASC;SG	N;SG
skaits	شماره	skaits	شماره	N;NOM;MASC;SG	N;SG
suga	گونه	suga	گونه	N;NOM;FEM;SG	N;SG
aptuveni	حدوداً	aptuveni	حدوداً	ADV	ADV
apriņķis	شهرستان	apriņķis	شهرستان	N;NOM;MASC;SG	N;SG
apriņķis	کانتی	apriņķis	کانت#کان	N;NOM;MASC;SG	N;SG
upes	ریور	upe	ریور	N;NOM;FEM;SG	N;SG
upes	رودخانه	upe	رودخانه	N;NOM;FEM;SG	N;SG
upes	ریورز	upe	ریورز	N;NOM;FEM;SG	N;SG
komanda	فرمان	komanda	فرمان	N;NOM;FEM;SG	N;SG
komanda	تیم	komanda	تیم	N;NOM;FEM;SG	N;SG
komanda	تیمی	komanda	تیم	N;NOM;FEM;SG	N;SG
martā	مارس	marts	مارس	N;ESS;MASC;SG	N;SG
martā	پیشروی	marts	پیشروی	N;ESS;MASC;SG	N;SG
martā	راهپیمایی	marts	راهپیمایی	N;ESS;MASC;SG	N;SG
novembrī	نوامبر	novembris	نوامبر	N;ESS;MASC;SG	N;SG
augustā	آگوست	augusts	آگوست	N;ESS;MASC;SG	N;SG
augustā	آگست	augusts	آگست	N;ESS;MASC;SG	N;SG
augustā	اوت	augusts	اوت	N;ESS;MASC;SG	N;SG
dienas	روزها	diena	روز	N;NOM;FEM;PL	N;PL
dienas	روزهایی	diena	روز	N;NOM;FEM;PL	N;PL
dienas	روزای	diena	روزا	N;NOM;FEM;PL	N;PL
dienas	روزهای	diena	روز	N;NOM;FEM;PL	N;PL
jūnijā	ژوئن	jūnijs	None	N;ESS;MASC;SG	N;SG
klubs	باشگاه	klubs	باشگاه	N;NOM;MASC;SG	N;SG
klubs	چماق	klubs	چماق	N;NOM;MASC;SG	N;SG
klubs	کلاب	klubs	کلاب	N;NOM;MASC;SG	N;SG
klubs	کلوب	klubs	کلوب	N;NOM;MASC;SG	N;SG
klubs	کلوپ	klubs	کلوپ	N;NOM;MASC;SG	N;SG
cilvēku	انسان	cilvēks	انسان	N;ACC;MASC;SG	N;SG
cilvēku	انسانی	cilvēks	انسانی	N;ACC;MASC;SG	N;SG
cilvēku	بشر	cilvēks	بشر	N;ACC;MASC;SG	N;SG
salas	جزایر	sala	جزایر	N;NOM;FEM;PL	N;PL
hokeja	هاکی	hokejs	هاکی	N;GEN;MASC;SG	N;SG
decembrī	دسامبر	decembris	دسامبر	N;ESS;MASC;SG	N;SG
dzelzceļa	ریل	dzelzceļš	ریل	N;GEN;MASC;SG	N;SG
iespējams	ممکن	iespējams	ممکن	ADJ;NOM;MASC;SG	ADJ
septembrī	september	septembris	september	N;ESS;MASC;SG	N;SG
septembrī	سپتامبر	septembris	سپتامبر	N;ESS;MASC;SG	N;SG
gadus	سالهای	gads	سال	N;ACC;MASC;PL	N;PL
gadus	سالها	gads	سال	N;ACC;MASC;PL	N;PL
impērijas	فرمانروایان	impērija	فرمانروا	N;NOM;FEM;PL	N;PL
oktobrī	اکتبر	oktobris	اکتبر	N;ESS;MASC;SG	N;SG
oktobrī	october	oktobris	None	N;ESS;MASC;SG	N;SG
daļas	قطعات	daļa	قطعه	N;NOM;FEM;PL	N;PL
kultūras	فرهنگهای	kultūra	فرهنگ	N;NOM;FEM;PL	N;PL
rietumu	وست	rietumi	None	N;ACC;MASC;SG	N;SG
rietumu	باختر	rietumi	باخت#باز	N;ACC;MASC;SG	N;SG
rietumu	غرب	rietumi	غرب	N;ACC;MASC;SG	N;SG
rietumu	وسترن	rietumi	وسترن	N;ACC;MASC;SG	N;SG
dzimums	جنسیتی	dzimums	جنسیتی	N;NOM;MASC;SG	N;SG
dzimums	جنسیت	dzimums	جنسیت	N;NOM;MASC;SG	N;SG
dzimums	سکس	dzimums	سکس	N;NOM;MASC;SG	N;SG
dzimums	جنسیت	dzimums	جنسیت	N;NOM;MASC;SG	N;SG
dzimums	جنسی	dzimums	جنسی	N;NOM;MASC;SG	N;SG
tagad	اکنون	tagad	اکنون	ADV	ADV
tagad	الان	tagad	الان	ADV	ADV
tagad	حالا	tagad	حالا	ADV	ADV
baznīcas	کلیساها	baznīca	کلیسا	N;NOM;FEM;PL	N;PL
baznīcas	کلیساهای	baznīca	کلیسا	N;NOM;FEM;PL	N;PL
auto	خودرو	auto	خودرو	N	N;SG
auto	خودروی	auto	خودرو	N	N;SG
auto	ماشین	auto	ماشین	N	N;SG
auto	کامیونی	auto	کامیونی	N	N;SG
auto	کامیون	auto	کامیون	N	N;SG
auto	کامیونت	auto	کامیونت	N	N;SG
auto	وانت	auto	وانت	N	N;SG
auto	خودکار	auto	خودکار	N	N;SG
baznīca	کلیسا	baznīca	None	N;NOM;FEM;SG	N;SG
baznīca	چرچ	baznīca	چرچ	N;NOM;FEM;SG	N;SG
baznīca	کلیسای	baznīca	None	N;NOM;FEM;SG	N;SG
visas	همه	visa	همه	PRO;NOM;FEM;PL	PRO
aprīlī	اپریل	aprīlis	اپریل	N;ESS;MASC;SG	N;SG
aprīlī	آوریل	aprīlis	None	N;ESS;MASC;SG	N;SG
sporta	اسپورتینگ	sports	اسپورتینگ	N;GEN;MASC;SG	N;SG
sporta	ورزشی	sports	ورزشی	N;GEN;MASC;SG	N;SG
sporta	sport	sports	sport	N;GEN;MASC;SG	N;SG
sporta	اسپورت	sports	اسپورت	N;GEN;MASC;SG	N;SG
sporta	ورزش	sports	ورزش	N;GEN;MASC;SG	N;SG
sporta	ورزشی	sports	ورزشی	N;GEN;MASC;SG	N;SG
sporta	ورزشکار	sports	ورزشکار	N;GEN;MASC;SG	N;SG
sporta	اسپرت	sports	اسپرت	N;GEN;MASC;SG	N;SG
sporta	اسپورت	sports	اسپورت	N;GEN;MASC;SG	N;SG
sporta	ورزشی	sports	ورزشی	N;GEN;MASC;SG	N;SG
sporta	ورزش	sports	ورزش	N;GEN;MASC;SG	N;SG
mājaslapa	سایت	mājaslaps	سایت	N;NOM;FEM;SG	N;SG
mājaslapa	وبگاه	mājaslaps	وبگاه	N;NOM;FEM;SG	N;SG
mājaslapa	وبسایت	mājaslaps	وبسایت	N;NOM;FEM;SG	N;SG
mājaslapa	آغازه	mājaslaps	آغازه	N;NOM;FEM;SG	N;SG
diskusija	بحثش	diskusija	بحثش	N;NOM;FEM;SG	N;SG
diskusija	بحث	diskusija	بحث	N;NOM;FEM;SG	N;SG
citi	دیگران	cits	دیگری	PRO;NOM;MASC;PL	PRO
viņam	او	viņš	او	PRO;DAT;MASC;SG;3	PRO;SG;3
varētu	میتوانست	varēt	توانست#توان	V;COND;POS;FIN;ACT	V;SG;3;PST
februārī	فوریه	februāris	فوریه	N;ESS;MASC;SG	N;SG
gandrīz	تقریباً	gandrīz	تقریباً	ADV	ADV
gandrīz	تقریبا	gandrīz	None	ADV	ADV
krastā	ساحل	krasts	ساحل	N;ESS;MASC;SG	N;SG
pasta	نامۀ	pasts	نامۀ	N;NOM;MASC;SG	N;SG
pasta	نامه	pasts	نامه	N;NOM;MASC;SG	N;SG
albums	آلبوم	albums	آلبوم	N;NOM;MASC;SG	N;SG
lauku	روستایی	lauks	روستایی	N;ACC;MASC;SG	N;SG
gadi	سالهای	gads	سال	N;NOM;MASC;PL	N;PL
gadi	سالها	gads	سال	N;NOM;MASC;PL	N;PL
karalis	پادشاه	karalis	پادشاه	N;NOM;MASC;SG	N;SG
karalis	کینگ	karalis	کینگ	N;NOM;MASC;SG	N;SG
karalis	شاه	karalis	شاه	N;NOM;MASC;SG	N;SG
nodarbošanās	اشغال	nodarbošanās	اشغال	N;NOM;FEM;SG	N;SG
galvenokārt	غالبا	galvenokārt	غالبا	ADV	ADV
galvenokārt	اساسا	galvenokārt	اساساً	ADV	ADV
galvenokārt	عمدتاً	galvenokārt	عمدتا	ADV	ADV
galvenokārt	عمدتاً	galvenokārt	عمدتا	ADV	ADV
politiķis	سیاستمدار	politiķis	سیاستمدار	N;NOM;MASC;SG	N;SG
šeit	اینجا	šeit	اینجا	ADV	ADV;ESS
universitātes	دانشگاههای	universitāte	دانشگاه	N;NOM;FEM;PL	N;PL
universitātes	دانشگاهها	universitāte	دانشگاه	N;NOM;FEM;PL	N;PL
iii	سوم	būt	سوم	ADJ	ADJ
darba	کار	darbs	کار	N;GEN;MASC;SG	N;SG
gadiem	سالهای	gads	سال	N;DAT;MASC;PL	N;PL
gadiem	سالها	gads	سال	N;DAT;MASC;PL	N;PL
apgabals	شهرستان	apgabals	شهرستان	N;NOM;MASC;SG	N;SG
apgabals	کانتی	apgabals	کانت#کان	N;NOM;MASC;SG	N;SG
apgabals	منطقه	apgabals	منطقه	N;NOM;MASC;SG	N;SG
apgabals	ناحیه	apgabals	ناحیه	N;NOM;MASC;SG	N;SG
apgabals	بخش	apgabals	بخش	N;NOM;MASC;SG	N;SG
apgabals	منطقه	apgabals	منطقه	N;NOM;MASC;SG	N;SG
apgabals	مساحت	apgabals	مساحت	N;NOM;MASC;SG	N;SG
apgabals	ناحیه	apgabals	ناحیه	N;NOM;MASC;SG	N;SG
darbības	عملیات	darbība	عملیات	N;NOM;FEM;PL	N;PL
darbības	فعالیتها	darbība	فعالیت	N;NOM;FEM;PL	N;PL
pilsētu	شهری	pilsēta	شهر	N;ACC;FEM;SG	N;SG
pilsētu	urban	pilsēta	urban	N;ACC;FEM;SG	N;SG
pilsētu	اوربان	pilsēta	اوربان	N;ACC;FEM;SG	N;SG
cilvēki	افراد	cilvēks	فرد	N;NOM;MASC;PL	N;PL
cilvēki	مردمان	cilvēks	مردم	N;NOM;MASC;PL	N;PL
cilvēki	آدمها	cilvēks	آدم	N;NOM;MASC;PL	N;PL
izlase	نمونه	izlase	نمونه	N;NOM;FEM;SG	N;SG
izlase	گزینش	izlase	گزینش	N;NOM;FEM;SG	N;SG
tur	آنجا	tur	آنجا	ADV	ADV;ESS
viņi	ایشان	viņš	ایشان	PRO;NOM;MASC;PL;3	PRO;PL;3
īpaši	مخصوصا	īpaši	مخصوصا	ADV	ADV
dienvidu	جنوب	dienvidi	جنوب	N;ACC;MASC;SG	N;SG
dienvidu	جنوبی	dienvidi	جنوبی	N;ACC;MASC;SG	N;SG
dienvidu	ساوت	dienvidi	ساوت	N;ACC;MASC;SG	N;SG
dienvidu	جنوب	dienvidi	جنوب	N;ACC;MASC;SG	N;SG
dienvidu	جنوبی	dienvidi	جنوبی	N;ACC;MASC;SG	N;SG
partija	مهمانی	partija	مهمان	N;NOM;FEM;SG	N;SG
partija	پارتی	partija	پارت	N;NOM;FEM;SG	N;SG
partija	مهمونی	partija	مهمونی	N;NOM;FEM;SG	N;SG
partija	حزب	partija	حزب	N;NOM;FEM;SG	N;SG
partija	جشن	partija	جشن	N;NOM;FEM;SG	N;SG
partija	دسته	partija	دسته	N;NOM;FEM;SG	N;SG
partija	لوط	partija	لوط	N;NOM;FEM;SG	N;SG
kluba	باشگاه	klubs	باشگاه	N;NOM;MASC;SG	N;SG
kluba	چماق	klubs	چماق	N;NOM;MASC;SG	N;SG
kluba	کلاب	klubs	کلاب	N;NOM;MASC;SG	N;SG
kluba	کلوب	klubs	کلوب	N;NOM;MASC;SG	N;SG
kluba	کلوپ	klubs	کلوپ	N;NOM;MASC;SG	N;SG
teritorijas	سرزمینهای	teritorija	سرزمین	N;NOM;FEM;PL	N;PL
teritorijas	نواحی	teritorija	ناحیه	N;NOM;FEM;PL	N;PL
teritorijas	مناطق	teritorija	منطقه	N;NOM;FEM;PL	N;PL
rajons	تقسیم	rajons	تقسیم	N;NOM;MASC;SG	N;SG
rajons	واحد	rajons	واحد	N;NOM;MASC;SG	N;SG
rajons	منطقه	rajons	منطقه	N;NOM;MASC;SG	N;SG
rajons	ناحیه	rajons	ناحیه	N;NOM;MASC;SG	N;SG
rajons	بخش	rajons	بخش	N;NOM;MASC;SG	N;SG
balvu	جایزه	balva	جایزه	N;ACC;FEM;SG	N;SG
medaļu	مدال	medaļa	مدال	N;ACC;FEM;SG	N;SG
lielā	بزرگ	liels	بزرگ	ADJ;NOM;FEM;SG	ADJ
lielā	درشت	liels	درشت	ADJ;NOM;FEM;SG	ADJ
lielā	بزرگ	liels	بزرگ	ADJ;NOM;FEM;SG	ADJ
pirmās	اول	pirmā	اول	ADJ;NOM;DEF;FEM;PL	ADJ
ielas	خیابانها	iela	خیابان	N;NOM;FEM;PL	N;PL
visi	همه	viss	همه	PRO;NOM;MASC;PL	PRO
visi	همه	viss	همه	PRO;NOM;MASC;PL	PRO
visi	همه	viss	همه	PRO;NOM;MASC;PL	PRO
sistēmas	سیستمها	sistēma	سیستم	N;NOM;FEM;PL	N;PL
pusē	پهلو	puse	پهلو	N;ESS;FEM;SG	N;SG
pusē	طرف	puse	طرف	N;ESS;FEM;SG	N;SG
līga	لیگ	līga	لیگ	N;NOM;FEM;SG	N;SG
divi	دو	divi	دو	NUM;NOM;MASC;PL	NUM
nāves	مرگ	nāve	مرگ	N;NOM;FEM;SG	N;SG
augusts	آگوست	augusts	آگوست	N;NOM;MASC;SG	N;SG
augusts	آگست	augusts	آگست	N;NOM;MASC;SG	N;SG
augusts	اوت	augusts	اوت	N;NOM;MASC;SG	N;SG
augusts	آگوستوس	augusts	آگوستوس	N;NOM;MASC;SG	N;SG
galvenais	اصلی	galvenais	اصلی	ADJ;NOM;MASC;SG	ADJ
universitāte	دانشگاه	universitāte	دانشگاه	N;NOM;FEM;SG	N;SG
universitāte	qom	universitāte	qom	N;NOM;FEM;SG	N;SG
nodaļa	سوره	nodaļa	سوره	N;NOM;FEM;SG	N;SG
nodaļa	فصل	nodaļa	فصل	N;NOM;FEM;SG	N;SG
liela	بزرگ	liela	بزرگ	ADJ;NOM;FEM;SG	ADJ
liela	درشت	liela	درشت	ADJ;NOM;FEM;SG	ADJ
liela	بزرگ	liela	بزرگ	ADJ;NOM;FEM;SG	ADJ
liela	عالی	liela	عالی	ADJ;NOM;FEM;SG	ADJ
stacija	پاسگاه	stacija	پاسگاه	N;NOM;FEM;SG	N;SG
stacija	ایستگاه	stacija	ایستگاه	N;NOM;FEM;SG	N;SG
rakstnieks	نویسنده	rakstnieks	نویسنده	N;NOM;MASC;SG	N;SG
universitātē	دانشگاه	universitāte	دانشگاه	N;ESS;FEM;SG	N;SG
universitātē	qom	universitāte	qom	N;ESS;FEM;SG	N;SG
zem	زیر	zem	زیر	ADP	ADP
zem	تحت	zem	تحت	ADP	ADP
zem	زیر	zem	زیر	ADP	ADP
filma	فیلمی	filma	فیلم	N;NOM;FEM;SG	N;SG
filma	فیلم	filma	فیلم	N;NOM;FEM;SG	N;SG
filma	فیلم	filma	فیلم	N;NOM;FEM;SG	N;SG
filmas	فیلمهایی	filma	فیلم	N;NOM;FEM;PL	N;PL
filmas	فیلمهای	filma	فیلم	N;NOM;FEM;PL	N;PL
filmas	فیلمهایی	filma	فیلم	N;NOM;FEM;PL	N;PL
filmas	فیلمها	filma	فیلم	N;NOM;FEM;PL	N;PL
atkal	دوباره	atkal	دوباره	ADV	ADV
autors	مؤلف	autors	مؤلف	N;NOM;MASC;SG	N;SG
autors	نویسندۀ	autors	نویسندۀ	N;NOM;MASC;SG	N;SG
autors	نویسنده	autors	نویسنده	N;NOM;MASC;SG	N;SG
zeme	زمین	zeme	زمین	N;NOM;FEM;SG	N;SG
zeme	خشکی	zeme	خشکی	N;NOM;FEM;SG	N;SG
zeme	land	zeme	land	N;NOM;FEM;SG	N;SG
zeme	سرزمین	zeme	سرزمین	N;NOM;FEM;SG	N;SG
zeme	زمینی	zeme	زمینی	N;NOM;FEM;SG	N;SG
labi	خب	labi	خب	ADV	ADV
labi	خوب	labi	خوب	ADV	ADV
labi	خوب	labi	خوب	ADV	ADV
ķermeņa	بدن	ķermenis	بدن	N;GEN;MASC;SG	N;SG
ķermeņa	بدنی	ķermenis	بدنی	N;GEN;MASC;SG	N;SG
ķermeņa	بدنه	ķermenis	بدنه	N;GEN;MASC;SG	N;SG
ķermeņa	جسم	ķermenis	جسم	N;GEN;MASC;SG	N;SG
ķermeņa	b	ķermenis	b	N;GEN;MASC;SG	N;SG
stadions	ورزشگاه	stadions	ورزشگاه	N;NOM;MASC;SG	N;SG
karš	جنگ	karš	جنگ	N;NOM;MASC;SG	N;SG
karš	جنگی	karš	جنگی	N;NOM;MASC;SG	N;SG
iedzīvotāji	ساکنین	iedzīvotājs	ساکنین	N;NOM;MASC;PL	N;PL
iedzīvotāji	یاران	iedzīvotājs	یار	N;NOM;MASC;PL	N;PL
iedzīvotāji	شهروندان	iedzīvotājs	شهروند	N;NOM;MASC;PL	N;PL
laiks	زمان	laiks	زمان	N;NOM;MASC;SG	N;SG
laiks	تایم	laiks	تایم	N;NOM;MASC;SG	N;SG
