categoría	類別	categoría	類別	N;FEM;SG	N
todos	大家	todo	大家	PRO;MASC;PL	PRO
serie	系列	serie	系列	N;FEM;SG	N
serie	串列	serie	串列	N;FEM;SG	N
cada	每個	cada	每個	DET;SG	DET
cada	每	cada	每	DET;SG	DET
cada	每個	cada	每個	DET;SG	DET
fútbol	足球	fútbol	足球	N;MASC;SG	N
fútbol	足球	fútbol	足球	N;MASC;SG	N
fútbol	美式	fútbol	美式	N;MASC;SG	N
fútbol	橄欖	fútbol	橄欖	N;MASC;SG	N
equipo	裝備	equipo	裝備	N;MASC;SG	N
equipo	團隊	equipo	團隊	N;MASC;SG	N
equipo	球隊	equipo	球隊	N;MASC;SG	N
equipo	隊伍	equipo	隊伍	N;MASC;SG	N
norte	北方	norte	北方	N;MASC;SG	N
norte	北	norte	北	N;MASC;SG	N
norte	北部	norte	北部	N;MASC;SG	N
norte	北方	norte	北方	N;MASC;SG	N
norte	北部	norte	北部	N;MASC;SG	N
río	河	río	河	N;MASC;SG	N
río	江河	río	江河	N;MASC;SG	N
río	河流	río	河流	N;MASC;SG	N
nuevo	新	nuevo	新	ADJ;MASC;SG	ADJ
véase	見	véase	見	V;SBJV;SG;3;PRS;FIN	V
gobierno	施政	gobierno	施政	N;MASC;SG	N
gobierno	治理	gobierno	治理	N;MASC;SG	N
gobierno	政府	gobierno	政府	N;MASC;SG	N
condado	郡	condado	郡	N;MASC;SG	N
condado	縣	condado	縣	N;MASC;SG	N
final	終	final	終	N;MASC;SG	N
final	結尾	final	結尾	N;MASC;SG	N
final	決賽	final	決賽	N;MASC;SG	N
final	決賽	final	決賽	N;MASC;SG	N
vida	生命	vida	生命	N;FEM;SG	N
vida	人生	vida	人生	N;FEM;SG	N
personas	人	persona	人	N;FEM;PL	N
personas	人們	persona	人	N;FEM;PL	N;PL
personas	人民	persona	人民	N;FEM;PL	N
centro	市區	centro	市區	N;MASC;SG	N
centro	中心	centro	中心	N;MASC;SG	N
centro	中心	centro	中心	N;MASC;SG	N
país	國家	país	國家	N;MASC;SG	N
web	網站	web	網站	N;FEM;SG	N
web	網頁	web	網頁	N;FEM;SG	N
web	網	web	網	N;FEM;SG	N
web	網路	web	網路	N;FEM;SG	N
santa	神聖	santo	神聖	ADJ;FEM;SG	ADJ
quien	誰	quien	誰	PRO;SG	PRO
mundo	世界	mundo	世界	N;MASC;SG	N
embargo	禁運	embargo	禁運	N;MASC;SG	N
mayo	蛋黃	mayo	蛋黃	N	N
temporada	季節	temporada	季節	N;FEM;SG	N
temporada	季	temporada	季	N;FEM;SG	N
temporada	季節	temporada	季節	N;FEM;SG	N
luego	然後	luego	然後	ADV	ADV
luego	那麼	luego	那麼	ADV	ADV
día	白天	día	白天	N;MASC;SG	N
número	數字	número	數字	N;MASC;SG	N
número	數	número	數	N;MASC;SG	N
número	號碼	número	號碼	N;MASC;SG	N
número	編號	número	編號	N;MASC;SG	N
artículo	項目	artículo	項目	N;MASC;SG	N
región	區域	región	區域	N;FEM;SG	N
sistema	系統	sistema	系統	N;MASC;SG	N
habitantes	居民	habitante	居民	N;PL	N
real	真實	real	真實	ADJ;SG	ADJ
esto	這	este	這	PRO;SG	PRO
música	音樂	música	音樂	N;FEM;SG	N
presidente	主席	presidente	主席	N;MASC;SG	N
presidente	主席	presidente	主席	N;MASC;SG	N
presidente	總統	presidente	總統	N;MASC;SG	N
presidente	主席	presidente	主席	N;MASC;SG	N
casa	屋	casa	屋	N;FEM;SG	N
casa	房屋	casa	房屋	N;FEM;SG	N
casa	房子	casa	房子	N;FEM;SG	N
casa	家	casa	家	N;FEM;SG	N
casa	住家	casa	住家	N;FEM;SG	N
sólo	只	sólo	只	ADV	ADV
sólo	只	sólo	只	ADV	ADV
álbum	相簿	álbum	相簿	N;MASC;SG	N
álbum	專輯	álbum	專輯	N;MASC;SG	N
ella	她	él	她	PRO;FEM;SG;3	PRO;3
ella	她	él	她	PRO;FEM;SG;3	PRO;3
solo	只	solo	只	ADV	ADV
solo	只	solo	只	ADV	ADV
tipo	型態	tipo	型態	N;MASC;SG	N
tipo	類型	tipo	類型	N;MASC;SG	N
obra	工作	obra	工作	N;FEM;SG	N
iglesia	教會	iglesia	教會	N;FEM;SG	N
iglesia	教堂	iglesia	教堂	N;FEM;SG	N
película	電影	película	電影	N;FEM;SG	N
película	影片	película	影片	N;FEM;SG	N
película	電影	película	電影	N;FEM;SG	N
película	膠片	película	膠片	N;FEM;SG	N
película	影片	película	影片	N;FEM;SG	N
entonces	然後	entonces	然後	ADV	ADV
entonces	那麼	entonces	那麼	ADV	ADV
banda	樂團	banda	樂團	N;FEM;SG	N
banda	樂隊	banda	樂隊	N;FEM;SG	N
banda	幫派	banda	幫派	N;FEM;SG	N
cuatro	四	cuatro	四	NUM;PL	NUM
cuatro	四	cuatro	四	NUM;PL	NUM
cuatro	四	cuatro	四	NUM;PL	NUM
zona	區	zona	區	N;FEM;SG	N
zona	區域	zona	區域	N;FEM;SG	N
zona	面積	zona	面積	N;FEM;SG	N
zona	地區	zona	地區	N;FEM;SG	N
zona	區域	zona	區域	N;FEM;SG	N
zona	區	zona	區	N;FEM;SG	N
televisión	電視	televisión	電視	N;FEM;SG	N
televisión	電視	televisión	電視	N;FEM;SG	N
televisión	電視	televisión	電視	N;FEM;SG	N
rey	國王	rey	國王	N;MASC;SG	N
premio	獎品	premio	獎品	N;MASC;SG	N
premio	獎賞	premio	獎賞	N;MASC;SG	N
premio	獎	premio	獎	N;MASC;SG	N
premio	獎	premio	獎	N;MASC;SG	N
edición	編輯	edición	編輯	N;FEM;SG	N
edición	版	edición	版	N;FEM;SG	N
edición	剪輯	edición	剪輯	N;FEM;SG	N
edición	編輯	edición	編輯	N;FEM;SG	N
premios	獎勵	premio	獎勵	N;MASC;PL	N
premios	獎勵	premio	獎勵	N;MASC;PL	N
premios	獎	premio	獎	N;MASC;PL	N
premios	獎品	premio	獎品	N;MASC;PL	N
premios	獎	premio	獎	N;MASC;PL	N
sitio	網站	sitio	網站	N;MASC;SG	N
sitio	網頁	sitio	網頁	N;MASC;SG	N
sitio	圍城	sitio	圍城	N;MASC;SG	N
sitio	網站	sitio	網站	N;MASC;SG	N
sitio	工地	sitio	工地	N;MASC;SG	N
mar	大海	mar	大海	N;SG	N
mar	海上	mar	海上	N;SG	N
mar	海	mar	海	N;SG	N
mar	大洋	mar	大洋	N;SG	N
mar	洋	mar	洋	N;SG	N
mar	海洋	mar	海洋	N;SG	N
mar	海	mar	海	N;SG	N
orden	秩序	orden	秩序	N;MASC;SG	N
orden	順序	orden	順序	N;MASC;SG	N
agua	水	agua	水	N;FEM;SG	N
tierra	大地	tierra	大地	N;FEM;SG	N
tierra	陸地	tierra	陸地	N;FEM;SG	N
tierra	土地	tierra	土地	N;FEM;SG	N
tierra	泥土	tierra	泥土	N;FEM;SG	N
tierra	土壤	tierra	土壤	N;FEM;SG	N
tierra	土	tierra	土	N;FEM;SG	N
título	標題	título	標題	N;MASC;SG	N
ellos	她們	él	她	PRO;MASC;PL;3	PRO;PL;3
ellos	他們	él	他	PRO;MASC;PL;3	PRO;PL;3
ellos	它們	él	它	PRO;MASC;PL;3	PRO;PL;3
earth	大地	earth	大地	N	N
división	組織	división	組織	N;FEM;SG	N
canción	歌曲	canción	歌曲	N;FEM;SG	N
canción	首歌	canción	首歌	N;FEM;SG	N
canción	歌	canción	歌	N;FEM;SG	N
fecha	日期	fecha	日期	N;FEM;SG	N
fecha	約會	fecha	約會	N;FEM;SG	N
república	共和	república	共和	N;FEM;SG	N
república	共和	república	共和	N;FEM;SG	N
trabajo	工作	trabajo	工作	N;MASC;SG	N
trabajo	工作	trabajo	工作	N;MASC;SG	N
especie	魚種	especie	魚種	N;FEM;SG	N
especie	物種	especie	物種	N;FEM;SG	N
caso	案例	caso	案例	N;MASC;SG	N
caso	個案	caso	個案	N;MASC;SG	N
caso	案件	caso	案件	N;MASC;SG	N
obras	工程	obra	工程	N;FEM;PL	N
obras	作品	obra	作品	N;FEM;PL	N
color	色	color	色	N;MASC;SG	N
color	彩色	color	彩色	N;MASC;SG	N
color	顏色	color	顏色	N;MASC;SG	N
color	色彩	color	色彩	N;MASC;SG	N
color	彩色	color	彩色	N;MASC;SG	N
color	顏色	color	顏色	N;MASC;SG	N
color	色彩	color	色彩	N;MASC;SG	N
distrito	區	distrito	區	N;MASC;SG	N
distrito	地區	distrito	地區	N;MASC;SG	N
superficie	表面	superficie	表面	N;FEM;SG	N
superficie	地面	superficie	地面	N;FEM;SG	N
superficie	地表	superficie	地表	N;FEM;SG	N
superficie	面積	superficie	面積	N;FEM;SG	N
superficie	地區	superficie	地區	N;FEM;SG	N
superficie	區域	superficie	區域	N;FEM;SG	N
superficie	區	superficie	區	N;FEM;SG	N
copa	盃	copa	盃	N;FEM;SG	N
copa	杯	copa	杯	N;FEM;SG	N
copa	杯子	copa	杯子	N;FEM;SG	N
línea	線	línea	線	N;FEM;SG	N
línea	線路	línea	線路	N;FEM;SG	N
área	面積	área	面積	N;FEM;SG	N
área	地區	área	地區	N;FEM;SG	N
área	區域	área	區域	N;FEM;SG	N
área	區	área	區	N;FEM;SG	N
censo	人口	censo	人口	N;MASC;SG	N
censo	普查	censo	普查	N;MASC;SG	N
liga	聯盟	liga	聯盟	N;FEM;SG	N
liga	同盟	liga	同盟	N;FEM;SG	N
liga	聯賽	liga	聯賽	N;FEM;SG	N
muerte	死神	muerte	死神	N;FEM;SG	N
medio	一半	medio	一半	NUM;MASC;SG	NUM
política	政策	política	政策	N;FEM;SG	N
política	政治	política	政治	N;FEM;SG	N
política	政治	política	政治	N;FEM;SG	N
hijo	兒子	hijo	兒子	N;MASC;SG	N
carrera	職業	carrera	職業	N;FEM;SG	N
carrera	比賽	carrera	比賽	N;FEM;SG	N
carrera	賽	carrera	賽	N;FEM;SG	N
carrera	種族	carrera	種族	N;FEM;SG	N
carrera	競賽	carrera	競賽	N;FEM;SG	N
pueblo	城鎮	pueblo	城鎮	N;MASC;SG	N
pueblo	鎮	pueblo	鎮	N;MASC;SG	N
pueblo	人	pueblo	人	N;MASC;SG	N
pueblo	人民	pueblo	人民	N;MASC;SG	N
pueblo	村	pueblo	村	N;MASC;SG	N
pueblo	鄉村	pueblo	鄉村	N;MASC;SG	N
pueblo	村	pueblo	村	N;MASC;SG	N
pueblo	村落	pueblo	村落	N;MASC;SG	N
pueblo	村子	pueblo	村子	N;MASC;SG	N
departamento	部門	departamento	部門	N;MASC;SG	N
departamento	公寓	departamento	公寓	N;MASC;SG	N
localidades	地方	localidad	地方	N;FEM;PL	N
localidades	地點	localidad	地點	N;FEM;PL	N
localidades	地點	localidad	地點	N;FEM;PL	N
veces	時代	vez	時代	N;FEM;PL	N
veces	時報	vez	時報	N;FEM;PL	N
reino	王國	reino	王國	N;MASC;SG	N
reino	國度	reino	國度	N;MASC;SG	N
ejemplo	樣品	ejemplo	樣品	N;MASC;SG	N
ejemplo	抽樣	ejemplo	抽樣	N;MASC;SG	N
ejemplo	樣本	ejemplo	樣本	N;MASC;SG	N
ejemplo	範例	ejemplo	範例	N;MASC;SG	N
género	類型	género	類型	N;MASC;SG	N
género	流派	género	流派	N;MASC;SG	N
género	性別	género	性別	N;MASC;SG	N
género	屬	género	屬	N;MASC;SG	N
padre	父親	padre	父親	N;MASC;SG	N
padre	神父	padre	神父	N;MASC;SG	N
padre	父	padre	父	N;MASC;SG	N
campo	鄉村	campo	鄉村	N;MASC;SG	N
campo	鄉下	campo	鄉下	N;MASC;SG	N
campo	鄉間	campo	鄉間	N;MASC;SG	N
campo	農村	campo	農村	N;MASC;SG	N
campo	欄位	campo	欄位	N;MASC;SG	N
campo	難民	campo	難民	N;MASC;SG	N
campo	營	campo	營	N;MASC;SG	N
campo	營地	campo	營地	N;MASC;SG	N
isla	海島	isla	海島	N;FEM;SG	N
isla	島嶼	isla	島嶼	N;FEM;SG	N
países	國家	país	國家	N;MASC;PL	N
países	各國	país	各國	N;MASC;PL	N
frente	前面	frente	前面	N	N
frente	陣線	frente	陣線	N	N
frente	額頭	frente	額頭	N	N
director	主任	director	主任	N;MASC;SG	N
director	司長	director	司長	N;MASC;SG	N
días	日子	día	日子	N;MASC;PL	N
días	天數	día	天數	N;MASC;PL	N
versión	版	versión	版	N;FEM;SG	N
versión	版本	versión	版本	N;FEM;SG	N
momento	時刻	momento	時刻	N;MASC;SG	N
lista	名單	lista	名單	N;FEM;SG	N
lista	清單	lista	清單	N;FEM;SG	N
densidad	密度	densidad	密度	N;FEM;SG	N
campeonato	錦標	campeonato	錦標	N;MASC;SG	N
campeonato	錦標	campeonato	錦標	N;MASC;SG	N
tarde	遲	tarde	遲	ADV	ADV
ejército	軍方	ejército	軍方	N;MASC;SG	N
ejército	軍事	ejército	軍事	N;MASC;SG	N
ejército	集團	ejército	集團	N;MASC;SG	N
ejército	軍隊	ejército	軍隊	N;MASC;SG	N
ejército	軍	ejército	軍	N;MASC;SG	N
ejército	陸軍	ejército	陸軍	N;MASC;SG	N
estación	站	estación	站	N;FEM;SG	N
estación	車站	estación	車站	N;FEM;SG	N
observatorio	天文	observatorio	天文	N;MASC;SG	N
escuela	學校	escuela	學校	N;FEM;SG	N
escuela	學校	escuela	學校	N;FEM;SG	N
programa	方案	programa	方案	N;MASC;SG	N
programa	程式	programa	程式	N;MASC;SG	N
programa	方案	programa	方案	N;MASC;SG	N
información	資訊	información	資訊	N;FEM;SG	N
importante	重要	importante	重要	ADJ;SG	ADJ
canciones	歌曲	canción	歌曲	N;FEM;PL	N
canciones	歌	canción	歌	N;FEM;PL	N
uso	用法	uso	用法	N;MASC;SG	N
uso	用量	uso	用量	N;MASC;SG	N
uso	勞軍	uso	勞軍	N;MASC;SG	N
juegos	遊戲	juego	遊戲	N;MASC;PL	N
base	基地	base	基地	N;SG	N
base	基礎	base	基礎	N;SG	N
base	基數	base	基數	N;SG	N
punto	點	punto	點	N;MASC;SG	N
punto	角	punto	角	N;MASC;SG	N
punto	點	punto	點	N;MASC;SG	N
posición	職位	posición	職位	N;FEM;SG	N
posición	位置	posición	位置	N;FEM;SG	N
posición	立場	posición	立場	N;FEM;SG	N
ubicación	位置	ubicación	位置	N;FEM;SG	N
ubicación	地點	ubicación	地點	N;FEM;SG	N
partidos	火柴	partido	火柴	N;MASC;PL	N
grupos	群組	grupo	群組	N;MASC;PL	N
grupos	團體	grupo	團體	N;MASC;PL	N
miembros	成員	miembro	成員	N;MASC;PL	N
capital	資本	capital	資本	N;FEM;SG	N
capital	首都	capital	首都	N;FEM;SG	N
teatro	電影	teatro	電影	N;MASC;SG	N
teatro	劇場	teatro	劇場	N;MASC;SG	N
teatro	戲劇	teatro	戲劇	N;MASC;SG	N
teatro	劇院	teatro	劇院	N;MASC;SG	N
teatro	戲院	teatro	戲院	N;MASC;SG	N
teatro	劇場	teatro	劇場	N;MASC;SG	N
teatro	戰區	teatro	戰區	N;MASC;SG	N
teatro	戲劇	teatro	戲劇	N;MASC;SG	N
teatro	劇院	teatro	劇院	N;MASC;SG	N
teatro	戲院	teatro	戲院	N;MASC;SG	N
cualquier	任何	cualquiera	任何	DET;SG	DET
datos	資料	dato	資料	N;MASC;PL	N
libro	圖書	libro	圖書	N;MASC;SG	N
libro	書	libro	書	N;MASC;SG	N
libro	書籍	libro	書籍	N;MASC;SG	N
diferentes	不同	diferente	不同	ADJ;PL	ADJ
nivel	層次	nivel	層次	N;MASC;SG	N
nivel	級別	nivel	級別	N;MASC;SG	N
nivel	等級	nivel	等級	N;MASC;SG	N
nivel	關卡	nivel	關卡	N;MASC;SG	N
unión	聯盟	unión	聯盟	N;FEM;SG	N
unión	工會	unión	工會	N;FEM;SG	N
edad	年紀	edad	年紀	N;FEM;SG	N
edad	年齡	edad	年齡	N;FEM;SG	N
artículos	文章	artículo	文章	N;MASC;PL	N
artículos	項目	artículo	項目	N;MASC;PL	N
juego	比賽	juego	比賽	N;MASC;SG	N
juego	遊戲	juego	遊戲	N;MASC;SG	N
juego	賭	juego	賭	N;MASC;SG	N
juego	賭博	juego	賭博	N;MASC;SG	N
arte	藝術	arte	藝術	N;SG	N
arte	美術	arte	美術	N;SG	N
arte	藝術	arte	藝術	N;SG	N
arte	藝術	arte	藝術	N;SG	N
arte	藝術	arte	藝術	N;SG	N
especies	魚種	especie	魚種	N;FEM;PL	N
especies	物種	especie	物種	N;FEM;PL	N
estilo	樣式	estilo	樣式	N;MASC;SG	N
estilo	風格	estilo	風格	N;MASC;SG	N
cine	電影	cine	電影	N;MASC;SG	N
cine	電影	cine	電影	N;MASC;SG	N
cine	戲院	cine	戲院	N;MASC;SG	N
cine	電影	cine	電影	N;MASC;SG	N
cine	影片	cine	影片	N;MASC;SG	N
cine	電影	cine	電影	N;MASC;SG	N
cine	電影	cine	電影	N;MASC;SG	N
cine	影片	cine	影片	N;MASC;SG	N
cine	電影	cine	電影	N;MASC;SG	N
cine	膠片	cine	膠片	N;MASC;SG	N
cine	影片	cine	影片	N;MASC;SG	N
proyecto	項目	proyecto	項目	N;MASC;SG	N
center	中心	center	中心	N;MASC;SG	N
selección	甄選	selección	甄選	N;FEM;SG	N
costa	海岸	costa	海岸	N;FEM;SG	N
costa	沿海	costa	沿海	N;FEM;SG	N
costa	沿岸	costa	沿岸	N;FEM;SG	N
costa	海岸	costa	海岸	N;FEM;SG	N
costa	海岸	costa	海岸	N;FEM;SG	N
equipos	裝備	equipo	裝備	N;MASC;PL	N
equipos	團隊	equipo	團隊	N;MASC;PL	N
equipos	球隊	equipo	球隊	N;MASC;PL	N
equipos	隊伍	equipo	隊伍	N;MASC;PL	N
origen	原產	origen	原產	N;MASC;SG	N
origen	起源	origen	起源	N;MASC;SG	N
origen	來源	origen	來源	N;MASC;SG	N
origen	起源	origen	起源	N;MASC;SG	N
código	密碼	código	密碼	N;MASC;SG	N
código	編碼	código	編碼	N;MASC;SG	N
código	碼	código	碼	N;MASC;SG	N
museo	博物	museo	博物	N;MASC;SG	N
puntos	點	punto	點	N;MASC;PL	N
puntos	點數	punto	點數	N;MASC;PL	N
producción	輸出	producción	輸出	N;FEM;SG	N
producción	產量	producción	產量	N;FEM;SG	N
plantas	植物	planta	植物	N;FEM;PL	N
plantas	廠	planta	廠	N;FEM;PL	N
plantas	植物	planta	植物	N;FEM;PL	N
plantas	工廠	planta	工廠	N;FEM;PL	N
metros	公尺	metro	公尺	N;MASC;PL	N
metros	公尺	metro	公尺	N;MASC;PL	N
metros	米	metro	米	N;MASC;PL	N
metros	公尺	metro	公尺	N;MASC;PL	N
oro	黃金	oro	黃金	N;MASC;SG	N
oro	金色	oro	金色	N;MASC;SG	N
oro	黃金	oro	黃金	N;MASC;SG	N
oro	金色	oro	金色	N;MASC;SG	N
casi	幾乎	casi	幾乎	ADV	ADV
construcción	大樓	construcción	大樓	N;FEM;SG	N
construcción	建築	construcción	建築	N;FEM;SG	N
construcción	施工	construcción	施工	N;FEM;SG	N
construcción	建築	construcción	建築	N;FEM;SG	N
francés	法文	francés	法文	N;MASC;SG	N
cultura	文化	cultura	文化	N;FEM;SG	N
finalmente	終於	finalmente	終於	ADV	ADV
cinco	五	cinco	五	NUM;PL	NUM
cinco	五	cinco	五	NUM;PL	NUM
cargo	貨運	cargo	貨運	N;MASC;SG	N
cargo	貨物	cargo	貨物	N;MASC;SG	N
cargo	貨	cargo	貨	N;MASC;SG	N
cargo	電荷	cargo	電荷	N;MASC;SG	N
cargo	收費	cargo	收費	N;MASC;SG	N
batalla	戰	batalla	戰	N;FEM;SG	N
batalla	戰役	batalla	戰役	N;FEM;SG	N
batalla	戰鬥	batalla	戰鬥	N;FEM;SG	N
derecho	右	derecho	右	N;MASC;SG	N
derecho	法律	derecho	法律	N;MASC;SG	N
imagen	影象	imagen	影象	N;FEM;SG	N
imagen	影像	imagen	影像	N;FEM;SG	N
imagen	圖片	imagen	圖片	N;FEM;SG	N
puerto	埠	puerto	埠	N;MASC;SG	N
puerto	港口	puerto	港口	N;MASC;SG	N
puerto	海港	puerto	海港	N;MASC;SG	N
puerto	港口	puerto	港口	N;MASC;SG	N
torneo	錦標	torneo	錦標	N;MASC;SG	N
fin	終	fin	終	N;MASC;SG	N
fin	結尾	fin	結尾	N;MASC;SG	N
fin	鰭	fin	鰭	N;MASC;SG	N
acuerdo	協定	acuerdo	協定	N;MASC;SG	N
acuerdo	協議	acuerdo	協議	N;MASC;SG	N
lado	側	lado	側	N;MASC;SG	N
rock	岩	rock	岩	N;MASC;SG	N
rock	岩石	rock	岩石	N;MASC;SG	N
rock	石頭	rock	石頭	N;MASC;SG	N
rock	搖滾	rock	搖滾	N;MASC;SG	N
películas	影片	película	影片	N;FEM;PL	N
películas	電影	película	電影	N;FEM;PL	N
ver	見	ver	見	V;NFIN	V
ver	檢視	ver	檢視	V;NFIN	V
ver	瀏覽	ver	瀏覽	V;NFIN	V
pesar	後悔	pesar	後悔	N	N
mediante	透過	mediante	透過	ADP	ADP
mediante	通過	mediante	通過	ADP	ADP
alto	高大	alto	高大	ADJ;MASC;SG	ADJ
cuerpo	屍體	cuerpo	屍體	N;MASC;SG	N
cuerpo	體	cuerpo	體	N;MASC;SG	N
cuerpo	身體	cuerpo	身體	N;MASC;SG	N
disco	相簿	disco	相簿	N;MASC;SG	N
disco	專輯	disco	專輯	N;MASC;SG	N
disco	碟片	disco	碟片	N;MASC;SG	N
disco	碟	disco	碟	N;MASC;SG	N
disco	磁碟	disco	磁碟	N;MASC;SG	N
disco	碟片	disco	碟片	N;MASC;SG	N
disco	碟	disco	碟	N;MASC;SG	N
disco	磁碟	disco	磁碟	N;MASC;SG	N
finales	決賽	final	決賽	N;MASC;PL	N
finales	決賽	final	決賽	N;MASC;PL	N
sociedad	社會	sociedad	社會	N;FEM;SG	N
tema	題目	tema	題目	N;MASC;SG	N
tema	話題	tema	話題	N;MASC;SG	N
tema	專題	tema	專題	N;MASC;SG	N
tema	主題	tema	主題	N;MASC;SG	N
tema	專題	tema	專題	N;MASC;SG	N
tema	主題	tema	主題	N;MASC;SG	N
tema	主題	tema	主題	N;MASC;SG	N
dirección	方向	dirección	方向	N;FEM;SG	N
dirección	地址	dirección	地址	N;FEM;SG	N
dirección	住址	dirección	住址	N;FEM;SG	N
hombres	男性	hombre	男性	N;MASC;PL	N
hombres	男人	hombre	男人	N;MASC;PL	N
hombres	男子	hombre	男子	N;MASC;PL	N
estadio	舞台	estadio	舞台	N;MASC;SG	N
estadio	體育	estadio	體育	N;MASC;SG	N
estadio	體育	estadio	體育	N;MASC;SG	N
estadio	球場	estadio	球場	N;MASC;SG	N
ley	法律	ley	法律	N;FEM;SG	N
oeste	西邊	oeste	西邊	N;MASC;SG	N
oeste	西	oeste	西	N;MASC;SG	N
oeste	西部	oeste	西部	N;MASC;SG	N
oeste	西部	oeste	西部	N;MASC;SG	N
mujeres	婦女	mujer	婦女	N;FEM;PL	N
mujeres	女性	mujer	女性	N;FEM;PL	N
incluso	甚至	incluso	甚至	ADV	ADV
cambio	交流	cambio	交流	N;MASC;SG	N
style	樣式	style	樣式	N	N
style	風格	style	風格	N	N
