ve	и	ve	и	CONJ	CONJ
bilgi	информация	bilgi	информация	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bilgi	знание	bilgi	знание	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kez	таймс	kez	таймс	N;NOM;SG;3	N;INAN;NOM;MASC;SG
devlet	штат	devlet	штат	N;NOM;SG;3	N;INAN;NOM;MASC;SG
devlet	состояние	devlet	состояние	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
devlet	государство	devlet	государство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
devlet	правительство	devlet	правительство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
üç	три	üç	три	NUM	NUM;NOM
üç	трое	üç	трое	NUM	NUM;NOM
başladı	начато	başla	начать	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;PST;V.PTCP;PASS
başladı	начал	başla	начать	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
başladı	началось	başla	начаться	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN;MID
başladı	начато	başla	начать	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;PST;V.PTCP;PASS
küçük	маленькая	küçük	маленький	ADJ	ADJ;NOM;FEM;SG
küçük	маленькие	küçük	маленький	ADJ	ADJ;NOM;PL
küçük	малых	küçük	малый	ADJ	ADJ;GEN;PL
küçük	маленький	küçük	маленький	ADJ	ADJ;NOM;MASC;SG
küçük	мелкие	küçük	мелкий	ADJ	ADJ;NOM;PL
küçük	малые	küçük	малый	ADJ	ADJ;NOM;PL
küçük	маленький	küçük	маленький	ADJ	ADJ;NOM;MASC;SG
küçük	маленькая	küçük	маленький	ADJ	ADJ;NOM;FEM;SG
küçük	маленькие	küçük	маленький	ADJ	ADJ;NOM;PL
kabul	принятие	kabul	принятие	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kabul	признание	kabul	признание	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kupası	чашка	kupa	чашка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kupası	чаша	kupa	чаша	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kupası	кубок	kupa	кубок	N;NOM;SG;3	N;INAN;NOM;MASC;SG
okulu	школа	okul	школа	N;NOM;SG;3	N;INAN;NOM;FEM;SG
aldı	принято	al	принять	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;PST;V.PTCP;PASS
aldı	забрала	al	забрать	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
aldı	взял	al	брать	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
aldı	забрал	al	забрать	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
aldı	получено	al	получить	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;PST;V.PTCP;PASS
aldı	получен	al	получить	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;PST;V.PTCP;PASS
aldı	полученная	al	получить	V;PFV;IND;SG;3;POS;PST	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
farklı	разные	farklı	разный	ADJ	ADJ;NOM;PL
farklı	различных	farklı	различный	ADJ	ADJ;GEN;PL
özel	эксклюзивный	özel	эксклюзивный	ADJ	ADJ;NOM;MASC;SG
özel	эксклюзивные	özel	эксклюзивный	ADJ	ADJ;NOM;PL
özel	исключительной	özel	исключительный	ADJ	ADJ;INS;FEM;SG
özel	частное	özel	частный	ADJ	ADJ;NOM;NEUT;SG
özel	частный	özel	частный	ADJ	ADJ;NOM;MASC;SG
özel	частная	özel	частный	ADJ	ADJ;NOM;FEM;SG
özel	частного	özel	частный	ADJ	ADJ;GEN;MASC;SG
özel	личное	özel	личный	ADJ	ADJ;NOM;NEUT;SG
özel	частные	özel	частный	ADJ	ADJ;NOM;PL
özel	особая	özel	особый	ADJ	ADJ;NOM;FEM;SG
özel	специальный	özel	специальный	ADJ	ADJ;NOM;MASC;SG
özel	специального	özel	специальный	ADJ	ADJ;GEN;MASC;SG
özel	специальная	özel	специальный	ADJ	ADJ;NOM;FEM;SG
özel	специальные	özel	специальный	ADJ	ADJ;NOM;PL
özel	специальное	özel	специальный	ADJ	ADJ;NOM;NEUT;SG
alanı	филд	alan	филд	N;NOM;SG;3	N;INAN;NOM;MASC;SG
alanı	поле	alan	поле	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
alanı	область	alan	область	N;NOM;SG;3	N;INAN;NOM;FEM;SG
alanı	район	alan	район	N;NOM;SG;3	N;INAN;NOM;MASC;SG
alanı	площадь	alan	площадь	N;NOM;SG;3	N;INAN;NOM;FEM;SG
uzun	высокий	uzun	высокий	ADJ	ADJ;NOM;MASC;SG
uzun	высокие	uzun	высокий	ADJ	ADJ;NOM;PL
uzun	высокая	uzun	высокий	ADJ	ADJ;NOM;FEM;SG
uzun	выше	uzun	высокий	ADJ	ADJ;CMPR
uzun	длинный	uzun	длинный	ADJ	ADJ;NOM;MASC;SG
uzun	длинная	uzun	длинный	ADJ	ADJ;NOM;FEM;SG
uzun	длинные	uzun	длинный	ADJ	ADJ;NOM;PL
elektrik	электричество	elektrik	электричество	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
elektrik	электрик	elektrik	электрик	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
kısa	короче	kısa	короткий	ADJ	ADJ;CMPR
kısa	короткая	kısa	короткий	ADJ	ADJ;NOM;FEM;SG
kısa	короткий	kısa	короткий	ADJ	ADJ;NOM;MASC;SG
kısa	короткое	kısa	короткий	ADJ	ADJ;NOM;NEUT;SG
kısa	короткие	kısa	короткий	ADJ	ADJ;NOM;PL
kısa	краткая	kısa	краткий	ADJ	ADJ;NOM;FEM;SG
kısa	краткое	kısa	краткий	ADJ	ADJ;NOM;NEUT;SG
kişi	человек	kişi	человек	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
el	рука	el	рука	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yok	неа	yok	она		
gol	озеро	gol	озеро	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
gol	лейк	gol	лейк	N;NOM;SG;3	N;INAN;NOM;MASC;SG
gol	цель	gol	цель	N;NOM;SG;3	N;INAN;NOM;FEM;SG
gol	гол	gol	гол	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ödülü	награду	ödül	награда	N;ACC;SG;3	N;INAN;ACC;FEM;SG
gün	день	gün	день	N;NOM;SG;3	N;INAN;NOM;MASC;SG
gün	дэй	gün	дэй	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	время	süre	время	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
süre	тайм	süre	тайма	N;NOM;SG;3	N;INAN;NOM;MASC;SG
süre	длительность	süre	длительность	N;NOM;SG;3	N;INAN;NOM;FEM;SG
süre	продолжительность	süre	продолжительность	N;NOM;SG;3	N;INAN;NOM;FEM;SG
eğitim	подготовка	eğitim	подготовка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
eğitim	обучение	eğitim	обучение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
eğitim	тренинг	eğitim	тренинг	N;NOM;SG;3	N;INAN;NOM;MASC;SG
eğitim	просвещение	eğitim	просвещение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
eğitim	образование	eğitim	образование	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
eğitim	учебник	eğitim	учебник	N;NOM;SG;3	N;INAN;NOM;MASC;SG
az	мало	az	мало	ADV	ADV
az	менее	az	менее	ADV	ADV;CMPR
görev	долг	görev	долг	N;NOM;SG;3	N;INAN;NOM;MASC;SG
görev	обязанность	görev	обязанность	N;NOM;SG;3	N;INAN;NOM;FEM;SG
görev	задача	görev	задача	N;NOM;SG;3	N;INAN;NOM;FEM;SG
görev	задание	görev	задание	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
görev	задание	görev	задание	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
görev	уступка	görev	уступка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
görev	миссия	görev	миссия	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yine	опять	yine	опять	ADV	ADV
yine	вновь	yine	вновь	ADV	ADV
yine	снова	yine	снова	ADV	ADV
ekonomisi	экономия	ekonomi	экономия	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ekonomisi	экономика	ekonomi	экономика	N;NOM;SG;3	N;INAN;NOM;FEM;SG
telefon	телефон	telefon	телефон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
telefon	телефон	telefon	телефон	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yeniden	опять	yeniden	опять	ADV	ADV
yeniden	вновь	yeniden	вновь	ADV	ADV
yeniden	снова	yeniden	снова	ADV	ADV
ingiliz	брит	ingiliz	брать		
savaş	битва	savaş	битва	N;NOM;SG;3	N;INAN;NOM;FEM;SG
savaş	бой	savaş	бой	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	сражение	savaş	сражение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
savaş	война	savaş	война	N;NOM;SG;3	N;INAN;NOM;FEM;SG
savaş	бой	savaş	бой	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	бой	savaş	бой	N;NOM;SG;3	N;INAN;NOM;MASC;SG
savaş	драка	savaş	драка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
anadolu	анадолу	anadolu	анадол		
kullanıcı	пользователь	kullanıcı	пользователь	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
birliği	союз	birlik	союз	N;NOM;SG;3	N;INAN;NOM;MASC;SG
birliği	профсоюз	birlik	профсоюз	N;NOM;SG;3	N;INAN;NOM;MASC;SG
birliği	юнион	birlik	юнион	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kanalizasyon	канализации	kanalizasyon	канализация	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kanalizasyon	канализации	kanalizasyon	канализация	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kanalizasyon	канализации	kanalizasyon	канализация	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kanalizasyon	канализации	kanalizasyon	канализация	N;NOM;SG;3	N;INAN;NOM;FEM;SG
maç	мак	maç	мак	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
maç	игра	maç	игра	N;NOM;SG;3	N;INAN;NOM;FEM;SG
maç	матч	maç	матч	N;NOM;SG;3	N;INAN;NOM;MASC;SG
maç	совпадение	maç	совпадение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sıra	ряд	sıra	ряд	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sıra	строка	sıra	строка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
teknik	технические	teknik	технический	ADJ	ADJ;NOM;PL
teknik	техническое	teknik	технический	ADJ	ADJ;NOM;NEUT;SG
teknik	технический	teknik	технический	ADJ	ADJ;NOM;MASC;SG
uygun	удобный	uygun	удобный	ADJ	ADJ;NOM;MASC;SG
uygun	удобно	uygun	удобный	ADJ	ADJ;NEUT;SG
uygun	удобная	uygun	удобный	ADJ	ADJ;NOM;FEM;SG
uygun	удобное	uygun	удобный	ADJ	ADJ;NOM;NEUT;SG
uygun	уместно	uygun	уместный	ADJ	ADJ;NEUT;SG
bütün	целая	bütün	целый	ADJ	ADJ;NOM;FEM;SG
bütün	целые	bütün	целый	ADJ	ADJ;NOM;PL
listesi	перечень	liste	перечень	N;NOM;SG;3	N;INAN;NOM;MASC;SG
listesi	список	liste	список	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dört	четверо	dört	четверо	NUM	NUM;NOM
dört	четыре	dört	четыре	NUM	NUM;NOM
alt	бит	alt	бит		
stadyumu	стадион	stadyum	стадион	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bar	бар	bar	бар	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bar	паб	bar	паб	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sonunda	наконец	sonunda	наконец	ADV	ADV
erkek	чел	erkek	человек		
onu	его	o	он	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	ее	o	она	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
onu	её	o	она	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
açık	ясно	açık	ясный	ADJ	ADJ;NEUT;SG
insan	человек	insan	человек	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	мужик	insan	мужик	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	человек	insan	человек	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	мужчина	insan	мужчина	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	человек	insan	человек	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
stadyum	стадион	stadyum	стадион	N;NOM;SG;3	N;INAN;NOM;MASC;SG
an	момент	an	момент	N;NOM;SG;3	N;INAN;NOM;MASC;SG
an	минута	an	минута	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iş	работа	iş	работа	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iş	работа	iş	работа	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iş	труд	iş	труд	N;NOM;SG;3	N;INAN;NOM;MASC;SG
iş	бизнес	iş	бизнес	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	секция	bölüm	секция	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bölümü	раздел	bölüm	раздел	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	департамент	bölüm	департамент	N;NOM;SG;3	N;INAN;NOM;MASC;SG
güzel	красивые	güzel	красивый	ADJ	ADJ;NOM;PL
güzel	красивая	güzel	красивый	ADJ	ADJ;NOM;FEM;SG
güzel	хорош	güzel	хороший	ADJ	ADJ;MASC;SG
güzel	хороша	güzel	хороший	ADJ	ADJ;FEM;SG
güzel	хороший	güzel	хороший	ADJ	ADJ;NOM;MASC;SG
güzel	хорошее	güzel	хороший	ADJ	ADJ;NOM;NEUT;SG
güzel	приятно	güzel	приятный	ADJ	ADJ;NEUT;SG
güzel	красивая	güzel	красивый	ADJ	ADJ;NOM;FEM;SG
çocuk	мальчик	çocuk	мальчик	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	парень	çocuk	парень	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	парень	çocuk	парень	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	дитя	çocuk	дитя	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
çocuk	ребенок	çocuk	ребенок	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	ребёнок	çocuk	ребёнок	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
sinema	фильм	sine	фильм	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sinema	кино	sine	кино	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sinema	кино	sine	кино	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sinema	кинотеатр	sine	кинотеатр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sinema	кино	sine	кино	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
hakem	ref	hakem	ref		
ay	месяц	ay	месяц	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ay	луна	ay	луна	N;NOM;SG;3	N;INAN;NOM;FEM;SG
imparatorluğu	империя	imparatorluk	империя	N;NOM;SG;3	N;INAN;NOM;FEM;SG
internet	web	internet	веб	N;NOM;SG;3	N;INAN;NOM;MASC;SG
internet	веб	internet	веб	N;NOM;SG;3	N;INAN;NOM;MASC;SG
internet	интернет	internet	интернет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tiyatro	драма	tiyatro	драма	N;NOM;SG;3	N;INAN;NOM;FEM;SG
tiyatro	кинотеатр	tiyatro	кинотеатр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tiyatro	театр	tiyatro	театр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tiyatro	театр	tiyatro	театр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kazandı	победила	kazan	победить	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
kazandı	выиграла	kazan	выиграть	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
kazandı	выиграл	kazan	выиграть	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
kazandı	победил	kazan	победить	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
karar	вердикт	karar	вердикт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
karar	приговор	karar	приговор	N;NOM;SG;3	N;INAN;NOM;MASC;SG
karar	решение	karar	решение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
tarih	свидание	tarih	свидание	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
tarih	дата	tarih	дата	N;NOM;SG;3	N;INAN;NOM;FEM;SG
tarih	история	tarih	история	N;NOM;SG;3	N;INAN;NOM;FEM;SG
temel	базовые	temel	базовый	ADJ	ADJ;NOM;PL
temel	основные	temel	основной	ADJ	ADJ;NOM;PL
temel	базовый	temel	базовый	ADJ	ADJ;NOM;MASC;SG
temel	базовая	temel	базовый	ADJ	ADJ;NOM;FEM;SG
ünlü	известная	ünlü	известный	ADJ	ADJ;NOM;FEM;SG
ünlü	знаменитая	ünlü	знаменитый	ADJ	ADJ;NOM;FEM;SG
ünlü	известный	ünlü	известный	ADJ	ADJ;NOM;MASC;SG
ünlü	знаменитый	ünlü	знаменитый	ADJ	ADJ;NOM;MASC;SG
sosyal	социальное	sosyal	социальный	ADJ	ADJ;NOM;NEUT;SG
sosyal	социального	sosyal	социальный	ADJ	ADJ;GEN;MASC;SG
sosyal	социальный	sosyal	социальный	ADJ	ADJ;NOM;MASC;SG
sosyal	социальная	sosyal	социальный	ADJ	ADJ;NOM;FEM;SG
sosyal	социальные	sosyal	социальный	ADJ	ADJ;NOM;PL
geldi	прибыл	gel	прибыть	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
geldi	прибыла	gel	прибыть	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
oy	голосование	oy	голосование	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
oy	голосование	oy	голосование	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
geniş	широкая	geniş	широкий	ADJ	ADJ;NOM;FEM;SG
geniş	широкие	geniş	широкий	ADJ	ADJ;NOM;PL
geniş	широкого	geniş	широкий	ADJ	ADJ;GEN;MASC;SG
geniş	широкий	geniş	широкий	ADJ	ADJ;NOM;MASC;SG
geniş	широкая	geniş	широкий	ADJ	ADJ;NOM;FEM;SG
geniş	широкие	geniş	широкий	ADJ	ADJ;NOM;PL
geniş	широкой	geniş	широкий	ADJ	ADJ;INS;FEM;SG
geniş	широкий	geniş	широкий	ADJ	ADJ;NOM;MASC;SG
geniş	большой	geniş	большой	ADJ	ADJ;NOM;MASC;SG
geniş	крупных	geniş	крупный	ADJ	ADJ;GEN;PL
geniş	крупный	geniş	крупный	ADJ	ADJ;NOM;MASC;SG
geniş	большая	geniş	большой	ADJ	ADJ;NOM;FEM;SG
geniş	крупные	geniş	крупный	ADJ	ADJ;NOM;PL
geniş	большие	geniş	большой	ADJ	ADJ;NOM;PL
geniş	просторные	geniş	просторный	ADJ	ADJ;NOM;PL
ev	дом	ev	дом	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ev	дом	ev	дом	N;NOM;SG;3	N;INAN;NOM;MASC;SG
hareket	ходатайство	hareket	ходатайство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
hareket	движение	hareket	движение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
hareket	ход	hareket	ход	N;NOM;SG;3	N;INAN;NOM;MASC;SG
hareket	передвижение	hareket	передвижение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
hareket	движение	hareket	движение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
bölgesi	область	bölge	область	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bölgesi	регион	bölge	регион	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölgesi	территория	bölge	территория	N;NOM;SG;3	N;INAN;NOM;FEM;SG
sahibi	хозяин	sahip	хозяин	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
sahibi	владелец	sahip	владелец	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
bilim	наука	bilim	наука	N;NOM;SG;3	N;INAN;NOM;FEM;SG
verdi	дала	ver	дать	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
verdi	отдал	ver	отдать	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
verdi	дал	ver	дать	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
profesyonel	профи	profesyonel	профи		
süper	супер	süper	супер		
hiç	никогда	hiç	никогда	ADV	ADV
ifade	экспресс	ifade	экспресс	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ifade	ведомость	ifade	ведомость	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ifade	заявление	ifade	заявление	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ifade	свидетельство	ifade	свидетельство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ifade	выражение	ifade	выражение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
şey	вещь	şey	вещь	N;NOM;SG;3	N;INAN;NOM;FEM;SG
şey	штука	şey	штука	N;NOM;SG;3	N;INAN;NOM;FEM;SG
rapor	отчёт	rapor	отчёт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
rapor	доклад	rapor	доклад	N;NOM;SG;3	N;INAN;NOM;MASC;SG
rapor	отчет	rapor	отчет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
altı	шесть	altı	шесть	NUM	NUM;NOM
altı	шестеро	altı	шестеро	NUM	NUM;NOM
