catégorie	kategori	catégorie	kategori	N;FEM;SG	N;INDF;MASC+FEM;SG
site	site	site	site	N;MASC;SG	N;INDF;NEUT;SG
premier	første	premier	første	ADJ;MASC;SG	ADJ
ces	disse	ce	denne	PRO;PL;3	PRO;PL
http	http	http	http	N;MASC;SG	N;INDF;MASC+FEM;SG
ainsi	således	ainsi	således	ADV	ADV
ainsi	dermed	ainsi	dermed	ADV	ADV
film	folie	film	folie	N;MASC;SG	N;INDF;MASC+FEM;SG
voir	se	voir	se	V;NFIN	V;NFIN;ACT
pays	landet	pays	land	N;MASC;SG	N;DEF;NEUT;SG
pays	land	pays	land	N;MASC;SG	N;INDF;NEUT;SG
source	kilde	source	kilde	N;FEM;SG	N;INDF;MASC+FEM;SG
ils	de	il	de	PRO;MASC;PL;3	PRO;NOM;PL;3
grand	stor	grand	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
grand	stort	grand	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grand	stor	grand	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
grand	stort	grand	stor	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grand	fantastisk	grand	fantastisk	ADJ;MASC;SG	ADJ;INDF;SG
grand	fedt	grand	fedt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grand	stor	grand	stor	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
grand	skønt	grand	skøn	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grand	herligt	grand	herlig	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
grand	storslået	grand	storslå	ADJ;MASC;SG	ADJ;INDF;SG
tout	alting	tout	alting	PRO;MASC;SG	PRO;NEUT;SG
groupe	band	groupe	band	N;MASC;SG	N;INDF;NEUT;SG
groupe	bandet	groupe	band	N;MASC;SG	N;DEF;NEUT;SG
groupe	orkester	groupe	orkester	N;MASC;SG	N;INDF;NEUT;SG
groupe	gruppe	groupe	gruppe	N;MASC;SG	N;INDF;MASC+FEM;SG
groupe	group	groupe	group	N;MASC;SG	N;INDF;MASC+FEM;SG
groupe	gruppen	groupe	gruppe	N;MASC;SG	N;DEF;MASC+FEM;SG
également	også	également	også	ADV	ADV
titre	betegnelse	titre	betegnelse	N;MASC;SG	N;INDF;MASC+FEM;SG
titre	overskrift	titre	overskrift	N;MASC;SG	N;INDF;MASC+FEM;SG
titre	titel	titre	titel	N;MASC;SG	N;INDF;MASC+FEM;SG
titre	afsnit	titre	afsnit	N;MASC;SG	N;INDF;NEUT;SG
monde	verden	monde	verden	N;MASC;SG	N;INDF;MASC+FEM;SG
nord	north	nord	north	N;MASC;SG	N;INDF;MASC+FEM;SG
nord	nord	nord	nord	N;MASC;SG	N;INDF
nord	nord	nord	nord	N;MASC;SG	N;INDF
bien	godt	bien	godt	ADV	ADV
liste	liste	liste	liste	N;FEM;SG	N;INDF;MASC+FEM;SG
liste	list	liste	list	N;FEM;SG	N;INDF;MASC+FEM;SG
équipe	trup	équipe	trup	N;FEM;SG	N;INDF;MASC+FEM;SG
équipe	holdet	équipe	hold	N;FEM;SG	N;DEF;NEUT;SG
équipe	teamet	équipe	team	N;FEM;SG	N;DEF;NEUT;SG
équipe	team	équipe	team	N;FEM;SG	N;INDF;NEUT;SG
club	klub	club	klub	N;MASC;SG	N;INDF;MASC+FEM;SG
club	club	club	club	N;MASC;SG	N;INDF;MASC+FEM;SG
club	natklub	club	natklub	N;MASC;SG	N;INDF;MASC+FEM;SG
club	kølle	club	kølle	N;MASC;SG	N;INDF;MASC+FEM;SG
club	klubben	club	klub	N;MASC;SG	N;DEF;MASC+FEM;SG
sud	syd	sud	syd	N;MASC;SG	N;INDF
partie	fest	partie	fest	N;FEM;SG	N;INDF;MASC+FEM;SG
partie	part	partie	part	N;FEM;SG	N;INDF;MASC+FEM;SG
partie	parti	partie	parti	N;FEM;SG	N;INDF;NEUT;SG
partie	del	partie	del	N;FEM;SG	N;INDF;MASC+FEM;SG
non	ikke	non	ikke	ADV	ADV
non	ej	non	ej	ADV	ADV
trois	tre	trois	tre	NUM	NUM
articles	artikler	article	artikel	N;MASC;PL	N;INDF;MASC+FEM;PL
articles	genstande	article	genstand	N;MASC;PL	N;INDF;MASC+FEM;PL
articles	artiklerne	article	artikel	N;MASC;PL	N;DEF;MASC+FEM;PL
guerre	krigen	guerre	krig	N;FEM;SG	N;DEF;MASC+FEM;SG
guerre	krig	guerre	krig	N;FEM;SG	N;INDF;MASC+FEM;SG
saison	årstid	saison	årstid	N;FEM;SG	N;INDF;MASC+FEM;SG
saison	sæsonen	saison	sæson	N;FEM;SG	N;DEF;MASC+FEM;SG
saison	sæson	saison	sæson	N;FEM;SG	N;INDF;MASC+FEM;SG
fin	finne	fin	finne	N;FEM;SG	N;INDF;MASC+FEM;SG
fin	slutning	fin	slutning	N;FEM;SG	N;INDF;MASC+FEM;SG
fin	afslutning	fin	afslutning	N;FEM;SG	N;INDF;MASC+FEM;SG
fin	slut	fin	slut	N;FEM;SG	N
fin	ende	fin	ende	N;FEM;SG	N;INDF;MASC+FEM;SG
fin	ophør	fin	ophør	N;FEM;SG	N;INDF;NEUT;SG
année	aars	année	aars	N;FEM;SG	N;INDF;MASC+FEM;SG
année	året	année	år	N;FEM;SG	N;DEF;NEUT;SG
année	år	année	år	N;FEM;SG	N;INDF;NEUT;SG
temps	vejret	temps	vejr	N;MASC;SG	N;DEF;NEUT;SG
temps	vejr	temps	vejr	N;MASC;SG	N;INDF;NEUT;SG
temps	tid	temps	tid	N;MASC;SG	N;INDF;MASC+FEM;SG
temps	tidspunkt	temps	tidspunkt	N;MASC;SG	N;INDF;NEUT;SG
temps	gang	temps	gang	N;MASC;SG	N;INDF;MASC+FEM;SG
temps	klokkeslæt	temps	klokkeslæt	N;MASC;SG	N;INDF;NEUT;SG
temps	tiden	temps	tid	N;MASC;SG	N;DEF;MASC+FEM;SG
faire	laver	faire	lave	V;NFIN	V;IND;PRS;FIN;ACT
faire	lav	faire	lav	V;NFIN	V;IMP
faire	foretag	faire	foretag	V;NFIN	V;IMP
faire	lave	faire	lave	V;NFIN	V;NFIN;ACT
mars	marts	mars	marts	N;MASC;SG	N;INDF;MASC+FEM;SG
mars	march	mars	march	N;MASC;SG	N;INDF;MASC+FEM;SG
mars	mars	mars	mars	N;MASC;SG	N;INDF;MASC+FEM;SG
histoire	historik	histoire	historik	N;FEM;SG	N;INDF;MASC+FEM;SG
histoire	historie	histoire	historie	N;FEM;SG	N;INDF;MASC+FEM;SG
série	serie	série	serie	N;FEM;SG	N;INDF;MASC+FEM;SG
série	serien	série	serie	N;FEM;SG	N;DEF;MASC+FEM;SG
série	seriemorder	série	seriemorder	N;FEM;SG	N;INDF;MASC+FEM;SG
joueur	spilleren	joueur	spiller	N;MASC;SG	N;DEF;MASC+FEM;SG
joueur	afspiller	joueur	afspille	N;MASC;SG	N;INDF;MASC+FEM;SG
mai	maj	mai	maj	N;MASC;SG	N;INDF;MASC+FEM;SG
tour	rundvisning	tour	rundvisning	N;MASC;SG	N;INDF;MASC+FEM;SG
tour	turné	tour	turné	N;MASC;SG	N;INDF;MASC+FEM;SG
tour	rundtur	tour	rundtur	N;MASC;SG	N;INDF;MASC+FEM;SG
tour	tårn	tour	tårn	N;MASC;SG	N;INDF;NEUT;SG
tour	tårnet	tour	tårne	N;MASC;SG	N;DEF;NEUT;SG
juin	juni	juin	juni	N;MASC;SG	N;INDF;MASC+FEM;SG
juin	june	juin	jun	N;MASC;SG	N;INDF;MASC+FEM;SG
française	fransk	français	fransk	ADJ;FEM;SG	ADJ;INDF;SG
pierre	smæk	pierre	smæk	N;FEM;SG	N;INDF;NEUT;SG
pierre	sten	pierre	sten	N;FEM;SG	N;INDF;MASC+FEM;SG
pierre	pierre	pierre	pierre	N;FEM;SG	N;INDF;MASC+FEM;SG
région	region	région	region	N;FEM;SG	N;INDF;MASC+FEM;SG
région	areal	région	areal	N;FEM;SG	N;INDF;NEUT;SG
région	område	région	område	N;FEM;SG	N;INDF;NEUT;SG
janvier	januar	janvier	januar	N;MASC;SG	N;INDF;MASC+FEM;SG
avoir	har	avoir	have	V;NFIN	V;IND;PRS;FIN;ACT
avoir	have	avoir	have	V;NFIN	V;NFIN;ACT
fois	times	fois	time	N;FEM;SG	N;GEN;INDF;MASC+FEM;SG
autre	andet	autre	anden	PRO;SG	PRO;NEUT;SG
septembre	september	septembre	september	N;MASC;SG	N;INDF;MASC+FEM;SG
juillet	juli	juillet	juli	N;MASC;SG	N;INDF;MASC+FEM;SG
état	status	état	status	N;MASC;SG	N;INDF;MASC+FEM;SG
état	statussen	état	statusse	N;MASC;SG	N;DEF;MASC+FEM;SG
état	stat	état	stat	N;MASC;SG	N;INDF;MASC+FEM;SG
état	delstat	état	delstat	N;MASC;SG	N;INDF;MASC+FEM;SG
état	tilstand	état	tilstand	N;MASC;SG	N;INDF;MASC+FEM;SG
état	tilstand	état	tilstand	N;MASC;SG	N;INDF;MASC+FEM;SG
état	betingelse	état	betingelse	N;MASC;SG	N;INDF;MASC+FEM;SG
état	stand	état	stand	N;MASC;SG	N;INDF;MASC+FEM;SG
église	church	église	church	N;FEM;SG	N;INDF;MASC+FEM;SG
église	kirken	église	kirk	N;FEM;SG	N;DEF;MASC+FEM;SG
église	kirke	église	kirke	N;FEM;SG	N;INDF;MASC+FEM;SG
octobre	oktober	octobre	oktober	N;MASC;SG	N;INDF;MASC+FEM;SG
place	stedet	place	sted	N;FEM;SG	N;DEF;NEUT;SG
place	sted	place	sted	N;FEM;SG	N;INDF;NEUT;SG
place	plads	place	plads	N;FEM;SG	N;INDF;MASC+FEM;SG
famille	familien	famille	familie	N;FEM;SG	N;DEF;MASC+FEM;SG
famille	familie	famille	familie	N;FEM;SG	N;INDF;MASC+FEM;SG
états	stater	état	stat	N;MASC;PL	N;INDF;MASC+FEM;PL
états	staterne	état	stat	N;MASC;PL	N;DEF;MASC+FEM;PL
avril	apr	avril	apr	N;MASC;SG	N;INDF;MASC+FEM;SG
avril	april	avril	april	N;MASC;SG	N;INDF;MASC+FEM;SG
album	album	album	album	N;MASC;SG	N;INDF;NEUT;SG
album	plade	album	plade	N;MASC;SG	N;INDF;MASC+FEM;SG
album	albummet	album	album	N;MASC;SG	N;DEF;NEUT;SG
décembre	december	décembre	december	N;MASC;SG	N;INDF;MASC+FEM;SG
août	august	août	august	N;MASC;SG	N;INDF;MASC+FEM;SG
août	aug	août	aug	N;MASC;SG	N;INDF;MASC+FEM;SG
novembre	november	novembre	november	N;MASC;SG	N;INDF;MASC+FEM;SG
prix	pris	prix	pris	N;MASC;SG	N;INDF;MASC+FEM;SG
prix	price	prix	price	N;MASC;SG	N;INDF;NEUT;SG
prix	prisen	prix	pris	N;MASC;SG	N;DEF;MASC+FEM;SG
nouvelle	ny	nouveau	ny	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
nouvelle	nyt	nouveau	ny	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
février	februar	février	februar	N;MASC;SG	N;INDF;MASC+FEM;SG
février	feb	février	feb	N;MASC;SG	N;INDF;MASC+FEM;SG
département	afdeling	département	afdeling	N;MASC;SG	N;INDF;MASC+FEM;SG
département	departement	département	departement	N;MASC;SG	N;INDF;NEUT;SG
département	afdelingen	département	afdeling	N;MASC;SG	N;DEF;MASC+FEM;SG
grande	stor	grand	stor	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
grande	stort	grand	stor	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
grande	stor	grand	stor	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
grande	stort	grand	stor	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
grande	fantastisk	grand	fantastisk	ADJ;FEM;SG	ADJ;INDF;SG
grande	fedt	grand	fedt	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
grande	stor	grand	stor	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
grande	skønt	grand	skøn	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
grande	herligt	grand	herlig	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
américain	amerikansk	américain	amerikansk	ADJ;MASC;SG	ADJ;INDF;SG
début	start	début	start	N;MASC;SG	N;INDF;MASC+FEM;SG
début	begyndelse	début	begyndelse	N;MASC;SG	N;INDF;MASC+FEM;SG
début	begyndelsen	début	begyndelse	N;MASC;SG	N;DEF;MASC+FEM;SG
ligne	streg	ligne	strige	N;FEM;SG	N;INDF;MASC+FEM;SG
ligne	linje	ligne	linje	N;FEM;SG	N;INDF;MASC+FEM;SG
ligne	linie	ligne	linie	N;FEM;SG	N;INDF;MASC+FEM;SG
ligne	ro	ligne	ro	N;FEM;SG	N;INDF;MASC+FEM;SG
ligne	række	ligne	række	N;FEM;SG	N;INDF;MASC+FEM;SG
suite	suite	suite	suite	N;FEM;SG	N;INDF;MASC+FEM;SG
suite	suiten	suite	suiten	N;FEM;SG	N;DEF;MASC+FEM;SG
nationale	landsdækkende	national	landsdækkende	ADJ;FEM;SG	ADJ
championnat	mesterskabet	championnat	mesterskab	N;MASC;SG	N;DEF;NEUT;SG
championnat	mesterskab	championnat	mesterskab	N;MASC;SG	N;INDF;NEUT;SG
championnat	championship	championnat	championship	N;MASC;SG	N;INDF;MASC+FEM;SG
encore	igen	encore	igen	ADV	ADV
encore	stadig	encore	stadig	ADV	ADV
encore	stadigvæk	encore	stadigvæk	ADV	ADV
image	billed	image	billed	N;FEM;SG	N;INDF;NEUT;SG
image	billede	image	billede	N;FEM;SG	N;INDF;NEUT;SG
image	image	image	image	N;FEM;SG	N;INDF;NEUT;SG
image	billede	image	billede	N;FEM;SG	N;INDF;NEUT;SG
image	billedet	image	billede	N;FEM;SG	N;DEF;NEUT;SG
vie	liv	vie	liv	N;FEM;SG	N;INDF;NEUT;SG
vie	livet	vie	liv	N;FEM;SG	N;DEF;NEUT;SG
vie	livstid	vie	livstid	N;FEM;SG	N;INDF;MASC+FEM;SG
vie	vie	vie	vie	N;FEM;SG	N;INDF;MASC+FEM;SG
unis	forenede	unir	forene	V;MASC;PL;PST;V.PTCP	V;PL;PST;V.PTCP
lien	link	lien	link	N;MASC;SG	N;INDF;NEUT;SG
lien	linket	lien	linke	N;MASC;SG	N;DEF;NEUT;SG
football	fodbold	football	fodbold	N;MASC;SG	N;INDF;MASC+FEM;SG
football	fodbold	football	fodbold	N;MASC;SG	N;INDF;MASC+FEM;SG
football	football	football	football	N;MASC;SG	N;INDF;MASC+FEM;SG
jeux	kampe	jeu	kamp	N;MASC;PL	N;INDF;MASC+FEM;PL
moins	mindre	moins	mindre	ADV	ADV;CMPR
ouest	west	ouest	west	N;MASC;SG	N;INDF;MASC+FEM;SG
ouest	vest	ouest	vest	N;MASC;SG	N;INDF
ouest	vestpå	ouest	vestpå	N;MASC;SG	N;INDF
ouest	vest	ouest	vest	N;MASC;SG	N;INDF
ouest	western	ouest	western	N;MASC;SG	N;INDF;MASC+FEM;SG
page	side	page	side	N;FEM;SG	N;INDF;MASC+FEM;SG
nouveau	ny	nouveau	ny	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
nouveau	nyt	nouveau	ny	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
centre	centrum	centre	centrum	N;MASC;SG	N;INDF;NEUT;SG
centre	midtpunkt	centre	midtpunkt	N;MASC;SG	N;INDF;NEUT;SG
centre	center	centre	center	N;MASC;SG	N;INDF;NEUT;SG
centre	midten	centre	midte	N;MASC;SG	N;DEF;MASC+FEM;SG
centre	centret	centre	center	N;MASC;SG	N;DEF;NEUT;SG
centre	centrum	centre	centrum	N;MASC;SG	N;INDF;NEUT;SG
centre	centre	centre	centre	N;MASC;SG	N;INDF;MASC+FEM;SG
centre	center	centre	center	N;MASC;SG	N;INDF;NEUT;SG
cours	kursus	cours	kursus	N;MASC;SG	N;INDF;NEUT;SG
partir	forlad	partir	forlad	V;NFIN	V;IMP
partir	forlade	partir	forlade	V;NFIN	V;NFIN;ACT
village	landsbyen	village	landsby	N;MASC;SG	N;DEF;MASC+FEM;SG
village	landsby	village	landsby	N;MASC;SG	N;INDF;MASC+FEM;SG
université	university	université	university	N;FEM;SG	N;INDF;MASC+FEM;SG
université	universitet	université	universitet	N;FEM;SG	N;INDF;NEUT;SG
université	universitetet	université	universitet	N;FEM;SG	N;DEF;NEUT;SG
université	kollegium	université	kollegium	N;FEM;SG	N;INDF;NEUT;SG
université	college	université	college	N;FEM;SG	N;INDF;MASC+FEM;SG
louis	ludvig	loui	ludvig	N;MASC;SG	N;INDF;MASC+FEM;SG
nombre	antal	nombre	antal	N;MASC;SG	N;INDF;NEUT;SG
nombre	nummer	nombre	nummer	N;MASC;SG	N;INDF;NEUT;SG
quelques	nogle	quelque	nogen	PRO;PL	PRO;PL
leurs	deres	son	deres	DET;MASC;PL	DET;3
siècle	århundrede	siècle	århundrede	N;MASC;SG	N;INDF;NEUT;SG
coupe	klipning	coupe	klipning	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	haircut	coupe	haircut	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	frisure	coupe	frisur	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	klippet	coupe	klippe	N;FEM;SG	N;DEF;NEUT;SG
coupe	kop	coupe	kop	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	pokalen	coupe	pokal	N;FEM;SG	N;DEF;MASC+FEM;SG
coupe	cup	coupe	cup	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	skæring	coupe	skæring	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	opskæring	coupe	opskæring	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	udskæring	coupe	udskæring	N;FEM;SG	N;INDF;MASC+FEM;SG
coupe	klippet	coupe	klippe	N;FEM;SG	N;DEF;NEUT;SG
coupe	snit	coupe	snit	N;FEM;SG	N;INDF;NEUT;SG
coupe	klip	coupe	klip	N;FEM;SG	N;INDF;NEUT;SG
coupe	coupé	coupe	coupé	N;FEM;SG	N;INDF;MASC+FEM;SG
population	befolkningen	population	befolkning	N;FEM;SG	N;DEF;MASC+FEM;SG
population	indbyggertal	population	indbyggertal	N;FEM;SG	N;INDF;NEUT;SG
population	befolkning	population	befolkning	N;FEM;SG	N;INDF;MASC+FEM;SG
homme	hankøn	homme	hankøn	N;MASC;SG	N;INDF;MASC+FEM;SG
homme	mand	homme	mand	N;MASC;SG	N;INDF;MASC+FEM;SG
homme	homme	homme	homme	N;MASC;SG	N;INDF;MASC+FEM;SG
homme	mennesket	homme	menneske	N;MASC;SG	N;DEF;NEUT;SG
homme	mand	homme	mand	N;MASC;SG	N;INDF;MASC+FEM;SG
homme	manden	homme	mand	N;MASC;SG	N;DEF;MASC+FEM;SG
communes	kommuner	commune	kommune	N;FEM;PL	N;INDF;MASC+FEM;PL
communes	kommunerne	commune	kommune	N;FEM;PL	N;DEF;MASC+FEM;PL
communes	kommuner	commune	kommune	N;FEM;PL	N;INDF;MASC+FEM;PL
communes	kommunerne	commune	kommune	N;FEM;PL	N;DEF;MASC+FEM;PL
division	afdeling	division	afdeling	N;FEM;SG	N;INDF;MASC+FEM;SG
division	opdeling	division	opdeling	N;FEM;SG	N;INDF;MASC+FEM;SG
division	division	division	division	N;FEM;SG	N;INDF;MASC+FEM;SG
division	hovedgruppe	division	hovedgruppe	N;FEM;SG	N;INDF;MASC+FEM;SG
président	præsidenten	président	præsident	N;MASC;SG	N;DEF;MASC+FEM;SG
président	formand	président	formand	N;MASC;SG	N;INDF;MASC+FEM;SG
président	præsident	président	præsident	N;MASC;SG	N;INDF;MASC+FEM;SG
président	stol	président	stol	N;MASC;SG	N;INDF;MASC+FEM;SG
président	stolen	président	stol	N;MASC;SG	N;DEF;MASC+FEM;SG
président	formand	président	formand	N;MASC;SG	N;INDF;MASC+FEM;SG
président	bestyrelsesformand	président	bestyrelsesformand	N;MASC;SG	N;INDF;MASC+FEM;SG
national	landsdækkende	national	landsdækkende	ADJ;MASC;SG	ADJ
société	samfundet	société	samfund	N;FEM;SG	N;DEF;NEUT;SG
société	samfund	société	samfund	N;FEM;SG	N;INDF;NEUT;SG
société	selskab	société	selskab	N;FEM;SG	N;INDF;NEUT;SG
société	firma	société	firma	N;FEM;SG	N;INDF;NEUT;SG
société	kompagni	société	kompagni	N;FEM;SG	N;INDF;NEUT;SG
société	virksomhed	société	virksomhed	N;FEM;SG	N;INDF;MASC+FEM;SG
quatre	fire	quatre	fire	NUM	NUM
cas	tilfælde	cas	tilfælde	N;MASC;SG	N;INDF;NEUT;SG
jeu	gaming	jeu	gaming	N;MASC;SG	N;INDF;MASC+FEM;SG
jeu	kamp	jeu	kamp	N;MASC;SG	N;INDF;MASC+FEM;SG
jeu	spil	jeu	spil	N;MASC;SG	N;INDF;NEUT;SG
jeu	leg	jeu	leg	N;MASC;SG	N;INDF;MASC+FEM;SG
jeu	gambling	jeu	gambling	N;MASC;SG	N;INDF;MASC+FEM;SG
jeu	hasardspil	jeu	hasardspil	N;MASC;SG	N;INDF;NEUT;SG
genre	genre	genre	genre	N;MASC;SG	N;INDF;MASC+FEM;SG
genre	køn	genre	køn	N;MASC;SG	N;INDF;MASC+FEM;SG
genre	slægt	genre	slægge	N;MASC;SG	N;INDF;MASC+FEM;SG
musique	musik	musique	musik	N;FEM;SG	N;INDF;MASC+FEM;SG
musique	musikken	musique	musik	N;FEM;SG	N;DEF;MASC+FEM;SG
fils	ledning	fils	ledning	N;MASC;SG	N;INDF;MASC+FEM;SG
fils	wire	fils	wire	N;MASC;SG	N;INDF;MASC+FEM;SG
fils	tråd	fils	tråd	N;MASC;SG	N;INDF;MASC+FEM;SG
fils	pigtråd	fils	pigtråd	N;MASC;SG	N;INDF;MASC+FEM;SG
fils	søn	fils	søn	N;MASC;SG	N;INDF;MASC+FEM;SG
fils	garn	fils	garn	N;MASC;SG	N;INDF;NEUT;SG
roi	konge	roi	konge	N;MASC;SG	N;INDF;MASC+FEM;SG
roi	kongens	roi	konge	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
roi	kongen	roi	konge	N;MASC;SG	N;DEF;MASC+FEM;SG
jour	dag	jour	dag	N;MASC;SG	N;INDF;MASC+FEM;SG
jour	dagen	jour	dag	N;MASC;SG	N;DEF;MASC+FEM;SG
jour	kampdag	jour	kampdag	N;MASC;SG	N;INDF;MASC+FEM;SG
europe	eu	europe	eu	N;FEM;SG	N;INDF;MASC+FEM;SG
forme	formular	forme	formular	N;FEM;SG	N;INDF;MASC+FEM;SG
forme	blanket	forme	blanke	N;FEM;SG	N;INDF;NEUT;SG
forme	form	forme	form	N;FEM;SG	N;INDF;MASC+FEM;SG
