اِبتدائی	elementary	اِبتدائی	elementary	N;NOM;MASC;SG;3	N;SG
اُتارنا	exorcise	اُتار	exorcise	V;NFIN;ACT	V;IMP;FIN
اُتارنا	reveal	اُتار	reveal	V;NFIN;ACT	V;IMP;FIN
اُتارنا	exorcise	اُتار	exorcise	V;NFIN;ACT	V;IMP;FIN
اُترنا	dismount	اُتر	dismount	V;MASC;SG;ACT	V;IMP;FIN
اُترنا	disembark	اُتر	disembark	V;MASC;SG;ACT	V;IMP;FIN
اِتّفاقاً	incidentally	اِتّفاقاً	incidentally	ADV	ADV
اِتّفاقی	casual	اِتّفاقی	casual	ADJ;NOM	ADJ
اٹکلنا	guess	اٹکل	guess	V;NFIN;ACT	V;IMP;FIN
اٹکنا	stop	اٹک	stop	V;NFIN;ACT	V;IMP;FIN
اُٹھانا	raise	اُٹھا	raise	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھانا	kidnap	اُٹھا	kidnap	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھانا	remove	اُٹھا	remove	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھانا	steal	اُٹھا	steal	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھانا	carry	اُٹھا	carry	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھانا	awaken	اُٹھا	awaken	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھتا	ascending	اُٹھ	ascend	V;IPFV;MASC;SG;V.PTCP;ACT	V;V.MSDR
اُٹھنا	rise	اُٹھ	rise	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھنا	recover	اُٹھ	recover	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُٹھنا	depart	اُٹھ	depart	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اثاثہ	wealth	اثاثہ	wealth	N;NOM;MASC;SG;3	N;SG
اثاثہ	property	اثاثہ	property	N;NOM;MASC;SG;3	N;SG
اثر	effect	اثر	effect	N;NOM;MASC;SG;3	N;SG
اثر	influence	اثر	influence	N;NOM;MASC;SG;3	N;SG
اثر	consequence	اثر	consequence	N;NOM;MASC;SG;3	N;SG
اثرورسوخ	influence	اثرورسوخ	influence	N;NOM;MASC;SG;3	N;SG
اثنا	time	اثنا	time	N;NOM;MASC;SG;3	N;SG
اثنا	period	اثنا	period	N;NOM;MASC;SG;3	N;SG
اثنا	time	اثنا	time	N;NOM;MASC;SG;3	N;SG
اثنا	period	اثنا	period	N;NOM;MASC;SG;3	N;SG
اُجاڑنا	destroy	اُجاڑنا	destroy	V;SG;NFIN;ACT	V;IMP;FIN
اُجاڑنا	ruin	اُجاڑنا	ruin	V;SG;NFIN;ACT	V;IMP;FIN
اِجازت	sanction	اِجازت	sanction	N;NOM;MASC;SG;3	N;SG
اِجازت	permission	اِجازت	permission	N;NOM;MASC;SG;3	N;SG
اِجازت	licence	اِجازت	licence	N;NOM;MASC;SG;3	N;SG
اُجالنا	brighten	اُجال	brighten	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُجالنا	cleanse	اُجال	cleanse	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اِجتماعی	collective	اِجتماعی	collective	ADJ	ADJ
اِجتماعی	congregational	اِجتماعی	congregational	ADJ	ADJ
اجر	fee	اجر	fee	N;NOM;MASC;SG;3	N;SG
اجر	reward	اجر	reward	N;NOM;MASC;SG;3	N;SG
اجر	remuneration	اجر	remuneration	N;NOM;MASC;SG;3	N;SG
اجر	compensation	اجر	compensation	N;NOM;MASC;SG;3	N;SG
اُجرت	fee	اُجرت	fee	N;NOM;MASC;SG;3	N;SG
اُجرت	reward	اُجرت	reward	N;NOM;MASC;SG;3	N;SG
اُجرت	remuneration	اُجرت	remuneration	N;NOM;MASC;SG;3	N;SG
اُجڑنا	plundered	اُجڑ	plunder	V;SG;NFIN;ACT	V;PST;V.PTCP
اِجمالاً	summarily	اِجمالاً	summarily	ADV	ADV
اِجمالاً	briefly	اِجمالاً	briefly	ADV	ADV
اجناس	goods	جنس	goods	N;NOM;MASC;PL;3	N;PL
اجناس	species	جنس	species	N;NOM;MASC;PL;3	N;PL
اجناس	grains	جنس	grain	N;NOM;MASC;PL;3	N;PL
اجیرن	difficult	اجیرن	difficult	ADJ	ADJ
اجیرن	troublesome	اجیرن	troublesome	ADJ	ADJ
اُجھکنا	tiptoe	اُجھک	tiptoe	V;NFIN;ACT	V;IMP;FIN
اُچانا	raise	اُچا	raise	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُچانا	elevate	اُچا	elevate	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اچانک	unexpectedly	اچانک	unexpectedly	ADV	ADV
اچانک	suddenly	اچانک	suddenly	ADV	ADV
اُچکنا	snatch	اُچک	snatch	V;SG;ACT	V;IMP;FIN
اُچکنا	grab	اُچک	grab	V;SG;ACT	V;IMP;FIN
اُچھالنا	scatter	اُچھال	scatter	V;SG;NFIN;ACT	V;IMP;FIN
اُچھالنا	promote	اُچھال	promote	V;SG;NFIN;ACT	V;IMP;FIN
اُچھلنا	rise	اُچھل	rise	V;SG;NFIN;ACT	V;IMP;FIN
اُچھلنا	gush	اُچھل	gush	V;SG;NFIN;ACT	V;IMP;FIN
اُچھلنا	rejoice	اُچھل	rejoice	V;SG;NFIN;ACT	V;IMP;FIN
اِحاطہ	enclosure	اِحاطہ	enclosure	N;NOM;MASC;SG;3	N;SG
اِحاطہ	boundary	اِحاطہ	boundary	N;NOM;MASC;SG;3	N;SG
اِحاطہ	precinct	اِحاطہ	precinct	N;NOM;MASC;SG;3	N;SG
اِحتمالی	uncertain	اِحتمالی	uncertain	ADJ	ADJ
اِحتمالی	probable	اِحتمالی	probable	ADJ	ADJ
اِحتمالی	conjectural	اِحتمالی	conjectural	ADJ	ADJ
اِحتمالی	likely	اِحتمالی	likely	ADJ	ADJ
اِحتمالی	hypothetical	اِحتمالی	hypothetical	ADJ	ADJ
اِحتمالی	doubtful	اِحتمالی	doubtful	ADJ	ADJ
اِحتیاطی	precautionary	اِحتیاطی	precautionary	ADJ;NOM	ADJ
احثابحثی	altercation	احثابحثی	altercation	N	N;SG
احکام	commands	حکم	command	N;NOM;MASC;PL;3	N;PL
احکام	orders	حکم	order	N;NOM;MASC;PL;3	N;PL
احکام	ordinances	حکم	ordinance	N;NOM;MASC;PL;3	N;PL
احکام	decrees	حکم	decree	N;NOM;MASC;PL;3	N;PL
احمقانہ	idiotic	احمقانہ	idiotic	ADJ	ADJ
احمقانہ	idiotic	احمقانہ	idiotic	ADJ	ADJ
احمقانہ	foolish	احمقانہ	foolish	ADJ	ADJ
احوال	state	احوال	state	N;NOM;MASC;SG;3	N;SG
احوال	condition	احوال	condition	N;NOM;MASC;SG;3	N;SG
احیاناً	occasionally	احیاناً	occasionally	ADV	ADV
احیاناً	sometimes	احیاناً	sometimes	ADV	ADV
اخبار	newspaper	اخبار	newspaper	N;NOM;MASC;SG;3	N;SG
اخبار	news	اخبار	news	N;NOM;MASC;SG;3	N;SG
اخبار	newspaper	اخبار	newspaper	N;NOM;MASC;SG;3	N;SG
اخبار	news	اخبار	news	N;NOM;MASC;SG;3	N;SG
اِختباریت	empiricism	اِختباریت	empiricism	N;NOM;MASC;SG;3	N;SG
اِختباریت	experimentalism	اِختباریت	experimentalism	N;NOM;MASC;SG;3	N;SG
اِختتامی	last	اِختتامی	last	ADJ	ADJ
اخترشماری	restlessness	اخترشماری	restlessness	N;NOM;MASC;SG;3	N;SG
اِختراع	invention	اِختراع	invention	N;NOM;MASC;SG;3	N;SG
اِختراع	artifice	اِختراع	artifice	N;NOM;MASC;SG;3	N;SG
اِختراع	innovation	اِختراع	innovation	N;NOM;MASC;SG;3	N;SG
اِختراع	concoction	اِختراع	concoction	N;NOM;MASC;SG;3	N;SG
اِختراع	fabrication	اِختراع	fabrication	N;NOM;MASC;SG;3	N;SG
اِختراع	creation	اِختراع	creation	N;NOM;MASC;SG;3	N;SG
اِختراعی	innovative	اِختراعی	innovative	ADJ;NOM	ADJ
اِختصار	abbreviation	اِختصار	abbreviation	N;NOM;MASC;SG;3	N;SG
اِختصار	summary	اِختصار	summary	N;NOM;MASC;SG;3	N;SG
اِختصار	synopsis	اِختصار	synopsis	N;NOM;MASC;SG;3	N;SG
اِختصار	brevity	اِختصار	brevity	N;NOM;MASC;SG;3	N;SG
اِختلاط	mixture	اِختلاط	mixture	N;NOM;MASC;SG;3	N;SG
اِختلاط	intimacy	اِختلاط	intimacy	N;NOM;MASC;SG;3	N;SG
اِختلاط	friendship	اِختلاط	friendship	N;NOM;MASC;SG;3	N;SG
اِختلاط	amalgamation	اِختلاط	amalgamation	N;NOM;MASC;SG;3	N;SG
اِختلافی	controversial	اِختلافی	controversial	ADJ;NOM	ADJ
اِختلافی	discordant	اِختلافی	discordant	ADJ;NOM	ADJ
اِختلال	obstruction	اِختلال	obstruction	N;NOM;MASC;SG;3	N;SG
اِختلال	disorder	اِختلال	disorder	N;NOM;MASC;SG;3	N;SG
اِختلال	confusion	اِختلال	confusion	N;NOM;MASC;SG;3	N;SG
اِختلال	deficiency	اِختلال	deficiency	N;NOM;MASC;SG;3	N;SG
اِختناق	suffocation	اِختناق	suffocation	N;NOM;MASC;SG;3	N;SG
اِختناق	asphyxiation	اِختناق	asphyxiation	N;NOM;MASC;SG;3	N;SG
اِختیار	choice	اِختیار	choice	N;NOM;MASC;SG;3	N;SG
اِختیار	power	اِختیار	power	N;NOM;MASC;SG;3	N;SG
اِختیار	election	اِختیار	election	N;NOM;MASC;SG;3	N;SG
اِختیار	jurisdiction	اِختیار	jurisdiction	N;NOM;MASC;SG;3	N;SG
اِختیار	control	اِختیار	control	N;NOM;MASC;SG;3	N;SG
اِختیار	option	اِختیار	option	N;NOM;MASC;SG;3	N;SG
اِختیار	authority	اِختیار	authority	N;NOM;MASC;SG;3	N;SG
اِختیار	autonomy	اِختیار	autonomy	N;NOM;MASC;SG;3	N;SG
اخذ	deduction	اخذ	deduction	N;NOM;MASC;SG;3	N;SG
اخذ	extraction	اخذ	extraction	N;NOM;MASC;SG;3	N;SG
اخذ	deduction	اخذ	deduction	N;NOM;MASC;SG;3	N;SG
اخذ	derivation	اخذ	derivation	N;NOM;MASC;SG;3	N;SG
اخراج	expenditure	اخراج	expenditure	N;NOM;MASC;SG;3	N;SG
اخراجات	expenses	خرچ	expense	N;NOM;MASC;PL;3	N;PL
اخلاط	phlegm	اخلاط	phlegm	N;NOM;MASC;SG;3	N;SG
اخلاق	etiquette	اخلاق	etiquette	N;NOM;MASC;SG;3	N;SG
اخلاق	courtesy	اخلاق	courtesy	N;NOM;MASC;SG;3	N;SG
اخلاق	disposition	اخلاق	disposition	N;NOM;MASC;SG;3	N;SG
اخلاقیات	ethics	اخلاقیات	ethic	N;NOM;MASC;PL;3	N;PL
ادا	posture	ادا	posture	N;NOM;MASC;SG;3	N;SG
ادا	payment	ادا	payment	N;NOM;MASC;SG;3	N;SG
ادا	style	ادا	style	N;NOM;MASC;SG;3	N;SG
ادات	alphabet	ادات	alphabet	N;NOM;MASC;SG;3	N;SG
اِدارت	compilation	اِدارت	compilation	N;NOM;MASC;SG;3	N;SG
اِدارہ	institution	اِدارہ	institution	N;NOM;MASC;SG;3	N;SG
اُداسی	hermit	اُداسی	hermit	N;NOM;MASC;SG;3	N;SG
اُداسی	sadness	اُداسی	sadness	N;NOM;MASC;SG;3	N;SG
اداکار	actor	اداکار	actor	N;NOM;MASC;SG;3	N;SG
اداکارہ	actress	اداکارہ	actress	N;NOM;MASC;SG;3	N;SG
ادائیگی	payment	ادائیگی	payment	N;NOM;FEM;SG;3	N;SG
ادب	literature	ادب	literature	N;NOM;MASC;SG;3	N;SG
ادب	civility	ادب	civility	N;NOM;MASC;SG;3	N;SG
ادب	reverence	ادب	reverence	N;NOM;MASC;SG;3	N;SG
ادب	etiquette	ادب	etiquette	N;NOM;MASC;SG;3	N;SG
ادب	respect	ادب	respect	N;NOM;MASC;SG;3	N;SG
ادب	literature	ادب	literature	N;NOM;MASC;SG;3	N;SG
ادب	civility	ادب	civility	N;NOM;MASC;SG;3	N;SG
ادب	reverence	ادب	reverence	N;NOM;MASC;SG;3	N;SG
ادب	etiquette	ادب	etiquette	N;NOM;MASC;SG;3	N;SG
ادب	decorum	ادب	decorum	N;NOM;MASC;SG;3	N;SG
ادب	respect	ادب	respect	N;NOM;MASC;SG;3	N;SG
ادرک	ginger	ادرک	ginger	N;NOM;MASC;SG;3	N;SG
ادوات	instruments	ادوات	instrument	N;NOM;MASC;PL;3	N;PL
ادوات	tools	ادوات	tool	N;NOM;MASC;PL;3	N;PL
ادوات	weapons	ادوات	weapon	N;NOM;MASC;PL;3	N;PL
ادوات	apparatuses	ادوات	apparatuse	N;NOM;MASC;PL;3	N;PL
ادویات	drugs	دوای	drug	N;NOM;MASC;PL;3	N;PL
ادویات	medicines	دوای	medicine	N;NOM;MASC;PL;3	N;PL
ادویاتی	medicinal	ادویاتی	medicinal	ADJ;NOM	ADJ
ادیان	creeds	ادیان	creed	N;NOM;MASC;PL;3	N;PL
ادیان	religions	ادیان	religion	N;NOM;MASC;PL;3	N;PL
ادیب	author	ادیب	author	N;NOM;MASC;SG;3	N;SG
ادیب	author	ادیب	author	N;NOM;MASC;SG;3	N;SG
ادیب	writer	ادیب	writer	N;NOM;MASC;SG;3	N;SG
اُدھڑنا	unravel	اُدھڑنا	unravel	V;NFIN	V;IMP;FIN
ادِھکاری	authority	ادِھکاری	authority	N;NOM;MASC;SG;3	N;SG
ادِھکاری	ownership	ادِھکاری	ownership	N;NOM;MASC;SG;3	N;SG
اِرادتاً	deliberately	اِرادتاً	deliberately	ADV	ADV
اِرادتاً	intentionally	اِرادتاً	intentionally	ADV	ADV
اِرادتاً	purposely	اِرادتاً	purposely	ADV	ADV
اِرادی	deliberate	اِرادی	deliberate	ADJ	ADJ
اِرادی	intentional	اِرادی	intentional	ADJ	ADJ
اراضی	field	اراضی	field	N;NOM;FEM;SG;3	N;SG
اراضی	plot	اراضی	plot	N;NOM;FEM;SG;3	N;SG
اراضی	estate	اراضی	estate	N;NOM;FEM;SG;3	N;SG
اراضیات	lands	اراضیات	land	N;NOM;MASC;PL;3	N;PL
اراکین	members	رکن	member	N;NOM;MASC;PL;3	N;PL
اِرتحال	departure	اِرتحال	departure	N;NOM;MASC;SG;3	N;SG
اِرتحال	death	اِرتحال	death	N;NOM;MASC;SG;3	N;SG
اِرتحال	demise	اِرتحال	demise	N;NOM;MASC;SG;3	N;SG
اِرشادات	sayings	اِرشاد	sayings	N;NOM;MASC;PL;3	N;PL
اِرشادات	commands	اِرشاد	command	N;NOM;MASC;PL;3	N;PL
ارض	country	ارض	country	N;NOM;MASC;SG;3	N;SG
ارض	land	ارض	land	N;NOM;MASC;SG;3	N;SG
ارضی	mundane	ارضی	mundane	ADJ	ADJ
ارضی	temporal	ارضی	temporal	ADJ	ADJ
ارکان	components	رکن	component	N;NOM;MASC;PL;3	N;PL
ارکان	members	رکن	member	N;NOM;MASC;PL;3	N;PL
ارکان	pillars	رکن	pillar	N;NOM;MASC;PL;3	N;PL
ارکان	nobles	رکن	noble	N;NOM;MASC;PL;3	N;PL
ارکان	ingredients	رکن	ingredient	N;NOM;MASC;PL;3	N;PL
ارکان	chiefs	رکن	chief	N;NOM;MASC;PL;3	N;PL
ارکان	columns	رکن	column	N;NOM;MASC;PL;3	N;PL
ارکان	heads	رکن	head	N;NOM;MASC;PL;3	N;PL
ارکان	essentials	رکن	essential	N;NOM;MASC;PL;3	N;PL
ارمانی	hopeful	ارمانی	hopeful	ADJ	ADJ
ارمانی	desirous	ارمانی	desirous	ADJ	ADJ
ارمانی	inclined	ارمانی	inclined	ADJ	ADJ
ارمنی	armenian	ارمنی	armenian	ADJ	ADJ
اڑا	checked	اڑ	check	V;PFV;MASC;SG;V.PTCP;ACT	V;PST;V.PTCP
اڑا	entangled	اڑ	entangle	V;PFV;MASC;SG;V.PTCP;ACT	V;PST;V.PTCP
اُڑا	flew	اُڑا	fly	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN
اڑانا	wear	اڑانا	wear	V;PFV;MASC;SG;V.PTCP;ACT	V;IMP;FIN
اڑنا	oppose	اڑنا	oppose	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اڑنا	stop	اڑنا	stop	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُڑنا	disappear	اُڑنا	disappear	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُڑنا	evaporate	اُڑنا	evaporate	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُڑنا	explode	اُڑنا	explode	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُڑنا	vanish	اُڑنا	vanish	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُڑنا	fly	اُڑنا	fly	V;MASC;SG;NFIN;ACT	V;IMP;FIN
ازلی	perpetual	ازلی	perpetual	ADJ	ADJ
ازواج	wives	ازواج	wife	N;NOM;MASC;PL;3	N;PL
ازواج	husbands	ازواج	husband	N;NOM;MASC;PL;3	N;PL
ازواج	spouses	ازواج	spouse	N;NOM;MASC;PL;3	N;PL
اساس	foundation	اساس	foundation	N;NOM;MASC;SG;3	N;SG
اساس	base	اساس	base	N;NOM;MASC;SG;3	N;SG
اساسی	fundamental	اساسی	fundamental	ADJ	ADJ
اساسی	primary	اساسی	primary	ADJ	ADJ
اساسی	fundamental	اساسی	fundamental	ADJ	ADJ
اساسی	primary	اساسی	primary	ADJ	ADJ
اساسی	basic	اساسی	basic	ADJ	ADJ
اساطیری	legendary	اساطیری	legendary	ADJ	ADJ
اساطیری	mythical	اساطیری	mythical	ADJ	ADJ
اساطیری	fabulous	اساطیری	fabulous	ADJ	ADJ
اساطیری	mythological	اساطیری	mythological	ADJ	ADJ
اساطِین	posts	اساطِین	post	N;NOM;MASC;PL;3	N;PL
اساطِین	pillars	اساطِین	pillar	N;NOM;MASC;PL;3	N;PL
اساطِین	columns	اساطِین	column	N;NOM;MASC;PL;3	N;PL
اسباب	goods	اسباب	goods	N;NOM;MASC;PL;3	N;PL
اسباب	motives	اسباب	motive	N;NOM;MASC;PL;3	N;PL
اسباب	things	اسباب	thing	N;NOM;MASC;PL;3	N;PL
اسباب	reasons	اسباب	reason	N;NOM;MASC;PL;3	N;PL
اسباب	articles	اسباب	article	N;NOM;MASC;PL;3	N;PL
اسباب	resources	اسباب	resource	N;NOM;MASC;PL;3	N;PL
اسباب	implements	اسباب	implement	N;NOM;MASC;PL;3	N;PL
اسباب	causes	اسباب	cause	N;NOM;MASC;PL;3	N;PL
اسباق	lessons	اسباق	lesson	N;NOM;MASC;PL;3	N;PL
اسپتال	hospital	اسپتال	hospital	N;NOM;MASC;SG;3	N;SG
اُستاد	tutor	اُستاد	tutor	N;NOM;MASC;SG;3	N;SG
اُستاد	teacher	اُستاد	teacher	N;NOM;MASC;SG;3	N;SG
اُستاد	instructor	اُستاد	instructor	N;NOM;MASC;SG;3	N;SG
اُستادی	cunning	اُستادی	cun	ADJ	ADJ
اِستبدادیت	authoritarianism	اِستبدادیت	authoritarianism	N;NOM;MASC;SG;3	N;SG
اِستجابت	acceptance	اِستجابت	acceptance	N;NOM;MASC;SG;3	N;SG
اِستحضار	sincerity	اِستحضار	sincerity	N;NOM;MASC;SG;3	N;SG
اِستحضار	absorption	اِستحضار	absorption	N;NOM;MASC;SG;3	N;SG
اِستحقار	contempt	اِستحقار	contempt	N;NOM;MASC;SG;3	N;SG
اِستحقار	disdain	اِستحقار	disdain	N;NOM;MASC;SG;3	N;SG
اِستحقاقی	preferential	اِستحقاقی	preferential	ADJ;NOM	ADJ
اِستحقاقی	privileged	اِستحقاقی	privileged	ADJ;NOM	ADJ
اِستحکام	stability	اِستحکام	stability	N;NOM;MASC;SG;3	N;SG
اِستحکام	firmness	اِستحکام	firmness	N;NOM;MASC;SG;3	N;SG
اِستحکام	strength	اِستحکام	strength	N;NOM;MASC;SG;3	N;SG
اِستخارہ	divination	اِستخارہ	divination	N;NOM;MASC;SG;3	N;SG
اُستخوانی	durable	اُستخوانی	durable	ADJ;NOM	ADJ
اُستخوانی	strong	اُستخوانی	strong	ADJ;NOM	ADJ
اِستدارت	roundness	اِستدارت	roundness	N;NOM;MASC;SG;3	N;SG
اِستدارت	circulation	اِستدارت	circulation	N;NOM;MASC;SG;3	N;SG
استرکاری	coating	استرکاری	coating	N;NOM;MASC;SG;3	N;SG
اِستشارہ	plebiscite	اِستشارہ	plebiscite	N;NOM;MASC;SG;3	N;SG
اِستشارہ	consultation	اِستشارہ	consultation	N;NOM;MASC;SG;3	N;SG
اِستصلاح	correction	اِستصلاح	correction	N;NOM;MASC;SG;3	N;SG
اِستعارتاً	metaphorically	اِستعارتاً	metaphorically	ADV	ADV
اِستعارہ	metaphor	اِستعارہ	metaphor	N;NOM;MASC;SG;3	N;SG
اِستعارہ	borrowing	اِستعارہ	borrowing	N;NOM;MASC;SG;3	N;SG
اِستعماری	imperialist	اِستعماری	imperialist	N;NOM;MASC;SG;3	N;SG
اِستعماریت	colonialism	اِستعماریت	colonialism	N;NOM;MASC;SG;3	N;SG
اِستعمال	utilization	اِستعمال	utilization	N;NOM;MASC;SG;3	N;SG
اِستعمال	operation	اِستعمال	operation	N;NOM;MASC;SG;3	N;SG
اِستعمال	application	اِستعمال	application	N;NOM;MASC;SG;3	N;SG
اِستعمال	usage	اِستعمال	usage	N;NOM;MASC;SG;3	N;SG
اِستعمال	employment	اِستعمال	employment	N;NOM;MASC;SG;3	N;SG
اِستقامت	firmness	اِستقامت	firmness	N;NOM;MASC;SG;3	N;SG
اِستقداس	holiness	اِستقداس	holiness	N;NOM;MASC;SG;3	N;SG
اِستقداس	reverence	اِستقداس	reverence	N;NOM;MASC;SG;3	N;SG
اِستقرار	staying	اِستقرار	stay	N;NOM;MASC;SG;3	N;SG
اِستقرار	confirmation	اِستقرار	confirmation	N;NOM;MASC;SG;3	N;SG
اِستقرار	recognition	اِستقرار	recognition	N;NOM;MASC;SG;3	N;SG
اِستقرار	resting	اِستقرار	rest	N;NOM;MASC;SG;3	N;SG
اِستقرار	ratification	اِستقرار	ratification	N;NOM;MASC;SG;3	N;SG
اِستکشاف	exposition	اِستکشاف	exposition	N;NOM;MASC;SG;3	N;SG
اِستکشاف	manifestation	اِستکشاف	manifestation	N;NOM;MASC;SG;3	N;SG
اِستنفار	revulsion	اِستنفار	revulsion	N;NOM;MASC;SG;3	N;SG
اُستُواری	strength	اُستُواری	strength	N;NOM;MASC;SG;3	N;SG
اُستُواری	firmness	اُستُواری	firmness	N;NOM;MASC;SG;3	N;SG
اُستُواری	constancy	اُستُواری	constancy	N;NOM;MASC;SG;3	N;SG
اُستُواری	determination	اُستُواری	determination	N;NOM;MASC;SG;3	N;SG
اُستُواری	stability	اُستُواری	stability	N;NOM;MASC;SG;3	N;SG
اُستُوانی	cylindrical	اُستُوانی	cylindrical	ADJ;NOM	ADJ
اِسرار	ghost	اِسرار	ghost	N;NOM;MASC;SG;3	N;SG
اِسرار	spectre	اِسرار	spectre	N;NOM;MASC;SG;3	N;SG
اِسرائیلی	jewish	اِسرائیلی	jewish	ADJ;NOM	ADJ
اِسلامی	islamic	اِسلامی	islamic	ADJ	ADJ
اِسلامی	muslim	اِسلامی	muslim	ADJ	ADJ
اسلحہ	armour	اسلحہ	armour	N;NOM;MASC;SG;3	N;SG
اسناد	certificates	سند	certificate	N;NOM;MASC;PL;3	N;PL
اسناد	diplomas	سند	diploma	N;NOM;MASC;PL;3	N;PL
اسناد	reasons	سند	reason	N;NOM;MASC;PL;3	N;PL
اِشارات	symbols	اِشار	symbol	N;NOM;MASC;PL;3	N;PL
اِشارات	hints	اِشار	hint	N;NOM;MASC;PL;3	N;PL
اِشارات	signs	اِشار	sign	N;NOM;MASC;PL;3	N;PL
اِشارات	clues	اِشار	clue	N;NOM;MASC;PL;3	N;PL
اِشارہ	order	اِشارہ	order	N;NOM;MASC;SG;3	N;SG
اِشارہ	sign	اِشارہ	sign	N;NOM;MASC;SG;3	N;SG
اِشارہ	suggestion	اِشارہ	suggestion	N;NOM;MASC;SG;3	N;SG
اِشارہ	indication	اِشارہ	indication	N;NOM;MASC;SG;3	N;SG
اِشارہ	command	اِشارہ	command	N;NOM;MASC;SG;3	N;SG
اِشارہ	gesture	اِشارہ	gesture	N;NOM;MASC;SG;3	N;SG
اِشارہ	signal	اِشارہ	signal	N;NOM;MASC;SG;3	N;SG
اِشارہ	symbol	اِشارہ	symbol	N;NOM;MASC;SG;3	N;SG
اِشارہ	allusion	اِشارہ	allusion	N;NOM;MASC;SG;3	N;SG
اِشتراکیت	socialism	اِشتراکیت	socialism	N;NOM;MASC;SG;3	N;SG
اِشتعالی	provocative	اِشتعالی	provocative	ADJ	ADJ
اِشتمالی	communist	اِشتمالی	communist	ADJ	ADJ
