the	το	the	ο	DET;DEF	DET;NOM;DEF;NEUT;SG
time	χρόνος	time	χρόνος	N;SG	N;NOM;MASC;SG
time	ώρα	time	ώρα	N;SG	N;ACC;FEM;SG
time	φορά	time	φορά	N;SG	N;ACC;FEM;SG
time	ωρα	time	ωρα	N;SG	N;ACC;FEM;SG
time	χρόνο	time	χρόνος	N;SG	N;ACC;MASC;SG
team	ομαδα	team	ομαδα	N;SG	N;NOM;FEM;SG
team	ομάδα	team	ομάδα	N;SG	N;ACC;FEM;SG
american	αμερικανική	american	αμερικάνικος	ADJ	ADJ;NOM;FEM;SG
american	αμερικανός	american	Αμερικανός	ADJ	ADJ;NOM;MASC;SG
american	αμερικάνος	american	αμερικάνος	ADJ	ADJ;NOM;MASC;SG
american	αμερικάνικο	american	Αμερικάνικος	ADJ	ADJ;NOM;NEUT;SG
discussion	συζητηση	discussion	συζητηση	N;SG	N;ACC;FEM;SG
discussion	συζήτηση	discussion	συζήτηση	N;SG	N;ACC;FEM;SG
links	δεσμοί	link	δεσμός	N;PL	N;NOM;MASC;PL
links	συνδέσεις	link	σύνδεση	N;PL	N;NOM;FEM;PL
links	συνδέσμους	link	σύνδεσμος	N;PL	N;ACC;MASC;PL
only	μόνον	only	μόνο	ADV	ADV
only	μόνο	only	μόνο	ADV	ADV
only	μονο	only	μονο	ADV	ADV
see	δείτε	see	βλέπω	V;IMP;FIN	V;PFV;IMP;PL;2;FIN;ACT
years	χρονια	year	χρονος	N;PL	N;NOM;NEUT;PL
years	ετη	year	εγώ	N;PL	N;NOM;NEUT;PL
years	χρόνια	year	χρόνος	N;PL	N;NOM;NEUT;PL
years	έτη	year	έτος	N;PL	N;NOM;NEUT;PL
school	σχολείο	school	σχολείο	N;SG	N;NOM;NEUT;SG
school	σχολη	school	σχολος	N;SG	N;NOM;FEM;SG
school	σχολειο	school	σχολειο	N;SG	N;NOM;NEUT;SG
school	σχολή	school	σχολή	N;SG	N;NOM;FEM;SG
world	κόσμο	world	κόσμος	N;SG	N;ACC;MASC;SG
world	κόσμος	world	κόσμος	N;SG	N;NOM;MASC;SG
university	πανεπιστήμιο	university	πανεπιστήμιο	N;SG	N;NOM;NEUT;SG
university	πανεπιστημιο	university	πανεπιστημιο	N;SG	N;NOM;NEUT;SG
out	έξω	out	έξω	ADV	ADV
out	εξω	out	εξω	ADV	ADV
state	κράτος	state	κράτος	N;SG	N;NOM;NEUT;SG
state	πολιτεία	state	πολιτεία	N;SG	N;ACC;FEM;SG
states	πολιτείες	state	πολιτεία	N;PL	N;NOM;FEM;PL
states	κρατών	state	κράτος	N;PL	N;GEN;NEUT;PL
states	κράτη	state	κράτος	N;PL	N;NOM;NEUT;PL
national	εθνικός	national	εθνικός	ADJ	ADJ;NOM;MASC;SG
national	εθνικό	national	εθνικός	ADJ	ADJ;NOM;NEUT;SG
national	εθνικη	national	εθνικη	ADJ	ADJ;NOM;FEM;SG
national	εθνική	national	εθνικός	ADJ	ADJ;NOM;FEM;SG
year	ετος	year	ετος	N;SG	N;NOM;NEUT;SG
year	έτος	year	έτος	N;SG	N;ACC;NEUT;SG
year	χρονιά	year	χρονιά	N;SG	N;ACC;FEM;SG
year	έτο	year	έτος	N;SG	N
city	πολη	city	πολη	N;SG	N;NOM;FEM;SG
city	πόλη	city	πόλη	N;SG	N;NOM;FEM;SG
used	χρησιμοποιήθηκε	use	χρησιμοποιώ	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
then	τότε	then	τότε	ADV	ADV
then	μετά	then	μετά	ADV	ADV
county	κομητεία	county	κομητείο	N;SG	N;NOM;FEM;SG
external	εξωτερική	external	εξωτερικός	ADJ	ADJ;NOM;FEM;SG
external	εξωτερικός	external	εξωτερικός	ADJ	ADJ;NOM;MASC;SG
where	όπου	where	όπου	ADV	ADV
where	πού	where	πού	ADV	ADV
what	τι	what	τι	PRO	PRO;NOM;NEUT;SG;3
these	αυτά	these	αυτός	PRO;PL	PRO;NOM;NEUT;PL;3
these	αυτές	these	αυτός	PRO;PL	PRO;NOM;FEM;PL;3
these	αυτα	these	αυτός	PRO;PL	PRO;NOM;NEUT;PL;3
film	μεμβράνη	film	μεμβράνη	N;SG	N;NOM;FEM;SG
film	ταινία	film	ταινία	N;SG	N;NOM;FEM;SG
film	ταινια	film	ταινιά	N;SG	N;NOM;FEM;SG
film	φιλμ	film	φιλμ	N;SG	N;NOM;NEUT;SG
many	πολλά	many	πολύς	ADJ	ADJ;NOM;NEUT;PL
many	πολλοι	many	πολύς	ADJ	ADJ;NOM;MASC;PL
many	πολλοί	many	πολύς	ADJ	ADJ;NOM;MASC;PL
many	πολλές	many	πολύς	ADJ	ADJ;NOM;FEM;PL
between	ανάμεσα	between	ανάμεσα	ADV	ADV
three	τρεις	three	τρεις	NUM	NUM;NOM;MASC;PL
three	τρία	three	τρεις	NUM	NUM;NOM;NEUT;PL
three	τρια	three	τρεις	NUM	NUM
war	πόλεμος	war	πόλεμος	N;SG	N;NOM;MASC;SG
war	πόλεμο	war	πόλεμος	N;SG	N;ACC;MASC;SG
born	γεννήθηκα	bear	γεννώ	V;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;PASS
born	γεννημένος	bear	γεννημένος	V;PST;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
born	γεννήθηκε	bear	γεννώ	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
link	σύνδεσμο	link	σύνδεσμο	N;SG	N;ACC;MASC;SG
link	σύνδεσμος	link	σύνδεσμος	N;SG	N;NOM;MASC;SG
link	λινκ	link	λινκ	N;SG	N;NOM;NEUT;SG
link	δεσμός	link	δεσμός	N;SG	N;NOM;MASC;SG
link	σύνδεση	link	σύνδεση	N;SG	N;NOM;FEM;SG
while	ενώ	while	ενώ	CONJ	CONJ
later	αργότερα	later	αργά	ADV	ADV;CMPR
later	αργοτερα	later	αργά	ADV	ADV
part	μέρος	part	μέρος	N;SG	N;NOM;NEUT;SG
part	μεροσ	part	μεροσ	N;SG	N;NOM;NEUT;SG
players	παίκτες	player	παίκτης	N;PL	N;NOM;MASC;PL
players	παίχτες	player	παίχτης	N;PL	N;NOM;MASC;PL
list	λίστα	list	λίστα	N;SG	N;NOM;FEM;SG
list	κατάλογος	list	κατάλογος	N;SG	N;NOM;MASC;SG
following	ακολουθώντας	follow	ακολουθώ	V;V.MSDR	V;IPFV;V.CVB;ACT
following	ακολουθεί	follow	ακολουθώ	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN;ACT
name	ονομασία	name	ονομασία	N;SG	N;NOM;FEM;SG
name	όνομα	name	όνομα	N;SG	N;NOM;NEUT;SG
name	ονομα	name	ονομα	N;SG	N;NOM;NEUT;SG
group	όμιλος	group	όμιλος	N;SG	N;NOM;MASC;SG
group	ομαδα	group	ομαδα	N;SG	N;NOM;FEM;SG
group	ομάδα	group	ομάδα	N;SG	N;ACC;FEM;SG
history	ιστορία	history	ιστορία	N;SG	N;NOM;FEM;SG
history	ιστορια	history	ιστορια	N;SG	N;NOM;FEM;SG
series	σειρά	series	σειρά	N;SG	N;ACC;FEM;SG
series	σειρα	series	σειρα	N;SG	N;NOM;FEM;SG
just	απλα	just	απλά	ADV	ADV
just	απλά	just	απλά	ADV	ADV
just	απλώς	just	απλά	ADV	ADV
work	έργο	work	έργο	N;SG	N;NOM;NEUT;SG
work	δουλειά	work	δουλειά	N;SG	N;NOM;FEM;SG
work	εργασία	work	εργασία	N;SG	N;NOM;FEM;SG
work	δουλεια	work	δουλεια	N;SG	N;ACC;FEM;SG
before	πριν	before	πριν	ADV	ADV
season	εποχή	season	εποχή	N;SG	N;ACC;FEM;SG
season	σαιζόν	season	σαιζός	N;SG	N;NOM;FEM;SG
season	σεζόν	season	σεζόν	N;SG	N;ACC;FEM;SG
high	υψηλή	high	ψηλός	ADJ	ADJ;NOM;FEM;SG
high	υψηλός	high	υψηλός	ADJ	ADJ;NOM;MASC;SG
high	υψηλό	high	ψηλός	ADJ	ADJ;NOM;NEUT;SG
district	περιφέρεια	district	περιφέρεια	N;SG	N;NOM;FEM;SG
now	τώρα	now	τώρα	ADV	ADV
now	τωρα	now	τωρα	ADV	ADV
comments	σχολια	comment	σχολια	N;PL	N;NOM;NEUT;PL
comments	σχόλια	comment	σχόλιο	N;PL	N;NOM;NEUT;PL
comments	παρατηρήσεις	comment	παρατήρηση	N;PL	N;NOM;FEM;PL
because	επειδή	because	επειδή	CONJ	CONJ
because	γιατί	because	γιατί	CONJ	CONJ
football	ποδόσφαιρο	football	ποδόσφαιρος	N;SG	N;NOM;NEUT;SG
music	μουσικη	music	μουσίκη	N;SG	N;NOM;FEM;SG
century	αιώνα	century	αιώνας	N;SG	N;ACC;MASC;SG
century	αιώνας	century	αιώνας	N;SG	N;NOM;MASC;SG
edits	διορθώσεις	edit	διορθώση	N;PL	N;NOM;FEM;PL
debate	συζήτηση	debate	συζήτηση	N;SG	N;ACC;FEM;SG
articles	άρθρα	article	άρθρο	N;PL	N;NOM;NEUT;PL
articles	τεχνουργήματα	article	τεχνούργημα	N;PL	N;NOM;NEUT;PL
same	ίδια	same	ίδιος	ADJ	ADJ;NOM;FEM;SG
same	ίδιο	same	ίδιος	ADJ	ADJ;NOM;NEUT;SG
same	ίδιοι	same	ίδιος	ADJ	ADJ;NOM;MASC;PL
including	συμπεριλαμβανομένου	include	συμπεριλαμβανόμενος	V;V.MSDR	V;PFV;GEN;MASC;SG;V.PTCP;PASS
including	συμπεριλαμβανομένης	include	συμπεριλαμβανόμενος	V;V.MSDR	V;PFV;GEN;FEM;SG;V.PTCP;PASS
including	συμπεριλαμβανομένων	include	συμπεριλαμβανόμενος	V;V.MSDR	V;PFV;GEN;FEM;PL;V.PTCP;PASS
album	δίσκος	album	δίσκος	N;SG	N;NOM;MASC;SG
album	άλμπουμ	album	άλμπουμ	N;SG	N;MASC;SG
number	αριθμός	number	αριθμός	N;SG	N;NOM;MASC;SG
number	νούμερο	number	νούμερος	N;SG	N
against	εναντίον	against	εναντίον	ADP	ADP
family	οικογενεια	family	οικογενεια	N;SG	N;ACC;FEM;SG
family	οικογένεια	family	οικογένεια	N;SG	N;NOM;FEM;SG
user	χρήστη	user	χρήστης	N;SG	N;ACC;NEUT;SG
user	χρήστης	user	χρήστης	N;SG	N;NOM;MASC;SG
based	βασισμένο	base	βασίζω	V;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
based	βασισμένη	base	βασίζω	V;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
area	έκταση	area	έκταση	N;SG	N;ACC;FEM;SG
area	εμβαδόν	area	εμβαδόν	N;SG	N;NOM;NEUT;SG
area	περιοχή	area	περιοχή	N;SG	N;NOM;FEM;SG
area	περιοχη	area	περιοχος	N;SG	N;NOM;FEM;SG
life	ζωή	life	ζωή	N;SG	N;ACC;FEM;SG
life	ζωη	life	ζωη	N;SG	N;ACC;FEM;SG
british	βρετανικό	british	βρετανικός	ADJ	ADJ;NOM;NEUT;SG
british	βρετανός	british	βρετανός	ADJ	ADJ;NOM;MASC;SG
british	βρετανική	british	βρετανικός	ADJ	ADJ;NOM;FEM;SG
british	βρετανοί	british	βρετανός	ADJ	ADJ;NOM;MASC;PL
international	διεθνείς	international	διεθνής	ADJ	ADJ;NOM;FEM;PL
international	διεθνής	international	διεθνής	ADJ	ADJ;NOM;FEM;SG
international	διεθνές	international	διεθνής	ADJ	ADJ;NOM;NEUT;SG
game	παιχνίδι	game	παιχνίδι	N;SG	N;NOM;NEUT;SG
above	ανωτέρω	above	ανωτέρω	ADV	ADV
above	παραπάνω	above	παραπάνω	ADV	ADV
club	λέσχη	club	λέσχω	N;SG	N;NOM;FEM;SG
early	νωρίς	early	νωρίς	ADV	ADV
west	δυτικά	west	δυτικά	ADV	ADV
house	σπιτι	house	σπιτι	N;SG	N;NOM;NEUT;SG
house	σπίτι	house	σπίτι	N;SG	N;NOM;NEUT;SG
company	λόχος	company	λόχος	N;SG	N;NOM;MASC;SG
company	εταιρεία	company	εταιρεία	N;SG	N;NOM;FEM;SG
company	εταιρία	company	εταιρία	N;SG	N;NOM;FEM;SG
general	γενική	general	γενικός	ADJ	ADJ;NOM;FEM;SG
general	γενικές	general	γενικός	ADJ	ADJ;NOM;FEM;PL
general	γενικό	general	γενικός	ADJ	ADJ;NOM;NEUT;SG
very	πολυ	very	πολυ	ADV	ADV
very	πολύ	very	πολύ	ADV	ADV
here	εδω	here	εδω	ADV	ADV
here	εδώ	here	εδώ	ADV	ADV
day	μερα	day	μερα	N;SG	N;NOM;FEM;SG
day	ημερα	day	ημερα	N;SG	N;NOM;FEM;SG
day	ημέρα	day	ημέρα	N;SG	N;NOM;FEM;SG
day	μέρα	day	μέρα	N;SG	N;ACC;FEM;SG
place	τόπος	place	τόπος	N;SG	N;NOM;MASC;SG
place	μέρος	place	μέρος	N;SG	N;NOM;NEUT;SG
party	πάρτυ	party	πάρτυ	N;SG	N;NOM;NEUT;SG
party	κόμμα	party	κόμμα	N;SG	N;NOM;NEUT;SG
party	πάρτι	party	πάρτι	N;SG	N;NOM;NEUT;SG
college	κολλέγιο	college	κολλέγιο	N;SG	N;NOM;NEUT;SG
college	κολέγιο	college	κολέγιο	N;SG	N;NOM;NEUT;SG
result	αποτέλεσμα	result	αποτέλεσμα	N;SG	N;ACC;NEUT;SG
result	αποτελεσμα	result	αποτελεσμα	N;SG	N;NOM;NEUT;SG
appropriate	κατάλληλο	appropriate	κατάλληλος	ADJ	ADJ;NOM;NEUT;SG
appropriate	κατάλληλη	appropriate	κατάλληλος	ADJ	ADJ;NOM;FEM;SG
four	τέσσερις	four	τέσσερις	NUM	NUM;NOM;MASC;PL
four	τέσσερα	four	τέσσερις	NUM	NUM;NOM;NEUT;PL
class	τάξη	class	τάξη	N;SG	N;NOM;FEM;SG
class	κλάση	class	κλάση	N;SG	N;NOM;FEM;SG
class	μάθημα	class	μάθημα	N;SG	N;NOM;NEUT;SG
government	κυβερνηση	government	κυβερνηση	N;SG	N;ACC;FEM;SG
government	κυβέρνηση	government	κυβέρνηση	N;SG	N;NOM;FEM;SG
how	πώς	how	πώς	ADV	ADV
found	βρέθηκαν	find	βρίσκω	V;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
found	βρεθηκε	find	βρίσκω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
found	βρήκα	find	βρήκα	V;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
found	βρήκε	find	βρίσκω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
found	βρέθηκε	find	βρίσκω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
center	κέντρο	center	κέντρο	N;SG	N;NOM;NEUT;SG
center	κεντρο	center	κεντρο	N;SG	N;NOM;NEUT;SG
style	στυλ	style	στυλ	N;SG	N;NOM;NEUT;SG
style	ύφος	style	ύφος	N;SG	N;NOM;NEUT;SG
style	στιλ	style	στιλ	N;SG	N;NOM;NEUT;SG
country	χωρα	country	χωρα	N;SG	N;ACC;FEM;SG
country	χώρα	country	χώρα	N;SG	N;NOM;FEM;SG
back	πισω	back	πισω	ADV	ADV
back	πίσω	back	πίσω	ADV	ADV
way	τρόπος	way	τρόπος	N;SG	N;NOM;MASC;SG
way	τροπος	way	τροπος	N;SG	N;NOM;MASC;SG
end	λήξη	end	λήξη	N;SG	N;ACC;FEM;SG
public	δημόσιες	public	δημόσιος	ADJ	ADJ;NOM;FEM;PL
public	δημόσια	public	δημόσιος	ADJ	ADJ;NOM;FEM;SG
public	δημόσιος	public	δημόσιος	ADJ	ADJ;NOM;MASC;SG
played	έπαιζε	play	παίζω	V;PST;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
played	έπαιζα	play	έπαιζα	V;PST;V.PTCP	V;IPFV;IND;SG;1;PST;FIN;ACT
played	έπαιξε	play	παίζω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
played	παίχτηκε	play	παίσταμαι	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
played	έπαιξα	play	δαπαίζω	V;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
won	κέρδισα	win	κέρδισα	V;PST;FIN	V;PFV;IND;SG;1;PST;FIN;ACT
won	κέρδισε	win	κερδίζω	V;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
released	κυκλοφόρησε	release	κυκλοφορώ	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
added	πρόσθεσε	add	προσθέτω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
added	προστέθηκε	add	προσθέτω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
added	προστέθηκαν	add	προσθέτω	V;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
support	στήριξη	support	στήριξη	N;SG	N;ACC;FEM;SG
support	υποστήριξη	support	υποστήριξη	N;SG	N;ACC;FEM;SG
games	παιχνίδια	game	παιχνίδιο	N;PL	N;NOM;NEUT;PL
games	αγωνες	game	αγωνας	N;PL	N;NOM;MASC;PL
games	αγώνες	game	αγώνας	N;PL	N;NOM;MASC;PL
films	ταινίες	film	ταινία	N;PL	N;NOM;FEM;PL
church	τσερτς	church	τσερτς	N;SG	N
church	εκκλησία	church	εκκλησία	N;SG	N;NOM;FEM;SG
church	εκκλησια	church	εκκλησιος	N;SG	N;NOM;FEM;SG
line	γραμμή	line	γραμμή	N;SG	N;NOM;FEM;SG
line	γραμμη	line	γραμμη	N;SG	N;NOM;FEM;SG
members	έλη	member	έλος	N;PL	N;NOM;NEUT;PL
members	μέλη	member	μέλος	N;PL	N;NOM;NEUT;PL
members	μελη	member	μέλος	N;PL	N;NOM;NEUT;PL
good	καλή	good	καλός	ADJ	ADJ;NOM;FEM;SG
good	καλό	good	καλός	ADJ	ADJ;NOM;NEUT;SG
image	εικόνα	image	εικόνα	N;SG	N;NOM;FEM;SG
image	εικονα	image	εικονα	N;SG	N;NOM;FEM;SG
still	ακόμη	still	ακόμα	ADV	ADV
still	ακομα	still	ακομα	ADV	ADV
still	ακόμα	still	ακόμα	ADV	ADV
think	σκεφτείτε	think	σκέφτομαι	V;IMP;FIN	V;PFV;IMP;PL;2;FIN;PASS
below	κατωτέρω	below	κατωτέρω	ADV	ADV
below	κάτω	below	κάτω	ADV	ADV
below	παρακάτω	below	παράκατος	ADV	ADV
below	κατω	below	κατω	ADV	ADV
tow	πολη	tow	πολη	N;SG	N;NOM;FEM;SG
tow	πόλη	tow	πόλη	N;SG	N;NOM;FEM;SG
last	τελευταίο	last	τελευταίος	ADJ	ADJ;NOM;NEUT;SG
last	τελευταίοι	last	τελευταίος	ADJ	ADJ;NOM;MASC;PL
last	τελευταίος	last	τελευταίος	ADJ	ADJ;NOM;MASC;SG
system	συστημα	system	συστημα	N;SG	N;NOM;NEUT;SG
system	σύστημα	system	σύστημα	N;SG	N;NOM;NEUT;SG
right	σωστα	right	σωστα	ADV	ADV
right	δεξιά	right	δεξιά	ADV	ADV
right	σωστά	right	σωστά	ADV	ADV
song	τραγουδι	song	τραγουδι	N;SG	N;NOM;NEUT;SG
song	τραγούδι	song	τραγούδι	N;SG	N;NOM;NEUT;SG
notable	αξιοσημείωτο	notable	αξιοσημείωτος	ADJ	ADJ;NOM;NEUT;SG
notable	αξιοσημείωτη	notable	αξιοσημείωτος	ADJ	ADJ;NOM;FEM;SG
section	ενότητα	section	ενότητα	N;SG	N;NOM;FEM;SG
section	τμήμα	section	τμήμα	N;SG	N;NOM;NEUT;SG
section	τμημα	section	τμημα	N;SG	N;NOM;NEUT;SG
single	ενιαία	single	ενιαίος	ADJ	ADJ;NOM;FEM;SG
home	πατρίδα	home	πατρίδα	N;SG	N;ACC;FEM;SG
home	σπιτι	home	σπιτι	N;SG	N;NOM;NEUT;SG
home	σπίτι	home	σπίτι	N;SG	N;NOM;NEUT;SG
women	γυναίκες	woman	γυναίκα	N;PL	N;NOM;FEM;PL
women	γυναικες	woman	γυναίκα	N;PL	N;NOM;FEM;PL
television	τηλεόραση	television	τηλεόραση	N;SG	N;ACC;FEM;SG
television	τηλεοραση	television	τηλεοραση	N;SG	N;ACC;FEM;SG
seed	σπόρο	seed	σπόρο	N;SG	N;NOM;NEUT;SG
seed	σπόρος	seed	σπόρος	N;SG	N;NOM;MASC;SG
member	μέλος	member	μέλος	N;SG	N;NOM;NEUT;SG
member	βουλευτής	member	βουλευτής	N;SG	N;NOM;MASC;SG
member	μελος	member	μελος	N;SG	N;NOM;NEUT;SG
goals	στόχοι	goal	στόχος	N;PL	N;NOM;MASC;PL
goals	στόχους	goal	στόχος	N;PL	N;ACC;MASC;PL
sources	πηγές	source	πηγή	N;PL	N;NOM;FEM;PL
sources	πηγες	source	πηγα	N;PL	N;NOM;FEM;PL
book	βιβλιο	book	βιβλιός	N;SG	N;NOM;NEUT;SG
book	βιβλίο	book	βιβλίο	N;SG	N;NOM;NEUT;SG
station	σταθμός	station	σταθμός	N;SG	N;NOM;MASC;SG
station	σταθμό	station	σταθμός	N;SG	N;ACC;MASC;SG
order	τάξη	order	τάξη	N;SG	N;NOM;FEM;SG
order	παραγγελία	order	παραγγελία	N;SG	N;NOM;FEM;SG
order	σειρά	order	σειρά	N;SG	N;ACC;FEM;SG
order	διαταγή	order	διαταγή	N;SG	N;ACC;FEM;SG
old	παλιό	old	παλιός	ADJ	ADJ;NOM;NEUT;SG
old	παλαιό	old	παλιός	ADJ	ADJ;NOM;NEUT;SG
information	πληροφορία	information	πληροφορία	N;SG	N;ACC;FEM;SG
information	πληροφόρηση	information	πληροφόρηση	N;SG	N;ACC;FEM;SG
text	κείμενο	text	κείμενο	N;SG	N;NOM;NEUT;SG
band	ορχήστρα	band	ορχήστρα	N;SG	N;NOM;FEM;SG
band	συγκρότημα	band	συγκρότημα	N;SG	N;NOM;NEUT;SG
band	μπάντα	band	μπάντα	N;SG	N;NOM;FEM;SG
point	σημειο	point	σημειο	N;SG	N;NOM;NEUT;SG
point	σημείο	point	σημείο	N;SG	N;NOM;NEUT;SG
local	τοπικός	local	τοπικός	ADJ	ADJ;NOM;MASC;SG
local	τοπική	local	τοπικός	ADJ	ADJ;NOM;FEM;SG
local	τοπικό	local	τοπικός	ADJ	ADJ;NOM;NEUT;SG
local	τοπικές	local	τοπικός	ADJ	ADJ;NOM;FEM;PL
around	γύρω	around	γύρω	ADV	ADV
around	γυρω	around	γυρω	ADV	ADV
around	τριγύρω	around	τριγύρω	ADV	ADV
river	ποταμός	river	ποταμός	N;SG	N;NOM;MASC;SG
river	ποτάμι	river	ποτάμι	N;SG	N;NOM;NEUT;SG
top	τοπ	top	τοπ	N;SG	N
top	κορυφή	top	κορυφή	N;SG	N;ACC;FEM;SG
language	γλώσσα	language	γλώσσα	N;SG	N;NOM;FEM;SG
language	γλωσσα	language	γλωσσα	N;SG	N;ACC;FEM;SG
french	γαλλική	french	γαλλική	ADJ	ADJ;NOM;FEM;SG
french	γαλλικό	french	γαλλικός	ADJ	ADJ;NOM;NEUT;SG
note	νότα	note	νότος	N;SG	N;NOM;FEM;SG
note	σημείωμα	note	σημείωμα	N;SG	N;NOM;NEUT;SG
note	σημείωση	note	σημείωση	N;SG	N;NOM;FEM;SG
career	σταδιοδρομία	career	σταδιοδρομία	N;SG	N;NOM;FEM;SG
career	καριέρα	career	καριέρα	N;SG	N;ACC;FEM;SG
original	αυθεντικό	original	αυθεντικός	ADJ	ADJ;NOM;NEUT;SG
original	αρχική	original	αρχικός	ADJ	ADJ;NOM;FEM;SG
original	αρχικό	original	αρχικός	ADJ	ADJ;NOM;NEUT;SG
original	αρχικός	original	αρχικός	ADJ	ADJ;NOM;MASC;SG
age	ηλικίας	age	ηλικία	N;SG	N;GEN;FEM;SG
age	ηλικία	age	ηλικία	N;SG	N;NOM;FEM;SG
age	ηλικια	age	ηλικια	N;SG	N;NOM;FEM;SG
service	υπηρεσία	service	υπηρεσία	N;SG	N;NOM;FEM;SG
service	εξυπηρέτηση	service	εξυπηρέτηση	N;SG	N;ACC;FEM;SG
established	εγκατεστημένος	establish	εγκατεστημένος	V;PST;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
located	εντοπίστηκε	locate	εντοπίζω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
said	είπε	say	λέγω	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
website	ιστοσελίδα	website	ιστοσελίδα	N;SG	N;NOM;FEM;SG
website	ιστότοπος	website	ιστότοπος	N;SG	N;NOM;MASC;SG
