zijn	हैं	zijn	है	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
tweede	दूसरी	twee	दूसरा	ADJ	ADJ;NOM;FEM;SG
zie	देख	zien	देख	V;SG;PRS;FIN	V;ACT
zie	देखिए	zien	देखिया	V;SG;PRS;FIN	V;SBJV;SG;FIN;ACT
geslacht	सेक्स	geslacht	सेक्स	N;NEUT;SG	N;NOM;MASC;SG;3
geslacht	मैथुन	geslacht	मैथुन	N;NEUT;SG	N;NOM;MASC;SG;3
zoals	जैसे	zoals	जैसे	CONJ	CONJ
grote	बड़े	groot	बडा	ADJ	ADJ;NOM;MASC;PL
grote	बड़ा	groot	बड़ा	ADJ	ADJ;NOM;MASC;SG
grote	बड़ी	groot	बडा	ADJ	ADJ;NOM;FEM;SG
grote	विशाल	groot	विशाल	ADJ	ADJ;NOM
grote	बड़े	groot	बडा	ADJ	ADJ;NOM;MASC;PL
grote	बड़ा	groot	बड़ा	ADJ	ADJ;NOM;MASC;SG
grote	बड़ी	groot	बडा	ADJ	ADJ;NOM;FEM;SG
bar	पट्टी	bar	पट्टी	N;MASC+FEM;SG	N;NOM;FEM;SG;3
bar	बार	bar	बार	N;MASC+FEM;SG	N;NOM;FEM;SG;3
aantal	संख्या	aantal	संख्या	N;NEUT;SG	N;NOM;FEM;SG;3
aantal	नंबर	aantal	नंबर	N;NEUT;SG	N;NOM;MASC;SG;3
nieuwe	नया	nieuw	नया	ADJ	ADJ;NOM;MASC;SG
nieuwe	नई	nieuw	नया	ADJ	ADJ;NOM;FEM;SG
zij	वे	zij	वह	PRO;NOM;3	PRO;NOM;SG;3
jaren	सालों	jaar	साल	N;PL	N;NOM;MASC;PL;3
jaren	वर्षों	jaar	वर्ष	N;PL	N;NOM;MASC;PL;3
artikel	लेख	artikel	लेख	N;NEUT;SG	N;NOM;MASC;SG;3
artikel	आलेख	artikel	आलेख	N;NEUT;SG	N;NOM;MASC;SG;3
gebied	क्षेत्र	gebied	क्षेत्र	N;NEUT;SG	N;NOM;MASC;SG;3
gebied	क्षेत्रफल	gebied	क्षेत्रफल	N;NEUT;SG	N;NOM;MASC;SG;3
stad	बस्ती	stad	बस्ती	N;MASC+FEM;SG	N;NOM;FEM;SG;3
stad	नगर	stad	नगर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
stad	कस्बा	stad	कस्बा	N;MASC+FEM;SG	N;NOM;MASC;SG;3
stad	शहर	stad	शहर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
stad	सिटी	stad	सिटी	N;MASC+FEM;SG	N;NOM;FEM;SG;3
stad	नगर	stad	नगर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
lijst	सूची	lijst	सूची	N;MASC+FEM;SG	N;NOM;FEM;SG;3
omdat	क्योंकि	omdat	क्योंकि	CONJ	CONJ
links	कड़ी	links	कडा	ADJ	ADJ;NOM;FEM;SG
links	शेष	links	शेष	ADJ	ADJ
jan	जन	jan	जन	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tijd	वक़्त	tijd	वक़्त	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tijd	वक्त	tijd	वक्त	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tijd	समय	tijd	समय	N;MASC+FEM;SG	N;NOM;MASC;SG;3
drie	तीन	drie	तीन	NUM	NUM
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kwam	आया	komen	आ	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kwam	आये	komen	आ	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kwam	आए	komen	आ	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
provincie	प्रान्त	provincie	प्रान्त	N;MASC+FEM;SG	N;NOM;MASC;SG;3
provincie	प्रांत	provincie	प्रांत	N;MASC+FEM;SG	N;NOM;MASC;SG;3
link	लिंक	link	लिंक	N;MASC+FEM;SG	N;NOM;MASC;SG;3
http	http	ht	http	N;MASC+FEM;SG	N;NOM;MASC;SG;3
eeuw	शतक	eeuw	शतक	N;MASC+FEM;SG	N;NOM;MASC;SG;3
eeuw	शताब्दी	eeuw	शताब्दी	N;MASC+FEM;SG	N;NOM;FEM;SG;3
club	क्लब	club	क्लब	N;MASC+FEM;SG	N;NOM;MASC;SG;3
laatste	अंतिम	laat	अंतिम	ADJ;RL	ADJ;NOM
laatste	आखिरी	laat	आखिरी	ADJ;RL	ADJ
laatste	पिछला	laat	पिछला	ADJ;RL	ADJ;NOM;MASC;SG
samen	साथ	samen	साथ	ADV	ADV;NOM;MASC;SG;3
één	एक	één	एक	NUM	NUM
maken	बनाने	maken	बना	V;NFIN	V;MASC;NFIN;ACT
maken	बनाना	maken	बना	V;NFIN	V;MASC;NFIN;ACT
maken	बनाएं	maken	बना	V;NFIN	V;SBJV;PL;3;FIN;ACT
maken	बनाएँ	maken	बना	V;NFIN	V;SBJV;PL;FIN;ACT
maken	बनाओ	maken	बना	V;NFIN	V;SBJV;SG;FIN;ACT
maken	बना	maken	बन	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
amerikaanse	अमरीकी	amerikaans	अमरीकी	ADJ	ADJ
verschillende	अलग	verschillend	अलग	ADJ	ADJ
verschillende	विभिन्न	verschillend	विभिन्न	ADJ	ADJ
seizoen	मौसम	seizoen	मौसम	N;NEUT;SG	N;NOM;MASC;SG;3
seizoen	ऋतु	seizoen	ऋतु	N;NEUT;SG	N;NOM;FEM;SG;3
weg	दूर	weg	दूर	ADV	ADV;NOM;MASC;SG;3
insect	कीट	insect	कीट	N;NEUT;SG	N;NOM;MASC;SG;3
insect	कीड़ा	insect	कीड़ा	N;NEUT;SG	N;NOM;MASC;SG;3
film	चलचित्र	film	चलचित्र	N;MASC+FEM;SG	N;NOM;MASC;SG;3
film	फ़िल्म	film	फ़िल्म	N;MASC+FEM;SG	N;NOM;FEM;SG;3
film	मूवी	film	मूवी	N;MASC+FEM;SG	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;MASC+FEM;SG	N;NOM;FEM;SG;3
film	फ़िल्म	film	फ़िल्म	N;MASC+FEM;SG	N;NOM;FEM;SG;3
film	फिल्म	film	फिल्म	N;MASC+FEM;SG	N;NOM;FEM;SG;3
franse	फ्रांसीसी	frans	फ्रांसीसी	ADJ	ADJ;NOM
terug	पीछे	terug	पीछे	ADV	ADV;NOM;MASC;SG;3
land	देश	land	देश	N;NEUT;SG	N;NOM;MASC;SG;3
land	भूमि	land	भूमि	N;NEUT;SG	N;NOM;FEM;SG;3
land	जमीन	land	जमीन	N;NEUT;SG	N;NOM;FEM;SG;3
ging	गया	gaan	जा	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
ging	गई	gaan	जा	V;SG;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
kreeg	मिली	krijgen	मिल	V;SG;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
kreeg	मिला	krijgen	मिल	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
werk	कार्यालय	werk	कार्यालय	N;NEUT;SG	N;NOM;MASC;SG;3
werk	काम	werk	काम	N;NEUT;SG	N;NOM;MASC;SG;3
werk	कार्य	werk	कार्य	N;NEUT;SG	N;NOM;MASC;SG;3
website	वेबसाइट	website	वेबसाइट	N;MASC+FEM;SG	N;NOM;FEM;SG;3
website	जालस्थल	website	जालस्थल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
goed	अच्छे	goed	अच्छा	ADJ	ADJ;NOM;MASC;PL
bestand	फाइल	bestand	फाइल	N;NEUT;SG	N;NOM;FEM;SG;3
bestand	फ़ाइल	bestand	फााइल	N;NEUT;SG	N;NOM;MASC;SG;3
bestand	संचिका	bestand	संचिका	N;NEUT;SG	N;NOM;FEM;SG;3
mensen	मनुष्यों	mens	मनुष्य	N;PL	N;ACC;MASC;PL;3
mensen	लोग	mens	लोग	N;PL	N;NOM;MASC;PL;3
mensen	लोगों	mens	लोग	N;PL	N;ACC;MASC;PL;3
vaak	आम	vaak	आम	ADJ	ADJ
orde	क्रम	orde	क्रम	N;MASC+FEM;SG	N;NOM;MASC;SG;3
orde	ऑर्डर	orde	ऑर्डर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
orde	आदेश	orde	आदेश	N;MASC+FEM;SG	N;NOM;MASC;SG;3
orde	अनुक्रम	orde	अनुक्रम	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groot	बड़े	groot	बडा	ADJ	ADJ;NOM;MASC;PL
groot	बड़ा	groot	बड़ा	ADJ	ADJ;NOM;MASC;SG
groot	बड़ी	groot	बडा	ADJ	ADJ;NOM;FEM;SG
groot	विशाल	groot	विशाल	ADJ	ADJ;NOM
groot	बड़े	groot	बडा	ADJ	ADJ;NOM;MASC;PL
groot	बड़ा	groot	बड़ा	ADJ	ADJ;NOM;MASC;SG
groot	बड़ी	groot	बडा	ADJ	ADJ;NOM;FEM;SG
groot	महान	groot	महान	ADJ	ADJ
groot	बड़ा	groot	बड़ा	ADJ	ADJ;NOM;MASC;SG
vooral	विशेषकर	vooral	विशेषकर	ADV	ADV
vooral	अधिकांशतः	vooral	अधिकांशतः	ADV	ADV
marine	नौसेना	marine	नौसेना	N;MASC+FEM;SG	N;NOM;FEM;SG;3
kerk	गिरजाघर	kerk	गिरजाघर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kerk	चर्च	kerk	चर्च	N;MASC+FEM;SG	N;NOM;MASC;SG;3
kerk	गिरिजाघर	kerk	गिरिजाघर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
regio	क्षेत्र	regio	क्षेत्र	N;MASC+FEM;SG	N;NOM;MASC;SG;3
regio	प्रदेश	regio	प्रदेश	N;MASC+FEM;SG	N;NOM;MASC;SG;3
oppervlakte	क्षेत्र	oppervlakte	क्षेत्र	N;MASC+FEM;SG	N;NOM;MASC;SG;3
oppervlakte	क्षेत्रफल	oppervlakte	क्षेत्रफल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
genoemd	बुलाया	noemen	बुला	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
genoemd	पुकारा	noemen	पुकार	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
speelde	निभाई	spelen	निभा	V;SG;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
dorp	गांव	dorp	गाँव	N;NEUT;SG	N;NOM;MASC;SG;3
leven	जिंदगी	leven	जिंदगी	N;NEUT;SG	N;NOM;FEM;SG;3
leven	ज़िन्दगी	leven	ज़िन्दगी	N;NEUT;SG	N;NOM;FEM;SG;3
leven	ज़िंदगी	leven	ज़िंदगी	N;NEUT;SG	N;NOM;FEM;SG;3
leven	जिन्दगी	leven	जिन्दगी	N;NEUT;SG	N;NOM;FEM;SG;3
leven	जीवन	leven	जीवन	N;NEUT;SG	N;NOM;MASC;SG;3
leven	लाइव	leven	लाइव	N;NEUT;SG	N;NOM;MASC;SG;3
register	रजिस्टर	register	रजिस्टर	N;NEUT;SG	N;NOM;MASC;SG;3
register	पंजीकरण	register	पंजीकरण	N;NEUT;SG	N;NOM;MASC;SG;3
register	रजिस्ट्री	register	रजिस्ट्री	N;NEUT;SG	N;NOM;FEM;SG;3
meter	मीटर	meter	मीटर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
meter	मीटर	meter	मीटर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vier	चार	vier	चार	NUM	NUM
top	शीर्ष	top	शीर्ष	N;MASC+FEM;SG	N;NOM;MASC;SG;3
top	समिट	top	समिट	N;MASC+FEM;SG	N;NOM;MASC;SG;3
oude	पुराने	oud	पुराना	ADJ	ADJ;MASC;PL
oude	पुरानी	oud	पुराना	ADJ	ADJ;FEM;SG
oude	पुराना	oud	पुराना	ADJ	ADJ;MASC;SG
ronde	दौर	ronde	दौर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ronde	गोल	ronde	गोल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ronde	राउंड	ronde	राउंड	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ronde	गोलाकार	ronde	गोलाकार	N;MASC+FEM;SG	N;NOM;MASC;SG;3
gemaakt	बनाया	maken	बना	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gemaakt	बना	maken	बन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gemaakt	बनाया	maken	बना	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gemaakt	बनाए	maken	बना	V;V.PTCP	V;PFV;MASC;PL;V.PTCP;ACT
groep	ग्रुप	groep	ग्रुप	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groep	समूह	groep	समूह	N;MASC+FEM;SG	N;NOM;MASC;SG;3
won	जीता	winnen	जीत	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
won	जीते	winnen	जीत	V;SG;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
won	जीती	winnen	जीत	V;SG;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
goals	लक्ष्यों	goal	लक्ष्य	N;PL	N;ACC;MASC;PL;3
gebruik	प्रयोग	gebruik	प्रयोग	N;NEUT;SG	N;NOM;MASC;SG;3
gebruik	उपयोग	gebruik	उपयोग	N;NEUT;SG	N;NOM;MASC;SG;3
gebruik	उपयोग	gebruik	उपयोग	N;NEUT;SG	N;NOM;MASC;SG;3
derde	तीसरे	drie	तीसरा	ADJ	ADJ;ACC;MASC;SG
derde	तीसरा	drie	तीसरा	ADJ	ADJ;NOM;MASC;SG
kleine	छोटे	klein	छोटा	ADJ	ADJ;NOM;MASC;PL
kleine	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
kleine	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
kleine	छोटे	klein	छोटा	ADJ	ADJ;NOM;MASC;PL
kleine	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
kleine	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
eens	एकबार	eens	एकबार	ADV	ADV
zien	देख	zien	देख	V;NFIN	V;ACT
zien	देखें	zien	देख	V;NFIN	V;SBJV;PL;FIN;ACT
zien	देखिए	zien	देखिया	V;NFIN	V;SBJV;SG;FIN;ACT
album	एलबम	album	एलबम	N;NEUT;SG	N;NOM;MASC;SG;3
album	एल्बम	album	एल्बम	N;NEUT;SG	N;NOM;MASC;SG;3
mogelijk	संभव	mogelijk	संभव	ADJ	ADJ
staten	राज्यों	state	राज्य	N;PL	N;ACC;MASC;PL;3
staten	स्टेट्स	state	स्टेट्स	N;PL	N;NOM;MASC;PL;3
station	स्टेशन	station	स्टेशन	N;NEUT;SG	N;NOM;MASC;SG;3
zoon	बेटा	zoon	बेटा	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zoon	पुत्र	zoon	पुत्र	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zoon	बेटे	zoon	बेटा	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	पुरुष	man	पुरुष	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	मनुष्य	man	मनुष्य	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	आदमी	man	आदमी	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	इन्सान	man	इन्सान	N;MASC+FEM;SG	N;NOM;MASC;SG;3
water	वाटर	water	वाटर	N;NEUT;SG	N;NOM;MASC;SG;3
water	पानी	water	पानी	N;NEUT;SG	N;NOM;MASC;SG;3
water	जल	water	जल	N;NEUT;SG	N;NOM;MASC;SG;3
gezien	देखा	zien	देख	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gezien	देखी	zien	देख	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
begin	प्रारंभ	begin	प्रारंभ	N;NEUT;SG	N;NOM;MASC;SG;3
begin	शुरू	begin	शुरू	N;NEUT;SG	N;NOM;MASC;SG;3
begin	शुरुआत	begin	शुरुआत	N;NEUT;SG	N;NOM;FEM;SG;3
begin	आरम्भ	begin	आरम्भ	N;NEUT;SG	N;NOM;MASC;SG;3
begin	शुरूआत	begin	शुरूआत	N;NEUT;SG	N;NOM;FEM;SG;3
koning	राजा	koning	राजा	N;MASC+FEM;SG	N;NOM;MASC;SG;3
koning	बादशाह	koning	बादशाह	N;MASC+FEM;SG	N;NOM;MASC;SG;3
periode	अवधि	periode	अवधि	N;MASC+FEM;SG	N;NOM;FEM;SG;3
periode	काल	periode	काल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
volkstelling	जनगणना	volkstelling	जनगणना	N;MASC+FEM;SG	N;NOM;FEM;SG;3
volkstelling	जनसांख्यिकी	volkstelling	जनसांख्यिकी	N;MASC+FEM;SG	N;NOM;MASC;SG;3
officiële	सरकारी	officeel	सरकारी	ADJ	ADJ;NOM
officiële	आधिकारिक	officeel	आधिकारिक	ADJ	ADJ
titel	शीर्षक	titel	शीर्षक	N;MASC+FEM;SG	N;NOM;MASC;SG;3
titel	शीर्षक	titel	शीर्षक	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nieuw	नया	nieuw	नया	ADJ	ADJ;NOM;MASC;SG
nieuw	नई	nieuw	नया	ADJ	ADJ;NOM;FEM;SG
nummer	संख्या	nummer	संख्या	N;MASC+FEM;SG	N;NOM;FEM;SG;3
nummer	नंबर	nummer	नंबर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nummer	गाना	nummer	गाना	N;MASC+FEM;SG	N;NOM;MASC;SG;3
lang	लंबी	lang	लंबा	ADJ	ADJ;NOM;FEM;SG
lang	लंबा	lang	लंबा	ADJ	ADJ;MASC;SG
lang	लम्बी	lang	लंबा	ADJ	ADJ;NOM;FEM;SG
tekst	पाठ	tekst	पाठ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tekst	टेक्स्ट	tekst	टेक्स्ट	N;MASC+FEM;SG	N;NOM;MASC;SG;3
beste	बेहतरीन	goed	बेहतरीन	ADJ;RL	ADJ
vinden	ढूंढना	vinden	ढूँढ	V;NFIN	V;MASC;NFIN;ACT
vinden	ढूंढें	vinden	ढूंढ	V;NFIN	V;SBJV;PL;FIN;ACT
vinden	ढूँढें	vinden	ढूँढ	V;NFIN	V;SBJV;PL;FIN;ACT
pagina	पृष्ठ	pagina	पृष्ठ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
pagina	पेज	pagina	पेज	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bron	स्रोत	bron	स्रोत	N;MASC+FEM;SG	N;NOM;MASC;SG;3
bron	सोर्स	bron	सोर्स	N;MASC+FEM;SG	N;NOM;MASC;SG;3
district	जिला	district	जिला	N;NEUT;SG	N;NOM;MASC;SG;3
district	डिस्ट्रिक्ट	district	डिस्ट्रिक्ट	N;NEUT;SG	N;NOM;MASC;SG;3
district	ज़िला	district	ज़िला	N;NEUT;SG	N;NOM;MASC;SG;3
daarna	फिर	daarna	फिर	ADV	ADV
database	डाटाबेस	databaas	डाटाबेस	N;MASC+FEM;SG	N;NOM;MASC;SG;3
database	डेटाबेस	databaas	डेटाबेस	N;MASC+FEM;SG	N;NOM;MASC;SG;3
band	बैंड	band	बैंड	N;MASC+FEM;SG	N;NOM;MASC;SG;3
soorten	प्रजातियां	soort	प्रजाति	N;PL	N;NOM;FEM;PL;3
vorm	आकृति	vorm	आकृति	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vorm	आकार	vorm	आकार	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	प्रपत्र	vorm	प्रपत्र	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	फॉर्म	vorm	फॉर्म	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	फार्म	vorm	फार्म	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	रूप	vorm	रूप	N;MASC+FEM;SG	N;NOM;MASC;SG;3
gebouwd	बनवाया	bouwen	बन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gebouwd	बनवाई	bouwen	बन	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
actief	सक्रिय	actief	सक्रिय	ADJ	ADJ
klasse	कक्षा	klasse	कक्षा	N;MASC+FEM;SG	N;NOM;FEM;SG;3
klasse	वर्ग	klasse	वर्ग	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	बाय	dag	बाय	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	दिवस	dag	दिवस	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	दिन	dag	दिन	N;MASC+FEM;SG	N;NOM;MASC;SG;3
universiteit	विश्वविद्यालय	universiteit	विश्वविद्यालय	N;MASC+FEM;SG	N;NOM;MASC;SG;3
universiteit	यूनिवर्सिटी	universiteit	यूनिवर्सिटी	N;MASC+FEM;SG	N;NOM;FEM;SG;3
universiteit	कॉलेज	universiteit	कॉलेज	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vader	पिताजी	vader	पिताजी	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vader	बाप	vader	बाप	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vader	पिता	vader	पिता	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	विश्लेषण	indeling	विश्लेषण	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	ख़ाका	indeling	ख़ाका	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	खाका	indeling	खाका	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	अभिन्यास	indeling	अभिन्यास	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	लेआउट	indeling	लेआउट	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	वर्गीकरण	indeling	वर्गीकरण	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	प्रारूप	indeling	प्रारूप	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	फ़ॉर्मेट	indeling	फ़ॉर्मेट	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	फॉर्मेट	indeling	फॉर्मेट	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	स्वरूप	indeling	स्वरूप	N;MASC+FEM;SG	N;NOM;MASC;SG;3
serie	श्रेणी	serie	श्रेणी	N;MASC+FEM;SG	N;NOM;FEM;SG;3
rol	भूमिका	rol	भूमिका	N;MASC+FEM;SG	N;NOM;FEM;SG;3
rol	स्क्रॉल	rol	स्क्रॉल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
figuur	आकृति	figuur	आकृति	N;MASC+FEM;SG	N;NOM;FEM;SG;3
oorlog	युद्ध	oorlog	युद्ध	N;MASC+FEM;SG	N;NOM;MASC;SG;3
oorlog	वॉर्स	oorlog	वॉर्स	N;MASC+FEM;SG	N;NOM;MASC;SG;3
geschiedenis	इतिहास	geschiedenis	इतिहास	N;MASC+FEM;SG	N;NOM;MASC;SG;3
landen	देशों	land	देश	N;PL	N;ACC;MASC;PL;3
huis	घर	huis	घर	N;NEUT;SG	N;NOM;MASC;SG;3
huis	मकान	huis	मकान	N;NEUT;SG	N;NOM;MASC;SG;3
huis	हाउस	huis	हाउस	N;NEUT;SG	N;NOM;MASC;SG;3
huis	मुखपृष्ठ	huis	मुखपृष्ठ	N;NEUT;SG	N;NOM;MASC;SG;3
huis	गृह	huis	गृह	N;NEUT;SG	N;NOM;MASC;SG;3
huis	घर	huis	घर	N;NEUT;SG	N;NOM;MASC;SG;3
shift	शिफ्ट	shift	शिफ्ट	N;MASC+FEM;SG	N;NOM;MASC;SG;3
finale	फाइनल	finale	फाइनल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
finale	फाइनल	finale	फाइनल	N;MASC+FEM;SG	N;NOM;MASC;SG;3
amerikaans	अमरीकी	amerikaans	अमरीकी	ADJ	ADJ
geheel	पूरी	geheel	पूरा	ADJ	ADJ;NOM;FEM;SG
geheel	पूरा	geheel	पूरा	ADJ	ADJ;NOM;MASC;SG
geheel	पूरे	geheel	पूरा	ADJ	ADJ;MASC;PL
boek	बुक	boek	बुक	N;NEUT;SG	N;NOM;MASC;SG;3
boek	पुस्तक	boek	पुस्तक	N;NEUT;SG	N;NOM;FEM;SG;3
boek	किताब	boek	किताब	N;NEUT;SG	N;NOM;FEM;SG;3
