kas	誰	kas	誰	PRO;NOM	PRO
tautas	民間	tauta	民間	N;NOM;FEM;PL	N
tautas	民俗	tauta	民俗	N;NOM;FEM;PL	N
garums	長度	garums	長度	N;NOM;MASC;SG	N
garums	經度	garums	經度	N;NOM;MASC;SG	N
divas	兩	divas	兩	NUM;NOM;FEM;PL	NUM
divas	兩	divas	兩	NUM;NOM;FEM;PL	NUM
divas	二	divas	二	NUM;NOM;FEM;PL	NUM
komandas	團隊	komanda	團隊	N;NOM;FEM;PL	N
komandas	球隊	komanda	球隊	N;NOM;FEM;PL	N
komandas	隊伍	komanda	隊伍	N;NOM;FEM;PL	N
pils	城堡	pils	城堡	N;NOM;FEM;SG	N
pils	城	pils	城	N;NOM;FEM;SG	N
pils	皇宮	pils	皇宮	N;NOM;FEM;SG	N
pils	宮殿	pils	宮殿	N;NOM;FEM;SG	N
pils	王宮	pils	王宮	N;NOM;FEM;SG	N
pils	宮廷	pils	宮廷	N;NOM;FEM;SG	N
pils	宮	pils	宮	N;NOM;FEM;SG	N
vietas	斑點	vieta	斑點	N;NOM;FEM;PL	N
vietas	地點	vieta	地點	N;NOM;FEM;PL	N
vietas	地方	vieta	地方	N;NOM;FEM;PL	N
vietas	地點	vieta	地點	N;NOM;FEM;PL	N
valodas	語言	valoda	語言	N;NOM;FEM;PL	N
valodas	語文	valoda	語文	N;NOM;FEM;PL	N
reizes	折疊	reize	折疊	N;NOM;FEM;PL	N
reizes	疊	reize	疊	N;NOM;FEM;PL	N
reizes	摺疊	reize	摺疊	N;NOM;FEM;PL	N
sezonā	季	sezona	季	N;ESS;FEM;SG	N
sezonā	季節	sezona	季節	N;ESS;FEM;SG	N
novads	市	novads	市	N;NOM;MASC;SG	N
sākumā	最初	sākums	最初	N;ESS;MASC;SG	N
grupa	群組	grupa	群組	N;NOM;FEM;SG	N
grupa	群	grupa	群	N;NOM;FEM;SG	N
šis	這	šis	這	PRO;NOM;MASC;SG	PRO
valodā	正宗	valoda	正宗	N;ESS;FEM;SG	N
ūdens	水	ūdens	水	N;NOM;MASC;SG	N
bieži	共同	bieži	共同	ADV	ADV
ģints	屬	ģints	屬	N;NOM;FEM;SG	N
tiesības	特權	tiesības	特權	N;NOM;FEM	N
tiesības	右	tiesības	右	N;NOM;FEM	N
tiesības	權利	tiesības	權利	N;NOM;FEM	N
valoda	語言	valoda	語言	N;NOM;FEM;SG	N
valoda	語	valoda	語	N;NOM;FEM;SG	N
valoda	語文	valoda	語文	N;NOM;FEM;SG	N
tāpat	同樣	tāpat	同樣	ADV	ADV
sugas	魚種	suga	魚種	N;NOM;FEM;PL	N
sugas	物種	suga	物種	N;NOM;FEM;PL	N
pasaulē	世界	pasaule	世界	N;ESS;FEM;SG	N
ciems	村	ciems	村	N;NOM;MASC;SG	N
ciems	鄉村	ciems	鄉村	N;NOM;MASC;SG	N
ciems	村	ciems	村	N;NOM;MASC;SG	N
ciems	村落	ciems	村落	N;NOM;MASC;SG	N
ciems	村子	ciems	村子	N;NOM;MASC;SG	N
skaits	數	skaits	數	N;NOM;MASC;SG	N
skaits	伯爵	skaits	伯爵	N;NOM;MASC;SG	N
skaits	數數	skaits	數數	N;NOM;MASC;SG	N
skaits	計數	skaits	計數	N;NOM;MASC;SG	N
skaits	數字	skaits	數字	N;NOM;MASC;SG	N
skaits	數	skaits	數	N;NOM;MASC;SG	N
skaits	號碼	skaits	號碼	N;NOM;MASC;SG	N
skaits	編號	skaits	編號	N;NOM;MASC;SG	N
ziemeļu	北方	ziemelis	北方	N;GEN;MASC;PL	N
ziemeļu	北	ziemelis	北	N;GEN;MASC;PL	N
ziemeļu	北部	ziemelis	北部	N;GEN;MASC;PL	N
ziemeļu	北	ziemelis	北	N;GEN;MASC;PL	N
ziemeļu	北方	ziemelis	北方	N;GEN;MASC;PL	N
ziemeļu	北部	ziemelis	北部	N;GEN;MASC;PL	N
suga	魚種	suga	魚種	N;NOM;FEM;SG	N
suga	物種	suga	物種	N;NOM;FEM;SG	N
spēlē	玩	spēlēt	玩	V;FH;IND;3;POS;PRS;FIN;ACT	V
spēlē	播放	spēlēt	播放	V;FH;IND;3;POS;PRS;FIN;ACT	V
spēlē	玩	spēlēt	玩	V;FH;IND;3;POS;PRS;FIN;ACT	V
spēlē	播放	spēlēt	播放	V;FH;IND;3;POS;PRS;FIN;ACT	V
mūzikas	音樂	mūzika	音樂	N;NOM;FEM;PL	N
mūzikas	音樂	mūzika	音樂	N;NOM;FEM;PL	N
apriņķis	郡	apriņķis	郡	N;NOM;MASC;SG	N
apriņķis	縣	apriņķis	縣	N;NOM;MASC;SG	N
upes	河	upe	河	N;NOM;FEM;SG	N
upes	江河	upe	江河	N;NOM;FEM;SG	N
upes	河流	upe	河流	N;NOM;FEM;SG	N
upes	河流	upe	河流	N;NOM;FEM;SG	N
komanda	團隊	komanda	團隊	N;NOM;FEM;SG	N
komanda	球隊	komanda	球隊	N;NOM;FEM;SG	N
komanda	隊伍	komanda	隊伍	N;NOM;FEM;SG	N
amerikāņu	美式	amerikānis	美式	N;GEN;MASC;PL	N
dienas	日子	diena	日子	N;NOM;FEM;PL	N
dienas	天數	diena	天數	N;NOM;FEM;PL	N
dienas	每日	diena	每日	N;NOM;FEM;PL	N
armijas	集團	armija	集團	N;NOM;FEM;PL	N
armijas	軍隊	armija	軍隊	N;NOM;FEM;PL	N
armijas	軍	armija	軍	N;NOM;FEM;PL	N
armijas	陸軍	armija	陸軍	N;NOM;FEM;PL	N
klubs	幫會	klubs	幫會	N;NOM;MASC;SG	N
klubs	俱樂部	klubs	俱樂部	N;NOM;MASC;SG	N
cilvēku	人類	cilvēks	人類	N;ACC;MASC;SG	N
salas	群島	sala	群島	N;NOM;FEM;PL	N
salas	島嶼	sala	島嶼	N;NOM;FEM;PL	N
līgas	聯盟	līga	聯盟	N;NOM;FEM;PL	N
līgas	同盟	līga	同盟	N;NOM;FEM;PL	N
līgas	聯賽	līga	聯賽	N;NOM;FEM;PL	N
hokeja	曲棍	hokejs	曲棍	N;GEN;MASC;SG	N
hokeja	冰球	hokejs	冰球	N;GEN;MASC;SG	N
ezers	湖泊	ezers	湖泊	N;NOM;MASC;SG	N
ezers	湖	ezers	湖	N;NOM;MASC;SG	N
dzelzceļa	鐵路	dzelzceļš	鐵路	N;GEN;MASC;SG	N
gadus	歲	gads	歲	N;ACC;MASC;PL	N
gadus	年份	gads	年份	N;ACC;MASC;PL	N
daļas	部件	daļa	部件	N;NOM;FEM;PL	N
izmanto	使用	izmantot	使用	V;IMP;SG;2;POS;FIN;ACT	V
austrumu	東	austrumi	東	N;GEN;MASC	N
austrumu	東部	austrumi	東部	N;GEN;MASC	N
austrumu	東方	austrumi	東方	N;GEN;MASC	N
austrumu	東區	austrumi	東區	N;GEN;MASC	N
austrumu	東方	austrumi	東方	N;GEN;MASC	N
austrumu	東部	austrumi	東部	N;GEN;MASC	N
kultūras	農作	kultūra	農作	N;NOM;FEM;PL	N
kultūras	作物	kultūra	作物	N;NOM;FEM;PL	N
kultūras	文化	kultūra	文化	N;NOM;FEM;PL	N
rietumu	西邊	rietumi	西邊	N;ACC;MASC;SG	N
rietumu	西	rietumi	西	N;ACC;MASC;SG	N
rietumu	西部	rietumi	西部	N;ACC;MASC;SG	N
rietumu	西部	rietumi	西部	N;ACC;MASC;SG	N
dzimums	性別	dzimums	性別	N;NOM;MASC;SG	N
dzimums	性別	dzimums	性別	N;NOM;MASC;SG	N
dzimums	性	dzimums	性	N;NOM;MASC;SG	N
dzimums	性	dzimums	性	N;NOM;MASC;SG	N
dzimums	性	dzimums	性	N;NOM;MASC;SG	N
baznīcas	教會	baznīca	教會	N;NOM;FEM;PL	N
baznīcas	教堂	baznīca	教堂	N;NOM;FEM;PL	N
baznīcas	教會	baznīca	教會	N;NOM;FEM;PL	N
baznīcas	教堂	baznīca	教堂	N;NOM;FEM;PL	N
auto	車	auto	車	N	N
auto	汽車	auto	汽車	N	N
auto	貨車	auto	貨車	N	N
auto	卡車	auto	卡車	N	N
auto	自動	auto	自動	N	N
baznīca	教會	baznīca	教會	N;NOM;FEM;SG	N
baznīca	教堂	baznīca	教堂	N;NOM;FEM;SG	N
dzīvo	生活	dzīvot	生活	V;FH;IND;3;POS;PRS;FIN;ACT	V
dzīvo	直播	dzīvot	直播	V;FH;IND;3;POS;PRS;FIN;ACT	V
sporta	體育	sports	體育	N;GEN;MASC;SG	N
sporta	運動	sports	運動	N;GEN;MASC;SG	N
sporta	體育	sports	體育	N;GEN;MASC;SG	N
sporta	運動	sports	運動	N;GEN;MASC;SG	N
mājaslapa	網站	mājaslaps	網站	N;NOM;FEM;SG	N
mājaslapa	網頁	mājaslaps	網頁	N;NOM;FEM;SG	N
partijas	批次	partija	批次	N;NOM;FEM;PL	N
zelta	黃金	zelts	黃金	N;GEN;MASC	N
zelta	金色	zelts	金色	N;GEN;MASC	N
zelta	黃金	zelts	黃金	N;GEN;MASC	N
zelta	金色	zelts	金色	N;GEN;MASC	N
franču	法文	francis	法文	N;GEN;MASC;PL	N
mājas	住家	māja	住家	N;NOM;FEM;PL	N
mājas	房屋	māja	房屋	N;NOM;FEM;PL	N
mājas	房子	māja	房子	N;NOM;FEM;PL	N
mājas	山寨	māja	山寨	N;NOM;FEM;PL	N
mājas	家	māja	家	N;NOM;FEM;PL	N
mājas	住家	māja	住家	N;NOM;FEM;PL	N
gandrīz	幾乎	gandrīz	幾乎	ADV	ADV
krastā	岸	krasts	岸	N;ESS;MASC;SG	N
krastā	岸邊	krasts	岸邊	N;ESS;MASC;SG	N
krastā	海岸	krasts	海岸	N;ESS;MASC;SG	N
pasta	郵件	pasts	郵件	N;NOM;MASC;SG	N
pasta	郵寄	pasts	郵寄	N;NOM;MASC;SG	N
pasta	信件	pasts	信件	N;NOM;MASC;SG	N
albums	相簿	albums	相簿	N;NOM;MASC;SG	N
albums	專輯	albums	專輯	N;NOM;MASC;SG	N
lauku	農村	lauks	農村	N;ACC;MASC;SG	N
prezidents	總統	prezidents	總統	N;NOM;MASC;SG	N
prezidents	主席	prezidents	主席	N;NOM;MASC;SG	N
gadi	歲	gads	歲	N;NOM;MASC;PL	N
gadi	年份	gads	年份	N;NOM;MASC;PL	N
karalis	國王	karalis	國王	N;NOM;MASC;SG	N
nodarbošanās	職業	nodarbošanās	職業	N;NOM;FEM;SG	N
galvenokārt	大多	galvenokārt	大多	ADV	ADV
stacijas	站	stacija	站	N;NOM;FEM;PL	N
stacijas	車站	stacija	車站	N;NOM;FEM;PL	N
politiķis	政客	politiķis	政客	N;NOM;MASC;SG	N
politiķis	政治	politiķis	政治	N;NOM;MASC;SG	N
universitātes	大學	universitāte	大學	N;NOM;FEM;PL	N
universitātes	大學	universitāte	大學	N;NOM;FEM;PL	N
darba	工作	darbs	工作	N;GEN;MASC;SG	N
republikas	共和	republika	共和	N;NOM;FEM;PL	N
republikas	共和	republika	共和	N;NOM;FEM;PL	N
būtu	應	būt	應	V;COND;POS;FIN;ACT	V
gadiem	歲	gads	歲	N;DAT;MASC;PL	N
gadiem	年份	gads	年份	N;DAT;MASC;PL	N
apgabals	郡	apgabals	郡	N;NOM;MASC;SG	N
apgabals	縣	apgabals	縣	N;NOM;MASC;SG	N
apgabals	區	apgabals	區	N;NOM;MASC;SG	N
apgabals	地區	apgabals	地區	N;NOM;MASC;SG	N
apgabals	面積	apgabals	面積	N;NOM;MASC;SG	N
apgabals	地區	apgabals	地區	N;NOM;MASC;SG	N
apgabals	區域	apgabals	區域	N;NOM;MASC;SG	N
apgabals	區	apgabals	區	N;NOM;MASC;SG	N
darbības	活動	darbība	活動	N;NOM;FEM;PL	N
darbības	行動	darbība	行動	N;NOM;FEM;PL	N
pilsētu	城市	pilsēta	城市	N;ACC;FEM;SG	N
cilvēki	人	cilvēks	人	N;NOM;MASC;PL	N
cilvēki	人們	cilvēks	人	N;NOM;MASC;PL	N;PL
cilvēki	人民	cilvēks	人民	N;NOM;MASC;PL	N
ezera	湖泊	ezers	湖泊	N;GEN;MASC;SG	N
ezera	湖	ezers	湖	N;GEN;MASC;SG	N
vārti	門戶	vārti	門戶	N;NOM;MASC	N
vārti	門	vārti	門	N;NOM;MASC	N
vārti	大門	vārti	大門	N;NOM;MASC	N
izlase	樣品	izlase	樣品	N;NOM;FEM;SG	N
izlase	抽樣	izlase	抽樣	N;NOM;FEM;SG	N
izlase	樣本	izlase	樣本	N;NOM;FEM;SG	N
izlase	甄選	izlase	甄選	N;NOM;FEM;SG	N
viņi	她們	viņš	她	PRO;NOM;MASC;PL;3	PRO;PL;3
viņi	他們	viņš	他	PRO;NOM;MASC;PL;3	PRO;PL;3
viņi	它們	viņš	它	PRO;NOM;MASC;PL;3	PRO;PL;3
īpaši	尤其	īpaši	尤其	ADV	ADV
īpaši	尤其	īpaši	尤其	ADV	ADV
īpaši	特別	īpaši	特別	ADV	ADV
dienvidu	南部	dienvidi	南部	N;ACC;MASC;SG	N
dienvidu	南	dienvidi	南	N;ACC;MASC;SG	N
dienvidu	南部	dienvidi	南部	N;ACC;MASC;SG	N
partija	黨	partija	黨	N;NOM;FEM;SG	N
partija	政黨	partija	政黨	N;NOM;FEM;SG	N
partija	宴會	partija	宴會	N;NOM;FEM;SG	N
partija	聚會	partija	聚會	N;NOM;FEM;SG	N
partija	批次	partija	批次	N;NOM;FEM;SG	N
partija	分批	partija	分批	N;NOM;FEM;SG	N
informācija	資訊	informācija	資訊	N;NOM;FEM;SG	N
kluba	幫會	klubs	幫會	N;NOM;MASC;SG	N
kluba	俱樂部	klubs	俱樂部	N;NOM;MASC;SG	N
dzimusi	生	dzimt	生	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
dzimusi	誕生	dzimt	誕生	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
dzimusi	出生	dzimt	出生	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
teritorijas	領土	teritorija	領土	N;NOM;FEM;PL	N
teritorijas	地區	teritorija	地區	N;NOM;FEM;PL	N
rajons	組織	rajons	組織	N;NOM;MASC;SG	N
rajons	區	rajons	區	N;NOM;MASC;SG	N
rajons	地區	rajons	地區	N;NOM;MASC;SG	N
balvu	獎品	balva	獎品	N;ACC;FEM;SG	N
balvu	獎賞	balva	獎賞	N;ACC;FEM;SG	N
balvu	獎	balva	獎	N;ACC;FEM;SG	N
medaļu	獎章	medaļa	獎章	N;ACC;FEM;SG	N
medaļu	勳章	medaļa	勳章	N;ACC;FEM;SG	N
medaļu	獎牌	medaļa	獎牌	N;ACC;FEM;SG	N
ielas	街道	iela	街道	N;NOM;FEM;PL	N
visi	大家	viss	大家	PRO;NOM;MASC;PL	PRO
sistēmas	系統	sistēma	系統	N;NOM;FEM;PL	N
sistēmas	系統	sistēma	系統	N;NOM;FEM;PL	N
pusē	側	puse	側	N;ESS;FEM;SG	N
līga	聯盟	līga	聯盟	N;NOM;FEM;SG	N
līga	同盟	līga	同盟	N;NOM;FEM;SG	N
līga	聯賽	līga	聯賽	N;NOM;FEM;SG	N
mūsdienu	現代	mūsdienas	現代	N;GEN;FEM	N
mūsdienu	近代	mūsdienas	近代	N;GEN;FEM	N
mūsdienu	現代	mūsdienas	現代	N;GEN;FEM	N
mūsdienu	當代	mūsdienas	當代	N;GEN;FEM	N
divi	兩	divi	兩	NUM;NOM;MASC;PL	NUM
divi	兩	divi	兩	NUM;NOM;MASC;PL	NUM
divi	二	divi	二	NUM;NOM;MASC;PL	NUM
nāves	死神	nāve	死神	N;NOM;FEM;SG	N
pieder	擁有	piederēt	擁有	V;FH;IND;3;POS;PRS;FIN;ACT	V
padomes	安理	padome	安理	N;NOM;FEM;PL	N
universitāte	大學	universitāte	大學	N;NOM;FEM;SG	N
liela	偉大	liela	偉大	ADJ;NOM;FEM;SG	ADJ
dabas	自然	daba	自然	N;NOM;FEM;PL	N
savienības	聯盟	savienība	聯盟	N;NOM;FEM;PL	N
savienības	工會	savienība	工會	N;NOM;FEM;PL	N
stacija	站	stacija	站	N;NOM;FEM;SG	N
stacija	車站	stacija	車站	N;NOM;FEM;SG	N
vidū	中間	vidus	中間	N;ESS;MASC	N
rakstnieks	作家	rakstnieks	作家	N;NOM;MASC;SG	N
rakstnieks	作者	rakstnieks	作者	N;NOM;MASC;SG	N
rakstnieks	編劇	rakstnieks	編劇	N;NOM;MASC;SG	N
universitātē	大學	universitāte	大學	N;ESS;FEM;SG	N
pats	自己	pats	自己	PRO;NOM;MASC;SG	PRO
ziemeļos	北方	ziemelis	北方	N;ESS;MASC;PL	N
ziemeļos	北	ziemelis	北	N;ESS;MASC;PL	N
ziemeļos	北部	ziemelis	北部	N;ESS;MASC;PL	N
dienvidos	南	dienvidi	南	N;ESS;MASC;PL	N
dienvidos	南部	dienvidi	南部	N;ESS;MASC;PL	N
dziesmas	歌曲	dziesma	歌曲	N;NOM;FEM;PL	N
dziesmas	歌	dziesma	歌	N;NOM;FEM;PL	N
sieviešu	女	sieviete	女	N;GEN;FEM;PL	N
sieviešu	女性	sieviete	女性	N;GEN;FEM;PL	N
sākotnēji	原本	sākotnēji	原本	ADV	ADV
filma	電影	filma	電影	N;NOM;FEM;SG	N
filma	影片	filma	影片	N;NOM;FEM;SG	N
filma	電影	filma	電影	N;NOM;FEM;SG	N
filma	膠片	filma	膠片	N;NOM;FEM;SG	N
filma	影片	filma	影片	N;NOM;FEM;SG	N
filmas	影片	filma	影片	N;NOM;FEM;PL	N
filmas	電影	filma	電影	N;NOM;FEM;PL	N
atkal	再次	atkal	再次	ADV	ADV
autors	作者	autors	作者	N;NOM;MASC;SG	N
zeme	大地	zeme	大地	N;NOM;FEM;SG	N
zeme	陸地	zeme	陸地	N;NOM;FEM;SG	N
zeme	土地	zeme	土地	N;NOM;FEM;SG	N
zeme	地面	zeme	地面	N;NOM;FEM;SG	N
ķermeņa	屍體	ķermenis	屍體	N;GEN;MASC;SG	N
ķermeņa	體	ķermenis	體	N;GEN;MASC;SG	N
ķermeņa	身體	ķermenis	身體	N;GEN;MASC;SG	N
stadions	體育	stadions	體育	N;NOM;MASC;SG	N
stadions	球場	stadions	球場	N;NOM;MASC;SG	N
karš	戰	karš	戰	N;NOM;MASC;SG	N
karš	戰爭	karš	戰爭	N;NOM;MASC;SG	N
iedzīvotāji	居民	iedzīvotājs	居民	N;NOM;MASC;PL	N
iedzīvotāji	市民	iedzīvotājs	市民	N;NOM;MASC;PL	N
iedzīvotāji	公民	iedzīvotājs	公民	N;NOM;MASC;PL	N
iedzīvotāji	人口	iedzīvotājs	人口	N;NOM;MASC;PL	N
saules	太陽	saule	太陽	N;NOM;FEM;PL	N
saules	陽光	saule	陽光	N;NOM;FEM;PL	N
saules	太陽	saule	太陽	N;NOM;FEM;PL	N
saules	太陽	saule	太陽	N;NOM;FEM;PL	N
laiks	時光	laiks	時光	N;NOM;MASC;SG	N
laiks	時間	laiks	時間	N;NOM;MASC;SG	N
ģimenē	家人	ģimene	家人	N;ESS;FEM;SG	N
ģimenē	家屬	ģimene	家屬	N;ESS;FEM;SG	N
ģimenē	家庭	ģimene	家庭	N;ESS;FEM;SG	N
valstis	國家	valsts	國家	N;NOM;FEM;PL	N
valstis	國家	valsts	國家	N;NOM;FEM;PL	N
valstis	各國	valsts	各國	N;NOM;FEM;PL	N
skolas	學校	skola	學校	N;NOM;FEM;PL	N
skolas	學校	skola	學校	N;NOM;FEM;PL	N
diena	白天	diena	白天	N;NOM;FEM;SG	N
austrumos	東	austrumi	東	N;ESS;MASC	N
austrumos	東部	austrumi	東部	N;ESS;MASC	N
austrumos	東方	austrumi	東方	N;ESS;MASC	N
austrumos	東區	austrumi	東區	N;ESS;MASC	N
temperatūra	氣溫	temperatūra	氣溫	N;NOM;FEM;SG	N
temperatūra	溫度	temperatūra	溫度	N;NOM;FEM;SG	N
temperatūra	體溫	temperatūra	體溫	N;NOM;FEM;SG	N
temperatūra	氣溫	temperatūra	氣溫	N;NOM;FEM;SG	N
temperatūra	溫度	temperatūra	溫度	N;NOM;FEM;SG	N
aktieris	男	aktieris	男	N;NOM;MASC;SG	N
aktieris	演員	aktieris	演員	N;NOM;MASC;SG	N
ciema	村	ciems	村	N;GEN;MASC;SG	N
ciema	鄉村	ciems	鄉村	N;GEN;MASC;SG	N
ciema	村	ciems	村	N;GEN;MASC;SG	N
ciema	村落	ciems	村落	N;GEN;MASC;SG	N
ciema	村子	ciems	村子	N;GEN;MASC;SG	N
darbi	工程	darbs	工程	N;NOM;MASC;PL	N
darbi	作品	darbs	作品	N;NOM;MASC;PL	N
darbi	工作	darbs	工作	N;NOM;MASC;PL	N
vēstures	歷史	vēsture	歷史	N;NOM;FEM;PL	N
kalnu	山	kalns	山	N;ACC;MASC;SG	N
kalnu	山區	kalns	山區	N;ACC;MASC;SG	N
kalnu	山地	kalns	山地	N;ACC;MASC;SG	N
aizsardzības	國防	aizsardzība	國防	N;NOM;FEM;PL	N
čempionāts	錦標	čempionāts	錦標	N;NOM;MASC;SG	N
datums	日期	datums	日期	N;NOM;MASC;SG	N
datums	約會	datums	約會	N;NOM;MASC;SG	N
visiem	大家	viss	大家	PRO;DAT;MASC;PL	PRO
ēka	大樓	ēka	大樓	N;NOM;FEM;SG	N
ēka	建築	ēka	建築	N;NOM;FEM;SG	N
sistēma	系統	sistēma	系統	N;NOM;FEM;SG	N
vadītājs	經理	vadītājs	經理	N;NOM;MASC;SG	N
vadītājs	經理	vadītājs	經理	N;NOM;MASC;SG	N
