przez	بشمول	przez	بشمول	ADP	ADP
miejscowość	ضلع	miejscowość	ضلع	N;NOM;FEM;SG	N;NOM;MASC;SG;3
miejscowość	علاقہ	miejscowość	علاقہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
tylko	صرف	tylko	صرف	PART	PART
tylko	صرف	tylko	صرف	PART	PART
tylko	صرف	tylko	صرف	PART	PART
tylko	صرف	tylko	صرف	PART	PART
maja	مئی.	mieć	مئی.		
zobacz	پانا	zobaczyć	پانا	V;PFV;IMP;SG;2;FIN;ACT	V;SG;NFIN;ACT
zobacz	سوچنا	zobaczyć	سوچ	V;PFV;IMP;SG;2;FIN;ACT	V;MASC;SG;NFIN;ACT
zobacz	ملنا	zobaczyć	مل	V;PFV;IMP;SG;2;FIN;ACT	V;MASC;SG;NFIN;ACT
zobacz	دیکھنا	zobaczyć	دیکھ	V;PFV;IMP;SG;2;FIN;ACT	V;NFIN
zobacz	دیکھنا	zobaczyć	دیکھ	V;PFV;IMP;SG;2;FIN;ACT	V;NFIN
marca	off	marza	off		
marca	on	marza	on		
marca	ثفل.	marza	ثفل.		
rok	زمانہ	rok	زمانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rok	برس	rok	برس	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wieś	موضع	wieś	موضع	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wieś	موضع	wieś	موضع	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pierwszy	بنیادی	pierwszy	بنیادی	ADJ;NOM;MASC;SG	ADJ
pierwszy	سابق	pierwszy	سابق	ADJ;NOM;MASC;SG	ADJ
data	back	datać	back		
miasto	بلدیہ	miasto	بلدیہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
nazwa	شہرت	nazwa	شہرت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
nazwa	افکار	nazwa	فکر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nazwa	جگہ	nazwa	جگہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
liczba	ٹولی	liczba	ٹولی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
liczba	کمپنی	liczba	کمپنی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
liczba	گروہ	liczba	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
liczba	جماعت	liczba	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
liczba	رقص	liczba	رقص	N;NOM;FEM;SG	N;NOM;MASC;SG;3
część	جزو	część	جزو	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gdy	حالانکہ	gdy	حالانکہ	CONJ	CONJ
gdy	حالانکہ	gdy	حالانکہ	CONJ	CONJ
około	تقریباً	około	تقریباً	PART	PART
skład	ساخت	skład	ساخت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jeszcze	پھر	jeszcze	پھر	PART	PART
jeszcze	پھر	jeszcze	پھر	PART	PART
zespół	پٹی	zespół	پٹی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kościół	عبادت	kościół	عبادت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
kościół	عبادت	kościół	عبادت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
inne	دوسرا	inny	دوسرا	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
wynik	نمبر	wynik	نمبر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	لکیر	wynik	لکیر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	سلسلہ	wynik	سلسلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	سطر	wynik	سطر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	برتر	wynik	برتر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	نشان	wynik	نشان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	معاملہ	wynik	معاملہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	حاصل	wynik	حاصل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	حاصل	wynik	حاصل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wynik	نتیجہ	wynik	نتیجہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
lista	فہرست	list	فہرست	N;NOM;FEM;SG	N;NOM;FEM;SG;3
lista	جدول	list	جدول	N;NOM;FEM;SG	N;NOM;MASC;SG;3
album	البم	album	البم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wielu	کئی	wiele	کئی	DET;ACC;MASC;PL	DET
czas	دور	czas	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
czas	عہد	czas	عہد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
czas	دور	czas	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pierwsze	بنیادی	pierwszy	بنیادی	ADJ;NOM;NEUT;SG	ADJ
pierwsze	سابق	pierwszy	سابق	ADJ;NOM;NEUT;SG	ADJ
wiele	کئی	wiele	کئی	DET;ACC;MASC;PL	DET
kilka	کئی	kilka	کئی	DET;ACC;MASC;PL	DET
kilka	چند	kilka	چند	DET;ACC;MASC;PL	DET
gęstość	کثافت	gęstość	کثافت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
jeśli	اگرچہ.	jeśli	اگرچہ.	CONJ	CONJ
jeśli	اگرچہ	jeśli	اگرچہ	CONJ	CONJ
kariera	پیشہ	kariera	پیشہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
często	عموماً	często	عموماً	ADV	ADV
często	عموماً	często	عموماً	ADV	ADV
sposób	بنا	sposób	بنا	V;IND;PRS;FIN	V;ACT
sposób	بنا	sposób	بنا	V;IND;PRS;FIN	V;ACT
będzie	چاہنا	być	چاہ	V;IPFV;IND;SG;3;FUT;FIN	V;MASC;SG;NFIN;ACT
nowy	جدید	nowy	جدید	ADJ;NOM;MASC;SG	ADJ
nowy	جدید	nowy	جدید	ADJ;NOM;MASC;SG	ADJ
artykuł	مضمون	artykuł	مضمون	N;NOM;MASC;SG	N;NOM;MASC;SG;3
grupa	گروہ	grupa	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
grupa	جمعیت	grupa	جمعیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
grupa	گروہ	grupa	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
grupa	جمعیت	grupa	جمعیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
grupa	جماعت	grupa	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
wojska	فوجی	wojsko	فوجی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojska	فوجی	wojsko	فوجی	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojska	تنظیم	wojsko	تنظیم	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
ponownie	دوبارہ	ponownie	دوبارہ	ADV	ADV
koniec	تباہی	koniec	تباہی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
koniec	جواز	koniec	جواز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
klub	گروہ	klub	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
klub	گروہ	klub	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gatunek	طنز	gatunek	طنز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gatunek	طبقہ	gatunek	طبقہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gatunek	نوع	gatunek	نوع	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wcześniej	آگے	wcześnie	آگے	ADV;CMPR	ADV;NOM;MASC;SG;3
style	طرح-	style	طرح-		
style	طرح-	style	طرح-		
język	زبان	język	زبان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
język	زبان	język	زبان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
język	زبان	język	زبان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	گروہ	rodzaj	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	قسم	rodzaj	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	جماعت	rodzaj	جماعت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
rodzaj	وضع	rodzaj	وضع	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	گروہ	rodzaj	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	قسم	rodzaj	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	جماعت	rodzaj	جماعت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
rodzaj	جنس	rodzaj	جنس	N;NOM;MASC;SG	N;NOM;MASC;SG;3
historia	کہانی	historia	کہانی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
historia	تذکرہ	historia	تذکرہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
historia	تواریخ	historia	تواریخ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
drugi	مماثل	drugi	مماثل	ADJ;NOM;MASC;SG	ADJ
drugi	اضافی	drugi	اضافی	ADJ;NOM;MASC;SG	ADJ
drugi	دوسرا	drugi	دوسرا	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
drugi	مزید	drugi	مزید	ADJ;NOM;MASC;SG	ADJ
drugi	مماثل	drugi	مماثل	ADJ;NOM;MASC;SG	ADJ
drugi	اضافی	drugi	اضافی	ADJ;NOM;MASC;SG	ADJ
drugi	ثانوی	drugi	ثانوی	ADJ;NOM;MASC;SG	ADJ
drugi	دوسرا	drugi	دوسرا	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
drugi	مزید	drugi	مزید	ADJ;NOM;MASC;SG	ADJ
działalność	تابکاری	działalność	تابکاری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
działalność	مصروفیت	działalność	مصروفیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
sezon	گرمی	sezon	گرمی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
życie	زندگی	życie	زندگی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
życie	موقع	życie	موقع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
życie	اتفاق	życie	اتفاق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
życie	اعمال	życie	اعمال	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
życie	زندگی	życie	زندگی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
życie	موقع	życie	موقع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
życie	اتفاق	życie	اتفاق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
życie	اعمال	życie	اعمال	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
życie	حیات	życie	شریک_حیات	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
nowe	جدید	nowy	جدید	ADJ;NOM;NEUT;SG	ADJ
nowe	جدید	nowy	جدید	ADJ;NOM;NEUT;SG	ADJ
różnych	علاحدہ	różny	علحدہ	ADJ;GEN;MASC;PL	ADJ
różnych	مختلف	różny	مختلف	ADJ;GEN;MASC;PL	ADJ
kilku	کئی	kilka	کئی	DET;ACC;MASC;PL	DET
kilku	چند	kilka	چند	DET;ACC;MASC;PL	DET
syn	قبیلے	syn	قبیلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
syn	بیٹا	syn	بیٹا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
syn	قبیلے	syn	قبیلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
większość	اکثریت.	większość	اکثریت.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
większość	اکثریت.	większość	اکثریت.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pierwsza	بنیادی	pierwszy	بنیادی	ADJ;NOM;FEM;SG	ADJ
pierwsza	سابق	pierwszy	سابق	ADJ;NOM;FEM;SG	ADJ
stacja	مرتبہ	stacja	مرتبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
numer	ٹولی	numer	ٹولی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
numer	کمپنی	numer	کمپنی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
numer	گروہ	numer	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
numer	جماعت	numer	جماعت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
numer	رقص	numer	رقص	N;NOM;MASC;SG	N;NOM;MASC;SG;3
maj	مئی.	maj	مئی.		
albo	لیکن	albo	لیکن	CONJ	CONJ
poprzez	بجانب	poprzez	بجانب		
poprzez	جونہی	poprzez	جونہی		
park	کھلاباغ	park	کھلاباغ	N;NOM;MASC;SG	N
długość	قد	długość	قد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
długość	مدّت	długość	مدّت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
długość	عرصہ	długość	عرصہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
długość	قد	długość	قد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
długość	لمبائی	długość	لمبائی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
długość	مدّت	długość	مدّت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
długość	عرصہ	długość	عرصہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
członek	ٹکڑا	członek	ٹکڑا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stanowisko	مرتبہ	stanowisko	مرتبہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
stanowisko	موقف	stanowisko	موقف	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
stanowisko	ترتیب	stanowisko	ترتیب	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
stanowisko	روزگار	stanowisko	روزگار	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
stanowisko	کیفیت	stanowisko	کیفیت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
informacje	خبریں	informacja	خبر	N;NOM;FEM;PL	N;NOM;MASC;PL;3
stan	منصب	stan	منصب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	عہدہ	stan	عہدہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	منصب	stan	منصب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	حالت	stan	حالت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	عہدہ	stan	عہدہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	شرط	stan	شرط	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	موجب	stan	موجب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	کیفیت	stan	کیفیت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
przeciwko	خلاف	przeciwko	خلاف	ADP	ADP
powierzchnia	رقبہ	powierzchnia	رقبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prawo	لحاظ	prawo	لحاظ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	معمول	prawo	معمول	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	قاعدہ	prawo	قاعدہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	لحاظ	prawo	لحاظ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	معمول	prawo	معمول	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	استحقاق	prawo	استحقاق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	استحقاق	prawo	استحقاق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
choć	گوکہ.	choć	گوکہ.		
choć	گوکہ.	choć	گوکہ.		
obszar	رقبہ	obszar	رقبہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sędzia	منصف	sędzia	منصف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sędzia	حکم	sędzia	حکم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
działania	جنگ	działanie	جنگ	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	کارنامہ	działanie	کارنامہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	مقدمہ	działanie	مقدمہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	کہانی	działanie	کہانی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	لڑائی	działanie	لڑائی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	طریقہ	działanie	طریقہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	جنگ	działanie	جنگ	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	کارنامہ	działanie	کارنامہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	مقدمہ	działanie	مقدمہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	کارروائی	działanie	کارروائی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	کہانی	działanie	کہانی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	عمل	działanie	عمل	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	لڑائی	działanie	لڑائی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	طریقہ	działanie	طریقہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawdopodobnie	غالباً	prawdopodobnie	غالباً	ADV	ADV
prawdopodobnie	غالباً	prawdopodobnie	غالباً	ADV	ADV
prawdopodobnie	شاید	prawdopodobnie	شاید	ADV	ADV
dzień	یوم	dzień	یوم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	دن	dzień	دن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	دور	dzień	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	یوم	dzień	یوم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	دن	dzień	دن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	دور	dzień	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	روز	dzień	روز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
listy	مصاف.	list	مصاف.		
główne	ممتاز	główny	ممتاز	ADJ;NOM;NEUT;SG	ADJ
główne	ممتاز	główny	ممتاز	ADJ;NOM;NEUT;SG	ADJ
główne	خاص	główny	خاص	ADJ;NOM;NEUT;SG	ADJ
prędkość	کامیابی	prędkość	کامیابی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
kolei	off	kolej	off		
francuski	بری	francuski	بری	ADJ;NOM;MASC;SG	ADJ;FEM
gol	مقصد	gol	مقصد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gol	ہدف	gol	ہدف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gol	نشانہ	gol	نشانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
nagroda	انعام	nagroda	انعام	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagroda	سزا	nagroda	سزا	N;NOM;FEM;SG	N;NOM;MASC;SG;3
szkoła	تربیت	szkoła	تربیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
szkoła	اسکول	szkoła	اسکول	N;NOM;FEM;SG	N;NOM;MASC;SG;3
mapa	چہرہ.	mapa	چہرہ.		
podział	بگڑنا	podziać	بگڑ	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;NFIN
jeżeli	اگرچہ.	jeżeli	اگرچہ.	CONJ	CONJ
jeżeli	اگرچہ	jeżeli	اگرچہ	CONJ	CONJ
typ	طرح.	typ	طرح.		
typ	زمرہ.	typ	زمرہ.		
mistrz	اعلٰی	mistrz	اعلٰی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	اُستاد	mistrz	اُستاد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	فنکار	mistrz	فنکار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	منتظم	mistrz	منتظم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	مالک	mistrz	مالک	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	اعلٰی	mistrz	اعلٰی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	اُستاد	mistrz	اُستاد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	فنکار	mistrz	فنکار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	منتظم	mistrz	منتظم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	مالک	mistrz	مالک	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wielki	اہم	wielki	اہم	ADJ;NOM;MASC;SG	ADJ
wielki	نمایاں	wielki	نمایاں	ADJ;NOM;MASC;SG	ADJ
pozycja	مرتبہ	pozycja	مرتبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pozycja	موقف	pozycja	موقف	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pozycja	ترتیب	pozycja	ترتیب	N;NOM;FEM;SG	N;NOM;FEM;SG;3
pozycja	روزگار	pozycja	روزگار	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pozycja	کیفیت	pozycja	کیفیت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
pozycja	شے	pozycja	شے	N;NOM;FEM;SG	N;NOM;FEM;SG;3
budynek	اسکول	budynek	اسکول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
prawie	تقریباً	prawie	تقریباً	PART	PART
prawie	تقریباً	prawie	تقریباً	PART	PART
aktorka	اداکارہ.	aktorka	اداکارہ.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
saint	(	saint	(		
dom	جگہ	dom	جگہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	پالتو	dom	پالتو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	سوراخ	dom	سوراخ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	دارالاصلاح.	dom	دارالاصلاح.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	بل	dom	بل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	پالتو	dom	پالتو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	گھر	dom	گھر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	سوراخ	dom	سوراخ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	دارالاصلاح.	dom	دارالاصلاح.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dom	بل	dom	بل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
najlepszy	پسندیدہ	dobry	پسندیدہ	ADJ;NOM;CMPR;MASC;SG	ADJ
najlepszy	چیدہ	dobry	چیدہ	ADJ;NOM;CMPR;MASC;SG	ADJ
związek	تعلق	związek	تعلق	N;NOM;MASC;SG	N;NOM;MASC;SG;3
związek	رشتہ	związek	رشتہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
związek	اتفاق	związek	اتفاق	N;NOM;MASC;SG	N;NOM;MASC;SG;3
związek	اتحاد	związek	اتحاد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
związek	ملاپ	związek	ملاپ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
związek	شادی	związek	شادی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
obrony	بچاؤ	obrona	بچاؤ		
grand	وقیع	grand	وقیع		
grand	وقیع	grand	وقیع		
rząd	شورش	rząd	شورش	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rząd	شورش	rząd	شورش	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rząd	قطار	rząd	قطار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rząd	حکومت	rząd	حکومت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
rząd	حکمرانی.	rząd	حکمرانی.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ostatni	سابقہ	ostatni	سابقہ	ADJ;NOM;MASC;SG	ADJ
ostatni	واحد	ostatni	واحد	ADJ;NOM;MASC;SG	ADJ
ostatni	سابقہ	ostatni	سابقہ	ADJ;NOM;MASC;SG	ADJ
ostatni	واحد	ostatni	واحد	ADJ;NOM;MASC;SG	ADJ
bieg	خانہ	bieg	خانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	ادب	kolor	ادب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	طرز	kolor	طرز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	احساس	kolor	احساس	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	صورت	kolor	صورت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	خطابت	kolor	خطابت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	رُخ	kolor	رُخ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	قسم	kolor	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	زور	kolor	زور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	کلب	kolor	کلب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	رنگ	kolor	رنگ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kolor	ادب	kolor	ادب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
