keris	kris	keris	kris	N	N;MASC+FEM;SG
cakram	disc	cakram	disc	N;SG	N;MASC+FEM;SG
cakram	schijf	cakram	schijf	N;SG	N;MASC+FEM;SG
cakram	disk	cakram	disk	N;SG	N;MASC+FEM;SG
cakram	diskette	cakram	diskette	N;SG	N;MASC+FEM;SG
penjahat	schurk	penjahat	schurk	N;SG	N;MASC+FEM;SG
penjahat	boef	penjahat	boef	N;SG	N;MASC+FEM;SG
penjahat	slechterik	penjahat	slechterik	N;SG	N;MASC+FEM;SG
penjahat	misdadiger	penjahat	misdadiger	N;SG	N;MASC+FEM;SG
penjahat	crimineel	penjahat	crimineel	N;SG	N;MASC+FEM;SG
penjahat	bandiet	penjahat	bandiet	N;SG	N;MASC+FEM;SG
inci	inch	inci	inch	N;SG	N;MASC+FEM;SG
inci	inch	inci	inch	N;SG	N;MASC+FEM;SG
inci	centimeter	inci	centimeter	N;SG	N;MASC+FEM;SG
rincian	indeling	rincian	indeling	N;SG	N;MASC+FEM;SG
rincian	verdeling	rincian	verdeling	N;SG	N;MASC+FEM;SG
rincian	uitsplitsing	rincian	uitsplitsing	N;SG	N;MASC+FEM;SG
rincian	detail	rincian	detail	N;SG	N;NEUT;SG
kegunaan	gebruik	kegunaan	gebruik	N;SG	N;NEUT;SG
ukiran	gravure	ukiran	gravure	N;SG	N;MASC+FEM;SG
ukiran	houtsnijwerk	ukiran	houtsnijwerk	N;SG	N;NEUT;SG
memukul	geraakt	menpukul	raken	V;SG;ACT	V;V.PTCP
pemirsa	viewer	penpirsa	viewer	N;SG	N;MASC+FEM;SG
pemirsa	kijker	penpirsa	kijker	N;SG	N;MASC+FEM;SG
pemirsa	doelgroep	penpirsa	doelgroep	N;SG	N;MASC+FEM;SG
pemirsa	publiek	penpirsa	publiek	N;SG	N;NEUT;SG
sate	saté	sate	saté	N	N;MASC+FEM;SG
sate	sate	sate	sate	N	N;MASC+FEM;SG
diperintahkan	bevolen	diperintahkan	bevelen	V;SG;PASS	V;V.PTCP
diperintahkan	geïnstrueerd	diperintahkan	instrueren	V;SG;PASS	V;V.PTCP
nasihat	raadgevend	nasihat	raadgevend	N;SG	N;NEUT;SG
nasihat	advies	nasihat	advies	N;SG	N;NEUT;SG
item	item	item	item	N	N;NEUT;SG
item	items	item	item	N	N;PL
dipromosikan	gepromoot	dipromosikan	gepromoot	V;SG;PASS	V;V.PTCP
dipromosikan	gepromoveerd	dipromosikan	promoveren	V;SG;PASS	V;V.PTCP
dipromosikan	gepromoot	dipromosikan	gepromoot	V;SG;PASS	V;V.PTCP
luther	luther	luther	luther	N	N;MASC+FEM;SG
regnum	regnum	regnum	regnum	N	N;MASC+FEM;SG
radius	straal	radius	straal	N	N;MASC+FEM;SG
radius	radius	radius	radius	N	N;MASC+FEM;SG
menerjemahkan	vertalen	menterjemahkan	vertalen	V;SG;ACT	V;NFIN
menerjemahkan	vertaal	menterjemahkan	vertaal	V;SG;ACT	V;SG;PRS;FIN
menerjemahkan	vertalen	menterjemahkan	vertalen	V;SG;ACT	V;NFIN
menerjemahkan	vertaalt	menterjemahkan	vertalen	V;SG;ACT	V;SG;PRS;FIN
taktik	tactiek	taktik	tactiek	N;SG	N;MASC+FEM;SG
taktik	tactiek	taktik	tactiek	N;SG	N;MASC+FEM;SG
emosi	emotie	emosi	emotie	N;SG	N;MASC+FEM;SG
debu	stof	debu	stof	N;SG	N;MASC+FEM;SG
drummer	drummer	drummer	drummer	N	N;MASC+FEM;SG
drummer	drummers	drummer	drummer	N	N;PL
terpanjang	langste	terpanjang	lang	ADJ;RL;SG	ADJ;RL
terpanjang	langst	terpanjang	langst	ADJ;RL;SG	ADJ;RL
penalti	penalty	penalti	penalty	N;SG	N;MASC+FEM;SG
penalti	straf	penalti	straf	N;SG	N;MASC+FEM;SG
penalti	sanctie	penalti	sanctie	N;SG	N;MASC+FEM;SG
percakapan	conversatie	percakapan	conversatie	N;SG	N;MASC+FEM;SG
percakapan	gesprek	percakapan	gesprek	N;SG	N;NEUT;SG
parasit	parasieten	parasit	parasiet	N	N;PL
parasit	parasiet	parasit	parasiet	N	N;MASC+FEM;SG
kelaparan	honger	kelaparan	honger	N;SG	N;MASC+FEM;SG
ajaib	wonderbaarlijk	ajaib	wonderbaarlijk	ADJ;SG	ADJ
ajaib	miraculeuze	ajaib	miraculeuze	ADJ;SG	ADJ
ajaib	wonderbaarlijke	ajaib	wonderbaarlijk	ADJ;SG	ADJ
ajaib	magisch	ajaib	magisch	ADJ;SG	ADJ
ajaib	magische	ajaib	magisch	ADJ;SG	ADJ
ajaib	magisch	ajaib	magisch	ADJ;SG	ADJ
didik	protegé	didik	protegé	N;SG	N;MASC+FEM;SG
dirayakan	gevierd	dirayakan	vieren	V;SG;PASS	V;V.PTCP
filosofi	filosofie	filosofi	filosofie	N;SG	N;MASC+FEM;SG
gamelan	gamelan	gamelan	gamelan	N	N;MASC+FEM;SG
mandat	mandaat	mandat	mandaat	N;SG	N;NEUT;SG
meriah	feestelijke	meriah	feestelijk	ADJ;SG	ADJ
meriah	feestelijk	meriah	feestelijk	ADJ;SG	ADJ
mainan	speeltje	mainan	speel	N;SG	N;NEUT;SG
mainan	speelgoed	mainan	speelgoed	N;SG	N;NEUT;SG
mainan	toy	mainan	toy	N;SG	N;MASC+FEM;SG
mainan	speelgoed	mainan	speelgoed	N;SG	N;NEUT;SG
kewarganegaraan	burgerschap	kewarganegaraan	burgerschap	N;SG	N;NEUT;SG
kewarganegaraan	staatsburgerschap	kewarganegaraan	staatsburgerschap	N;SG	N;MASC+FEM;SG
kewarganegaraan	civic	kewarganegaraan	civic	N;SG	N;MASC+FEM;SG
kewarganegaraan	nationaliteit	kewarganegaraan	nationaliteit	N;SG	N;MASC+FEM;SG
kecenderungan	neiging	kecenderungan	neiging	N;SG	N;MASC+FEM;SG
kecenderungan	tendens	kecenderungan	tendens	N;SG	N;MASC+FEM;SG
diduduki	bezet	diduduki	bezetten	V;SG;PASS	V;V.PTCP
diduduki	bezette	diduduki	bezetten	V;SG;PASS	V;SG;PST;FIN
topi	hoed	topi	hoed	N;SG	N;MASC+FEM;SG
topi	pet	topi	pet	N;SG	N;MASC+FEM;SG
topi	hat	topi	hat	N;SG	N;MASC+FEM;SG
topi	muts	topi	muts	N;SG	N;MASC+FEM;SG
kesetiaan	loyaliteit	kesetiaan	loyaliteit	N;SG	N;MASC+FEM;SG
kapoor	kapoor	kapoor	kapoor	N	N;MASC+FEM;SG
buddhisme	boeddhisme	buddhisme	boeddhisme	N	N;NEUT;SG
buddhisme	boeddhist	buddhisme	boeddhist	N	N;MASC+FEM;SG
linguistik	taalkunde	linguistik	taalkunde	N	N;MASC+FEM;SG
proton	proton	proton	proton	N;SG	N;MASC+FEM;SG
platinum	platinum	platinum	platinum	N	N;MASC+FEM;SG
platinum	platina	platinum	platina	N	N;NEUT;SG
pemburu	hunter	penburu	hunter	N;SG	N;MASC+FEM;SG
pemburu	jager	penburu	jager	N;SG	N;MASC+FEM;SG
ilustrasi	illustratie	ilustrasi	illustratie	N;SG	N;MASC+FEM;SG
cap	stempel	cap	stempel	N	N;MASC+FEM;SG
cap	postzegel	cap	postzegel	N	N;MASC+FEM;SG
cap	dop	cap	dop	N	N;MASC+FEM;SG
cap	cap	cap	cap	N	N;MASC+FEM;SG
cap	petten	cap	pet	N	N;PL
cap	caps	cap	caps	N	N;PL
cap	doppen	cap	doppen	N	N;PL
ekspres	express	ekspres	express	N;SG	N;MASC+FEM;SG
dalang	meesterbrein	dalang	meesterbrein	N;SG	N;NEUT;SG
bros	broche	bros	broch	N	N;MASC+FEM;SG
bros	bros	bros	bros	N	N;MASC+FEM;SG
minimum	minimaal	minimum	minimaal	ADJ;SG	ADJ
rekreasi	ontspanning	rekreasi	ontspanning	N;SG	N;MASC+FEM;SG
rekreasi	recreatie	rekreasi	recreatie	N;SG	N;MASC+FEM;SG
terkesan	imponeren	terkesan	imponeren	V;SG;PASS	V;NFIN
hiasan	ornament	hiasan	ornament	N;SG	N;NEUT;SG
hiasan	versiering	hiasan	versiering	N;SG	N;MASC+FEM;SG
hiasan	decoratie	hiasan	decoratie	N;SG	N;MASC+FEM;SG
hiasan	decoratie	hiasan	decoratie	N;SG	N;MASC+FEM;SG
hiasan	garnering	hiasan	garnering	N;SG	N;MASC+FEM;SG
argo	argo	argo	argo	N	N;MASC+FEM;SG
kegubernuran	gouvernement	kegubernuran	gouvernement	N;SG	N;NEUT;SG
poros	schacht	poros	schacht	N;SG	N;MASC+FEM;SG
poros	shaft	poros	shaft	N;SG	N;MASC+FEM;SG
ekologi	ecologie	ekologi	ecologie	N;SG	N;MASC+FEM;SG
menyentuh	roerend	mensentuh	roerend	V;SG;ACT	V;V.PTCP
menyentuh	aanraken	mensentuh	aanraak	V;SG;ACT	V;NFIN
menyentuh	ontroerend	mensentuh	ontroerend	V;SG;ACT	V;V.PTCP
diukur	gemeten	diukur	meten	V;SG;PASS	V;V.PTCP
diukur	afgemeten	diukur	afmeten	V;SG;PASS	V;V.PTCP
melampaui	overstijgen	menlampaui	overstijgen	V;SG;ACT	V;NFIN
melampaui	overschreden	menlampaui	overschrijden	V;SG;ACT	V;V.PTCP
melampaui	overtroffen	menlampaui	overtreffen	V;SG;ACT	V;V.PTCP
skema	regeling	skema	regeling	N;SG	N;MASC+FEM;SG
skema	schema	skema	schema	N;SG	N;NEUT;SG
uzbekistan	oezbekistan	uzbekistan	oezbekistan	N	N;NEUT;SG
mendefinisikan	definiëren	mendefinisikan	definiër	V;SG;ACT	V;NFIN
mendefinisikan	definieer	mendefinisikan	definieer	V;SG;ACT	V;SG;PRS;FIN
mendefinisikan	definiëren	mendefinisikan	definiër	V;SG;ACT	V;NFIN
mendefinisikan	omschrijft	mendefinisikan	omschrijven	V;SG;ACT	V;SG;PRS;FIN
mendefinisikan	definieert	mendefinisikan	definieren	V;SG;ACT	V;SG;PRS;FIN
sumbu	wick	sumbu	wick	N;SG	N;MASC+FEM;SG
dicampur	gemengd	dicampur	mengen	V;SG;PASS	V;V.PTCP
lidah	tong	lidah	tong	N;SG	N;MASC+FEM;SG
sup	soep	sup	soep	N;SG	N;MASC+FEM;SG
sup	soep	sup	soep	N;SG	N;MASC+FEM;SG
demam	koorts	demam	koorts	N;SG	N;MASC+FEM;SG
dicabut	opgetild	dicabut	optillen	V;SG;PASS	V;V.PTCP
dicabut	opgeheven	dicabut	opheffen	V;SG;PASS	V;V.PTCP
dicabut	ingetrokken	dicabut	intrekken	V;SG;PASS	V;V.PTCP
dicabut	herroepen	dicabut	herroep	V;SG;PASS	V;V.PTCP
pengujian	test	penujian	test	N;SG	N;MASC+FEM;SG
hilangnya	verdwijning	hilang	verdwijning	N;SG	N;MASC+FEM;SG
hilangnya	vermissing	hilang	vermissing	N;SG	N;MASC+FEM;SG
email	emails	email	email	N	N;PL
sertifikat	certificaat	sertifikat	certificaat	N;SG	N;NEUT;SG
paralel	parallellen	paralel	parallel	N	N;PL
kuburan	graves	kuburan	grave	N;SG	N;MASC+FEM;SG
kuburan	kerkhof	kuburan	kerkhof	N;SG	N;NEUT;SG
kuburan	begraafplaats	kuburan	begraafplaats	N;SG	N;MASC+FEM;SG
kuburan	kerkhof	kuburan	kerkhof	N;SG	N;NEUT;SG
kuburan	begraafplaats	kuburan	begraafplaats	N;SG	N;MASC+FEM;SG
kuburan	grave	kuburan	grave	N;SG	N;MASC+FEM;SG
kuburan	graf	kuburan	graf	N;SG	N;NEUT;SG
benih	zaaigoed	benih	zaaigoed	N;SG	N;NEUT;SG
benih	zaad	benih	zaad	N;SG	N;NEUT;SG
benih	zaaizaad	benih	zaaizaad	N;SG	N;NEUT;SG
benih	zaad	benih	zaad	N;SG	N;NEUT;SG
benih	zaaigoed	benih	zaaigoed	N;SG	N;NEUT;SG
lockheed	lockheed	lockheed	lockheed	N	N;MASC+FEM;SG
penolakan	verwerping	pentolakan	verwerping	N;SG	N;MASC+FEM;SG
penolakan	afwijzing	pentolakan	afwijzing	N;SG	N;MASC+FEM;SG
interior	interieur	interior	interieur	N;SG	N;NEUT;SG
interior	binnenland	interior	binnenland	N;SG	N;NEUT;SG
interior	interieur	interior	interieur	N;SG	N;NEUT;SG
enterprise	enterprise	enterprise	enterprise	N	N;MASC+FEM;SG
enterprise	onderneming	enterprise	onderneming	N	N;MASC+FEM;SG
berpengalaman	ervaren	berpengalaman	ervaren	V;SG;ACT	V;V.PTCP
tafsir	tafsir	tafsir	tafsir	N	N;MASC+FEM;SG
integrasi	integratie	integrasi	integratie	N;SG	N;MASC+FEM;SG
staff	personeel	staff	personeel	N	N;NEUT;SG
output	uitvoer	output	uitvoer	N	N;MASC+FEM;SG
output	output	output	outputten	N	N;MASC+FEM;SG
output	output	output	outputten	N	N;MASC+FEM;SG
mengkritik	bekritiseren	menkritik	bekritiseren	V;SG;ACT	V;NFIN
fisiologi	fysiologie	fisiologi	fysiologie	N	N;MASC+FEM;SG
dinamis	dynamische	dinamis	dynamisch	ADJ;SG	ADJ
dinamis	dynamisch	dinamis	dynamisch	ADJ;SG	ADJ
animation	animatie	animation	animatie	N	N;MASC+FEM;SG
cacing	worm	cacing	worm	N;SG	N;MASC+FEM;SG
highland	hoogland	highland	hoogland	N	N;NEUT;SG
highland	highland	highland	highland	N	N;MASC+FEM;SG
orangtua	moedermaatschappij	orangtua	moedermaatschappij	N;SG	N;MASC+FEM;SG
gandum	graan	gandum	graan	N;SG	N;NEUT;SG
gandum	tarwe	gandum	tarw	N;SG	N;MASC+FEM;SG
digit	cijfer	digit	cijfer	N;SG	N;NEUT;SG
krim	crème	krim	crum	N;SG	N;MASC+FEM;SG
krim	room	krim	room	N;SG	N;MASC+FEM;SG
cerah	helder	cerah	helder	ADJ;SG	ADJ
cerah	fel	cerah	fel	ADJ;SG	ADJ
cerah	zonnige	cerah	zonnig	ADJ;SG	ADJ
cerah	zonnig	cerah	zonnig	ADJ;SG	ADJ
berikan	geef	berrikan	geven	V;SG;ACT	V;SG;PRS;FIN
berikan	geven	berrikan	geven	V;SG;ACT	V;NFIN
transformasi	transformatie	transformasi	transformatie	N;SG	N;MASC+FEM;SG
transformasi	transformatie	transformasi	transformatie	N;SG	N;MASC+FEM;SG
kekacauan	chaos	kekacauan	chaos	N;SG	N;MASC+FEM;SG
kekacauan	pandemonium	kekacauan	pandemonium	N;SG	N;NEUT;SG
mengenang	herinneren	menkenang	herinneren	V;SG;ACT	V;NFIN
mengenang	gedenken	menkenang	gedenken	V;SG;ACT	V;NFIN
pilih	kies	pilih	kiezen	V;SG;ACT	V;SG;PRS;FIN
pilih	kiezen	pilih	kiezen	V;SG;ACT	V;NFIN
pilih	kies	pilih	kiezen	V;SG;ACT	V;SG;PRS;FIN
pilih	selecteren	pilih	select	V;SG;ACT	V;NFIN
impor	import	impor	import	N;SG;ACT	N;MASC+FEM;SG
impor	invoer	impor	invoer	N;SG;ACT	N;MASC+FEM;SG
impor	import	impor	import	N;SG;ACT	N;MASC+FEM;SG
impor	invoer	impor	invoer	N;SG;ACT	N;MASC+FEM;SG
kesan	impressie	kesan	impressie	N;SG	N;MASC+FEM;SG
kesan	indruk	kesan	indruk	N;SG	N;MASC+FEM;SG
marsekal	maarschalk	marsekal	maarschalk	N	N;MASC+FEM;SG
marsekal	marshal	marsekal	marshal	N	N;MASC+FEM;SG
marsekal	marshals	marsekal	marshal	N	N;PL
acak	willekeurige	acak	willekeurig	ADJ;SG	ADJ
acak	willekeurig	acak	willekeurig	ADJ;SG	ADJ
terkejut	schokken	terkejut	schok	V;SG;PASS	V;NFIN
terkejut	verbaasd	terkejut	verbazen	V;SG;PASS	V;V.PTCP
terkejut	verbaasde	terkejut	verbazen	V;SG;PASS	V;SG;PST;FIN
terkejut	verraste	terkejut	verrassen	V;SG;PASS	V;SG;PST;FIN
terkejut	verrast	terkejut	verrassen	V;SG;PASS	V;V.PTCP
terkejut	geschokt	terkejut	schokken	V;SG;PASS	V;V.PTCP
terkejut	geschrokken	terkejut	schrikken	V;SG;PASS	V;V.PTCP
botol	fles	botol	fles	N;SG	N;MASC+FEM;SG
botol	flesje	botol	fles	N;SG	N;NEUT;SG
kehancuran	verwoesting	kehancuran	verwoesting	N;SG	N;MASC+FEM;SG
kehancuran	vernietiging	kehancuran	vernietiging	N;SG	N;MASC+FEM;SG
kehancuran	ravage	kehancuran	ravage	N;SG	N;MASC+FEM;SG
kehancuran	ruïne	kehancuran	ruïne	N;SG	N;MASC+FEM;SG
kehancuran	verwoesting	kehancuran	verwoesting	N;SG	N;MASC+FEM;SG
kehancuran	vernietiging	kehancuran	vernietiging	N;SG	N;MASC+FEM;SG
kehancuran	destructie	kehancuran	destructie	N;SG	N;MASC+FEM;SG
kehancuran	vernieling	kehancuran	vernieling	N;SG	N;MASC+FEM;SG
kenangan	memories	kenangan	memorie	N;SG	N;MASC+FEM;SG
kenangan	herinnering	kenangan	herinnering	N;SG	N;MASC+FEM;SG
kenangan	memory	kenangan	memory	N;SG	N;MASC+FEM;SG
ditembak	neergeschoten	ditembak	neerschieten	V;SG;PASS	V;V.PTCP
pukulan	stomp	pukulan	stomp	N;SG	N;NEUT;SG
pukulan	punch	pukulan	punch	N;SG	N;MASC+FEM;SG
romantis	romance	romantis	romance	N;SG	N;MASC+FEM;SG
romantis	romantiek	romantis	romantiek	N;SG	N;MASC+FEM;SG
romantis	romanticus	romantis	romanticus	N;SG	N;MASC+FEM;SG
beri	beri	beri	beri	V;SG;ACT	V;SG;PRS;FIN
beri	geef	beri	geven	V;SG;ACT	V;SG;PRS;FIN
beri	geven	beri	geven	V;SG;ACT	V;NFIN
agregat	aggregaat	agregat	aggraat	N;SG	N;NEUT;SG
agregat	aggregatie	agregat	aggregatie	N;SG	N;MASC+FEM;SG
agregat	samenvoeging	agregat	samenvoeging	N;SG	N;MASC+FEM;SG
bersembunyi	verstoppen	bersembunyi	verstoppen	V;SG;ACT	V;NFIN
bersembunyi	verbergen	bersembunyi	verbergen	V;SG;ACT	V;NFIN
membatalkan	geannuleerd	menbatalkan	annuleren	V;SG;ACT	V;V.PTCP
membatalkan	afgelast	menbatalkan	afgelasten	V;SG;ACT	V;V.PTCP
membatalkan	geannuleerd	menbatalkan	annuleren	V;SG;ACT	V;V.PTCP
membatalkan	afgelast	menbatalkan	afgelasten	V;SG;ACT	V;V.PTCP
membatalkan	geannuleerde	menbatalkan	geannuleerd	V;SG;ACT	V;SG;PST;FIN
perlombaan	race	perlombaan	race	N;SG	N;MASC+FEM;SG
perlombaan	ras	perlombaan	ras	N;SG	N;NEUT;SG
serigala	wolven	serigala	wolven	N	N;PL
serigala	wolf	serigala	wolf	N	N;MASC+FEM;SG
taksi	taxi	taksi	taxi	N;SG	N;MASC+FEM;SG
taksi	taxi	taksi	taxi	N;SG	N;MASC+FEM;SG
taksi	cabine	taksi	cabine	N;SG	N;MASC+FEM;SG
wabah	uitbraak	wabah	uitbraak	N;SG	N;MASC+FEM;SG
wabah	plaag	wabah	plaag	N;SG	N;MASC+FEM;SG
wabah	pest	wabah	pest	N;SG	N;MASC+FEM;SG
wabah	epidemie	wabah	epidemie	N;SG	N;MASC+FEM;SG
bala	bala	bala	bala	N;SG	N;MASC+FEM;SG
lilin	kaarsje	lilin	kaars	N;SG	N;NEUT;SG
lilin	kaars	lilin	kaar	N;SG	N;MASC+FEM;SG
lilin	wax	lilin	wax	N;SG	N;MASC+FEM;SG
lilin	kaarslicht	lilin	kaarslicht	N;SG	N;MASC+FEM;SG
menyerbu	binnenvallen	menserbu	binnenval	V;SG;ACT	V;NFIN
menyerbu	binnengedrongen	menserbu	binnendringen	V;SG;ACT	V;V.PTCP
menyerbu	binnengevallen	menserbu	binnenvallen	V;SG;ACT	V;V.PTCP
menyerbu	overlopen	menserbu	overlopen	V;SG;ACT	V;NFIN
laras	barrel	laras	barrel	N	N;MASC+FEM;SG
laras	vat	laras	vat	N	N;NEUT;SG
akademisi	academia	akademisi	academia	N;SG	N;MASC+FEM;SG
dibuktikan	bewezen	dibuktikan	bewijzen	V;SG;PASS	V;V.PTCP
dibuktikan	aangetoonde	dibuktikan	aantonen	V;SG;PASS	V;V.PTCP
patroli	patrol	patroli	patrol	N;SG	N;MASC+FEM;SG
patroli	patrouille	patroli	patrouille	N;SG	N;MASC+FEM;SG
mutlak	absolute	mutlak	absoluut	ADJ;SG	ADJ
plasma	plasma	plasma	plasma	N	N;MASC+FEM;SG
volkswagen	volkswagen	volkswagen	volkswagen	N	N;MASC+FEM;SG
produktif	productief	produktif	productief	ADJ;SG	ADJ
produktif	productieve	produktif	productief	ADJ;SG	ADJ
bandingkan	vergelijken	bandingkan	vergelijken	V;SG;ACT	V;NFIN
bandingkan	vergelijk	bandingkan	vergelijk	V;SG;ACT	V;SG;PRS;FIN
tertangkap	gevat	tertangkap	vatten	V;SG;PASS	V;V.PTCP
tertangkap	gepakt	tertangkap	pakken	V;SG;PASS	V;V.PTCP
tertangkap	gesnapt	tertangkap	snappen	V;SG;PASS	V;V.PTCP
tertangkap	betrapt	tertangkap	betrappen	V;SG;PASS	V;V.PTCP
tertangkap	gevangen	tertangkap	vangen	V;SG;PASS	V;V.PTCP
tertangkap	opgepakt	tertangkap	oppakken	V;SG;PASS	V;V.PTCP
tertangkap	betrapt	tertangkap	betrappen	V;SG;PASS	V;V.PTCP
tertangkap	gevangengenomen	tertangkap	gevangennemen	V;SG;PASS	V;V.PTCP
tertangkap	gevangen	tertangkap	vangen	V;SG;PASS	V;V.PTCP
pelaut	matroos	penlaut	matroos	N;SG	N;MASC+FEM;SG
pelaut	sailor	penlaut	sailor	N;SG	N;MASC+FEM;SG
pelaut	zeeman	penlaut	zeeman	N;SG	N;MASC+FEM;SG
pelaut	zeiler	penlaut	zeiler	N;SG	N;MASC+FEM;SG
pelaut	matroos	penlaut	matroos	N;SG	N;MASC+FEM;SG
pelaut	zeeman	penlaut	zeeman	N;SG	N;MASC+FEM;SG
perkantoran	bureau	perkantoran	bureau	N;SG	N;NEUT;SG
perkantoran	kantoor	perkantoran	kantoor	N;SG	N;NEUT;SG
utang	schuld	utang	schuld	N;SG	N;MASC+FEM;SG
utang	schuldenlast	utang	schuldenlast	N;SG	N;MASC+FEM;SG
pecinta	minnaar	pecinta	minnaar	N;SG	N;MASC+FEM;SG
pecinta	lover	pecinta	lover	N;SG	N;MASC+FEM;SG
pecinta	liefhebber	pecinta	liefhebber	N;SG	N;MASC+FEM;SG
tayangan	impressie	tayangan	impressie	N;SG	N;MASC+FEM;SG
tayangan	indruk	tayangan	indruk	N;SG	N;MASC+FEM;SG
hikayat	saga	hikayat	saga	N	N;MASC+FEM;SG
kelanjutan	voortzetting	kelanjutan	voortzetting	N;SG	N;MASC+FEM;SG
kelanjutan	vervolg	kelanjutan	vervolg	N;SG	N;NEUT;SG
kelanjutan	voortzetting	kelanjutan	voortzetting	N;SG	N;MASC+FEM;SG
orientasi	oriëntatie	orientasi	oriëntatie	N;SG	N;MASC+FEM;SG
orientasi	oriëntering	orientasi	oriëntering	N;SG	N;MASC+FEM;SG
diperhatikan	opviel	diperhatikan	opviel	V;SG;PASS	V;SG;PST;FIN
diperhatikan	opgemerkt	diperhatikan	opmerken	V;SG;PASS	V;V.PTCP
diperhatikan	opgevallen	diperhatikan	opvallen	V;SG;PASS	V;V.PTCP
mangga	mango	mangga	mango	N	N;MASC+FEM;SG
bir	biertje	bir	biertje	N;SG	N;NEUT;SG
bir	bier	bir	bier	N;SG	N;NEUT;SG
bir	beers	bir	beers	N;SG	N;MASC+FEM;SG
rusa	hert	rusa	herten	N	N;NEUT;SG
