پِن	pin	پِن	pin		
پہچان	זיהוי	پہچان	זיהוי	N;NOM;MASC;SG;3	N;FEM;SG
پہچان	הכרה	پہچان	הכרה	N;NOM;MASC;SG;3	N;FEM;SG
پہچان	מכר	پہچان	מכר	N;NOM;MASC;SG;3	N;MASC;SG
پہچان	היכרות	پہچان	היכרות	N;NOM;MASC;SG;3	N;FEM;SG
پہچاننا	מזהה	پہچان	זיהה	V;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پہچاننا	מבינה	پہچان	מבין	V;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہچاننا	להבין	پہچان	הבין	V;SG;NFIN;ACT	V;NFIN;ACT
پہچاننا	דע	پہچان	דע	V;SG;NFIN;ACT	V;MASC;SG;1;PST;ACT
پہچاننا	יודעת	پہچان	ידע	V;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہچاننا	יודע	پہچان	ידע	V;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پہچاننا	מזהה	پہچان	זיהה	V;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پہچاننا	מבינה	پہچان	מבין	V;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہچاننا	להבין	پہچان	הבין	V;SG;NFIN;ACT	V;NFIN;ACT
پہچاننا	דע	پہچان	דע	V;SG;NFIN;ACT	V;MASC;SG;1;PST;ACT
پہچاننا	יודעת	پہچان	ידע	V;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہچاننا	יודע	پہچان	ידע	V;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پہچاننا	מזדהה	پہچان	זידה	V;SG;NFIN;ACT	V;MASC;SG;V.PTCP
پہچاننا	לזהות	پہچان	זיהה	V;SG;NFIN;ACT	V;NFIN;ACT
پہَل	כנף	پہَل	כנף		
پہَل	הצד	پہَل	הצד		
پہل	בעבר	پہل	בעבר		
پہلا	קודמת	پہلا	קודם	ADJ;NOM;MASC;SG	ADJ;FEM;SG
پہلا	מקורי	پہلا	מקורי	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پہلا	ראשוני	پہلا	ראשוני	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پہلا	עיקרי	پہلا	עיקרי	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پہلومارنا	להתחרות	پہلومارنا	התחרה	V;SG;NFIN;ACT	V;NFIN
پہلومارنا	להתעמת	پہلومارنا	התעמת	V;SG;NFIN;ACT	V;NFIN
پہلومارنا	התעמת	پہلومارنا	התעמה	V;SG;NFIN;ACT	V;MASC;SG;3;PST
پہنچ	הכניסה	پہنچ	הכניס	V;ACT	V;FEM;SG;3;PST;ACT
پہنچ	הגישה	پہنچ	הגיש	V;ACT	V;FEM;SG;3;PST;ACT
پہنچ	הכניסה	پہنچ	הכניס	V;ACT	V;FEM;SG;3;PST;ACT
پہنچ	הגישה	پہنچ	הגיש	V;ACT	V;FEM;SG;3;PST;ACT
پہنچا	הגיע	پہنچ	הגיע	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;3;PST;ACT
پہنچا	הגיעה	پہنچ	הגיע	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;3;PST;ACT
پہنچا	הגיע	پہنچ	הגיע	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;3;PST;ACT
پہنچانا	לשדר	پہنچ	שידר	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچانا	לסחוב	پہنچ	סחב	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچانا	לשאת	پہنچ	נשא	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچانا	לשדר	پہنچ	שידר	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچنا	לפתח	پہنچ	פיתח	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچنا	מבינה	پہنچ	מבין	V;MASC;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہنچنا	להבין	پہنچ	הבין	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچنا	קידמה	پہنچ	קידם	V;MASC;SG;NFIN;ACT	V;FEM;SG;3;PST;ACT
پہنچنا	דע	پہنچ	דע	V;MASC;SG;NFIN;ACT	V;MASC;SG;1;PST;ACT
پہنچنا	יודעת	پہنچ	ידע	V;MASC;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہنچنا	יודע	پہنچ	ידע	V;MASC;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پہنچنا	לפתח	پہنچ	פיתח	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچنا	מבינה	پہنچ	מבין	V;MASC;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہنچنا	להבין	پہنچ	הבין	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پہنچنا	קידמה	پہنچ	קידם	V;MASC;SG;NFIN;ACT	V;FEM;SG;3;PST;ACT
پہنچنا	דע	پہنچ	דע	V;MASC;SG;NFIN;ACT	V;MASC;SG;1;PST;ACT
پہنچنا	יודעת	پہنچ	ידע	V;MASC;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
پہنچنا	יודע	پہنچ	ידע	V;MASC;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پہننا	תלבש	پہن	תלבש	V;MASC;SG;NFIN;ACT	V;FEM;SG;3;FUT;ACT
پہننا	ללבוש	پہن	לבש	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پَے	מרק	پَہ	מרק		
پَے	סמן	پَہ	סמן		
پَے	מאחור	پَہ	מאחור		
پَے	העצב	پَہ	העצב		
پَے	עצב	پَہ	עצב		
پَے	רגל	پَہ	רגל		
پَے	גיד	پَہ	גיד		
پیار	אהבה	پیار	אהבה	N;NOM;MASC;SG;3	N;FEM;SG
پیار	נשיקה	پیار	נשיקה	N;NOM;MASC;SG;3	N;FEM;SG
پیار	ידידות	پیار	ידידות	N;NOM;MASC;SG;3	N;FEM;SG
پیار	חיבה	پیار	חיבה	N;NOM;MASC;SG;3	N;FEM;SG
پیارا	יקר	پیارا	יקר	ADJ;NOM;MASC;SG	ADJ;MASC;SG
پیاس	משתוקק	پیاس	השתוקק	V;SG;ACT	V;MASC;SG;V.PTCP
پیاس	משתוקקת	پیاس	השתוקק	V;SG;ACT	V;FEM;SG;V.PTCP
پیاس	משתוקק	پیاس	השתוקק	V;SG;ACT	V;MASC;SG;V.PTCP
پیاس	משתוקקת	پیاس	השתוקק	V;SG;ACT	V;FEM;SG;V.PTCP
پِیٹنا	להתאבל	پِیٹ	התאבל	V;MASC;SG;NFIN;ACT	V;NFIN
پِیٹنا	להעניש	پِیٹ	העניש	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پِیٹنا	להרוויח	پِیٹ	הרוויח	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پیچ	לקפל	پیچ	קיפל	V;SG;V.PTCP;ACT	V;NFIN;ACT
پیچ	פנה	پیچ	פנה	V;SG;V.PTCP;ACT	V;MASC;SG;3;PST;ACT
پیچاک	תפנית	پیچاک	תפנית		
پیچیدگی	טוויסט	پیچیدگی	טוויסט	N;NOM;MASC;SG;3	N;MASC;SG
پیچیدگی	סיבוך	پیچیدگی	סיבוך	N;NOM;MASC;SG;3	N;MASC;SG
پیچیدگی	המורכבות	پیچیدگی	המורכבות	N;NOM;MASC;SG;3	N
پیچیدگی	טוויסט	پیچیدگی	טוויסט	N;NOM;MASC;SG;3	N;MASC;SG
پیچیدگی	סיבוך	پیچیدگی	סיבוך	N;NOM;MASC;SG;3	N;MASC;SG
پیچیدہ	מעורבת	پیچیدہ	מעורב	ADJ	ADJ;FEM;SG
پیچیدہ	מעורב	پیچیدہ	מעורב	ADJ	ADJ;MASC;SG
پیچیدہ	מעוותת	پیچیدہ	מעוות	ADJ	ADJ;FEM;SG
پیچیدہ	מעוות	پیچیدہ	מעוות	ADJ	ADJ;MASC;SG
پیچیدہ	קשים	پیچیدہ	קשה	ADJ	ADJ;MASC;PL
پیچیدہ	מסובך	پیچیدہ	מסובך	ADJ	ADJ;MASC;SG
پیچیدہ	מסובכת	پیچیدہ	מסובך	ADJ	ADJ;FEM;SG
پیچیدہ	מעורבת	پیچیدہ	מעורב	ADJ	ADJ;FEM;SG
پیچیدہ	מעורב	پیچیدہ	מעורב	ADJ	ADJ;MASC;SG
پیچیدہ	מעוותת	پیچیدہ	מעוות	ADJ	ADJ;FEM;SG
پیچیدہ	מעוות	پیچیدہ	מעוות	ADJ	ADJ;MASC;SG
پیچیدہ	קשים	پیچیدہ	קשה	ADJ	ADJ;MASC;PL
پیچیدہ	מסובך	پیچیدہ	מסובך	ADJ	ADJ;MASC;SG
پیچیدہ	מסובכת	پیچیدہ	מסובך	ADJ	ADJ;FEM;SG
پیش	חזיתית	پیش	חזיתית	ADV;MASC;SG;3	ADV
پیش	החזית	پیش	החזית	ADV;MASC;SG;3	ADV
پیش	לחזית	پیش	לחזית	ADV;MASC;SG;3	ADV
پیشانی	כותרת	پیشانی	כותרת	N;NOM;MASC;SG;3	N;FEM;SG
پیشانی	חזית	پیشانی	חזית	N;NOM;MASC;SG;3	N;FEM;SG
پیشانی	כותרת	پیشانی	כותרת	N;NOM;MASC;SG;3	N;FEM;SG
پیشکاری	סוכנות	پیشکاری	סוכנות	N;NOM;MASC;SG;3	N;FEM;SG
پیشکاری	הסוכנות	پیشکاری	הסוכנות	N;NOM;MASC;SG;3	N;FEM
پیشکش	הצגה	پیشکش	הצגה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	מצגת	پیشکش	מצגה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	המצגת	پیشکش	המצגה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	מחווה	پیشکش	מחווה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	הצעה	پیشکش	הצעה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	הצגה	پیشکش	הצגה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	מצגת	پیشکش	מצגה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	המצגת	پیشکش	המצגה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	מחווה	پیشکش	מחווה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	הצעה	پیشکش	הצעה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	ההצעה	پیشکش	ההצעה	N;NOM;MASC;SG;3	N;FEM;SG
پیشکش	הצעה	پیشکش	הצעה	N;NOM;MASC;SG;3	N;FEM;SG
پیشگی	מקדמה	پیشگی	מקדמה	N;NOM;MASC;SG;3	N;FEM;SG
پیشوا	מודל	پیشوا	מודל	N;NOM;MASC;SG;3	N;MASC;SG
پیشوا	דגם	پیشوا	דגם	N;NOM;MASC;SG;3	N;MASC;SG
پیشوا	מנהיג	پیشوا	מנהיג	N;NOM;MASC;SG;3	N;MASC;SG
پیشوا	מנהיגה	پیشوا	מנהיג	N;NOM;MASC;SG;3	N;FEM;SG
پیشوائی	עדיפות	پیشوائی	עדיפות	N;NOM;MASC;SG;3	N;FEM;SG
پیشوائی	מנהיגות	پیشوائی	מנהיגות	N;NOM;MASC;SG;3	N;FEM;SG
پیشوائی	הנחייה	پیشوائی	הנחייה	N;NOM;MASC;SG;3	N;FEM;SG
پیشوائی	הדרכה	پیشوائی	הדרכה	N;NOM;MASC;SG;3	N;FEM;SG
پیشوائی	הנחיה	پیشوائی	הנחיה	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	החלפה	پیشہ	החלפה	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	מסחר	پیشہ	מסחר	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	עסק	پیشہ	עסק	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	משרד	پیشہ	משרד	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	זנות	پیشہ	זנה	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	קורא	پیشہ	קורא	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	מקצוע	پیشہ	מקצוע	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	החלפה	پیشہ	החלפה	N;NOM;MASC;SG;3	N;FEM;SG
پیشہ	מסחר	پیشہ	מסחר	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	עסק	پیشہ	עסק	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	משרד	پیشہ	משרד	N;NOM;MASC;SG;3	N;MASC;SG
پیشہ	זנות	پیشہ	זנה	N;NOM;MASC;SG;3	N;FEM;SG
پیشی	שימוע	پیشی	שימוע	N;NOM;MASC;SG;3	N;MASC;SG
پیشی	שמיעה	پیشی	שמיעה	N;NOM;MASC;SG;3	N;FEM;SG
پیشی	נוכחות	پیشی	נוכחות	N;NOM;MASC;SG;3	N;FEM;SG
پیشین	עתיקה	پیشین	עתיק	N;NOM;MASC;SG;3	N;FEM;SG
پیکھنا	רואה	پیکھ	ראה	V;SG;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پیکھنا	ראה	پیکھ	ראה	V;SG;NFIN;ACT	V;MASC;SG;3;PST;ACT
پیکھنا	לצפות	پیکھ	None	V;SG;NFIN;ACT	V;NFIN
پیل	בשפע	پیل	בשפע		
پیل	שפע	پیل	שפע		
پیل	שפע	پیل	שפע		
پَین	ערוץ	پَین	ערוץ		
پینچنا	לנפות	پینچنا	None	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پینڈ	גוש	پینڈ	גוש		
پھاٹک	בדוק	پھاٹک	בדוק		
پھاڑ	להשכרה	چیرپھاڑ	השכרה	V;ACT	V;NFIN;ACT
پھاڑ	לפצל	چیرپھاڑ	פיצל	V;ACT	V;NFIN;ACT
پھاڑنا	להקניט	پھاڑ	הקניט	V;SG;NFIN;ACT	V;NFIN;ACT
پھاڑنا	לקרוע	پھاڑ	קרע	V;SG;NFIN;ACT	V;NFIN;ACT
پھاڑنا	לשבור	پھاڑ	שבר	V;SG;NFIN;ACT	V;NFIN;ACT
پھاڑنا	לקרוע	پھاڑ	קרע	V;SG;NFIN;ACT	V;NFIN;ACT
پھانٹنا	למחוץ	پھانٹنا	מחץ	V;NFIN;ACT	V;NFIN;ACT
پھانسی	לולאה	پھانسی	לולאה	N;NOM;FEM;SG;3	N;FEM;SG
پھانک	חתך	پھانک	חתך		
پھانک	חתוך	پھانک	חתוך		
پھانکڑ	חכם	پھانکڑ	חכם		
پھانکڑ	חכם	پھانکڑ	חכם		
پھانکنا	לפתוח	پھانکنا	פתח	V;NFIN;ACT	V;NFIN;ACT
پھب	חסד	پھب	חסד		
پھبکنا	לפרוח	پھبک	פרח	V;SG;NFIN;ACT	V;NFIN;ACT
پھبن	חסד	پھبن	חסד		
پُھپکارنا	לפוצץ	پُھپکار	פוצץ	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پھٹا	להשכרה	پھٹا	השכרה	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
پھٹا	לפצל	پھٹا	פיצל	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
پِھٹکارنا	נוזף	پرھٹکار	נוזף	V;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
پھٹکن	מוץ	پھٹکن	מוץ		
پھدک	רותח	پھدک	רותח		
پِھرتا	מחזירה	پِھرتا	מחזיר	V;IPFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;V.PTCP;ACT
پِھرتا	מפנה	پِھرتا	הפנה	V;IPFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
پھرک	המגן	پھرک	המגן		
پِھرنا	לשוטט	پِھر	שוטט	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پھڑکن	משאלה	پھڑکن	משאלה		
پھڑکن	הלוואי	پھڑکن	הלוואי		
پھُس	לחישה	پھُس	לחישה		
پھسکنا	להחליק	پھسک	החליק	V;SG;NFIN;ACT	V;NFIN;ACT
پُھسکنا	לחישה	پُھسک	לחישה		
پُھسلانا	לפתות	پُھسلانا	None	V;MASC;SG;V.PTCP;ACT	V;NFIN;ACT
پُھکنا	לשרוף	پُھک	שרף	V;NFIN;ACT	V;NFIN;ACT
پھل	האפקט	پھل	האפקט	N;NOM;MASC;SG;3	N;MASC;SG
پھل	השפעה	پھل	השפעה	N;NOM;MASC;SG;3	N;FEM;SG
پھل	אפקט	پھل	אפקט	N;NOM;MASC;SG;3	N;MASC;SG
پھل	תוצאה	پھل	תוצאה	N;NOM;MASC;SG;3	N;FEM;SG
پھل	השלכה	پھل	השלכה	N;NOM;MASC;SG;3	N;FEM;SG
پُھلانا	לנפח	پُھلا	ניפח	V;SG;NFIN;ACT	V;NFIN;ACT
پھلانگ	האביב	پھلانگ	האביב	V;ACT	V;MASC;SG;3;PST;ACT
پھلانگ	קפצו	پھلانگ	קפץ	V;ACT	V;PL;3;PST
پھلانگ	לקפוץ	پھلانگ	קפץ	V;ACT	V;NFIN;ACT
پھُلکارنا	לנפח	پھُلکارنا	ניפח	V;NFIN;ACT	V;NFIN;ACT
پھلی	מלכודת	پھلا	מלכודת	N;NOM;MASC;SG;3	N;FEM;SG
پھلی	לולאה	پھلا	לולאה	N;NOM;MASC;SG;3	N;FEM;SG
پُھوٹنا	התפשט	پُھوٹنا	התפשט	V;NFIN;ACT	V;MASC;SG;3;PST
پُھوٹنا	להפיץ	پُھوٹنا	הפיץ	V;NFIN;ACT	V;NFIN;ACT
پُھوٹنا	תגיד	پُھوٹنا	הגיד	V;NFIN;ACT	V;MASC;SG;2;FUT;ACT
پُھوٹنا	לפצל	پُھوٹنا	פיצל	V;NFIN;ACT	V;NFIN;ACT
پھوڑنا	לפצל	پھوڑ	פיצל	V;NFIN;ACT	V;NFIN;ACT
پھوڑنا	לשבור	پھوڑ	שבר	V;NFIN;ACT	V;NFIN;ACT
پھوڑنا	לנפץ	پھوڑ	ניפץ	V;NFIN;ACT	V;NFIN;ACT
پھوک	ריק	پھوک	ריק		
پھوک	זבל	پھوک	זבל		
پھوک	סרב	پھوک	סרב		
پھوک	ריק	پھوک	ריק		
پھوک	זבל	پھوک	זבל		
پُھولنا	לפרוח	پُھول	פרח	V;NFIN;ACT	V;NFIN;ACT
پھیٹنا	לערבב	پھیٹ	עירבב	V;SG;NFIN;ACT	V;NFIN;ACT
پھیر	ההבדל	پھیر	ההבדל	V;ACT	V;MASC;SG;3;PST
پھیر	לכופף	پھیر	לכופף	V;ACT	V;NFIN;ACT
پھیر	פנה	پھیر	פנה	V;ACT	V;MASC;SG;3;PST;ACT
پھیرا	פנה	پھیرا	פנה	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;3;PST;ACT
پِھینچنا	לסחוט	پِھینچ	סחט	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پِھینچنا	לשטוף	پِھینچ	שטף	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پِھینچنا	לשטוף	پِھینچ	שטף	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پھینکنا	לזרוק	پھینکنا	זרק	V;NFIN;ACT	V;NFIN;ACT
پھینکنا	זורק	پھینکنا	זורק	V;NFIN;ACT	V;MASC;SG;V.PTCP;ACT
تِ	three	تِ	three		
تا	עד	تا	עד	ADP	ADP
تاب	חימום	تاب	חימום	N;NOM;MASC;SG;3	N;MASC;SG
تاب	כוח	تاب	כוח	N;NOM;MASC;SG;3	N;MASC;SG
تاب	עוצמה	تاب	עוצמה	N;NOM;MASC;SG;3	N;FEM;SG
تاب	בהירות	تاب	בהירות	N;NOM;MASC;SG;3	N;FEM;SG
تاب	שריפת	تاب	שריפה	N;NOM;MASC;SG;3	N;FEM;SG
تاب	טוויסט	تاب	טוויסט	N;NOM;MASC;SG;3	N;MASC;SG
تاب	סיבולת	تاب	סיבולת	N;NOM;MASC;SG;3	N;FEM;SG
تاب	חמימות	تاب	חמימות	N;NOM;MASC;SG;3	N;FEM;SG
تاباں	בהיר	تاباں	בהיר		
تابکار	רדיואקטיבית	تابکار	רדיואקטי	N;NOM;MASC;SG;3	N;FEM;SG
تابکار	רדיואקטיבי	تابکار	רדיואקטיבי	N;NOM;MASC;SG;3	N;MASC;SG
تابی	חמימות	تابی	חמימות	N;NOM;MASC;SG;3	N;FEM;SG
تابی	חימום	تابی	חימום	N;NOM;MASC;SG;3	N;MASC;SG
تاپ	חום	تاپ	חום		
تاپ	חום	تاپ	חום		
تاپ	חום	تاپ	חום		
تات	אבא	تات	אבא		
تات	היקר	تات	היקר		
تاخت	התקפה	تاخت	התקפה	N;NOM;MASC;SG;3	N;FEM;SG
تاخت	התקף	تاخت	התקף	N;NOM;MASC;SG;3	N;MASC;SG
تاخت	פיגוע	تاخت	פיגוע	N;NOM;MASC;SG;3	N;MASC;SG
تاخت	תקיפה	تاخت	תקיפה	N;NOM;MASC;SG;3	N;FEM;SG
تاخت	ביזה	تاخت	ביזה	N;NOM;MASC;SG;3	N;FEM;SG
تاخت	פלישה	تاخت	פלישה	N;NOM;MASC;SG;3	N;FEM;SG
تاخت	תקיפה	تاخت	תקיפה	N;NOM;MASC;SG;3	N;FEM;SG
تاَخُّر	עיכוב	تاَخُّر	עיכוב	N	N;MASC;SG
تاَخُّر	דחייה	تاَخُّر	דחייה	N	N;FEM;SG
تاخیر	דחיינות	تاخیر	דחיינות	N;NOM;MASC;SG;3	N;FEM;SG
تاخیر	עיכוב	تاخیر	עיכוב	N;NOM;MASC;SG;3	N;MASC;SG
تاخیر	דחיינות	تاخیر	דחיינות	N;NOM;MASC;SG;3	N;FEM;SG
تار	חושך	تار	חושך	N;NOM;MASC;SG;3	N;MASC;SG
تار	קו	تار	קו	N;NOM;MASC;SG;3	N;MASC;SG
تار	שורה	تار	שורה	N;NOM;MASC;SG;3	N;FEM;SG
تار	חוט	تار	חוט	N;NOM;MASC;SG;3	N;MASC;SG
تار	מברק	تار	מברק	N;NOM;MASC;SG;3	N;MASC;SG
تار	תיל	تار	תיל	N;NOM;MASC;SG;3	N;MASC;SG
تار	חוט	تار	חוט	N;NOM;MASC;SG;3	N;MASC;SG
تار	חושך	تار	חושך	N;NOM;MASC;SG;3	N;MASC;SG
تارِنفس	נשימה	تارِنفس	נשימה	N;NOM;MASC;SG;3	N;FEM;SG
تارک	טופ	تارک	טופ		
تاریخ	היסטוריה	تاریخ	היסטוריה	N;NOM;MASC;SG;3	N;FEM;SG
تاریخ	ההיסטוריה	تاریخ	ההיסטוריה	N;NOM;MASC;SG;3	N;FEM;SG
تاریک	חושך	تاریک	חושך	N;NOM;MASC;SG;3	N;MASC;SG
تاڑنا	מבינה	تاڑنا	מבין	V;SG;NFIN;ACT	V;FEM;SG;V.PTCP;ACT
تاڑنا	להבין	تاڑنا	הבין	V;SG;NFIN;ACT	V;NFIN;ACT
تاڑنی	מצליף	تاڑنی	הצליף	ADJ	ADJ;MASC;SG
تاز	רץ	تاز	רץ		
تازگی	חדשנות	تازگی	חדשנות	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	התחדשות	تازگی	התחדשות	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	חידוש	تازگی	חידוש	N;NOM;MASC;SG;3	N;MASC;SG
تازگی	חדשנות	تازگی	חדשנות	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	רעננות	تازگی	רעננות	N;NOM;MASC;SG;3	N;FEM;SG
