nie	nicht	nie	nicht	PART;NEG	PART;NEG
inne	sonstiges	inny	sonstig	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
inne	anderes	inny	ander	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
inne	sonstiges	inny	sonstig	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
tam	dort	tam	dort	ADV	ADV
tam	dorthin	tam	dorthin	ADV	ADV
tam	da	tam	da	ADV	ADV
miał	hatte	mieć	haben	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
dwóch	zwei	dwa	zwei	NUM;ACC;MASC;PL	NUM
wynik	punktzahl	wynik	punktzahl	N;NOM;MASC;SG	N
wynik	filmmusik	wynik	filmmusik	N;NOM;MASC;SG	N
kiedy	wann	kiedy	wann	ADV	ADV
lista	liste	list	lassen	N;NOM;FEM;SG	N;NOM;FEM;SG
lista	aufstellung	list	aufstellingen	N;NOM;FEM;SG	N;NOM;FEM;SG
bgcolor	bgcolor	bgcolor	bgcolor		
http	http	http	http		
zdobył	erzielte	zdobyć	erzielen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
zdobył	erzielt	zdobyć	erzielen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
amerykański	amerikaner	amerykański	amerikaner	ADJ;NOM;MASC;SG	ADJ
amerykański	amerikanisches	amerykański	amerikanisch	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
amerykański	amerikanisch	amerykański	amerikanisch	ADJ;NOM;MASC;SG	ADJ
opis	überschrift	opis	überschreifen		
związku	beziehung	związek	Beziehung	N;GEN;MASC;SG	N;SG
pierwsze	erster	pierwszy	erst	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
ang	ang	ang	ang		
trzy	drei	trzy	drei	NUM;ACC;MASC;PL	NUM
strony	seite	strona	seit	N;NOM;FEM;PL	N
mapy	stadtplan	mapa	stadtplan	N;ACC;FEM;SG	N
mapy	stadtplan	mapa	stadtplan	N;ACC;FEM;SG	N
plik	akten	plik	akt	N;ACC;MASC;SG	N
rady	rat	rada	rat	N;GEN;FEM;SG	N
rady	rat	rada	rat	N;GEN;FEM;SG	N
prawa	gesetze	prawo	gesetzen		
prawa	gesetze	prawo	gesetzen		
miejsca	plätze	miejsce	platz	N;NOM;NEUT;PL	N;NOM;MASC;PL
miejsca	orte	miejsce	ort	N;NOM;NEUT;PL	N;NOM;MASC;PL
miejsca	orte	miejsce	ort	N;NOM;NEUT;PL	N;NOM;MASC;PL
miejsca	standorte	miejsce	standort	N;NOM;NEUT;PL	N;NOM
mają	haben	mieć	haben	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;FIN
profil	profil	profil	profil	N;NOM;MASC;SG	N;NOM;SG
często	oft	często	oft	ADV	ADV
często	oft	często	oft	ADV	ADV
często	oft	często	oft	ADV	ADV
często	oftmals	często	oftmals	ADV	ADV
sposób	verfahren	sposób	verfahren	V;IND;PRS;FIN	V;NFIN
dwie	zwei	dwa	zwei	NUM;ACC;FEM;PL	NUM
jednostka	einheit	jednostka	einheit	N;NOM;FEM;SG	N;NOM;FEM;SG
jednostka	einheit	jednostka	einheit	N;NOM;FEM;SG	N;NOM;FEM;SG
xix	xix	xix	xix		
nowy	neuer	nowy	neu	ADJ;NOM;MASC;SG	ADJ
nowy	neu	nowy	neu	ADJ;NOM;MASC;SG	ADJ
nowy	neues	nowy	neu	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
miała	hatte	mieć	haben	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
osoby	personen	osoba	Person	N;NOM;FEM;PL	N;NOM;FEM;PL
osoby	leute	osoba	leute	N;NOM;FEM;PL	N;NOM;PL
osoby	menschen	osoba	menschen	N;NOM;FEM;PL	N;NOM;PL
osoby	personen	osoba	Person	N;NOM;FEM;PL	N;NOM;FEM;PL
poza	neben	poza	neben	ADP	ADP
grupa	gruppe	grupa	grappe	N;NOM;FEM;SG	N;NOM;FEM;SG
grupa	gruppierung	grupa	gruppierung	N;NOM;FEM;SG	N;NOM;FEM;SG
grupa	unternehmensgruppe	grupa	unternehmensgruppe	N;NOM;FEM;SG	N;NOM;FEM;SG
linii	linie	linia	linie	N;GEN;FEM;SG	N
linii	strecke	linia	strecken	N;GEN;FEM;SG	N;SG
com	kom	com	kom		
com	com	com	com		
wojska	armee	wojsko	arme	N;NOM;NEUT;SG	N;NOM;FEM;SG
ffe	ffe	ff	ffe		
liczby	nummern	liczba	nummern	N;ACC;FEM;SG	N
razem	zusammen	razem	zusammen	ADV	ADV
reprezentacji	vertretung	reprezentacja	vertretung	N;DAT;FEM;SG	N;FEM;SG
ponownie	wieder	ponownie	wieder	ADV	ADV
bardziej	mehr	bardzo	mehr	ADV;CMPR	ADV
klub	club	klub	club	N;NOM;MASC;SG	N;NOM
klub	klub	klub	klub	N;NOM;MASC;SG	N;NOM;MASC;SG
zjednoczonych	vereinigten	zjednoczyć	vereinigen	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	ADJ;PL
wcześniej	zuvor	wcześnie	zuvor	ADV;CMPR	ADV
wcześniej	vorher	wcześnie	vorher	ADV;CMPR	ADV
wcześniej	bisher	wcześnie	bisher	ADV;CMPR	ADV
wcześniej	zuvor	wcześnie	zuvor	ADV;CMPR	ADV
wcześniej	zuvor	wcześnie	zuvor	ADV;CMPR	ADV
wcześniej	davor	wcześnie	davor	ADV;CMPR	ADV
wcześniej	vorher	wcześnie	vorher	ADV;CMPR	ADV
stadion	stadion	stadion	stadion	N;NOM;MASC;SG	N;NOM;NEUT;SG
stadion	stadion	stadion	stadion	N;NOM;MASC;SG	N;NOM;NEUT;SG
stadion	stadions	stadion	stadions	N;NOM;MASC;SG	N;NOM;NEUT;SG
dzieci	kinder	dziecko	kinder	N;NOM;NEUT;PL	N;NOM;NEUT;PL
dzieci	kindern	dziecko	kindern	N;NOM;NEUT;PL	N;NOM;NEUT;PL
dzieci	kinder	dziecko	kinder	N;NOM;NEUT;PL	N;NOM;NEUT;PL
dzieci	kindern	dziecko	kindern	N;NOM;NEUT;PL	N;NOM;NEUT;PL
style	style	style	stylen		
język	sprache	język	sprechen	N;NOM;MASC;SG	N;NOM;FEM;SG
rodzaj	art	rodzaj	art	N;NOM;MASC;SG	N;NOM;FEM;SG
rodzaj	art	rodzaj	art	N;NOM;MASC;SG	N;NOM;FEM;SG
www	www	www	www		
najbardziej	meist	bardzo	meist	ADV;RL	ADV
historia	erzählung	historia	erzählung	N;NOM;FEM;SG	N;FEM;SG
oficjalna	beamter	oficjalny	beamt	ADJ;NOM;FEM;SG	ADJ
oficjalna	offizielles	oficjalny	offiziell	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
oficjalna	offizieller	oficjalny	offiziell	ADJ;NOM;FEM;SG	ADJ
oficjalna	offiziellen	oficjalny	offiziell	ADJ;NOM;FEM;SG	ADJ
pracował	gearbeitet	pracować	arbeiten	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
pracował	arbeitete	pracować	arbeiten	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
król	könig	król	könig	N;NOM;MASC;SG	N;NOM;SG
lis	lis	lis	lis		
drugi	zweiter	drugi	zweit	ADJ;NOM;MASC;SG	ADJ
początkowo	anfangs	początkowo	anfangs	ADV	ADV
wydawnictwo	verlag	wydawnictwo	verliegen	N;NOM;NEUT;SG	N;NOM;MASC;SG
sezon	spielzeit	sezon	spielzeit	N;NOM;MASC;SG	N;NOM;SG
sezon	saison	sezon	saison	N;NOM;MASC;SG	N;NOM;FEM;SG
ona	sie	on	sie	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
nowe	neuer	nowy	neu	ADJ;NOM;NEUT;SG	ADJ
nowe	neu	nowy	neu	ADJ;NOM;NEUT;SG	ADJ
nowe	neues	nowy	neu	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
różnych	verschieden	różny	verschieden	ADJ;GEN;MASC;PL	ADJ
różnych	unterschiedlich	różny	unterschiedlich	ADJ;GEN;MASC;PL	ADJ
różnych	verschieden	różny	verschieden	ADJ;GEN;MASC;PL	ADJ
drużyna	team	drużyna	team	N;NOM;FEM;SG	N;NOM;NEUT;SG
niemiecki	deutschen	niemiecki	deutsch	ADJ;NOM;MASC;SG	ADJ
niemiecki	deutscher	niemiecki	deutsch	ADJ;NOM;MASC;SG	ADJ
niemiecki	deutsch	niemiecki	deutsch	ADJ;NOM;MASC;SG	ADJ
wtedy	dann	wtedy	dann	ADV	ADV
wtedy	damals	wtedy	damals	ADV	ADV
wtedy	danach	wtedy	danach	ADV	ADV
syn	sohn	syn	sohnen	N;NOM;MASC;SG	N;NOM;MASC;SG
większość	mehrheit	większość	mehrheit	N;NOM;FEM;SG	N;NOM;SG
gry	videospiele	gra	videospiel		
produkcji	erzeugung	produkcja	erzeugung	N;GEN;FEM;SG	N;SG
turnieju	wettkampf	turniej	wettkampf	N;GEN;MASC;SG	N
pierwsza	erster	pierwszy	erst	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
from	vom	from	vom		
ciągu	schub	ciąg	schaben	N;GEN;MASC;SG	N
stacja	bahnhof	stacja	bahnhof	N;NOM;FEM;SG	N;NOM;MASC;SG
zmarł	verstorben	zemrzeć	versterben	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
zmarł	gestorben	zemrzeć	sterben	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
zmarł	starb	zemrzeć	sterben	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
więcej	mehr	dużo	mehr	ADV;CMPR	ADV
numer	anzahl	numer	anzahl	N;NOM;MASC;SG	N;SG
numer	zahl	numer	zahl	N;NOM;MASC;SG	N;NOM;FEM;SG
gra	abspielen	grać	abspielen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
gra	spielen	grać	spielen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
nagrody	prämien	nagroda	prämien	N;NOM;FEM;PL	N;NOM
nagrody	auszeichnungen	nagroda	auszeichnangen	N;NOM;FEM;PL	N;NOM;FEM;PL
nagrody	prämien	nagroda	prämien	N;NOM;FEM;PL	N;NOM
posiada	verfügt	posiadać	verfügen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
posiada	hat	posiadać	haben	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
posiada	gehört	posiadać	gehören	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
posiada	besitzt	posiadać	besitzen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
polskie	polnisch	polski	polnisch	ADJ;NOM;NEUT;SG	ADJ
polskie	polnisches	polski	polnisch	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
cztery	vier	cztery	vier	NUM;ACC;MASC;PL	NUM
hasło	passwort	hasło	passworen	N;NOM;NEUT;SG	N
hasło	passwörter	hasło	passwört	N;NOM;NEUT;SG	N
zadebiutował	debütierte	zadebiutować	debütieren	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
kluby	diskotheken	klub	diskotheken	N;NOM;MASC;PL	N;NOM;PL
domu	heimat	dom	heimat	N;GEN;MASC;SG	N;FEM;SG
ostatecznie	schließlich	ostatecznie	schließlich	ADV	ADV
ostatecznie	irgendwann	ostatecznie	irgendwann	ADV	ADV
ostatecznie	letztlich	ostatecznie	letztlich	ADV	ADV
stan	staat	stan	staaen	N;NOM;MASC;SG	N
przeciwko	gegen	przeciwko	gegen	ADP	ADP
północnej	nord	północny	nord	ADJ;GEN;FEM;SG	ADJ
północnej	nordeuropa	północny	nordeuropa	ADJ;GEN;FEM;SG	ADJ
powierzchnia	fläche	powierzchnia	fläche	N;NOM;FEM;SG	N;NOM;FEM;SG
powierzchnia	fläche	powierzchnia	fläche	N;NOM;FEM;SG	N;NOM;FEM;SG
wersja	version	wersja	version	N;NOM;FEM;SG	N;NOM;FEM;SG
hasła	passwort	hasło	passworen	N;NOM;NEUT;SG	N
hasła	passwörter	hasło	passwört	N;NOM;NEUT;SG	N
hasła	passwörter	hasło	passwört	N;NOM;NEUT;SG	N
prawo	gesetz	prawo	gesetz	N;NOM;NEUT;SG	N;NOM;NEUT;SG
okres	periode	okres	periode	N;NOM;MASC;SG	N;SG
wyniki	ergebnisse	wynik	ergebnis	N;NOM;MASC;PL	N;NOM;NEUT;PL
wyniki	punktzahl	wynik	punktzahl	N;NOM;MASC;PL	N
żołnierzy	soldaten	żołnierz	soldat	N;ACC;MASC;PL	N;PL
żołnierzy	soldaten	żołnierz	soldat	N;ACC;MASC;PL	N;PL
walki	bekämpfung	walka	bekämpfung	N;ACC;FEM;SG	N;SG
walki	kampf	walka	kampfen	N;ACC;FEM;SG	N;SG
jednostki	einheiten	jednostka	einheit	N;NOM;FEM;PL	N;PL
albumu	album	album	album		
obszar	fläche	obszar	fläche	N;NOM;MASC;SG	N;NOM;FEM;SG
warunki	geschäftsbedingungen	warunki	geschäftsbedingung	N;NOM;NEUT;PL	N;NOM;FEM;PL
warunki	geschäftsbedingungen	warunki	geschäftsbedingung	N;NOM;NEUT;PL	N;NOM;FEM;PL
prawdopodobnie	wohl	prawdopodobnie	wohl	ADV	ADV
prawdopodobnie	möglicherweise	prawdopodobnie	möglicherweise	ADV	ADV
prawdopodobnie	eventuell	prawdopodobnie	eventuell	ADV	ADV
dzień	tag	dzień	tagen	N;NOM;MASC;SG	N;NOM;MASC;SG
dzień	tages	dzień	tagen	N;NOM;MASC;SG	N;NOM;MASC;SG
listy	verzeichnis	list	verzeichnis		
listy	briefe	list	brufen		
wschód	ost	wschód	ost	N;NOM;MASC;SG	N;NOM;NEUT
wschód	ost	wschód	ost	N;NOM;MASC;SG	N;NOM;NEUT
główne	wichtigste	główny	wichtig	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
wschodniej	osteuropa	wschodni	osteuropa	ADJ;GEN;FEM;SG	ADJ
pułk	regiment	pułka	regiment	N;NOM;MASC;SG	N;NOM;NEUT;SG
muzyka	musik	muzyka	musik	N;NOM;FEM;SG	N;NOM;FEM;SG
powstania	aufstände	powstanie	aufständen		
prace	kunstwerke	praca	kunstwerk	N;NOM;FEM;PL	N;NOM;PL
prace	bauleistungen	praca	bauleistung	N;NOM;FEM;PL	N;NOM;FEM;PL
prace	werke	praca	werk	N;NOM;FEM;PL	N;NOM;NEUT;PL
kolei	eisenbahn	kolej	eisenbehnen		
kolei	eisenbahn	kolej	eisenbehnen		
francuski	französisch	francuski	französisch	ADJ;NOM;MASC;SG	ADJ
francuski	franzosen	francuski	franzosen	ADJ;NOM;MASC;SG	ADJ
złoty	golden	złoty	golden		
złoty	gold	złoty	gold		
gol	ziel	gol	ziel	N;NOM;MASC;SG	N;NOM;NEUT;SG
jednocześnie	zugleich	jednocześnie	zugleich	ADV	ADV
podobnie	ebenso	podobnie	ebenso	ADV	ADV
podobnie	ebenfalls	podobnie	ebenfalls	ADV	ADV
podobnie	gleichfalls	podobnie	gleichfalls	ADV	ADV
nagroda	auszeichnung	nagroda	auszeichnung	N;NOM;FEM;SG	N;NOM;FEM;SG
stał	stand	stać	stehen	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
sił	kräfte	siła	krafen	N;GEN;FEM;PL	N
szkoła	schule	szkoła	schule	N;NOM;FEM;SG	N;NOM;FEM;SG
mapa	karte	mapa	kart		
mapa	lageplan	mapa	lageplan		
raport	bericht	raport	berechen	N;NOM;MASC;SG	N
ani	weder	ani	weder	CONJ	CONJ
dowódca	kommandeur	dowódca	kommandeur	N;NOM;MASC;SG	N;SG
powstał	angestiegen	powstać	ansteigen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
powstał	gestiegen	powstać	steigen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
tutaj	hierher	tutaj	hierher	ADV	ADV
tutaj	hier	tutaj	hier	ADV	ADV
komitetu	ausschuss	komitet	ausschassen	N;GEN;MASC;SG	N
komitetu	ausschuß	komitet	ausscheßen	N;GEN;MASC;SG	N;SG
podział	teilen	podziać	teilen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;NFIN
podział	aufteilen	podziać	aufteilen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;NFIN
podział	geteilt	podziać	teilen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
xviii	xviii	Fviii	xviii		
siły	kräfte	siła	krafen	N;ACC;FEM;SG	N
siły	kräfte	siła	krafen	N;ACC;FEM;SG	N
grał	spielte	grać	spielen	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
grał	gespielt	grać	spielen	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
grał	abgespielt	grać	abspielen	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
typ	type	typ	type		
typ	typ	typ	typ		
wiki	wiki	wik	wiki		
mistrzostwo	meisterschaft	mistrzostwo	meisterschaft	N;NOM;NEUT;SG	N;NOM;FEM;SG
książę	prinz	książę	prinz	N;NOM;MASC;SG	N;NOM;MASC;SG
mistrz	meister	mistrz	meist	N;NOM;MASC;SG	N;NOM;MASC;SG
mistrz	meister	mistrz	meist	N;NOM;MASC;SG	N;NOM;MASC;SG
ego	egos	on	egos		
ego	ego	on	ego		
wielki	groß	wielki	groß	ADJ;NOM;MASC;SG	ADJ
wielki	großes	wielki	groß	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
liście	laub	liść	laub		
rzeki	fluß	rzeka	flaß		
gen	gene	gen	gen		
gen	gen	gen	gen		
gen	gens	gen	gens		
gen	gen	gen	gen		
hrabstwo	landkreis	hrabstwo	landkreis	N;NOM;NEUT;SG	N
istnieje	existieren	istnieć	existieren	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
istnieje	existiert	istnieć	existieren	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
przeszedł	weitergegeben	przejść	weitergeben	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
przeszedł	bestanden	przejść	bestehen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
przeszedł	vergangen	przejść	vergehen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
przeszedł	übergeben	przejść	übergeben	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
dom	haus	dom	haus	N;NOM;MASC;SG	N;NOM;NEUT;SG
dom	heimat	dom	heimat	N;NOM;MASC;SG	N;FEM;SG
dom	haus	dom	haus	N;NOM;MASC;SG	N;NOM;NEUT;SG
port	seehafen	port	seehafen		
port	hafen	port	hafen		
zdjęcia	bilder	zdjęcie	Bild	N;NOM;NEUT;PL	N;NOM;NEUT;PL
zdjęcia	bilder	zdjęcie	Bild	N;NOM;NEUT;PL	N;NOM;NEUT;PL
zdjęcia	bilder	zdjęcie	Bild	N;NOM;NEUT;PL	N;NOM;NEUT;PL
dyskusji	diskussion	dyskusja	diskussion	N;GEN;FEM;SG	N
dyskusji	diskussion	dyskusja	diskussion	N;GEN;FEM;SG	N
najlepszy	besten	dobry	gut	ADJ;NOM;CMPR;MASC;SG	ADJ
najlepszy	schönste	dobry	schön	ADJ;NOM;CMPR;MASC;SG	ADJ;NOM;FEM;SG
najlepszy	bestes	dobry	gut	ADJ;NOM;CMPR;MASC;SG	ADJ;NOM;NEUT;SG
dane	daten	dana	daten	N;NOM;FEM;PL	N;NOM;NEUT;PL
dziś	heute	dziś	heute	ADV	ADV
związek	beziehung	związek	Beziehung	N;NOM;MASC;SG	N;SG
grand	riesen	grand	riesen		
grand	grand	grand	grand		
brązowy	braun	brązowy	braun	ADJ;NOM;MASC;SG	ADJ
brązowy	dunkelbraun	brązowy	dunkelbraun	ADJ;NOM;MASC;SG	ADJ
rząd	staat	rząd	staaen	N;NOM;MASC;SG	N
ostatni	letzte	ostatni	letzt	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
ostatni	letzter	ostatni	letzt	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
ostatni	letztes	ostatni	letzt	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
bieg	ausrüstung	bieg	ausrüstung	N;NOM;MASC;SG	N;NOM;FEM;SG
zawiera	enthalten	zawierać	enthalten	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
zawiera	enthält	zawierać	enthalten	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
zawiera	enthält	zawierać	enthalten	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
zawiera	beinhaltet	zawierać	beinhalten	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
zawiera	eingeschlossen	zawierać	einschließen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
zawiera	umfasst	zawierać	umfassen	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
zawiera	enthält	zawierać	enthalten	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
zawiera	beinhaltet	zawierać	beinhalten	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
linia	linie	linia	linie	N;NOM;FEM;SG	N
linia	strecke	linia	strecken	N;NOM;FEM;SG	N;SG
najczęściej	meist	często	meist	ADV;RL	ADV
najczęściej	meistens	często	meistens	ADV;RL	ADV
najczęściej	meist	często	meist	ADV;RL	ADV
najczęściej	größtenteils	często	größtenteils	ADV;RL	ADV
rzecz	ding	rzecz	ding		
imię	name	imię	Name	N;NOM;NEUT;SG	N;NOM;SG
łodzi	segelboot	łódź	segelboot		
rodzina	familie	rodzina	familie	N;NOM;FEM;SG	N;NOM;FEM;SG
ojciec	vater	ojciec	vater	N;NOM;MASC;SG	N;NOM;MASC;SG
postać	form	postać	form	N;NOM;FEM;SG	N;SG
czterech	vier	cztery	vier	NUM;ACC;MASC;PL	NUM
góry	gebirge	góra	gebirge	N;NOM;FEM;PL	N
góry	gebirge	góra	gebirge	N;NOM;FEM;PL	N
występy	aufführungen	występ	aufführingen	N;NOM;MASC;PL	N;NOM;FEM;PL
artykułów	satzung	artykuł	satzung	N;GEN;MASC;PL	N
punkty	punkten	punkt	punken	N;NOM;MASC;PL	N;NOM;MASC;PL
punkty	punkte	punkt	punken	N;NOM;MASC;PL	N;NOM;MASC;PL
słowo	wortes	słowo	wort	N;NOM;NEUT;SG	N;NOM;NEUT;SG
słowo	wort	słowo	wort	N;NOM;NEUT;SG	N;NOM;NEUT;SG
urząd	geschäftsstelle	urząd	geschäftsstelle	N;NOM;MASC;SG	N;NOM;FEM;SG
urząd	amt	urząd	amt	N;NOM;MASC;SG	N;NOM;NEUT;SG
kategoria	kategorie	kategoria	kategorie	N;NOM;FEM;SG	N;NOM;FEM;SG
srebrny	silber	srebrny	silber		
dostęp	zugang	dostęp	zugang	N;ACC;MASC;SG	N
