und	og	und	og	CONJ	CONJ
diskussion	forhandling	diskussion	forhandling	N	N;INDF;MASC+FEM;SG
diskussion	debat	diskussion	debat	N	N;INDF;MASC+FEM;SG
seine	hans	sein	hans	DET;NOM;FEM;SG	DET;3
seine	dens	sein	dens	DET;NOM;FEM;SG	DET;3
seine	dets	sein	dets	DET;NOM;FEM;SG	DET;3
dieser	dette	dies	denne	PRO;NOM;MASC;SG	PRO;NEUT;SG
dieser	denne	dies	denne	PRO;NOM;MASC;SG	PRO;MASC+FEM;SG
jahr	aars	Jahr	aars	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
jahr	året	Jahr	år	N;NOM;NEUT;SG	N;DEF;NEUT;SG
jahr	år	Jahr	år	N;NOM;NEUT;SG	N;INDF;NEUT;SG
wenn	når	wenn	når	CONJ	CONJ
dann	derefter	dann	derefter	ADV	ADV
dann	så	dann	så	ADV	ADV
zwei	to	zwei	to	NUM	NUM
seiner	hans	sein	hans	DET;NOM;MASC;SG	DET;3
seiner	dens	sein	dens	DET;NOM;MASC;SG	DET;3
seiner	dets	sein	dets	DET;NOM;MASC;SG	DET;3
sowie	og	sowie	og	CONJ	CONJ
hatte	havde	haben	have	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
hatte	haft	haben	have	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
zwischen	mellem	zwischen	mellem	ADP	ADP
team	holdet	team	hold	N;NOM;NEUT;SG	N;DEF;NEUT;SG
team	teamet	team	team	N;NOM;NEUT;SG	N;DEF;NEUT;SG
team	team	team	team	N;NOM;NEUT;SG	N;INDF;NEUT;SG
mehr	mere	mehr	mere	ADV	ADV;CMPR
wieder	igen	wieder	igen	ADV	ADV
wieder	tilbage	wieder	tilbage	ADV	ADV
schon	allerede	schon	allerede	ADV	ADV
haben	har	haben	have	V;IND;PL;3;FIN	V;IND;PRS;FIN;ACT
haben	have	haben	have	V;IND;PL;3;FIN	V;NFIN;ACT
gibt	indrømmer	geben	indrømme	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gibt	returnerer	geben	returnere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gibt	giver	geben	give	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
deutscher	tysk	deutsch	tysk	ADJ	ADJ;INDF;SG
deutscher	tyske	deutsch	tysk	ADJ	ADJ;PL
ersten	første	erst	første	ADJ;NOM;PL	ADJ
jedoch	dog	jedoch	dog	ADV	ADV
jedoch	dog	jedoch	dog	ADV	ADV
jedoch	imidlertid	jedoch	imidlertid	ADV	ADV
dort	der	dort	der	ADV	ADV
siehe	se	sehen	se	V;IMP;SG;FIN	V;NFIN;ACT
drei	tre	drei	tre	NUM	NUM
etwa	omkring	etwa	omkring	ADV	ADV
deutschen	tysk	deutsch	tysk	ADJ	ADJ;INDF;SG
deutschen	tyske	deutsch	tysk	ADJ	ADJ;PL
heute	idag	heute	idag	ADV	ADV
während	mens	während	mens	CONJ	CONJ
ihre	deres	ihr	deres	DET;NOM;FEM;SG	DET;3
ihre	dens	ihr	dens	DET;NOM;FEM;SG	DET;3
ihre	dets	ihr	dets	DET;NOM;FEM;SG	DET;3
ihre	din	ihr	din	DET;NOM;FEM;SG	DET;MASC+FEM;SG;2
ihre	hendes	ihr	hendes	DET;NOM;FEM;SG	DET;3
ihre	din	ihr	din	DET;NOM;FEM;SG	DET;MASC+FEM;SG;2
ihre	jeres	ihr	jeres	DET;NOM;FEM;SG	DET;1
bereits	allerede	bereits	allerede	ADV	ADV
seinen	hans	sein	hans	DET;ACC;MASC;SG	DET;3
ihr	du	ihr	du	PRO;NOM;MASC;SG	PRO;NOM;MASC+FEM;SG;2
gemeinde	parish	gemeinde	parish	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
gemeinde	sogn	gemeinde	sogn	N;NOM;FEM;SG	N;INDF;NEUT;SG
gemeinde	kommune	gemeinde	kommune	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
gemeinde	kommunen	gemeinde	kommune	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
gemeinde	fællesskabet	gemeinde	fællesskab	N;NOM;FEM;SG	N;DEF;NEUT;SG
gemeinde	fællesskab	gemeinde	fællesskab	N;NOM;FEM;SG	N;INDF;NEUT;SG
gemeinde	kommune	gemeinde	kommune	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
seinem	hans	sein	hans	DET;DAT;MASC;SG	DET;3
erste	første	erst	første	ADJ;NOM;FEM;PL	ADJ
ende	slutning	ende	slutning	N;ACC;NEUT;SG	N;INDF;MASC+FEM;SG
ende	afslutning	ende	afslutning	N;ACC;NEUT;SG	N;INDF;MASC+FEM;SG
ende	slut	ende	slut	N;ACC;NEUT;SG	N
ende	ende	ende	ende	N;ACC;NEUT;SG	N;INDF;MASC+FEM;SG
ende	ophør	ende	ophør	N;ACC;NEUT;SG	N;INDF;NEUT;SG
ende	slutning	ende	slutning	N;ACC;NEUT;SG	N;INDF;MASC+FEM;SG
deutsche	tyske	deutsch	tysk	ADJ;NOM;FEM;PL	ADJ;PL
doch	endnu	doch	endnu	ADV	ADV
doch	alligevel	doch	alligevel	ADV	ADV
immer	altid	immer	altid	ADV	ADV
ihn	ham	er	han	PRO;ACC;MASC;SG;3	PRO;ACC;MASC+FEM;SG;3
weitere	flere	weit	mange	ADJ;NOM;FEM;PL	ADJ;CMPR;PL
verlag	forlægger	verliegen	forlægge	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
verlag	forlag	verliegen	forlag	N;NOM;MASC;SG	N;INDF;NEUT;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	N;INDF;NEUT;SG
verlag	forlag	verliegen	forlag	N;NOM;MASC;SG	N;INDF;NEUT;SG
ihrer	deres	ihr	deres	DET;NOM;MASC;SG	DET;3
ihrer	din	ihr	din	DET;NOM;MASC;SG	DET;MASC+FEM;SG;2
ihrer	din	ihr	din	DET;NOM;MASC;SG	DET;MASC+FEM;SG;2
ihrer	jeres	ihr	jeres	DET;NOM;MASC;SG	DET;1
steht	står	stehen	stå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
liste	liste	lassen	liste	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
liste	list	lassen	list	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
liste	notering	lassen	notering	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
kam	kom	kommen	komme	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
vier	fire	vier	fire	NUM	NUM
seite	side	seit	side	N	N;INDF;MASC+FEM;SG
seite	side	seit	side	N	N;INDF;MASC+FEM;SG
seite	site	seit	site	N	N;INDF;NEUT;SG
soll	bør	sollen	burde	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gab	gav	geben	give	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
etwas	lidt	etwas	lidt	ADV	ADV
zusammen	sammen	zusammen	sammen	ADV	ADV
allerdings	dog	allerdings	dog	ADV	ADV
allerdings	dog	allerdings	dog	ADV	ADV
allerdings	imidlertid	allerdings	imidlertid	ADV	ADV
neue	nye	neu	ny	ADJ;NOM;FEM;PL	ADJ;PL
nun	nu	nun	nu	ADV	ADV
leben	leve	leben	leve	V;NFIN	V;NFIN;ACT
leben	bor	leben	bo	V;NFIN	V;IND;PRS;FIN;ACT
leben	leve	leben	leve	V;NFIN	V;NFIN;ACT
weil	fordi	weil	fordi	CONJ	CONJ
relevanz	relevant	relevanz	relevant	ADJ	ADJ;INDF;SG
einige	nogle	einige	nogen	PRO;NOM;INDF;PL	PRO;PL
viele	mange	viel	mange	ADJ;NOM;INDF;PL	ADJ;PL
ebenfalls	også	ebenfalls	også	ADV	ADV
ebenfalls	også	ebenfalls	også	ADV	ADV
ebenfalls	ligeledes	ebenfalls	ligeledes	ADV	ADV
löschen	ryd	löschen	ryd	V;NFIN	V;IMP
löschen	sletter	löschen	slette	V;NFIN	V;IND;PRS;FIN;ACT
löschen	slette	löschen	slette	V;NFIN	V;NFIN;ACT
löschen	slette	löschen	slette	V;NFIN	V;NFIN;ACT
erhielt	modtages	erhalten	modtage	V;IND;SG;3;PST;FIN	V;NFIN;PASS
erhielt	modtog	erhalten	modtage	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
erhielt	modtaget	erhalten	modtage	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
bekannt	kendt	bekennen	kendt	ADJ	ADJ;INDF;SG
zurück	tilbage	zurück	tilbage	ADV	ADV
ort	mødested	ort	mødested	N;NOM;MASC;SG	N;INDF;NEUT;SG
ort	stedet	ort	sted	N;NOM;MASC;SG	N;DEF;NEUT;SG
ort	sted	ort	sted	N;NOM;MASC;SG	N;INDF;NEUT;SG
ort	plads	ort	plads	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
ort	lokalisering	ort	lokalisering	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
ort	beliggenhed	ort	beliggenhed	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
ort	sted	ort	sted	N;NOM;MASC;SG	N;INDF;NEUT;SG
ort	placering	ort	placering	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
ort	lokation	ort	lokation	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
allem	alting	alle	alting	PRO;DAT;INDF;NEUT;SG	PRO;NEUT;SG
geht	går	gehen	gå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
geht	goes	gehen	gov	V;IND;SG;3;PRS;FIN	V;NFIN;PASS
jetzt	nu	jetzt	nu	ADV	ADV
wohl	formentlig	wohl	formentlig	ADV	ADV
wohl	sikkert	wohl	sikkert	ADV	ADV
wohl	formodentlig	wohl	formodentlig	ADV	ADV
wohl	sandsynligvis	wohl	sandsynligvis	ADV	ADV
ihren	deres	ihr	deres	DET;ACC;MASC;SG	DET;3
saison	sæsonbestemt	saison	sæsonbestemt	N;NOM;FEM;SG	N;INDF;NEUT;SG
saison	årstid	saison	årstid	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
saison	sæsonen	saison	sæson	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
saison	sæson	saison	sæson	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
neuen	ny	neu	ny	ADJ;ACC;MASC;SG	ADJ;INDF;MASC+FEM;SG
neuen	nyt	neu	ny	ADJ;ACC;MASC;SG	ADJ;INDF;NEUT;SG
art	type	art	type	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
stand	stod	stehen	stå	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
stand	stået	stehen	stå	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
stand	stå	stehen	stå	V;IND;SG;3;PST;FIN	V;NFIN;ACT
personen	personer	Person	person	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
personen	privatpersoner	Person	privatperson	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
personen	enkeltpersoner	Person	enkeltperson	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
personen	individer	Person	individ	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
personen	mennesker	Person	menneske	N;NOM;FEM;PL	N;INDF;NEUT;PL
personen	personer	Person	person	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
personen	folk	Person	folk	N;NOM;FEM;PL	N;INDF;NEUT;PL
gut	fine	gut	fin	ADJ	ADJ;PL
gut	fint	gut	fin	ADJ	ADJ;INDF;NEUT;SG
gut	god	gut	god	ADJ	ADJ;INDF;MASC+FEM;SG
gut	gode	gut	god	ADJ	ADJ;PL
daher	derfor	daher	derfor	ADV	ADV
daher	deraf	daher	deraf	ADV	ADV
daher	således	daher	således	ADV	ADV
daher	dermed	daher	dermed	ADV	ADV
daher	derfor	daher	derfor	ADV	ADV
familie	familien	familie	familie	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
familie	familie	familie	familie	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
weiter	yderligere	weiter	yderligere	ADV	ADV;CMPR
weiter	videre	weiter	videre	ADV	ADV
weiter	fortsat	weiter	fortsat	ADV	ADV
weiter	fortsat	weiter	fortsat	ADV	ADV
name	betegnelse	Name	betegnelse	N;NOM;SG	N;INDF;MASC+FEM;SG
name	navn	Name	navn	N;NOM;SG	N;INDF;NEUT;SG
behalten	beholder	behalten	beholde	V;NFIN	V;IND;PRS;FIN;ACT
behalten	opbevaret	behalten	opbevar	V;NFIN	V;INDF;SG;PST;V.PTCP
behalten	beholdt	behalten	beholde	V;NFIN	V;IND;PST;FIN;ACT
behalten	bevarede	behalten	bevare	V;NFIN	V;PL;PST;V.PTCP
behalten	bibeholdt	behalten	bibeholde	V;NFIN	V;INDF;SG;PST;V.PTCP
behalten	bevar	behalten	bevare	V;NFIN	V;IMP
sohn	søn	sohnen	søn	N;NOM;MASC;SG	N;INDF;MASC+FEM;SG
außerdem	også	außerdem	også	ADV	ADV
außerdem	udover	außerdem	udover	ADV	ADV
großen	store	groß	stor	ADJ;PL	ADJ;PL
großen	store	groß	stor	ADJ;PL	ADJ;PL
gehört	hørte	gehören	høre	V;V.PTCP	V;IND;PST;FIN;ACT
gehört	hørt	gehören	høre	V;V.PTCP	V;INDF;SG;PST;V.PTCP
gehört	lyttet	gehören	lytte	V;V.PTCP	V;INDF;SG;PST;V.PTCP
gehört	lyttede	gehören	lytte	V;V.PTCP	V;IND;PST;FIN;ACT
gehört	ejes	gehören	eje	V;V.PTCP	V;IND;PRS;FIN;PASS
gehört	ejede	gehören	eje	V;V.PTCP	V;IND;PST;FIN;ACT
gehört	ejet	gehören	eje	V;V.PTCP	V;INDF;SG;PST;V.PTCP
nichts	intet	nichts	ingen	PRO;INDF	PRO;NEUT;SG
bezeichnet	udpegede	bezeichnen	udpege	V;V.PTCP	V;IND;PST;FIN;ACT
bezeichnet	udpeget	bezeichnen	udpege	V;V.PTCP	V;INDF;SG;PST;V.PTCP
bezeichnet	betegner	bezeichnen	betegne	V;V.PTCP	V;IND;PRS;FIN;ACT
bezeichnet	udpeger	bezeichnen	udpege	V;V.PTCP	V;IND;PRS;FIN;ACT
bezeichnet	betegner	bezeichnen	betegne	V;V.PTCP	V;IND;PRS;FIN;ACT
gelöscht	slettede	löschen	slette	V;V.PTCP	V;PL;PST;V.PTCP
gelöscht	udgået	löschen	udgå	V;V.PTCP	V;INDF;SG;PST;V.PTCP
gelöscht	udgår	löschen	udgå	V;V.PTCP	V;IND;PRS;FIN;ACT
gelöscht	slettet	löschen	slette	V;V.PTCP	V;INDF;SG;PST;V.PTCP
große	store	groß	stor	ADJ;NOM;FEM;PL	ADJ;PL
große	store	groß	stor	ADJ;NOM;FEM;PL	ADJ;PL
kommt	ankommer	kommen	ankomme	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
kommt	kommer	kommen	komme	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
kommt	kommer	kommen	komme	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
menschen	mennesker	menschen	menneske	N;NOM;PL	N;INDF;NEUT;PL
menschen	mennesker	menschen	menneske	N;NOM;PL	N;INDF;NEUT;PL
menschen	personer	menschen	person	N;NOM;PL	N;INDF;MASC+FEM;PL
menschen	folk	menschen	folk	N;NOM;PL	N;INDF;NEUT;PL
begann	startet	beginnen	starte	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
begann	påbegyndt	beginnen	påbegynde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
begann	begyndte	beginnen	begynde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	begyndt	beginnen	begynde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
begann	startede	beginnen	starte	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	begyndte	beginnen	begynde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	påbegyndt	beginnen	påbegynde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
begann	påbegyndte	beginnen	påbegynde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
begann	begyndt	beginnen	begynde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
begann	påbegyndt	beginnen	påbegynde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
englisch	engelske	englisch	engelsk	ADJ	ADJ;PL
englisch	engelsk	englisch	engelsk	ADJ	ADJ;INDF;SG
danach	derefter	danach	derefter	ADV	ADV
danach	så	danach	så	ADV	ADV
danach	efter	danach	efter	ADV	ADV
danach	bagefter	danach	bagefter	ADV	ADV
danach	bagefter	danach	bagefter	ADV	ADV
fünf	fem	fünf	fem	NUM	NUM
könig	konge	könig	konge	N;NOM;SG	N;INDF;MASC+FEM;SG
könig	kongen	könig	konge	N;NOM;SG	N;DEF;MASC+FEM;SG
könig	könig	könig	könig	N;NOM;SG	N;INDF;MASC+FEM;SG
besteht	består	bestehen	bestå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
besteht	insisterer	bestehen	insistere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
form	mug	form	mug	N;SG	N;INDF;MASC+FEM;SG
form	formen	form	formen	N;SG	N;DEF;MASC+FEM;SG
form	form	form	form	N;SG	N;INDF;MASC+FEM;SG
form	mug	form	mug	N;SG	N;INDF;MASC+FEM;SG
form	formular	form	formular	N;SG	N;INDF;MASC+FEM;SG
form	blanket	form	blanke	N;SG	N;INDF;NEUT;SG
form	form	form	form	N;SG	N;INDF;MASC+FEM;SG
form	formen	form	formen	N;SG	N;DEF;MASC+FEM;SG
schloss	låse	schließen	låse	V;SG	V;NFIN;ACT
gruppe	gruppe	grappe	gruppe	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
gruppe	group	grappe	group	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
gruppe	gruppen	grappe	gruppe	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
finden	finde	finden	finde	V;NFIN	V;NFIN;ACT
finden	finder	finden	finde	V;NFIN	V;IND;PRS;FIN;ACT
finden	lokalisere	finden	lokalisere	V;NFIN	V;NFIN;ACT
finden	find	finden	find	V;NFIN	V;IMP
finden	finde	finden	finde	V;NFIN	V;NFIN;ACT
finden	find	finden	find	V;NFIN	V;IMP
finden	finder	finden	finde	V;NFIN	V;IND;PRS;FIN;ACT
finden	finder	finden	finde	V;NFIN	V;IND;PRS;FIN;ACT
genannt	opkaldt	nennen	opkalde	V;V.PTCP	V;INDF;SG;PST;V.PTCP
genannt	navngivet	nennen	navngivet	V;V.PTCP	V;INDF;SG;PST;V.PTCP
genannt	kaldt	nennen	kalde	V;V.PTCP	V;INDF;SG;PST;V.PTCP
genannt	ringet	nennen	ringe	V;V.PTCP	V;INDF;SG;PST;V.PTCP
genannt	kaldet	nennen	kalde	V;V.PTCP	V;INDF;SG;PST;V.PTCP
genannt	ringede	nennen	ringe	V;V.PTCP	V;IND;PST;FIN;ACT
genannt	kaldte	nennen	kalde	V;V.PTCP	V;IND;PST;FIN;ACT
nahm	tog	nehmen	tage	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
letzten	sidste	letzt	sidste	ADJ;PL	ADJ
spielte	spillet	spielen	spille	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
spielte	afspillet	spielen	afspil	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
spielte	spillede	spielen	spille	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
neu	ny	neu	ny	ADJ	ADJ;INDF;MASC+FEM;SG
neu	nyt	neu	ny	ADJ	ADJ;INDF;NEUT;SG
neu	nye	neu	ny	ADJ	ADJ;PL
ging	gik	gehen	gå	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
ging	gik	gehen	gå	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
machen	lav	machen	lav	V;NFIN	V;IMP
machen	foretag	machen	foretag	V;NFIN	V;IMP
machen	lave	machen	lave	V;NFIN	V;NFIN;ACT
gewann	vandt	gewinnen	vinde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
gewann	vundet	gewinnen	vinde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
recht	rigtigt	recht	rigtigt	ADV	ADV
zwar	selvom	zwar	selvom	ADV	ADV
insgesamt	generelt	insgesamt	generel	ADV	ADV
gehörte	tilhørt	gehören	tilhøre	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
gehörte	tilhørte	gehören	tilhøre	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
eher	snarere	eher	snarere	ADV	ADV
kurz	kort	kurz	kort	ADJ	ADJ;INDF;SG
kurz	korte	kurz	kort	ADJ	ADJ;PL
kurz	kortfattede	kurz	kortfattet	ADJ	ADJ;PL
kurz	kortfattet	kurz	kortfattet	ADJ	ADJ;INDF;SG
unternehmen	virksomheder	unternehmen	virksomhed	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
unternehmen	selskaber	unternehmen	selskab	N;NOM;NEUT;PL	N;INDF;NEUT;PL
unternehmen	virksomheder	unternehmen	virksomhed	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
unternehmen	firmaer	unternehmen	firma	N;NOM;NEUT;PL	N;INDF;NEUT;PL
unternehmen	forretninger	unternehmen	forretning	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
unternehmen	foretagender	unternehmen	foretagende	N;NOM;NEUT;PL	N;INDF;NEUT;PL
unternehmen	virksomhederne	unternehmen	virksomhed	N;NOM;NEUT;PL	N;DEF;MASC+FEM;PL
unternehmen	virksomheder	unternehmen	virksomhed	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
verwendet	brugte	verwenden	bruge	V;V.PTCP	V;IND;PST;FIN;ACT
verwendet	anvendt	verwenden	anvende	V;V.PTCP	V;INDF;SG;PST;V.PTCP
verwendet	brugt	verwenden	bruge	V;V.PTCP	V;INDF;SG;PST;V.PTCP
verwendet	udnyttet	verwenden	udnytte	V;V.PTCP	V;INDF;SG;PST;V.PTCP
verwendet	udnyttede	verwenden	udnytte	V;V.PTCP	V;IND;PST;FIN;ACT
verwendet	udnyttet	verwenden	udnytte	V;V.PTCP	V;INDF;SG;PST;V.PTCP
rund	rundt	rund	rundt	ADV	ADV
rund	omkring	rund	omkring	ADV	ADV
einfach	simpelthen	einfach	simpelthen	ADV	ADV
einfach	bare	einfach	bare	ADV	ADV
schließlich	endeligt	schließlich	endelig	ADV	ADV
schließlich	endelig	schließlich	endelig	ADV	ADV
frau	kvinden	frau	kvinde	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
frau	kvinde	frau	kvinde	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
frau	konen	frau	kone	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
frau	kone	frau	kone	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
frau	hustru	frau	hustru	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
lassen	lader	lassen	lade	V;NFIN	V;IND;PRS;FIN;ACT
fast	næsten	fast	næsten	ADV	ADV
fast	næsten	fast	næsten	ADV	ADV
hatten	havde	haben	have	V;IND;PL;3;PST;FIN	V;IND;PST;FIN;ACT
trat	trådte	treten	træde	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
trat	sparkede	treten	sparke	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
arbeit	arbejde	arbeit	arbejde	N;NOM;FEM;SG	N;INDF;NEUT;SG
arbeit	arbejdet	arbeit	arbejde	N;NOM;FEM;SG	N;DEF;NEUT;SG
arbeit	arbejderpartiet	arbeit	arbejderparti	N;NOM;FEM;SG	N;DEF;NEUT;SG
arbeit	arbejdskraft	arbeit	arbejdskraft	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
vielleicht	måske	vielleicht	måske	ADV	ADV
vielleicht	måske	vielleicht	måske	ADV	ADV
alles	alting	alle	alting	PRO;NOM;INDF;NEUT;SG	PRO;NEUT;SG
oft	hyppigt	oft	hyppigt	ADV	ADV
oft	tit	oft	tit	ADV	ADV
oft	ofte	oft	ofte	ADV	ADV
oft	tit	oft	tit	ADV	ADV
oft	ofte	oft	ofte	ADV	ADV
oft	hyppigt	oft	hyppigt	ADV	ADV
landkreis	county	landkreis	county	N	N;INDF;MASC+FEM;SG
landkreis	amtet	landkreis	amt	N	N;DEF;NEUT;SG
landkreis	amt	landkreis	amt	N	N;INDF;NEUT;SG
landkreis	amtskommune	landkreis	amtskommun	N	N;INDF;MASC+FEM;SG
landkreis	landkreis	landkreis	landkreis	N	N;INDF;MASC+FEM;SG
landkreis	distriktet	landkreis	distrikte	N	N;DEF;NEUT;SG
landkreis	district	landkreis	district	N	N;INDF;NEUT;SG
landkreis	distrikt	landkreis	distrikt	N	N;INDF;NEUT;SG
führte	førte	führen	føre	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
führte	ført	führen	føre	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
führte	ledt	führen	ledt	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
