kategória	categoría	kategória	categoría	N;NOM;FEM;SG	N
iné	outras	iný	outro	DET;NOM;NEUT;SG	DET
iné	outros	iný	outro	DET;NOM;NEUT;SG	DET
iné	demais	iný	demais	DET;NOM;NEUT;SG	DET
iné	outras	iný	outro	DET;NOM;NEUT;SG	DET
počet	número	počet	número	N;INAN;NOM;MASC;SG	N
boli	eran	byť	ser	V;IPFV;MASC;PL;POS;PST;V.PTCP	V
boli	foron	byť	ser	V;IPFV;MASC;PL;POS;PST;V.PTCP	V
podľa	de	podľa	de	ADP;GEN	ADP
podľa	por	podľa	por	ADP;GEN	ADP
podľa	baixo	podľa	baixo	ADP;GEN	ADP
podľa	de	podľa	de	ADP;GEN	ADP
miesto	lugar	miesto	lugar	N;NOM;NEUT;SG	N
miesto	momento	miesto	momento	N;NOM;NEUT;SG	N
miesto	punto	miesto	punto	N;NOM;NEUT;SG	N
miesto	lugar	miesto	lugar	N;NOM;NEUT;SG	N
miesto	casa	miesto	casa	N;NOM;NEUT;SG	N
miesto	sitio	miesto	sitio	N;NOM;NEUT;SG	N
miesto	zona	miesto	zona	N;NOM;NEUT;SG	N
miesto	lugar	miesto	lugar	N;NOM;NEUT;SG	N
bolo	foi	byť	ser	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V
jej	ela	ona	el	PRO;DAT;FEM;SG;3	PRO
ich	eles	on	el	PRO;NOM;MASC;PL;3	PRO
medzi	entre	medzi	entre	ADP;INS	ADP
projekty	proxectos	projekt	proxecto	N;INAN;NOM;MASC;PL	N
francúzska	franceses	francúzsky	francese	N;NOM;FEM;SG	N
francúzska	francés	francúzsky	francés	N;NOM;FEM;SG	N
francúzska	francia	francúzsky	francia	N;NOM;FEM;SG	N
francúzska	franza	francúzsky	franza	N;NOM;FEM;SG	N
pod	por	pod	por	ADP;INS	ADP
pod	baixo	pod	baixo	ADP;INS	ADP
pod	baixo	pod	baixo	ADP;INS	ADP
pod	de	pod	de	ADP;INS	ADP
pred	de	pred	de	ADP;INS	ADP
vývoj	desenvolvemento	vývoj	desenvolvemento	N;INAN;NOM;MASC;SG	N
vývoj	proxecto	vývoj	proxecto	N;INAN;NOM;MASC;SG	N
vývoj	evolución	vývoj	evolución	N;INAN;NOM;MASC;SG	N
môže	poden	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	pode	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	podo	môcť	podar	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	poden	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	podo	môcť	podar	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	podes	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	podemos	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V
môže	pode	môcť	poder	V;IPFV;IND;SG;3;POS;PRS;FIN	V
nasledujúci	seguintes	nasledujúci	seguinte	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
nasledujúci	seguinte	nasledujúci	seguinte	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
nasledujúci	próxima	nasledujúci	próximo	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
nasledujúci	seguinte	nasledujúci	seguinte	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
nasledujúci	próximo	nasledujúci	próximo	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
zobrazuje	demostra	zobrazovať	demostrar	V;IPFV;IND;SG;3;POS;PRS;FIN	V
keď	se	keď	se	CONJ	CONJ
mesto	cidade	mesto	cidade	N;NOM;NEUT;SG	N
mesto	pobo	mesto	pobo	N;NOM;NEUT;SG	N
mesto	vila	mesto	vila	N;NOM;NEUT;SG	N
mesto	aldea	mesto	aldea	N;NOM;NEUT;SG	N
mesto	cidade	mesto	cidade	N;NOM;NEUT;SG	N
počas	durante	počas	durante	ADP;GEN	ADP
rokov	anos	rok	ano	N;INAN;GEN;MASC;PL	N
nie	non	nie	non	PART	PART
nie	non	nie	non	PART	PART
september	setembro	september	setembro	N;INAN;NOM;MASC;SG	N
úmrtia	morte	úmrtie	morte	N;NOM;NEUT;PL	N
úmrtia	mortes	úmrtie	morte	N;NOM;NEUT;PL	N
neskôr	despois	neskôr	despois	ADV	ADV
neskôr	máis	neskôr	máis	ADV	ADV
neskôr	logo	neskôr	logo	ADV	ADV
storočia	séculos	storočie	século	N;NOM;NEUT;PL	N
storočia	século	storočie	século	N;NOM;NEUT;PL	N
nad	sobre	nad	sobre	ADP;INS	ADP
nad	por	nad	por	ADP;INS	ADP
časti	partes	časť	parte	N;DAT;FEM;SG	N
stránka	zona	stránka	zona	N;NOM;FEM;SG	N
stránka	lugar	stránka	lugar	N;NOM;FEM;SG	N
skupiny	grupo	skupina	grupo	N;NOM;FEM;PL	N
skupiny	dous	skupina	dous	N;NOM;FEM;PL	N
skupiny	grupos	skupina	grupo	N;NOM;FEM;PL	N
roka	ano	rok	ano	N;INAN;GEN;MASC;SG	N
časť	sección	časť	sección	N;NOM;FEM;SG	N
časť	parte	časť	parte	N;NOM;FEM;SG	N
október	outubro	október	outubro	N;INAN;NOM;MASC;SG	N
mesta	cidade	mesto	cidade	N;NOM;NEUT;SG	N
mesta	pobo	mesto	pobo	N;NOM;NEUT;SG	N
mesta	vila	mesto	vila	N;NOM;NEUT;SG	N
mesta	aldea	mesto	aldea	N;NOM;NEUT;SG	N
mesta	cidade	mesto	cidade	N;NOM;NEUT;SG	N
marec	marzo	marec	marzo	N;INAN;NOM;MASC;SG	N
marec	marcha	marec	marcha	N;INAN;NOM;MASC;SG	N
august	agosto	august	agosto	N;INAN;NOM;MASC;SG	N
skupina	grupo	skupina	grupo	N;NOM;FEM;SG	N
veľmi	moi	veľmi	moi	ADV	ADV
potom	logo	potom	logo	ADV	ADV
potom	despois	potom	despois	ADV	ADV
potom	entón	potom	entón	ADV	ADV
potom	daquela	potom	daquela	ADV	ADV
oficiálna	oficial	oficiálny	oficial	ADJ;NOM;FEM;SG	ADJ
narodenia	luz	narodenie	luz	N;NOM;NEUT;PL	N
narodenia	nacemento	narodenie	nacemento	N;NOM;NEUT;PL	N
narodenia	orixe	narodenie	orixe	N;NOM;NEUT;PL	N
tento	esta	tento	este	DET;INAN;NOM;MASC;SG	DET
tento	este	tento	este	DET;INAN;NOM;MASC;SG	DET
osobnosti	personalidade	osobnosť	personalidade	N;NOM;FEM;PL	N
november	novembro	november	novembro	N;INAN;NOM;MASC;SG	N
december	decembro	december	decembro	N;INAN;NOM;MASC;SG	N
stal	foi	stať	ser	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
stal	converteuse	stať	converteuse	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
stal	converteu	stať	converter	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
roky	anos	rok	ano	N;INAN;NOM;MASC;PL	N
oblasti	área	oblasť	área	N;NOM;FEM;PL	N
oblasti	zona	oblasť	zona	N;NOM;FEM;PL	N
oblasti	zonas	oblasť	zona	N;NOM;FEM;PL	N
oblasti	áreas	oblasť	área	N;NOM;FEM;PL	N
január	xaneiro	január	xaneiro	N;INAN;NOM;MASC;SG	N
mal	tiña	mať	ter	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V
mal	tiven	mať	ter	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V
proti	en	proti	en	ADP;DAT	ADP
proti	contra	proti	contra	ADP;DAT	ADP
apríl	abril	aprila	abril	N;INAN;NOM;MASC;SG	N
sveta	mundo	svet	mundo	N;INAN;GEN;MASC;SG	N
bez	sen	bez	sen	ADP;GEN	ADP
február	febreiro	február	febreiro	N;INAN;NOM;MASC;SG	N
mužov	homes	muž	home	N;ANIM;ACC;MASC;PL	N
názov	nome	názov	nome	N;INAN;NOM;MASC;SG	N
názov	título	názov	título	N;INAN;NOM;MASC;SG	N
okolo	por	okolo	por	ADP;GEN	ADP
ešte	non	ešte	non	PART	PART
prvý	primeiro	prvý	primeiro	ADJ;ANIM;NOM;MASC;SG	ADJ
prvý	primeira	prvý	primeiro	ADJ;ANIM;NOM;MASC;SG	ADJ
text	texto	text	texto	N;INAN;NOM;MASC;SG	N
text	mensaxe	text	mensaxe	N;INAN;NOM;MASC;SG	N
text	mensaxes	text	mensaxe	N;INAN;NOM;MASC;SG	N
preto	tanto	preto	tanto	ADV	ADV
preto	daquela	preto	daquela	ADV	ADV
okrem	agás	okrem	agás	ADP;GEN	ADP
bar	pola	bar	pola	N;INAN;NOM;MASC;SG	N
bar	taberna	bar	taberno	N;INAN;NOM;MASC;SG	N
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N
americký	estadounidense	americký	estadounidense	ADJ;ANIM;NOM;MASC;SG	ADJ
americký	americana	americký	americano	ADJ;ANIM;NOM;MASC;SG	ADJ
americký	americano	americký	americano	ADJ;ANIM;NOM;MASC;SG	ADJ
júl	xullo	júl	xullo	N;INAN;NOM;MASC;SG	N
cez	por	cez	por	ADP;ACC	ADP
objavil	descubrimos	objaviť	descubrir	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
objavil	descuberto	objaviť	descuberto	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
objavil	descubriu	objaviť	descubriu	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
objavil	descubrín	objaviť	descubrín	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
ktorých	a	ktorý	o	DET;ANIM;ACC;MASC;PL	DET
vojny	guerra	vojna	guerra	N;NOM;FEM;PL	N
vojny	guerras	vojna	guerra	N;NOM;FEM;PL	N
vojny	guerra	vojna	guerra	N;NOM;FEM;PL	N
rok	ano	rok	ano	N;INAN;NOM;MASC;SG	N
ulica	rúa	ulica	rúa	N;NOM;FEM;SG	N
album	ubicación	album	ubicación	N;INAN;NOM;MASC;SG	N
dátum	cita	dátum	cita	N;INAN;NOM;MASC;SG	N
dátum	día	dátum	día	N;INAN;NOM;MASC;SG	N
dátum	data	dátum	data	N;INAN;NOM;MASC;SG	N
žien	mulleres	žena	muller	N;GEN;FEM;PL	N
tieto	estas	tento	este	DET;NOM;MASC;PL	DET
tieto	estes	tento	este	DET;NOM;MASC;PL	DET
januára	xaneiro	január	xaneiro	N;INAN;GEN;MASC;SG	N
majú	ter	mať	ter	V;IPFV;IND;PL;3;POS;PRS;FIN	V
majú	teñen	mať	ter	V;IPFV;IND;PL;3;POS;PRS;FIN	V
majú	temos	mať	ter	V;IPFV;IND;PL;3;POS;PRS;FIN	V
majú	teño	mať	ter	V;IPFV;IND;PL;3;POS;PRS;FIN	V
toto	esta	toto	este	DET;NOM;NEUT;SG	DET
toto	este	toto	este	DET;NOM;NEUT;SG	DET
všetky	todo	všetok	todo	DET;INAN;NOM;MASC;PL	DET
všetky	todos	všetok	todo	DET;INAN;NOM;MASC;PL	DET
všetky	todas	všetok	todo	DET;INAN;NOM;MASC;PL	DET
francúzsky	franceses	francúzsky	francese	N;ANIM;NOM;MASC;SG	N
francúzsky	francés	francúzsky	francés	N;ANIM;NOM;MASC;SG	N
mestá	vilas	mesto	vila	N;NOM;NEUT;PL	N
mestá	cidades	mesto	cidade	N;NOM;NEUT;PL	N
svoje	seus	svoj	seu	DET;ACC;NEUT;SG;REFL	DET
svoje	súas	svoj	seu	DET;ACC;NEUT;SG;REFL	DET
svoje	seu	svoj	seu	DET;ACC;NEUT;SG;REFL	DET
svoje	o	svoj	o	DET;ACC;NEUT;SG;REFL	DET
svoje	súa	svoj	seu	DET;ACC;NEUT;SG;REFL	DET
svoje	a	svoj	o	DET;ACC;NEUT;SG;REFL	DET
žije	vive	žiť	vivir	V;IPFV;IND;SG;3;POS;PRS;FIN	V
často	moito	často	moito	ADV	ADV
často	acotío	často	acotío	ADV	ADV
niekoľko	varios	niekoľko	varios	DET;NOM;NEUT;SG	DET
niekoľko	varias	niekoľko	varios	DET;NOM;NEUT;SG	DET
dnes	hoxe	dnes	hoxe	ADV	ADV
pretože	porque	pretože	porque	CONJ	CONJ
ani	non	ani	non	PART	PART
ani	non	ani	non	PART	PART
ktorého	a	ktorý	o	DET;ANIM;GEN;MASC;SG	DET
nové	novo	nový	novo	ADJ;NOM;NEUT;SG	ADJ
nové	novas	nový	novo	ADJ;NOM;NEUT;SG	ADJ
nové	nova	nový	novo	ADJ;NOM;NEUT;SG	ADJ
nové	novos	nový	novo	ADJ;NOM;NEUT;SG	ADJ
všetkých	todo	všetok	todo	DET;ANIM;ACC;MASC;PL	DET
všetkých	todos	všetok	todo	DET;ANIM;ACC;MASC;PL	DET
všetkých	todas	všetok	todo	DET;ANIM;ACC;MASC;PL	DET
štátu	estado	štát	estado	N;INAN;GEN;MASC;SG	N
ďalšie	adicional	ďalší	adicional	ADJ;NOM;NEUT;SG	ADJ
ďalšie	próxima	ďalší	próximo	ADJ;NOM;NEUT;SG	ADJ
ďalšie	seguinte	ďalší	seguinte	ADJ;NOM;NEUT;SG	ADJ
ďalšie	próximo	ďalší	próximo	ADJ;NOM;NEUT;SG	ADJ
meno	nome	meno	nome	N;NOM;NEUT;SG	N
mala	tiña	mať	ter	V;IPFV;FEM;SG;POS;PST;V.PTCP	V
mala	tiven	mať	ter	V;IPFV;FEM;SG;POS;PST;V.PTCP	V
približne	aproximadamente	približne	aproximadamente	ADV	ADV
táto	esta	táto	este	DET;NOM;FEM;SG	DET
táto	este	táto	este	DET;NOM;FEM;SG	DET
prvé	primeiro	prvý	primeiro	ADJ;NOM;NEUT;SG	ADJ
prvé	primeira	prvý	primeiro	ADJ;NOM;NEUT;SG	ADJ
tri	3	tri	3	NUM;INAN;NOM;MASC;PL	NUM
nich	eles	on	el	PRO;ANIM;ACC;MASC;PL;3	PRO
začal	comecei	začať	comecer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	comezamos	začať	comezar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	empecei	začať	empecar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	comezou	začať	comezar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	comecei	začať	comecer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	comezaron	začať	comezar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	comezou	začať	comezar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
začal	empezou	začať	empezar	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
film	película	film	película	N;INAN;NOM;MASC;SG	N
film	filme	film	filme	N;INAN;NOM;MASC;SG	N
film	cine	film	cinir	N;INAN;NOM;MASC;SG	N
film	cinema	film	cinema	N;INAN;NOM;MASC;SG	N
film	película	film	película	N;INAN;NOM;MASC;SG	N
film	filme	film	filme	N;INAN;NOM;MASC;SG	N
spoločnosti	empresas	spoločnosť	empresa	N;NOM;FEM;PL	N
spoločnosti	corporacións	spoločnosť	corporación	N;NOM;FEM;PL	N
spoločnosti	empresa	spoločnosť	empresa	N;NOM;FEM;PL	N
spoločnosti	compañía	spoločnosť	compañía	N;NOM;FEM;PL	N
spoločnosti	empresas	spoločnosť	empresa	N;NOM;FEM;PL	N
spoločnosti	compañías	spoločnosť	compañía	N;NOM;FEM;PL	N
peter	pedro	peter	pedro	N;ANIM;NOM;MASC;SG	N
mali	tiña	mať	ter	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V
mali	tiven	mať	ter	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V
patrí	pertence	patriť	pertencer	V;IPFV;IND;SG;3;POS;PRS;FIN	V
strany	páxinas	strana	páxina	N;NOM;FEM;PL	N
strany	festas	strana	festa	N;NOM;FEM;PL	N
strany	partidos	strana	partido	N;NOM;FEM;PL	N
prvá	primeiro	prvý	primeiro	ADJ;NOM;FEM;SG	ADJ
prvá	primeira	prvý	primeiro	ADJ;NOM;FEM;SG	ADJ
nemecký	alemán	nemecký	alemán	ADJ;ANIM;NOM;MASC;SG	ADJ
nemecký	alemana	nemecký	alemanar	ADJ;ANIM;NOM;MASC;SG	ADJ
storočí	séculos	storočie	século	N;NOM;NEUT;SG	N
storočí	século	storočie	século	N;NOM;NEUT;SG	N
hlavne	especialmente	hlavne	especial	ADV	ADV
hlavne	principalmente	hlavne	principal	ADV	ADV
hlavne	maiormente	hlavne	maiormente	ADV	ADV
hlavne	maioritariamente	hlavne	maioritariamente	ADV	ADV
titul	título	tituť	título	N;INAN;NOM;MASC;SG	N
kostol	igrexa	kostol	igrexir	N;INAN;NOM;MASC;SG	N
kostol	á	kostol	á	N;INAN;NOM;MASC;SG	N
týchto	estas	táto	este	DET;ANIM;ACC;MASC;PL	DET
týchto	estes	táto	este	DET;ANIM;ACC;MASC;PL	DET
republiky	república	republika	república	N;NOM;FEM;PL	N
ženy	mulleres	žena	muller	N;NOM;FEM;PL	N
ďalej	máis	ďalej	máis	ADV	ADV
ďalej	lonxe	ďalej	lonxe	ADV	ADV
územia	territorio	územie	territorio	N;NOM;NEUT;PL	N
systém	sistema	systém	sistema	N;INAN;NOM;MASC;SG	N
ide	vou	ísť	var	V;IPFV;IND;SG;3;POS;PRS;FIN	V
ide	vai	ísť	ir	V;IPFV;IND;SG;3;POS;PRS;FIN	V
ide	imos	ísť	ir	V;IPFV;IND;SG;3;POS;PRS;FIN	V
ide	vas	ísť	ir	V;IPFV;IND;SG;3;POS;PRS;FIN	V
ide	vai	ísť	ir	V;IPFV;IND;SG;3;POS;PRS;FIN	V
potok	río	potok	río	N;INAN;NOM;MASC;SG	N
potok	regato	potok	regato	N;INAN;NOM;MASC;SG	N
pôvodne	orixinalmente	pôvodne	orixinal	ADV	ADV
veľkosť	tamaño	veľkosť	tamaño	N;NOM;FEM;SG	N
klub	clube	klub	clubar	N;INAN;NOM;MASC;SG	N
klub	salvavidas	klub	salvavidas	N;INAN;NOM;MASC;SG	N
klub	club	klub	club	N;INAN;NOM;MASC;SG	N
objektov	obxectos	objekt	obxecto	N;INAN;GEN;MASC;PL	N
článok	artigo	článok	artigo	N;INAN;NOM;MASC;SG	N
ľudí	seres	človek	ser	N;ANIM;ACC;MASC;PL	N
ľudí	humáns	človek	humán	N;ANIM;ACC;MASC;PL	N
ľudí	xente	človek	xente	N;ANIM;ACC;MASC;PL	N
ľudí	persoas	človek	persoa	N;ANIM;ACC;MASC;PL	N
ľudí	pobo	človek	pobo	N;ANIM;ACC;MASC;PL	N
územie	territorio	územie	territorio	N;NOM;NEUT;SG	N
možné	posible	možný	posible	ADJ;NOM;NEUT;SG	ADJ
možné	posíbel	možný	posíbel	ADJ;NOM;NEUT;SG	ADJ
zomrel	morreu	zomrieť	morrer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
zomrel	morreron	zomrieť	morrer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
zomrel	morrer	zomrieť	morrer	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V
niektoré	algúns	niektorý	algún	DET;NOM;NEUT;SG	DET
niektoré	algunhas	niektorý	algún	DET;NOM;NEUT;SG	DET
niektoré	un	niektorý	un	DET;NOM;NEUT;SG	DET
hudobné	musical	hudobný	musical	ADJ;NOM;NEUT;SG	ADJ
hudobné	musicais	hudobný	musical	ADJ;NOM;NEUT;SG	ADJ
herec	actor	herec	actor	N;ANIM;NOM;MASC;SG	N
hry	xogos	hra	xogo	N;NOM;FEM;PL	N
hry	videoxogos	hra	videoxogos	N;NOM;FEM;PL	N
veľký	grande	veľký	grande	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	gran	veľký	gran	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	grandes	veľký	grande	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	grande	veľký	grande	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	grandes	veľký	grande	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	gran	veľký	gran	ADJ;ANIM;NOM;MASC;SG	ADJ
života	vida	život	vida	N;INAN;GEN;MASC;SG	N
septembra	setembro	september	setembro	N;INAN;GEN;MASC;SG	N
kráľ	xurxo	kráľ	xurxo	N;ANIM;NOM;MASC;SG	N
maďarsku	hungría	maďarsky	hungría	N;NOM;NEUT;SG	N
hráči	músicos	hráčiť	músico	N;ANIM;NOM;MASC;PL	N
hráči	entidades	hráčiť	entidade	N;ANIM;NOM;MASC;PL	N
vlády	goberno	vláda	goberno	N;NOM;FEM;PL	N
vlády	gobernos	vláda	goberno	N;NOM;FEM;PL	N
môžu	poden	môcť	poder	V;IPFV;IND;PL;3;POS;PRS;FIN	V
môžu	podo	môcť	podar	V;IPFV;IND;PL;3;POS;PRS;FIN	V
môžu	podes	môcť	poder	V;IPFV;IND;PL;3;POS;PRS;FIN	V
môžu	podemos	môcť	poder	V;IPFV;IND;PL;3;POS;PRS;FIN	V
môžu	pode	môcť	poder	V;IPFV;IND;PL;3;POS;PRS;FIN	V
miest	lugares	mesto	lugar	N;GEN;NEUT;PL	N
miest	sitios	mesto	sitio	N;GEN;NEUT;PL	N
mieste	lugar	miesto	lugar	N;NOM;NEUT;SG	N
mieste	momento	miesto	momento	N;NOM;NEUT;SG	N
mieste	punto	miesto	punto	N;NOM;NEUT;SG	N
mieste	zona	miesto	zona	N;NOM;NEUT;SG	N
mieste	lugar	miesto	lugar	N;NOM;NEUT;SG	N
kráľa	xurxo	kráľ	xurxo	N;ANIM;ACC;MASC;SG	N
tam	alí	tam	alí	ADV	ADV
tam	aí	tam	aí	ADV	ADV
spoločnosť	sociedade	spoločnosť	sociedade	N;NOM;FEM;SG	N
spoločnosť	empresa	spoločnosť	empresa	N;NOM;FEM;SG	N
spoločnosť	compañía	spoločnosť	compañía	N;NOM;FEM;SG	N
oblasť	rexión	oblasť	rexión	N;NOM;FEM;SG	N
oblasť	área	oblasť	área	N;NOM;FEM;SG	N
oblasť	zona	oblasť	zona	N;NOM;FEM;SG	N
nej	ela	ona	el	PRO;DAT;FEM;SG;3	PRO
vek	anos	vek	ano	N;INAN;NOM;MASC;SG	N
vek	idade	vek	idade	N;INAN;NOM;MASC;SG	N
muži	homes	muž	home	N;ANIM;NOM;MASC;PL	N
októbra	outubro	október	outubro	N;INAN;GEN;MASC;SG	N
život	vida	život	vida	N;INAN;NOM;MASC;SG	N
mája	maio	máj	maio	N;INAN;GEN;MASC;SG	N
dňa	na	deň	na	N;INAN;GEN;MASC;SG	N
dňa	días	deň	día	N;INAN;GEN;MASC;SG	N
dňa	día	deň	día	N;INAN;GEN;MASC;SG	N
národné	nacional	národný	nacional	ADJ;NOM;NEUT;SG	ADJ
národné	nacionais	národný	nacional	ADJ;NOM;NEUT;SG	ADJ
národné	national	národný	national	ADJ;NOM;NEUT;SG	ADJ
center	centro	center	centro	N;INAN;NOM;MASC;SG	N
syn	fillo	syn	fillo	N;ANIM;NOM;MASC;SG	N
marca	marzo	marec	marzo	N;INAN;GEN;MASC;SG	N
marca	marcha	marec	marcha	N;INAN;GEN;MASC;SG	N
dĺžka	lonxitude	dĺžka	lonxitude	N;NOM;FEM;SG	N
augusta	agosto	augusta	agosto	N;INAN;GEN;MASC;SG	N
veľké	grande	veľký	grande	ADJ;NOM;NEUT;SG	ADJ
veľké	gran	veľký	gran	ADJ;NOM;NEUT;SG	ADJ
veľké	grandes	veľký	grande	ADJ;NOM;NEUT;SG	ADJ
veľké	grande	veľký	grande	ADJ;NOM;NEUT;SG	ADJ
veľké	grandes	veľký	grande	ADJ;NOM;NEUT;SG	ADJ
veľké	gran	veľký	gran	ADJ;NOM;NEUT;SG	ADJ
školy	escolas	škola	escola	N;NOM;FEM;PL	N
školy	instituto	škola	instituto	N;NOM;FEM;PL	N
školy	escola	škola	escola	N;NOM;FEM;PL	N
školy	colexio	škola	colexio	N;NOM;FEM;PL	N
nový	novo	nový	novo	ADJ;ANIM;NOM;MASC;SG	ADJ
nový	novas	nový	novo	ADJ;ANIM;NOM;MASC;SG	ADJ
nový	nova	nový	novo	ADJ;ANIM;NOM;MASC;SG	ADJ
nový	novos	nový	novo	ADJ;ANIM;NOM;MASC;SG	ADJ
správa	informe	správa	informe	N;NOM;FEM;SG	N
správa	mensaxe	správa	mensaxe	N;NOM;FEM;SG	N
správa	administración	správa	administración	N;NOM;FEM;SG	N
štát	país	štát	país	N;INAN;NOM;MASC;SG	N
štát	estado	štát	estado	N;INAN;NOM;MASC;SG	N
júna	xuño	jún	xuño	N;INAN;GEN;MASC;SG	N
cesta	camiño	cesta	camiño	N;NOM;FEM;SG	N
cesta	senda	cesta	senda	N;NOM;FEM;SG	N
cesta	ruta	cesta	ruta	N;NOM;FEM;SG	N
cesta	viaxe	cesta	viaxe	N;NOM;FEM;SG	N
