pro	für	pro	für	ADP;ACC	ADP
základní	elementar	základní	elementar	ADJ;NOM;MASC;SG;POS	ADJ
základní	elementaren	základní	elementar	ADJ;NOM;MASC;SG;POS	ADJ
hudební	musikalisch	hudební	musikalisch	ADJ;NOM;MASC;SG;POS	ADJ
hudební	musikalisches	hudební	musikalisch	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
skupina	gruppe	skupina	grappe	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
skupina	gruppierung	skupina	gruppierung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
skupina	unternehmensgruppe	skupina	unternehmensgruppe	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
klub	club	klub	club	N;INAN;NOM;MASC;SG;POS	N;NOM
klub	klub	klub	klub	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG
severní	nord	severní	nord	ADJ;NOM;MASC;SG;POS	ADJ
severní	nordeuropa	severní	nordeuropa	ADJ;NOM;MASC;SG;POS	ADJ
severní	nördlichen	severní	nördlich	ADJ;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
začal	begonnen	začít	beginnen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
začal	angefangen	začít	anfangen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
začal	begann	začít	beginnen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
začal	gestartet	začít	starten	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
začal	begonnen	začít	beginnen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
začal	begann	začít	beginnen	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
tam	dort	tam	dort	ADV	ADV
tam	dorthin	tam	dorthin	ADV	ADV
tam	da	tam	da	ADV	ADV
doby	perioden	doba	perioden	N;NOM;FEM;PL;POS	N;PL
strana	seite	strana	seit	N;NOM;FEM;SG;POS	N
strana	seite	strana	seit	N;NOM;FEM;SG;POS	N
práce	werk	práce	werk	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
práce	arbeit	práce	arbeit	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
tvoří	bilden	tvořit	bilden	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;NFIN
nakonec	schließlich	nakonec	schließlich	ADV	ADV
nakonec	irgendwann	nakonec	irgendwann	ADV	ADV
nakonec	endlich	nakonec	endlich	ADV	ADV
nakonec	schließlich	nakonec	schließlich	ADV	ADV
opět	wieder	opět	wieder	ADV	ADV
kromě	außer	kromě	außer	ADP;GEN	ADP
kromě	neben	kromě	neben	ADP;GEN	ADP
web	website	web	websit	N;INAN;NOM;MASC;SG;POS	N;SG
původní	ursprünglich	původní	ursprünglich	ADJ;NOM;MASC;SG;POS	ADJ
původní	original	původní	original	ADJ;NOM;MASC;SG;POS	ADJ
původní	originell	původní	originell	ADJ;NOM;MASC;SG;POS	ADJ
původní	originellen	původní	originell	ADJ;NOM;MASC;SG;POS	ADJ
jižní	südliches	jižní	südlich	ADJ;NOM;FEM;SG;POS	ADJ;NOM;NEUT;SG
jižní	südlich	jižní	südlich	ADJ;NOM;FEM;SG;POS	ADJ
nejlepší	besten	dobrý	gut	ADJ;NOM;RL;MASC;SG;POS	ADJ
nejlepší	schönste	dobrý	schön	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;FEM;SG
nejlepší	bestes	dobrý	gut	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;NEUT;SG
zemřel	verstorben	zemřít	versterben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zemřel	gestorben	zemřít	sterben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zemřel	starb	zemřít	sterben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
mimo	außerhalb	mimo	außerhalb	ADP;ACC	ADP
společnost	firma	společnost	firma	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
celkem	insgesamt	celkem	insgesamt	ADV	ADV
číslo	anzahl	číslo	anzahl	N;NOM;NEUT;SG;POS	N;SG
číslo	zahl	číslo	zahl	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
včetně	inklusive	včetně	inklusive	ADP;GEN	ADP
včetně	inklusive	včetně	inklusive	ADP;GEN	ADP
původně	anfangs	původně	anfangs	ADV;POS	ADV
nový	neuer	nový	neu	ADJ;INAN;NOM;MASC;SG;POS	ADJ
nový	neu	nový	neu	ADJ;INAN;NOM;MASC;SG;POS	ADJ
nový	neues	nový	neu	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
reprezentace	darstellung	reprezentace	darstellung	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
reprezentace	vertretung	reprezentace	vertretung	N;NOM;FEM;SG;POS	N;FEM;SG
nejvyšší	höchster	vysoký	hoch	ADJ;NOM;RL;MASC;SG;POS	ADJ
nejvyšší	oberstes	vysoký	ober	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;NEUT;SG
nejvyšší	obersten	vysoký	ober	ADJ;NOM;RL;MASC;SG;POS	ADJ
nejvyšší	oberste	vysoký	ober	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM
nejvyšší	höchstes	vysoký	hoch	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;NEUT;SG
nejvyšší	höchster	vysoký	hoch	ADJ;NOM;RL;MASC;SG;POS	ADJ
nejvyšší	größte	vysoký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;FEM;SG
nejvyšší	höchstes	vysoký	hoch	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;NEUT;SG
rovněž	ausserdem	rovněž	ausserdem	ADV	ADV
rovněž	ebenso	rovněž	ebenso	ADV	ADV
rovněž	außerdem	rovněž	außerdem	ADV	ADV
rovněž	ebenfalls	rovněž	ebenfalls	ADV	ADV
rovněž	auch	rovněž	auch	ADV	ADV
góly	tore	gól	tor	N;INAN;NOM;MASC;PL;POS	N;NOM;NEUT;PL
góly	ziele	gól	ziel	N;INAN;NOM;MASC;PL;POS	N;NOM;NEUT;PL
státní	mitgliedstaat	státní	mitgliedstaat	ADJ;NOM;MASC;SG;POS	ADJ
státní	bundesstaat	státní	bundesstaat	ADJ;NOM;MASC;SG;POS	ADJ
někdy	manchmal	někdy	manchmal	ADV	ADV
někdy	mitunter	někdy	mitunter	ADV	ADV
někdy	zuweilen	někdy	zuweilen	ADV	ADV
někdy	irgendwann	někdy	irgendwann	ADV	ADV
vesnice	dorf	vesnice	dorf	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
vesnice	dorf	vesnice	dorf	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
systém	system	systém	system	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
třetí	dritter	třetí	dritt	ADJ;NOM;MASC;SG	ADJ
třetí	drittel	třetí	Drittel	ADJ;NOM;MASC;SG	ADJ;NOM
umění	kunst	umění	kunst	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
umění	kunst	umění	kunst	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
straně	seite	strana	seit	N;DAT;FEM;SG;POS	N
možné	möglichen	možný	möglich	ADJ;NOM;NEUT;SG;POS	ADJ
možné	möglicher	možný	möglich	ADJ;NOM;NEUT;SG;POS	ADJ
možné	möglich	možný	möglich	ADJ;NOM;NEUT;SG;POS	ADJ
verze	version	verze	version	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
střední	nahen	střední	nah	ADJ;NOM;MASC;SG;POS	ADJ
střední	mittlerer	střední	mittler	ADJ;NOM;MASC;SG;POS	ADJ
největší	größter	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ
největší	größte	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;FEM;SG
největší	grösste	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;SG
největší	größten	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;MASC;SG
největší	größtes	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;NEUT;SG
největší	größter	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ
největší	größte	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;FEM;SG
největší	grösste	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;SG
největší	größten	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;MASC;SG
největší	größtes	velký	groß	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;NEUT;SG
vlády	staat	vláda	staaen	N;NOM;FEM;PL;POS	N
den	tag	den	tagen	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG
den	tages	den	tagen	N;INAN;NOM;MASC;SG;POS	N;NOM;MASC;SG
téměř	beinahe	téměř	beinahe	ADV	ADV
téměř	nahezu	téměř	nahezu	ADV	ADV
téměř	fast	téměř	fast	ADV	ADV
téměř	beinahe	téměř	beinahe	ADV	ADV
téměř	nahezu	téměř	nahezu	ADV	ADV
téměř	fast	téměř	fast	ADV	ADV
zcela	absolut	zcela	absolut	ADV	ADV
celé	ganzes	celý	ganz	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
stanice	bahnhof	stanice	bahnhof	N;NOM;FEM;SG;POS	N;NOM;MASC;SG
zápasy	übereinstimmungen	zápas	übereinstimmung	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL
zápasy	spiele	zápas	spiel	N;INAN;NOM;MASC;PL;POS	N;NOM;NEUT;PL
stát	staat	stát	staaen	N;INAN;NOM;MASC;SG;POS	N
stále	noch	stále	noch	ADV	ADV
stále	trotzdem	stále	trotzdem	ADV	ADV
větší	größer	velký	groß	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
větší	grösser	velký	groß	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
větší	größeren	velký	groß	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
větší	größer	velký	groß	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
větší	größer	velký	groß	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
větší	grösser	velký	groß	ADJ;NOM;CMPR;MASC;SG;POS	ADJ
čtyři	vier	čtyři	vier	NUM;NOM;PL	NUM
společně	zusammen	společně	zusammen	ADV;POS	ADV
obsahuje	enthält	obsahovat	enthalten	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
obsahuje	beinhaltet	obsahovat	beinhalten	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
označení	kennzeichnung	označení	kennzeichnung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
označení	kennzeichnung	označení	kennzeichnung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
označení	tag	označení	tagen	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG
označení	kennzeichnung	označení	kennzeichnung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
označení	etikettierung	označení	Etikettierung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
tým	team	tým	team	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
stadion	stadion	stadión	stadion	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
stadion	stadions	stadión	stadions	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
soutěž	wettkampf	soutěž	wettkampf	N;NOM;FEM;SG;POS	N
soutěž	wettkampf	soutěž	wettkampf	N;NOM;FEM;SG;POS	N
soutěž	gewinnspiel	soutěž	gewinnspiel	N;NOM;FEM;SG;POS	N;NOM;NEUT;SG
král	könig	král	könig	N;ANIM;NOM;MASC;SG;POS	N;NOM;SG
obvykle	normalerweise	obvykle	normalerweise	ADV;POS	ADV
obvykle	üblicherweise	obvykle	üblicherweise	ADV;POS	ADV
obvykle	meist	obvykle	meist	ADV;POS	ADV
obvykle	normalerweise	obvykle	normalerweise	ADV;POS	ADV
horní	spitze	horní	spitz	ADJ;NOM;MASC;SG;POS	ADJ
horní	oberteil	horní	oberteil	ADJ;NOM;MASC;SG;POS	ADJ
horní	oberseite	horní	oberseite	ADJ;NOM;MASC;SG;POS	ADJ
horní	oberer	horní	ober	ADJ;NOM;MASC;SG;POS	ADJ
následující	folgenden	následující	folgend	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ
následující	folgend	následující	folgend	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ
rady	rat	rada	rat	N;NOM;FEM;PL;POS	N
rady	rat	rada	rat	N;NOM;FEM;PL;POS	N
režie	regie	režie	Regie	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
používá	verwendungen	používat	verwendingen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;NFIN
používá	verwendet	používat	verwenden	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
postupně	stufenweise	postupně	stufenweise	ADV;POS	ADV
report	bericht	report	berechen	N;INAN;NOM;MASC;SG;POS	N
okolí	umgebung	okolí	Umgebung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
okolí	umgebung	okolí	Umgebung	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
okolí	nähe	okolí	nähe	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
válce	krieg	válka	kriegen	N;DAT;FEM;SG;POS	N
navíc	zuzüglich	navíc	zuzüglich	ADV	ADV
mezinárodní	international	mezinárodní	international	ADJ;NOM;MASC;SG;POS	ADJ
mezinárodní	internationaler	mezinárodní	international	ADJ;NOM;MASC;SG;POS	ADJ
většinou	normalerweise	většinou	normalerweise	ADV	ADV
většinou	üblicherweise	většinou	üblicherweise	ADV	ADV
většinou	meist	většinou	meist	ADV	ADV
většinou	meistens	většinou	meistens	ADV	ADV
většinou	meist	většinou	meist	ADV	ADV
většinou	größtenteils	většinou	größtenteils	ADV	ADV
typ	art	typ	art	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
dříve	zuvor	brzy	zuvor	ADV;CMPR;POS	ADV
dříve	vorher	brzy	vorher	ADV;CMPR;POS	ADV
dříve	bisher	brzy	bisher	ADV;CMPR;POS	ADV
dříve	zuvor	brzy	zuvor	ADV;CMPR;POS	ADV
dříve	zuvor	brzy	zuvor	ADV;CMPR;POS	ADV
dříve	ehemals	brzy	ehemals	ADV;CMPR;POS	ADV
branky	tore	branka	tor	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
