with	با	with	با	ADP	ADP
place	جایی	place	جا	N;SG	N;SG
party	مهمانی	party	مهمان	N;SG	N;SG
party	پارتی	party	پارت	N;SG	N;SG
party	مهمونی	party	مهمونی	N;SG	N;SG
party	حزب	party	حزب	N;SG	N;SG
party	جشن	party	جشن	N;SG	N;SG
college	کالج	college	None	N;SG	N;SG
college	دانشکده	college	دانشکده	N;SG	N;SG
college	دانشگاه	college	دانشگاه	N;SG	N;SG
college	دانشگاهی	college	دانشگاهی	N;SG	N;SG
result	نتیجه	result	نتیجه	N;SG	N;SG
result	حاصل	result	حاصل	N;SG	N;SG
appropriate	مناسب	appropriate	مناسب	ADJ	ADJ
appropriate	درخور	appropriate	درخور	ADJ	ADJ
even	حتی	even	حتی	ADV	ADV
class	رده	class	رده	N;SG	N;SG
class	ردۀ	class	ردۀ	N;SG	N;SG
class	کلاس	class	کلاس	N;SG	N;SG
class	class	class	class	N;SG	N;SG
class	کلاسی	class	کلاسی	N;SG	N;SG
government	دولتی	government	دولتی	N;SG	N;SG
government	حکومت	government	حکومت	N;SG	N;SG
government	دولت	government	دولت	N;SG	N;SG
how	چطور	how	چطور	ADV	ADV
center	سنتر	center	سنتر	N;SG	N;SG
center	مرکزش	center	مرکزش	N;SG	N;SG
center	مرکز	center	مرکز	N;SG	N;SG
style	سبک	style	سبک	N;SG	N;SG
com	com	com	com	N;SG	N;SG
country	کانتری	country	کان	N;SG	N;SG
country	کشوری	country	کشوری	N;SG	N;SG
country	کشور	country	کشور	N;SG	N;SG
country	مملکت	country	مملکت	N;SG	N;SG
country	ییلاق	country	ییلاق	N;SG	N;SG
way	راه	way	راه	N;SG	N;SG
www	www	wwwiw	www	N;SG	N;SG
end	پایان	end	پایان	N;SG	N;SG
public	عمومی	public	عمومی	ADJ	ADJ
public	علنی	public	None	ADJ	ADJ
support	پشتیبان	support	پشتیب	N;SG	N;SG
support	پشتیبانی	support	پشتیبانی	N;SG	N;SG
support	حمایت	support	حمایت	N;SG	N;SG
games	بازیهای	game	None	N;PL	N;PL
games	بازیها	game	بازی	N;PL	N;PL
former	سابق	former	سابق	ADJ	ADJ
films	فیلمهایی	film	فیلم	N;PL	N;PL
films	فیلمهای	film	فیلم	N;PL	N;PL
church	کلیسا	church	None	N;SG	N;SG
church	چرچ	church	چرچ	N;SG	N;SG
church	کلیسای	church	None	N;SG	N;SG
line	خط	line	خط	N;SG	N;SG
major	عمده	major	عمده	ADJ	ADJ
members	اعضای	member	عضو	N;PL	N;PL
members	اعضا	member	عضو	N;PL	N;PL
much	فراوان	much	فراوان	ADJ	ADJ
image	تصویر	image	تصویر	N;SG	N;SG
image	نگاره	image	نگاره	N;SG	N;SG
still	همچنان	still	همچنان	ADV	ADV
still	هنوزم	still	هنوزم	ADV	ADV
still	هنوز	still	هنوز	ADV	ADV
tow	قریه	tow	قریه	N;SG	N;SG
tow	شهر	tow	شهر	N;SG	N;SG
tow	شهرک	tow	شهرک	N;SG	N;SG
system	سامانه	system	سامانه	N;SG	N;SG
system	سیستم	system	سیستم	N;SG	N;SG
song	نغمه	song	نغمه	N;SG	N;SG
song	ترانه	song	ترانه	N;SG	N;SG
song	اهنگ	song	اهنگ	N;SG	N;SG
song	آهنگ	song	آهنگ	N;SG	N;SG
song	آواز	song	آواز	N;SG	N;SG
section	بخش	section	بخش	N;SG	N;SG
home	خانه	home	خانه	N;SG	N;SG
home	وطن	home	وطن	N;SG	N;SG
home	خونه	home	خونه	N;SG	N;SG
home	آغازه	home	آغازه	N;SG	N;SG
women	زنانی	woman	None	N;PL	N;PL
women	زنها	woman	None	N;PL	N;PL
women	زنان	woman	زن	N;PL	N;PL
television	تلویزیون	television	تلویزیون	N;SG	N;SG
seed	بذر	seed	بذر	N;SG	N;SG
seed	دانه	seed	دانه	N;SG	N;SG
seed	نسل	seed	نسل	N;SG	N;SG
member	عضو	member	عضو	N;SG	N;SG
member	عضوی	member	عضو	N;SG	N;SG
goals	اهداف	goal	هدف	N;PL	N;PL
sources	منابع	source	منبع	N;PL	N;PL
book	کتاب	book	کتاب	N;SG	N;SG
book	کتابی	book	کتاب	N;SG	N;SG
station	پاسگاه	station	پاسگاه	N;SG	N;SG
station	ایستگاه	station	ایستگاه	N;SG	N;SG
order	نظم	order	نظم	N;SG	N;SG
order	فرمان	order	فرمان	N;SG	N;SG
order	دستور	order	دستور	N;SG	N;SG
order	سفارش	order	None	N;SG	N;SG
order	ترتیب	order	ترتیب	N;SG	N;SG
old	کهنه	old	کهنه	ADJ	ADJ
text	متن	text	متن	N;SG	N;SG
band	بند	band	بند	N;SG	N;SG
band	گروه	band	گروه	N;SG	N;SG
point	نکته	point	نکته	N;SG	N;SG
point	نقطه	point	نقطه	N;SG	N;SG
point	پوینت	point	پوینت	N;SG	N;SG
river	ریور	river	ریور	N;SG	N;SG
river	رودخانه	river	رودخانه	N;SG	N;SG
top	top	top	top	N;SG	N;SG
top	تاپ	top	تاپ	N;SG	N;SG
top	اوج	top	اوج	N;SG	N;SG
top	فاعل	top	None	N;SG	N;SG
main	اصلی	main	اصلی	ADJ	ADJ
language	زبان	language	زبان	N;SG	N;SG
https	https	http	https	N;SG	N;SG
note	یادداشت	note	یادداشت	N;SG	N;SG
note	نکته	note	نکته	N;SG	N;SG
note	نوت	note	نوت	N;SG	N;SG
career	حرفه	career	None	N;SG	N;SG
career	شغل	career	شغل	N;SG	N;SG
original	اصلی	original	اصلی	ADJ	ADJ
age	عصر	age	عصر	N;SG	N;SG
age	سنی	age	سنی	N;SG	N;SG
age	سن	age	سن	N;SG	N;SG
service	خدمت	service	خدمت	N;SG	N;SG
service	سرویس	service	سرویس	N;SG	N;SG
said	گفت	say	گفت#گو	V;IND;PST;FIN	V;SG;3;PST
website	سایت	website	سایت	N;SG	N;SG
website	وبگاه	website	وبگاه	N;SG	N;SG
website	وبسایت	website	وبسایت	N;SG	N;SG
population	جمعیت	population	جمعیت	N;SG	N;SG
population	جمعیتی	population	جمعیتی	N;SG	N;SG
air	ایر	air	ایر	N;SG	N;SG
air	هوا	air	هوا	N;SG	N;SG
law	قانون	law	قانون	N;SG	N;SG
great	عالی	great	عالی	ADJ	ADJ
park	park	park	park	N;SG	N;SG
park	پارک	park	None	N;SG	N;SG
case	پرونده	case	پرونده	N;SG	N;SG
case	کیس	case	کیس	N;SG	N;SG
case	مورد	case	مورد	N;SG	N;SG
times	زمانهای	time	زمان	N;PL	N;PL
times	دفعات	time	دفعه	N;PL	N;PL
although	هرچند	although	هرچند	CONJ	CONJ
although	اگرچه	although	اگرچه	CONJ	CONJ
although	گرچه	although	گرچه	CONJ	CONJ
small	کوچک	small	کوچک	ADJ	ADJ
different	متفاوت	different	متفاوت	ADJ	ADJ
get	شو	get	None	V;IMP;FIN	V;IMP;SG;2
village	روستای	village	روستا	N;SG	N;SG
village	دهکده	village	دهکده	N;SG	N;SG
village	ویلیج	village	ویلیج	N;SG	N;SG
village	روستا	village	روستا	N;SG	N;SG
art	art	art	art	N;SG	N;SG
art	هنر	art	هنر	N;SG	N;SG
art	آرت	art	آرت	N;SG	N;SG
player	بازیکن	player	بازیکن	N;SG	N;SG
final	نهایی	final	نهایی	ADJ	ADJ
community	اجتماع	community	None	N;SG	N;SG
community	ملتی	community	ملت	N;SG	N;SG
community	جامعه	community	جامعه	N;SG	N;SG
community	انجمن	community	انجمن	N;SG	N;SG
community	امت	community	امت	N;SG	N;SG
again	دوباره	again	دوباره	ADV	ADV
army	لشگر	army	لشگر	N;SG	N;SG
army	ارتش	army	ارتش	N;SG	N;SG
army	ارتشی	army	ارتشی	N;SG	N;SG
army	سپاه	army	سپاه	N;SG	N;SG
army	لشکر	army	None	N;SG	N;SG
award	جایزه	award	جایزه	N;SG	N;SG
death	مرگ	death	مرگ	N;SG	N;SG
men	مردانی	man	مردانی	N;PL	N;PL
men	مردها	man	مرد	N;PL	N;PL
men	مردان	man	مرد	N;PL	N;PL
large	بزرگ	large	بزرگ	ADJ	ADJ
large	درشت	large	درشت	ADJ	ADJ
site	سایت	site	سایت	N;SG	N;SG
white	سفید	white	سفید	ADJ	ADJ
five	پنج	five	پنج	NUM	NUM
central	مرکزی	central	مرکزی	ADJ	ADJ
road	جاده	road	جاده	N;SG	N;SG
children	کودکان	child	کودک	N;PL	N;PL
children	فرزندان	child	فرزند	N;PL	N;PL
children	اطفال	child	None	N;PL	N;PL
free	آزاد	free	آزاد	ADJ	ADJ
association	انجمن	association	انجمن	N;SG	N;SG
down	پایین	down	پایین	ADV	ADV;ESS
source	مبدأ	source	None	N;SG	N;SG
source	متن	source	متن	N;SG	N;SG
source	منبع	source	منبع	N;SG	N;SG
man	انسان	man	انسان	N;SG	N;SG
man	مَرد	man	مَرد	N;SG	N;SG
man	مرد	man	مرد	N;SG	N;SG
version	نسخۀ	version	نسخۀ	N;SG	N;SG
version	نسخه	version	نسخه	N;SG	N;SG
media	رسانه	media	رسانه	N;SG	N;SG
black	سیاه	black	سیاه	ADJ	ADJ
report	گزارش	report	گزارش	N;SG	N;SG
building	ساختن	building	ساختن	N;SG	N;SG
building	ساختمانی	building	ساختمان	N;SG	N;SG
building	ساختمان	building	ساختمان	N;SG	N;SG
take	بگیر	take	گرفت#گیر	V;IMP;FIN	V;IMP;SG;2
division	تقسیم	division	تقسیم	N;SG	N;SG
division	واحد	division	واحد	N;SG	N;SG
comment	توضیح	comment	توضیح	N;SG	N;SG
comment	نظر	comment	نظر	N;SG	N;SG
king	پادشاه	king	پادشاه	N;SG	N;SG
king	کینگ	king	کینگ	N;SG	N;SG
king	شاه	king	شاه	N;SG	N;SG
edit	ویرایش	edit	ویرایش	N;SG	N;SG
stadium	ورزشگاه	stadium	ورزشگاه	N;SG	N;SG
ship	سفینه	ship	سفینه	N;SG	N;SG
ship	کشتی	ship	کشتی	N;SG	N;SG
research	تحقیق	research	تحقیق	N;SG	N;SG
research	پژوهش	research	پژوهش	N;SG	N;SG
record	ضبط	record	None	N;SG	N;SG
archive	بایگانی	archive	بایگانی	N;SG	N;SG
places	مکانهایی	place	مکان	N;PL	N;PL
places	مکانها	place	مکان	N;PL	N;PL
places	مساجد	place	None	N;PL	N;PL
undo	برگردان	undo	برگرد	N;SG	N;SG
undo	برگرداندن	undo	برگرداندن	N;SG	N;SG
cup	فنجان	cup	None	N;SG	N;SG
cup	جامی	cup	جام	N;SG	N;SG
cup	کاپ	cup	کاپ	N;SG	N;SG
cup	جام	cup	جام	N;SG	N;SG
often	اغلب	often	اغلب	ADV	ADV
few	چند	few	چند	ADJ	ADJ
side	پهلو	side	پهلو	N;SG	N;SG
side	طرف	side	طرف	N;SG	N;SG
power	قدرت	power	قدرت	N;SG	N;SG
power	پاور	power	پاور	N;SG	N;SG
power	توان	power	توان	N;SG	N;SG
power	power	power	power	N;SG	N;SG
power	قدرتش	power	قدرتش	N;SG	N;SG
education	آموزش	education	آموزش	N;SG	N;SG
category	مقوله	category	مقوله	N;SG	N;SG
category	دسته	category	دسته	N;SG	N;SG
water	آب	water	آب	N;SG	N;SG
political	سیاسی	political	سیاسی	ADJ	ADJ
species	گونههای	species	گونه	N;PL	N;PL
field	فیلد	field	None	N;SG	N;SG
field	حوزه	field	حوزه	N;SG	N;SG
video	ویدیویی	video	ویدیویی	N;SG	N;SG
video	ویدئویی	video	ویدئویی	N;SG	N;SG
video	ویدیوی	video	ویدیو	N;SG	N;SG
video	ویدئو	video	ویدئو	N;SG	N;SG
video	ویدیو	video	ویدیو	N;SG	N;SG
video	ویدئوی	video	ویدئوی	N;SG	N;SG
island	آیلند	island	آیلند	N;SG	N;SG
island	جزیره	island	جزیره	N;SG	N;SG
form	فرم	form	None	N;SG	N;SG
form	شکل	form	شکل	N;SG	N;SG
play	پخش	play	پخش	N;SG	N;SG
play	بازی	play	بازی	N;SG	N;SG
project	پروژه	project	پروژه	N;SG	N;SG
radio	رادیویی	radio	رادیویی	N;SG	N;SG
radio	رادیو	radio	رادیو	N;SG	N;SG
radio	بیسیم	radio	دیست#ییس	N;SG	N;SG
every	هر	every	هر	DET	DET
development	توسعه	development	توسعه	N;SG	N;SG
example	مثلی	example	مثلی	N;SG	N;SG
example	مثال	example	مثال	N;SG	N;SG
example	نمونه	example	نمونه	N;SG	N;SG
union	یونیون	union	یونیون	N;SG	N;SG
union	اتحادیه	union	اتحادیه	N;SG	N;SG
union	اتحاد	union	اتحاد	N;SG	N;SG
special	ویژه	special	ویژه	ADJ	ADJ
court	دادگاه	court	دادگاه	N;SG	N;SG
court	دربار	court	دربار	N;SG	N;SG
region	منطقه	region	منطقه	N;SG	N;SG
region	ناحیه	region	ناحیه	N;SG	N;SG
region	استان	region	استان	N;SG	N;SG
region	منطقۀ	region	منطقۀ	N;SG	N;SG
little	اندکی	little	اندکی	ADJ	ADJ
little	کوچک	little	کوچک	ADJ	ADJ
little	کم	little	کم	ADJ	ADJ
short	کوتاه	short	کوتاه	ADJ	ADJ
province	ولایت	province	ولایت	N;SG	N;SG
province	استان	province	استان	N;SG	N;SG
western	غربی	western	غربی	ADJ	ADJ
son	پسر	son	پسر	N;SG	N;SG
council	شورای	council	شورا	N;SG	N;SG
council	شورا	council	شورا	N;SG	N;SG
council	انجمن	council	انجمن	N;SG	N;SG
current	جاری	current	جاری	ADJ	ADJ
street	استریت	street	استریت	N;SG	N;SG
street	خیابانی	street	خیابانی	N;SG	N;SG
street	خیابان	street	خیابان	N;SG	N;SG
street	خیابون	street	خیابون	N;SG	N;SG
full	سرشار	full	سرشار	ADJ	ADJ
department	وزارت	department	وزارت	N;SG	N;SG
department	اداره	department	اداره	N;SG	N;SG
department	بخش	department	بخش	N;SG	N;SG
help	کمک	help	کمک	N;SG	N;SG
open	باز	open	باز	ADJ	ADJ
force	زور	force	زور	N;SG	N;SG
force	اجباری	force	اجباری	N;SG	N;SG
force	نیرو	force	نیرو	N;SG	N;SG
force	اجبار	force	اجبار	N;SG	N;SG
position	موضع	position	موضع	N;SG	N;SG
position	موقعیت	position	موقعیت	N;SG	N;SG
head	هد	head	هد	N;SG	N;SG
head	سر	head	سر	N;SG	N;SG
director	director	director	director	N;SG	N;SG
director	کارگردان	director	کارگردان	N;SG	N;SG
father	پدری	father	پدر	N;SG	N;SG
father	پدر	father	پدر	N;SG	N;SG
track	شیار	track	شیار	N;SG	N;SG
http	http	http	http	N;SG	N;SG
never	هرگز	never	هرگز	ADV	ADV;NEG
level	تراز	level	تراز	N;SG	N;SG
level	لول	level	None	N;SG	N;SG
level	سطح	level	سطح	N;SG	N;SG
late	دیر	late	دیر	ADV	ADV
summer	تابستان	summer	تابستان	N;SG	N;SG
summer	سامر	summer	سامر	N;SG	N;SG
summer	تابستون	summer	تابستون	N;SG	N;SG
summer	تابستانی	summer	تابستانی	N;SG	N;SG
society	اجتماع	society	None	N;SG	N;SG
society	جامعه	society	جامعه	N;SG	N;SG
society	انجمن	society	انجمن	N;SG	N;SG
office	اداره	office	اداره	N;SG	N;SG
office	دفتر	office	دفتر	N;SG	N;SG
period	دوره	period	دوره	N;SG	N;SG
period	پریود	period	پریود	N;SG	N;SG
period	دورۀ	period	دورۀ	N;SG	N;SG
championship	قهرمانی	championship	قهرمانی	N;SG	N;SG
story	داستان	story	داستان	N;SG	N;SG
story	داستانی	story	داستان	N;SG	N;SG
story	قصه	story	None	N;SG	N;SG
various	گوناگون	various	گوناگون	ADJ	ADJ
file	پرونده	file	پرونده	N;SG	N;SG
days	روزها	day	روز	N;PL	N;PL
days	روزهایی	day	روز	N;PL	N;PL
days	روزای	day	روزا	N;PL	N;PL
days	روزهای	day	روز	N;PL	N;PL
land	خشکی	land	خشکی	N;SG	N;SG
land	land	land	land	N;SG	N;SG
land	سرزمین	land	سرزمین	N;SG	N;SG
business	تجارت	business	تجارت	N;SG	N;SG
business	کسب	business	کسب	N;SG	N;SG
business	b	business	b	N;SG	N;SG
reason	دلیلی	reason	دلیل	N;SG	N;SG
reason	علت	reason	علت	N;SG	N;SG
reason	دلیل	reason	دلیل	N;SG	N;SG
million	میلیون	million	میلیون	NUM	NUM
term	ترم	term	ترم	N;SG	N;SG
term	اصطلاح	term	None	N;SG	N;SG
six	شش	six	شش	NUM	NUM
six	شیش	six	شیش	NUM	NUM
post	پست	post	پست	N;SG	N;SG
post	پستی	post	پستی	N;SG	N;SG
post	post	post	post	N;SG	N;SG
why	چرا	why	چرا	ADV	ADV
making	ساختن	making	ساختن	N;SG	N;SG
subject	سوژه	subject	None	N;SG	N;SG
subject	فاعل	subject	None	N;SG	N;SG
subject	موضوع	subject	موضوع	N;SG	N;SG
total	کل	total	کل	ADJ	ADJ
science	علمی	science	علمی	N;SG	N;SG
science	علم	science	علم	N;SG	N;SG
related	مربوط	related	مربوط	ADJ	ADJ
rock	سنگی	rock	سنگی	N;SG	N;SG
rock	صخره	rock	None	N;SG	N;SG
rock	راک	rock	راک	N;SG	N;SG
students	دانشجویان	student	دانشجو	N;PL	N;PL
news	نیوز	news	نیوز	N;SG	N;SG
news	خبر	news	خبر	N;SG	N;SG
news	خبری	news	None	N;SG	N;SG
role	نقشی	role	نقش	N;SG	N;SG
role	رل	role	رل	N;SG	N;SG
role	نقش	role	نقش	N;SG	N;SG
albums	آلبومهای	album	آلبوم	N;PL	N;PL
present	حاضر	present	حاضر	ADJ	ADJ
books	کتابها	book	کتاب	N;PL	N;PL
books	کتابهای	book	کتاب	N;PL	N;PL
important	مهم	important	مهم	ADJ	ADJ
press	پرس	press	پرس	N;SG	N;SG
press	فشار	press	فشار	N;SG	N;SG
type	تیپ	type	None	N;SG	N;SG
type	نوع	type	نوع	N;SG	N;SG
type	تایپ	type	تایپ	N;SG	N;SG
act	عمل	act	عمل	N;SG	N;SG
editor	ویرایشگر	editor	ویرایشگر	N;SG	N;SG
came	آمد	come	آمد#آ	V;IND;PST;FIN	V;SG;3;PST
schools	مدارس	school	None	N;PL	N;PL
program	برنامۀ	program	برنامۀ	N;SG	N;SG
program	پروگرام	program	پروگرام	N;SG	N;SG
program	برنامه	program	برنامه	N;SG	N;SG
issue	مسئله	issue	مسئله	N;SG	N;SG
social	اجتماعی	social	اجتماعی	ADJ	ADJ
production	تولید	production	تولید	N;SG	N;SG
male	مذکر	male	None	N;SG	N;SG
male	نر	male	نر	N;SG	N;SG
awards	جوایز	award	جایزه	N;PL	N;PL
points	نقاط	point	نقطه	N;PL	N;PL
similar	مشابه	similar	مشابه	ADJ	ADJ
say	بگو	say	None	V;IMP;FIN	V;IMP;SG;2
background	زمینه	background	زمینه	N;SG	N;SG
lead	تقدم	lead	تقدم	N;SG	N;SG
lead	سرب	lead	سرب	N;SG	N;SG
lead	لید	lead	لید	N;SG	N;SG
common	معمولی	common	معمولی	ADJ	ADJ
common	مشترک	common	مشترک	ADJ	ADJ
color	رنگ	color	رنگ	N;SG	N;SG
better	بهتر	better	به	ADJ;CMPR	ADJ;CMPR
better	بهترش	better	بهترش	ADJ;CMPR	ADJ;CMPR
person	شخص	person	شخص	N;SG	N;SG
services	خدمات	service	خدمت	N;PL	N;PL
museum	موزه	museum	موزه	N;SG	N;SG
battle	رزم	battle	رزم	N;SG	N;SG
battle	کارزار	battle	کارزار	N;SG	N;SG
battle	بتل	battle	بتل	N;SG	N;SG
battle	نبرد	battle	None	N;SG	N;SG
already	قبلا	already	None	ADV	ADV
hall	هال	hall	هال	N;SG	N;SG
hall	تالار	hall	تالار	N;SG	N;SG
buildings	ساختمانهای	building	ساختمان	N;PL	N;PL
buildings	ساختمانها	building	ساختمان	N;PL	N;PL
historic	تاریخی	historic	تاریخی	ADJ	ADJ
date	تاریخ	date	تاریخ	N;SG	N;SG
change	تغییر	change	تغییر	N;SG	N;SG
location	محل	location	محل	N;SG	N;SG
location	مکان	location	مکان	N;SG	N;SG
must	باید	must	بایست#باید	V;FIN	V;NFIN
our	ما	we	ما	PRO;PL;1	PRO;PL;1
review	مرور	review	مرور	N;SG	N;SG
review	بازبینی	review	بازبینی	N;SG	N;SG
review	بازدید	review	None	N;SG	N;SG
together	باهم	together	باهم	ADV	ADV
less	کمتر	less	کم	ADJ;CMPR	ADJ;CMPR
groups	گروهها	group	گروه	N;PL	N;PL
content	رضایت	content	رضایت	N;SG	N;SG
content	محتوای	content	محتوا	N;SG	N;SG
content	محتوا	content	محتوا	N;SG	N;SG
involved	درگیر	involved	درگیر	ADJ	ADJ
board	بورد	board	بورد#بور	N;SG	N;SG
board	تخته	board	تخته	N;SG	N;SG
control	مهار	control	مهار	N;SG	N;SG
