cortinas	gardiner	cortina	gardin	N	N;INDF;MASC+FEM;PL
arrestaron	arresterede	arrestar	arrestere	V	V;PL;PST;V.PTCP
arrestaron	anholdte	arrestar	anholde	V	V;PL;PST;V.PTCP
arrestaron	anholdt	arrestar	anholde	V	V;INDF;SG;PST;V.PTCP
arrestaron	arresteret	arrestar	arrestere	V	V;INDF;SG;PST;V.PTCP
xornada	dag	xornada	dag	N	N;INDF;MASC+FEM;SG
xornada	dagen	xornada	dag	N	N;DEF;MASC+FEM;SG
xornada	kampdag	xornada	kampdag	N	N;INDF;MASC+FEM;SG
balbordo	ståhej	balbordo	ståhej	N	N;INDF;MASC+FEM;SG
loitei	kæmpede	loitei	kæmpe	V	V;IND;PST;FIN;ACT
loitei	udkæmpet	loitei	udkæmpe	V	V;INDF;SG;PST;V.PTCP
loitei	kæmpet	loitei	kæmpe	V	V;INDF;SG;PST;V.PTCP
loitei	sloges	loitei	sloge	V	V;IND;PRS;FIN;PASS
tiros	skud	tiro	skud	N	N;INDF;NEUT;SG
tiros	skud	tiro	skud	N	N;INDF;NEUT;SG
axudala	hjælp	axudala	hjælp	N	N;INDF;MASC+FEM;SG
mariñeiro	matros	mariñeiro	matros	N	N;INDF;MASC+FEM;SG
mariñeiro	sømand	mariñeiro	sømand	N	N;INDF;MASC+FEM;SG
enfronte	foran	enfronte	foran	ADV	ADV
durmo	sover	durmo	sove	V	V;IND;PRS;FIN;ACT
durmo	sove	durmo	sove	V	V;NFIN;ACT
durmo	sov	durmo	sove	V	V;IND;PST;FIN;ACT
trouxeron	bragt	trouxer	bringe	V	V;INDF;SG;PST;V.PTCP
trouxeron	bragte	trouxer	bringe	V	V;IND;PST;FIN;ACT
trouxeron	medbragte	trouxer	medbringe	V	V;IND;PST;FIN;ACT
honorable	hæderlig	honorable	hæderlig	ADJ	ADJ;INDF;MASC+FEM;SG
honorable	ærefulde	honorable	ærefulde	ADJ	ADJ;PL
honorable	ærefuldt	honorable	ærefuld	ADJ	ADJ;INDF;NEUT;SG
honorable	ærefuld	honorable	ærefuld	ADJ	ADJ;INDF;MASC+FEM;SG
vagóns	automobiler	vagón	automobil	N	N;INDF;MASC+FEM;SG
vagóns	biler	vagón	bil	N	N;INDF;MASC+FEM;PL
vagóns	train	vagón	train	N	N;INDF;MASC+FEM;SG
coroación	kroning	coroación	kroning	N	N;INDF;MASC+FEM;SG
quedes	bliv	quedes	bliv	V	V;IMP
quedes	stå	quedes	stå	V	V;NFIN;ACT
douche	giv	douche	give	V	V;IMP
douche	giver	douche	give	V	V;IND;PRS;FIN;ACT
douche	give	douche	give	V	V;NFIN;ACT
maletas	pakke	maleta	pakke	N	N;INDF;MASC+FEM;SG
maletas	pakning	maleta	pakning	N	N;INDF;MASC+FEM;SG
maletas	tilfælde	maleta	tilfælde	N	N;INDF;NEUT;SG
maletas	sager	maleta	sag	N	N;INDF;MASC+FEM;PL
marchen	marchere	marchar	marcher	V	V;NFIN;ACT
atreves	vover	atrever	vove	V	V;IND;PRS;FIN;ACT
atreves	turde	atrever	turde	V	V;IND;PST;FIN;ACT
choro	tud	choro	tud	N	N;INDF;MASC+FEM;SG
impórtache	sind	impórtache	sind	N	N;INDF;NEUT;SG
impórtache	sindet	impórtache	sinde	N	N;DEF;NEUT;SG
cortes	stalde	corte	stalde	N	N;INDF;MASC+FEM;PL
cortes	stald	corte	stald	N	N;INDF;MASC+FEM;SG
cortes	stalden	corte	stald	N	N;DEF;MASC+FEM;SG
católico	katolsk	católico	katolsk	ADJ	ADJ;INDF;SG
católico	katolske	católico	katolsk	ADJ	ADJ;PL
sacerdote	præst	sacerdote	præst	N	N;INDF;MASC+FEM;SG
sacerdote	præst	sacerdote	præst	N	N;INDF;MASC+FEM;SG
sacerdote	prædikant	sacerdote	prædikant	N	N;INDF;MASC+FEM;SG
ficas	bliv	fica	bliv	V	V;IMP
indios	indianere	indio	indianer	N	N;INDF;MASC+FEM;PL
indios	indere	indio	indere	N	N;INDF;MASC+FEM;PL
indios	indianer	indio	indiane	N	N;INDF;MASC+FEM;SG
indios	indianerne	indio	indianer	N	N;DEF;MASC+FEM;PL
deixarnos	orlov	deixarno	orlov	N	N;INDF;MASC+FEM;SG
brancas	hvid	branco	hvid	ADJ	ADJ;INDF;MASC+FEM;SG
brancas	hvidt	branco	hvid	ADJ	ADJ;INDF;NEUT;SG
brancas	hvide	branco	hvid	ADJ	ADJ;PL
erguédevos	bedre	erguédevo	god	ADJ	ADJ;CMPR
irmandade	broderskab	irmandade	broderskab	N	N;INDF;NEUT;SG
irmandade	broderskabet	irmandade	broderskab	N	N;DEF;NEUT;SG
irmandade	studenterforening	irmandade	studenterforening	N	N;INDF;MASC+FEM;SG
compaña	selskab	compaña	selskab	N	N;INDF;NEUT;SG
compaña	firma	compaña	firma	N	N;INDF;NEUT;SG
compaña	kompagni	compaña	kompagni	N	N;INDF;NEUT;SG
compaña	virksomhed	compaña	virksomhed	N	N;INDF;MASC+FEM;SG
cabana	kabine	cabanar	kabine	N	N;INDF;MASC+FEM;SG
cabana	hytte	cabanar	hytte	N	N;INDF;MASC+FEM;SG
cabana	kahyt	cabanar	kahyt	N	N;INDF;MASC+FEM;SG
cabana	kabinen	cabanar	kabine	N	N;DEF;MASC+FEM;SG
berres	råb	berre	råb	N	N;INDF;NEUT;SG
matado	dræbte	matado	dræbe	V	V;PL;PST;V.PTCP
matado	dræbt	matado	dræbe	V	V;INDF;SG;PST;V.PTCP
matado	myrdet	matado	myrde	V	V;INDF;SG;PST;V.PTCP
victoria	sejre	victoria	sejr	N	N;INDF;MASC+FEM;PL
victoria	sejr	victoria	sejr	N	N;INDF;MASC+FEM;SG
victoria	sejren	victoria	sejr	N	N;DEF;MASC+FEM;SG
crees	tror	cree	tro	V	V;IND;PRS;FIN;ACT
crees	synes	cree	synes	V	V;IND;PRS;FIN;ACT
luvas	handsker	luva	handsker	N	N;INDF;MASC+FEM;PL
decreto	dekretet	decreto	dekret	N	N;DEF;NEUT;SG
decreto	dekret	decreto	dekre	N	N;INDF;NEUT;SG
decreto	bekendtgørelse	decreto	bekendtgørelse	N	N;INDF;MASC+FEM;SG
acusacións	anklager	acusación	anklage	N	N;INDF;MASC+FEM;PL
acusacións	beskyldninger	acusación	beskyldning	N	N;INDF;MASC+FEM;PL
acusacións	gebyrer	acusación	gebyre	N	N;INDF;MASC+FEM;PL
vindo	kommer	vir	komme	V	V;IND;PRS;FIN;ACT
vindo	kom	vir	komme	V	V;IND;PST;FIN;ACT
cervo	rådyr	cervo	rådyr	N	N;INDF;NEUT;SG
cervo	hjorte	cervo	hjorte	N	N;INDF;MASC+FEM;PL
cervo	kronhjort	cervo	kronhjort	N	N;INDF;MASC+FEM;SG
atacaron	overfaldet	atacar	overfalde	V	V;INDF;SG;PST;V.PTCP
quixeches	eftersøgte	quixeche	eftersøge	V	V;PL;PST;V.PTCP
quixeches	efterlyst	quixeche	efterlyst	V	V;INDF;SG;PST;V.PTCP
quixeches	eftersøgt	quixeche	eftersøge	V	V;INDF;SG;PST;V.PTCP
quixeches	ønskede	quixeche	ønske	V	V;PL;PST;V.PTCP
xenerosa	generøs	xeneroso	gene	ADJ	ADJ;INDF;MASC+FEM;SG
xenerosa	gavmild	xeneroso	gavmild	ADJ	ADJ;INDF;MASC+FEM;SG
culto	kult	culto	kult	N	N;INDF;MASC+FEM;SG
culto	sekt	culto	sekt	N	N;INDF;MASC+FEM;SG
irlandesa	irske	irlandesa	irsk	ADJ	ADJ;PL
déronme	gav	déronme	give	V	V;IND;PST;FIN;ACT
lagoa	lagune	lagoa	lagun	N	N;INDF;MASC+FEM;SG
meniña	pigen	meniña	pige	N	N;DEF;MASC+FEM;SG
meniña	tøs	meniña	tøs	N	N;INDF;MASC+FEM;SG
meniña	pige	meniña	pige	N	N;INDF;MASC+FEM;SG
católicos	katolsk	católico	katolsk	ADJ	ADJ;INDF;SG
católicos	katolske	católico	katolsk	ADJ	ADJ;PL
pasear	gå	pasear	gå	V	V;NFIN;ACT
clans	klan	clan	klan	N	N;INDF;MASC+FEM;SG
clans	klanen	clan	klan	N	N;DEF;MASC+FEM;SG
clans	klaner	clan	klan	N	N;INDF;MASC+FEM;PL
marquesa	kammerherreinde	marquesa	kammerherreinde	N	N;INDF;MASC+FEM;SG
cuarteto	kvartetten	cuarteto	kvartet	N	N;DEF;MASC+FEM;SG
estivesen	var	estar	være	V	V;IND;PST;FIN;ACT
corría	løber	corría	løbe	V	V;IND;PRS;FIN;ACT
corría	løbe	corría	løbe	V	V;NFIN;ACT
corría	kører	corría	køre	V	V;IND;PRS;FIN;ACT
corría	var	corría	være	V	V;IND;PST;FIN;ACT
corría	blev	corría	blive	V	V;IND;PST;FIN;ACT
ensino	undervisning	ensino	undervisning	N	N;INDF;MASC+FEM;SG
ensino	undervisningen	ensino	undervisning	N	N;DEF;MASC+FEM;SG
informática	computeren	informática	computer	N	N;DEF;MASC+FEM;SG
informática	computer	informática	compute	N	N;INDF;MASC+FEM;SG
técnicas	teknik	técnica	teknik	N	N;INDF;MASC+FEM;SG
técnicas	teknikker	técnica	teknik	N	N;INDF;MASC+FEM;PL
veterinarios	dyrlæger	veterinario	dyrlæge	N	N;INDF;MASC+FEM;PL
confesión	skriftemål	confesión	skriftemål	N	N;INDF;MASC+FEM;SG
confesión	bekendelse	confesión	bekendelse	N	N;INDF;MASC+FEM;SG
confesión	tilståelse	confesión	tilståelse	N	N;INDF;MASC+FEM;SG
loitan	slås	loitar	slås	V	V;NFIN;PASS
loitan	kæmper	loitar	kæmpe	V	V;IND;PRS;FIN;ACT
loitan	er	loitar	være	V	V;IND;PRS;FIN;ACT
loitan	kæmp	loitar	kæmp	V	V;IMP
medicinas	medicin	medicina	medicin	N	N;INDF;MASC+FEM;SG
medicinas	lægevidenskab	medicina	lægevidenskab	N	N;INDF;MASC+FEM;SG
medicinas	lægemiddel	medicina	lægemiddel	N	N;INDF;NEUT;SG
perden	taber	perder	tabe	V	V;IND;PRS;FIN;ACT
perden	mister	perder	miste	V	V;IND;PRS;FIN;ACT
perden	tabe	perder	tabe	V	V;NFIN;ACT
culturas	kulturer	cultura	kultur	N	N;INDF;MASC+FEM;PL
interpretación	fortolkning	interpretación	fortolkning	N	N;INDF;MASC+FEM;SG
interpretación	tolkning	interpretación	tolkning	N	N;INDF;MASC+FEM;SG
escoitan	lytter	escoitar	lytte	V	V;IND;PRS;FIN;ACT
escoitan	lytte	escoitar	lytte	V	V;NFIN;ACT
dinámica	dynamik	dinámica	dynamik	N	N;INDF;MASC+FEM;SG
dinámica	dynamik	dinámica	dynamik	N	N;INDF;MASC+FEM;SG
dinámica	dynamikken	dinámica	dynamik	N	N;DEF;MASC+FEM;SG
populares	populært	popular	populær	ADJ	ADJ;INDF;NEUT;SG
populares	populære	popular	populær	ADJ	ADJ;PL
populares	populær	popular	populær	ADJ	ADJ;INDF;MASC+FEM;SG
aumenta	vil	aumentar	ville	V	V;IND;PRS;FIN;ACT
aumenta	øge	aumentar	øge	V	V;NFIN;ACT
sida	aids	sida	aids	N	N;INDF;MASC+FEM;SG
sida	hjælpemidler	sida	hjælpemiddel	N	N;INDF;NEUT;PL
similar	tilsvarende	similar	tilsvarende	ADJ	ADJ
espectadores	seere	espectador	seer	N	N;INDF;MASC+FEM;PL
espectadores	seerne	espectador	seer	N	N;DEF;MASC+FEM;PL
decateime	indset	decateime	indse	V	V;INDF;SG;PST;V.PTCP
decateime	realiseret	decateime	realisere	V	V;INDF;SG;PST;V.PTCP
decateime	indså	decateime	indså	V	V;IND;PST;FIN;ACT
saibas	ved	saber	vide	V	V;IND;PRS;FIN;ACT
saibas	vide	saber	vide	V	V;NFIN;ACT
saibas	kender	saber	kende	V	V;IND;PRS;FIN;ACT
saibas	kend	saber	kend	V	V;IMP
garantía	garanti	garantía	garanti	N	N;INDF;MASC+FEM;SG
bambú	bambus	bambú	bambus	N	N;INDF;NEUT;SG
falsos	falsk	falso	falsk	ADJ	ADJ;INDF;SG
falsos	falske	falso	falsk	ADJ	ADJ;PL
pensaban	tænkt	pensabar	tænke	V	V;INDF;SG;PST;V.PTCP
pensaban	tænkte	pensabar	tænke	V	V;IND;PST;FIN;ACT
pensaban	troede	pensabar	tro	V	V;IND;PST;FIN;ACT
coñecida	kendte	coñecer	kende	V	V;IND;PST;FIN;ACT
xulgado	domstolen	xulgado	domstol	N	N;DEF;MASC+FEM;SG
xulgado	retten	xulgado	ret	N	N;DEF;MASC+FEM;SG
xulgado	domstol	xulgado	domstol	N	N;INDF;MASC+FEM;SG
extensión	udvidelse	extensión	udvidelse	N	N;INDF;MASC+FEM;SG
extensión	forlængelse	extensión	forlængelse	N	N;INDF;MASC+FEM;SG
expansión	udvidelse	expansión	udvidelse	N	N;INDF;MASC+FEM;SG
expansión	udbygning	expansión	udbygning	N	N;INDF;MASC+FEM;SG
expansión	ekspansion	expansión	ekspansion	N	N;INDF;MASC+FEM;SG
azar	chance	azar	chance	N	N;INDF;MASC+FEM;SG
azar	chancer	azar	chance	N	N;INDF;MASC+FEM;PL
organizacións	organisationer	organización	organisation	N	N;INDF;MASC+FEM;PL
organizacións	organisationerne	organización	organisation	N	N;DEF;MASC+FEM;PL
individual	individuelle	individual	individuel	ADJ	ADJ;PL
individual	individuel	individual	individuel	ADJ	ADJ;INDF;MASC+FEM;SG
web	website	web	website	N	N;INDF;NEUT;SG
web	hjemmeside	web	hjemmeside	N	N;INDF;MASC+FEM;SG
web	webside	web	webside	N	N;INDF;MASC+FEM;SG
web	hjemmesiden	web	hjemmeside	N	N;DEF;MASC+FEM;SG
web	websted	web	websted	N	N;INDF;MASC+FEM;SG
web	web	web	web	N	N;INDF;MASC+FEM;SG
web	www	web	www	N	N;INDF;MASC+FEM;SG
web	spind	web	spind	N	N;INDF;NEUT;SG
novamente	igen	novamente	igen	ADV	ADV
intres	øjeblikke	intres	øjeblik	N	N;INDF;NEUT;PL
específico	specifik	específico	specifik	ADJ	ADJ;INDF;MASC+FEM;SG
específico	specifikke	específico	specifikke	ADJ	ADJ;PL
ordenadores	computere	ordenador	computere	N	N;INDF;MASC+FEM;PL
ordenadores	datamater	ordenador	datamat	N	N;INDF;MASC+FEM;PL
ordenadores	computeren	ordenador	computer	N	N;DEF;MASC+FEM;SG
ordenadores	computer	ordenador	compute	N	N;INDF;MASC+FEM;SG
estatísticas	statistikker	estatística	statistik	N	N;INDF;MASC+FEM;PL
estatísticas	statistik	estatística	statistik	N	N;INDF;MASC+FEM;SG
capturado	fanget	capturado	fange	V	V;INDF;SG;PST;V.PTCP
capturado	fangede	capturado	fange	V	V;IND;PST;FIN;ACT
capturado	indfanget	capturado	indfange	V	V;INDF;SG;PST;V.PTCP
características	karakteristika	característica	karakteristika	N	N;INDF;MASC+FEM;SG
características	egenskaber	característica	egenskab	N	N;INDF;MASC+FEM;PL
características	særtræk	característica	særtræk	N	N;INDF;NEUT;PL
características	funktioner	característica	funktion	N	N;INDF;MASC+FEM;PL
características	karakteristika	característica	karakteristika	N	N;INDF;MASC+FEM;SG
características	egenskaber	característica	egenskab	N	N;INDF;MASC+FEM;PL
características	kendetegn	característica	kendetegn	N	N;INDF;NEUT;SG
residencia	opholdssted	residencia	opholdssted	N	N;INDF;NEUT;SG
residencia	ophold	residencia	ophold	N	N;INDF;NEUT;SG
residencia	bopæl	residencia	bopæl	N	N;INDF;MASC+FEM;SG
residencia	bolig	residencia	bolig	N	N;INDF;MASC+FEM;SG
pensara	tror	pensar	tro	V	V;IND;PRS;FIN;ACT
pensara	synes	pensar	synes	V	V;IND;PRS;FIN;ACT
pensara	tænkt	pensar	tænke	V	V;INDF;SG;PST;V.PTCP
pensara	tænkte	pensar	tænke	V	V;IND;PST;FIN;ACT
pensara	troede	pensar	tro	V	V;IND;PST;FIN;ACT
calefacción	heat	calefacción	heat	N	N;INDF;NEUT;SG
calefacción	varme	calefacción	varme	N	N;INDF;MASC+FEM;SG
calefacción	opvarmning	calefacción	opvarmning	N	N;INDF;MASC+FEM;SG
respondeu	besvarede	responder	besvare	V	V;PL;PST;V.PTCP
respondeu	besvaret	responder	besvar	V	V;INDF;SG;PST;V.PTCP
décadas	tiår	década	tiå	N	N;INDF;NEUT;SG
décadas	årtier	década	årti	N	N;INDF;NEUT;PL
décadas	årtiers	década	årti	N	N;GEN;INDF;NEUT;PL
compartimos	deler	compartir	dele	V	V;IND;PRS;FIN;ACT
compartimos	delte	compartir	dele	V	V;IND;PST;FIN;ACT
compartimos	delt	compartir	delt	V	V;INDF;SG;PST;V.PTCP
redución	reduktion	redución	reduktion	N	N;INDF;MASC+FEM;SG
redución	nedbringelse	redución	nedbringelse	N	N;INDF;MASC+FEM;SG
redución	nedsættelse	redución	nedsættelse	N	N;INDF;MASC+FEM;SG
arder	brændende	arder	brænde	V	V;PRS;V.PTCP
arder	brænder	arder	brænde	V	V;IND;PRS;FIN;ACT
arder	brænde	arder	brænde	V	V;NFIN;ACT
arder	brænd	arder	brænd	V	V;IMP
arder	brænder	arder	brænde	V	V;IND;PRS;FIN;ACT
arder	brænde	arder	brænde	V	V;NFIN;ACT
volcán	vulkanen	volcán	vulkane	N	N;DEF;MASC+FEM;SG
volcán	vulkan	volcán	vulkan	N	N;INDF;MASC+FEM;SG
kg	pund	kg	pund	N	N;INDF;MASC+FEM;SG
kg	kilo	kg	kilo	N	N;INDF;NEUT;SG
oriental	østlig	oriental	østlig	ADJ	ADJ;INDF;MASC+FEM;SG
oriental	østlige	oriental	østlig	ADJ	ADJ;PL
oriental	orientalske	oriental	orientalsk	ADJ	ADJ;PL
violín	violin	violín	violin	N	N;INDF;MASC+FEM;SG
usado	brugte	usar	bruge	V	V;IND;PST;FIN;ACT
usado	anvendt	usar	anvende	V	V;INDF;SG;PST;V.PTCP
usado	brugt	usar	bruge	V	V;INDF;SG;PST;V.PTCP
usado	udnyttet	usar	udnytte	V	V;INDF;SG;PST;V.PTCP
explorar	udforske	explorar	udforsk	V	V;NFIN;ACT
explorar	udforske	explorar	udforsk	V	V;NFIN;ACT
explorar	udforsker	explorar	udforske	V	V;IND;PRS;FIN;ACT
xeralmente	generelt	xeral	generel	ADV	ADV
teléfonos	smartphones	teléfono	smartphones	N	N;INDF;NEUT;PL
teléfonos	telefoner	teléfono	telefon	N	N;INDF;MASC+FEM;PL
teléfonos	mobiler	teléfono	mobil	N	N;INDF;MASC+FEM;PL
estruturas	konstruktioner	estrutura	konstruktion	N	N;INDF;MASC+FEM;PL
estruturas	strukturer	estrutura	struktur	N	N;INDF;MASC+FEM;PL
estruturas	bygværker	estrutura	bygværker	N	N;INDF;NEUT;PL
fusión	fusion	fusión	fusion	N	N;INDF;MASC+FEM;SG
fusión	sammensmeltning	fusión	sammensmeltning	N	N;INDF;MASC+FEM;SG
suma	sum	suma	sum	N	N;INDF;MASC+FEM;SG
suma	summen	suma	sum	N	N;DEF;MASC+FEM;SG
mentais	mental	mental	mental	N	N;INDF;MASC+FEM;SG
tanque	kampvogn	tanque	kampvogn	N	N;INDF;MASC+FEM;SG
tanque	tank	tanque	tank	N	N;INDF;MASC+FEM;SG
eventos	begivenheder	evento	begivenhed	N	N;INDF;MASC+FEM;PL
eventos	hændelser	evento	hændelse	N	N;INDF;MASC+FEM;PL
eventos	arrangementer	evento	arrangement	N	N;INDF;NEUT;PL
eventos	events	evento	events	N	N;INDF;MASC+FEM;PL
eventos	begivenhederne	evento	begivenhed	N	N;DEF;MASC+FEM;PL
axenda	dagsordenen	axenda	dagsorden	N	N;DEF;MASC+FEM;SG
axenda	dagsorden	axenda	dagsorden	N	N;INDF;MASC+FEM;SG
axenda	agenda	axenda	agenda	N	N;INDF;MASC+FEM;SG
bancos	bankerne	banco	bank	N	N;DEF;MASC+FEM;PL
bancos	banks	banco	banks	N	N;INDF;MASC+FEM;SG
bancos	banker	banco	bank	N	N;INDF;MASC+FEM;PL
bancos	bankers	banco	bank	N	N;GEN;INDF;MASC+FEM;PL
pensaron	tænkt	pensar	tænke	V	V;INDF;SG;PST;V.PTCP
pensaron	tænkte	pensar	tænke	V	V;IND;PST;FIN;ACT
pensaron	troede	pensar	tro	V	V;IND;PST;FIN;ACT
instrucións	instruktioner	instrución	instruktion	N	N;INDF;MASC+FEM;PL
instrucións	instruktion	instrución	instruktion	N	N;INDF;MASC+FEM;SG
instrucións	brugsanvisning	instrución	brugsanvisning	N	N;INDF;MASC+FEM;SG
instrucións	instrukser	instrución	instrukse	N	N;INDF;MASC+FEM;PL
instrucións	vejledning	instrución	vejledning	N	N;INDF;MASC+FEM;SG
chamábase	var	chamábase	være	V	V;IND;PST;FIN;ACT
chamábase	blev	chamábase	blive	V	V;IND;PST;FIN;ACT
chamábase	kaldt	chamábase	kalde	V	V;INDF;SG;PST;V.PTCP
chamábase	ringet	chamábase	ringe	V	V;INDF;SG;PST;V.PTCP
chamábase	kaldet	chamábase	kalde	V	V;INDF;SG;PST;V.PTCP
chamábase	ringede	chamábase	ringe	V	V;IND;PST;FIN;ACT
chamábase	kaldte	chamábase	kalde	V	V;IND;PST;FIN;ACT
pluma	pen	plumo	pen	N	N;INDF;MASC+FEM;SG
pluma	kuglepen	plumo	kuglep	N	N;INDF;MASC+FEM;SG
pluma	pennen	plumo	pen	N	N;DEF;MASC+FEM;SG
pluma	fjer	plumo	fjer	N	N;INDF;MASC+FEM;SG
técnicos	teknikere	técnico	tekniker	N	N;INDF;MASC+FEM;PL
verbas	ord	verba	ord	N	N;INDF;NEUT;PL
deixalos	orlov	deixalo	orlov	N	N;INDF;MASC+FEM;SG
conclusión	indgåelse	conclusión	indgåelse	N	N;INDF;MASC+FEM;SG
conclusión	afslutning	conclusión	afslutning	N	N;INDF;MASC+FEM;SG
conclusión	konklusion	conclusión	konklusion	N	N;INDF;MASC+FEM;SG
orgullosos	stolte	orgulloso	stolt	ADJ	ADJ;PL
orgullosos	stolt	orgulloso	stolt	ADJ	ADJ;INDF;SG
chegarán	vil	chegar	ville	V	V;IND;PRS;FIN;ACT
escoitou	hørte	escoitar	høre	V	V;IND;PST;FIN;ACT
escoitou	hørt	escoitar	høre	V	V;INDF;SG;PST;V.PTCP
músculos	muskler	músculo	muskel	N	N;INDF;MASC+FEM;PL
músculos	musklerne	músculo	muskel	N	N;DEF;MASC+FEM;PL
demostración	demonstration	demostración	demonstration	N	N;INDF;MASC+FEM;SG
demostración	påvisning	demostración	påvisning	N	N;INDF;MASC+FEM;SG
computador	computeren	computador	computer	N	N;DEF;MASC+FEM;SG
computador	computer	computador	compute	N	N;INDF;MASC+FEM;SG
xogadores	spillere	xogador	spiller	N	N;INDF;MASC+FEM;PL
xogadores	aktører	xogador	aktøre	N	N;INDF;MASC+FEM;PL
xogadores	spillerne	xogador	spiller	N	N;DEF;MASC+FEM;PL
xogadores	spillere	xogador	spiller	N	N;INDF;MASC+FEM;PL
gañando	vinde	gañar	vinde	V	V;NFIN;ACT
gañando	vinder	gañar	vinde	V	V;IND;PRS;FIN;ACT
gañando	vindende	gañar	vinde	V	V;PRS;V.PTCP
preguntando	spørger	preguntar	spørge	V	V;IND;PRS;FIN;ACT
preguntando	spørge	preguntar	spørge	V	V;NFIN;ACT
supostamente	angiveligt	supostamente	angiveligt	ADV	ADV
supostamente	antageligt	supostamente	antagelig	ADV	ADV
violación	raps	violación	raps	N	N;INDF;MASC+FEM;SG
violación	voldtægter	violación	voldtægte	N	N;INDF;MASC+FEM;PL
violación	voldtægt	violación	voldtægt	N	N;INDF;MASC+FEM;SG
violación	krænkelse	violación	krænkelse	N	N;INDF;MASC+FEM;SG
violación	overtrædelse	violación	overtrædelse	N	N;INDF;MASC+FEM;SG
xefa	hovede	xefa	hove	N	N;INDF;NEUT;SG
xefa	hovedet	xefa	hoved	N	N;DEF;NEUT;SG
xefa	hoved	xefa	hoved	N	N;INDF;NEUT;SG
manchas	pletter	mancha	plet	N	N;INDF;MASC+FEM;PL
vestida	påklædt	vestida	påklædt	V	V;INDF;SG;PST;V.PTCP
vestida	klædt	vestida	klæde	V	V;INDF;SG;PST;V.PTCP
neveira	køleskabet	neveiro	køleskab	N	N;DEF;NEUT;SG
neveira	køleskab	neveiro	køleskab	N	N;INDF;NEUT;SG
