από	從	από	從	ADP	ADP
ομάδες	群組	ομάδα	群組	N;NOM;FEM;PL	N
ομάδες	團體	ομάδα	團體	N;NOM;FEM;PL	N
ομάδες	團隊	ομάδα	團隊	N;NOM;FEM;PL	N
ομάδες	球隊	ομάδα	球隊	N;NOM;FEM;PL	N
ομάδες	隊伍	ομάδα	隊伍	N;NOM;FEM;PL	N
έργο	項目	έργο	項目	N;NOM;NEUT;SG	N
έργο	工作	έργο	工作	N;NOM;NEUT;SG	N
κυρίως	大多	κυρίως	大多	ADV	ADV
έως	直到	ώς	直到	ADP	ADP
ταινία	電影	ταινία	電影	N;NOM;FEM;SG	N
ταινία	影片	ταινία	影片	N;NOM;FEM;SG	N
ταινία	帶子	ταινία	帶子	N;NOM;FEM;SG	N
ταινία	膠帶	ταινία	膠帶	N;NOM;FEM;SG	N
ταινία	磁帶	ταινία	磁帶	N;NOM;FEM;SG	N
ταινία	電影	ταινία	電影	N;NOM;FEM;SG	N
ταινία	膠片	ταινία	膠片	N;NOM;FEM;SG	N
ταινία	影片	ταινία	影片	N;NOM;FEM;SG	N
τμήμα	部門	τμήμα	部門	N;NOM;NEUT;SG	N
σαν	就	σαν	就	ADV	ADV
τέλος	終於	τέλος	終於	ADV	ADV
σειρά	系列	σειρά	系列	N;ACC;FEM;SG	N
σειρά	秩序	σειρά	秩序	N;ACC;FEM;SG	N
σειρά	順序	σειρά	順序	N;ACC;FEM;SG	N
σειρά	划	σειρά	划	N;ACC;FEM;SG	N
σειρά	排	σειρά	排	N;ACC;FEM;SG	N
στοιχεία	元素	στοιχείο	元素	N;NOM;NEUT;PL	N
στοιχεία	要件	στοιχείο	要件	N;NOM;NEUT;PL	N
στοιχεία	資料	στοιχείο	資料	N;NOM;NEUT;PL	N
σύστημα	系統	σύστημα	系統	N;NOM;NEUT;SG	N
ακόμα	仍然	ακόμα	仍然	ADV	ADV
ακόμα	依然	ακόμα	依然	ADV	ADV
φορές	時代	φορά	時代	N;NOM;FEM;PL	N
φορές	時報	φορά	時報	N;NOM;FEM;PL	N
ίδια	相同	ίδιος	相同	ADJ;NOM;FEM;SG	ADJ
ίδια	相同	ίδιος	相同	ADJ;NOM;FEM;SG	ADJ
χώρα	國家	χώρα	國家	N;NOM;FEM;SG	N
αποτέλεσμα	成果	αποτέλεσμα	成果	N;ACC;NEUT;SG	N
αποτέλεσμα	結果	αποτέλεσμα	結果	N;ACC;NEUT;SG	N
αποτέλεσμα	結果	αποτέλεσμα	結果	N;ACC;NEUT;SG	N
αποτέλεσμα	特效	αποτέλεσμα	特效	N;ACC;NEUT;SG	N
αποτέλεσμα	效果	αποτέλεσμα	效果	N;ACC;NEUT;SG	N
αποτέλεσμα	效應	αποτέλεσμα	效應	N;ACC;NEUT;SG	N
αγώνες	火柴	αγώνας	火柴	N;NOM;MASC;PL	N
αγώνες	遊戲	αγώνας	遊戲	N;NOM;MASC;PL	N
ταινίες	影片	ταινία	影片	N;NOM;FEM;PL	N
ταινίες	電影	ταινία	電影	N;NOM;FEM;PL	N
μέσω	通過	μέσω	通過	ADP	ADP
μέσω	經	μέσω	經	ADP	ADP
μέσω	透過	μέσω	透過	ADP	ADP
μέσω	通過	μέσω	通過	ADP	ADP
γεννήθηκε	生	γεννώ	生	V;PFV;IND;SG;3;PST;FIN;PASS	V
γεννήθηκε	誕生	γεννώ	誕生	V;PFV;IND;SG;3;PST;FIN;PASS	V
γεννήθηκε	出生	γεννώ	出生	V;PFV;IND;SG;3;PST;FIN;PASS	V
τρεις	三	τρεις	三	NUM;NOM;MASC;PL	NUM
τρεις	三	τρεις	三	NUM;NOM;MASC;PL	NUM
έργα	工程	έργο	工程	N;NOM;NEUT;PL	N
έργα	作品	έργο	作品	N;NOM;NEUT;PL	N
έργα	項目	έργο	項目	N;NOM;NEUT;PL	N
πρόεδρος	總統	πρόεδρος	總統	N;ACC;MASC;SG	N
πρόεδρος	主席	πρόεδρος	主席	N;ACC;MASC;SG	N
πολιτική	政策	πολιτική	政策	N;NOM;FEM;SG	N
πολιτική	政治	πολιτική	政治	N;NOM;FEM;SG	N
πολιτική	政治	πολιτική	政治	N;NOM;FEM;SG	N
ακόμη	仍然	ακόμα	仍然	ADV	ADV
ακόμη	依然	ακόμα	依然	ADV	ADV
ίδιο	相同	ίδιος	相同	ADJ;NOM;NEUT;SG	ADJ
μέλη	成員	μέλος	成員	N;NOM;NEUT;PL	N
τελικά	終於	τελικά	終於	ADV	ADV
μέλος	會員	μέλος	會員	N;NOM;NEUT;SG	N
μέλος	成員	μέλος	成員	N;NOM;NEUT;SG	N
εποχή	紀元	εποχή	紀元	N;ACC;FEM;SG	N
εποχή	季	εποχή	季	N;ACC;FEM;SG	N
εποχή	季節	εποχή	季節	N;ACC;FEM;SG	N
χωριό	村	χωριό	村	N;NOM;NEUT;SG	N
χωριό	鄉村	χωριό	鄉村	N;NOM;NEUT;SG	N
χωριό	村	χωριό	村	N;NOM;NEUT;SG	N
χωριό	村落	χωριό	村落	N;NOM;NEUT;SG	N
χωριό	村子	χωριό	村子	N;NOM;NEUT;SG	N
αρχικά	原本	αρχικά	原本	ADV	ADV
περίοδος	期間	περίοδος	期間	N;NOM;FEM;SG	N
δήμος	市	δήμος	市	N;NOM;MASC;SG	N
κύπελλο	盃	κύπελλος	盃	N;NOM;NEUT;SG	N
κύπελλο	杯	κύπελλος	杯	N;NOM;NEUT;SG	N
κύπελλο	杯子	κύπελλος	杯子	N;NOM;NEUT;SG	N
ζωή	生命	ζωή	生命	N;ACC;FEM;SG	N
ζωή	人生	ζωή	人生	N;ACC;FEM;SG	N
έδρα	總部	έδρα	總部	N;NOM;FEM;SG	N
έδρα	座位	έδρα	座位	N;NOM;FEM;SG	N
περιλαμβάνει	包括	περιλαμβάνω	包括	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
βάση	基地	βάση	基地	N;ACC;FEM;SG	N
βάση	基礎	βάση	基礎	N;ACC;FEM;SG	N
βάση	基數	βάση	基數	N;ACC;FEM;SG	N
βάση	基礎	βάση	基礎	N;ACC;FEM;SG	N
κέντρο	中心	κέντρο	中心	N;NOM;NEUT;SG	N
κέντρο	中心	κέντρο	中心	N;NOM;NEUT;SG	N
μορφή	形式	μορφή	形式	N;NOM;FEM;SG	N
μορφή	表格	μορφή	表格	N;NOM;FEM;SG	N
μορφή	格式	μορφή	格式	N;NOM;FEM;SG	N
μορφή	形式	μορφή	形式	N;NOM;FEM;SG	N
μορφή	格式	μορφή	格式	N;NOM;FEM;SG	N
χρόνο	時光	χρόνος	時光	N;ACC;MASC;SG	N
χρόνο	時間	χρόνος	時間	N;ACC;MASC;SG	N
ιστοσελίδα	網站	ιστοσελίδα	網站	N;NOM;FEM;SG	N
ιστοσελίδα	網頁	ιστοσελίδα	網頁	N;NOM;FEM;SG	N
κόμμα	黨	κόμμα	黨	N;NOM;NEUT;SG	N
κόμμα	政黨	κόμμα	政黨	N;NOM;NEUT;SG	N
κόμμα	宴會	κόμμα	宴會	N;NOM;NEUT;SG	N
κόμμα	聚會	κόμμα	聚會	N;NOM;NEUT;SG	N
κόμμα	逗號	κόμμα	逗號	N;NOM;NEUT;SG	N
ρόλο	作用	ρόλος	作用	N;ACC;MASC;SG	N
ρόλο	角色	ρόλος	角色	N;ACC;MASC;SG	N
άλμπουμ	相簿	άλμπουμ	相簿	N;MASC;SG	N
άλμπουμ	專輯	άλμπουμ	專輯	N;MASC;SG	N
άλμπουμ	相簿	άλμπουμ	相簿	N;MASC;SG	N
άλμπουμ	專輯	άλμπουμ	專輯	N;MASC;SG	N
έκδοση	版	έκδοση	版	N;ACC;FEM;SG	N
έκδοση	版	έκδοση	版	N;ACC;FEM;SG	N
έκδοση	版本	έκδοση	版本	N;ACC;FEM;SG	N
αρχές	當局	αρχή	當局	N;NOM;FEM;PL	N
αρχές	原則	αρχή	原則	N;NOM;FEM;PL	N
συνήθως	通常	συνήθως	通常	ADV	ADV
ονομασία	名字	ονομασία	名字	N;NOM;FEM;SG	N
ονομασία	名稱	ονομασία	名稱	N;NOM;FEM;SG	N
ονομασία	姓名	ονομασία	姓名	N;NOM;FEM;SG	N
κυβέρνηση	政府	κυβέρνηση	政府	N;NOM;FEM;SG	N
κάνει	完成	κάνω	完成	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
γλώσσα	舌頭	γλώσσα	舌頭	N;NOM;FEM;SG	N
γλώσσα	舌	γλώσσα	舌	N;NOM;FEM;SG	N
γλώσσα	語言	γλώσσα	語言	N;NOM;FEM;SG	N
γλώσσα	語	γλώσσα	語	N;NOM;FEM;SG	N
γλώσσα	語文	γλώσσα	語文	N;NOM;FEM;SG	N
γιος	兒子	γιος	兒子	N;NOM;MASC;SG	N
μάχη	戰	μάχη	戰	N;ACC;FEM;SG	N
μάχη	戰役	μάχη	戰役	N;ACC;FEM;SG	N
μάχη	戰鬥	μάχη	戰鬥	N;ACC;FEM;SG	N
μάχη	打架	μάχη	打架	N;ACC;FEM;SG	N
μάχη	戰鬥	μάχη	戰鬥	N;ACC;FEM;SG	N
πανεπιστήμιο	大學	πανεπιστήμιο	大學	N;NOM;NEUT;SG	N
δείτε	見	βλέπω	見	V;PFV;IMP;PL;2;FIN;ACT	V
δείτε	觀看	βλέπω	觀看	V;PFV;IMP;PL;2;FIN;ACT	V
πόλεμο	戰	πόλεμος	戰	N;ACC;MASC;SG	N
πόλεμο	戰爭	πόλεμος	戰爭	N;ACC;MASC;SG	N
συχνά	常常	συχνά	常常	ADV	ADV
συχνά	經常	συχνά	經常	ADV	ADV
συχνά	時常	συχνά	時常	ADV	ADV
συχνά	常常	συχνά	常常	ADV	ADV
συχνά	經常	συχνά	經常	ADV	ADV
περιοχές	區域	περιοχή	區域	N;NOM;FEM;PL	N
περιοχές	地區	περιοχή	地區	N;NOM;FEM;PL	N
παράδειγμα	範例	παράδειγμα	範例	N;NOM;NEUT;SG	N
εικόνα	照片	εικόνα	照片	N;NOM;FEM;SG	N
εικόνα	圖片	εικόνα	圖片	N;NOM;FEM;SG	N
εικόνα	影象	εικόνα	影象	N;NOM;FEM;SG	N
εικόνα	影像	εικόνα	影像	N;NOM;FEM;SG	N
εικόνα	圖片	εικόνα	圖片	N;NOM;FEM;SG	N
κατοίκους	居民	κάτοικος	居民	N;ACC;MASC;PL	N
πηγές	來源	πηγή	來源	N;NOM;FEM;PL	N
πόλεις	城鎮	πόλη	城鎮	N;NOM;FEM;PL	N
πόλεις	城市	πόλη	城市	N;NOM;FEM;PL	N
ιδιαίτερα	尤其	ιδιαίτερα	尤其	ADV	ADV
ιδιαίτερα	尤其	ιδιαίτερα	尤其	ADV	ADV
αγώνα	比賽	αγώνας	比賽	N;ACC;MASC;SG	N
αγώνα	賽	αγώνας	賽	N;ACC;MASC;SG	N
αγώνα	種族	αγώνας	種族	N;ACC;MASC;SG	N
αγώνα	競賽	αγώνας	競賽	N;ACC;MASC;SG	N
αγώνα	打架	αγώνας	打架	N;ACC;MASC;SG	N
αγώνα	戰鬥	αγώνας	戰鬥	N;ACC;MASC;SG	N
γεγονός	事件	γεγονός	事件	N;NOM;NEUT;SG	N
γεγονός	活動	γεγονός	活動	N;NOM;NEUT;SG	N
θέμα	專題	θέμα	專題	N;NOM;NEUT;SG	N
θέμα	主題	θέμα	主題	N;NOM;NEUT;SG	N
θέμα	主題	θέμα	主題	N;NOM;NEUT;SG	N
ηλικία	年紀	ηλικία	年紀	N;NOM;FEM;SG	N
ηλικία	年齡	ηλικία	年齡	N;NOM;FEM;SG	N
χρησιμοποιείται	使用	χρησιμοποιώ	使用	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
μέγεθος	大小	μέγεθος	大小	N;NOM;NEUT;SG	N
μέγεθος	體積	μέγεθος	體積	N;NOM;NEUT;SG	N
μέγεθος	尺寸	μέγεθος	尺寸	N;NOM;NEUT;SG	N
σημείο	角	σημείο	角	N;NOM;NEUT;SG	N
σημείο	點	σημείο	點	N;NOM;NEUT;SG	N
σχέση	戀愛	σχέση	戀愛	N;ACC;FEM;SG	N
σχέση	感情	σχέση	感情	N;ACC;FEM;SG	N
σχέση	關係	σχέση	關係	N;ACC;FEM;SG	N
περίπτωση	案例	περίπτωση	案例	N;ACC;FEM;SG	N
περίπτωση	個案	περίπτωση	個案	N;ACC;FEM;SG	N
περίπτωση	案件	περίπτωση	案件	N;ACC;FEM;SG	N
νέο	新	νέος	新	ADJ;ACC;NEUT;SG	ADJ
ήδη	已經	ήδη	已經	ADV	ADV
έτος	年度	έτος	年度	N;ACC;NEUT;SG	N
έτος	年份	έτος	年份	N;ACC;NEUT;SG	N
έτος	年	έτος	年	N;ACC;NEUT;SG	N
σχεδόν	幾乎	σχεδόν	幾乎	ADV	ADV
ένωση	聯盟	ένωση	聯盟	N;NOM;FEM;SG	N
ένωση	工會	ένωση	工會	N;NOM;FEM;SG	N
ένωση	協會	ένωση	協會	N;NOM;FEM;SG	N
περισσότερο	更	πολύ	更	ADV;CMPR	ADV
βασιλιά	國王	βασιλιάς	國王	N;ACC;MASC;SG	N
εκκλησία	教會	εκκλησία	教會	N;NOM;FEM;SG	N
εκκλησία	教堂	εκκλησία	教堂	N;NOM;FEM;SG	N
μουσείο	博物	μουσείο	博物	N;NOM;NEUT;SG	N
δυο	兩	δύο	兩	NUM;NOM;PL	NUM
δυο	兩	δύο	兩	NUM;NOM;PL	NUM
δυο	二	δύο	二	NUM;NOM;PL	NUM
μεγαλύτερη	更大	μεγάλος	更大	ADJ;NOM;CMPR;FEM;SG	ADJ
κόσμο	世界	κόσμος	世界	N;ACC;MASC;SG	N
άτομα	人	άτομο	人	N;NOM;NEUT;PL	N
άτομα	人們	άτομο	人	N;NOM;NEUT;PL	N;PL
άτομα	人民	άτομο	人民	N;NOM;NEUT;PL	N
είδος	型態	είδος	型態	N;NOM;NEUT;SG	N
είδος	類型	είδος	類型	N;NOM;NEUT;SG	N
είδος	魚種	είδος	魚種	N;NOM;NEUT;SG	N
είδος	物種	είδος	物種	N;NOM;NEUT;SG	N
μεγαλύτερο	更大	μεγάλος	更大	ADJ;NOM;CMPR;NEUT;SG	ADJ
εκείνη	她	εκείνος	她	PRO;ACC;FEM;SG;3	PRO;3
χώρες	國家	χώρα	國家	N;NOM;FEM;PL	N
χώρες	各國	χώρα	各國	N;NOM;FEM;PL	N
χώρο	太空	χώρος	太空	N;ACC;MASC;SG	N
χώρο	空間	χώρος	空間	N;ACC;MASC;SG	N
σχολή	學校	σχολή	學校	N;NOM;FEM;SG	N
τρία	三	τρεις	三	NUM;NOM;NEUT;PL	NUM
τρία	三	τρεις	三	NUM;NOM;NEUT;PL	NUM
χαρακτηριστικά	特徵	χαρακτηριστικός	特徵	N;NOM;NEUT;PL	N
χαρακτηριστικά	特性	χαρακτηριστικός	特性	N;NOM;NEUT;PL	N
χαρακτηριστικά	特點	χαρακτηριστικός	特點	N;NOM;NEUT;PL	N
χαρακτηριστικά	功能	χαρακτηριστικός	功能	N;NOM;NEUT;PL	N
χαρακτηριστικά	特色	χαρακτηριστικός	特色	N;NOM;NEUT;PL	N
χαρακτηριστικά	特徵	χαρακτηριστικός	特徵	N;NOM;NEUT;PL	N
χαρακτηριστικά	特點	χαρακτηριστικός	特點	N;NOM;NEUT;PL	N
χαρακτηριστικά	屬性	χαρακτηριστικός	屬性	N;NOM;NEUT;PL	N
όρος	任期	όρος	任期	N;NOM;MASC;SG	N
όρος	術語	όρος	術語	N;NOM;MASC;SG	N
όρος	學期	όρος	學期	N;NOM;MASC;SG	N
όρος	山	όρος	山	N;NOM;MASC;SG	N
όρος	條件	όρος	條件	N;NOM;MASC;SG	N
όρος	狀況	όρος	狀況	N;NOM;MASC;SG	N
βασιλιάς	國王	βασιλιάς	國王	N;NOM;MASC;SG	N
παιδιά	男生	παιδί	男生	N;NOM;NEUT;PL	N
παιδιά	男孩	παιδί	男孩	N;NOM;NEUT;PL	N
παιδιά	小孩	παιδί	小孩	N;NOM;NEUT;PL	N
παιδιά	兒童	παιδί	兒童	N;NOM;NEUT;PL	N
βραβείο	獎品	βραβείο	獎品	N;NOM;NEUT;SG	N
βραβείο	獎賞	βραβείο	獎賞	N;NOM;NEUT;SG	N
βραβείο	獎	βραβείο	獎	N;NOM;NEUT;SG	N
βραβείο	獎	βραβείο	獎	N;NOM;NEUT;SG	N
φαίνεται	看	φαίνομαι	看	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
αρχαία	古老	αρχαίος	古老	ADJ;NOM;FEM;SG	ADJ
μήκος	長度	μήκος	長度	N;ACC;NEUT;SG	N
κυκλοφόρησε	獲釋	κυκλοφορώ	獲釋	V;PFV;IND;SG;3;PST;FIN;ACT	V
χρονιά	年度	χρονιά	年度	N;ACC;FEM;SG	N
χρονιά	年份	χρονιά	年份	N;ACC;FEM;SG	N
χρονιά	年	χρονιά	年	N;ACC;FEM;SG	N
παραγωγή	產量	παραγωγή	產量	N;NOM;FEM;SG	N
ηθοποιός	女	ηθοποιός	女	N;NOM;MASC;SG	N
ηθοποιός	女	ηθοποιός	女	N;NOM;MASC;SG	N
ηθοποιός	演員	ηθοποιός	演員	N;NOM;MASC;SG	N
ηθοποιός	男	ηθοποιός	男	N;NOM;MASC;SG	N
ηθοποιός	演員	ηθοποιός	演員	N;NOM;MASC;SG	N
δυνάμεις	權力	δύναμη	權力	N;NOM;FEM;PL	N
δυνάμεις	強項	δύναμη	強項	N;NOM;FEM;PL	N
δυνάμεις	長處	δύναμη	長處	N;NOM;FEM;PL	N
βιβλίο	圖書	βιβλίο	圖書	N;NOM;NEUT;SG	N
βιβλίο	書	βιβλίο	書	N;NOM;NEUT;SG	N
βιβλίο	書籍	βιβλίο	書籍	N;NOM;NEUT;SG	N
διάστημα	區間	διάστημα	區間	N;NOM;NEUT;SG	N
διάστημα	間歇	διάστημα	間歇	N;NOM;NEUT;SG	N
διάστημα	間	διάστημα	間	N;NOM;NEUT;SG	N
διάστημα	太空	διάστημα	太空	N;NOM;NEUT;SG	N
διάστημα	空間	διάστημα	空間	N;NOM;NEUT;SG	N
οικογένεια	家人	οικογένεια	家人	N;NOM;FEM;SG	N
οικογένεια	家屬	οικογένεια	家屬	N;NOM;FEM;SG	N
οικογένεια	家庭	οικογένεια	家庭	N;NOM;FEM;SG	N
μέτρα	措施	μέτρο	措施	N;NOM;NEUT;PL	N
πέντε	五	πέντε	五	NUM;NOM;MASC;PL	NUM
πέντε	五	πέντε	五	NUM;NOM;MASC;PL	NUM
υπουργός	大臣	υπουργός	大臣	N;NOM;MASC;SG	N
υπουργός	部長	υπουργός	部長	N;NOM;MASC;SG	N
σεζόν	季	σεζόν	季	N;ACC;FEM;SG	N
σεζόν	季節	σεζόν	季節	N;ACC;FEM;SG	N
πρότυπο	模範	πρότυπο	模範	N;NOM;NEUT;SG	N
πρότυπο	模型	πρότυπο	模型	N;NOM;NEUT;SG	N
πρότυπο	型號	πρότυπο	型號	N;NOM;NEUT;SG	N
πρότυπο	模特	πρότυπο	模特	N;NOM;NEUT;SG	N
πρότυπο	樣板	πρότυπο	樣板	N;NOM;NEUT;SG	N
πρότυπο	模板	πρότυπο	模板	N;NOM;NEUT;SG	N
πρότυπο	標準	πρότυπο	標準	N;NOM;NEUT;SG	N
αριθμός	數字	αριθμός	數字	N;NOM;MASC;SG	N
αριθμός	數	αριθμός	數	N;NOM;MASC;SG	N
αριθμός	號碼	αριθμός	號碼	N;NOM;MASC;SG	N
αριθμός	編號	αριθμός	編號	N;NOM;MASC;SG	N
θάνατο	死神	θάνατος	死神	N;ACC;MASC;SG	N
εταιρεία	公司	εταιρεία	公司	N;NOM;FEM;SG	N
σώμα	屍體	σώμα	屍體	N;NOM;NEUT;SG	N
σώμα	體	σώμα	體	N;NOM;NEUT;SG	N
σώμα	身體	σώμα	身體	N;NOM;NEUT;SG	N
πρωτεύουσα	資本	πρωτεύουσα	資本	N;NOM;FEM;SG	N
πρωτεύουσα	首都	πρωτεύουσα	首都	N;NOM;FEM;SG	N
παράλληλα	並	παράλληλα	並	ADV	ADV
κατάσταση	狀況	κατάσταση	狀況	N;ACC;FEM;SG	N
κατάσταση	狀態	κατάσταση	狀態	N;ACC;FEM;SG	N
κατάσταση	現況	κατάσταση	現況	N;ACC;FEM;SG	N
κατάσταση	情況	κατάσταση	情況	N;ACC;FEM;SG	N
κατάσταση	條件	κατάσταση	條件	N;ACC;FEM;SG	N
κατάσταση	狀況	κατάσταση	狀況	N;ACC;FEM;SG	N
νησί	海島	νησί	海島	N;NOM;NEUT;SG	N
νησί	島嶼	νησί	島嶼	N;NOM;NEUT;SG	N
επίπεδο	層次	επίπεδο	層次	N;NOM;NEUT;SG	N
επίπεδο	級別	επίπεδο	級別	N;NOM;NEUT;SG	N
επίπεδο	等級	επίπεδο	等級	N;NOM;NEUT;SG	N
επίπεδο	關卡	επίπεδο	關卡	N;NOM;NEUT;SG	N
επιτυχία	成功	επιτυχία	成功	N;NOM;FEM;SG	N
αρχή	原則	αρχή	原則	N;NOM;FEM;SG	N
αρχή	原理	αρχή	原理	N;NOM;FEM;SG	N
αρχή	權威	αρχή	權威	N;NOM;FEM;SG	N
άδεια	執照	άδεια	執照	N;NOM;FEM;SG	N
άδεια	駕照	άδεια	駕照	N;NOM;FEM;SG	N
άδεια	執照	άδεια	執照	N;NOM;FEM;SG	N
άδεια	空白	άδεια	空白	N;NOM;FEM;SG	N
άδεια	空	άδεια	空	N;NOM;FEM;SG	N
περισσότερα	更多	πολύς	更多	ADJ;NOM;CMPR;NEUT;PL	ADJ
φάση	階段	φάση	階段	N;ACC;FEM;SG	N
συγγραφέας	作家	συγγραφέα	作家	N;NOM;MASC;SG	N
συγγραφέας	作者	συγγραφέα	作者	N;NOM;MASC;SG	N
συγγραφέας	編劇	συγγραφέα	編劇	N;NOM;MASC;SG	N
συγγραφέας	作者	συγγραφέα	作者	N;NOM;MASC;SG	N
τραγούδι	歌聲	τραγούδι	歌聲	N;NOM;NEUT;SG	N
τραγούδι	唱歌	τραγούδι	唱歌	N;NOM;NEUT;SG	N
τραγούδι	歌唱	τραγούδι	歌唱	N;NOM;NEUT;SG	N
τραγούδι	歌曲	τραγούδι	歌曲	N;NOM;NEUT;SG	N
τραγούδι	首歌	τραγούδι	首歌	N;NOM;NEUT;SG	N
τραγούδι	歌	τραγούδι	歌	N;NOM;NEUT;SG	N
κόρη	女兒	κόρη	女兒	N;NOM;FEM;SG	N
πάλι	再次	πάλι	再次	ADV	ADV
επαρχία	省	επαρχία	省	N;NOM;FEM;SG	N
επαρχία	省省	επαρχία	省省	N;NOM;FEM;SG	N
επαρχία	省份	επαρχία	省份	N;NOM;FEM;SG	N
κέρδισε	贏	κερδίζω	贏	V;PFV;IND;SG;3;PST;FIN;ACT	V
βασίλειο	王國	βασίλειο	王國	N;NOM;NEUT;SG	N
βασίλειο	國度	βασίλειο	國度	N;NOM;NEUT;SG	N
πληροφορίες	資訊	πληροφορία	資訊	N;NOM;FEM;PL	N
καριέρα	職業	καριέρα	職業	N;ACC;FEM;SG	N
ποτέ	從來	ποτέ	從來	ADV	ADV
