patroli	partio	patroli	partio	N;SG	N;NOM;SG
menyelidiki	tutki	menselidiki	tutkia	V;SG;ACT	V;IMP;SG;2;FIN;ACT
orientasi	suuntaus	orientasi	suuntaus	N;SG	N;NOM;SG
orientasi	suunta	orientasi	suunta	N;SG	N;NOM;SG
mangga	mango	mangga	mango	N	N;NOM;SG
bir	olut	bir	olut	N;SG	N;NOM;SG
bir	kaljaa	bir	kalja	N;SG	N;PRT;SG
bir	olutta	bir	olut	N;SG	N;PRT;SG
bir	kalja	bir	kalja	N;SG	N;NOM;SG
bir	olut	bir	olut	N;SG	N;NOM;SG
bir	olutta	bir	olut	N;SG	N;PRT;SG
bir	kaljaa	bir	kalja	N;SG	N;PRT;SG
rusa	hirvi	rusa	hirvi	N	N;NOM;SG
rusa	hirvi	rusa	hirvi	N	N;NOM;SG
rusa	peura	rusa	peura	N	N;NOM;SG
rusa	hirvi	rusa	hirvi	N	N;NOM;SG
rusa	peuran	rusa	peura	N	N;GEN;SG
bahu	olkapää	bahu	olka#pää	N;SG	N;NOM;SG
berlari	juossut	berlari	juosta	V;SG;ACT	V;NOM;SG;V.PTCP;ACT
berlari	juoksi	berlari	juosta	V;SG;ACT	V;IND;SG;3;PST;FIN;ACT
berlari	juoksee	berlari	juosta	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
residen	asukas	residen	asukas	N	N;NOM;SG
residen	prefekti	residen	prefekti	N	N;NOM;SG
anggrek	orkidea	anggrek	orkidea	N;SG	N;NOM;SG
referendum	kansanäänestyksen	referendum	kansan#äänestys	N	N;GEN;SG
referendum	kansanäänestystä	referendum	kansan#äänestys	N	N;PRT;SG
referendum	kansanäänestys	referendum	kansan#äänestys	N	N;NOM;SG
sindrom	syndrooma	sindrom	syndrooma	N	N;NOM;SG
sindrom	oireyhtymä	sindrom	oire#yhtymä	N	N;NOM;SG
elit	eliitti	elit	eliitti	N;SG	N;NOM;SG
jujur	rehellistä	jujur	rehellinen	ADJ;SG	ADJ;PRT;SG
jujur	rehellinen	jujur	rehellinen	ADJ;SG	ADJ;NOM;SG
instalasi	laitos	instalasi	laitos	N;SG	N;NOM;SG
instalasi	asennus	instalasi	asennus	N;SG	N;NOM;SG
instalasi	asennus	instalasi	asennus	N;SG	N;NOM;SG
instalasi	asentaminen	instalasi	asentaminen	N;SG	N;NOM;SG
cabai	chili	cabai	chili	N;SG	N;NOM;SG
cabai	chiliä	cabai	chil	N;SG	N;PRT;SG
lembar	arkki	lembar	arkki	N;SG	N;NOM;SG
mengarahkan	ohjata	menkarahkan	ohjata	V;SG;ACT	V;SG;NFIN;ACT
mengarahkan	ohjata	menkarahkan	ohjata	V;SG;ACT	V;SG;NFIN;ACT
mengarahkan	ohjaa	menkarahkan	ohjata	V;SG;ACT	V;IND;SG;2;PRS;FIN;ACT
faksi	ryhmittymä	faksi	ryhmittymä	N;SG	N;NOM;SG
kelautan	meren	kelautan	meri	N;SG	N;GEN;SG
kelautan	merijalkaväki	kelautan	meri#jalka#väki	N;SG	N;NOM;SG
kelautan	sotilas	kelautan	sotilas	N;SG	N;NOM;SG
kelautan	merenkulun	kelautan	meren#kulu	N;SG	N;GEN;SG
bayangan	varjon	bayangan	varjo	N;SG	N;GEN;SG
bayangan	varjo	bayangan	varjo	N;SG	N;NOM;SG
keberadaannya	olemassaoloa	keberadaan	olemassaolo	N;SG	N;PRT;SG
keberadaannya	olemassaolo	keberadaan	olemassaolo	N;SG	N;NOM;SG
waris	perijä	waris	perijä	N;SG	N;NOM;SG
waris	perillinen	waris	perillinen	N;SG	N;NOM;SG
keterbatasan	rajoitus	keterbatasan	rajoitus	N;SG	N;NOM;SG
keterbatasan	rajoittaminen	keterbatasan	rajoittaminen	N;SG	N;NOM;SG
mitsubishi	mitsubishi	mitsubishi	mitsubishi	N	N;NOM;SG
torpedo	torpedo	torpedo	torpedo	N	N;NOM;SG
torpedo	torpedot	torpedo	torpeto	N	N;NOM;PL
busur	kaari	busur	kaari	N;SG	N;NOM;SG
busur	keula	busur	keula	N;SG	N;NOM;SG
busur	jousi	busur	jousi	N;SG	N;NOM;SG
luasnya	laajuus	luas	laajuus	N;SG	N;NOM;SG
persenjataan	asevarasto	persenjataan	ase#varasto	N;SG	N;NOM;SG
kantong	taskuun	kantong	tasku	N;SG	N;IN+ALL;SG
kantong	taskussa	kantong	tasku	N;SG	N;IN+ESS;SG
kantong	pussi	kantong	pussi	N;SG	N;NOM;SG
kantong	säkki	kantong	säkki	N;SG	N;NOM;SG
kantong	laukku	kantong	laukku	N;SG	N;NOM;SG
kantong	pussi	kantong	pussi	N;SG	N;NOM;SG
kelayakan	kelpoisuus	kelayakan	kelpoisuus	N;SG	N;NOM;SG
fisikawan	fyysikko	fisikawan	fyysikko	N;MASC;SG	N;NOM;SG
robinson	robinson	robinson	robinso	N	N;NOM;SG
depresi	masennus	depresi	masennus	N;SG	N;NOM;SG
depresi	lama	depresi	lama	N;SG	N;NOM;SG
depresi	masennusta	depresi	masennus	N;SG	N;PRT;SG
pembaruan	uudistaminen	penbaruan	uudistaminen	N;SG	N;NOM;SG
pembaruan	uusimista	penbaruan	uusiminen	N;SG	N;PRT;SG
pembaruan	uusiminen	penbaruan	uusiminen	N;SG	N;NOM;SG
pembaruan	päivitys	penbaruan	päivitys	N;SG	N;NOM;SG
pengecualian	poikkeus	pengecualian	poikkeus	N;SG	N;NOM;SG
pengecualian	poikkeuksen	pengecualian	poikkeus	N;SG	N;GEN;SG
pengecualian	syrjäytymistä	pengecualian	syrjäytyminen	N;SG	N;PRT;SG
pengecualian	syrjäytyminen	pengecualian	syrjäytyminen	N;SG	N;NOM;SG
pengecualian	syrjäytymisen	pengecualian	syrjäytyminen	N;SG	N;GEN;SG
butuh	tarvita	butuh	tarvita	V;SG;ACT	V;IMP;SG;2;FIN;ACT
sintesis	synteesi	sintesis	synteesi	N;SG	N;NOM;SG
keterlibatan	sitoutumisen	keterlibatan	sitoutuminen	N;SG	N;GEN;SG
keterlibatan	sitoutuminen	keterlibatan	sitoutuminen	N;SG	N;NOM;SG
keterlibatan	sitoutumista	keterlibatan	sitoutuminen	N;SG	N;PRT;SG
keterlibatan	osallistumista	keterlibatan	osallistuminen	N;SG	N;PRT;SG
keterlibatan	osallisuus	keterlibatan	osallisuus	N;SG	N;NOM;SG
keterlibatan	osallistumisen	keterlibatan	osallistuminen	N;SG	N;GEN;SG
keterlibatan	osallistuminen	keterlibatan	osallistuminen	N;SG	N;NOM;SG
keterlibatan	osallisuus	keterlibatan	osallisuus	N;SG	N;NOM;SG
tendangan	potku	tendangan	potku	N;SG	N;NOM;SG
tendangan	kick	tendangan	kick	N;SG	N;NOM;SG
ditangani	hoidettu	ditangani	hoitaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
ditangani	käsitelty	ditangani	käsitellä	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
kesimpulan	päätelmä	kesimpulan	päätelmä	N;SG	N;NOM;SG
kesimpulan	johtopäätös	kesimpulan	johto#päätös	N;SG	N;NOM;SG
menyembuhkan	paranee	mensembuhkan	parata	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menyembuhkan	parantua	mensembuhkan	parantua	V;SG;ACT	V;SG;NFIN;ACT
menyembuhkan	parane	mensembuhkan	paranee	V;SG;ACT	V;IMP;SG;2;FIN;ACT
menyembuhkan	paranna	mensembuhkan	parantaa	V;SG;ACT	V;IMP;SG;2;FIN;ACT
menyembuhkan	parantaa	mensembuhkan	parantaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menyembuhkan	paranna	mensembuhkan	parantaa	V;SG;ACT	V;IMP;SG;2;FIN;ACT
menyembuhkan	parantaa	mensembuhkan	parantaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
kebijaksanaan	harkinta	kebijaksanaan	harkinta	N;SG	N;NOM;SG
kebijaksanaan	viisaus	kebijaksanaan	viisaus	N;SG	N;NOM;SG
kebijaksanaan	viisauden	kebijaksanaan	viisaus	N;SG	N;GEN;SG
kebijaksanaan	viisautta	kebijaksanaan	viisaus	N;SG	N;PRT;SG
striker	hyökkääjä	striker	hyökkääjä	N;SG	N;NOM;SG
striker	striker	striker	striker	N;SG	N;NOM;SG
ringkasan	tiivistelmä	ringkasan	tiivistelmä	N;SG	N;NOM;SG
ringkasan	yhteenveto	ringkasan	yhteen#veto	N;SG	N;NOM;SG
perkemahan	leiri	perkemahan	leiri	N	N;NOM;SG
perkemahan	leirin	perkemahan	leiri	N	N;GEN;SG
perkemahan	camp	perkemahan	camp	N	N;NOM;SG
perkemahan	leirillä	perkemahan	leiri	N	N;AT+ESS
;SG
perkemahan	leirit	perkemahan	leiri	N	N;NOM;PL
maritim	merenkulun	maritim	meren#kulu	N	N;GEN;SG
persemakmuran	yhteisö	persemakmuran	yhteisö	N	N;NOM;SG
pemujaan	kultti	penpujaan	kultti	N;SG	N;NOM;SG
survey	tutkimuksen	survey	tutkimus	N	N;GEN;SG
survey	kysely	survey	kysely	N	N;NOM;SG
survey	tutkimus	survey	tutkimus	N	N;NOM;SG
diperluas	laajennettu	diperluas	laajentaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
diperluas	laajennettu	diperluas	laajentaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
diperluas	jatkettu	diperluas	jatkaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
kutukan	kirous	kutukan	kirous	N;SG	N;NOM;SG
kutukan	kadotus	kutukan	kadotus	N;SG	N;NOM;SG
temuan	löytö	temuan	löytö	N;SG	N;NOM;SG
pentas	vaihe	pentas	vaihe	N	N;NOM;SG
pentas	näyttämö	pentas	näyttämö	N	N;NOM;SG
pentas	vaiheessa	pentas	vaihe	N	N;IN+ESS;SG
pentas	lava	pentas	lava	N	N;NOM;SG
antarmuka	liittymä	antarmuka	liittyä	N;SG	N;NOM;SG
antarmuka	käyttöliittymä	antarmuka	käyttö#liittymä	N;SG	N;NOM;SG
antarmuka	liitäntä	antarmuka	liitän	N;SG	N;NOM;SG
petang	iltaa	petang	ilta	N;SG	N;PRT;SG
petang	ilta	petang	ilta	N;SG	N;NOM;SG
diagram	kaavio	diagram	kaavio	N;SG	N;NOM;SG
diagram	kaavio	diagram	kaavio	N;SG	N;NOM;SG
diagram	kuvio	diagram	kuvio	N;SG	N;NOM;SG
tempuh	emilia	tempuh	emilia	N;SG;ACT	N;NOM;SG
elektro	sähkö	elektro	sähkö	N;SG	N;NOM;SG
sandi	salasanan	sandi	sala#sana	N;SG	N;GEN;SG
sandi	salasana	sandi	salasa	N;SG	N;NOM;SG
administrator	ylläpitäjä	administrator	ylläpitäjä	N;SG	N;NOM;SG
administrator	valvojan	administrator	valvoja	N;SG	N;GEN;SG
mewarisi	periä	menwarisi	periä	V;SG;ACT	V;SG;NFIN;ACT
mewarisi	perinyt	menwarisi	periä	V;SG;ACT	V;NOM;SG;V.PTCP;ACT
mewarisi	peri	menwarisi	periä	V;SG;ACT	V;IMP;SG;2;FIN;ACT
lutheran	luterilainen	lutheran	luterilainen	N	N;NOM;SG
susah	kova	susah	kova	ADJ;SG	ADJ;NOM;SG
susah	kovaa	susah	kova	ADJ;SG	ADJ;PRT;SG
susah	rankkaa	susah	rankka	ADJ;SG	ADJ;PRT;SG
susah	vaikeaa	susah	vaikea	ADJ;SG	ADJ;PRT;SG
susah	vaikea	susah	vaikea	ADJ;SG	ADJ;NOM;SG
susah	hankala	susah	hankala	ADJ;SG	ADJ;NOM;SG
susah	hankalaa	susah	hankala	ADJ;SG	ADJ;PRT;SG
dilepaskan	sammutettu	dilepaskan	sammuttaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
dilepaskan	julkaistu	dilepaskan	julkaista	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
dilepaskan	luovutettu	dilepaskan	luovuttaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
dilepaskan	vapautettu	dilepaskan	vapauttaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
dilepaskan	irrotettu	dilepaskan	irrottaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
penomoran	numerointi	pennomoran	numerointi	N;SG	N;NOM;SG
mediterania	välimeri	mediterania	väli#meri	N;SG	N;NOM;SG
adventure	seikkailuja	adventure	seikkailu	N	N;PRT;PL
adventure	seikkailu	adventure	seikkailu	N	N;NOM;SG
adventure	seikkailua	adventure	seikkailu	N	N;PRT;SG
ketegangan	jännitys	ketegangan	jännitys	N;SG	N;NOM;SG
ketegangan	jännite	ketegangan	jännite	N;SG	N;NOM;SG
ketegangan	jännitys	ketegangan	jännitys	N;SG	N;NOM;SG
ketegangan	jännityksen	ketegangan	jännitys	N;SG	N;GEN;SG
ketegangan	jännitystä	ketegangan	jännitys	N;SG	N;PRT;SG
petir	ukkonen	petir	ukkonen	N;SG	N;NOM;SG
petir	salama	petir	salama	N;SG	N;NOM;SG
petir	salaman	petir	salama	N;SG	N;GEN;SG
menantang	haastaa	mentantang	haastaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menantang	haastaa	mentantang	haastaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menantang	haastoi	mentantang	haastaa	V;SG;ACT	V;IND;SG;3;PST;FIN;ACT
desainer	suunnittelija	desainer	suunnittelija	N;SG	N;NOM;SG
kecerdasan	älykkyys	kecerdasan	älykkyys	N;SG	N;NOM;SG
kecerdasan	tiedustelu	kecerdasan	tiedustelu	N;SG	N;NOM;SG
kecerdasan	älyä	kecerdasan	elyä	N;SG	N;PRT;SG
kecerdasan	tiedustelupalvelu	kecerdasan	tiedustelu#palvelu	N;SG	N;NOM;SG
kecerdasan	älykästä	kecerdasan	älykäs	N;SG	N;PRT;SG
kecerdasan	älyn	kecerdasan	älyn	N;SG	N;GEN;SG
kecerdasan	älyä	kecerdasan	elyä	N;SG	N;PRT;SG
modul	moduuli	modul	moduuli	N;SG	N;NOM;SG
kecewa	tyytymätön	kecewa	tyytymätön	ADJ;SG	ADJ;NOM;SG
kecewa	tyytymätön	kecewa	tyytymätön	ADJ;SG	ADJ;NOM;SG
vandalisme	vandalismia	vandalisme	vandalismi	N;SG	N;PRT;SG
tinju	nyrkkeilyä	tinju	nyrkkeily	N;SG	N;PRT;SG
tinju	nyrkkeily	tinju	nyrkkeily	N;SG	N;NOM;SG
tinju	nyrkki	tinju	nyrkki	N;SG	N;NOM;SG
manufaktur	valmistajien	manufaktur	valmistaja	N	N;GEN;PL
manufaktur	valmistajat	manufaktur	valmistaja	N	N;NOM;PL
manufaktur	valmistus	manufaktur	valmistus	N	N;NOM;SG
manufaktur	valmistaja	manufaktur	valmistaja	N	N;NOM;SG
manufaktur	valmistajan	manufaktur	valmistaja	N	N;GEN;SG
potret	muotokuva	potret	muoto#kuva	N;SG	N;NOM;SG
propaganda	propagandaa	propaganda	propaganda	N;SG	N;PRT;SG
digabung	yhdistetty	digabung	yhdistää	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
mempercepat	kiihdyttää	menpercepat	kiihdyttää	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
mempercepat	kiihtyy	menpercepat	kiihtyä	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
geng	geng	geng	geng	N;SG	N;NOM;SG
geng	jengi	geng	jengi	N;SG	N;NOM;SG
geng	gangin	geng	gang	N;SG	N;GEN;SG
suster	sisarukset	suster	sisarus	N	N;NOM;PL
suster	siskot	suster	sisko	N	N;NOM;PL
suster	sisaret	suster	sisar	N	N;NOM;PL
suster	siskon	suster	sisko	N	N;GEN;SG
suster	sisko	suster	sisko	N	N;NOM;SG
suster	sairaanhoitaja	suster	sairaan#hoitaja	N	N;NOM;SG
suster	hoitaja	suster	hoitaja	N	N;NOM;SG
mengejutkan	järkyttävä	menkejutkan	järkyttävä	V;SG;ACT	V;NOM;SG;V.PTCP;ACT
memutar	käännä	menputar	kääntää	V;SG;ACT	V;IMP;SG;2;FIN;ACT
memutar	kierrä	menputar	kierrä	V;SG;ACT	V;IMP;SG;2;FIN;ACT
fighter	taistelija	fighter	taistelija	N	N;NOM;SG
fighter	hävittäjä	fighter	hävittäjä	N	N;NOM;SG
geometri	geometrian	geometri	geometria	N	N;GEN;SG
kelainan	poikkeavuus	kelainan	poikkeavuus	N;SG	N;NOM;SG
kelainan	häiriö	kelainan	häiriö	N;SG	N;NOM;SG
kelainan	epämuodostuma	kelainan	epä#muodostuma	N;SG	N;NOM;SG
gaji	palkan	gaji	palkka	N;SG	N;GEN;SG
gaji	palkka	gaji	palkka	N;SG	N;NOM;SG
diarahkan	suunnattu	diarahkan	suunnata	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
diarahkan	kohdistettu	diarahkan	kohdistaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
diarahkan	kohdennettu	diarahkan	kohdentaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
lada	pippuria	lada	pippuri	N;SG	N;PRT;SG
lada	lada	lada	lada	N;SG	N;NOM;SG
dikategorikan	luokiteltu	dikategorikan	luokitella	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
pengurangan	vähennys	penkurangan	vähennys	N;SG	N;NOM;SG
pengurangan	vähentäminen	penkurangan	vähentäminen	N;SG	N;NOM;SG
pengurangan	pienentäminen	penkurangan	pienentäminen	N;SG	N;NOM;SG
pengurangan	väheneminen	penkurangan	väheneminen	N;SG	N;NOM;SG
direbut	vangittu	direbut	vangita	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
menyumbangkan	lahjoittaa	mensumbangkan	lahjoittaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menyumbangkan	myötävaikuttaa	mensumbangkan	myötä#vaikuttaa	V;SG;ACT	V;SG;NFIN;ACT
anggun	tyylikäs	anggun	tyylikäs	ADJ;SG	ADJ;NOM;SG
inspektur	tarkastaja	inspektur	tarkastaja	N	N;NOM;SG
inspektur	komisario	inspektur	komisario	N	N;NOM;SG
genetika	genetiikan	genetika	genetiikka	N;SG	N;GEN;SG
globalisasi	globalisaatio	globalisasi	globalisaatio	N	N;NOM;SG
sedan	sedan	sedan	sedan	N;SG	N;NOM;SG
sedan	saloon	sedan	salo	N;SG	N;IN+ALL;SG
identifikasi	tunnistaminen	identifikasi	tunnistaminen	N;SG	N;NOM;SG
identifikasi	tunniste	identifikasi	tunniste	N;SG	N;NOM;SG
identifikasi	tunnistus	identifikasi	tunnistus	N;SG	N;NOM;SG
kebahagiaan	onni	kebahagiaan	onni	N;SG	N;NOM;SG
kebahagiaan	onnen	kebahagiaan	onni	N;SG	N;GEN;SG
kebahagiaan	onnea	kebahagiaan	onni	N;SG	N;PRT;SG
kebahagiaan	onnellisuus	kebahagiaan	onnellisuus	N;SG	N;NOM;SG
dilatih	koulutettu	dilatih	kouluttaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
pemberdayaan	valtuutus	pemberdayaan	valtuutus	N;SG	N;NOM;SG
terintegrasi	integroitu	terintegrasi	integroida	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
script	skriptit	script	skripti	N	N;NOM;PL
script	käsikirjoitus	script	käsi#kirjoitus	N	N;NOM;SG
komitmen	sitoumus	komitmen	sitoumus	N;SG	N;NOM;SG
komitmen	sitoumuksen	komitmen	sitoumus	N;SG	N;GEN;SG
komitmen	sitoutuminen	komitmen	sitoutuminen	N;SG	N;NOM;SG
komitmen	sitoutumista	komitmen	sitoutuminen	N;SG	N;PRT;SG
kentang	perunaa	kentang	peruna	N;SG	N;PRT;SG
kentang	peruna	kentang	peruna	N;SG	N;NOM;SG
kentang	perunan	kentang	peruna	N;SG	N;GEN;SG
kentang	perunaa	kentang	peruna	N;SG	N;PRT;SG
kentang	peruna	kentang	peruna	N;SG	N;NOM;SG
nutrisi	ravinto	nutrisi	ravinto	N;SG	N;NOM;SG
nutrisi	ravitsemus	nutrisi	ravitsemus	N;SG	N;NOM;SG
meletus	purkautui	menletus	purkautua	V;SG;ACT	V;IND;SG;3;PST;FIN;ACT
icao	icao	icao	icao	N	N;NOM;SG
jual	myyminen	jual	myyminen	N;SG;ACT	N;NOM;SG
fantasi	fantasia	fantasi	fantanen	N	N;PRT;PL
fantasi	fantasioita	fantasi	fantasia	N	N;PRT;PL
mengutip	siteeraa	menutip	siteera	V;SG;ACT	V;IMP;SG;2;FIN;ACT
haiti	haitin	haiti	haitti	N	N;GEN;SG
haiti	haitin	haiti	haitti	N	N;GEN;SG
manuskrip	käsikirjoituksia	manuskrip	käsi#kirjoitus	N	N;PRT;PL
manuskrip	käsikirjoitus	manuskrip	käsi#kirjoitus	N	N;NOM;SG
negosiasi	neuvottelu	negosiasi	neuvottelu	N	N;NOM;SG
negosiasi	neuvotteluja	negosiasi	neuvottelu	N	N;PRT;PL
negosiasi	neuvottelut	negosiasi	neuvottelu	N	N;NOM;PL
negosiasi	neuvottelujen	negosiasi	neuvottelu	N	N;GEN;PL
negosiasi	neuvottelu	negosiasi	neuvottelu	N	N;NOM;SG
negosiasi	neuvotteluja	negosiasi	neuvottelu	N	N;PRT;PL
negosiasi	neuvottelut	negosiasi	neuvottelu	N	N;NOM;PL
negosiasi	neuvotteluihin	negosiasi	neuvottelu	N	N;IN+ALL;PL
negosiasi	neuvotteluja	negosiasi	neuvottelu	N	N;PRT;PL
negosiasi	neuvottelut	negosiasi	neuvottelu	N	N;NOM;PL
dialihkan	ohjataan	dialihkan	ohjata	V;SG;PASS	V;IND;PRS;FIN;PASS
traktat	perustamissopimus	traktat	perustaa#sopimus	N	N;NOM;SG
traktat	sopimus	traktat	sopimus	N	N;NOM;SG
traktat	perustamissopimuksen	traktat	perustaa#sopimus	N	N;GEN;SG
ragu	kyseenalainen	ragu	kyseenalainen	ADJ;SG	ADJ;NOM;SG
syukur	kiitollisuuden	syukur	kiitollisuus	N;SG	N;GEN;SG
syukur	kiitospäivänä	syukur	kiitos#päivä	N;SG	N;FRML;SG
menghargai	arvostaa	menhargai	arvostaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menghargai	vaalia	menhargai	vaali	V;SG;ACT	V;SG;NFIN;ACT
orkestra	orkesterin	orkestra	orkesteri	N;SG	N;GEN;SG
orkestra	orkesteri	orkestra	orkesteri	N;SG	N;NOM;SG
suriname	surinamen	suriname	surinam	N	N;GEN;SG
kapel	kappeli	kapel	kappeli	N	N;NOM;SG
hara	hara	hara	hara	N	N;NOM;SG
hias	koriste	hias	koriste	N;SG;ACT	N;NOM;SG
penyuntingan	muokkaukset	penyuntingan	muokkaus	N	N;NOM;PL
penyuntingan	muokkaaminen	penyuntingan	muokkaaminen	N	N;NOM;SG
penyuntingan	muokkaus	penyuntingan	muokkaus	N	N;NOM;SG
kotor	likaista	kotor	likainen	ADJ;SG	ADJ;PRT;SG
kotor	likainen	kotor	likainen	ADJ;SG	ADJ;NOM;SG
kotor	likainen	kotor	likainen	ADJ;SG	ADJ;NOM;SG
komet	komeetta	komet	kome	N	N;NOM;SG
komet	komeetat	komet	komeetta	N	N;NOM;PL
impian	unta	impian	uni	N;SG	N;PRT;SG
impian	uni	impian	uni	N;SG	N;NOM;SG
impian	unelma	impian	unelma	N;SG	N;NOM;SG
semester	lukukauden	semester	luku#kausi	N	N;GEN;SG
terorisme	terrorismi	terorisme	terrorismi	N;SG	N;NOM;SG
liputan	kattavuutta	liputan	kattavuus	N;SG	N;PRT;SG
liputan	kattavuus	liputan	kattavuus	N;SG	N;NOM;SG
liputan	kattavuuden	liputan	kattavuus	N;SG	N;GEN;SG
filter	suodattimen	filter	suodatin	N;SG	N;GEN;SG
filter	suodatin	filter	suodattaa	N;SG	N;NOM;SG
apel	applen	apel	appli	N;SG	N;GEN;SG
apel	omenaa	apel	omena	N;SG	N;PRT;SG
apel	omenan	apel	omena	N;SG	N;GEN;SG
apel	omena	apel	omena	N;SG	N;NOM;SG
narkoba	huume	narkoba	huume	N;SG	N;NOM;SG
narkoba	lääke	narkoba	lääke	N;SG	N;NOM;SG
pencegahan	ennaltaehkäisy	pencegahan	ennalta#ehkäisy	N;SG	N;NOM;SG
pencegahan	ehkäisy	pencegahan	ehkäisy	N;SG	N;NOM;SG
pencegahan	ehkäiseminen	pencegahan	ehkäiseminen	N;SG	N;NOM;SG
tumor	kasvaimen	tumor	kasvain	N;SG	N;GEN;SG
tumor	kasvain	tumor	kasvaa	N;SG	N;NOM;SG
tumor	kasvaimen	tumor	kasvain	N;SG	N;GEN;SG
tumor	kasvain	tumor	kasvaa	N;SG	N;NOM;SG
obyek	esine	obyek	esine	N;SG	N;NOM;SG
obyek	kohde	obyek	kohde	N;SG	N;NOM;SG
opini	lausunnon	opini	lausunto	N;SG	N;GEN;SG
opini	mielipiteen	opini	mieli#pide	N;SG	N;GEN;SG
opini	lausunto	opini	lausunto	N;SG	N;NOM;SG
opini	mielipide	opini	mieli#pide	N;SG	N;NOM;SG
karate	karate	karate	karate	N	N;NOM;SG
karate	karatea	karate	karatea	N	N;PRT;SG
pegulat	painija	pegulat	painija	N;SG	N;NOM;SG
pengucapan	ääntämistä	penucapan	ääntäminen	N;SG	N;PRT;SG
ranting	varpu	ranting	varpu	N;SG	N;NOM;SG
ranting	oksa	ranting	oksa	N;SG	N;NOM;SG
menanam	istuttaa	menanam	istuttaa	V;SG;ACT	V;SG;NFIN;ACT
istirahat	tauko	istirahat	tauko	N;SG	N;NOM;SG
istirahat	lepo	istirahat	lepo	N;SG	N;NOM;SG
istirahat	lepoa	istirahat	lepo	N;SG	N;PRT;SG
menyamar	teeskentelee	mensamar	teeskennellä	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menyamar	teeskennellä	mensamar	teeskennellä	V;SG;ACT	V;SG;NFIN;ACT
