후드	гуд	후드	гуд		
탐험	экспедиция	탐험	экспедиция	N	N;INAN;NOM;FEM;SG
탐험	экспедиции	탐험	экспедиция	N	N;INAN;NOM;FEM;PL
탐험	разведку	탐험	разведка	N	N;INAN;ACC;FEM;SG
탐험	разведка	탐험	разведка	N	N;INAN;NOM;FEM;SG
탐험	разведки	탐험	разведка	N	N;INAN;NOM;FEM;SG
탐험	исследователи	탐험	исследователь	N	N;ANIM;NOM;MASC;PL
예언자	пророк	예언자	пророк	N	N;ANIM;NOM;MASC;SG
예언자	пророка	예언자	пророк	N	N;ANIM;ACC;MASC;SG
예언자	пророки	예언자	пророк	N	N;ANIM;NOM;MASC;PL
예언자	пророков	예언자	пророк	N	N;ANIM;GEN;MASC;PL
평형	равновесия	평형	равновесие	N	N;INAN;NOM;NEUT;PL
평형	равновесие	평형	равновесие	N	N;INAN;NOM;NEUT;SG
자동화	автоматизации	자동화	автоматизация	N	N;INAN;NOM;FEM;PL
신타로	синтаро	신타+로	синтаро		
백조자리	лебедь	백조+자리	лебедь	N	N;ANIM;NOM;MASC;SG
강좌	курсы	강좌	курс	N	N;INAN;NOM;MASC;PL
쿠키	печенье	쿠키	печенье	N	N;INAN;NOM;NEUT;SG
쿠키	печенье	쿠키	печенье	N	N;INAN;NOM;NEUT;SG
복잡도	сложности	복잡+도	сложность	N	N;INAN;NOM;FEM;PL
복잡도	сложность	복잡+도	сложность	N	N;INAN;NOM;FEM;SG
발명	изобретение	발명	изобретение	N	N;INAN;NOM;NEUT;SG
발명	изобретения	발명	изобретение	N	N;INAN;NOM;NEUT;PL
발명	изобретатель	발명	изобретатель	N	N;ANIM;NOM;MASC;SG
편견	предвзятости	편견	предвзятость	N	N;INAN;NOM;FEM;PL
편견	предубеждения	편견	предубеждение	N	N;INAN;NOM;NEUT;PL
편견	ущерба	편견	ущерб	N	N;INAN;GEN;MASC;SG
편견	предрассудки	편견	предрассудок	N	N;INAN;NOM;MASC;PL
버퍼	буфера	버퍼	буфер	N	N;INAN;NOM;MASC;PL
버퍼	буфер	버퍼	буфер	N	N;INAN;NOM;MASC;SG
증인	свидетели	증인	свидетель	N	N;ANIM;NOM;MASC;PL
증인	свидетелям	증인	свидетель	N	N;ANIM;DAT;MASC;PL
증인	свидетелей	증인	свидетель	N	N;ANIM;GEN;MASC;PL
증인	свидетель	증인	свидетель	N	N;ANIM;NOM;MASC;SG
이웃집	соседка	이웃집	соседка	N	N;ANIM;NOM;FEM;SG
이웃집	сосед	이웃집	сосед	N	N;ANIM;NOM;MASC;SG
부서	департамент	부서	департамент	N	N;INAN;NOM;MASC;SG
노드	узел	노드	узел	N	N;INAN;NOM;MASC;SG
노드	узлов	노드	узел	N	N;INAN;GEN;MASC;PL
노드	узлы	노드	узел	N	N;INAN;NOM;MASC;PL
박해	преследование	박해	преследование	N	N;INAN;NOM;NEUT;SG
박해	преследования	박해	преследование	N	N;INAN;NOM;NEUT;PL
박해	угнетения	박해	угнетение	N	N;INAN;NOM;NEUT;PL
다무라	тамура	다무라	тамура		
발전기	генераторов	발전기	генератор	N	N;INAN;GEN;MASC;PL
발전기	генераторы	발전기	генератор	N	N;INAN;NOM;MASC;PL
발전기	генератор	발전기	генератор	N	N;INAN;NOM;MASC;SG
욕구	желание	욕구	желание	N	N;INAN;NOM;NEUT;SG
욕구	желания	욕구	желание	N	N;INAN;NOM;NEUT;PL
욕구	желания	욕구	желание	N	N;INAN;NOM;NEUT;PL
욕구	желаний	욕구	желание	N	N;INAN;GEN;NEUT;PL
흡혈귀	вампиры	흡혈귀	вампир	N	N;ANIM;NOM;MASC;PL
흡혈귀	вампир	흡혈귀	вампир	N	N;ANIM;NOM;MASC;SG
스케치	эскизы	스케치	эскиз	N	N;INAN;NOM;MASC;PL
스케치	наброски	스케치	набросок	N	N;INAN;NOM;FEM;PL
스케치	скетч	스케치	скетч	N	N;INAN;NOM;MASC;SG
스케치	набросок	스케치	набросок	N	N;INAN;NOM;MASC;SG
자극	стимулы	자극	стимул	N	N;INAN;NOM;MASC;PL
자극	стимулов	자극	стимул	N	N;INAN;GEN;MASC;PL
자극	стимулирование	자극	стимулирование	N	N;INAN;NOM;NEUT;SG
자극	стимул	자극	стимул	N	N;INAN;NOM;MASC;SG
자극	стимуляции	자극	стимуляция	N	N;INAN;NOM;FEM;PL
자극	стимулирование	자극	стимулирование	N	N;INAN;NOM;NEUT;SG
자극	стимулирования	자극	стимулирование	N	N;INAN;NOM;NEUT;PL
자극	стимулирование	자극	стимулирование	N	N;INAN;NOM;NEUT;SG
자극	раздражение	자극	раздражение	N	N;INAN;NOM;NEUT;SG
역사학	историографии	역사학	историография	N	N;INAN;NOM;FEM;PL
평행	параллель	평행	параллель	N	N;INAN;NOM;FEM;SG
장례	похороны	장례	похороны	N	N;INAN;NOM;FEM;PL
장례	захоронения	장례	захоронение	N	N;INAN;NOM;NEUT;PL
장례	захоронение	장례	захоронение	N	N;INAN;NOM;NEUT;SG
장례	похороны	장례	похороны	N	N;INAN;NOM;FEM;PL
셔틀	шаттл	셔틀	шаттл	N	N;INAN;NOM;MASC;SG
순교자	мучеников	순교자	мученик	N	N;ANIM;GEN;MASC;PL
순교자	мученик	순교자	мученик	N	N;ANIM;NOM;MASC;SG
정밀	точности	정밀	точность	N	N;INAN;NOM;FEM;PL
정밀	точность	정밀	точность	N	N;INAN;NOM;FEM;SG
에이전시	учреждение	에이전시	учреждение	N	N;INAN;NOM;NEUT;SG
에이전시	агентства	에이전시	агентство	N	N;INAN;NOM;NEUT;PL
에이전시	агенство	에이전시	агенство	N	N;INAN;NOM;NEUT;SG
에이전시	агентство	에이전시	агентство	N	N;INAN;NOM;NEUT;SG
디렉터리	каталог	디렉터리	каталог	N	N;INAN;NOM;MASC;SG
디렉터리	папка	디렉터리	папка	N	N;INAN;NOM;FEM;SG
디렉터리	справочник	디렉터리	справочник	N	N;INAN;NOM;MASC;SG
디렉터리	каталоги	디렉터리	каталог	N	N;INAN;NOM;MASC;PL
디렉터리	папки	디렉터리	папка	N	N;INAN;NOM;FEM;PL
디렉터리	папок	디렉터리	папка	N	N;INAN;GEN;FEM;PL
디렉터리	папку	디렉터리	папка	N	N;INAN;ACC;FEM;SG
디렉터리	папка	디렉터리	папка	N	N;INAN;NOM;FEM;SG
디렉터리	каталоги	디렉터리	каталог	N	N;INAN;NOM;MASC;PL
떨어지지	упасть	떨어지+지	падать	V	V;PFV;NFIN;ACT
열정	энтузиазм	열정	энтузиазм	N	N;INAN;NOM;MASC;SG
열정	энтузиазм	열정	энтузиазм	N	N;INAN;NOM;MASC;SG
열정	энтузиазмом	열정	энтузиазм	N	N;INAN;INS;MASC;SG
열정	страсти	열정	страсть	N	N;INAN;NOM;FEM;PL
열정	страсть	열정	страсть	N	N;INAN;NOM;FEM;SG
열정	страсти	열정	страсть	N	N;INAN;NOM;FEM;PL
예배	поклонение	예배	поклонение	N	N;INAN;NOM;NEUT;SG
예배	поклонение	예배	поклонение	N	N;INAN;NOM;NEUT;SG
미즈호	мидзухо	미즈호	мидзухо		
기린	кирин	기리+ㄴ	кирин		
징병제	призыва	징병제	призыв	N	N;INAN;GEN;MASC;SG
이겨	бит	이기+어	бит		
우울	депрессия	우울	депрессия	N	N;INAN;NOM;FEM;SG
우울	меланхолия	우울	меланхолия	N	N;INAN;NOM;FEM;SG
클론	клонов	클론	клон	N	N;INAN;GEN;MASC;PL
클론	клон	클론	клон	N	N;INAN;NOM;MASC;SG
우지	удзи	우+지	удзя		
샐리	салли	샐리	салли	N	N;ANIM;NOM;FEM;SG
교정	калибровки	교정	калибровка	N	N;INAN;NOM;FEM;PL
교정	калибровка	교정	калибровка	N	N;INAN;NOM;FEM;SG
교정	исправление	교정	исправление	N	N;INAN;NOM;NEUT;SG
교정	поправка	교정	поправка	N	N;INAN;NOM;FEM;SG
교정	коррекция	교정	коррекция	N	N;INAN;NOM;FEM;SG
교정	коррекция	교정	коррекция	N	N;INAN;NOM;FEM;SG
변동이	вариации	변동+이	вариация	N	N;INAN;NOM;FEM;PL
장례식	похороны	장례식	похороны	N	N;INAN;NOM;FEM;PL
장례식	похороны	장례식	похороны	N	N;INAN;NOM;FEM;PL
장학금	стипендий	장학금	стипендия	N	N;INAN;GEN;FEM;PL
장학금	стипендии	장학금	стипендия	N	N;INAN;NOM;FEM;PL
장학금	стипендия	장학금	стипендия	N	N;INAN;NOM;FEM;SG
장학금	стипендию	장학금	стипендия	N	N;INAN;ACC;FEM;SG
장학금	стипендии	장학금	стипендия	N	N;INAN;NOM;FEM;PL
해석학	анализа	해석학	анализ	N	N;INAN;GEN;MASC;SG
해석학	анализ	해석학	анализ	N	N;INAN;NOM;MASC;SG
어디로	где	어디+로	где	ADV	ADV
어디로	куда	어디+로	куда	ADV	ADV
소음	шум	소음	шум	N	N;INAN;NOM;MASC;SG
공백	пробелы	공백	пробел	N	N;INAN;NOM;MASC;PL
공백	пространства	공백	пространство	N	N;INAN;NOM;NEUT;PL
제조사	продавец	제조사	продавец	N	N;ANIM;NOM;MASC;SG
제조사	поставщик	제조사	поставщик	N	N;ANIM;NOM;MASC;SG
제조사	изготовитель	제조사	изготовитель	N	N;ANIM;NOM;MASC;SG
제조사	производитель	제조사	производитель	N	N;ANIM;NOM;MASC;SG
제조사	изготовителем	제조사	изготовитель	N	N;ANIM;INS;MASC;SG
에미레이트	эмират	에미레이트	эмират	N	N;INAN;NOM;MASC;SG
에미레이트	эмиратах	에미레이트	эмират	N	N;INAN;ESS;MASC;PL
에미레이트	эмиратов	에미레이트	эмират	N	N;INAN;GEN;MASC;PL
에미레이트	эмираты	에미레이트	эмират	N	N;INAN;NOM;MASC;PL
학대	злоупотребления	학대	злоупотребление	N	N;INAN;NOM;NEUT;PL
학대	надругательство	학대	надругательство	N	N;INAN;NOM;NEUT;SG
학대	злоупотребление	학대	злоупотребление	N	N;INAN;NOM;NEUT;SG
세계화	глобализация	세계화	глобализация	N	N;INAN;NOM;FEM;SG
먹이	добыча	먹이	добыча	N	N;INAN;NOM;FEM;SG
먹이	добычу	먹이	добыча	N	N;INAN;ACC;FEM;SG
기저	основа	기저	основа	N	N;INAN;NOM;FEM;SG
기저	основание	기저	основание	N	N;INAN;NOM;NEUT;SG
포위전	осада	포위전	осада	N	N;INAN;NOM;FEM;SG
포위전	осады	포위전	осада	N	N;INAN;NOM;FEM;PL
윤리학	этика	윤리학	этика	N	N;INAN;NOM;FEM;SG
윤리학	этики	윤리학	этика	N	N;INAN;NOM;FEM;PL
통치자	правитель	통치자	правитель	N	N;ANIM;NOM;MASC;SG
낚시	рыболовство	낚시	рыболовство	N	N;INAN;NOM;NEUT;SG
낚시	рыболовства	낚시	рыболовство	N	N;INAN;NOM;NEUT;SG
낚시	рыбалка	낚시	рыбалка	N	N;INAN;NOM;FEM;SG
호환성	совместимость	호환성	совместимость	N	N;INAN;NOM;FEM;SG
전자공학	электроники	전자공학	электроника	N	N;INAN;NOM;FEM;SG
수익	поступлений	수익	поступление	N	N;INAN;GEN;NEUT;PL
수익	доход	수익	доход	N	N;INAN;NOM;MASC;SG
수익	выручка	수익	выручка	N	N;INAN;NOM;FEM;SG
수익	поступления	수익	поступление	N	N;INAN;NOM;NEUT;PL
수익	доходы	수익	доход	N	N;INAN;NOM;MASC;PL
수익	доходность	수익	доходность	N	N;INAN;NOM;FEM;SG
수익	урожайности	수익	урожайность	N	N;INAN;NOM;FEM;SG
수익	заработок	수익	заработок	N	N;INAN;NOM;MASC;SG
수익	прибыль	수익	прибыль	N	N;INAN;NOM;FEM;SG
수익	поступления	수익	поступление	N	N;INAN;NOM;NEUT;PL
수익	доходы	수익	доход	N	N;INAN;NOM;MASC;PL
수익	прибыль	수익	прибыль	N	N;INAN;NOM;FEM;SG
수익	монетизации	수익	монетизация	N	N;INAN;NOM;FEM;PL
검토하기	пересмотреть	검토+하+기	пересмотреть	V	V;PFV;NFIN;ACT
전구	лампочка	전구	лампочка	N	N;INAN;NOM;FEM;SG
전구	колбы	전구	колба	N	N;INAN;NOM;FEM;PL
돌연변이	мутант	돌연변+이	мутант	N	N;ANIM;NOM;MASC;SG
돌연변이	мутации	돌연변+이	мутация	N	N;INAN;NOM;FEM;PL
마크로스	макросс	마크로스	макросс		
데이지	дэйзи	데이지	дэйзи	N	N;ANIM;NOM;FEM;SG
데이지	дейзи	데이지	дейзи	N	N;ANIM;NOM;FEM;SG
무신론	атеизм	무신론	атеизм	N	N;INAN;NOM;MASC;SG
무신론	атеист	무신론	атеист	N	N;ANIM;NOM;MASC;SG
무신론	атеистов	무신론	атеист	N	N;ANIM;GEN;MASC;PL
실험실	лаборатории	실험실	лаборатория	N	N;INAN;NOM;FEM;PL
실험실	лаборатория	실험실	лаборатория	N	N;INAN;NOM;FEM;SG
실험실	лабораторий	실험실	лаборатория	N	N;INAN;GEN;FEM;PL
실험실	лаборатории	실험실	лаборатория	N	N;INAN;NOM;FEM;PL
실험실	лаборатория	실험실	лаборатория	N	N;INAN;NOM;FEM;SG
수렴	сближение	수렴	сближение	N	N;INAN;NOM;NEUT;SG
수렴	конвергенции	수렴	конвергенция	N	N;INAN;NOM;FEM;PL
관광객	турист	관광객	турист	N	N;ANIM;NOM;MASC;SG
관광객	туристов	관광객	турист	N	N;ANIM;GEN;MASC;PL
관광객	туристы	관광객	турист	N	N;ANIM;NOM;MASC;PL
도끼	топор	도끼	топор	N	N;INAN;NOM;MASC;SG
도끼	топор	도끼	топор	N	N;INAN;NOM;MASC;SG
재판소	корт	재판소	корт	N	N;INAN;NOM;MASC;SG
재판소	суд	재판소	суд	N	N;INAN;NOM;MASC;SG
수영장	бассейны	수영장	бассейн	N	N;INAN;NOM;MASC;PL
수영장	пул	수영장	пуля	N	N;INAN;NOM;MASC;SG
수영장	бассейн	수영장	бассейн	N	N;INAN;NOM;MASC;SG
수영장	бильярд	수영장	бильярд	N	N;INAN;NOM;NEUT;SG
이민자	иммигрантов	이민자	иммигрант	N	N;ANIM;GEN;MASC;PL
음악원	консерватории	음악원	консерватория	N	N;INAN;NOM;FEM;PL
스택	стек	스택	стек	N	N;INAN;NOM;MASC;SG
친구들이	друзей	친구+들+이	друг	N	N;ANIM;GEN;MASC;PL
친구들이	друзья	친구+들+이	друг	N	N;ANIM;NOM;MASC;PL
재무	финансы	재무	финансы	N	N;INAN;NOM;MASC;PL
재무	финансы	재무	финансы	N	N;INAN;NOM;MASC;PL
재무	финансирование	재무	финансирование	N	N;INAN;NOM;NEUT;SG
인코딩	кодирование	인코딩	кодирование	N	N;INAN;NOM;NEUT;SG
화살	стрелы	화살	стрела	N	N;INAN;NOM;FEM;PL
화살	стрелки	화살	стрелка	N	N;INAN;NOM;FEM;PL
화살	стрелы	화살	стрела	N	N;INAN;NOM;FEM;PL
화살	стрелка	화살	стрелка	N	N;INAN;NOM;FEM;SG
화살	стрела	화살	стрела	N	N;INAN;NOM;FEM;SG
화살	стрелки	화살	стрелка	N	N;INAN;NOM;FEM;PL
심리학자	психолог	심리학자	психолог	N	N;ANIM;NOM;MASC;SG
심리학자	психолога	심리학자	психолог	N	N;ANIM;ACC;MASC;SG
섹션	секция	섹션	секция	N	N;INAN;NOM;FEM;SG
섹션	раздел	섹션	раздел	N	N;INAN;NOM;MASC;SG
섹션	секции	섹션	секция	N	N;INAN;NOM;FEM;PL
섹션	разделы	섹션	раздел	N	N;INAN;NOM;MASC;PL
구문	фраза	구문	фраза	N	N;INAN;NOM;FEM;SG
구문	синтаксис	구문	синтаксис	N	N;INAN;NOM;MASC;SG
초원	луг	초원	луг	N	N;INAN;NOM;MASC;SG
땅콩	арахис	땅콩	арахис	N	N;INAN;NOM;MASC;SG
땅콩	орешек	땅콩	орешек	N	N;INAN;NOM;MASC;SG
땅콩	орех	땅콩	орех	N	N;INAN;NOM;MASC;SG
땅콩	орехи	땅콩	орех	N	N;INAN;NOM;MASC;PL
땅콩	орешки	땅콩	орешок	N	N;INAN;NOM;MASC;PL
땅콩	арахис	땅콩	арахис	N	N;INAN;NOM;MASC;SG
땅콩	орешки	땅콩	орешок	N	N;INAN;NOM;MASC;PL
대표자	представитель	대표자	представитель	N	N;ANIM;NOM;MASC;SG
대표자	представителю	대표자	представитель	N	N;ANIM;DAT;MASC;SG
대표자	представителя	대표자	представитель	N	N;ANIM;ACC;MASC;SG
결제	оплата	결제	оплата	N	N;INAN;NOM;FEM;SG
결제	кассе	결제	касса	N	N;INAN;NOM;FEM;SG
결제	оплата	결제	оплата	N	N;INAN;NOM;FEM;SG
결제	платежи	결제	платеж	N	N;INAN;NOM;MASC;PL
결제	выплата	결제	выплата	N	N;INAN;NOM;FEM;SG
결제	платеж	결제	платеж	N	N;INAN;NOM;MASC;SG
결제	оплаты	결제	оплата	N	N;INAN;GEN;FEM;SG
