ve	og	ve	og	CONJ	CONJ
ilgili	relaterte	ilgili	relatere	ADJ	ADJ;PL;V.PTCP
madde	substans	madde	substans	N;NOM;SG;3	N;INDF;MASC;SG
madde	klausulen	madde	klausul	N;NOM;SG;3	N;DEF;MASC;SG
madde	materiale	madde	materiale	N;NOM;SG;3	N;INDF;NEUT;SG
madde	materie	madde	materie	N;NOM;SG;3	N;INDF;MASC;SG
madde	artikkel	madde	artikkel	N;NOM;SG;3	N;INDF;MASC;SG
madde	artikkelen	madde	artikkel	N;NOM;SG;3	N;DEF;MASC;SG
sağlık	velvære	sağlık	velvære	N;NOM;SG;3	N;INDF;FEM;SG
sağlık	helse	sağlık	helse	N;NOM;SG;3	N;INDF;FEM;SG
genel	generisk	genel	generisk	ADJ	ADJ;INDF;NEUT;SG
genel	totalt	genel	total	ADJ	ADJ;INDF;NEUT;SG
genel	generell	genel	generell	ADJ	ADJ;INDF;SG
genel	generelt	genel	generell	ADJ	ADJ;INDF;NEUT;SG
adı	namn	ad	namn	N;NOM;SG;3	N;INDF;NEUT;SG
adı	navnet	ad	navn	N;NOM;SG;3	N;DEF;NEUT;SG
adı	navn	ad	navn	N;NOM;SG;3	N;INDF;NEUT;SG
ama	men	ama	men	CONJ	CONJ
üniversitesi	university	üniversitesi	university	N;NOM;SG;3	N;INDF;NEUT;SG
üniversitesi	universitet	üniversitesi	universitet	N;NOM;SG;3	N;INDF;NEUT;SG
üniversitesi	universitetet	üniversitesi	universitet	N;NOM;SG;3	N;DEF;NEUT;SG
zaman	tid	zaman	tid	N;NOM;SG;3	N;INDF;FEM;SG
zaman	klokkeslett	zaman	klokkeslett	N;NOM;SG;3	N;INDF;FEM;SG
zaman	gang	zaman	gang	N;NOM;SG;3	N;INDF;MASC;SG
aralık	desember	aralık	desember	N;NOM;SG;3	N;INDF;MASC;SG
aralık	dec	aralık	dec	N;NOM;SG;3	N
aralık	intervall	aralık	intervall	N;NOM;SG;3	N;INDF;NEUT;SG
yüksek	høgt	yüksek	høg	ADJ	ADJ;INDF;NEUT;SG
sadece	berre	sadece	berre	ADV	ADV
sadece	bare	sadece	bare	ADV	ADV
sadece	berre	sadece	berre	ADV	ADV
sadece	akkurat	sadece	akkurat	ADV	ADV
sadece	bare	sadece	bare	ADV	ADV
sadece	nettopp	sadece	nettopp	ADV	ADV
şekilde	veg	şekil	veg	N;ESS;SG;3	N;INDF;MASC;SG
şekilde	måte	şekil	måte	N;ESS;SG;3	N;INDF;MASC;SG
şekilde	way	şekil	way	N;ESS;SG;3	N
bilgi	info	bilgi	info	N;NOM;SG;3	N;INDF;MASC;SG
bilgi	informasjon	bilgi	informasjon	N;NOM;SG;3	N;INDF;MASC;SG
bilgi	informasjon	bilgi	informasjon	N;NOM;SG;3	N;INDF;MASC;SG
bilgi	informasjonen	bilgi	informasjon	N;NOM;SG;3	N;DEF;MASC;SG
bilgi	kunnskap	bilgi	kunnskap	N;NOM;SG;3	N;INDF;MASC;SG
hakkında	angående	hak	angående	N;ESS;SG;3	N;INDF;MASC;SG
devlet	stat	devlet	stat	N;NOM;SG;3	N;INDF;MASC;SG
devlet	staten	devlet	stat	N;NOM;SG;3	N;DEF;MASC;SG
devlet	tilstand	devlet	tilstand	N;NOM;SG;3	N;INDF;MASC;SG
devlet	delstat	devlet	delstat	N;NOM;SG;3	N;INDF;MASC;SG
devlet	regjering	devlet	regjering	N;NOM;SG;3	N;INDF;FEM;SG
üç	tre	üç	tre	NUM	NUM;PL
başladı	begynte	başla	begynne	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
küçük	lite	küçük	lite	ADJ	ADJ;INDF;NEUT;SG
küçük	små	küçük	liten	ADJ	ADJ;PL
küçük	smått	küçük	liten	ADJ	ADJ;INDF;NEUT;SG
küçük	liten	küçük	liten	ADJ	ADJ;INDF;MASC;SG
küçük	lite	küçük	lite	ADJ	ADJ;INDF;NEUT;SG
küçük	liten	küçük	liten	ADJ	ADJ;INDF;MASC;SG
kabul	aksept	kabul	aksept	N;NOM;SG;3	N;INDF;MASC;SG
kabul	aksepter	kabul	aksepter	N;NOM;SG;3	N;INDF;NEUT;SG
kabul	godtas	kabul	godta	N;NOM;SG;3	N;INDF;MASC;SG
devam	fortsett	devam	fortsetje	N;NOM;SG;3	N;INDF;MASC;SG
devam	behold	devam	behold	N;NOM;SG;3	N;INDF;NEUT;SG
devam	hold	devam	hold	N;NOM;SG;3	N;INDF;NEUT;SG
devam	keep	devam	keep	N;NOM;SG;3	N
kupası	cupen	kupa	cup	N;NOM;SG;3	N;DEF;MASC;SG
kupası	kopp	kupa	kopp	N;NOM;SG;3	N;INDF;MASC;SG
kupası	beger	kupa	bege	N;NOM;SG;3	N;INDF;NEUT;SG
kupası	cup	kupa	cup	N;NOM;SG;3	N;INDF;NEUT;SG
okulu	skolen	okul	skole	N;NOM;SG;3	N;DEF;MASC;SG
okulu	skole	okul	skole	N;NOM;SG;3	N;INDF;MASC;SG
okulu	skulen	okul	skule	N;NOM;SG;3	N;DEF;MASC;SG
okulu	skule	okul	skule	N;NOM;SG;3	N;INDF;MASC;SG
aldı	tok	al	ta	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
aldı	mottok	al	motta	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
farklı	ulike	farklı	ulik	ADJ	ADJ;PL
farklı	forskjellige	farklı	forskjellig	ADJ	ADJ;PL
farklı	forskjellig	farklı	forskjellig	ADJ	ADJ;INDF;NEUT;SG
özel	eksklusive	özel	eksklusiv	ADJ	ADJ;PL
özel	eksklusivt	özel	eksklusiv	ADJ	ADJ;INDF;NEUT;SG
özel	eksklusiv	özel	eksklusiv	ADJ	ADJ;INDF;SG
özel	privat	özel	privat	ADJ	ADJ;INDF;NEUT;SG
özel	private	özel	privat	ADJ	ADJ;PL
özel	spesielt	özel	spesiell	ADJ	ADJ;INDF;NEUT;SG
özel	spesiell	özel	spesiell	ADJ	ADJ;INDF;SG
özel	spesielle	özel	spesiell	ADJ	ADJ;PL
alanı	field	alan	field	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	feltet	alan	felt	N;NOM;SG;3	N;DEF;NEUT;SG
alanı	felt	alan	felt	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	jorde	alan	jorde	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	areal	alan	areal	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	område	alan	område	N;NOM;SG;3	N;INDF;NEUT;SG
alanı	området	alan	område	N;NOM;SG;3	N;DEF;NEUT;SG
alanı	area	alan	area	N;NOM;SG;3	N;INDF;MASC;SG
uzun	lenge	uzun	lenge	ADJ	ADJ
uzun	lang	uzun	lang	ADJ	ADJ;INDF;SG
uzun	lange	uzun	lang	ADJ	ADJ;PL
elektrik	elektrisitet	elektrik	elektrisitet	N;NOM;SG;3	N;INDF;MASC;SG
ardından	etterpå	ardından	etterpå	ADV	ADV
merkezi	central	merkez	central	N;ACC;SG;3	N;INDF;MASC;SG
merkezi	sentrum	merkez	sentrum	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	center	merkez	cente	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	senter	merkez	senter	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	senter	merkez	senter	N;ACC;SG;3	N;INDF;NEUT;SG
merkezi	centre	merkez	cente	N;ACC;SG;3	N;INDF;MASC;SG
kısa	korte	kısa	kort	ADJ	ADJ;PL
kişi	person	kişi	person	N;NOM;SG;3	N;INDF;MASC;SG
kişi	personen	kişi	person	N;NOM;SG;3	N;DEF;MASC;SG
el	hånd	el	hånd	N;NOM;SG;3	N;INDF;SG
el	hand	el	hand	N;NOM;SG;3	N;INDF;FEM;SG
gol	innsjø	gol	innsjø	N;NOM;SG;3	N;INDF;MASC;SG
gol	sjø	gol	sjø	N;NOM;SG;3	N;INDF;MASC;SG
gol	lake	gol	lake	N;NOM;SG;3	N;INDF;NEUT;SG
gol	mål	gol	mål	N;NOM;SG;3	N;INDF;NEUT;SG
gol	goals	gol	goal	N;NOM;SG;3	N;INDF;SG
sağlayan	aktiverer	sağla	aktivere	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PRS;FIN
suyu	juice	su	juice	N;ACC;SG;3	N
ödülü	belønning	ödül	belønning	N;ACC;SG;3	N;INDF;FEM;SG
ödülü	dusør	ödül	dusør	N;ACC;SG;3	N;INDF;MASC;SG
ödülü	premie	ödül	premie	N;ACC;SG;3	N;INDF;MASC;SG
ödülü	utmerkelse	ödül	utmerkelse	N;ACC;SG;3	N;INDF;MASC;SG
ödülü	award	ödül	award	N;ACC;SG;3	N;INDF;MASC;SG
yerine	isteden	yer	isted	N;DAT;SG;3	N;INDF;MASC;SG
yerine	istedet	yer	isted	N;DAT;SG;3	N;DEF;NEUT;SG
yerine	istedenfor	yer	istedenfor	N;DAT;SG;3	N;INDF;MASC;SG
yerine	erstatte	yer	erstatte	N;DAT;SG;3	N;INDF;FEM;SG
yerine	erstatt	yer	erstatt	N;DAT;SG;3	N;INDF;MASC;SG
gün	dag	gün	dag	N;NOM;SG;3	N;INDF;MASC;SG
gün	dagen	gün	dag	N;NOM;SG;3	N;DEF;MASC;SG
gün	day	gün	day	N;NOM;SG;3	N;INDF;SG
süre	tid	süre	tid	N;NOM;SG;3	N;INDF;FEM;SG
süre	klokkeslett	süre	klokkeslett	N;NOM;SG;3	N;INDF;FEM;SG
süre	gang	süre	gang	N;NOM;SG;3	N;INDF;MASC;SG
süre	varighet	süre	varighet	N;NOM;SG;3	N;INDF;FEM;SG
eğitim	trening	eğitim	trening	N;NOM;SG;3	N;INDF;FEM;SG
eğitim	opplæring	eğitim	opplæring	N;NOM;SG;3	N;INDF;FEM;SG
eğitim	utdannelse	eğitim	utdannelse	N;NOM;SG;3	N;INDF;MASC;SG
eğitim	utdanning	eğitim	utdanning	N;NOM;SG;3	N;INDF;FEM;SG
evi	evi	ev	evi	N;ACC;SG;3	N;INDF;MASC;SG
görev	plikt	görev	plikt	N;NOM;SG;3	N;INDF;FEM;SG
görev	oppgave	görev	oppgave	N;NOM;SG;3	N;INDF;FEM;SG
görev	tilordning	görev	tilordning	N;NOM;SG;3	N;INDF;FEM;SG
görev	misjon	görev	misjon	N;NOM;SG;3	N;INDF;MASC;SG
görev	mission	görev	mission	N;NOM;SG;3	N
görev	oppdrag	görev	oppdrag	N;NOM;SG;3	N;INDF;NEUT;SG
onun	hans	o	hans	PRO;GEN;SG;3	PRO;NEUT;SG
onun	sin	o	sin	PRO;GEN;SG;3	PRO;MASC;SG
yine	igjen	yine	igjen	ADV	ADV
ekonomisi	økonomi	ekonomi	økonomi	N;NOM;SG;3	N;INDF;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;INDF;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;INDF;MASC;SG
yeniden	igjen	yeniden	igjen	ADV	ADV
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;INDF;MASC;SG
savaş	slaget	savaş	slag	N;NOM;SG;3	N;DEF;NEUT;SG
savaş	krigen	savaş	krig	N;NOM;SG;3	N;DEF;MASC;SG
savaş	krig	savaş	krig	N;NOM;SG;3	N;INDF;MASC;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;INDF;MASC;SG
savaş	combat	savaş	combat	N;NOM;SG;3	N;INDF;NEUT;SG
savaş	slåsskamp	savaş	slåsskamp	N;NOM;SG;3	N;INDF;MASC;SG
savaş	kjemp	savaş	kjempe	N;NOM;SG;3	N;INDF;MASC;SG
savaş	fight	savaş	fight	N;NOM;SG;3	N;INDF;MASC;SG
rağmen	trass	rağmen	trass	ADP	ADP
rağmen	trass	rağmen	trass	ADP	ADP
elde	ervervet	el	erverv	N;ESS;SG;3	N;DEF;NEUT;SG
elde	anskaffet	el	anskaff	N;ESS;SG;3	N;DEF;NEUT;SG
elde	anskaffe	el	anskaffe	N;ESS;SG;3	N;INDF;MASC;SG
kullanıcı	brukeren	kullanıcı	bruker	N;NOM;SG;3	N;DEF;MASC;SG
kullanıcı	brukerne	kullanıcı	brukerne	N;NOM;SG;3	N;INDF;FEM;SG
birliği	union	birlik	union	N;NOM;SG;3	N;INDF;MASC;SG
birliği	fagforening	birlik	fagforening	N;NOM;SG;3	N;INDF;FEM;SG
birliği	unionen	birlik	union	N;NOM;SG;3	N;DEF;MASC;SG
kanalizasyon	kloakk	kanalizasyon	kloakk	N;NOM;SG;3	N;INDF;MASC;SG
maç	mac	maç	mac	N;NOM;SG;3	N;INDF;NEUT;SG
maç	spill	maç	spill	N;NOM;SG;3	N;INDF;NEUT;SG
maç	kampstart	maç	kampstart	N;NOM;SG;3	N;INDF;MASC;SG
maç	game	maç	game	N;NOM;SG;3	N
maç	fyrstikk	maç	fyrstikk	N;NOM;SG;3	N;INDF;MASC;SG
maç	treff	maç	treff	N;NOM;SG;3	N;INDF;NEUT;SG
maç	match	maç	match	N;NOM;SG;3	N;INDF;MASC;SG
sıra	rad	sıra	rad	N;NOM;SG;3	N;INDF;FEM;SG
teknik	teknisk	teknik	teknisk	ADJ	ADJ;INDF;NEUT;SG
teknik	tekniske	teknik	teknisk	ADJ	ADJ;PL
nüfusu	befolkningen	nüfus	befolkning	N;ACC;SG;3	N;DEF;MASC;SG
nüfusu	befolkning	nüfus	befolkning	N;ACC;SG;3	N;INDF;FEM;SG
uygun	sprek	uygun	sprek	ADJ	ADJ;INDF;SG
uygun	kvalifiserte	uygun	kvalifisere	ADJ	ADJ;PL;V.PTCP
uygun	kvalifisert	uygun	kvalifisere	ADJ	ADJ;INDF;SG;V.PTCP
uygun	beleilig	uygun	beleilig	ADJ	ADJ;INDF;SG
uygun	praktisk	uygun	praktisk	ADJ	ADJ;INDF;NEUT;SG
uygun	hensiktsmessig	uygun	hensiktsmessig	ADJ	ADJ;INDF;NEUT;SG
listesi	liste	liste	liste	N;NOM;SG;3	N;INDF;FEM;SG
listesi	list	liste	list	N;NOM;SG;3	N;INDF;FEM;SG
listesi	listen	liste	list	N;NOM;SG;3	N;DEF;MASC;SG
dört	fire	dört	fire	NUM	NUM;PL
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;INDF;NEUT;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N;INDF;NEUT;SG
sonucu	konsekvens	sonuç	konsekvens	N;ACC;SG;3	N;INDF;MASC;SG
bar	pub	bar	pub	N;NOM;SG;3	N;INDF;MASC;SG
onu	henne	o	ho	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
açık	klart	açık	klar	ADJ	ADJ;INDF;NEUT;SG
açık	åpne	açık	åpne	ADJ	ADJ;PL
açık	åpent	açık	åpent	ADJ	ADJ;INDF;NEUT;SG
açık	open	açık	open	ADJ	ADJ;INDF;MASC;SG
insan	person	insan	person	N;NOM;SG;3	N;INDF;MASC;SG
insan	personen	insan	person	N;NOM;SG;3	N;DEF;MASC;SG
insan	mannfolk	insan	mannfolk	N;NOM;SG;3	N;INDF;NEUT;SG
insan	mannen	insan	mann	N;NOM;SG;3	N;DEF;MASC;SG
insan	mann	insan	mann	N;NOM;SG;3	N;INDF;MASC;SG
dışında	untatt	dış	unta	ADJ;ESS;SG;3	ADJ;INDF;NEUT;SG
dışında	unntatt	dış	unnta	ADJ;ESS;SG;3	ADJ;INDF;NEUT;SG
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;INDF;NEUT;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N;INDF;NEUT;SG
an	moment	an	moment	N;NOM;SG;3	N;INDF;NEUT;SG
an	øyeblikket	an	øyeblikk	N;NOM;SG;3	N;DEF;NEUT;SG
an	øyeblikk	an	øyeblikk	N;NOM;SG;3	N;INDF;MASC;SG
iş	jobben	iş	jobb	N;NOM;SG;3	N;DEF;MASC;SG
iş	job	iş	job	N;NOM;SG;3	N;INDF;SG
iş	jobb	iş	jobb	N;NOM;SG;3	N;INDF;MASC;SG
iş	arbeid	iş	arbeid	N;NOM;SG;3	N;INDF;NEUT;SG
iş	jobb	iş	jobb	N;NOM;SG;3	N;INDF;MASC;SG
iş	jobs	iş	jobs	N;NOM;SG;3	N;INDF;MASC;SG
iş	arbeidsplasser	iş	arbeidsplasse	N;NOM;SG;3	N;INDF;NEUT;SG
iş	bedriften	iş	bedrift	N;NOM;SG;3	N;DEF;MASC;SG
iş	business	iş	business	N;NOM;SG;3	N;INDF;MASC;SG
iş	virksomhet	iş	virksomhet	N;NOM;SG;3	N;INDF;MASC;SG
iş	bedrift	iş	bedrift	N;NOM;SG;3	N;INDF;FEM;SG
bölümü	seksjonen	bölüm	seksjon	N;NOM;SG;3	N;DEF;MASC;SG
bölümü	seksjon	bölüm	seksjon	N;NOM;SG;3	N;INDF;MASC;SG
bölümü	delen	bölüm	del	N;NOM;SG;3	N;DEF;MASC;SG
bölümü	avdeling	bölüm	avdeling	N;NOM;SG;3	N;INDF;FEM;SG
bölümü	department	bölüm	department	N;NOM;SG;3	N;INDF;NEUT;SG
bölümü	departement	bölüm	departement	N;NOM;SG;3	N;INDF;NEUT;SG
ele	hersk	el	hersk	N;DAT;SG;3	N;INDF;MASC;SG
güzel	vakker	güzel	vakker	ADJ	ADJ;INDF;SG
güzel	nydelige	güzel	nydelig	ADJ	ADJ;PL
güzel	vakkert	güzel	vakker	ADJ	ADJ;INDF;NEUT;SG
güzel	flinke	güzel	flink	ADJ	ADJ;PL
güzel	flink	güzel	flink	ADJ	ADJ;INDF;SG
güzel	godt	güzel	god	ADJ	ADJ;INDF;NEUT;SG
güzel	dyktig	güzel	dyktig	ADJ	ADJ;INDF;SG
güzel	god	güzel	god	ADJ	ADJ;INDF;SG
güzel	bra	güzel	bra	ADJ	ADJ;INDF;NEUT;SG
güzel	fin	güzel	fin	ADJ	ADJ;INDF;SG
güzel	fint	güzel	fin	ADJ	ADJ;INDF;NEUT;SG
güzel	fine	güzel	fin	ADJ	ADJ;PL
güzel	pene	güzel	pen	ADJ	ADJ;PL
güzel	herlig	güzel	herlig	ADJ	ADJ;INDF;NEUT;SG
güzel	nydelig	güzel	nydelig	ADJ	ADJ;INDF;NEUT;SG
güzel	nydelige	güzel	nydelig	ADJ	ADJ;PL
çocuk	gutt	çocuk	gu	N;NOM;SG;3	N;INDF;MASC;SG
çocuk	gutten	çocuk	gutt	N;NOM;SG;3	N;DEF;MASC;SG
çocuk	gutt	çocuk	gu	N;NOM;SG;3	N;INDF;MASC;SG
çocuk	kid	çocuk	kid	N;NOM;SG;3	N;INDF;MASC;SG
çocuk	child	çocuk	child	N;NOM;SG;3	N
çocuk	barnet	çocuk	barn	N;NOM;SG;3	N;DEF;NEUT;SG
sinema	movie	sine	movie	N;NOM;SG;3	N;INDF
sinema	film	sine	film	N;NOM;SG;3	N;INDF;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;INDF;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;INDF;MASC;SG
sinema	cinema	sine	cinema	N;NOM;SG;3	N
sırada	nestemann	sıra	nestemann	N;ESS;SG;3	N;INDF;MASC;SG
sırada	next	sıra	next	N;ESS;SG;3	N
ay	måneden	ay	måned	N;NOM;SG;3	N;DEF;MASC;SG
ay	måned	ay	måned	N;NOM;SG;3	N;INDF;MASC;SG
ay	månedsvis	ay	månedsvis	N;NOM;SG;3	N;INDF;MASC;SG
ay	måne	ay	måne	N;NOM;SG;3	N;INDF;MASC;SG
ay	månen	ay	måne	N;NOM;SG;3	N;DEF;MASC;SG
ay	moon	ay	moon	N;NOM;SG;3	N;INDF;SG
imparatorluğu	empire	imparatorluk	empire	N;NOM;SG;3	N;INDF;MASC;SG
imparatorluğu	imperiet	imparatorluk	imperium	N;NOM;SG;3	N;DEF;NEUT;SG
imparatorluğu	keiserdømmet	imparatorluk	keiserdøm	N;NOM;SG;3	N;DEF;NEUT;SG
imparatorluğu	imperium	imparatorluk	imperium	N;NOM;SG;3	N;INDF;NEUT;SG
internet	web	internet	web	N;NOM;SG;3	N
internet	internett	internet	internett	N;NOM;SG;3	N;INDF;NEUT;SG
internet	internet	internet	intern	N;NOM;SG;3	N;DEF;NEUT;SG
tiyatro	drama	tiyatro	drama	N;NOM;SG;3	N;INDF;NEUT;SG
tiyatro	dramatikk	tiyatro	dramatikk	N;NOM;SG;3	N;INDF;MASC;SG
tiyatro	theater	tiyatro	theater	N;NOM;SG;3	N;INDF;NEUT;SG
tiyatro	teater	tiyatro	teater	N;NOM;SG;3	N;INDF;NEUT;SG
tiyatro	teater	tiyatro	teater	N;NOM;SG;3	N;INDF;NEUT;SG
tiyatro	theatre	tiyatro	theatre	N;NOM;SG;3	N;INDF;NEUT;SG
bey	bey	bey	bey	N;NOM;SG;3	N
karar	kjennelse	karar	kjennelse	N;NOM;SG;3	N;INDF;MASC;SG
karar	kjennelsen	karar	kjennelse	N;NOM;SG;3	N;DEF;MASC;SG
karar	dom	karar	dom	N;NOM;SG;3	N;INDF;MASC;SG
karar	avgjørelse	karar	avgjørels	N;NOM;SG;3	N;INDF;MASC;SG
karar	avgjørelsen	karar	avgjørels	N;NOM;SG;3	N;DEF;MASC;SG
karar	beslutning	karar	beslutning	N;NOM;SG;3	N;INDF;FEM;SG
karar	vedtak	karar	vedtak	N;NOM;SG;3	N;INDF;NEUT;SG
karar	besluttet	karar	beslutt	N;NOM;SG;3	N;DEF;NEUT;SG
karar	avgjørelser	karar	avgjørelser	N;NOM;SG;3	N;INDF;NEUT;SG
tarih	årstall	tarih	årstall	N;NOM;SG;3	N;INDF;MASC;SG
tarih	dato	tarih	dato	N;NOM;SG;3	N;INDF;MASC;SG
tarih	date	tarih	date	N;NOM;SG;3	N;INDF;MASC;SG
tarih	historikk	tarih	historikk	N;NOM;SG;3	N;INDF;MASC;SG
tarih	history	tarih	history	N;NOM;SG;3	N;INDF;NEUT;SG
tarih	historie	tarih	historie	N;NOM;SG;3	N;INDF;FEM;SG
ünlü	berømte	ünlü	berømt	ADJ	ADJ;PL
ünlü	berømt	ünlü	berømme	ADJ	ADJ;INDF;SG
kalan	gjenstår	kal	gjenstå	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PRS;FIN
bile	sjølv	bile	sjølv	ADV	ADV
sosyal	sosialt	sosyal	sosial	ADJ	ADJ;INDF;NEUT;SG
sosyal	sosiale	sosyal	sosial	ADJ	ADJ;PL
sosyal	sosial	sosyal	sosial	ADJ	ADJ;INDF;SG
böylece	dermed	böylece	dermed	ADV	ADV
oy	avstemning	oy	avstemning	N;NOM;SG;3	N;INDF;FEM;SG
oy	stemme	oy	stemme	N;NOM;SG;3	N;INDF;FEM;SG
oy	stem	oy	stem	N;NOM;SG;3	N;INDF;MASC;SG
oy	avstemming	oy	avstemming	N;NOM;SG;3	N;INDF;FEM;SG
geniş	bredt	geniş	bredt	ADJ	ADJ;INDF;NEUT;SG
geniş	brei	geniş	brei	ADJ	ADJ;INDF;SG
geniş	vid	geniş	vid	ADJ	ADJ;INDF;SG
geniş	bredt	geniş	bredt	ADJ	ADJ;INDF;NEUT;SG
geniş	stor	geniş	stor	ADJ	ADJ;INDF;SG
geniş	stort	geniş	stor	ADJ	ADJ;INDF;NEUT;SG
ev	hjem	ev	hjem	N;NOM;SG;3	N;INDF;NEUT;SG
ev	hjemmet	ev	hjem	N;NOM;SG;3	N;DEF;NEUT;SG
ev	home	ev	home	N;NOM;SG;3	N;INDF;NEUT;SG
ev	house	ev	house	N;NOM;SG;3	N;INDF;MASC;SG
ev	huset	ev	hus	N;NOM;SG;3	N;DEF;NEUT;SG
ev	hus	ev	hus	N;NOM;SG;3	N;INDF;NEUT;SG
hareket	motion	hareket	motion	N;NOM;SG;3	N;INDF;MASC;SG
hareket	bevegelse	hareket	bevegelse	N;NOM;SG;3	N;INDF;MASC;SG
hareket	bevegelse	hareket	bevegelse	N;NOM;SG;3	N;INDF;MASC;SG
hareket	movement	hareket	movement	N;NOM;SG;3	N;INDF;NEUT;SG
bölgesi	region	bölge	region	N;NOM;SG;3	N;INDF;MASC;SG
bölgesi	territoriet	bölge	territorium	N;NOM;SG;3	N;DEF;NEUT;SG
bölgesi	territorium	bölge	territorium	N;NOM;SG;3	N;INDF;NEUT;SG
sahibi	owner	sahip	oæne	N;NOM;SG;3	N;INDF;NEUT;SG
sahibi	eier	sahip	eine	N;NOM;SG;3	N;INDF;NEUT;SG
bilim	vitenskap	bilim	vitenskap	N;NOM;SG;3	N;INDF;MASC;SG
bilim	naturvitenskap	bilim	naturvitenskap	N;NOM;SG;3	N;INDF;MASC;SG
üreten	produserer	üreten	produsere	V;PFV;IND;POS;PRS;V.PTCP;CAUS	V;IND;PRS;FIN
üreten	produserer	üreten	produsere	V;PFV;IND;POS;PRS;V.PTCP;CAUS	V;IND;PRS;FIN
sistemi	systemet	sistem	system	N;ACC;SG;3	N;DEF;NEUT;SG
sistemi	system	sistem	system	N;ACC;SG;3	N;INDF;NEUT;SG
verdi	gav	ver	gje	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN
hiç	aldri	hiç	aldri	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N
ifade	erklæring	ifade	erklæring	N;NOM;SG;3	N;INDF;FEM;SG
ifade	uttalelse	ifade	uttalelse	N;NOM;SG;3	N;INDF;MASC;SG
ifade	utsagn	ifade	utsagn	N;NOM;SG;3	N;INDF;NEUT;SG
ifade	vitneutsagn	ifade	vitneutsagn	N;NOM;SG;3	N;INDF;NEUT;SG
ifade	vitnesbyrd	ifade	vitnesbyrd	N;NOM;SG;3	N;INDF;NEUT;SG
ifade	vitnemål	ifade	vitnemål	N;NOM;SG;3	N;INDF;NEUT;SG
