категория	categoria	категория	categoria	N;INDF;FEM;SG	N;FEM;SG
тези	esses	този	esse	DET;PL	DET;MASC;PL
тези	aquelas	този	aquele	DET;PL	DET;FEM;PL
мини	minas	мина	mina	N;INDF;FEM;PL	N;FEM;PL
република	república	република	república	N;INDF;FEM;SG	N;FEM;SG
късно	tarde	късно	tarde	ADV	ADV
път	path	път	path	N;INDF;MASC;SG	N;MASC;SG
път	caminho	път	caminho	N;INDF;MASC;SG	N;MASC;SG
път	rota	път	rota	N;INDF;MASC;SG	N;FEM;SG
път	percurso	път	percurso	N;INDF;MASC;SG	N;MASC;SG
път	rodoviário	път	rodoviário	N;INDF;MASC;SG	N;MASC;SG
път	estrada	път	estrada	N;INDF;MASC;SG	N;FEM;SG
път	road	път	road	N;INDF;MASC;SG	N;MASC;SG
отбор	team	отбор	team	N;INDF;MASC;SG	N;MASC;SG
отбор	equipa	отбор	equipa	N;INDF;MASC;SG	N;FEM;SG
отбор	time	отбор	time	N;INDF;MASC;SG	N;MASC;SG
отбор	equipe	отбор	equipe	N;INDF;MASC;SG	N;FEM;SG
няколко	poucas	няколко	pouco	PRO;INDF	PRO;FEM;PL
няколко	poucos	няколко	pouco	PRO;INDF	PRO;MASC;PL
няколко	vários	няколко	vários	PRO;INDF	PRO;MASC;PL
няколко	várias	няколко	várias	PRO;INDF	PRO;FEM;PL
август	augusto	август	augusto	N;INDF;MASC;SG	N;MASC;SG
август	august	август	august	N;INDF;MASC;SG	N;MASC;SG
август	agosto	август	agosto	N;INDF;MASC;SG	N;MASC;SG
август	ago	август	ago	N;INDF;MASC;SG	N;MASC;SG
август	agosto	август	agosto	N;INDF;MASC;SG	N;MASC;SG
роден	nascido	родя-(се)	nascer	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
роден	nascida	родя-(се)	nascer	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP
роден	nasceu	родя-(се)	nascer	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;IND;SG;3;PST;FIN
беседа	conversação	бесед	conversação	N;INDF;FEM;SG	N;FEM;SG
беседа	conversa	бесед	conversa	N;INDF;FEM;SG	N;FEM;SG
беседа	discurso	бесед	discurso	N;INDF;FEM;SG	N;MASC;SG
септември	setembro	септември	setembro	N;INDF;MASC;SG	N;MASC;SG
името	nome	име	nome	N;DEF;NEUT;SG	N;MASC;SG
група	band	група	band	N;INDF;FEM;SG	N;MASC;SG
група	banda	група	banda	N;INDF;FEM;SG	N;FEM;SG
група	grupo	група	grupo	N;INDF;FEM;SG	N;MASC;SG
език	língua	език	língua	N;INDF;MASC;SG	N;FEM;SG
език	lingua	език	lingua	N;INDF;MASC;SG	N;FEM;SG
език	língua	език	língua	N;INDF;MASC;SG	N;FEM;SG
език	idioma	език	idioma	N;INDF;MASC;SG	N;MASC;SG
език	linguagem	език	linguagem	N;INDF;MASC;SG	N;FEM;SG
юли	julho	юли	julho	N;INDF;MASC;SG	N;MASC;SG
някои	alguns	някой	algum	PRO;NOM;PL	PRO;MASC;PL
някои	algumas	някой	algum	PRO;NOM;PL	PRO;FEM;PL
река	rio	река	rio	N;INDF;FEM;SG	N;MASC;SG
януари	janeiro	януари	janeiro	N;INDF;MASC;SG	N;MASC;SG
юни	june	юни	june	N;INDF;MASC;SG	N;FEM;SG
юни	junho	юни	junho	N;INDF;MASC;SG	N;MASC;SG
две	duas	два	dois	NUM;INDF;FEM;PL	NUM
две	dois	два	dois	NUM;INDF;FEM;PL	NUM
октомври	outubro	октомври	outubro	N;INDF;MASC;SG	N;MASC;SG
октомври	toc	октомври	toc	N;INDF;MASC;SG	N;MASC;SG
октомври	out	октомври	out	N;INDF;MASC;SG	N;MASC;SG
име	nome	име	nome	N;INDF;NEUT;SG	N;MASC;SG
фон	fundo	фон	fundo	N;INDF;MASC;SG	N;MASC;SG
март	march	март	march	N;INDF;MASC;SG	N;MASC;SG
март	marcha	март	marcha	N;INDF;MASC;SG	N;FEM;SG
март	março	март	março	N;INDF;MASC;SG	N;MASC;SG
ноември	novembro	ноември	novembro	N;INDF;MASC;SG	N;MASC;SG
ноември	nov	ноември	nov	N;INDF;MASC;SG	N;MASC;SG
април	abr	април	abr	N;INDF;MASC;SG	N;MASC;SG
април	april	април	april	N;INDF;MASC;SG	N;FEM;SG
април	abril	април	abril	N;INDF;MASC;SG	N;MASC;SG
декември	dezembro	декември	dezembro	N;INDF;MASC;SG	N;MASC;SG
декември	dezembro	декември	dezembro	N;INDF;MASC;SG	N;MASC;SG
история	story	история	story	N;INDF;FEM;SG	N;MASC;SG
история	história	история	história	N;INDF;FEM;SG	N;FEM;SG
история	historia	история	historia	N;INDF;FEM;SG	N;FEM;SG
история	história	история	história	N;INDF;FEM;SG	N;FEM;SG
жители	habitantes	жител	habitante	N;INDF;MASC;PL	N;PL
жители	residentes	жител	residente	N;INDF;MASC;PL	N;MASC;PL
жители	moradores	жител	morador	N;INDF;MASC;PL	N;MASC;PL
различни	diferentes	различен	diferente	ADJ;INDF;PL	ADJ;MASC;PL
различни	diversos	различен	diverso	ADJ;INDF;PL	ADJ;MASC;PL
различни	diversos	различен	diverso	ADJ;INDF;PL	ADJ;MASC;PL
различни	diversas	различен	diverso	ADJ;INDF;PL	ADJ;FEM;PL
без	sem	без	sem	ADP	ADP
често	freqüentemente	често	freqüentemente	ADV	ADV
често	frequentemente	често	frequentemente	ADV	ADV
получава	recebe	получавам	receber	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
февруари	fevereiro	февруари	fevereiro	N;INDF;MASC;SG	N;MASC;SG
февруари	fev	февруари	faver	N;INDF;MASC;SG	N;MASC;SG
февруари	fevereiro	февруари	fevereiro	N;INDF;MASC;SG	N;MASC;SG
работи	trabalhar	работя	trabalhar	V;IPFV;IMP;SG;2;FIN	V;NFIN
провинция	província	провинция	província	N;INDF;FEM;SG	N;FEM;SG
империя	empire	империя	empire	N;INDF;FEM;SG	N;MASC;SG
империя	império	империя	império	N;INDF;FEM;SG	N;MASC;SG
център	centro	център	centro	N;INDF;MASC;SG	N;MASC;SG
център	center	център	center	N;INDF;MASC;SG	N;MASC;SG
център	centro	център	centro	N;INDF;MASC;SG	N;MASC;SG
център	centre	център	centre	N;INDF;MASC;SG	N;MASC;SG
повече	mais	повече	mais	ADV;INDF;PL	ADV
вече	já	вече	já	ADV	ADV
три	tres	три	tres	NUM;INDF;PL	NUM
три	três	три	três	NUM;INDF;PL	NUM
страна	país	страна	país	N;INDF;FEM;SG	N;MASC;SG
страна	lateral	страна	lateral	N;INDF;FEM;SG	N;MASC;SG
страна	lado	страна	lado	N;INDF;FEM;SG	N;MASC;SG
страна	side	страна	side	N;INDF;FEM;SG	N;MASC;SG
градове	vilas	град	vila	N;INDF;MASC;PL	N;FEM;PL
градове	cidades	град	cidade	N;INDF;MASC;PL	N;FEM;PL
население	demografia	население	demografia	N;INDF;NEUT;SG	N;FEM;SG
население	população	население	população	N;INDF;NEUT;SG	N;FEM;SG
завършва	termina	завършвам	terminar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
малко	pouco	малко	pouco	ADV;INDF;PL	ADV
университет	university	университет	university	N;INDF;MASC;SG	N;MASC;SG
университет	universidade	университет	universidade	N;INDF;MASC;SG	N;FEM;SG
могат	podem	мога	poder	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
син	blue	син	blue	N;INDF;MASC;SG	N;MASC;SG
син	azul	син	azul	N;INDF;MASC;SG	N;MASC;SG
син	son	син	son	N;INDF;MASC;SG	N;MASC;SG
син	filho	син	filho	N;INDF;MASC;SG	N;MASC;SG
награда	recompensa	награда	recompensar	N;INDF;FEM;SG	N;FEM;SG
награда	prémio	награда	prémio	N;INDF;FEM;SG	N;MASC;SG
награда	premio	награда	premio	N;INDF;FEM;SG	N;MASC;SG
награда	prêmio	награда	prêmio	N;INDF;FEM;SG	N;MASC;SG
награда	prémio	награда	prémio	N;INDF;FEM;SG	N;MASC;SG
награда	prêmio	награда	prêmio	N;INDF;FEM;SG	N;MASC;SG
голяма	grande	голям	grande	ADJ;INDF;FEM;SG	ADJ;MASC;SG
голяма	grande	голям	grande	ADJ;INDF;FEM;SG	ADJ;MASC;SG
сайт	website	сайт	websitir	N;INDF;MASC;SG	N;MASC;SG
сайт	site	сайт	site	N;INDF;MASC;SG	N;MASC;SG
сайт	sítio	сайт	sítio	N;INDF;MASC;SG	N;MASC;SG
сайт	site	сайт	site	N;INDF;MASC;SG	N;MASC;SG
участва	participa	участвам	participar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
световна	mundial	световен	mundial	ADJ;INDF;FEM;SG	ADJ;MASC;SG
уикипедия	wikipédia	уикипедия	wikipédia	N;INDF;FEM;SG	N;FEM;SG
уикипедия	wikipedia	уикипедия	wikipedia	N;INDF;FEM;SG	N;FEM;SG
използва	usa	използвам	usar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
сезон	temporada	сезон	temporada	N;INDF;MASC;SG	N;FEM;SG
сезон	época	сезон	época	N;INDF;MASC;SG	N;FEM;SG
окръг	condado	окръг	condar	N;INDF;MASC;SG	N;MASC;SG
окръг	distrito	окръг	distrito	N;INDF;MASC;SG	N;MASC;SG
днес	hoje	днес	hoje	ADV	ADV
смъртта	death	смърт	death	N;DEF;FEM;SG	N;MASC;SG
смъртта	morte	смърт	morte	N;DEF;FEM;SG	N;FEM;SG
национален	nacional	национален	nacional	ADJ;INDF;MASC;SG	ADJ;MASC;SG
вижте	ver	видя-(се)	ver	V;PFV;IMP;PL;2;FIN	V;NFIN
едно	um	един	um	NUM;INDF;NEUT;SG	NUM
едно	uma	един	um	NUM;INDF;NEUT;SG	NUM
първи	primeira	първи	primeiro	ADJ;INDF;MASC;SG	ADJ;FEM;SG
отново	novamente	отново	novamente	ADV	ADV
член	membro	член	membro	N;INDF;MASC;SG	N;MASC;SG
член	artigo	член	artigo	N;INDF;MASC;SG	N;MASC;SG
височина	altitude	височина	altitude	N;INDF;FEM;SG	N;FEM;SG
височина	elevação	височина	elevação	N;INDF;FEM;SG	N;FEM;SG
височина	altura	височина	altura	N;INDF;FEM;SG	N;FEM;SG
дъщеря	filha	дъщеря	filha	N;INDF;FEM;SG	N;FEM;SG
там	ali	там	ali	ADV	ADV
там	aí	там	aí	ADV	ADV
там	lá	там	lá	ADV	ADV
система	system	система	syetir	N;INDF;FEM;SG	N;MASC;SG
система	sistema	система	sistema	N;INDF;FEM;SG	N;MASC;SG
училище	escola	училище	escola	N;INDF;NEUT;SG	N;FEM;SG
света	sveta	свят	sveta	N;DEF;MASC;SG	N;FEM;SG
света	world	свят	world	N;DEF;MASC;SG	N;MASC;SG
света	mundo	свят	mundo	N;DEF;MASC;SG	N;MASC;SG
села	vilas	село	vila	N;INDF;NEUT;PL	N;FEM;PL
села	aldeias	село	aldeia	N;INDF;NEUT;PL	N;FEM;PL
филми	filmes	филм	filme	N;INDF;MASC;PL	N;MASC;PL
филми	películas	филм	película	N;INDF;MASC;PL	N;FEM;PL
филми	filmes	филм	filme	N;INDF;MASC;PL	N;MASC;PL
умира	morre	умирам	morrer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
умира	morrendo	умирам	morrer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
умира	morrer	умирам	morrer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
южна	sulista	южен	sulista	ADJ;INDF;FEM;SG	ADJ;MASC;SG
южна	meridional	южен	meridional	ADJ;INDF;FEM;SG	ADJ;MASC;SG
части	peças	част	peça	N;INDF;FEM;PL	N;FEM;PL
части	partes	част	parte	N;INDF;FEM;PL	N;FEM;PL
баща	pai	баща	pai	N;INDF;MASC;SG	N;MASC;SG
баща	padre	баща	padre	N;INDF;MASC;SG	N;MASC;SG
нова	novo	нов	novo	ADJ;INDF;FEM;SG	ADJ;MASC;SG
нова	nova	нов	novo	ADJ;INDF;FEM;SG	ADJ;FEM;SG
нова	nova	нов	novo	ADJ;INDF;FEM;SG	ADJ;FEM;SG
крал	king	крал	king	N;INDF;MASC;SG	N;MASC;SG
крал	rei	крал	rei	N;INDF;MASC;SG	N;MASC;SG
армия	exército	армия	exército	N;INDF;FEM;SG	N;MASC;SG
армия	tropa	армия	tropa	N;INDF;FEM;SG	N;FEM;SG
армия	army	армия	army	N;INDF;FEM;SG	N;MASC;SG
църква	igreja	църква	igreja	N;INDF;FEM;SG	N;FEM;SG
официален	oficial	официален	oficial	ADJ;INDF;MASC;SG	ADJ;MASC;SG
официален	formal	официален	formal	ADJ;INDF;MASC;SG	ADJ;MASC;SG
северна	setentrional	северен	setentrional	ADJ;INDF;FEM;SG	ADJ;MASC;SG
времето	clima	време	clima	N;DEF;NEUT;SG	N;MASC;SG
времето	tempo	време	tempo	N;DEF;NEUT;SG	N;MASC;SG
времето	meteorologia	време	meteorologia	N;DEF;NEUT;SG	N;FEM;SG
времето	hora	време	hora	N;DEF;NEUT;SG	N;FEM;SG
времето	horário	време	horário	N;DEF;NEUT;SG	N;MASC;SG
времето	tempo	време	tempo	N;DEF;NEUT;SG	N;MASC;SG
времето	time	време	time	N;DEF;NEUT;SG	N;MASC;SG
освен	exceto	освен	exceto	ADP	ADP
места	locais	място	local	N;INDF;NEUT;PL	N;MASC;PL
места	lugares	място	lugar	N;INDF;NEUT;PL	N;MASC;PL
места	sítios	място	sítio	N;INDF;NEUT;PL	N;MASC;PL
места	assentos	място	assento	N;INDF;NEUT;PL	N;MASC;PL
места	lugares	място	lugar	N;INDF;NEUT;PL	N;MASC;PL
места	bancos	място	banco	N;INDF;NEUT;PL	N;MASC;PL
начин	maneira	начин	maneira	N;INDF;MASC;SG	N;FEM;SG
начин	way	начин	way	N;INDF;MASC;SG	N;MASC;SG
период	periodo	период	periodo	N;INDF;MASC;SG	N;MASC;SG
период	período	период	período	N;INDF;MASC;SG	N;MASC;SG
резултат	desfecho	резултат	desfecho	N;INDF;MASC;SG	N;MASC;SG
резултат	resultado	резултат	resultado	N;INDF;MASC;SG	N;MASC;SG
резултат	pontuação	резултат	pontuação	N;INDF;MASC;SG	N;FEM;SG
резултат	placar	резултат	placar	N;INDF;MASC;SG	N;MASC;SG
резултат	resultado	резултат	resultado	N;INDF;MASC;SG	N;MASC;SG
футболисти	futebolistas	футболист	futebolista	N;INDF;MASC;PL	N;MASC;PL
данни	dados	данна	dado	N;INDF;FEM;PL	N;MASC;PL
страница	pagina	страница	pagina	N;INDF;FEM;SG	N;FEM;SG
страница	página	страница	página	N;INDF;FEM;SG	N;FEM;SG
страница	page	страница	pagar	N;INDF;FEM;SG	N;MASC;SG
картинка	foto	картинка	foto	N;INDF;FEM;SG	N;FEM;SG
картинка	fotografia	картинка	fotografia	N;INDF;FEM;SG	N;FEM;SG
картинка	imagem	картинка	imagem	N;INDF;FEM;SG	N;FEM;SG
картинка	image	картинка	image	N;INDF;FEM;SG	N;MASC;SG
картинка	imagem	картинка	imagem	N;INDF;FEM;SG	N;FEM;SG
граф	graff	граф	graff	N;INDF;MASC;SG	N;MASC;SG
граф	graf	граф	grafo	N;INDF;MASC;SG	N;MASC;SG
играе	jogar	играя	jogar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
играе	joga	играя	jogar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
играе	reproduzir	играя	reproduzir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
играе	joga	играя	jogar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
играе	jogar	играя	jogar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
играе	tocando	играя	tocar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
играе	jogando	играя	jogar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
играе	brincando	играя	brincar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
живот	vida	живот	vida	N;INDF;MASC;SG	N;FEM;SG
живот	life	живот	life	N;INDF;MASC;SG	N;MASC;SG
тук	aqui	там	aqui	ADV	ADV
император	imperador	император	imperador	N;INDF;MASC;SG	N;MASC;SG
църквата	igreja	църква	igreja	N;DEF;FEM;SG	N;FEM;SG
ден	dia	ден	dia	N;INDF;MASC;SG	N;MASC;SG
жени	mulheres	жена	mulher	N;INDF;FEM;PL	N;FEM;PL
известен	conhecida	известен	conhecido	ADJ;INDF;MASC;SG	ADJ;FEM;SG
известен	conhecido	известен	conhecido	ADJ;INDF;MASC;SG	ADJ;MASC;SG
известен	famosa	известен	famoso	ADJ;INDF;MASC;SG	ADJ;FEM;SG
известен	famoso	известен	famoso	ADJ;INDF;MASC;SG	ADJ;MASC;SG
мария	maria	мария	maria	N;INDF;FEM;SG	N;FEM;SG
води	liderar	водя	liderar	V;IPFV;IMP;SG;2;FIN	V;NFIN
тогава	então	тогава	então	ADV	ADV
тогава	depois	тогава	depois	ADV	ADV
голям	grande	голям	grande	ADJ;INDF;MASC;SG	ADJ;MASC;SG
голям	grande	голям	grande	ADJ;INDF;MASC;SG	ADJ;MASC;SG
род	género	род	género	N;INDF;MASC;SG	N;MASC;SG
род	gênero	род	gênero	N;INDF;MASC;SG	N;MASC;SG
род	vara	род	varar	N;INDF;MASC;SG	N;FEM;SG
род	haste	род	hastar	N;INDF;MASC;SG	N;FEM;SG
род	cana	род	cana	N;INDF;MASC;SG	N;FEM;SG
филм	filme	филм	filme	N;INDF;MASC;SG	N;MASC;SG
филм	película	филм	película	N;INDF;MASC;SG	N;FEM;SG
филм	filme	филм	filme	N;INDF;MASC;SG	N;MASC;SG
шаблон	modelo	шаблон	modelo	N;INDF;MASC;SG	N;MASC;SG
почти	quase	почти	quase	ADV	ADV
печели	ganha	печеля	ganhar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
печели	vence	печеля	vencer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
страни	festas	страна	festa	N;INDF;FEM;PL	N;FEM;PL
страни	partidos	страна	partido	N;INDF;FEM;PL	N;MASC;PL
страни	laterais	страна	lateral	N;INDF;FEM;PL	N;MASC;PL
страни	lados	страна	lado	N;INDF;FEM;PL	N;MASC;PL
страни	países	страна	país	N;INDF;FEM;PL	N;MASC;PL
площ	area	площ	area	N;INDF;FEM;SG	N;FEM;SG
площ	área	площ	área	N;INDF;FEM;SG	N;FEM;SG
острови	ilhas	островя-(се)	ilha	N;INDF;FEM;PL	N;FEM;PL
код	codigo	код	codigo	N;INDF;MASC;SG	N;MASC;SG
код	código	код	código	N;INDF;MASC;SG	N;MASC;SG
генерал	geral	генерал	geral	N;INDF;MASC;SG	N;MASC;SG
генерал	general	генерал	general	N;INDF;MASC;SG	N;MASC;SG
държава	país	държава	país	N;INDF;FEM;SG	N;MASC;SG
държава	state	държава	state	N;INDF;FEM;SG	N;MASC;SG
държава	estado	държава	estado	N;INDF;FEM;SG	N;MASC;SG
дата	data	дата	data	N;INDF;FEM;SG	N;FEM;SG
обикновено	geralmente	обикновено	geralmente	ADV	ADV
обикновено	normalmente	обикновено	normalmente	ADV	ADV
обикновено	habitualmente	обикновено	habitualmente	ADV	ADV
обикновено	usualmente	обикновено	usualmente	ADV	ADV
обикновено	normalmente	обикновено	normalmente	ADV	ADV
обикновено	tipicamente	обикновено	tipicamente	ADV	ADV
обикновено	normalmente	обикновено	normalmente	ADV	ADV
деца	crianças	дете	criança	N;INDF;NEUT;PL	N;FEM;PL
деца	filhos	дете	filho	N;INDF;NEUT;PL	N;MASC;PL
деца	miúdos	дете	miúdo	N;INDF;NEUT;PL	N;MASC;PL
деца	crianças	дете	criança	N;INDF;NEUT;PL	N;FEM;PL
деца	filhos	дете	filho	N;INDF;NEUT;PL	N;MASC;PL
остава	permanece	оставам	permanecer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
сили	potências	сила	potências	N;INDF;FEM;PL	N;FEM;PL
сили	poderes	сила	poder	N;INDF;FEM;PL	N;MASC;PL
сили	competências	сила	competência	N;INDF;FEM;PL	N;FEM;PL
сили	forcas	сила	forca	N;INDF;FEM;PL	N;FEM;PL
сили	forças	сила	força	N;INDF;FEM;PL	N;FEM;PL
дължина	comprimento	дължина	comprimento	N;INDF;FEM;SG	N;MASC;SG
дължина	longitude	дължина	longitude	N;INDF;FEM;SG	N;FEM;SG
българи	búlgaros	българин	búlgaro	N;INDF;MASC;PL	N;MASC;PL
албум	álbum	албум	álbum	N;INDF;MASC;SG	N;MASC;SG
албум	album	албум	album	N;INDF;MASC;SG	N;MASC;SG
дни	dias	ден	dia	N;INDF;MASC;PL	N;MASC;PL
съюз	union	съюз	union	N;INDF;MASC;SG	N;MASC;SG
съюз	união	съюз	união	N;INDF;MASC;SG	N;FEM;SG
съюз	aliança	съюз	aliança	N;INDF;MASC;SG	N;FEM;SG
съюз	alliance	съюз	alliance	N;INDF;MASC;SG	N;MASC;SG
партия	partido	партия	partido	N;INDF;FEM;SG	N;MASC;SG
партия	party	партия	party	N;INDF;FEM;SG	N;MASC;SG
партия	festa	партия	festa	N;INDF;FEM;SG	N;FEM;SG
политик	político	политик	político	N;INDF;MASC;SG	N;MASC;SG
политик	politico	политик	politico	N;INDF;MASC;SG	N;MASC;SG
пише	escreve	пиша	escrever	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
брат	irmão	брат	irmão	N;INDF;MASC;SG	N;MASC;SG
брат	irmao	брат	irmao	N;INDF;MASC;SG	N;MASC;SG
брат	brother	брат	brother	N;INDF;MASC;SG	N;MASC;SG
работа	emprego	работа	emprego	N;INDF;FEM;SG	N;MASC;SG
работа	job	работа	job	N;INDF;FEM;SG	N;MASC;SG
работа	trabalho	работа	trabalho	N;INDF;FEM;SG	N;MASC;SG
работа	jó	работа	jó	N;INDF;FEM;SG	N;MASC;SG
работа	trabalho	работа	trabalho	N;INDF;FEM;SG	N;MASC;SG
голове	objectivos	гол	objectivo	N;INDF;MASC;PL	N;MASC;PL
голове	gols	гол	gol	N;INDF;MASC;PL	N;MASC;PL
голове	metas	гол	meta	N;INDF;MASC;PL	N;FEM;PL
голове	golos	гол	golo	N;INDF;MASC;PL	N;MASC;PL
голове	objetivos	гол	objetivo	N;INDF;MASC;PL	N;MASC;PL
остров	ilha	остров	ilha	N;INDF;MASC;SG	N;FEM;SG
остров	ilha	остров	ilha	N;INDF;MASC;SG	N;FEM;SG
остров	isle	остров	islar	N;INDF;MASC;SG	N;MASC;SG
председател	presidente	председател	presidente	N;INDF;MASC;SG	N;MASC;SG
председател	presidente	председател	presidente	N;INDF;MASC;SG	N;MASC;SG
среща	data	среща	data	N;INDF;FEM;SG	N;FEM;SG
среща	encontro	среща	encontro	N;INDF;FEM;SG	N;MASC;SG
среща	reunião	среща	reunião	N;INDF;FEM;SG	N;FEM;SG
групи	bandas	група	banda	N;INDF;FEM;PL	N;FEM;PL
групи	grupos	група	grupo	N;INDF;FEM;PL	N;MASC;PL
