for	para	for	para	ADP	ADP
kommune	parroquia	kommune	parroquia	N;INDF;MASC;SG	N;FEM;SG
kommune	municipalidad	kommune	municipalidad	N;INDF;MASC;SG	N;FEM;SG
kommune	municipio	kommune	municipio	N;INDF;MASC;SG	N;MASC;SG
gjennom	mediante	gjennom	mediante	ADP	ADP
ord	word	ord	word	N;INDF;NEUT;PL	N
ord	palabras	ord	palabra	N;INDF;NEUT;PL	N;FEM;PL
mens	mientras	mens	mientras	CONJ	CONJ
her	aquí	her	aquí	ADV	ADV
her	acá	her	acá	ADV	ADV
byen	pueblo	by	pueblo	N;DEF;MASC;SG	N;MASC;SG
byen	ciudad	by	ciudad	N;DEF;MASC;SG	N;FEM;SG
byen	ciudad	by	ciudad	N;DEF;MASC;SG	N;FEM;SG
gikk	caminó	gå	caminar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
januar	enero	januar	enero	N;INDF;MASC;SG	N
august	agosto	august	agosto	N;INDF;MASC;SG	N
navn	nombre	navn	nombre	N;INDF;NEUT;SG	N;MASC;SG
navn	name	navn	name	N;INDF;NEUT;SG	N
navn	denominación	navn	denominación	N;INDF;NEUT;SG	N;FEM;SG
meter	contadores	meter	contador	N;INDF;MASC;PL	N;MASC;PL
meter	metros	meter	metro	N;INDF;MASC;PL	N;MASC;PL
meter	medidores	meter	medidor	N;INDF;MASC;PL	N;MASC;PL
meter	metros	meter	metro	N;INDF;MASC;PL	N;MASC;PL
dag	día	dag	día	N;INDF;MASC;SG	N;MASC;SG
dag	dia	dag	diar	N;INDF;MASC;SG	N;MASC;SG
navnet	nombre	navn	nombre	N;DEF;NEUT;SG	N;MASC;SG
navnet	name	navn	name	N;DEF;NEUT;SG	N
navnet	denominación	navn	denominación	N;DEF;NEUT;SG	N;FEM;SG
mars	marcha	mars	marcha	N;INDF;MASC;SG	N;FEM;SG
mars	marzo	mars	marzo	N;INDF;MASC;SG	N
mars	mars	mars	mars	N;INDF;MASC;SG	N
plass	space	plass	spacer	N;INDF;MASC;SG	N
plass	espacio	plass	espacio	N;INDF;MASC;SG	N;MASC;SG
nye	nuevas	ny	nuevo	ADJ;PL	ADJ;FEM;PL
nye	nuevos	ny	nuevo	ADJ;PL	ADJ;MASC;PL
tid	hora	tid	hora	N;INDF;FEM;SG	N;FEM;SG
tid	tiempo	tid	tiempo	N;INDF;FEM;SG	N;MASC;SG
tid	time	tid	time	N;INDF;FEM;SG	N
php	php	php	php	N;INDF;MASC;SG	N;MASC;SG
gang	hora	gang	hora	N;INDF;MASC;SG	N;FEM;SG
gang	tiempo	gang	tiempo	N;INDF;MASC;SG	N;MASC;SG
gang	time	gang	time	N;INDF;MASC;SG	N
stor	grande	stor	grande	ADJ;INDF;SG	ADJ;SG
stor	grande	stor	grande	ADJ;INDF;SG	ADJ;SG
stor	gran	stor	gran	ADJ;INDF;SG	ADJ;SG
stor	inmensa	stor	inmenso	ADJ;INDF;SG	ADJ;FEM;SG
stor	inmenso	stor	inmenso	ADJ;INDF;SG	ADJ;MASC;SG
stor	enorme	stor	enorme	ADJ;INDF;SG	ADJ;SG
siste	último	sist	último	ADJ;DEF;SG	ADJ;MASC;SG
siste	última	sist	último	ADJ;DEF;SG	ADJ;FEM;SG
siste	definitivo	sist	definitivo	ADJ;DEF;SG	ADJ;MASC;SG
siste	última	sist	último	ADJ;DEF;SG	ADJ;FEM;SG
siste	último	sist	último	ADJ;DEF;SG	ADJ;MASC;SG
september	setiembre	september	setiembre	N;INDF;MASC;SG	N
september	septiembre	september	septiembre	N;INDF;MASC;SG	N
juni	junio	juni	junio	N;INDF;MASC;SG	N
tok	tomaron	ta	tomar	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
tok	tomó	ta	tomar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
oktober	octubre	oktober	octubre	N;INDF;MASC;SG	N
april	abril	april	abril	N;INDF;MASC;SG	N
ofte	frecuente	ofte	frecuente	ADJ	ADJ;SG
ofte	frecuentes	ofte	frecuente	ADJ	ADJ;PL
juli	julio	juli	julio	N;INDF;MASC;SG	N
går	caminar	gå	caminar	V;IND;PRS;FIN	V;NFIN
går	caminando	gå	caminar	V;IND;PRS;FIN	V;V.MSDR
går	pasear	gå	pasear	V;IND;PRS;FIN	V;NFIN
går	paseando	gå	pasear	V;IND;PRS;FIN	V;V.MSDR
går	va	gå	ir	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
går	yendo	gå	ir	V;IND;PRS;FIN	V;V.MSDR
går	camina	gå	camina	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
totalt	total	total	total	ADJ;INDF;NEUT;SG	ADJ;SG
februar	febrero	februar	febrero	N;INDF;MASC;SG	N
november	noviembre	november	noviembre	N;INDF;MASC;SG	N
desember	diciembre	desember	diciembre	N;INDF;MASC;SG	N
fire	cuatro	fire	cuatro	NUM;PL	NUM;PL
gruppen	grupo	grupp	grupo	N;DEF;MASC;SG	N;MASC;SG
gruppen	group	grupp	group	N;DEF;MASC;SG	N
diff	diferencias	diff	diferencia	N	N;FEM;PL
diff	diff	diff	diff	N	N
new	novedad	new	novedad	N;INDF;SG	N;FEM;SG
deltok	asistió	delta	asistir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
deltok	asistieron	delta	asistir	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
deltok	participaron	delta	participar	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
deltok	participó	delta	participar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
igjen	nuevamente	igjen	nuevamente	ADV	ADV
laget	made	lag	mader	N;DEF;NEUT;SG	N
laget	equipo	lag	equipo	N;DEF;NEUT;SG	N;MASC;SG
laget	team	lag	team	N;DEF;NEUT;SG	N
mye	much	mye	much	N;INDF;MASC;SG	N
utgitt	publicada	utgitt	publicado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
utgitt	publicado	utgitt	publicado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
engelsk	inglés	engelsk	inglés	N;INDF;MASC;SG	N;MASC;SG
engelsk	espanol	engelsk	espanol	N;INDF;MASC;SG	N;MASC;SG
brukt	utilizada	bruke	utilizado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
brukt	usada	bruke	usado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
brukt	usado	bruke	usado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
brukt	utilizado	bruke	utilizado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
først	primero	først	primero	ADV	ADV
land	pais	land	pais	N;INDF;NEUT;SG	N;MASC;SG
land	país	land	país	N;INDF;NEUT;SG	N;MASC;SG
land	land	land	land	N;INDF;NEUT;SG	N
land	terreno	land	terreno	N;INDF;NEUT;SG	N;MASC;SG
land	tierra	land	tierra	N;INDF;NEUT;SG	N;FEM;SG
sommer	summer	sommer	summer	N;INDF;MASC;SG	N
sommer	verano	sommer	verano	N;INDF;MASC;SG	N;MASC;SG
sommer	sommer	sommer	sommer	N;INDF;MASC;SG	N;SG
liste	lista	liste	lista	N;INDF;FEM;SG	N;FEM;SG
side	lateral	side	lateral	N;INDF;FEM;SG	N;SG
side	lado	side	lado	N;INDF;FEM;SG	N;MASC;SG
side	pagina	side	pagina	N;INDF;FEM;SG	N;FEM;SG
side	página	side	página	N;INDF;FEM;SG	N;FEM;SG
side	page	side	pager	N;INDF;FEM;SG	N
helt	heroe	helt	heroe	N;INDF;MASC;SG	N;MASC;SG
helt	hero	helt	hero	N;INDF;MASC;SG	N;MASC;SG
helt	héroe	helt	héroe	N;INDF;MASC;SG	N;MASC;SG
beste	mejores	god	mejor	ADJ;DEF;RL	ADJ;PL
amerikansk	americano	amerikansk	americano	ADJ;INDF;SG	ADJ;MASC;SG
amerikansk	estadounidense	amerikansk	estadounidense	ADJ;INDF;SG	ADJ;SG
amerikansk	americana	amerikansk	americana	ADJ;INDF;SG	ADJ;FEM;SG
spilte	jugaron	spilte	jugar	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
spilte	jugó	spilte	jugar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
grunn	razón	grunn	razón	N;INDF;MASC;SG	N;FEM;SG
grunn	motivo	grunn	motivo	N;INDF;MASC;SG	N;MASC;SG
grunn	razon	grunn	razon	N;INDF;MASC;SG	N;FEM;SG
artikkelen	articulo	artikkel	articulo	N;DEF;MASC;SG	N;MASC;SG
artikkelen	artículo	artikkel	artículo	N;DEF;MASC;SG	N;MASC;SG
mindre	menor	liten	menor	ADJ;CMPR	ADJ;SG
mindre	menores	liten	menor	ADJ;CMPR	ADJ;PL
rekke	serie	rekke	serie	N;INDF;FEM;SG	N;FEM;SG
tillegg	adición	tillegg	adición	N;INDF;NEUT;SG	N;FEM;SG
landet	pais	land	pais	N;DEF;NEUT;SG	N;MASC;SG
landet	país	land	país	N;DEF;NEUT;SG	N;MASC;SG
arter	especies	arter	especie	N;INDF;FEM;PL	N;FEM;PL
området	superficie	område	superficie	N;DEF;NEUT;SG	N;FEM;SG
området	zona	område	zona	N;DEF;NEUT;SG	N;FEM;SG
området	area	område	area	N;DEF;NEUT;SG	N;FEM;SG
området	área	område	área	N;DEF;NEUT;SG	N;FEM;SG
lag	equipo	lag	equipo	N;INDF;NEUT;SG	N;MASC;SG
lag	team	lag	team	N;INDF;NEUT;SG	N
årene	remos	år	remo	N;DEF;FEM;PL	N;MASC;PL
tatt	tomado	ta	tomado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
tatt	tomada	ta	tomado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
tatt	atrapado	ta	atrapado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
tatt	atrapada	ta	atrapar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
tatt	reventado	ta	reventar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
bruk	uso	bruk	uso	N;INDF;MASC;SG	N;MASC;SG
bruk	utilización	bruk	utilización	N;INDF;MASC;SG	N;FEM;SG
kun	kun	kun	kun	N;INDF;NEUT;SG	N;MASC;SG
kalt	llamado	kalle	llamado	ADJ;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
kalt	llamada	kalle	llamado	ADJ;INDF;NEUT;SG	ADJ;FEM;SG;V.PTCP
øst	oriente	øs	oriente	N;INDF;NEUT;SG	N;MASC;SG
øst	east	øs	east	N;INDF;NEUT;SG	N;MASC;SG
øst	eastern	øs	eastern	N;INDF;NEUT;SG	N;MASC;SG
sverige	suecia	sverige	suecia	N;INDF;NEUT;SG	N;FEM;SG
county	condado	county	condado	N;INDF;SG	N;MASC;SG
tysk	alemán	tysk	alemán	N;INDF;MASC;SG	N;MASC;SG
tysk	aleman	tysk	alemar	N;INDF;MASC;SG	N;MASC;SG
begynte	comenzó	begynne	comenzar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
begynte	comenzado	begynne	comenzar	V;IND;PST;FIN	V;MASC;SG;PST;V.PTCP
begynte	empezó	begynne	empezar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
begynte	comenzó	begynne	comenzar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
kirke	iglesia	kirke	iglesia	N;INDF;MASC;SG	N;FEM;SG
gamle	viejos	gammal	viejo	ADJ;PL	ADJ;MASC;PL
frem	forward	frem	forward	N;INDF;MASC;SG	N
frem	delantero	frem	delantero	N;INDF;MASC;SG	N;MASC;SG
frem	impulso	frem	impulso	N;INDF;MASC;SG	N;MASC;SG
artikler	articulos	artikke	articulo	N;INDF;FEM;PL	N;MASC;PL
artikler	artículos	artikke	artículo	N;INDF;FEM;PL	N;MASC;PL
gjorde	hizo	gjere	hacer	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
familien	famila	familie	famila	N;DEF;MASC;SG	N;FEM;SG
familien	familia	familie	familia	N;DEF;MASC;SG	N;FEM;SG
eksempel	ejemplo	eksempel	ejemplo	N;INDF;NEUT;SG	N;MASC;SG
eksempel	ejemplo	eksempel	ejemplo	N;INDF;NEUT;SG	N;MASC;SG
kjente	conocidas	kjent	conocido	ADJ;PL	ADJ;FEM;PL;V.PTCP
kjente	conocidos	kjent	conocido	ADJ;PL	ADJ;MASC;PL;V.PTCP
får	recibiendo	få	recibir	V;IND;PRS;FIN	V;V.MSDR
får	consiguiendo	få	conseguir	V;IND;PRS;FIN	V;V.MSDR
får	obteniendo	få	obtener	V;IND;PRS;FIN	V;V.MSDR
ganger	tiempos	gange	tiempo	N;INDF;MASC;PL	N;MASC;PL
ganger	veces	gange	vez	N;INDF;MASC;PL	N;FEM;PL
ganger	épocas	gange	época	N;INDF;MASC;PL	N;FEM;PL
ganger	times	gange	time	N;INDF;MASC;PL	N
hennes	her	hennes	her	N;INDF;MASC;SG	N
artikkel	articulo	artikkel	articulo	N;INDF;MASC;SG	N;MASC;SG
artikkel	artículo	artikkel	artículo	N;INDF;MASC;SG	N;MASC;SG
ser	mirando	sjå	mirar	V;IND;PRS;FIN	V;V.MSDR
ser	buscando	sjå	buscar	V;IND;PRS;FIN	V;V.MSDR
ser	mirando	sjå	mirar	V;IND;PRS;FIN	V;V.MSDR
ser	viendo	sjå	ver	V;IND;PRS;FIN	V;V.MSDR
ser	observando	sjå	observar	V;IND;PRS;FIN	V;V.MSDR
jan	enero	jan	enero	N;MASC	N
bør	deberia	burde	deberia	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
ulike	diferentes	ulik	diferente	ADJ;PL	ADJ;PL
score	puntuación	score	puntuación	N;INDF;NEUT;SG	N;FEM;SG
score	partitura	score	partitura	N;INDF;NEUT;SG	N;FEM;SG
frankrike	france	frankrike	france	N;INDF;NEUT;SG	N;FEM;SG
satt	fijado	sitje	fijado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	descubierta	setje	descubrir	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
sett	visto	setje	visto	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	manchado	setje	manchar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	visto	setje	visto	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	fijado	setje	fijado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	observado	setje	observar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	visto	setje	visto	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
sett	vigilado	setje	vigilar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
gruppe	grupo	gruppe	grupo	N;INDF;FEM;SG	N;MASC;SG
gruppe	group	gruppe	group	N;INDF;FEM;SG	N
deretter	luego	deretter	luego	ADV	ADV
deretter	entonces	deretter	entonces	ADV	ADV
lang	largo	lang	largo	ADJ;INDF;SG	ADJ;MASC;SG
lang	larga	lang	largo	ADJ;INDF;SG	ADJ;FEM;SG
europa	europa	europa	europa	N;DEF;NEUT;SG	N;FEM;SG
europa	europa	europa	europa	N;DEF;NEUT;SG	N;FEM;SG
medlem	miembro	medlem	miembro	N;INDF;MASC;SG	N;MASC;SG
fem	cinco	fem	cinco	NUM;PL	NUM;PL
per	per	per	per	ADP	ADP
deler	share	del	share	N;INDF;MASC;PL	N
deler	acciones	del	acción	N;INDF;MASC;PL	N;FEM;PL
deler	repuestos	del	repuesto	N;INDF;MASC;PL	N;MASC;PL
deler	piezas	del	pieza	N;INDF;MASC;PL	N;FEM;PL
deler	partes	del	parte	N;INDF;MASC;PL	N;FEM;PL
deler	secciones	del	sección	N;INDF;MASC;PL	N;FEM;PL
deler	tramos	del	tramo	N;INDF;MASC;PL	N;MASC;PL
bergen	bergen	berg	bergen	N;DEF;MASC;SG	N;FEM;SG
gitt	concedida	gi	concedido	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
gitt	otorgado	gi	otorgar	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
gitt	concedido	gi	concedido	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
fordi	porque	fordi	porque	CONJ	CONJ
året	año	år	año	N;DEF;NEUT;SG	N;MASC;SG
perioden	periodo	periode	periodo	N;DEF;MASC;SG	N;MASC;SG
perioden	período	periode	período	N;DEF;MASC;SG	N;MASC;SG
består	consta	bestå	constar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
består	consisten	bestå	consistir	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
består	consiste	bestå	consistir	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
sønn	hijo	sønn	hijo	N;INDF;MASC;SG	N;MASC;SG
språk	lengua	språk	lengua	N;INDF;NEUT;SG	N;FEM;SG
språk	idioma	språk	idioma	N;INDF;NEUT;SG	N;MASC;SG
språk	lenguaje	språk	lenguaje	N;INDF;NEUT;SG	N;MASC;SG
nasjonale	nacionales	nasjonal	nacional	ADJ;PL	ADJ;PL
forfatter	escritora	forfatter	escritora	N;INDF;FEM;SG	N;FEM;SG
forfatter	escritor	forfatter	escritor	N;INDF;FEM;SG	N;MASC;SG
forfatter	writer	forfatter	writer	N;INDF;FEM;SG	N;MASC;SG
forfatter	autor	forfatter	autor	N;INDF;FEM;SG	N;MASC;SG
forfatter	autora	forfatter	autora	N;INDF;FEM;SG	N;FEM;SG
fil	fichero	fil	fichero	N;INDF;MASC;SG	N;MASC;SG
fil	expediente	fil	expediente	N;INDF;MASC;SG	N;MASC;SG
fil	archivo	fil	archivo	N;INDF;MASC;SG	N;MASC;SG
menn	men	mann	men	N;INDF;MASC;PL	N
menn	hombres	mann	hombre	N;INDF;MASC;PL	N;MASC;PL
barn	ninos	barn	nino	N;INDF;NEUT;PL	N;MASC;PL
barn	niños	barn	niño	N;INDF;NEUT;PL	N;MASC;PL
barn	kids	barn	kids	N;INDF;NEUT;PL	N
barn	ninos	barn	nino	N;INDF;NEUT;PL	N;MASC;PL
barn	niños	barn	niño	N;INDF;NEUT;PL	N;MASC;PL
kamper	cerillas	kamp	cerilla	N;INDF;FEM;PL	N;FEM;PL
kamper	fósforos	kamp	fósforo	N;INDF;FEM;PL	N;MASC;PL
kamper	coincidencias	kamp	coincidencia	N;INDF;FEM;PL	N;FEM;PL
kamper	partidos	kamp	partido	N;INDF;FEM;PL	N;MASC;PL
kamper	peleas	kamp	pelea	N;INDF;FEM;PL	N;FEM;PL
kamper	luchas	kamp	lucha	N;INDF;FEM;PL	N;FEM;PL
kamper	juegos	kamp	juego	N;INDF;FEM;PL	N;MASC;PL
kamper	batallas	kamp	batalla	N;INDF;FEM;PL	N;FEM;PL
spiller	juega	spille	jugar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
spiller	jugando	spille	jugar	V;IND;PRS;FIN	V;V.MSDR
spiller	tocando	spille	tocar	V;IND;PRS;FIN	V;V.MSDR
spiller	jugar	spille	jugar	V;IND;PRS;FIN	V;NFIN
personer	personas	person	persona	N;INDF;FEM;PL	N;FEM;PL
personer	personas	person	persona	N;INDF;FEM;PL	N;FEM;PL
gir	dandole	gi	dandole	V;IND;PRS;FIN	V;V.MSDR
gir	regalando	gi	regalar	V;IND;PRS;FIN	V;V.MSDR
gir	dando	gi	dar	V;IND;PRS;FIN	V;V.MSDR
gir	dar	gi	dar	V;IND;PRS;FIN	V;NFIN
gull	oro	gull	oro	N;INDF;NEUT;SG	N;MASC;SG
gull	gold	gull	gold	N;INDF;NEUT;SG	N
gjort	hecho	gjere	hecho	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
godt	buena	god	buen	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
svensk	suecia	svensk	suecia	N;INDF;MASC;SG	N;FEM;SG
svensk	sueca	svensk	sueca	N;INDF;MASC;SG	N;FEM;SG
forskjellige	diferentes	forskjellig	diferente	ADJ;PL	ADJ;PL
historie	historia	historie	historia	N;INDF;FEM;SG	N;FEM;SG
historie	story	historie	story	N;INDF;FEM;SG	N
historie	historia	historie	historia	N;INDF;FEM;SG	N;FEM;SG
historie	historial	historie	historial	N;INDF;FEM;SG	N;MASC;SG
liv	vida	liv	vida	N;INDF;NEUT;SG	N;FEM;SG
liv	life	liv	life	N;INDF;NEUT;SG	N
fransk	francés	fransk	francés	N;INDF;MASC;SG	N;MASC;SG
university	universitario	university	universitario	N;INDF;NEUT;SG	N;MASC;SG
university	universidad	university	universidad	N;INDF;NEUT;SG	N;FEM;SG
fotball	fútbol	fotball	fútbol	N;INDF;MASC;SG	N;MASC;SG
fotball	futbol	fotball	futbol	N;INDF;MASC;SG	N;MASC;SG
resultat	resultado	resultat	resultado	N;INDF;NEUT;SG	N;MASC;SG
tredje	tercera	tredje	tercero	ADJ;DEF;SG	ADJ;FEM;SG
tredje	tercer	tredje	tercero	ADJ;DEF;SG	ADJ;MASC;SG
tredje	tercero	tredje	tercero	ADJ;DEF;SG	ADJ;MASC;SG
danmark	dinamarca	danmark	dinamarco	N;INDF;MASC;SG	N;FEM;SG
stort	grande	stor	grande	ADJ;INDF;NEUT;SG	ADJ;SG
stort	grande	stor	grande	ADJ;INDF;NEUT;SG	ADJ;SG
stort	gran	stor	gran	ADJ;INDF;NEUT;SG	ADJ;SG
gjerne	gustosamente	gjerne	gustosamente	ADV	ADV
paris	paris	paris	pari	N;INDF;NEUT;SG	N;SG
slekt	famila	slekkje	famila	N;INDF;FEM;SG	N;FEM;SG
slekt	familia	slekkje	familia	N;INDF;FEM;SG	N;FEM;SG
viser	mostrando	vise	mostrar	V;IND;PRS;FIN	V;V.MSDR
viser	mostrando	vise	mostrar	V;IND;PRS;FIN	V;V.MSDR
viser	muestra	vise	mostrar	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
viktig	importante	viktig	importante	ADJ;INDF;NEUT;SG	ADJ;SG
mulig	posible	mulig	posible	ADJ;INDF;NEUT;SG	ADJ;SG
president	president	president	president	N;INDF;MASC;SG	N;MASC;SG
president	presidenta	president	presidenta	N;INDF;MASC;SG	N;FEM;SG
president	presidente	president	presidente	N;INDF;MASC;SG	N;MASC;SG
bilde	foto	bilde	foto	N;INDF;NEUT;SG	N;FEM;SG
bilde	imagen	bilde	imagen	N;INDF;NEUT;SG	N;FEM;SG
bilde	imágen	bilde	imágen	N;INDF;NEUT;SG	N;FEM;SG
bilde	fotografía	bilde	fotografía	N;INDF;NEUT;SG	N;FEM;SG
bilde	photo	bilde	photo	N;INDF;NEUT;SG	N
bilde	foto	bilde	foto	N;INDF;NEUT;SG	N;FEM;SG
