une	una	un	uno	DET;INDF;FEM;SG	DET;INDF;FEM;SG
grand	grande	grand	grande	ADJ;MASC;SG	ADJ;SG
grand	grosso	grand	grosso	ADJ;MASC;SG	ADJ;MASC;SG
grand	grande	grand	grande	ADJ;MASC;SG	ADJ;SG
grand	bravissimo	grand	bravo	ADJ;MASC;SG	ADJ;AB;MASC;SG
grand	grande	grand	grande	ADJ;MASC;SG	ADJ;SG
grand	ottimo	grand	ottimo	ADJ;MASC;SG	ADJ;MASC;SG
grand	bravissima	grand	bravo	ADJ;MASC;SG	ADJ;AB;FEM;SG
tout	tutto	tout	tutto	PRO;MASC;SG	PRO;MASC;SG
tout	tutto	tout	tutto	PRO;MASC;SG	PRO;MASC;SG
groupe	band	groupe	band	N;MASC;SG	N;FEM
groupe	banda	groupe	banda	N;MASC;SG	N;FEM;SG
groupe	gruppo	groupe	gruppo	N;MASC;SG	N;MASC;SG
également	inoltre	également	inoltre	ADV	ADV
également	anche	également	anche	ADV	ADV
titre	titolo	titre	titolo	N;MASC;SG	N;MASC;SG
titre	title	titre	titla	N;MASC;SG	N;MASC;SG
monde	mondo	monde	mondo	N;MASC;SG	N;MASC;SG
monde	world	monde	world	N;MASC;SG	N;MASC
nord	north	nord	north	N;MASC;SG	N;MASC
nord	nord	nord	nord	N;MASC;SG	N;MASC;SG
nord	northern	nord	northern	N;MASC;SG	N
nord	nord	nord	nord	N;MASC;SG	N;MASC;SG
années	anni	année	anno	N;FEM;PL	N;MASC;PL
bien	bene	bien	bene	ADV	ADV
bien	bene	bien	bene	ADV	ADV
contre	contro	contre	contro	ADP	ADP
liste	lista	liste	lista	N;FEM;SG	N;FEM;SG
liste	elenco	liste	elenco	N;FEM;SG	N;MASC;SG
équipe	plotone	équipe	plotone	N;FEM;SG	N;MASC;SG
équipe	squad	équipe	squad	N;FEM;SG	N
équipe	squadrone	équipe	squadrone	N;FEM;SG	N;MASC;SG
équipe	squadra	équipe	squadra	N;FEM;SG	N;FEM;SG
équipe	squadra	équipe	squadra	N;FEM;SG	N;FEM;SG
équipe	team	équipe	team	N;FEM;SG	N;MASC
club	club	club	club	N;MASC;SG	N;MASC
sud	sud	sud	sud	N;MASC;SG	N;MASC;SG
sud	sud	sud	sud	N;MASC;SG	N;MASC;SG
sud	south	sud	south	N;MASC;SG	N;MASC
partie	partito	partie	partito	N;FEM;SG	N;MASC;SG
partie	party	partie	party	N;FEM;SG	N;MASC
partie	festa	partie	festa	N;FEM;SG	N;FEM;SG
partie	part	partie	part	N;FEM;SG	N;SG
partie	parte	partie	parte	N;FEM;SG	N;FEM;SG
non	non	non	non	ADV	ADV
très	molto	très	molto	ADV	ADV
trois	tre	trois	tre	NUM	NUM
articles	articoli	article	articolo	N;MASC;PL	N;MASC;PL
article	articolo	article	articolo	N;MASC;SG	N;MASC;SG
guerre	guerra	guerre	guerra	N;FEM;SG	N;FEM;SG
sans	senza	sans	senza	ADP	ADP
saison	stagione	saison	stagione	N;FEM;SG	N;FEM;SG
fin	pinna	fin	pinna	N;FEM;SG	N;FEM;SG
fin	end	fin	end	N;FEM;SG	N;MASC
fin	fine	fin	fine	N;FEM;SG	N;FEM;SG
année	anno	année	anno	N;FEM;SG	N;MASC;SG
temps	tempo	temps	tempo	N;MASC;SG	N;MASC;SG
temps	time	temps	time	N;MASC;SG	N
plusieurs	tanti	plusieurs	tanto	PRO;PL	PRO;MASC;PL
plusieurs	molti	plusieurs	molto	PRO;PL	PRO;MASC;PL
faire	facendo	faire	fare	V;NFIN	V;V.MSDR
mars	march	mars	march	N;MASC;SG	N;SG
mars	marzo	mars	marzo	N;MASC;SG	N;MASC;SG
mars	marcia	mars	marcia	N;MASC;SG	N;FEM;SG
mars	mars	mars	mars	N;MASC;SG	N
histoire	storia	histoire	storia	N;FEM;SG	N;FEM;SG
série	serie	série	serie	N;FEM;SG	N;FEM
série	serial	série	serial	N;FEM;SG	N;MASC
série	seriale	série	seriale	N;FEM;SG	N;MASC;SG
joueur	player	joueur	player	N;MASC;SG	N;MASC
joueur	riproduttore	joueur	riproduttore	N;MASC;SG	N;MASC;SG
joueur	giocatore	joueur	giocatore	N;MASC;SG	N;MASC;SG
mai	may	mai	may	N;MASC;SG	N
mai	maggio	mai	maggio	N;MASC;SG	N;MASC;SG
tour	tour	tour	tour	N;MASC;SG	N;MASC
tour	torre	tour	torre	N;MASC;SG	N;FEM;SG
mort	morì	mourir	morire	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
mort	morta	mourir	morire	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
mort	morto	mourir	morire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
juin	jun	juin	jun	N;MASC;SG	N;MASC
juin	joon	juin	joon	N;MASC;SG	N
juin	june	juin	june	N;MASC;SG	N
juin	giugno	juin	giugno	N;MASC;SG	N;MASC;SG
jpg	jpg	jpg	jpg	N;MASC;SG	N
française	francese	français	francese	ADJ;FEM;SG	ADJ;SG
pierre	stone	pierre	stone	N;FEM;SG	N
pierre	pietra	pierre	pietra	N;FEM;SG	N;FEM;SG
pierre	pietro	pierre	pietro	N;FEM;SG	N;MASC;SG
pierre	piero	pierre	piero	N;FEM;SG	N;MASC;SG
pierre	pierre	pierre	pierre	N;FEM;SG	N;MASC;SG
région	regione	région	regione	N;FEM;SG	N;FEM;SG
région	zona	région	zona	N;FEM;SG	N;FEM;SG
région	area	région	area	N;FEM;SG	N;FEM;SG
janvier	gennaio	janvier	gennaio	N;MASC;SG	N;MASC;SG
avoir	hanno	avoir	avere	V;NFIN	V;IND;PL;3;PRS;FIN
avoir	avere	avoir	avere	V;NFIN	V;NFIN
fois	times	fois	times	N;FEM;SG	N
autre	altro	autre	altro	PRO;SG	PRO;MASC;SG
septembre	settembre	septembre	settembre	N;MASC;SG	N;MASC;SG
juillet	luglio	juillet	luglio	N;MASC;SG	N;MASC;SG
état	status	état	status	N;MASC;SG	N;MASC
état	condizione	état	condizione	N;MASC;SG	N;FEM;SG
église	chiesa	église	chiesa	N;FEM;SG	N;FEM;SG
octobre	ottobre	octobre	ottobre	N;MASC;SG	N;MASC;SG
place	posto	place	posto	N;FEM;SG	N;MASC;SG
place	luogo	place	luogo	N;FEM;SG	N;MASC;SG
place	place	place	place	N;FEM;SG	N;MASC
famille	family	famille	family	N;FEM;SG	N
famille	famiglia	famille	famiglia	N;FEM;SG	N;FEM;SG
général	general	général	general	N;MASC;SG	N;FEM;SG
général	generalità	général	generalità	N;MASC;SG	N;FEM
avril	apr	avril	apr	N;MASC;SG	N;MASC
avril	april	avril	april	N;MASC;SG	N
avril	aprile	avril	aprile	N;MASC;SG	N;MASC;SG
avril	avril	avril	avril	N;MASC;SG	N
insee	insee	insee	inseno	N;MASC;SG	N;MASC;SG
tous	tutti	tout	tutto	PRO;MASC;PL	PRO;MASC;PL
album	album	album	album	N;MASC;SG	N;MASC
décembre	dicembre	décembre	dicembre	N;MASC;SG	N;MASC;SG
août	august	août	august	N;MASC;SG	N;MASC
août	agosto	août	agosto	N;MASC;SG	N;MASC;SG
août	agosto	août	agosto	N;MASC;SG	N;MASC;SG
novembre	novembre	novembre	novembre	N;MASC;SG	N;MASC;SG
novembre	nov	novembre	nov	N;MASC;SG	N;MASC
prix	prezzo	prix	prezzo	N;MASC;SG	N;MASC;SG
nouvelle	nuovo	nouveau	nuovo	ADJ;FEM;SG	ADJ;MASC;SG
nouvelle	nuova	nouveau	nuovo	ADJ;FEM;SG	ADJ;FEM;SG
février	febbraio	février	febbraio	N;MASC;SG	N;MASC;SG
février	febbraio	février	febbraio	N;MASC;SG	N;MASC;SG
département	reparto	département	reparto	N;MASC;SG	N;MASC;SG
département	dipartimento	département	dipartimento	N;MASC;SG	N;MASC;SG
grande	grande	grand	grande	ADJ;FEM;SG	ADJ;SG
grande	grosso	grand	grosso	ADJ;FEM;SG	ADJ;MASC;SG
grande	grande	grand	grande	ADJ;FEM;SG	ADJ;SG
grande	bravissimo	grand	bravo	ADJ;FEM;SG	ADJ;AB;MASC;SG
grande	grande	grand	grande	ADJ;FEM;SG	ADJ;SG
grande	ottimo	grand	ottimo	ADJ;FEM;SG	ADJ;MASC;SG
grande	bravissima	grand	bravo	ADJ;FEM;SG	ADJ;AB;FEM;SG
grande	grande	grand	grande	ADJ;FEM;SG	ADJ;SG
américain	americano	américain	americano	ADJ;MASC;SG	ADJ;MASC;SG
américain	american	américain	americano	ADJ;MASC;SG	ADJ;FEM;SG
américain	americana	américain	americano	ADJ;MASC;SG	ADJ;FEM;SG
début	start	début	start	N;MASC;SG	N;MASC
début	inizio	début	inizio	N;MASC;SG	N;MASC;SG
début	inizio	début	inizio	N;MASC;SG	N;MASC;SG
ligne	riga	ligne	riga	N;FEM;SG	N;FEM;SG
ligne	linea	ligne	linea	N;FEM;SG	N;FEM;SG
ligne	fila	ligne	fila	N;FEM;SG	N;FEM;SG
ligne	riga	ligne	riga	N;FEM;SG	N;FEM;SG
suite	suite	suite	suite	N;FEM;SG	N;FEM
nationale	nazionale	national	nazionale	ADJ;FEM;SG	ADJ;SG
nationale	nationale	national	nationale	ADJ;FEM;SG	ADJ;SG
championnat	campionato	championnat	campionato	N;MASC;SG	N;MASC;SG
encore	ancora	encore	ancora	ADV	ADV
encore	ancora	encore	ancora	ADV	ADV
image	picture	image	pictura	N;FEM;SG	N
image	immagine	image	immagine	N;FEM;SG	N;FEM;SG
image	immagine	image	immagine	N;FEM;SG	N;FEM;SG
vie	vita	vie	vita	N;FEM;SG	N;FEM;SG
vie	life	vie	life	N;FEM;SG	N
lien	link	lien	link	N;MASC;SG	N;MASC
lien	collegamento	lien	collegamento	N;MASC;SG	N;MASC;SG
football	soccer	football	soccere	N;MASC;SG	N;MASC
football	calcio	football	calcio	N;MASC;SG	N;MASC;SG
football	calcio	football	calcio	N;MASC;SG	N;MASC;SG
pendant	durante	pendant	durante	ADP	ADP
jeux	giochi	jeu	gioco	N;MASC;PL	N;MASC;PL
moins	meno	moins	meno	ADV	ADV
moins	meno	moins	meno	ADV	ADV
ouest	west	ouest	west	N;MASC;SG	N;MASC
ouest	ovest	ouest	ovest	N;MASC;SG	N;MASC;SG
ouest	occidente	ouest	occidente	N;MASC;SG	N;SG
ouest	western	ouest	western	N;MASC;SG	N
page	pagina	page	pagina	N;FEM;SG	N;FEM;SG
page	page	page	pagare	N;FEM;SG	N;FEM;SG
nouveau	nuovo	nouveau	nuovo	ADJ;MASC;SG	ADJ;MASC;SG
nouveau	nuova	nouveau	nuovo	ADJ;MASC;SG	ADJ;FEM;SG
vous	voi	vous	voi	PRO;PL;2	PRO;PL;2
centre	centro	centre	centro	N;MASC;SG	N;MASC;SG
centre	centro	centre	centro	N;MASC;SG	N;MASC;SG
cours	corso	cours	corso	N;MASC;SG	N;MASC;SG
cours	rotta	cours	rotta	N;MASC;SG	N;FEM;SG
partir	lasciare	partir	lasciare	V;NFIN	V;NFIN
partir	lascia	partir	lasciare	V;NFIN	V;IND;SG;2;PRS;FIN
partir	lasciate	partir	lasciare	V;NFIN	V;IMP;PL;2;PRS;FIN
village	village	village	village	N;MASC;SG	N;MASC
village	villaggio	village	villaggio	N;MASC;SG	N;MASC;SG
université	università	université	università	N;FEM;SG	N;FEM
université	college	université	college	N;FEM;SG	N;MASC
louis	luigi	loui	luigi	N;MASC;SG	N;MASC;SG
nombre	numero	nombre	numero	N;MASC;SG	N;MASC;SG
quelques	alcuni	quelque	alcuno	PRO;PL	PRO;MASC;PL
siècle	secolo	siècle	secolo	N;MASC;SG	N;MASC;SG
coupe	taglio	coupe	taglio	N;FEM;SG	N;MASC;SG
coupe	tazza	coupe	tazza	N;FEM;SG	N;FEM;SG
coupe	coppa	coupe	coppa	N;FEM;SG	N;FEM;SG
coupe	cup	coupe	cup	N;FEM;SG	N;MASC
coupe	taglio	coupe	taglio	N;FEM;SG	N;MASC;SG
coupe	cut	coupe	cut	N;FEM;SG	N
coupe	taglia	coupe	taglia	N;FEM;SG	N;FEM;SG
coupe	taglio	coupe	taglio	N;FEM;SG	N;MASC;SG
coupe	coupé	coupe	coupé	N;FEM;SG	N;FEM
coupe	coupe	coupe	coupe	N;FEM;SG	N;FEM;SG
population	popolazione	population	popolazione	N;FEM;SG	N;FEM;SG
homme	maschio	homme	maschio	N;MASC;SG	N;MASC;SG
homme	homme	homme	aomma	N;MASC;SG	N;MASC;SG
homme	men	homme	meno	N;MASC;SG	N;MASC;SG
homme	uomo	homme	uomo	N;MASC;SG	N;MASC;SG
homme	man	homme	mano	N;MASC;SG	N
communes	comuni	commune	comune	N;FEM;PL	N;MASC;PL
communes	municipi	commune	municipio	N;FEM;PL	N;MASC;PL
communes	municipalità	commune	municipalità	N;FEM;PL	N;FEM
communes	comuni	commune	comune	N;FEM;PL	N;MASC;PL
division	division	division	division	N;FEM;SG	N;FEM
division	divisione	division	divisione	N;FEM;SG	N;FEM;SG
président	presidente	président	presidente	N;MASC;SG	N;MASC;SG
président	sedia	président	sedia	N;MASC;SG	N;FEM;SG
président	presidente	président	presidente	N;MASC;SG	N;MASC;SG
national	nazionale	national	nazionale	ADJ;MASC;SG	ADJ;SG
société	società	société	società	N;FEM;SG	N;FEM
société	society	société	society	N;FEM;SG	N;MASC
société	società	société	società	N;FEM;SG	N;FEM
société	azienda	société	azienda	N;FEM;SG	N;FEM;SG
société	compagnia	société	compagnia	N;FEM;SG	N;FEM;SG
quatre	quattro	quatre	quattro	NUM	NUM
cas	caso	cas	caso	N;MASC;SG	N;MASC;SG
cas	cas	cas	cas	N;MASC;SG	N;SG
jeu	game	jeu	game	N;MASC;SG	N
jeu	gioco	jeu	gioco	N;MASC;SG	N;MASC;SG
jeu	partita	jeu	partita	N;MASC;SG	N;FEM;SG
jeu	selvaggina	jeu	selvaggina	N;MASC;SG	N;FEM;SG
genre	genere	genre	genere	N;MASC;SG	N;MASC;SG
genre	sesso	genre	sesso	N;MASC;SG	N;MASC;SG
genre	genere	genre	genere	N;MASC;SG	N;MASC;SG
genre	genere	genre	genere	N;MASC;SG	N;MASC;SG
musique	musica	musique	musica	N;FEM;SG	N;FEM;SG
fils	wire	fils	wire	N;MASC;SG	N
fils	filo	fils	filo	N;MASC;SG	N;MASC;SG
fils	figlio	fils	figlio	N;MASC;SG	N;MASC;SG
fils	figliolo	fils	figliolo	N;MASC;SG	N;MASC;SG
fils	sons	fils	sons	N;MASC;SG	N;MASC
fils	filato	fils	filato	N;MASC;SG	N;MASC;SG
roi	re	roi	re	N;MASC;SG	N;MASC
roi	king	roi	king	N;MASC;SG	N;MASC
roi	roi	roi	roi	N;MASC;SG	N;SG
parti	andato	partir	andare	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
jour	giornata	jour	giornata	N;MASC;SG	N;FEM;SG
jour	giorno	jour	giorno	N;MASC;SG	N;MASC;SG
europe	europa	europe	europa	N;FEM;SG	N;FEM;SG
forme	forma	forme	forma	N;FEM;SG	N;FEM;SG
forme	modulo	forme	modulo	N;FEM;SG	N;MASC;SG
forme	form	forme	form	N;FEM;SG	N
forme	forma	forme	forma	N;FEM;SG	N;FEM;SG
époque	epoca	époque	epoca	N;FEM;SG	N;FEM;SG
devient	diventa	devenir	diventare	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
devient	diviene	devenir	divenire	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
ancien	antico	ancien	antico	ADJ;MASC;SG	ADJ;MASC;SG
ancien	antica	ancien	antico	ADJ;MASC;SG	ADJ;FEM;SG
ancien	antico	ancien	antico	ADJ;MASC;SG	ADJ;MASC;SG
ancien	vecchio	ancien	vecchio	ADJ;MASC;SG	ADJ;MASC;SG
ancien	vecchia	ancien	vecchio	ADJ;MASC;SG	ADJ;FEM;SG
ancien	anziano	ancien	anziano	ADJ;MASC;SG	ADJ;MASC;SG
ancien	ex	ancien	ex	ADJ;MASC;SG	ADJ
origine	origine	origine	origine	N;FEM;SG	N;FEM;SG
ordre	ordinazione	ordre	ordinazione	N;MASC;SG	N;FEM;SG
ordre	ordine	ordre	ordine	N;MASC;SG	N;MASC;SG
château	castello	château	castello	N;MASC;SG	N;MASC;SG
château	chateau	château	chateau	N;MASC;SG	N
école	scuola	école	scuola	N;FEM;SG	N;FEM;SG
carrière	carriera	carrière	carriera	N;FEM;SG	N;FEM;SG
carrière	cava	carrière	cava	N;FEM;SG	N;FEM;SG
carrière	carriera	carrière	carriera	N;FEM;SG	N;FEM;SG
deuxième	seconda	deuxième	secondo	ADJ;MASC;SG	ADJ;FEM;SG
deuxième	secondo	deuxième	secondo	ADJ;MASC;SG	ADJ;MASC;SG
bar	bar	bar	bar	N;MASC;SG	N;MASC
située	localizzato	situer	localizzare	V;FEM;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
charles	carlo	charle	carlo	N;MASC;SG	N;MASC;SG
points	puntini	point	puntino	N;MASC;PL	N;MASC;PL
points	punti	point	punto	N;MASC;PL	N;MASC;PL
points	punti	point	punto	N;MASC;PL	N;MASC;PL
ayant	avendo	avoir	avere	V;PRS;V.PTCP	V;V.MSDR
paul	paolo	paul	paolo	N;MASC;SG	N;MASC;SG
rue	street	rue	street	N;FEM;SG	N;MASC
rue	strada	rue	strada	N;FEM;SG	N;FEM;SG
rue	rue	rue	rue	N;FEM;SG	N;FEM;SG
chef	chef	chef	chef	N;MASC;SG	N
chef	cuoco	chef	cuoco	N;MASC;SG	N;MASC;SG
chef	chief	chef	chief	N;MASC;SG	N
chef	capo	chef	capo	N;MASC;SG	N;MASC;SG
père	papà	père	papà	N;MASC;SG	N;MASC
père	padre	père	padre	N;MASC;SG	N;MASC;SG
exemple	esempio	exemple	esempio	N;MASC;SG	N;MASC;SG
trouve	trova	trouver	trovare	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
durant	durante	durant	durante	ADP	ADP
rapport	relazione	rapport	relazione	N;MASC;SG	N;FEM;SG
art	arte	art	arte	N;MASC;SG	N;FEM;SG
canton	guangzhou	canton	guangzhou	N;MASC;SG	N;MASC
canton	canton	canton	canton	N;MASC;SG	N;MASC;SG
canton	cantone	canton	cantone	N;MASC;SG	N;MASC;SG
canton	canton	canton	canton	N;MASC;SG	N;MASC;SG
dernier	ultima	dernier	ultimo	ADJ;MASC;SG	ADJ;FEM;SG
dernier	ultimo	dernier	ultimo	ADJ;MASC;SG	ADJ;MASC;SG
type	type	type	typo	N;MASC;SG	N
habitants	abitanti	habitant	abitante	N;MASC;PL	N;PL
habitants	residenti	habitant	residente	N;MASC;PL	N;PL
point	point	point	point	N;MASC;SG	N
point	punto	point	punto	N;MASC;SG	N;MASC;SG
compte	conte	compte	conte	N;MASC;SG	N;MASC;SG
compte	conteggio	compte	conteggio	N;MASC;SG	N;MASC;SG
compte	account	compte	account	N;MASC;SG	N
compte	conto	compte	conto	N;MASC;SG	N;MASC;SG
période	periodo	période	periodo	N;FEM;SG	N;MASC;SG
armée	esercito	armée	esercito	N;FEM;SG	N;MASC;SG
armée	armata	armée	armata	N;FEM;SG	N;FEM;SG
armée	esercito	armée	esercito	N;FEM;SG	N;MASC;SG
eau	acqua	eau	acqua	N;FEM;SG	N;FEM;SG
marie	maria	marier	maria	N;FEM;SG	N;FEM;SG
marie	mary	marier	mary	N;FEM;SG	N;FEM;SG
marie	maria	marier	maria	N;FEM;SG	N;FEM;SG
marie	maria	marier	maria	N;FEM;SG	N;FEM;SG
discuter	chattare	discuter	chattare	V;NFIN	V;NFIN
discuter	discutere	discuter	discutere	V;NFIN	V;NFIN
discuter	chattare	discuter	chattare	V;NFIN	V;NFIN
projet	project	projet	project	N;MASC;SG	N
projet	progetto	projet	progetto	N;MASC;SG	N;MASC;SG
chaque	ogni	chaque	ogni	DET;FEM;SG	DET;SG
chaque	ogni	chaque	ogni	DET;FEM;SG	DET;SG
chaque	ciascuna	chaque	ciascuno	DET;FEM;SG	DET;FEM;SG
anglais	inglese	anglais	inglese	N;MASC;SG	N;SG
anglais	english	anglais	english	N;MASC;SG	N
province	provincia	province	provincia	N;FEM;SG	N;FEM;SG
international	internazionale	international	internazionale	ADJ;MASC;SG	ADJ;SG
conseil	consulenza	conseil	consulenza	N;MASC;SG	N;FEM;SG
conseil	consulenza	conseil	consulenza	N;MASC;SG	N;FEM;SG
conseil	concilio	conseil	concilio	N;MASC;SG	N;MASC;SG
conseil	consiglio	conseil	consiglio	N;MASC;SG	N;MASC;SG
maison	casa	maison	casa	N;FEM;SG	N;FEM;SG
maison	home	maison	home	N;FEM;SG	N
maison	casa	maison	casa	N;FEM;SG	N;FEM;SG
demande	richiesta	demande	richiesta	N;FEM;SG	N;FEM;SG
fonction	funzione	fonction	funzione	N;FEM;SG	N;FEM;SG
toujours	sempre	toujours	sempre	ADV	ADV
toujours	ancora	toujours	ancora	ADV	ADV
production	produzione	production	produzione	N;FEM;SG	N;FEM;SG
certains	alcuni	certain	alcuno	PRO;MASC;PL	PRO;MASC;PL
membre	membro	membre	membro	N;MASC;SG	N;MASC;SG
près	vicino	près	vicino	ADV	ADV
rôle	ruolo	rôle	ruolo	N;MASC;SG	N;MASC;SG
meilleur	migliore	meilleur	migliore	ADJ;MASC;SG	ADJ;CMPR;SG
meilleur	migliore	meilleur	migliore	ADJ;MASC;SG	ADJ;CMPR;SG
droit	destro	droit	destro	N;MASC;SG	N;MASC;SG
droit	destra	droit	destra	N;MASC;SG	N;FEM;SG
droit	legge	droit	legge	N;MASC;SG	N;FEM;SG
droit	diritto	droit	diritto	N;MASC;SG	N;MASC;SG
mois	mese	mois	mese	N;MASC;SG	N;MASC;SG
île	isola	île	isola	N;FEM;SG	N;FEM;SG
île	île	île	il	N;FEM;SG	N;MASC;SG
république	repubblica	république	repubblica	N;FEM;SG	N;FEM;SG
service	servizio	service	servizio	N;MASC;SG	N;MASC;SG
jacques	jacques	jacque	jacques	N;MASC;SG	N;MASC;SG
score	punteggio	score	punteggio	N;MASC;SG	N;MASC;SG
ensuite	allora	ensuite	allora	ADV	ADV
ensuite	poi	ensuite	poi	ADV	ADV
langue	linguaggio	langue	linguaggio	N;FEM;SG	N;MASC;SG
langue	lingua	langue	lingua	N;FEM;SG	N;FEM;SG
dit	detto	dire	dire	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
gouvernement	governo	gouvernement	governo	N;MASC;SG	N;MASC;SG
center	centro	center	centro	N;MASC;SG	N;MASC;SG
elles	loro	il	loro	PRO;FEM;PL;3	PRO;PL;3
petit	piccola	petit	piccolo	ADJ;MASC;SG	ADJ;FEM;SG
petit	piccolo	petit	piccolo	ADJ;MASC;SG	ADJ;MASC;SG
