din	từ	din	từ	ADP;ACC	ADP
locul	chỗ	loc	chỗ	N;DEF;MASC;SG	N
oras	phố	oras	phố	N;INDF;MASC;SG	N
oras	phố	oras	phố	N;INDF;MASC;SG	N
oras	phố	oras	phố	N;INDF;MASC;SG	N
oras	phố	oras	phố	N;INDF;MASC;SG	N
oras	phố	oras	phố	N;INDF;MASC;SG	N
oras	phố	oras	phố	N;INDF;MASC;SG	N
camp	camp	camp	camp	N;INDF;MASC;SG	N
camp	trại	camp	trại	N;INDF;MASC;SG	N
camp	trường	camp	trường	N;INDF;MASC;SG	N
satul	làng	sat	làng	N;DEF;MASC;SG	N
cadrul	framework	cadru	framework	N;DEF;MASC;SG	N
general	chung	general	chung	ADJ;INDF;MASC;SG	ADJ
razboi	tranh	razboi	tranh	N;INDF;MASC;SG	N
razboi	chiến	razboi	chiến	N;INDF;MASC;SG	N
razboi	tranh	razboi	tranh	N;INDF;MASC;SG	N
razboi	chiến	razboi	chiến	N;INDF;MASC;SG	N
romana	roman	romană	roman	N;DEF;FEM;SG	N
romana	đế	romană	đế	N;DEF;FEM;SG	N
romana	romana	romană	romana	N;DEF;FEM;SG	N
afla	ngộ	afla	ngộ	V;IND;SG;3;IPFV;FIN	V
afla	học	afla	học	V;IND;SG;3;IPFV;FIN	V
roman	roman	roman	roman	N;INDF;MASC;SG	N
roman	đế	roman	đế	N;INDF;MASC;SG	N
provincia	tỉnh	provincie	tỉnh	N;DEF;FEM;SG	N
specie	loài	specie	loài	N;INDF;FEM;SG	N
punct	dot	punct	dot	N;INDF;MASC;SG	N
punct	điểm	punct	điểm	N;INDF;MASC;SG	N
aceste	những	acest	những	DET;FEM;PL;3	DET
orasul	phố	oras	phố	N;DEF;MASC;SG	N
orasul	phố	oras	phố	N;DEF;MASC;SG	N
orasul	phố	oras	phố	N;DEF;MASC;SG	N
film	film	film	film	N;INDF;MASC;SG	N
vorbitori	loa	vorbitor	loa	N;INDF;MASC;PL	N
date	ngày	dată	ngày	N;INDF;FEM;PL	N
trebuie	phải	trebui	phải	V;IND;3;PRS;FIN	V
mari	lớn	mare	lớn	ADJ;INDF;PL	ADJ
mari	to	mare	to	ADJ;INDF;PL	ADJ
zile	ngày	zi	ngày	N;INDF;FEM;PL	N
fata	face	fată	face	N;DEF;FEM;SG	N
fata	mặt	fată	mặt	N;DEF;FEM;SG	N
fata	face	fată	face	N;DEF;FEM;SG	N
fata	mặt	fată	mặt	N;DEF;FEM;SG	N
fata	girl	fată	girl	N;DEF;FEM;SG	N
fata	gái	fată	gái	N;DEF;FEM;SG	N
fata	face	fată	face	N;DEF;FEM;SG	N
fata	mặt	fată	mặt	N;DEF;FEM;SG	N
fata	girl	fată	girl	N;DEF;FEM;SG	N
fata	gái	fată	gái	N;DEF;FEM;SG	N
fata	face	fată	face	N;DEF;FEM;SG	N
fata	mặt	fată	mặt	N;DEF;FEM;SG	N
fata	face	fată	face	N;DEF;FEM;SG	N
fata	mặt	fată	mặt	N;DEF;FEM;SG	N
club	clb	club	clb	N;INDF;MASC;SG	N
ion	ion	ion	ion	N;INDF;MASC;SG	N
rusa	nga	rusa	nga	N;DEF;FEM;SG	N
rusa	nga	rusa	nga	N;DEF;FEM;SG	N
isbn	isbn	isbn	isbn		
doi	hai	doi	hai	NUM;MASC;PL	NUM
doi	two	doi	two	NUM;MASC;PL	NUM
impotriva	dũng	impotriva	dũng	N;DEF;FEM;SG	N
impotriva	dũng	impotriva	dũng	N;DEF;FEM;SG	N
impotriva	dũng	impotriva	dũng	N;DEF;FEM;SG	N
desi	desi	desi	desi		
saint	thánh	saint	thánh	N;INDF;MASC;SG	N
specia	loài	specie	loài	N;DEF;FEM;SG	N
vest	tây	vest	tây	N;INDF;MASC;SG	N
vest	tây	vest	tây	N;INDF;MASC;SG	N
putin	tiểu	putin	tiểu		
descoperit	uncovered	descoperit	uncovered	ADJ;INDF;MASC;SG	ADJ
inainte	trước	inainte	trước		
inainte	trước	inainte	trước		
lemn	gỗ	lemn	gỗ	N;INDF;MASC;SG	N
lemn	củi	lemn	củi	N;INDF;MASC;SG	N
subspecii	subspecies	subspeciu	subspecies	N;DEF;FEM;PL	N
statele	kỳ	stat	kỳ	N;DEF;FEM;PL	N
mod	mod	mod	mod	N;INDF;MASC;SG	N
casa	ốc	casă	ốc	N;DEF;FEM;SG	N
casa	nhà	casă	nhà	N;DEF;FEM;SG	N
casa	ốc	casă	ốc	N;DEF;FEM;SG	N
casa	nhà	casă	nhà	N;DEF;FEM;SG	N
casa	nhà	casă	nhà	N;DEF;FEM;SG	N
categorie	loại	categorie	loại	N;INDF;FEM;SG	N
text	chữ	text	chữ	N;INDF;MASC;SG	N
site	website	sită	website	N;INDF;FEM;PL	N
articole	mục	articol	mục	N;INDF;FEM;PL	N
milioane	triệu	milion	triệu	NUM;INDF;FEM;PL	NUM
milioane	triệu	milion	triệu	NUM;INDF;FEM;PL	NUM
apa	nước	apă	nước	N;DEF;FEM;SG	N
apa	nước	apă	nước	N;DEF;FEM;SG	N
tara	quốc	tară	quốc	N;DEF;FEM;SG	N
tara	quốc	tară	quốc	N;DEF;FEM;SG	N
tara	quốc	tară	quốc	N;DEF;FEM;SG	N
tara	quốc	tară	quốc	N;DEF;FEM;SG	N
tara	quốc	tară	quốc	N;DEF;FEM;SG	N
sate	làng	sat	làng	N;INDF;FEM;PL	N
maria	chư	maria	chư	N;DEF;FEM;SG	N
maria	maria	maria	maria	N;DEF;FEM;SG	N
patru	bốn	patru	bốn	NUM;PL	NUM
raul	sông	raul	sông	N;DEF;MASC;SG	N
raul	ác	raul	ác	N;DEF;MASC;SG	N
tip	khứa	tip	khứa	N;INDF;MASC;SG	N
tip	kiểu	tip	kiểu	N;INDF;MASC;SG	N
tip	loại	tip	loại	N;INDF;MASC;SG	N
persoane	người	persoană	người	N;INDF;FEM;PL	N
etc	etc	etc	etc		
etc	vv	etc	vv		
descriere	caption	descriere	caption	N;INDF;FEM;SG	N
descriere	tả	descriere	tả	N;INDF;FEM;SG	N
numarul	số	numar	số	N;DEF;MASC;SG	N
comitatul	quận	comitat	quận	N;DEF;MASC;SG	N
comitatul	hạt	comitat	hạt	N;DEF;MASC;SG	N
marea	biển	mare	biển	N;DEF;FEM;SG	N
raport	cáo	raport	cáo	N;INDF;MASC;SG	N
echipa	đội	echipă	đội	N;DEF;FEM;SG	N
echipa	đội	echipă	đội	N;DEF;FEM;SG	N
echipa	lớp	echipă	lớp	N;DEF;FEM;SG	N
echipa	đội	echipă	đội	N;DEF;FEM;SG	N
echipa	lớp	echipă	lớp	N;DEF;FEM;SG	N
diferite	khác	diferit	khác	ADJ;INDF;FEM;PL	ADJ
valea	lũng	vale	lũng	N;DEF;FEM;SG	N
svg	svg	svg	svg	N	N
zona	múi	zonă	múi	N;DEF;FEM;SG	N
zona	vùng	zonă	vùng	N;DEF;FEM;SG	N
zona	vực	zonă	vực	N;DEF;FEM;SG	N
zona	vùng	zonă	vùng	N;DEF;FEM;SG	N
zona	múi	zonă	múi	N;DEF;FEM;SG	N
zona	vùng	zonă	vùng	N;DEF;FEM;SG	N
zona	vực	zonă	vực	N;DEF;FEM;SG	N
zona	vùng	zonă	vùng	N;DEF;FEM;SG	N
satului	làng	sat	làng	N;DEF;MASC;SG	N
viata	đời	viată	đời	N;DEF;FEM;SG	N
viata	đời	viată	đời	N;DEF;FEM;SG	N
viata	đời	viată	đời	N;DEF;FEM;SG	N
viata	đời	viată	đời	N;DEF;FEM;SG	N
viata	đời	viată	đời	N;DEF;FEM;SG	N
bun	tốt	bun	tốt	ADJ;INDF;MASC;SG	ADJ
bun	ngon	bun	ngon	ADJ;INDF;MASC;SG	ADJ
format	format	format	format	N;INDF;MASC;SG	N
oameni	người	om	người	N;INDF;MASC;PL	N
suprafata	vực	suprafată	vực	N;DEF;FEM;SG	N
suprafata	vùng	suprafată	vùng	N;DEF;FEM;SG	N
team	đội	team	đội	N;INDF;MASC;SG	N
team	lớp	team	lớp	N;INDF;MASC;SG	N
lucru	điều	lucru	điều	N;INDF;MASC;SG	N
lucru	thứ	lucru	thứ	N;INDF;MASC;SG	N
ibn	ibn	ibn	ibn	N;INDF;MASC;SG	N
centrul	centre	centru	centre	N;DEF;MASC;SG	N
numar	số	numar	số	N;INDF;MASC;SG	N
numar	số	numar	số	N;INDF;MASC;SG	N
cauza	chi	cauză	chi	N;DEF;FEM;SG	N
cauza	chi	cauză	chi	N;DEF;FEM;SG	N
serie	series	serie	series	N;INDF;FEM;SG	N
sua	kỳ	sua	kỳ	N	N
sua	mỹ	sua	mỹ	N	N
vechi	cũ	vechi	cũ	ADJ;INDF;MASC;SG	ADJ
vechi	già	vechi	già	ADJ;INDF;MASC;SG	ADJ
muntii	núi	munte	núi	N;DEF;MASC;PL	N
muntii	núi	munte	núi	N;DEF;MASC;PL	N
muntii	núi	munte	núi	N;DEF;MASC;PL	N
apelor	waters	apă	waters	N;DEF;FEM;PL	N
regele	vua	rege	vua	N;DEF;MASC;SG	N
fiul	trai	fiu	trai	N;DEF;MASC;SG	N
fiul	nhi	fiu	nhi	N;DEF;MASC;SG	N
fiul	son	fiu	son	N;DEF;MASC;SG	N
noua	chín	nou	chín	ADJ;DEF;FEM;SG	ADJ
palomar	palomar	palomar	palomar	N;INDF;MASC;SG	N
institutul	viện	institut	viện	N;DEF;MASC;SG	N
satele	làng	sat	làng	N;DEF;FEM;PL	N
album	album	album	album	N;INDF;MASC;SG	N
pagina	trang	pagină	trang	N;DEF;FEM;SG	N
pagina	trang	pagină	trang	N;DEF;FEM;SG	N
armata	quân	armată	quân	N;DEF;FEM;SG	N
armata	army	armată	army	N;DEF;FEM;SG	N
armata	quân	armată	quân	N;DEF;FEM;SG	N
armata	army	armată	army	N;DEF;FEM;SG	N
forma	hình	formă	hình	N;DEF;FEM;SG	N
forma	mẫu	formă	mẫu	N;DEF;FEM;SG	N
forma	hình	formă	hình	N;DEF;FEM;SG	N
forma	mẫu	formă	mẫu	N;DEF;FEM;SG	N
mica	nhỏ	mic	nhỏ	ADJ;DEF;FEM;SG	ADJ
principal	main	principal	main	N;INDF;MASC;SG	N
mici	nhỏ	mic	nhỏ	ADJ;INDF;PL	ADJ
mic	nhỏ	mic	nhỏ	ADJ;INDF;MASC;SG	ADJ
mic	nhỏ	mic	nhỏ	ADJ;INDF;MASC;SG	ADJ
gen	gen	gen	gen	N;INDF;MASC;SG	N
der	der	der	der	N;INDF;MASC;SG	N
aur	vàng	aur	vàng	N;INDF;MASC;SG	N
murit	chết	muri	chết	V;MASC;SG;V.PTCP	V
germana	đức	germană	đức	N;DEF;FEM;SG	N
germana	đức	germană	đức	N;DEF;FEM;SG	N
pol	pol	pol	pol	N;INDF;MASC;SG	N
pol	pool	pol	pool	N;INDF;MASC;SG	N
pol	pole	pol	pole	N;INDF;MASC;SG	N
pol	cột	pol	cột	N;INDF;MASC;SG	N
lume	giới	lume	giới	N;INDF;FEM;SG	N
spacewatch	spacewatch	spacewatch	spacewatch		
profesor	thầy	profesor	thầy	N;INDF;MASC;SG	N
lumea	giới	lume	giới	N;DEF;FEM;SG	N
vol	vol	vol	vol		
buna	tốt	bun	tốt	ADJ;DEF;FEM;SG	ADJ
buna	ngon	bun	ngon	ADJ;DEF;FEM;SG	ADJ
centru	centre	centru	centre	N;INDF;MASC;SG	N
districtul	huyện	district	huyện	N;DEF;MASC;SG	N
contine	chứa	contin	chứa	V;IND;SG;3;PRS;FIN	V
contine	chứa	contin	chứa	V;IND;SG;3;PRS;FIN	V
contine	chứa	contin	chứa	V;IND;SG;3;PRS;FIN	V
sultan	sultan	sultan	sultan	N;INDF;MASC;SG	N
afeliu	aphelion	afeliu	aphelion		
imagini	ảnh	imagine	ảnh	N;INDF;FEM;PL	N
spune	nói	spune	nói	V;IND;SG;3;PRS;FIN	V
domeniul	miền	domeniu	miền	N;DEF;MASC;SG	N
scoala	trường	scoală	trường	N;DEF;FEM;SG	N
scoala	trường	scoală	trường	N;DEF;FEM;SG	N
scoala	trường	scoală	trường	N;DEF;FEM;SG	N
scoala	trường	scoală	trường	N;DEF;FEM;SG	N
scoala	trường	scoală	trường	N;DEF;FEM;SG	N
provincie	tỉnh	provincie	tỉnh	N;INDF;FEM;SG	N
sistemul	hệ	sistem	hệ	N;DEF;MASC;SG	N
incepe	khởi	incepe	khởi	V;IND;SG;3;PRS;FIN	V
ziua	ngày	zi	ngày	N;DEF;FEM;SG	N
single	đơn	single	đơn	N;INDF;MASC;SG	N
razboiul	tranh	razboi	tranh	N;DEF;MASC;SG	N
razboiul	chiến	razboi	chiến	N;DEF;MASC;SG	N
franceza	pháp	franceza	pháp	N;DEF;FEM;SG	N
franceza	pháp	franceza	pháp	N;DEF;FEM;SG	N
familie	đình	familie	đình	N;INDF;FEM;SG	N
functia	hàm	functie	hàm	N;DEF;FEM;SG	N
functia	hàm	functie	hàm	N;DEF;FEM;SG	N
curs	hải	curs	hải	N;INDF;MASC;SG	N
sistem	hệ	sistem	hệ	N;INDF;MASC;SG	N
sudul	nam	sud	nam	N;DEF;MASC;SG	N
categoria	loại	categorie	loại	N;DEF;FEM;SG	N
nivel	mức	nivel	mức	N;INDF;MASC;SG	N
nivel	tầng	nivel	tầng	N;INDF;MASC;SG	N
nivel	cấp	nivel	cấp	N;INDF;MASC;SG	N
top	nắp	top	nắp	N;INDF;MASC;SG	N
top	đỉnh	top	đỉnh	N;INDF;MASC;SG	N
cartea	sách	carte	sách	N;DEF;FEM;SG	N
png	png	png	png	N	N
city	phố	city	phố	N;INDF;MASC;SG	N
lupta	trận	luptă	trận	N;DEF;FEM;SG	N
luni	tháng	lună	tháng	N;INDF;FEM;PL	N
radio	đài	radio	đài	N;INDF;MASC;SG	N
fac	làm	face	làm	V;IND;PL;3;PRS;FIN	V
cantonul	tổng	canton	tổng	N;DEF;MASC;SG	N
cantonul	canton	canton	canton	N;DEF;MASC;SG	N
varsta	tuổi	varsta	tuổi	N;DEF;FEM;SG	N
varsta	tuổi	varsta	tuổi	N;DEF;FEM;SG	N
varsta	tuổi	varsta	tuổi	N;DEF;FEM;SG	N
veche	cũ	vechi	cũ	ADJ;INDF;FEM;SG	ADJ
veche	già	vechi	già	ADJ;INDF;FEM;SG	ADJ
guvernul	phủ	guvern	phủ	N;DEF;MASC;SG	N
japonia	japan	japonie	japan	N;DEF;FEM;SG	N
petru	peter	petru	peter		
conte	conte	conte	conte	N;INDF;MASC;SG	N
alba	alba	alb	alba	N;DEF;FEM;SG	N
alba	trắng	alb	trắng	N;DEF;FEM;SG	N
alba	bạch	alb	bạch	N;DEF;FEM;SG	N
specii	loài	specie	loài	N;INDF;FEM;PL	N
cupa	cup	cupă	cup	N;DEF;FEM;SG	N
cupa	cốc	cupă	cốc	N;DEF;FEM;SG	N
cupa	cup	cupă	cup	N;DEF;FEM;SG	N
cupa	cốc	cupă	cốc	N;DEF;FEM;SG	N
batalia	trận	batalie	trận	N;DEF;FEM;SG	N
scrie	viết	scrie	viết	V;IND;SG;3;PRS;FIN	V
scrie	ghi	scrie	ghi	V;IND;SG;3;PRS;FIN	V
scrie	gõ	scrie	gõ	V;IND;SG;3;PRS;FIN	V
uniunii	union	uniune	union	N;DEF;FEM;SG	N
mama	mẹ	mamă	mẹ	N;DEF;FEM;SG	N
mama	mom	mamă	mom	N;DEF;FEM;SG	N
mama	mẹ	mamă	mẹ	N;DEF;FEM;SG	N
mama	mẹ	mamă	mẹ	N;DEF;FEM;SG	N
mama	mom	mamă	mom	N;DEF;FEM;SG	N
mama	mẹ	mamă	mẹ	N;DEF;FEM;SG	N
uri	uri	uri	uri		
america	châu	americă	châu	N;DEF;FEM;SG	N
america	mỹ	americă	mỹ	N;DEF;FEM;SG	N
surse	nguồn	sursă	nguồn	N;INDF;FEM;PL	N
obicei	trù	obicei	trù	N;INDF;MASC;SG	N
sezonul	mùa	sezon	mùa	N;DEF;MASC;SG	N
liga	league	ligă	league	N;DEF;FEM;SG	N
liga	liga	ligă	liga	N;DEF;FEM;SG	N
liga	league	ligă	league	N;DEF;FEM;SG	N
loire	loire	loire	loire	N;INDF;FEM;SG	N
uniunea	union	uniune	union	N;DEF;FEM;SG	N
carti	bài	carti	bài	N;INDF;FEM;PL	N
carti	thẻ	carti	thẻ	N;INDF;FEM;PL	N
carti	sách	carti	sách	N;INDF;FEM;PL	N
carti	bài	carti	bài	N;INDF;FEM;PL	N
carti	thẻ	carti	thẻ	N;INDF;FEM;PL	N
carti	sách	carti	sách	N;INDF;FEM;PL	N
carti	bài	carti	bài	N;INDF;FEM;PL	N
carti	thẻ	carti	thẻ	N;INDF;FEM;PL	N
carti	sách	carti	sách	N;INDF;FEM;PL	N
rock	đá	rock	đá	N;INDF;MASC;SG	N
rock	rock	rock	rock	N;INDF;MASC;SG	N
ziarul	báo	ziar	báo	N;DEF;MASC;SG	N
www	www	www	www	N;INDF;MASC;SG	N
codul	code	cod	code	N;DEF;MASC;SG	N
codul	mã	cod	mã	N;DEF;MASC;SG	N
fiica	gái	fiică	gái	N;DEF;FEM;SG	N
fiica	gái	fiică	gái	N;DEF;FEM;SG	N
scopul	tiêu	scop	tiêu	N;DEF;MASC;SG	N
grupul	nhóm	grup	nhóm	N;DEF;MASC;SG	N
insula	đảo	insulă	đảo	N;DEF;FEM;SG	N
insula	đảo	insulă	đảo	N;DEF;FEM;SG	N
albumul	album	album	album	N;DEF;MASC;SG	N
director	trương	director	trương	N;INDF;MASC;SG	N
director	directory	director	directory	N;INDF;MASC;SG	N
state	kỳ	stat	kỳ	N;INDF;FEM;PL	N
pop	bốp	pop	bốp		
capitala	vốn	capitală	vốn	N;DEF;FEM;SG	N
capitala	vốn	capitală	vốn	N;DEF;FEM;SG	N
mexico	mexico	mexico	mexico	N;INDF;MASC;SG	N
sfantul	thánh	sfant	thánh	N;DEF;MASC;SG	N
sfantul	thánh	sfant	thánh	N;DEF;MASC;SG	N
sotia	vợ	sotie	vợ	N;DEF;FEM;SG	N
sotia	vợ	sotie	vợ	N;DEF;FEM;SG	N
metri	mét	metru	mét	N;INDF;MASC;PL	N
singur	độc	singur	độc	ADJ;INDF;MASC;SG	ADJ
nevoie	ấp	nevoie	ấp	N;INDF;FEM;SG	N
oamenii	người	om	người	N;DEF;MASC;PL	N
curtea	triều	curte	triều	N;DEF;FEM;SG	N
seria	series	serie	series	N;DEF;FEM;SG	N
sef	sếp	sef	sếp	N;INDF;MASC;SG	N
sef	sếp	sef	sếp	N;INDF;MASC;SG	N
carte	sách	carte	sách	N;INDF;FEM;SG	N
africa	phi	africa	phi	N;DEF;FEM;SG	N
religie	đạo	religie	đạo	N;INDF;FEM;SG	N
minor	nhỏ	minor	nhỏ	ADJ;INDF;MASC;SG	ADJ
final	kết	final	kết	N;INDF;MASC;SG	N
final	final	final	final	N;INDF;MASC;SG	N
para	pear	părea	pear		
para	pear	părea	pear		
fratele	huynh	frate	huynh	N;DEF;MASC;SG	N
press	bào	press	bào	N;INDF;MASC;SG	N
press	ấn	press	ấn	N;INDF;MASC;SG	N
drumul	đường	drum	đường	N;DEF;MASC;SG	N
district	huyện	district	huyện	N;INDF;MASC;SG	N
und	und	und	und	N;INDF;MASC;SG	N
luna	nguyệt	lună	nguyệt	N;DEF;FEM;SG	N
luna	trăng	lună	trăng	N;DEF;FEM;SG	N
luna	moon	lună	moon	N;DEF;FEM;SG	N
luna	tháng	lună	tháng	N;DEF;FEM;SG	N
luna	nguyệt	lună	nguyệt	N;DEF;FEM;SG	N
luna	trăng	lună	trăng	N;DEF;FEM;SG	N
luna	moon	lună	moon	N;DEF;FEM;SG	N
luna	tháng	lună	tháng	N;DEF;FEM;SG	N
publica	đăng	publica	đăng	V;IND;SG;3;IPFV;FIN	V
publica	đăng	publica	đăng	V;IND;SG;3;IPFV;FIN	V
poet	thơ	poet	thơ	N;INDF;MASC;SG	N
victoria	victoria	victorie	victoria	N;DEF;FEM;SG	N
nivelul	mức	nivel	mức	N;DEF;MASC;SG	N
nivelul	tầng	nivel	tầng	N;DEF;MASC;SG	N
nivelul	cấp	nivel	cấp	N;DEF;MASC;SG	N
poarta	cổng	poartă	cổng	N;DEF;FEM;SG	N
poarta	cổng	poartă	cổng	N;DEF;FEM;SG	N
adrian	adrian	adrian	adrian	N;INDF;MASC;SG	N
spus	nói	spune	nói	V;MASC;SG;V.PTCP	V
spus	bảo	spune	bảo	V;MASC;SG;V.PTCP	V
united	united	united	united	N;INDF;MASC;SG	N
united	hoa	united	hoa	N;INDF;MASC;SG	N
paianjeni	nhện	paianjean	nhện	N;INDF;MASC;PL	N
lumina	châm	lumină	châm	N;DEF;FEM;SG	N
lumina	đèn	lumină	đèn	N;DEF;FEM;SG	N
lumina	châm	lumină	châm	N;DEF;FEM;SG	N
lumina	đèn	lumină	đèn	N;DEF;FEM;SG	N
elemente	mục	element	mục	N;INDF;FEM;PL	N
piatra	đá	piatră	đá	N;DEF;FEM;SG	N
piatra	đá	piatră	đá	N;DEF;FEM;SG	N
piatra	rock	piatră	rock	N;DEF;FEM;SG	N
piatra	đá	piatră	đá	N;DEF;FEM;SG	N
piatra	đá	piatră	đá	N;DEF;FEM;SG	N
piatra	rock	piatră	rock	N;DEF;FEM;SG	N
sec	giây	sec	giây		
piese	vết	piesă	vết	N;INDF;FEM;PL	N
piese	rãnh	piesă	rãnh	N;INDF;FEM;PL	N
piese	phần	piesă	phần	N;INDF;FEM;PL	N
piata	chợ	piată	chợ	N;DEF;FEM;SG	N
piata	chợ	piată	chợ	N;DEF;FEM;SG	N
piata	chợ	piată	chợ	N;DEF;FEM;SG	N
piata	chợ	piată	chợ	N;DEF;FEM;SG	N
piata	chợ	piată	chợ	N;DEF;FEM;SG	N
vestul	tây	vest	tây	N;DEF;MASC;SG	N
legatura	link	legatură	link	N;DEF;FEM;SG	N
legatura	link	legatură	link	N;DEF;FEM;SG	N
pagini	trang	pagină	trang	N;INDF;FEM;PL	N
linia	dòng	linie	dòng	N;DEF;FEM;SG	N
medie	trung	medie	trung	N;INDF;FEM;SG	N
puterea	lực	putere	lực	N;DEF;FEM;SG	N
puternic	mạnh	puternic	mạnh	ADJ;INDF;MASC;SG	ADJ
legea	luật	lege	luật	N;DEF;FEM;SG	N
loneos	loneos	loneos	loneos		
rezultat	quả	rezultat	quả	N;INDF;MASC;SG	N
randul	hàng	rand	hàng	N;DEF;MASC;SG	N
constanta	constanta	constantă	constanta	N;DEF;FEM;SG	N
constanta	constanta	constantă	constanta	N;DEF;FEM;SG	N
constanta	constanta	constantă	constanta	N;DEF;FEM;SG	N
nordul	bắc	nord	bắc	N;DEF;MASC;SG	N
nordul	bắc	nord	bắc	N;DEF;MASC;SG	N
putere	lực	putere	lực	N;INDF;FEM;SG	N
castelul	castle	castel	castle	N;DEF;MASC;SG	N
castelul	đài	castel	đài	N;DEF;MASC;SG	N
fiu	trai	fiu	trai	N;INDF;MASC;SG	N
fiu	nhi	fiu	nhi	N;INDF;MASC;SG	N
fiu	son	fiu	son	N;INDF;MASC;SG	N
cetatea	citadel	cetate	citadel	N;DEF;FEM;SG	N
premii	premier	premiu	premier	N;INDF;FEM;PL	N
puncte	điểm	punct	điểm	N;INDF;FEM;PL	N
printul	hoàng	print	hoàng	N;DEF;MASC;SG	N
printul	prince	print	prince	N;DEF;MASC;SG	N
