die	el	die	el	DET;DEF	DET;DEF;MASC;SG
lewe	vida	lewe	vida	N;SG	N;FEM;SG
lewe	life	lewe	life	N;SG	N
vier	festejando	vier	festejar	V;PRS	V;V.MSDR
vier	celebrando	vier	celebrar	V;PRS	V;V.MSDR
vier	celebrar	vier	celebrar	V;PRS	V;NFIN
vier	celebra	vier	celebrar	V;PRS	V;IND;SG;3;PRS;FIN
vier	celebran	vier	celebrar	V;PRS	V;IND;PL;3;PRS;FIN
vier	celebre	vier	celebrar	V;PRS	V;SBJV;SG;3;PRS;FIN
franse	francesa	frans	francés	ADJ;NOM	ADJ;FEM;SG
dood	fallecimiento	dood	fallecimiento	N;SG	N;MASC;SG
dood	death	dood	death	N;SG	N
dood	muerte	dood	muerte	N;SG	N;FEM;SG
dood	defunción	dood	defunción	N;SG	N;FEM;SG
dood	dead	dood	dead	N;SG	N
amptelike	oficial	amptelik	oficial	ADJ;NOM	ADJ;SG
dieselfde	mismo	dieselfde	mismo	ADJ;NOM	ADJ;MASC;SG
wêreld	mundo	wêreld	mundo	N;SG	N;MASC;SG
wêreld	world	wêreld	world	N;SG	N
volgende	proxima	volg	proximar	N;SG	N;FEM;SG
volgende	next	volg	next	N;SG	N
aantal	cantidad	aantal	cantidad	N;SG	N;FEM;SG
plaaslike	local	plaaslik	local	ADJ;NOM	ADJ;SG
plaaslike	locales	plaaslik	local	ADJ;NOM	ADJ;PL
dikwels	frecuentemente	dikwels	frecuentemente	ADV	ADV
internasionale	internacional	internasionaal	internacional	ADJ;NOM	ADJ;SG
internasionale	international	internasionaal	international	ADJ;NOM	ADJ;SG
internasionale	internacionales	internasionaal	internacional	ADJ;NOM	ADJ;PL
eie	propio	eie	propio	ADJ;NOM	ADJ;MASC;SG
eie	propios	eie	propio	ADJ;NOM	ADJ;MASC;PL
eie	propias	eie	propio	ADJ;NOM	ADJ;FEM;PL
eie	propia	eie	propio	ADJ;NOM	ADJ;FEM;SG
voëls	pajaritos	voël	pajarito	N;PL	N;MASC;PL
voëls	aves	voël	ave	N;PL	N;FEM;PL
voëls	pájaros	voël	pájaro	N;PL	N;MASC;PL
steeds	todavía	steeds	todavía	ADV	ADV
steeds	aún	steeds	aún	ADV	ADV
groep	grupo	groep	grupo	N;SG	N;MASC;SG
groep	group	groep	group	N;SG	N
sluit	renunciar	sluit	renunciar	V;PRS	V;NFIN
sluit	cierra	sluit	cerrar	V;PRS	V;IND;SG;3;PRS;FIN
sluit	cerrar	sluit	cerrar	V;PRS	V;NFIN
hoofstad	capital	hoofstad	capital	N;SG	N;FEM;SG
verwys	refiere	verwys	referir	V;PRS	V;IND;SG;3;PRS;FIN
verwys	remite	verwys	remitir	V;PRS	V;IND;SG;3;PRS;FIN
verwys	referir	verwys	referir	V;PRS	V;NFIN
state	estados	staat	estado	N;PL	N;MASC;PL
water	agua	water	agua	N;SG	N;FEM;SG
water	espátula	water	espátula	N;SG	N;FEM;SG
einde	end	einde	end	N;SG	N
einde	fin	einde	fin	N;SG	N;MASC;SG
einde	final	einde	final	N;SG	N;MASC;SG
duitsland	alemania	duitsland	alemania	N;SG	N;FEM;SG
regering	gobierno	regering	gobierno	N;SG	N;MASC;SG
dae	días	dag	día	N;PL	N;MASC;PL
dae	jornadas	dag	jornada	N;PL	N;FEM;PL
dae	dias	dag	dia	N;PL	N;MASC;PL
dae	days	dag	day	N;PL	N
wanneer	cuándo	wanneer	cuándo	PRO	PRO
oorlog	guerra	oorlog	guerra	N;SG	N;FEM;SG
oorlog	war	oorlog	war	N;SG	N;SG
politieke	político	politiek	político	ADJ;NOM	ADJ;MASC;SG
besluit	decide	besluit	decidir	V;PRS	V;IND;SG;3;PRS;FIN
besluit	decidir	besluit	decidir	V;PRS	V;NFIN
besluit	decida	besluit	decidir	V;PRS	V;SBJV;SG;3;PRS;FIN
besluit	decidan	besluit	decidir	V;PRS	V;IMP;PL;3;FIN
besluit	decide	besluit	decidir	V;PRS	V;IND;SG;3;PRS;FIN
besluit	deciden	besluit	decidir	V;PRS	V;IND;PL;3;PRS;FIN
geskiedenis	historia	geskiedenis	historia	N;SG	N;FEM;SG
geskiedenis	historial	geskiedenis	historial	N;SG	N;MASC;SG
vis	pescado	vis	pescado	N;SG	N;MASC;SG
vis	pesca	vis	pesca	N;SG	N;FEM;SG
vis	pez	vis	pez	N;SG	N;MASC;SG
plaas	publicar	plaas	publicar	V;PRS	V;NFIN
wetenskaplike	científico	wetenskaplik	científico	ADJ;NOM	ADJ;MASC;SG
wetenskaplike	científica	wetenskaplik	científico	ADJ;NOM	ADJ;FEM;SG
wetenskaplike	científicas	wetenskaplik	científico	ADJ;NOM	ADJ;FEM;PL
wetenskaplike	científico	wetenskaplik	científico	ADJ;NOM	ADJ;MASC;SG
wetenskaplike	científica	wetenskaplik	científico	ADJ;NOM	ADJ;FEM;SG
ontwikkel	desarrolle	ontwikkel	desarrollar	V;PRS	V;SBJV;SG;3;PRS;FIN
ontwikkel	desarrollarse	ontwikkel	desarrollar	V;PRS	V;SBJV;SG;3;PRS;FIN
ontwikkel	desarrollar	ontwikkel	desarrollar	V;PRS	V;NFIN
ontwikkel	desarrolla	ontwikkel	desarrollar	V;PRS	V;IND;SG;3;PRS;FIN
lande	paises	land	pais	N;PL	N;MASC;PL
lande	países	land	país	N;PL	N;MASC;PL
seun	muchacho	seun	muchacho	N;SG	N;MASC;SG
seun	boy	seun	boy	N;SG	N
seun	niño	seun	niño	N;SG	N;MASC;SG
seun	chico	seun	chico	N;SG	N;MASC;SG
seun	hijo	seun	hijo	N;SG	N;MASC;SG
verskillende	distinta	verskil	distinto	ADJ;NOM	ADJ;FEM;SG
verskillende	diferente	verskil	diferente	ADJ;NOM	ADJ;SG
verskillende	distinto	verskil	distinto	ADJ;NOM	ADJ;MASC;SG
verskillende	diferentes	verskil	diferente	ADJ;NOM	ADJ;PL
belangrike	importante	belangrik	importante	ADJ;NOM	ADJ;SG
belangrike	importantes	belangrik	importante	ADJ;NOM	ADJ;PL
kinders	ninos	kind	nino	N;PL	N;MASC;PL
kinders	niños	kind	niño	N;PL	N;MASC;PL
kinders	kids	kind	kids	N;PL	N
kinders	ninos	kind	nino	N;PL	N;MASC;PL
kinders	niños	kind	niño	N;PL	N;MASC;PL
gedurende	durante	gedurende	durante	ADP	ADP
neem	tomar	neem	tomar	V;PRS	V;NFIN
neem	toma	neem	tomar	V;PRS	V;IND;SG;3;PRS;FIN
neem	tome	neem	tomar	V;PRS	V;IMP;SG;3;FIN
vertaal	traducir	vertaal	traducir	V;PRS	V;NFIN
vertaal	traduzca	vertaal	traducir	V;PRS	V;SBJV;SG;3;PRS;FIN
vertaal	traduce	vertaal	traducir	V;PRS	V;IND;SG;3;PRS;FIN
munisipaliteit	borough	munisipaliteit	borough	N;SG	N;MASC;SG
munisipaliteit	municipalidad	munisipaliteit	municipalidad	N;SG	N;FEM;SG
munisipaliteit	municipio	munisipaliteit	municipio	N;SG	N;MASC;SG
tans	ahora	tans	ahora	ADV	ADV
tans	actualmente	tans	actualmente	ADV	ADV
republiek	republic	republiek	republic	N;SG	N
republiek	republica	republiek	republica	N;SG	N;FEM;SG
republiek	república	republiek	república	N;SG	N;FEM;SG
plek	lugar	plek	lugar	N;SG	N;MASC;SG
plek	lugar	plek	lugar	N;SG	N;MASC;SG
plek	place	plek	place	N;SG	N
ongeveer	aproximadamente	ongeveer	aproximadamente	ADV	ADV
europese	europeo	europees	europeo	ADJ;NOM	ADJ;MASC;SG
europese	europea	europees	europeo	ADJ;NOM	ADJ;FEM;SG
europese	europeas	europees	europeo	ADJ;NOM	ADJ;FEM;PL
selfs	incluso	selfs	incluso	ADV	ADV
selfs	aun	selfs	aun	ADV	ADV
enige	cualquiera	enig	cualquiera	PRO	PRO;SG
tydperk	duración	tydperk	duración	N;SG	N;FEM;SG
maande	meses	maand	mes	N;PL	N;MASC;PL
skool	colegio	skool	colegio	N;SG	N;MASC;SG
skool	escuela	skool	escuela	N;SG	N;FEM;SG
per	per	per	per	ADP	ADP
vroeë	primeros	vroeg	primero	ADJ;NOM	ADJ;MASC;PL
familie	famila	familie	famila	N;SG	N;FEM;SG
familie	familia	familie	familia	N;SG	N;FEM;SG
voorkom	previene	voorkom	prevenir	V;PRS	V;IND;SG;3;PRS;FIN
voorkom	prevenir	voorkom	prevenir	V;PRS	V;NFIN
voorkom	impedir	voorkom	impedir	V;PRS	V;NFIN
hoe	cómo	hoe	cómo	PRO	PRO
eiland	isla	eiland	isla	N;SG	N;FEM;SG
volg	sigue	volg	seguir	V;PRS	V;IND;SG;3;PRS;FIN
volg	siga	volg	seguir	V;PRS	V;SBJV;SG;3;PRS;FIN
volg	seguir	volg	seguir	V;PRS	V;NFIN
volg	sigan	volg	seguir	V;PRS	V;SBJV;PL;3;PRS;FIN
volg	siguiendo	volg	seguir	V;PRS	V;V.MSDR
vyf	cinco	vyf	cinco	NUM	NUM;PL
sonder	sin	sonder	sin	ADP	ADP
aarde	earth	aarde	earth	N;SG	N
aarde	tierra	aarde	tierra	N;SG	N;FEM;SG
gee	dar	gee	dar	V;PRS	V;NFIN
kry	conseguir	kry	conseguir	V;PRS	V;NFIN
kry	consigue	kry	conseguir	V;PRS	V;IND;SG;3;PRS;FIN
kry	obtener	kry	obtener	V;PRS	V;NFIN
kry	obtenga	kry	obtener	V;PRS	V;SBJV;SG;3;PRS;FIN
rol	rol	rol	rol	N;SG	N;MASC;SG
rol	rollo	rol	rollo	N;SG	N;MASC;SG
rol	roll	rol	roll	N;SG	N;MASC;SG
vrou	mujer	vrou	mujer	N;SG	N;FEM;SG
vrou	esposa	vrou	esposa	N;SG	N;FEM;SG
vrou	mujer	vrou	mujer	N;SG	N;FEM;SG
gebiede	territorios	gebied	territorio	N;PL	N;MASC;PL
gebiede	áreas	gebied	área	N;PL	N;FEM;PL
gebiede	zonas	gebied	zona	N;PL	N;FEM;PL
gebiede	areas	gebied	area	N;PL	N;FEM;PL
derde	tercera	derde	tercero	ADJ;NOM	ADJ;FEM;SG
derde	tercer	derde	tercero	ADJ;NOM	ADJ;MASC;SG
derde	tercero	derde	tercero	ADJ;NOM	ADJ;MASC;SG
dag	día	dag	día	N;SG	N;MASC;SG
dag	dia	dag	diar	N;SG	N;MASC;SG
woord	word	woord	word	N;SG	N
woord	palabra	woord	palabra	N;SG	N;FEM;SG
president	president	president	president	N;SG	N;MASC;SG
president	presidenta	president	presidenta	N;SG	N;FEM;SG
president	presidente	president	presidente	N;SG	N;MASC;SG
koninkryk	reino	koninkryk	reino	N;SG	N;MASC;SG
koninkryk	kingdom	koninkryk	kingdom	N;SG	N;MASC;SG
tale	idiomas	taal	idioma	N;PL	N;MASC;PL
tale	lenguas	taal	lengua	N;PL	N;FEM;PL
ontvang	recibir	ontvang	recibir	V;PRS	V;NFIN
ontvang	reciba	ontvang	recibir	V;PRS	V;SBJV;SG;3;PRS;FIN
ontvang	reciban	ontvang	recibir	V;PRS	V;IMP;PL;3;FIN
ontvang	recibe	ontvang	recibir	V;PRS	V;IND;SG;3;PRS;FIN
ontvang	recibir	ontvang	recibir	V;PRS	V;NFIN
ontvang	recibiendo	ontvang	recibir	V;PRS	V;V.MSDR
amerika	america	amerika	america	N;SG	N;FEM;SG
amerika	américa	amerika	américa	N;SG	N;FEM;SG
hoewel	aunque	hoewel	aunque	CONJ	CONJ
webwerf	website	webwerf	website	N;SG	N;MASC;SG
webwerf	web	webwerf	web	N;SG	N;FEM;SG
webwerf	sitio	webwerf	sitio	N;SG	N;MASC;SG
staat	state	staat	state	N;SG	N
staat	estado	staat	estado	N;SG	N;MASC;SG
staat	hoja	staat	hoja	N;SG	N;FEM;SG
staat	chapa	staat	chapa	N;SG	N;FEM;SG
staat	sábana	staat	sábana	N;SG	N;FEM;SG
vandag	hoy	vandag	hoy	ADV	ADV
ekonomiese	económicas	ekonomies	económico	ADJ;NOM	ADJ;FEM;PL
ekonomiese	económicos	ekonomies	económico	ADJ;NOM	ADJ;MASC;PL
ekonomiese	económico	ekonomies	económico	ADJ;NOM	ADJ;MASC;SG
ekonomiese	economico	ekonomies	economico	ADJ;NOM	ADJ;MASC;SG
ekonomiese	económica	ekonomies	económico	ADJ;NOM	ADJ;FEM;SG
aanvaar	aceptan	aanvaar	aceptar	V;PRS	V;IND;PL;3;PRS;FIN
aanvaar	aceptamos	aanvaar	aceptar	V;PRS	V;IND;PL;1;PRS;FIN
aanvaar	acepto	aanvaar	acepto	V;PRS	V;IND;SG;1;PRS;FIN
aanvaar	aceptar	aanvaar	aceptar	V;PRS	V;NFIN
aanvaar	acepta	aanvaar	aceptar	V;PRS	V;IND;SG;3;PRS;FIN
hou	aguanta	hou	aguantar	V;PRS	V;IND;SG;3;PRS;FIN
hou	sostenga	hou	sostener	V;PRS	V;IMP;SG;3;FIN
hou	mantener	hou	mantener	V;PRS	V;NFIN
hou	conservar	hou	conservar	V;PRS	V;NFIN
hele	enteras	heel	entero	ADJ;NOM	ADJ;FEM;PL
hele	enteros	heel	entero	ADJ;NOM	ADJ;MASC;PL
hele	entero	heel	entero	ADJ;NOM	ADJ;MASC;SG
hele	entera	heel	entero	ADJ;NOM	ADJ;FEM;SG
hele	enteras	heel	entero	ADJ;NOM	ADJ;FEM;PL
hele	enteros	heel	entero	ADJ;NOM	ADJ;MASC;PL
hele	entero	heel	entero	ADJ;NOM	ADJ;MASC;SG
bevat	contiene	bevat	contener	V;PRS	V;IND;SG;3;PRS;FIN
bevat	contenga	bevat	contener	V;PRS	V;SBJV;SG;3;PRS;FIN
skrywer	escritora	skrywer	escritora	N;SG	N;FEM;SG
skrywer	escritor	skrywer	escritor	N;SG	N;MASC;SG
skrywer	writer	skrywer	writer	N;SG	N;MASC;SG
skrywer	autor	skrywer	autor	N;SG	N;MASC;SG
skrywer	autora	skrywer	autora	N;SG	N;FEM;SG
verander	anular	verander	anular	V;PRS	V;NFIN
verander	cancelar	verander	cancelar	V;PRS	V;NFIN
verander	cambia	verander	cambiar	V;PRS	V;IND;SG;3;PRS;FIN
verander	modificar	verander	modificar	V;PRS	V;NFIN
verander	modifique	verander	modificar	V;PRS	V;IMP;SG;3;FIN
verander	modifica	verander	modificar	V;PRS	V;IND;SG;3;PRS;FIN
verander	cambiar	verander	cambiar	V;PRS	V;NFIN
verander	cambia	verander	cambiar	V;PRS	V;IND;SG;3;PRS;FIN
russiese	rusas	russies	ruso	ADJ;NOM	ADJ;FEM;PL
russiese	rusa	russies	ruso	ADJ;NOM	ADJ;FEM;SG
russiese	ruso	russies	ruso	ADJ;NOM	ADJ;MASC;SG
inwoners	residentes	inwoner	residente	N;PL	N;PL
inwoners	habitantes	inwoner	habitante	N;PL	N;PL
beteken	significa	beteken	significar	V;PRS	V;IND;SG;3;PRS;FIN
man	marido	man	marido	N;SG	N;MASC;SG
man	esposo	man	esposo	N;SG	N;MASC;SG
man	man	man	man	N;SG	N
man	hombre	man	hombre	N;SG	N;MASC;SG
huis	hogar	huis	hogar	N;SG	N;MASC;SG
huis	casa	huis	casa	N;SG	N;FEM;SG
huis	inicio	huis	inicio	N;SG	N;MASC;SG
huis	house	huis	house	N;SG	N;MASC;SG
huis	casita	huis	casita	N;SG	N;FEM;SG
huis	casa	huis	casa	N;SG	N;FEM;SG
besoek	visite	besoek	visitar	V;PRS	V;IMP;SG;3;FIN
besoek	visitar	besoek	visitar	V;PRS	V;NFIN
administratiewe	administrativa	administratief	administrativo	ADJ;NOM	ADJ;FEM;SG
administratiewe	administrativos	administratief	administrativo	ADJ;NOM	ADJ;MASC;PL
administratiewe	administrativas	administratief	administrativo	ADJ;NOM	ADJ;FEM;PL
administratiewe	administrativo	administratief	administrativo	ADJ;NOM	ADJ;MASC;SG
bekende	famosa	bekend	famoso	ADJ;NOM	ADJ;FEM;SG
bekende	famosas	bekend	famoso	ADJ;NOM	ADJ;FEM;PL
bekende	famosos	bekend	famoso	ADJ;NOM	ADJ;MASC;PL
bekende	famoso	bekend	famoso	ADJ;NOM	ADJ;MASC;SG
gespeel	jugaron	speel	jugar	V;PST;V.PTCP	V;IND;PL;3;PST;FIN
gespeel	jugó	speel	jugar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
kerke	iglesias	kerk	iglesia	N;PL	N;FEM;PL
skryf	escribe	skryf	escribir	V;PRS	V;IND;SG;3;PRS;FIN
skryf	escribo	skryf	escribir	V;PRS	V;IND;SG;1;PRS;FIN
skryf	escribir	skryf	escribir	V;PRS	V;NFIN
skryf	escriba	skryf	escribir	V;PRS	V;IMP;SG;3;FIN
skryf	arde	skryf	arder	V;PRS	V;IND;SG;3;PRS;FIN
skryf	quema	skryf	quema	V;PRS	V;IND;SG;3;PRS;FIN
skryf	quemar	skryf	quemar	V;PRS	V;NFIN
wie	quiénes	wie	quién	PRO	PRO;PL
wie	quién	wie	quién	PRO	PRO;SG
visse	peces	visse	pez	N;PL	N;MASC;PL
visse	pescados	visse	pescado	N;PL	N;MASC;PL
visse	piscis	visse	piscis	N;PL	N
suidelike	sureña	suidelik	sureño	ADJ;NOM	ADJ;FEM;SG
suidelike	meridional	suidelik	meridional	ADJ;NOM	ADJ;SG
suidelike	sureño	suidelik	sureño	ADJ;NOM	ADJ;MASC;SG
romeinse	roman	romeins	romar	N;SG	N
romeinse	román	romeins	román	N;SG	N;MASC;SG
alhoewel	aunque	alhoewel	aunque	CONJ	CONJ
gekom	viajó	kom	viajar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
verskyn	aparecer	verskyn	aparecer	V;PRS	V;NFIN
verskyn	aparecen	verskyn	aparecer	V;PRS	V;IND;PL;3;PRS;FIN
reeks	serie	reeks	serie	N;SG	N;FEM;SG
hoofsaaklik	principalmente	hoofsaaklik	principalmente	ADV	ADV
hoofsaaklik	primordialmente	hoofsaaklik	primordialmente	ADV	ADV
eilande	islas	eilande	isla	N;PL	N;FEM;PL
speel	juegue	speel	jugar	V;PRS	V;IMP;SG;3;FIN
speel	juega	speel	jugar	V;PRS	V;IND;SG;3;PRS;FIN
speel	jugar	speel	jugar	V;PRS	V;NFIN
speel	reproducir	speel	reproducir	V;PRS	V;NFIN
speel	jugando	speel	jugar	V;PRS	V;V.MSDR
speel	tocando	speel	tocar	V;PRS	V;V.MSDR
speel	jugar	speel	jugar	V;PRS	V;NFIN
wel	bien	wel	bien	ADV	ADV
bou	construya	bou	construir	V;PRS	V;IMP;SG;3;FIN
bou	construir	bou	construir	V;PRS	V;NFIN
bou	construye	bou	construir	V;PRS	V;IND;SG;3;PRS;FIN
gelei	llevó	lei	llevar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
stigting	formación	stigting	formación	N;SG	N;FEM;SG
gegee	dado	gee	dar	V;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
beskryf	describe	beskryf	describir	V;PRS	V;IND;SG;3;PRS;FIN
beskryf	describir	beskryf	describir	V;PRS	V;NFIN
beskryf	describa	beskryf	describir	V;PRS	V;IMP;SG;3;FIN
streek	region	streek	region	N;SG	N;FEM;SG
streek	comarca	streek	comarca	N;SG	N;FEM;SG
streek	región	streek	región	N;SG	N;FEM;SG
rivier	rio	rivier	rio	N;SG	N;MASC;SG
rivier	río	rivier	río	N;SG	N;MASC;SG
jan	ene	jan	ene		
ses	seis	ses	seis	NUM	NUM;PL
grond	tierra	grond	tierra	N;SG	N;FEM;SG
grond	suelo	grond	suelo	N;SG	N;MASC;SG
grond	land	grond	land	N;SG	N
grond	terreno	grond	terreno	N;SG	N;MASC;SG
grond	tierra	grond	tierra	N;SG	N;FEM;SG
grond	terreno	grond	terreno	N;SG	N;MASC;SG
