per	para	per	para	ADP	ADP
film	pelicula	film	pelicula	N;MASC	N;FEM;SG
film	cine	film	cine	N;MASC	N;MASC;SG
film	movie	film	movie	N;MASC	N;SG
film	película	film	película	N;MASC	N;FEM;SG
città	pueblo	città	pueblo	N;FEM	N;MASC;SG
città	ciudad	città	ciudad	N;FEM	N;FEM;SG
città	ciudad	città	ciudad	N;FEM	N;FEM;SG
città	ciudades	città	ciudad	N;FEM	N;FEM;PL
solo	solo	solo	solo	ADV	ADV
solo	únicamente	solo	únicamente	ADV	ADV
solo	solo	solo	solo	ADV	ADV
solo	sólo	solo	sólo	ADV	ADV
solo	solamente	solo	solamente	ADV	ADV
solo	solo	solo	solo	ADV	ADV
solo	simplemente	solo	simplemente	ADV	ADV
solo	sólo	solo	sólo	ADV	ADV
uno	uno	uno	uno	PRO;MASC;SG	PRO;MASC;SG
loro	ellas	loro	él	PRO;PL;3	PRO;FEM;PL;3
loro	ellos	loro	él	PRO;PL;3	PRO;MASC;PL;3
loro	ellos	loro	él	PRO;PL;3	PRO;MASC;PL;3
loro	ellas	loro	él	PRO;PL;3	PRO;FEM;PL;3
primo	primera	primo	primero	ADJ;MASC;SG	ADJ;FEM;SG
primo	primer	primo	primero	ADJ;MASC;SG	ADJ;MASC;SG
nome	nombre	nome	nombre	N;MASC;SG	N;MASC;SG
nome	name	nome	name	N;MASC;SG	N
nome	denominación	nome	denominación	N;MASC;SG	N;FEM;SG
poi	luego	poi	luego	ADV	ADV
poi	entonces	poi	entonces	ADV	ADV
secondo	segunda	secondo	segundo	ADJ;MASC;SG	ADJ;FEM;SG
secondo	segundo	secondo	segundo	ADJ;MASC;SG	ADJ;MASC;SG
msg	msg	msg	msg	N;MASC;SG	N;MASC
voce	voice	voce	voice	N;FEM;SG	N
voce	voz	voce	voz	N;FEM;SG	N;FEM;SG
progetti	proyectos	progetto	proyecto	N;MASC;PL	N;MASC;PL
progetti	projects	progetto	project	N;MASC;PL	N
anno	anno	anno	anno	N;MASC;SG	N
anno	año	anno	año	N;MASC;SG	N;MASC;SG
durante	durante	durante	durante	ADP	ADP
mentre	mientras	mentre	mientras	CONJ	CONJ
voci	entradas	voce	entrada	N;FEM;PL	N;FEM;PL
voci	rumores	voce	rumor	N;FEM;PL	N;MASC;PL
voci	voces	voce	voz	N;FEM;PL	N;FEM;PL
voci	voices	voce	voice	N;FEM;PL	N
tre	tres	tre	tres	NUM	NUM;PL
molto	muy	molto	mucho	ADV	ADV
molto	mucho	molto	mucho	ADV	ADV
hanno	tener	avere	tener	V;IND;PL;3;PRS;FIN	V;NFIN
hanno	tienen	avere	tener	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
comune	frecuente	comune	frecuente	ADJ;SG	ADJ;SG
comune	común	comune	común	ADJ;SG	ADJ;SG
stesso	mismo	stesso	mismo	ADJ;MASC;SG	ADJ;MASC;SG
tutti	todos	tutto	todo	PRO;MASC;PL	PRO;MASC;PL
tutti	todas	tutto	todo	PRO;MASC;PL	PRO;FEM;PL
tutti	todos	tutto	todo	PRO;MASC;PL	PRO;MASC;PL
tutti	todos	tutto	todo	PRO;MASC;PL	PRO;MASC;PL
stagione	temporada	stagione	temporada	N;FEM;SG	N;FEM;SG
gruppo	grupo	gruppo	grupo	N;MASC;SG	N;MASC;SG
gruppo	group	gruppo	group	N;MASC;SG	N
contro	contra	contro	contra	ADP	ADP
calciatore	futbolista	calciatore	futbolista	N;MASC;SG	N;SG
roma	roma	roma	roma	N;FEM;SG	N;SG
tempo	hora	tempo	hora	N;MASC;SG	N;FEM;SG
tempo	tiempo	tempo	tiempo	N;MASC;SG	N;MASC;SG
tempo	time	tempo	time	N;MASC;SG	N
abitanti	habitantes	abitante	habitante	N;PL	N;PL
chiesa	iglesia	chiesa	iglesia	N;FEM;SG	N;FEM;SG
grande	grande	grande	grande	ADJ;SG	ADJ;SG
grande	grande	grande	grande	ADJ;SG	ADJ;SG
grande	gran	grande	gran	ADJ;SG	ADJ;SG
grande	grandioso	grande	grandioso	ADJ;SG	ADJ;MASC;SG
grande	genial	grande	genial	ADJ;SG	ADJ;SG
grande	estupendo	grande	estupendo	ADJ;SG	ADJ;MASC;SG
grande	gran	grande	gran	ADJ;SG	ADJ;SG
grande	grande	grande	grande	ADJ;SG	ADJ;SG
secolo	siglo	secolo	siglo	N;MASC;SG	N;MASC;SG
guerra	guerra	guerra	guerra	N;FEM;SG	N;FEM;SG
guerra	war	guerra	war	N;FEM;SG	N;SG
guerra	guerra	guerra	guerra	N;FEM;SG	N;FEM;SG
sempre	siempre	sempre	siempre	ADV	ADV
volta	volta	volta	volta	N;FEM;SG	N;FEM;SG
erano	eran	essere	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
storia	historia	storia	historia	N;FEM;SG	N;FEM;SG
storia	story	storia	story	N;FEM;SG	N
storia	historia	storia	historia	N;FEM;SG	N;FEM;SG
storia	historial	storia	historial	N;FEM;SG	N;MASC;SG
fine	end	fine	end	N;FEM;SG	N
fine	fin	fine	fin	N;FEM;SG	N;MASC;SG
fine	final	fine	final	N;FEM;SG	N;MASC;SG
aveva	tenía	avere	tener	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
album	álbum	album	álbum	N;MASC	N;MASC;SG
album	album	album	album	N;MASC	N;MASC;SG
album	disco	album	disco	N;MASC	N;MASC;SG
album	álbumes	album	álbum	N;MASC	N;MASC;PL
già	ya	già	ya	ADV	ADV
alcuni	algunas	alcuno	alguno	PRO;MASC;PL	PRO;FEM;PL
alcuni	algunos	alcuno	alguno	PRO;MASC;PL	PRO;MASC;PL
ancora	nuevamente	ancora	nuevamente	ADV	ADV
ancora	todavía	ancora	todavía	ADV	ADV
ancora	aún	ancora	aún	ADV	ADV
senza	sin	senza	sin	ADP	ADP
francese	francesa	francese	francés	ADJ;SG	ADJ;FEM;SG
seconda	segunda	secondo	segundo	ADJ;FEM;SG	ADJ;FEM;SG
seconda	segundo	secondo	segundo	ADJ;FEM;SG	ADJ;MASC;SG
finale	definitivo	finale	definitivo	ADJ;SG	ADJ;MASC;SG
vita	vida	vita	vida	N;FEM;SG	N;FEM;SG
vita	life	vita	life	N;FEM;SG	N
vita	vita	vita	vita	N;FEM;SG	N;FEM;SG
vita	cintura	vita	cintura	N;FEM;SG	N;FEM;SG
titolo	titulo	titolo	titulo	N;MASC;SG	N;MASC;SG
titolo	título	titolo	título	N;MASC;SG	N;MASC;SG
shift	turno	shift	turno	N	N;MASC;SG
campionato	campeonato	campionato	campeonato	N;MASC;SG	N;MASC;SG
campionato	championship	campionato	championship	N;MASC;SG	N;MASC;SG
ogni	cada	ogni	cada	DET;SG	DET;SG
ogni	cada	ogni	cada	DET;SG	DET;SG
mondo	mondo	mondo	mondo	N;MASC;SG	N
mondo	mundo	mondo	mundo	N;MASC;SG	N;MASC;SG
mondo	world	mondo	world	N;MASC;SG	N
tutto	todo	tutto	todo	PRO;MASC;SG	PRO;MASC;SG
tutto	todo	tutto	todo	PRO;MASC;SG	PRO;MASC;SG
settembre	setiembre	settembre	setiembre	N;MASC;SG	N
settembre	septiembre	settembre	septiembre	N;MASC;SG	N
nazionale	national	nazionale	national	ADJ;SG	ADJ;SG
nazionale	nacional	nazionale	nacional	ADJ;SG	ADJ;SG
italiana	italiana	italiano	italiano	ADJ;FEM;SG	ADJ;FEM;SG
circa	acerca	circa	acerca	ADV	ADV
altro	otro	altro	otro	PRO;MASC;SG	PRO;MASC;SG
sotto	bajo	sotto	bajo	ADP	ADP
wikipedia	wikipedia	wikipedia	wikipedia	N;FEM;SG	N;FEM;SG
calcio	soccer	calcio	soccer	N;MASC;SG	N;SG
calcio	fútbol	calcio	fútbol	N;MASC;SG	N;MASC;SG
calcio	futbol	calcio	futbol	N;MASC;SG	N;MASC;SG
calcio	fútbol	calcio	fútbol	N;MASC;SG	N;MASC;SG
calcio	futbol	calcio	futbol	N;MASC;SG	N;MASC;SG
calcio	calcio	calcio	calcio	N;MASC;SG	N;MASC;SG
famiglia	famila	famiglia	famila	N;FEM;SG	N;FEM;SG
famiglia	familia	famiglia	familia	N;FEM;SG	N;FEM;SG
inoltre	igualmente	inoltre	igualmente	ADV	ADV
inoltre	además	inoltre	además	ADV	ADV
inoltre	también	inoltre	también	ADV	ADV
numero	número	numero	número	N;MASC;SG	N;MASC;SG
numero	numero	numero	numero	N;MASC;SG	N;MASC;SG
via	lejos	via	lejos	ADV	ADV
posto	lugar	posto	lugar	N;MASC;SG	N;MASC;SG
posto	place	posto	place	N;MASC;SG	N
ottobre	octubre	ottobre	octubre	N;MASC;SG	N
maggio	mayo	maggio	mayo	N;MASC;SG	N
ruolo	rol	ruolo	rol	N;MASC;SG	N;MASC;SG
gennaio	enero	gennaio	enero	N;MASC;SG	N
modo	manera	modo	manera	N;MASC;SG	N;FEM;SG
modo	camino	modo	camino	N;MASC;SG	N;MASC;SG
modo	way	modo	way	N;MASC;SG	N
nuovo	nuevo	nuovo	nuevo	ADJ;MASC;SG	ADJ;MASC;SG
nuovo	nueva	nuovo	nuevo	ADJ;MASC;SG	ADJ;FEM;SG
casa	house	casa	house	N;FEM;SG	N;MASC;SG
casa	casita	casa	casita	N;FEM;SG	N;FEM;SG
casa	casa	casa	casa	N;FEM;SG	N;FEM;SG
casa	hogar	casa	hogar	N;FEM;SG	N;MASC;SG
casa	casa	casa	casa	N;FEM;SG	N;FEM;SG
casa	inicio	casa	inicio	N;FEM;SG	N;MASC;SG
marzo	marcha	marzo	marcha	N;MASC;SG	N;FEM;SG
marzo	marzo	marzo	marzo	N;MASC;SG	N
squadra	pelotón	squadra	pelotón	N;FEM;SG	N;MASC;SG
squadra	squad	squadra	squad	N;FEM;SG	N
squadra	escuadra	squadra	escuadra	N;FEM;SG	N;FEM;SG
squadra	escuadrón	squadra	escuadrón	N;FEM;SG	N;MASC;SG
squadra	equipo	squadra	equipo	N;FEM;SG	N;MASC;SG
squadra	team	squadra	team	N;FEM;SG	N
dicembre	diciembre	dicembre	diciembre	N;MASC;SG	N
caso	case	caso	case	N;MASC;SG	N
caso	caso	caso	caso	N;MASC;SG	N;MASC;SG
caso	estuche	caso	estuche	N;MASC;SG	N;MASC;SG
giugno	junio	giugno	junio	N;MASC;SG	N
questi	éstas	questo	este	PRO;MASC;PL	PRO;FEM;PL
questi	estos	questo	este	PRO;MASC;PL	PRO;MASC;PL
questi	estas	questo	este	PRO;MASC;PL	PRO;FEM;PL
questi	éstos	questo	este	PRO;MASC;PL	PRO;MASC;PL
agosto	agosto	agosto	agosto	N;MASC;SG	N
agosto	agosto	agosto	agosto	N;MASC;SG	N
luglio	julio	luglio	julio	N;MASC;SG	N
politico	político	politico	político	ADJ;MASC;SG	ADJ;MASC;SG
politico	politico	politico	politico	ADJ;MASC;SG	ADJ;MASC;SG
politico	político	politico	político	ADJ;MASC;SG	ADJ;MASC;SG
opera	ópera	opera	ópera	N;FEM;SG	N;FEM;SG
opera	opus	opera	opus	N;FEM;SG	N;MASC;SG
fra	entre	fra	entre	ADP	ADP
aprile	abril	aprile	abril	N;MASC;SG	N
pagina	pagina	pagina	pagina	N;FEM;SG	N;FEM;SG
pagina	página	pagina	página	N;FEM;SG	N;FEM;SG
pagina	page	pagina	pager	N;FEM;SG	N
periodo	periodo	periodo	periodo	N;MASC;SG	N;MASC;SG
periodo	período	periodo	período	N;MASC;SG	N;MASC;SG
novembre	noviembre	novembre	noviembre	N;MASC;SG	N
giovanni	giovanni	giovanne	giovanni	N;MASC;SG	N;MASC;SG
grazie	gracias	grazie	gracias	N	N
lui	él	lui	él	PRO;MASC;SG;3	PRO;MASC;SG;3
morte	fallecimiento	morte	fallecimiento	N;FEM;SG	N;MASC;SG
morte	death	morte	death	N;FEM;SG	N
morte	muerte	morte	muerte	N;FEM;SG	N;FEM;SG
morte	defunción	morte	defunción	N;FEM;SG	N;FEM;SG
maria	maría	maria	maría	N;FEM;SG	N;FEM;SG
maria	marie	maria	marie	N;FEM;SG	N;FEM;SG
maria	maría	maria	maría	N;FEM;SG	N;FEM;SG
maria	mary	maria	mary	N;FEM;SG	N;FEM;SG
maria	maría	maria	maría	N;FEM;SG	N;FEM;SG
nuova	nuevo	nuovo	nuevo	ADJ;FEM;SG	ADJ;MASC;SG
nuova	nueva	nuovo	nuevo	ADJ;FEM;SG	ADJ;FEM;SG
febbraio	febrero	febbraio	febrero	N;MASC;SG	N
centro	centro	centro	centro	N;MASC;SG	N;MASC;SG
centro	center	centro	center	N;MASC;SG	N;MASC;SG
centro	centro	centro	centro	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
inglese	inglés	inglese	inglés	N;SG	N;MASC;SG
inglese	espanol	inglese	espanol	N;SG	N;MASC;SG
quattro	cuatro	quattro	cuatro	NUM	NUM;PL
interno	interno	interno	interno	ADJ;MASC;SG	ADJ;MASC;SG
interno	interna	interno	interno	ADJ;MASC;SG	ADJ;FEM;SG
attività	actividades	attività	actividad	N;FEM	N;FEM;PL
attività	actividad	attività	actividad	N;FEM	N;FEM;SG
edizione	edición	edizione	edición	N;FEM;SG	N;FEM;SG
edizione	edition	edizione	edition	N;FEM;SG	N;MASC;SG
infatti	ciertamente	infatti	ciertamente	ADV	ADV
infatti	efectivamente	infatti	efectivamente	ADV	ADV
qui	aquí	qui	aquí	ADV	ADV
qui	acá	qui	acá	ADV	ADV
nord	norte	nord	norte	N;MASC;SG	N;MASC;SG
nord	norte	nord	norte	N;MASC;SG	N;MASC;SG
diretto	dirigida	diretto	dirigido	ADJ;MASC;SG	ADJ;FEM;SG;V.PTCP
diretto	dirigido	diretto	dirigido	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
diretto	directa	diretto	directo	ADJ;MASC;SG	ADJ;FEM;SG
diretto	directo	diretto	directo	ADJ;MASC;SG	ADJ;MASC;SG
esempio	ejemplo	esempio	ejemplo	N;MASC;SG	N;MASC;SG
ultimo	último	ultimo	último	ADJ;MASC;SG	ADJ;MASC;SG
ultimo	última	ultimo	último	ADJ;MASC;SG	ADJ;FEM;SG
sfondo	trasfondo	sfondo	trasfondo	N;MASC;SG	N;MASC;SG
sfondo	fondo	sfondo	fondo	N;MASC;SG	N;MASC;SG
versione	version	versione	version	N;FEM;SG	N;FEM;SG
versione	versión	versione	versión	N;FEM;SG	N;FEM;SG
provincia	provincia	provincia	provincia	N;FEM;SG	N;FEM;SG
attore	actor	attore	actor	N;MASC;SG	N;MASC;SG
coppa	coppa	coppa	coppa	N;FEM;SG	N;SG
coppa	taza	coppa	taza	N;FEM;SG	N;FEM;SG
coppa	copa	coppa	copa	N;FEM;SG	N;FEM;SG
coppa	cup	coppa	cupo	N;FEM;SG	N;FEM;SG
forma	forma	forma	forma	N;FEM;SG	N;FEM;SG
forma	forma	forma	forma	N;FEM;SG	N;FEM;SG
forma	formulario	forma	formulario	N;FEM;SG	N;MASC;SG
codice	codex	codice	codex	N;MASC;SG	N;SG
codice	códice	codice	códice	N;MASC;SG	N;MASC;SG
codice	code	codice	coder	N;MASC;SG	N
codice	codigo	codice	codigo	N;MASC;SG	N;MASC;SG
codice	código	codice	código	N;MASC;SG	N;MASC;SG
oggi	hoy	oggi	hoy	ADV	ADV
base	base	base	base	N;FEM;SG	N;SG
trova	encontrar	trovare	encontrar	V;IND;SG;3;PRS;FIN	V;NFIN
trova	encuentra	trovare	encontrar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
trova	encuentra	trovare	encontrar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
punto	punto	punto	punto	N;MASC;SG	N;MASC;SG
punto	punta	punto	punta	N;MASC;SG	N;FEM;SG
punto	point	punto	point	N;MASC;SG	N
punto	punto	punto	punto	N;MASC;SG	N;MASC;SG
figlio	hijo	figlio	hijo	N;MASC;SG	N;MASC;SG
corso	rumbo	corso	rumbo	N;MASC;SG	N;MASC;SG
corso	curso	corso	curso	N;MASC;SG	N;MASC;SG
corso	corso	corso	corso	N;MASC;SG	N;MASC;SG
corso	corso	corso	corso	N;MASC;SG	N;MASC;SG
corso	córcega	corso	córcega	N;MASC;SG	N;FEM;SG
allenatore	entrenador	allenatore	entrenador	N;MASC;SG	N;MASC;SG
allenatore	entrenadora	allenatore	entrenador	N;MASC;SG	N;FEM;SG
allenatore	formador	allenatore	formador	N;MASC;SG	N;MASC;SG
allenatore	entrenador	allenatore	entrenador	N;MASC;SG	N;MASC;SG
allenatore	autocar	allenatore	autocar	N;MASC;SG	N;MASC;SG
allenatore	coach	allenatore	coach	N;MASC;SG	N;MASC;SG
allenatore	entrenadora	allenatore	entrenador	N;MASC;SG	N;FEM;SG
molti	muchas	molto	mucho	PRO;MASC;PL	PRO;FEM;PL
molti	muchos	molto	mucho	PRO;MASC;PL	PRO;MASC;PL
particolare	particular	particolare	particular	N;MASC;SG	N
sistema	system	sistema	system	N;MASC;SG	N
sistema	sistema	sistema	sistema	N;MASC;SG	N;MASC;SG
società	society	società	society	N;FEM	N;SG
società	sociedad	società	sociedad	N;FEM	N;FEM;SG
società	compañia	società	compañia	N;FEM	N;FEM;SG
società	empresa	società	empresa	N;FEM	N;FEM;SG
società	compañía	società	compañía	N;FEM	N;FEM;SG
società	companía	società	companía	N;FEM	N;FEM;SG
maggiore	mayor	maggiore	mayor	ADJ;CMPR;SG	ADJ;SG
club	club	club	club	N;MASC	N;MASC;SG
club	garrote	club	garrote	N;MASC	N;MASC;SG
club	discoteca	club	discoteca	N;MASC	N;FEM;SG
regione	region	regione	region	N;FEM;SG	N;FEM;SG
regione	comarca	regione	comarca	N;FEM;SG	N;FEM;SG
regione	región	regione	región	N;FEM;SG	N;FEM;SG
sud	southern	sud	southern	N;MASC;SG	N
sud	sur	sud	sur	N;MASC;SG	N;MASC;SG
sud	sur	sud	sur	N;MASC;SG	N;MASC;SG
discussione	debate	discussione	debate	N;FEM;SG	N;MASC;SG
discussione	discusión	discussione	discusión	N;FEM;SG	N;FEM;SG
discussione	debate	discussione	debate	N;FEM;SG	N;MASC;SG
padre	padre	padre	padre	N;MASC;SG	N;MASC;SG
linea	línea	linea	línea	N;FEM;SG	N;FEM;SG
linea	linea	linea	linea	N;FEM;SG	N;FEM;SG
linea	linea	linea	linea	N;FEM;SG	N;FEM;SG
santa	saint	santo	saint	N;FEM;SG	N;MASC
santa	san	santo	san	N;FEM;SG	N;MASC;SG
pubblicato	publicó	pubblicare	publicar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
carlo	carlos	carlo	carlo	N;MASC;SG	N;MASC;SG
carlo	carlos	carlo	carlo	N;MASC;SG	N;MASC;SG
carlo	carlos	carlo	carlo	N;MASC;SG	N;MASC;SG
progetto	project	progetto	project	N;MASC;SG	N
progetto	proyecto	progetto	proyecto	N;MASC;SG	N;MASC;SG
primi	primeras	primo	primero	ADJ;MASC;PL	ADJ;FEM;PL
primi	primeros	primo	primero	ADJ;MASC;PL	ADJ;MASC;PL
mai	nunca	mai	nunca	ADV	ADV
mai	jamás	mai	jamás	ADV	ADV
sito	sitio	sito	sitio	N;MASC;SG	N;MASC;SG
sito	site	sito	sitir	N;MASC;SG	N;MASC;SG
lungo	largo	lungo	largo	ADJ;MASC;SG	ADJ;MASC;SG
lungo	larga	lungo	largo	ADJ;MASC;SG	ADJ;FEM;SG
uso	uso	uso	uso	N;MASC;SG	N;MASC;SG
uso	utilización	uso	utilización	N;MASC;SG	N;FEM;SG
uso	uso	uso	uso	N;MASC;SG	N;MASC;SG
uso	utilización	uso	utilización	N;MASC;SG	N;FEM;SG
tedesco	alemana	tedesco	alemán	ADJ;MASC;SG	ADJ;FEM;SG
uniti	unidos	unito	unido	ADJ;MASC;PL	ADJ;MASC;PL;V.PTCP
lavoro	empleo	lavoro	empleo	N;MASC;SG	N;MASC;SG
lavoro	trabajo	lavoro	trabajo	N;MASC;SG	N;MASC;SG
lavoro	obra	lavoro	obra	N;MASC;SG	N;FEM;SG
lavoro	trabajo	lavoro	trabajo	N;MASC;SG	N;MASC;SG
isbn	isbn	isbn	isbn	N;MASC;PL	N
giorno	día	giorno	día	N;MASC;SG	N;MASC;SG
giorno	dia	giorno	diar	N;MASC;SG	N;MASC;SG
principale	principal	principale	principal	ADJ;SG	ADJ;SG
termine	término	termine	término	N;MASC;SG	N;MASC;SG
spesso	frecuentemente	spesso	frecuentemente	ADV	ADV
spesso	frecuentemente	spesso	frecuentemente	ADV	ADV
regno	reino	regno	reino	N;MASC;SG	N;MASC;SG
regno	kingdom	regno	kingdom	N;MASC;SG	N;MASC;SG
specie	especies	specie	especie	N;FEM	N;FEM;PL
specie	especie	specie	especie	N;FEM	N;FEM;SG
persone	personas	persona	persona	N;FEM;PL	N;FEM;PL
persone	personas	persona	persona	N;FEM;PL	N;FEM;PL
pagine	páginas	pagina	página	N;FEM;PL	N;FEM;PL
pagine	paginas	pagina	pagina	N;FEM;PL	N;FEM;PL
pagine	page	pagina	pager	N;FEM;PL	N
volte	tiempos	volta	tiempo	N;FEM;PL	N;MASC;PL
volte	veces	volta	vez	N;FEM;PL	N;FEM;PL
volte	épocas	volta	época	N;FEM;PL	N;FEM;PL
volte	times	volta	time	N;FEM;PL	N
set	conjunto	set	conjunto	N;MASC	N;MASC;SG
set	set	set	set	N;MASC	N;MASC;SG
set	plató	set	plató	N;MASC	N;MASC;SG
inizio	start	inizio	start	N;MASC;SG	N
inizio	inicio	inizio	inicio	N;MASC;SG	N;MASC;SG
inizio	comienzo	inizio	comienzo	N;MASC;SG	N;MASC;SG
inizio	comienzo	inizio	comienzo	N;MASC;SG	N;MASC;SG
episodio	episodio	episodio	episodio	N;MASC;SG	N;MASC;SG
posizione	posicion	posizione	posicion	N;FEM;SG	N;FEM;SG
posizione	posición	posizione	posición	N;FEM;SG	N;FEM;SG
genere	género	genere	género	N;MASC;SG	N;MASC;SG
genere	genero	genere	genero	N;MASC;SG	N;MASC;SG
genere	género	genere	género	N;MASC;SG	N;MASC;SG
genere	genero	genere	genero	N;MASC;SG	N;MASC;SG
genere	sexo	genere	sexo	N;MASC;SG	N;MASC;SG
genere	género	genere	género	N;MASC;SG	N;MASC;SG
presidente	president	presidente	president	N;MASC;SG	N;MASC;SG
presidente	presidenta	presidente	presidenta	N;MASC;SG	N;FEM;SG
presidente	presidente	presidente	presidente	N;MASC;SG	N;MASC;SG
presidente	presidenta	presidente	presidenta	N;MASC;SG	N;FEM;SG
presidente	presidente	presidente	presidente	N;MASC;SG	N;MASC;SG
cosa	qué	cosa	qué	PRO;SG	PRO;SG
militare	militar	militare	militar	ADJ;SG	ADJ;SG
uomo	man	uomo	man	N;MASC;SG	N
uomo	hombre	uomo	hombre	N;MASC;SG	N;MASC;SG
meno	menos	meno	menos	ADV	ADV
meno	menos	meno	menos	ADV	ADV
campo	field	campo	field	N;MASC;SG	N
campo	campo	campo	campo	N;MASC;SG	N;MASC;SG
campo	campo	campo	campo	N;MASC;SG	N;MASC;SG
giorni	días	giorno	día	N;MASC;PL	N;MASC;PL
giorni	jornadas	giorno	jornada	N;MASC;PL	N;FEM;PL
giorni	dias	giorno	dia	N;MASC;PL	N;MASC;PL
giorni	days	giorno	day	N;MASC;PL	N
carriera	carrera	carriera	carrera	N;FEM;SG	N;FEM;SG
mar	mar	mare	mar	N;MASC;SG	N;SG
scritto	escribí	scrivere	escribir	V;MASC;SG;PST;V.PTCP	V;IND;SG;1;PST;FIN
scritto	escribió	scrivere	escribir	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
ora	ahora	ora	ahora	ADV	ADV
territorio	territorio	territorio	territorio	N;MASC;SG	N;MASC;SG
gen	gen	gene	gen	N	N;MASC;SG
gran	gran	grande	gran	ADJ;SG	ADJ;SG
antonio	antonio	antonio	antonio	N;MASC;SG	N;MASC;SG
antonio	antonio	antonio	antonio	N;MASC;SG	N;MASC;SG
antonio	antonio	antonio	antonio	N;MASC;SG	N;MASC;SG
quasi	casi	quasi	casi	ADV	ADV
quasi	casi	quasi	casi	ADV	ADV
terra	earth	terra	earth	N;FEM;SG	N
terra	tierra	terra	tierra	N;FEM;SG	N;FEM;SG
terra	land	terra	land	N;FEM;SG	N
terra	terreno	terra	terreno	N;FEM;SG	N;MASC;SG
terra	tierra	terra	tierra	N;FEM;SG	N;FEM;SG
