inuti	درون	inuti	درون	N;NOM;INDF;MASC+FEM;SG	N;SG
teckning	نقاشی	teckning	نقاشی	N;NOM;INDF;MASC+FEM;SG	N;SG
teckning	کشیدن	teckning	کشیدن	N;NOM;INDF;MASC+FEM;SG	N;SG
basist	بیسیست	basist	بیسیست	N;NOM;INDF;MASC+FEM;SG	N;SG
blanchard	بلانچارد	blanchard	بلانچارد	N;NOM;INDF;MASC+FEM;SG	N;SG
uppstå	برخیز	uppstå	برخیز	V;IMP;FIN;ACT	V;IMP;SG;2
läkaren	دکتری	läkare	دکتری	N;NOM;DEF;MASC+FEM;SG	N;SG
läkaren	داکتر	läkare	داکتر	N;NOM;DEF;MASC+FEM;SG	N;SG
läkaren	دکتر	läkare	دکتر	N;NOM;DEF;MASC+FEM;SG	N;SG
machine	ماشینی	machine	ماشینی	N;NOM;INDF;NEUT;SG	N;SG
machine	ماشین	machine	ماشین	N;NOM;INDF;NEUT;SG	N;SG
machine	دستگاه	machine	دستگاه	N;NOM;INDF;NEUT;SG	N;SG
florence	فلورنس	florence	فلورنس	N;NOM;INDF;NEUT;SG	N;SG
florence	فلورانس	florence	فلورانس	N;NOM;INDF;NEUT;SG	N;SG
temple	پرستشگاه	temple	پرستشگاه	N;NOM;INDF;NEUT;SG	N;SG
temple	عبادتگاه	temple	عبادتگاه	N;NOM;INDF;NEUT;SG	N;SG
temple	معبد	temple	None	N;NOM;INDF;NEUT;SG	N;SG
temple	تمپل	temple	تمپل	N;NOM;INDF;NEUT;SG	N;SG
californica	californica	californic	californica	N;NOM;INDF;MASC+FEM;SG	N;SG
recension	مرور	recension	مرور	N;NOM;INDF;MASC+FEM;SG	N;SG
recension	بازبینی	recension	بازبینی	N;NOM;INDF;MASC+FEM;SG	N;SG
recension	بازدید	recension	None	N;NOM;INDF;MASC+FEM;SG	N;SG
gymnastik	ژیمناستیک	gymnastik	ژیمناستیک	N;NOM;INDF;MASC+FEM;SG	N;SG
fröken	خانم	fröka	خانم	N;NOM;DEF;MASC+FEM;SG	N;SG
fröken	بانو	fröka	بانو	N;NOM;DEF;MASC+FEM;SG	N;SG
fröken	دوشیزه	fröka	دوشیزه	N;NOM;DEF;MASC+FEM;SG	N;SG
öga	چشم	öga	چشم	N;NOM;INDF;NEUT;SG	N;SG
öga	چشمی	öga	چشم	N;NOM;INDF;NEUT;SG	N;SG
ramen	قاب	ram	None	N;NOM;DEF;MASC+FEM;SG	N;SG
ramen	چارچوب	ram	چارچوب	N;NOM;DEF;MASC+FEM;SG	N;SG
ramen	فریم	ram	فریم	N;NOM;DEF;MASC+FEM;SG	N;SG
maskin	ماشینی	maskin	ماشینی	N;NOM;INDF;MASC+FEM;SG	N;SG
maskin	ماشین	maskin	ماشین	N;NOM;INDF;MASC+FEM;SG	N;SG
maskin	دستگاه	maskin	دستگاه	N;NOM;INDF;MASC+FEM;SG	N;SG
maskin	مهندسی	maskin	مهندسی	N;NOM;INDF;MASC+FEM;SG	N;SG
barra	بارا	barra	بارا	N;NOM;INDF;MASC+FEM;SG	N;SG
humor	طنز	huma	طنز	N;NOM;INDF;MASC+FEM;SG	N;SG
humor	خوشمزگی	huma	خوشمزگی	N;NOM;INDF;MASC+FEM;SG	N;SG
humor	شوخی	huma	شوخی	N;NOM;INDF;MASC+FEM;SG	N;SG
humor	مزاح	huma	مزاح	N;NOM;INDF;MASC+FEM;SG	N;SG
humor	طنز	huma	طنز	N;NOM;INDF;MASC+FEM;SG	N;SG
humor	مزاح	huma	مزاح	N;NOM;INDF;MASC+FEM;SG	N;SG
dagarna	روزها	dag	روز	N;NOM;DEF;MASC+FEM;PL	N;PL
dagarna	روزهایی	dag	روز	N;NOM;DEF;MASC+FEM;PL	N;PL
dagarna	روزای	dag	روزا	N;NOM;DEF;MASC+FEM;PL	N;PL
dagarna	روزهای	dag	روز	N;NOM;DEF;MASC+FEM;PL	N;PL
stipa	استپی	stipa	استپی	N;NOM;INDF;MASC+FEM;SG	N;SG
tillåtet	مجاز	tillåtet	مجاز	ADJ;NOM;INDF;NEUT;SG	ADJ
distans	مسافت	distans	مسافت	N;NOM;INDF;MASC+FEM;SG	N;SG
distans	فاصله	distans	فاصله	N;NOM;INDF;MASC+FEM;SG	N;SG
discovery	اکتشاف	discovery	اکتشاف	N;NOM;INDF;MASC+FEM;SG	N;SG
discovery	دیسکاوری	discovery	دیسکاوری	N;NOM;INDF;MASC+FEM;SG	N;SG
discovery	کشف	discovery	کشف	N;NOM;INDF;MASC+FEM;SG	N;SG
jungfru	virgo	jungfru	virgo	N;NOM;INDF;MASC+FEM;SG	N;SG
jungfru	باکرگی	jungfru	باکرگی	N;NOM;INDF;MASC+FEM;SG	N;SG
jungfru	باکره	jungfru	باکره	N;NOM;INDF;MASC+FEM;SG	N;SG
jungfru	ویرجین	jungfru	ویرجین	N;NOM;INDF;MASC+FEM;SG	N;SG
jungfru	خدمتکاری	jungfru	خدمتکاری	N;NOM;INDF;MASC+FEM;SG	N;SG
arrow	پیکان	arrow	پیکان	N;NOM;INDF;MASC+FEM;SG	N;SG
arrow	تیر	arrow	تیر	N;NOM;INDF;MASC+FEM;SG	N;SG
arrow	ارو	arrow	ارو	N;NOM;INDF;MASC+FEM;SG	N;SG
mao	مائو	mao	مائو	N;NOM;INDF;MASC+FEM;SG	N;SG
entre	entre	entre	entre	N;NOM;INDF;MASC+FEM;SG	N;SG
blom	شکوفایی	blom	شکوفایی	N;NOM;INDF;MASC+FEM;SG	N;SG
blom	بلوم	blom	بلم	N;NOM;INDF;MASC+FEM;SG	N;SG
blom	شکوفه	blom	شکوفه	N;NOM;INDF;MASC+FEM;SG	N;SG
netto	تور	netto	تور	N;NOM;INDF;MASC+FEM;SG	N;SG
netto	net	netto	net	N;NOM;INDF;MASC+FEM;SG	N;SG
verksamheter	فعالیتها	verksamhet	فعالیت	N;NOM;INDF;MASC+FEM;PL	N;PL
förekomst	رخداد	förekomst	رخداد	N;NOM;INDF;MASC+FEM;SG	N;SG
förekomst	حضورش	förekomst	حضورش	N;NOM;INDF;MASC+FEM;SG	N;SG
förekomst	حضور	förekomst	حضور	N;NOM;INDF;MASC+FEM;SG	N;SG
förekomst	وجود	förekomst	وجود	N;NOM;INDF;MASC+FEM;SG	N;SG
budskap	پیغام	budskap	پیغام	N;NOM;INDF;NEUT;SG	N;SG
budskap	پیام	budskap	پیام	N;NOM;INDF;NEUT;SG	N;SG
budskap	پیام	budskap	پیام	N;NOM;INDF;NEUT;SG	N;SG
anteckningar	یادداشتها	anteckning	یادداشت	N;NOM;INDF;MASC+FEM;PL	N;PL
anteckningar	یادداشتهای	anteckning	یادداشت	N;NOM;INDF;MASC+FEM;PL	N;PL
vinter	وینتر	vinter	وینتر	N;NOM;INDF;MASC+FEM;SG	N;SG
vinter	زمستان	vinter	زمستان	N;NOM;INDF;MASC+FEM;SG	N;SG
vinter	زمستون	vinter	زمستون	N;NOM;INDF;MASC+FEM;SG	N;SG
vinter	زمستانی	vinter	زمستانی	N;NOM;INDF;MASC+FEM;SG	N;SG
aristida	مزج	aristid	مزج	N;NOM;INDF;MASC+FEM;SG	N;SG
lucia	لوسیا	lucia	لوسیا	N;NOM;INDF;MASC+FEM;SG	N;SG
pearl	pearl	pearl	pearl	N;NOM;INDF;NEUT;SG	N;SG
pearl	مروارید	pearl	مروارید	N;NOM;INDF;NEUT;SG	N;SG
pearl	پرل	pearl	پرل	N;NOM;INDF;NEUT;SG	N;SG
rader	سطرها	rad	سطر	N;NOM;INDF;MASC+FEM;PL	N;PL
rader	خطوط	rad	خط	N;NOM;INDF;MASC+FEM;PL	N;PL
shadow	سایه	shado	سایه	N;NOM;INDF;MASC+FEM;SG	N;SG
shadow	شادو	shado	شادو	N;NOM;INDF;MASC+FEM;SG	N;SG
territoriet	قلمروی	territorium	قلمروی	N;NOM;DEF;NEUT;SG	N;SG
territoriet	قلمرو	territorium	قلمرو	N;NOM;DEF;NEUT;SG	N;SG
malabo	مالابو	malabo	مالابو	N;NOM;INDF;MASC+FEM;SG	N;SG
boulenger	b	bouleng	b	N;NOM;INDF;MASC+FEM;SG	N;SG
författarna	نویسندگان	författare	نویسنده	N;NOM;DEF;MASC+FEM;PL	N;PL
vetenskapen	علمی	vetenskap	علمی	N;NOM;DEF;MASC+FEM;SG	N;SG
vetenskapen	علم	vetenskap	علم	N;NOM;DEF;MASC+FEM;SG	N;SG
floder	رودهای	flod	رود	N;NOM;INDF;MASC+FEM;PL	N;PL
floder	رودها	flod	رود	N;NOM;INDF;MASC+FEM;PL	N;PL
aurora	آرورا	auror	آرورا	N;NOM;INDF;NEUT;SG	N;SG
aurora	اورورا	auror	اورورا	N;NOM;INDF;NEUT;SG	N;SG
seal	مُهر	seal	مُهر	N	N;SG
seal	مهر	seal	مهر	N	N;SG
seal	مهری	seal	مهری	N	N;SG
finn	فین	finna	فین	N;NOM;INDF;MASC+FEM;SG	N;SG
saxofon	ساکسیفون	saxofon	ساکسیفون	N;NOM;INDF;MASC+FEM;SG	N;SG
buss	اتوبوس	buss	اتوبوس	N;NOM;INDF;MASC+FEM;SG	N;SG
buss	b	buss	b	N;NOM;INDF;MASC+FEM;SG	N;SG
kolonin	کلونی	koloni	کلونی	N;NOM;DEF;MASC+FEM;SG	N;SG
kolonin	مستعمره	koloni	مستعمره	N;NOM;DEF;MASC+FEM;SG	N;SG
väggar	دیوارها	vägg	دیوار	N;NOM;INDF;MASC+FEM;PL	N;PL
väggar	دیوارهای	vägg	دیوار	N;NOM;INDF;MASC+FEM;PL	N;PL
région	région	région	None	N;NOM;INDF;NEUT;SG	N;SG
atlantis	آتلانتیس	atlantis	آتلانتیس	N;NOM;INDF;MASC+FEM;SG	N;SG
styrman	میت	styrma	میت	N;NOM;INDF;MASC+FEM;SG	N;SG
styrman	ماته	styrma	ماته	N;NOM;INDF;MASC+FEM;SG	N;SG
face	چهره	face	چهره	N;NOM;INDF;MASC+FEM;SG	N;SG
face	صورت	face	صورت	N;NOM;INDF;MASC+FEM;SG	N;SG
face	face	face	face	N;NOM;INDF;MASC+FEM;SG	N;SG
porsche	پورشه	porsche	پورشه	N;NOM;INDF;MASC+FEM;SG	N;SG
kungar	پادشاهان	kung	پادشاه	N;NOM;INDF;MASC+FEM;PL	N;PL
kungar	سلاطین	kung	سلاطین	N;NOM;INDF;MASC+FEM;PL	N;PL
kungar	شاهان	kung	None	N;NOM;INDF;MASC+FEM;PL	N;PL
punk	ولگرد	punk	ولگرد	N;NOM;INDF;MASC+FEM;SG	N;SG
punk	پانک	punk	پانک	N;NOM;INDF;MASC+FEM;SG	N;SG
observationer	مشاهدات	observation	مشاهده	N;NOM;INDF;MASC+FEM;PL	N;PL
berberis	زرشک	berberis	زرشک	N;NOM;INDF;MASC+FEM;SG	N;SG
drive	درایو	drive	درایو	N;NOM;INDF;MASC+FEM;SG	N;SG
drive	رانندگی	drive	None	N;NOM;INDF;MASC+FEM;SG	N;SG
drive	سوق	drive	سوق	N;NOM;INDF;MASC+FEM;SG	N;SG
personlighet	شخصیت	personlighet	شخصیت	N;NOM;INDF;MASC+FEM;SG	N;SG
personlighet	شخصیتی	personlighet	شخصیت	N;NOM;INDF;MASC+FEM;SG	N;SG
protester	اعتراضات	protest	اعتراض	N;NOM;INDF;MASC+FEM;PL	N;PL
protester	اعتراضات	protest	اعتراض	N;NOM;INDF;MASC+FEM;PL	N;PL
betyg	درجه	betyg	درجه	N;NOM;INDF;NEUT;SG	N;SG
betyg	نمره	betyg	نمره	N;NOM;INDF;NEUT;SG	N;SG
betyg	ارزیابی	betyg	ارزیابی	N;NOM;INDF;NEUT;SG	N;SG
betyg	نمره	betyg	نمره	N;NOM;INDF;NEUT;SG	N;SG
betyg	میزان	betyg	میزان	N;NOM;INDF;NEUT;SG	N;SG
hänvisning	ارجاع	hänvisning	None	N;NOM;INDF;MASC+FEM;SG	N;SG
hänvisning	مرجع	hänvisning	None	N;NOM;INDF;MASC+FEM;SG	N;SG
gäster	میهمانان	gästa	میهمان	N;NOM;INDF;MASC+FEM;PL	N;PL
gäster	مهمانان	gästa	مهمان	N;NOM;INDF;MASC+FEM;PL	N;PL
minut	دقیقه	minut	دقیقه	N;NOM;INDF;MASC+FEM;SG	N;SG
specifik	مشخص	specifik	مشخص	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
medveten	آگاه	medveten	آگاه	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
akademi	آکادمی	akademi	آکادمی	N;NOM;INDF;MASC+FEM;SG	N;SG
akademi	فرهنگستان	akademi	فرهنگست	N;NOM;INDF;MASC+FEM;SG	N;SG
ljudet	صوت	ljud	صوت	N;NOM;DEF;NEUT;SG	N;SG
ljudet	صدا	ljud	صدا	N;NOM;DEF;NEUT;SG	N;SG
barndom	کودکی	barndom	None	N;NOM;INDF;MASC+FEM;SG	N;SG
barndom	بچگی	barndom	بچگی	N;NOM;INDF;MASC+FEM;SG	N;SG
brunner	برونر	brunna	برونر	N;NOM;INDF;MASC+FEM;SG	N;SG
fortsättning	ادامه	fortsättning	ادامه	N;NOM;INDF;MASC+FEM;SG	N;SG
restaurering	بازگردانی	restaurering	بازگردانی	N;NOM;INDF;MASC+FEM;SG	N;SG
restaurering	مرمت	restaurering	مرمت	N;NOM;INDF;MASC+FEM;SG	N;SG
restaurering	ترمیم	restaurering	ترمیم	N;NOM;INDF;MASC+FEM;SG	N;SG
underhåll	نگهدارنده	underhåll	None	N;NOM;INDF;NEUT;SG	N;SG
underhåll	نگهداشت	underhåll	None	N;NOM;INDF;NEUT;SG	N;SG
underhåll	نگهداری	underhåll	نگهداری	N;NOM;INDF;NEUT;SG	N;SG
bakterier	باکتریهای	bakterie	باکتری	N;NOM;INDF;MASC+FEM;PL	N;PL
bakterier	باکتریها	bakterie	باکتری	N;NOM;INDF;MASC+FEM;PL	N;PL
dalen	دره	dal	دره	N;NOM;DEF;MASC+FEM;SG	N;SG
dar	دار	dar	دار	N;NOM;INDF;NEUT;SG	N;SG
anläggning	گیاهی	anläggning	گیاهی	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	نیروگاه	anläggning	نیروگاه	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	پلنت	anläggning	پلنت	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	گیاه	anläggning	گیاه	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	نصب	anläggning	نصب	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	تاسیسات	anläggning	تاسیست	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	موسسه	anläggning	None	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	تاسیس	anläggning	تاسیس	N;NOM;INDF;MASC+FEM;SG	N;SG
anläggning	تأسیس	anläggning	تأسیس	N;NOM;INDF;MASC+FEM;SG	N;SG
prunus	پرونوس	prunus	پرونوس	N;NOM;INDF;NEUT;SG	N;SG
justice	عدالت	justice	None	N;NOM;INDF;MASC+FEM;SG	N;SG
justice	عدل	justice	None	N;NOM;INDF;MASC+FEM;SG	N;SG
nutid	هدیه	nutid	هدیه	N;NOM;INDF;MASC+FEM;SG	N;SG
summa	مجموع	summa	مجموع	N;NOM;INDF;MASC+FEM;SG	N;SG
summa	مبلغ	summa	مبلغ	N;NOM;INDF;MASC+FEM;SG	N;SG
summa	مجموع	summa	مجموع	N;NOM;INDF;MASC+FEM;SG	N;SG
signal	انتن	signal	انتن	N;NOM;INDF;MASC+FEM;SG	N;SG
signal	سیگنال	signal	سیگنال	N;NOM;INDF;MASC+FEM;SG	N;SG
signal	علامت	signal	None	N;NOM;INDF;MASC+FEM;SG	N;SG
nederlag	شکست	nederlag	شکست	N;NOM;INDF;NEUT;SG	N;SG
eye	چشم	eye	چشم	N;NOM;INDF;MASC+FEM;SG	N;SG
eye	چشمی	eye	چشم	N;NOM;INDF;MASC+FEM;SG	N;SG
fördelar	فواید	fördel	None	N;NOM;INDF;MASC+FEM;PL	N;PL
fördelar	منافع	fördel	منفعت	N;NOM;INDF;MASC+FEM;PL	N;PL
fördelar	مزایای	fördel	مزایا	N;NOM;INDF;MASC+FEM;PL	N;PL
fördelar	مزایا	fördel	None	N;NOM;INDF;MASC+FEM;PL	N;PL
flodmynning	مصب	flodmynning	مصب	N;NOM;INDF;MASC+FEM;SG	N;SG
förmögenhet	بخت	förmögenhet	None	N;NOM;INDF;MASC+FEM;SG	N;SG
förmögenhet	فال	förmögenhet	فال	N;NOM;INDF;MASC+FEM;SG	N;SG
förmögenhet	ثروت	förmögenhet	None	N;NOM;INDF;MASC+FEM;SG	N;SG
förmögenhet	ثروت	förmögenhet	None	N;NOM;INDF;MASC+FEM;SG	N;SG
förmögenhet	مال	förmögenhet	مال	N;NOM;INDF;MASC+FEM;SG	N;SG
benen	نوازش	ben	نوازش	N;NOM;DEF;NEUT;SG	N;SG
benen	پا	ben	پا	N;NOM;DEF;NEUT;SG	N;SG
djupa	عمیق	djup	عمیق	ADJ;NOM;PL	ADJ
third	سومی	third	None	N;NOM;SG	N;SG
muhammad	محمد	muhammad	محمد	N;NOM;INDF;MASC+FEM;SG	N;SG
bonus	پاداش	bonus	پاداش	N;NOM;INDF;MASC+FEM;SG	N;SG
bonus	جایزه	bonus	جایزه	N;NOM;INDF;MASC+FEM;SG	N;SG
meddelande	ارتباط	meddelande	ارتباط	N;NOM;INDF;NEUT;SG	N;SG
meddelande	مکاتبه	meddelande	مکاتبه	N;NOM;INDF;NEUT;SG	N;SG
meddelande	ارتباطی	meddelande	ارتباط	N;NOM;INDF;NEUT;SG	N;SG
meddelande	پیغام	meddelande	پیغام	N;NOM;INDF;NEUT;SG	N;SG
meddelande	پیام	meddelande	پیام	N;NOM;INDF;NEUT;SG	N;SG
meddelande	حدیث	meddelande	None	N;NOM;INDF;NEUT;SG	N;SG
meddelande	اعلان	meddelande	اعلان	N;NOM;INDF;NEUT;SG	N;SG
meddelande	اطلاعیه	meddelande	اطلاعیه	N;NOM;INDF;NEUT;SG	N;SG
komplexa	پیچیده	komplex	پیچیده	ADJ;NOM;PL	ADJ
paula	پائولا	paula	None	N;NOM;INDF;MASC+FEM;SG	N;SG
rincón	رینکون	rinca	رینکون	N;NOM;INDF;MASC+FEM;SG	N;SG
utökade	گسترده	utöka	گسترده	ADJ;NOM;PL;PST;V.PTCP	ADJ
utökade	گسترده	utöka	گسترده	ADJ;NOM;PL;PST;V.PTCP	ADJ
thessalien	تسالی	thessalien	تسالی	N;NOM;DEF;MASC+FEM;SG	N;SG
sammanhängande	منسجم	sammanhängande	منسجم	ADJ;NOM;PRS;V.PTCP	ADJ
bestämmelser	قواعد	bestämmelse	None	N;NOM;INDF;MASC+FEM;PL	N;PL
bestämmelser	قوانین	bestämmelse	قانون	N;NOM;INDF;MASC+FEM;PL	N;PL
nature	سرشت	nature	None	N;NOM;INDF;MASC+FEM;SG	N;SG
nature	طبیعت	nature	طبیعت	N;NOM;INDF;MASC+FEM;SG	N;SG
livsmedel	غذایی	livsmedel	غذا	N;NOM;INDF;NEUT;SG	N;SG
livsmedel	خوراک	livsmedel	خوراک	N;NOM;INDF;NEUT;SG	N;SG
livsmedel	غذا	livsmedel	غذا	N;NOM;INDF;NEUT;SG	N;SG
värmdö	ساندرلند	värmdö	ساندرلند	N;NOM;INDF;MASC+FEM;SG	N;SG
captain	کاپیتان	captain	کاپیت	N;NOM;INDF;MASC+FEM;SG	N;SG
captain	سروان	captain	سروان	N;NOM;INDF;MASC+FEM;SG	N;SG
captain	ناخدا	captain	ناخدا	N;NOM;INDF;MASC+FEM;SG	N;SG
ricardo	ریکاردو	ricardo	ریکاردو	N;NOM;INDF;MASC+FEM;SG	N;SG
inledning	معرفی	inledning	معرفی	N;NOM;INDF;MASC+FEM;SG	N;SG
inledning	مقدمه	inledning	مقدمه	N;NOM;INDF;MASC+FEM;SG	N;SG
inledning	آشنایی	inledning	آشنایی	N;NOM;INDF;MASC+FEM;SG	N;SG
institution	موسسه	institution	None	N;NOM;INDF;MASC+FEM;SG	N;SG
institution	مؤسسه	institution	مؤسسه	N;NOM;INDF;MASC+FEM;SG	N;SG
väder	هوای	väder	هوا	N;NOM;INDF;NEUT;SG	N;SG
väder	هوا	väder	هوا	N;NOM;INDF;NEUT;SG	N;SG
alliansen	ائتلاف	allians	ائتلاف	N;NOM;DEF;MASC+FEM;SG	N;SG
alliansen	وصلت	allians	وصلت	N;NOM;DEF;MASC+FEM;SG	N;SG
alliansen	اتحاد	allians	اتحاد	N;NOM;DEF;MASC+FEM;SG	N;SG
harriet	هریت	harri	هریت	N;NOM;DEF;NEUT;SG	N;SG
gara	gara	gara	gara	N;NOM;INDF;MASC+FEM;SG	N;SG
innehållande	حاوی	innehålla	حاوی	ADJ;NOM;PRS;V.PTCP	ADJ
räkning	بیل	räkning	بیل	N;NOM;INDF;MASC+FEM;SG	N;SG
bedömning	ارزیابی	bedömning	ارزیابی	N;NOM;INDF;MASC+FEM;SG	N;SG
bedömning	ارزیابی	bedömning	ارزیابی	N;NOM;INDF;MASC+FEM;SG	N;SG
desert	کویر	desera	کویر	N;NOM;INDF;NEUT;SG	N;SG
desert	بیابان	desera	بیاب	N;NOM;INDF;NEUT;SG	N;SG
desert	بیابانی	desera	بیابانی	N;NOM;INDF;NEUT;SG	N;SG
desert	صحرا	desera	None	N;NOM;INDF;NEUT;SG	N;SG
campus	پردیس	campus	پردیس	N;NOM;INDF;NEUT;SG	N;SG
industrin	صنعت	industri	صنعت	N;NOM;DEF;MASC+FEM;SG	N;SG
cola	نوشابه	cola	نوشابه	N;NOM;INDF;MASC+FEM;SG	N;SG
cola	کوکا	cola	کوکا	N;NOM;INDF;MASC+FEM;SG	N;SG
cola	کولا	cola	None	N;NOM;INDF;MASC+FEM;SG	N;SG
case	پرونده	case	پرونده	N;NOM;INDF;MASC+FEM;SG	N;SG
case	کیس	case	کیس	N;NOM;INDF;MASC+FEM;SG	N;SG
case	مورد	case	مورد	N;NOM;INDF;MASC+FEM;SG	N;SG
primära	اصلی	primär	اصلی	ADJ;NOM;PL	ADJ
primära	اولیه	primär	اولیه	ADJ;NOM;PL	ADJ
medborgarskap	تابعیت	medborgarskap	None	N;NOM;INDF;NEUT;SG	N;SG
medborgarskap	ملیت	medborgarskap	ملیت	N;NOM;INDF;NEUT;SG	N;SG
medborgarskap	ملیتی	medborgarskap	ملیتی	N;NOM;INDF;NEUT;SG	N;SG
medborgarskap	تابعیت	medborgarskap	None	N;NOM;INDF;NEUT;SG	N;SG
medborgarskap	شهروندی	medborgarskap	شهروندی	N;NOM;INDF;NEUT;SG	N;SG
bröd	نان	bröd	نان	N;NOM;INDF;NEUT;SG	N;SG
bröd	نون	bröd	نون	N;NOM;INDF;NEUT;SG	N;SG
fas	مرحله	fas	مرحله	N;NOM;INDF;MASC+FEM;SG	N;SG
fas	فازی	fas	فازی	N;NOM;INDF;MASC+FEM;SG	N;SG
fas	فاز	fas	فاز	N;NOM;INDF;MASC+FEM;SG	N;SG
stand	استند	stand	است	N;NOM;INDF;MASC+FEM;SG	N;SG
stand	ایستادن	stand	None	N;NOM;INDF;MASC+FEM;SG	N;SG
ovanlig	غیرعادی	ovanlig	غیرعادی	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
härkomst	نزول	härkomst	نزول	N;NOM;INDF;MASC+FEM;SG	N;SG
antigua	آنتیگوا	antigua	آنتیگوا	N;NOM;INDF;NEUT;SG	N;SG
negativt	منفی	negativ	منفی	ADJ;NOM;INDF;NEUT;SG	ADJ
släkting	نسبی	släkting	نسبی	N;NOM;INDF;MASC+FEM;SG	N;SG
läsaren	ریدر	läsare	ریدر	N;NOM;DEF;MASC+FEM;SG	N;SG
läsaren	خواننده	läsare	خواننده	N;NOM;DEF;MASC+FEM;SG	N;SG
allians	ائتلاف	allians	ائتلاف	N;NOM;INDF;MASC+FEM;SG	N;SG
allians	وصلت	allians	وصلت	N;NOM;INDF;MASC+FEM;SG	N;SG
allians	اتحاد	allians	اتحاد	N;NOM;INDF;MASC+FEM;SG	N;SG
utmärkelse	جایزه	utmärkelse	جایزه	N;NOM;INDF;MASC+FEM;SG	N;SG
synpunkter	نظرات	synpunkt	نظر	N;NOM;INDF;MASC+FEM;PL	N;PL
synpunkter	نظرها	synpunkt	None	N;NOM;INDF;MASC+FEM;PL	N;PL
synpunkter	توضیحات	synpunkt	توضیح	N;NOM;INDF;MASC+FEM;PL	N;PL
flyg	پرواز	flyg	پرواز	N;NOM;INDF;NEUT;SG	N;SG
flyg	پروازی	flyg	پروازی	N;NOM;INDF;NEUT;SG	N;SG
flyg	پرواز	flyg	پرواز	N;NOM;INDF;NEUT;SG	N;SG
gang	گنگ	gang	گنگ	N;NOM;INDF;MASC+FEM;SG	N;SG
begravningsplats	قبرستان	begravningsplats	قبرستان	N;NOM;INDF;MASC+FEM;SG	N;SG
begravningsplats	گورستان	begravningsplats	گورستان	N;NOM;INDF;MASC+FEM;SG	N;SG
begravningsplats	قبرستان	begravningsplats	قبرستان	N;NOM;INDF;MASC+FEM;SG	N;SG
giftermål	ازدواج	giftermål	ازدواج	N;NOM;INDF;NEUT;SG	N;SG
anopheles	آنوفل	anophel	آنوفل	N;NOM;INDF;MASC+FEM;SG	N;SG
eden	عدن	eden	عدن	N;NOM;INDF;MASC+FEM;SG	N;SG
