الاكتئاب	depresión	اِكتِئَاب	depresión	N;NOM;DEF;SG	N;FEM;SG
المتحدث	oradora	مُتَحَدِّث	oradora	N;NOM;DEF;SG	N;FEM;SG
خبير	experto	خَبِير	experto	N;NOM;INDF;SG	N;MASC;SG
خبير	perito	خَبِير	perito	N;NOM;INDF;SG	N;MASC;SG
خبير	experta	خَبِير	experta	N;NOM;INDF;SG	N;FEM;SG
صعود	embarque	صُعُود	embarque	N;NOM;INDF;SG	N;MASC;SG
صعود	abordaje	صُعُود	abordaje	N;NOM;INDF;SG	N;MASC;SG
قضاة	jueces	قَاضِي	juez	N;NOM;INDF;PL	N;PL
قضاة	magistrados	قَاضِي	magistrado	N;NOM;INDF;PL	N;MASC;PL
منحة	subvención	مِنحَة	subvención	N;NOM;INDF;SG	N;FEM;SG
منحة	subsidio	مِنحَة	subsidio	N;NOM;INDF;SG	N;MASC;SG
التخلي	abandono	تَخَلِّي	abandono	N;NOM;DEF;SG	N;MASC;SG
التعادل	paridad	تَعَادُل	paridad	N;NOM;DEF;SG	N;FEM;SG
التعادل	tie	تَعَادُل	tie	N;NOM;DEF;SG	N
التعادل	empate	تَعَادُل	empate	N;NOM;DEF;SG	N;MASC;SG
التعادل	corbata	تَعَادُل	corbata	N;NOM;DEF;SG	N;FEM;SG
القوس	sagitario	قَوس	sagitario	N;NOM;DEF;SG	N;MASC;SG
القوس	moño	قَوس	moño	N;NOM;DEF;SG	N;MASC;SG
القوس	reverencia	قَوس	reverencia	N;NOM;DEF;SG	N;FEM;SG
القوس	arco	قَوس	arco	N;NOM;DEF;SG	N;MASC;SG
القوس	proa	قَوس	proa	N;NOM;DEF;SG	N;FEM;SG
القوس	bow	قَوس	bow	N;NOM;DEF;SG	N
تسلم	recibo	تَسَلُّم	recibo	N;NOM;INDF;SG	N;MASC;SG
تسلم	recepción	تَسَلُّم	recepción	N;NOM;INDF;SG	N;FEM;SG
العنصرية	racismo	عُنصُرِيَّة	racismo	N;NOM;DEF;SG	N;MASC;SG
المشي	paseo	مُشِيّ	paseo	N;NOM;DEF;SG	N;MASC;SG
الكاتبة	escritora	كَاتِب	escritora	N;NOM;DEF;SG	N;FEM;SG
الكاتبة	escritor	كَاتِب	escritor	N;NOM;DEF;SG	N;MASC;SG
الكاتبة	writer	كَاتِب	writer	N;NOM;DEF;SG	N;MASC;SG
الاندماج	fusión	اِندِمَاج	fusión	N;NOM;DEF;SG	N;FEM;SG
الاندماج	integración	اِندِمَاج	integración	N;NOM;DEF;SG	N;FEM;SG
اليومي	cotidiano	يَومِيّ	cotidiano	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
اليومي	diaria	يَومِيّ	diario	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
الكعبة	kaaba	كُعبَة	kaar	N;NOM;DEF;SG	N;FEM;SG
الترفيه	esparcimiento	تَرفِيه	esparcimiento	N;NOM;DEF;SG	N;MASC;SG
الترفيه	ocio	تَرفِيه	ocio	N;NOM;DEF;SG	N;MASC;SG
الترفيه	recreo	تَرفِيه	recreo	N;NOM;DEF;SG	N;MASC;SG
الترفيه	recreación	تَرفِيه	recreación	N;NOM;DEF;SG	N;FEM;SG
الترفيه	entretenimiento	تَرفِيه	entretenimiento	N;NOM;DEF;SG	N;MASC;SG
صفقة	ganga	صَفقَة	gangar	N;NOM;INDF;SG	N;FEM;SG
صفقة	trato	صَفقَة	trato	N;NOM;INDF;SG	N;MASC;SG
صفقة	trato	صَفقَة	trato	N;NOM;INDF;SG	N;MASC;SG
صفقة	deal	صَفقَة	deal	N;NOM;INDF;SG	N
الوقوف	stand	وُقُوف	stand	N;NOM;DEF;SG	N;MASC;SG
دبلوماسية	diplomática	دِبلُومَاسِيّ	diplomático	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
الزملاء	colegas	زَمِيل	colega	N;NOM;DEF;PL	N;PL
الزملاء	compañeros	زَمِيل	compañero	N;NOM;DEF;PL	N;MASC;PL
السمات	atributos	سَمَة	atributo	N;NOM;DEF;PL	N;MASC;PL
السمات	características	سَمَة	característica	N;NOM;DEF;PL	N;FEM;PL
السمات	rasgos	سَمَة	rasgo	N;NOM;DEF;PL	N;MASC;PL
السمات	caracteristicas	سَمَة	caracteristica	N;NOM;DEF;PL	N;FEM;PL
السمات	funciones	سَمَة	función	N;NOM;DEF;PL	N;FEM;PL
كارثة	catástrofe	كَارِثَة	catástrofe	N;NOM;INDF;SG	N;FEM;SG
كارثة	desastre	كَارِثَة	desastre	N;NOM;INDF;SG	N;MASC;SG
مفاوضات	negociaciones	مُفَاوَضَة	negociación	N;NOM;INDF;PL	N;FEM;PL
مفاوضات	negociaciones	مُفَاوَضَة	negociación	N;NOM;INDF;PL	N;FEM;PL
المحاسبة	contabilidad	مُحَاسَبَة	contabilidad	N;NOM;DEF;SG	N;FEM;SG
الموحد	uniforme	مُوَحَّد	uniforme	ADJ;NOM;DEF;MASC;SG	ADJ;SG
يفصل	separa	فَصَل	separar	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
يونانية	griega	يُونَانِيّ	griego	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
عميقة	profundo	عَمِيق	profundo	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
عميقة	profunda	عَمِيق	profundo	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
الكريمة	nata	كَرِيم	nata	N;NOM;DEF;SG	N;FEM;SG
الكريمة	cream	كَرِيم	cream	N;NOM;DEF;SG	N
الكريمة	crema	كَرِيم	crema	N;NOM;DEF;SG	N;FEM;SG
اجراء	action	إِجرَاء	action	N;NOM;INDF;SG	N;SG
اجراء	acción	إِجرَاء	acción	N;NOM;INDF;SG	N;FEM;SG
اجراء	accion	إِجرَاء	accionar	N;NOM;INDF;SG	N;FEM;SG
اجراء	procedimiento	إِجرَاء	procedimiento	N;NOM;INDF;SG	N;MASC;SG
البعثات	misiones	بَعثَة	misión	N;NOM;DEF;PL	N;FEM;PL
فهرس	index	فهرس	index	N;NOM;INDF;SG	N
فهرس	indice	فهرس	indicir	N;NOM;INDF;SG	N;MASC;SG
فهرس	índice	فهرس	índice	N;NOM;INDF;SG	N;MASC;SG
فهرس	catálogo	فهرس	catálogo	N;NOM;INDF;SG	N;MASC;SG
فهرس	catalogo	فهرس	catalogo	N;NOM;INDF;SG	N;MASC;SG
فهرس	catálogo	فهرس	catálogo	N;NOM;INDF;SG	N;MASC;SG
فهرس	catalogo	فهرس	catalogo	N;NOM;INDF;SG	N;MASC;SG
دماء	blood	دَم	blood	N;NOM;INDF;PL	N
مماثل	idéntica	مُمَاثِل	idéntico	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
مماثل	idéntico	مُمَاثِل	idéntico	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
مماثل	parecido	مُمَاثِل	parecido	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
مماثل	similar	مُمَاثِل	similar	ADJ;NOM;INDF;MASC;SG	ADJ;SG
المغني	cantor	مَغَنِيّ	cantor	N;NOM;DEF;SG	N;MASC;SG
المغني	cantante	مَغَنِيّ	cantante	N;NOM;DEF;SG	N;SG
اتفاقيات	convenios	اِتِّفَاقِيَّة	convenio	N;NOM;INDF;PL	N;MASC;PL
اتفاقيات	convenciones	اِتِّفَاقِيَّة	convención	N;NOM;INDF;PL	N;FEM;PL
المحاضرات	ponencias	مُحَاضِرَة	ponencia	N;NOM;DEF;PL	N;FEM;PL
المحاضرات	conferencias	مُحَاضِرَة	conferencia	N;NOM;DEF;PL	N;FEM;PL
المحاضرات	charlas	مُحَاضِرَة	charla	N;NOM;DEF;PL	N;FEM;PL
شريك	compañero	شَرِيك	compañero	N;NOM;INDF;SG	N;MASC;SG
شريك	pareja	شَرِيك	pareja	N;NOM;INDF;SG	N;FEM;SG
شريك	socio	شَرِيك	socio	N;NOM;INDF;SG	N;MASC;SG
شريك	partner	شَرِيك	partner	N;NOM;INDF;SG	N;MASC;SG
شريك	socia	شَرِيك	socia	N;NOM;INDF;SG	N;FEM;SG
المفاتيح	keys	مُفَاتِيح	key	N;NOM;DEF;PL	N
المفاتيح	teclas	مُفَاتِيح	tecla	N;NOM;DEF;PL	N;FEM;PL
المفاتيح	llaves	مُفَاتِيح	llave	N;NOM;DEF;PL	N;FEM;PL
المفاتيح	cayos	مُفَاتِيح	cayo	N;NOM;DEF;PL	N;MASC;PL
المفاتيح	claves	مُفَاتِيح	clave	N;NOM;DEF;PL	N;FEM;PL
عنيفة	violento	عَنِيف	violento	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
عنيفة	violenta	عَنِيف	violento	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
مستشفيات	hospitales	مُستَشفَى	hospital	N;NOM;INDF;PL	N;MASC;PL
عانى	sufrió	عَانَى	sufrir	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PST;FIN
السادة	caballeros	سَيِّد	caballero	N;NOM;DEF;PL	N;MASC;PL
السادة	señores	سَيِّد	señor	N;NOM;DEF;PL	N;MASC;PL
استفتاء	referéndum	اِستِفتَاء	referéndum	N;NOM;INDF;SG	N;MASC;SG
استفتاء	plebiscito	اِستِفتَاء	plebiscito	N;NOM;INDF;SG	N;MASC;SG
استفتاء	referendo	اِستِفتَاء	referendo	N;NOM;INDF;SG	N;MASC;SG
سمات	atributos	سِمَّة	atributo	N;NOM;INDF;PL	N;MASC;PL
سمات	características	سِمَّة	característica	N;NOM;INDF;PL	N;FEM;PL
سمات	rasgos	سِمَّة	rasgo	N;NOM;INDF;PL	N;MASC;PL
سمات	caracteristicas	سِمَّة	caracteristica	N;NOM;INDF;PL	N;FEM;PL
سمات	funciones	سِمَّة	función	N;NOM;INDF;PL	N;FEM;PL
مشروعات	proyectos	مَشرُوع	proyecto	N;NOM;INDF;PL	N;MASC;PL
مشروعات	projects	مَشرُوع	project	N;NOM;INDF;PL	N
الصليبيين	cruzados	صَلِيبِيّ	cruzado	ADJ;NOM;DEF;MASC;PL	ADJ;MASC;PL;V.PTCP
فتحت	abrió	فَتَح	abrir	V;PFV;FEM;SG;3;ACT	V;IND;SG;3;PST;FIN
صحي	sano	صِحِّيّ	sano	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
صحي	saludable	صِحِّيّ	saludable	ADJ;NOM;INDF;MASC;SG	ADJ;SG
صحي	sana	صِحِّيّ	sano	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
المشاعر	emociones	مَشعَر	emoción	N;NOM;DEF;PL	N;FEM;PL
المشاعر	sentimientos	مَشعَر	sentimiento	N;NOM;DEF;PL	N;MASC;PL
اختراق	infracción	اِختِرَاق	infracción	N;NOM;INDF;SG	N;FEM;SG
اختراق	incumplimiento	اِختِرَاق	incumplimiento	N;NOM;INDF;SG	N;MASC;SG
اختراق	brecha	اِختِرَاق	brecha	N;NOM;INDF;SG	N;FEM;SG
اختراق	piercing	اِختِرَاق	piercing	N;NOM;INDF;SG	N;MASC;SG
اختراق	hack	اِختِرَاق	hack	N;NOM;INDF;SG	N;MASC;SG
يتفق	acuerda	اِتَّفَق	acordar	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
عصبي	nerviosa	عصبي	nervioso	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG
عصبي	nervioso	عصبي	nervioso	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG
شق	incisión	شَقّ	incisión	N;NOM;INDF;SG	N;FEM;SG
شق	grieta	شَقّ	grieta	N;NOM;INDF;SG	N;FEM;SG
شق	crack	شَقّ	crack	N;NOM;INDF;SG	N;MASC;SG
حدد	especifica	حَدَّد	especificar	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PRS;FIN
حدد	especifique	حَدَّد	especificar	V;PFV;MASC;SG;3;ACT	V;IMP;SG;3;FIN
حدد	precisar	حَدَّد	precisar	V;PFV;MASC;SG;3;ACT	V;NFIN
حدد	especificar	حَدَّد	especificar	V;PFV;MASC;SG;3;ACT	V;NFIN
حدد	seleccione	حَدَّد	seleccionar	V;PFV;MASC;SG;3;ACT	V;IMP;SG;3;FIN
حدد	seleccionar	حَدَّد	seleccionar	V;PFV;MASC;SG;3;ACT	V;NFIN
حدد	selecciona	حَدَّد	seleccionar	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PRS;FIN
الكرامة	dignidad	كَرَامَة	dignidad	N;NOM;DEF;SG	N;FEM;SG
الكتف	hombro	كِتف	hombro	N;NOM;DEF;SG	N;MASC;SG
معترف	reconocido	مُعتَرَف	reconocido	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
معترف	reconocida	مُعتَرَف	reconocido	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
جزئي	parcial	جُزئِيّ	parcial	ADJ;NOM;INDF;MASC;SG	ADJ;SG
الفقرات	párrafos	فَقرَة	párrafo	N;NOM;DEF;PL	N;MASC;PL
ربحية	rentabilidad	رِبحِيّ	rentabilidad	N;NOM;INDF;SG	N;FEM;SG
دجلة	tigris	دِجلَة	tigri	N;NOM;INDF;SG	N;MASC;SG
هدم	derribo	هَدم	derribo	N;NOM;INDF;SG	N;MASC;SG
هدم	demolición	هَدم	demolición	N;NOM;INDF;SG	N;FEM;SG
