yang	que	yang	que	PRO	PRO;MASC;SG
kabupaten	distrito	kabupaten	distrito	N;SG	N;MASC;SG
kumbang	joaninha	kumbang	joaninha	N	N;FEM;SG
kumbang	besouro	kumbang	besouro	N	N;MASC;SG
kumbang	escaravelho	kumbang	escaravelho	N	N;MASC;SG
kumbang	besouros	kumbang	besouro	N	N;MASC;PL
kumbang	fusca	kumbang	fusca	N	N;MASC;SG
lalat	fly	lalat	fly	N;SG	N;MASC;SG
lalat	mosca	lalat	mosco	N;SG	N;FEM;SG
genus	género	genus	género	N	N;MASC;SG
genus	gênero	genus	gênero	N	N;MASC;SG
ordo	ordo	ordo	ordo	N	N;MASC;SG
isi	teor	isi	teor	N;SG	N;MASC;SG
isi	conteúdo	isi	conteúdo	N;SG	N;MASC;SG
isi	conteúdo	isi	conteúdo	N;SG	N;MASC;SG
isi	preenchimento	isi	preenchimento	N;SG	N;MASC;SG
daftar	lista	daftar	lista	N;SG	N;FEM;SG
baru	novo	baru	novo	ADJ;SG	ADJ;MASC;SG
baru	nova	baru	novo	ADJ;SG	ADJ;FEM;SG
antara	entre	antara	entre	ADP	ADP
barat	west	barat	west	N;SG	N;MASC;SG
barat	ocidente	barat	ocidente	N;SG	N;MASC;SG
barat	oeste	barat	oeste	N;SG	N;MASC;SG
barat	barat	barat	barat	N;SG	N;FEM;SG
barat	ocidental	barat	ocidental	N;SG	N;FEM;SG
barat	western	barat	western	N;SG	N;MASC;SG
barat	oeste	barat	oeste	N;SG	N;MASC;SG
wilayah	area	wilayah	area	N;SG	N;FEM;SG
wilayah	área	wilayah	área	N;SG	N;FEM;SG
wilayah	região	wilayah	região	N;SG	N;FEM;SG
wilayah	território	wilayah	território	N;SG	N;MASC;SG
tanggal	data	tanggal	data	N;SG;ACT	N;FEM;SG
dunia	world	dunia	world	N;SG	N;MASC;SG
dunia	mundo	dunia	mundo	N;SG	N;MASC;SG
dunia	dunia	dunia	dunia	N;SG	N;FEM;SG
timur	oriente	timur	oriente	N;SG	N;MASC;SG
timur	leste	timur	leste	N;SG	N;MASC;SG
timur	east	timur	east	N;SG	N;MASC;SG
timur	timur	timur	timur	N;SG	N;MASC;SG
timur	leste	timur	leste	N;SG	N;MASC;SG
timur	eastern	timur	eastern	N;SG	N;MASC;SG
tempat	lugar	tempat	lugar	N;SG	N;MASC;SG
tempat	place	tempat	place	N;SG	N;MASC;SG
tempat	local	tempat	local	N;SG	N;MASC;SG
tempat	sítio	tempat	sítio	N;SG	N;MASC;SG
dua	duas	dua	dois	NUM	NUM
dua	dois	dua	dois	NUM	NUM
selatan	sul	selatan	sul	N;SG	N;MASC;SG
selatan	southern	selatan	southern	N;SG	N;MASC;SG
selatan	selatan	selatan	selatan	N;SG	N;MASC;SG
selatan	sul	selatan	sul	N;SG	N;MASC;SG
selatan	south	selatan	south	N;SG	N;MASC;SG
animalia	animalia	animalia	animalia	N	N;MASC;SG
filum	filo	filum	filo	N;SG	N;MASC;SG
september	setembro	september	setembro	N;SG	N;MASC;SG
anak	anak	anak	anak	N;SG	N;MASC;SG
anak	son	anak	son	N;SG	N;MASC;SG
anak	filho	anak	filho	N;SG	N;MASC;SG
anak	criança	anak	criança	N;SG	N;FEM;SG
species	espécies	species	espécie	N	N;FEM;PL
species	espécie	species	espécie	N	N;FEM;SG
hidup	vida	hidup	vida	N;SG	N;FEM;SG
hidup	life	hidup	life	N;SG	N;MASC;SG
hidup	viva	hidup	vivo	N;SG	N;FEM;SG
hidup	vivo	hidup	vivo	N;SG	N;MASC;SG
hidup	alive	hidup	alive	N;SG	N;MASC;SG
lagu	canção	lagu	canção	N;SG	N;FEM;SG
lagu	song	lagu	song	N;SG	N;MASC;SG
lagu	songs	lagu	song	N;SG	N;MASC;SG
daerah	distrito	daerah	distrito	N;SG	N;MASC;SG
daerah	area	daerah	area	N;SG	N;FEM;SG
daerah	área	daerah	área	N;SG	N;FEM;SG
daerah	região	daerah	região	N;SG	N;FEM;SG
daerah	condado	daerah	condar	N;SG	N;MASC;SG
daerah	seção	daerah	seção	N;SG	N;FEM;SG
daerah	secção	daerah	secção	N;SG	N;FEM;SG
sekolah	escola	sekolah	escola	N;SG	N;FEM;SG
sekolah	escolarização	sekolah	escolarização	N;SG	N;FEM;SG
sekolah	escolaridade	sekolah	escolaridade	N;SG	N;FEM;SG
hanya	só	hanya	só	ADV	ADV
hanya	apenas	hanya	apenas	ADV	ADV
hanya	somente	hanya	somente	ADV	ADV
hanya	unicamente	hanya	unicamente	ADV	ADV
hanya	só	hanya	só	ADV	ADV
hanya	apenas	hanya	apenas	ADV	ADV
air	agua	air	agua	N;SG	N;FEM;SG
air	água	air	água	N;SG	N;FEM;SG
air	ar	air	ar	N;SG	N;MASC;SG
air	air	air	air	N;SG	N;MASC;SG
terletak	localizada	terletak	localizar	V;SG;PASS	V;FEM;SG;V.PTCP
terletak	localizado	terletak	localizar	V;SG;PASS	V;MASC;SG;V.PTCP
terletak	situado	terletak	situar	V;SG;PASS	V;MASC;SG;V.PTCP
hari	dia	hari	dia	N;SG	N;MASC;SG
digunakan	utilizada	digunakan	utilizar	V;SG;PASS	V;FEM;SG;V.PTCP
digunakan	usada	digunakan	usar	V;SG;PASS	V;FEM;SG;V.PTCP
digunakan	usado	digunakan	usar	V;SG;PASS	V;MASC;SG;V.PTCP
digunakan	utilizado	digunakan	utilizar	V;SG;PASS	V;MASC;SG;V.PTCP
kali	kali	kali	kali	N;SG	N;FEM;SG
kali	hora	kali	hora	N;SG	N;FEM;SG
kali	horário	kali	horário	N;SG	N;MASC;SG
kali	tempo	kali	tempo	N;SG	N;MASC;SG
kali	time	kali	time	N;SG	N;MASC;SG
sangat	muito	sangat	muito	ADV	ADV
sangat	fortemente	sangat	fortemente	ADV	ADV
sangat	extremamente	sangat	extremamente	ADV	ADV
album	álbum	album	álbum	N;SG	N;MASC;SG
album	album	album	album	N;SG	N;MASC;SG
hal	coisa	hal	coisa	N;SG	N;FEM;SG
hal	hai	hal	hai	N;SG	N;MASC;SG
hal	hal	hal	hal	N;SG	N;MASC;SG
panjang	longa	panjang	longo	ADJ;SG	ADJ;FEM;SG
anggota	membro	anggota	membro	N;SG	N;MASC;SG
selama	durante	selama	durante	ADP	ADP
sejak	desde	sejak	desde	ADP	ADP
lainnya	more	lainnya	more	N	N;MASC;SG
menggunakan	utilizar	mengunakan	utilizar	V;SG;ACT	V;NFIN
menggunakan	usar	mengunakan	usar	V;SG;ACT	V;NFIN
menggunakan	usando	mengunakan	usar	V;SG;ACT	V;V.MSDR
menggunakan	utilizando	mengunakan	utilizar	V;SG;ACT	V;V.MSDR
menggunakan	usar	mengunakan	usar	V;SG;ACT	V;NFIN
menggunakan	use	mengunakan	usar	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
menggunakan	utilizar	mengunakan	utilizar	V;SG;ACT	V;NFIN
menggunakan	usa	mengunakan	usar	V;SG;ACT	V;IND;SG;3;PRS;FIN
berasal	originado	berasal	originar	V;SG;ACT	V;MASC;SG;V.PTCP
berasal	originou	berasal	originar	V;SG;ACT	V;IND;SG;3;PST;FIN
utama	principal	utama	principal	ADJ;SG	ADJ;MASC;SG
disebut	mencionado	disebut	mencionar	V;SG;PASS	V;MASC;SG;V.PTCP
disebut	mencionou	disebut	mencionar	V;SG;PASS	V;IND;SG;3;PST;FIN
disebut	mencionada	disebut	mencionar	V;SG;PASS	V;FEM;SG;V.PTCP
disebut	chamou	disebut	chamar	V;SG;PASS	V;IND;SG;3;PST;FIN
disebut	chamada	disebut	chamar	V;SG;PASS	V;FEM;SG;V.PTCP
disebut	chamado	disebut	chamar	V;SG;PASS	V;MASC;SG;V.PTCP
kembali	retornar	kembali	retornar	V;SG;ACT	V;NFIN
kembali	voltar	kembali	voltar	V;SG;ACT	V;NFIN
sudah	já	sudah	já	ADV;SG;ACT	ADV
menyebabkan	causando	mensebabkan	causar	V;SG;ACT	V;V.MSDR
menyebabkan	causar	mensebabkan	causar	V;SG;ACT	V;NFIN
menyebabkan	provocando	mensebabkan	provocar	V;SG;ACT	V;V.MSDR
menyebabkan	cause	mensebabkan	cause	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
masih	ainda	masih	ainda	ADV	ADV
lihat	veja	lihat	ver	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
lihat	vê	lihat	ver	V;SG;ACT	V;IND;SG;3;PRS;FIN
lihat	ver	lihat	ver	V;SG;ACT	V;NFIN
lihat	olhe	lihat	olhar	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
lihat	olha	lihat	olhar	V;SG;ACT	V;IND;SG;3;PRS;FIN
lihat	ver	lihat	ver	V;SG;ACT	V;NFIN
lihat	visualizar	lihat	visualizar	V;SG;ACT	V;NFIN
tinggi	superior	tinggi	alto	ADJ;SG	ADJ;MASC;SG
waktu	hora	waktu	hora	N;SG	N;FEM;SG
waktu	horário	waktu	horário	N;SG	N;MASC;SG
waktu	tempo	waktu	tempo	N;SG	N;MASC;SG
waktu	time	waktu	time	N;SG	N;MASC;SG
jenis	tipo	jenis	tipo	N;SG	N;MASC;SG
jenis	type	jenis	type	N;SG	N;MASC;SG
jenis	tipo	jenis	tipo	N;SG	N;MASC;SG
jakarta	jacarta	jakarta	jacarta	N;SG	N;FEM;SG
bulan	lua	bulan	lua	N;SG	N;FEM;SG
bulan	moon	bulan	moon	N;SG	N;MASC;SG
bulan	mês	bulan	mês	N;SG	N;MASC;SG
departemen	departamento	departemen	departamento	N;SG	N;MASC;SG
situs	sítio	situs	sítio	N;SG	N;MASC;SG
situs	site	situs	site	N;SG	N;MASC;SG
dikenal	reconhecido	dikenal	reconhecer	V;SG;PASS	V;MASC;SG;V.PTCP
dikenal	reconheci	dikenal	reconhecer	V;SG;PASS	V;IND;SG;1;PST;FIN
dikenal	reconhecida	dikenal	reconhecer	V;SG;PASS	V;FEM;SG;V.PTCP
dikenal	reconhecido	dikenal	reconhecer	V;SG;PASS	V;MASC;SG;V.PTCP
dikenal	reconhecida	dikenal	reconhecer	V;SG;PASS	V;FEM;SG;V.PTCP
laba	lucro	laba	lucro	N;SG	N;MASC;SG
laba	spider	laba	spider	N;SG	N;MASC;SG
laba	aranha	laba	aranhar	N;SG	N;FEM;SG
membuat	crie	menbuat	criar	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
membuat	criar	menbuat	criar	V;SG;ACT	V;NFIN
membuat	cria	menbuat	criar	V;SG;ACT	V;IND;SG;3;PRS;FIN
membuat	criando	menbuat	criar	V;SG;ACT	V;V.MSDR
membuat	criar	menbuat	criar	V;SG;ACT	V;NFIN
membuat	faça	menbuat	fazer	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
mulai	comece	mulai	começar	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
mulai	iniciar	mulai	iniciar	V;SG;ACT	V;NFIN
mulai	começa	mulai	começar	V;SG;ACT	V;IND;SG;3;PRS;FIN
mulai	começar	mulai	começar	V;SG;ACT	V;NFIN
mulai	começar	mulai	começar	V;SG;ACT	V;NFIN
mulai	comece	mulai	começar	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
mulai	começando	mulai	começar	V;SG;ACT	V;V.MSDR
mulai	iniciando	mulai	iniciar	V;SG;ACT	V;V.MSDR
resmi	oficial	resmi	oficial	ADJ;SG	ADJ;MASC;SG
sekitar	sobre	sekitar	sobre	ADP	ADP
udara	antena	udara	antena	N;SG	N;FEM;SG
udara	aéreo	udara	aéreo	N;SG	N;MASC;SG
udara	aérea	udara	aéreo	N;SG	N;FEM;SG
udara	ar	udara	ar	N;SG	N;MASC;SG
udara	air	udara	air	N;SG	N;MASC;SG
nasional	nacional	nasional	nacional	ADJ;SG	ADJ;MASC;SG
sekarang	agora	sekarang	agora	ADV	ADV
perang	guerra	perang	guerra	N;SG	N;FEM;SG
perang	war	perang	war	N;SG	N;MASC;SG
perang	wars	perang	war	N;SG	N;MASC;SG
tentang	sobre	tentang	sobre	ADP;SG;ACT	ADP
pulau	pulau	pulau	pular	N;SG	N;MASC;SG
pulau	ilha	pulau	ilha	N;SG	N;FEM;SG
rumah	home	rumah	home	N;SG	N;MASC;SG
rumah	casa	rumah	casa	N;SG	N;FEM;SG
rumah	lar	rumah	lar	N;SG	N;MASC;SG
rumah	casa	rumah	casa	N;SG	N;FEM;SG
pendidikan	educação	pendidikan	educação	N;SG	N;FEM;SG
pendidikan	educação	pendidikan	educação	N;SG	N;FEM;SG
pendidikan	ensino	pendidikan	ensino	N;SG	N;MASC;SG
laut	marinha	laut	marinho	N;SG	N;FEM;SG
laut	marine	laut	marine	N;SG	N;MASC;SG
laut	marinho	laut	marinho	N;SG	N;MASC;SG
laut	mar	laut	mar	N;SG	N;MASC;SG
laut	oceano	laut	oceano	N;SG	N;MASC;SG
tim	tim	tim	tim	N;SG	N;MASC;SG
tim	team	tim	team	N;SG	N;MASC;SG
tim	equipa	tim	equipa	N;SG	N;FEM;SG
tim	time	tim	time	N;SG	N;MASC;SG
tim	equipe	tim	equipe	N;SG	N;FEM;SG
sistem	system	sistem	syetir	N;SG	N;MASC;SG
sistem	sistema	sistem	sistema	N;SG	N;MASC;SG
komune	municípios	komune	município	N	N;MASC;PL
komune	comunas	komune	comuna	N	N;FEM;PL
termasuk	incluído	termasuk	incluir	V	V;MASC;SG;V.PTCP
termasuk	incluídas	termasuk	incluir	V	V;FEM;PL;V.PTCP
termasuk	incluso	termasuk	incluso	V	V;MASC;SG;V.PTCP
termasuk	incluido	termasuk	incluir	V	V;MASC;SG;V.PTCP
termasuk	incluídos	termasuk	incluir	V	V;MASC;PL;V.PTCP
termasuk	incluindo	termasuk	incluir	V	V;V.MSDR
termasuk	inclua	termasuk	incluar	V	V;SBJV;SG;3;PRS;FIN
termasuk	inclui	termasuk	incluir	V	V;IND;SG;3;PRS;FIN
termasuk	incluem	termasuk	incluir	V	V;IND;PL;3;PRS;FIN
termasuk	incluir	termasuk	incluir	V	V;NFIN
termasuk	inclui	termasuk	incluir	V	V;IND;SG;3;PRS;FIN
semua	todas	semua	todo	DET	DET;FEM;PL
larva	larval	larva	larval	N	N;MASC;SG
larva	larva	larva	larva	N	N;FEM;SG
larva	larvas	larva	larva	N	N;FEM;PL
larva	larva	larva	larva	N	N;FEM;SG
larva	larva	larva	larva	N	N;FEM;SG
terhadap	contra	terhadap	contra	ADP	ADP
batang	barra	batang	barra	N;SG	N;FEM;SG
batang	bar	batang	bar	N;SG	N;MASC;SG
batang	caule	batang	caule	N;SG	N;MASC;SG
sendiri	sozinho	sendiri	sozinho	ADJ;SG	ADJ;MASC;SG
sendiri	próprio	sendiri	próprio	ADJ;SG	ADJ;MASC;SG
matahari	sun	matahari	sun	N;SG	N;MASC;SG
matahari	sol	matahari	sol	N;SG	N;MASC;SG
presiden	presidente	presiden	presidente	N;SG	N;MASC;SG
masyarakat	comunidade	masyarakat	comunidade	N;SG	N;FEM;SG
masyarakat	society	masyarakat	society	N;SG	N;MASC;SG
masyarakat	sociedade	masyarakat	sociedade	N;SG	N;FEM;SG
pernah	nunca	pernah	nunca	ADV	ADV
pernah	nunca	pernah	nunca	ADV	ADV
tiga	tres	tiga	tres	NUM	NUM
tiga	três	tiga	três	NUM	NUM
jalan	rodoviário	jalan	rodoviário	N;SG;ACT	N;MASC;SG
jalan	estrada	jalan	estrada	N;SG;ACT	N;FEM;SG
jalan	road	jalan	road	N;SG;ACT	N;MASC;SG
musik	music	musik	music	N;SG	N;MASC;SG
musik	música	musik	música	N;SG	N;FEM;SG
musik	musica	musik	musica	N;SG	N;FEM;SG
planet	planet	planet	planet	N;SG	N;MASC;SG
planet	planeta	planet	planeta	N;SG	N;MASC;SG
kerusakan	avaria	kerusakan	avaria	N;SG	N;FEM;SG
kerusakan	devastação	kerusakan	devastação	N;SG	N;FEM;SG
kerusakan	dano	kerusakan	dano	N;SG	N;MASC;SG
kerusakan	estrago	kerusakan	estrago	N;SG	N;MASC;SG
kerusakan	dano	kerusakan	dano	N;SG	N;MASC;SG
kerusakan	indemnização	kerusakan	indemnização	N;SG	N;FEM;SG
diakses	acedido	diakses	aceder	V;SG;PASS	V;MASC;SG;V.PTCP
diakses	acessado	diakses	acessar	V;SG;PASS	V;MASC;SG;V.PTCP
kecil	pequeno	kecil	pequeno	ADJ;SG	ADJ;MASC;SG
kecil	pequena	kecil	pequeno	ADJ;SG	ADJ;FEM;SG
kecil	pequeno	kecil	pequeno	ADJ;SG	ADJ;MASC;SG
kecil	pequena	kecil	pequeno	ADJ;SG	ADJ;FEM;SG
kecil	menor	kecil	pequeno	ADJ;SG	ADJ;MASC;SG
menteri	secretária	menteri	secretária	N;SG	N;FEM;SG
menteri	secretário	menteri	secretário	N;SG	N;MASC;SG
menteri	ministro	menteri	ministro	N;SG	N;MASC;SG
menteri	ministra	menteri	ministra	N;SG	N;FEM;SG
lagi	novamente	lagi	novamente	ADV	ADV
lagi	mais	lagi	mais	ADV	ADV
jumlah	soma	jumlah	soma	N;SG	N;FEM;SG
jumlah	sum	jumlah	sum	N;SG	N;MASC;SG
jumlah	somatório	jumlah	somatório	N;SG	N;MASC;SG
jumlah	quantia	jumlah	quantia	N;SG	N;FEM;SG
jumlah	quantidade	jumlah	quantidade	N;SG	N;FEM;SG
jumlah	montante	jumlah	montante	N;SG	N;MASC;SG
jumlah	quantidade	jumlah	quantidade	N;SG	N;FEM;SG
kata	said	kata	said	N;SG	N;MASC;SG
kata	word	kata	word	N;SG	N;MASC;SG
kata	palavra	kata	palavra	N;SG	N;FEM;SG
kata	kata	kata	kata	N;SG	N;MASC;SG
penduduk	morador	penduduk	morador	N;SG	N;MASC;SG
penduduk	população	penduduk	população	N;SG	N;FEM;SG
bawah	fundo	bawah	fundo	N;SG	N;MASC;SG
bawah	bottom	bawah	bottom	N;SG	N;MASC;SG
terjadi	aconteceu	terjadi	acontecer	V;SG;PASS	V;IND;SG;3;PST;FIN
data	data	data	data	N;SG	N;FEM;SG
terdiri	composta	terdiri	compor	V;SG;PASS	V;FEM;SG;V.PTCP
terdiri	consiste	terdiri	consistir	V;SG;PASS	V;IND;SG;3;PRS;FIN
terdiri	consistir	terdiri	consistir	V;SG;PASS	V;NFIN
terdiri	consistindo	terdiri	consistir	V;SG;PASS	V;V.MSDR
artikel	artigo	artikel	artigo	N;SG	N;MASC;SG
tanduk	chifres	tanduk	chifre	N	N;MASC;PL
tanduk	hastes	tanduk	haste	N	N;FEM;PL
tanduk	cornos	tanduk	corno	N	N;MASC;PL
tanduk	chifres	tanduk	chifre	N	N;MASC;PL
tanduk	corno	tanduk	corno	N	N;MASC;SG
tanduk	horn	tanduk	horn	N	N;MASC;SG
tanduk	chifre	tanduk	chifre	N	N;MASC;SG
tanduk	buzina	tanduk	buzina	N	N;FEM;SG
karya	works	karya	work	N;SG	N;MASC;SG
tanah	land	tanah	land	N;SG	N;MASC;SG
tanah	terra	tanah	terra	N;SG	N;FEM;SG
tanah	solo	tanah	solo	N;SG	N;MASC;SG
tanah	tanah	tanah	tanah	N;SG	N;MASC;SG
tanah	ground	tanah	ground	N;SG	N;MASC;SG
tanah	terreno	tanah	terreno	N;SG	N;MASC;SG
jpg	jpg	jpg	jpg	N	N;MASC;SG
abad	abad	abad	abad	N;SG	N;MASC;SG
abad	século	abad	século	N;SG	N;MASC;SG
abad	century	abad	century	N;SG	N;MASC;SG
perusahaan	corporation	perusahaan	corporation	N;SG	N;MASC;SG
perusahaan	corporação	perusahaan	corporação	N;SG	N;FEM;SG
perusahaan	empresa	perusahaan	empresa	N;SG	N;FEM;SG
perusahaan	company	perusahaan	company	N;SG	N;MASC;SG
perusahaan	companhia	perusahaan	companhia	N;SG	N;FEM;SG
perusahaan	patronato	perusahaan	patronato	N;SG	N;MASC;SG
perusahaan	empregador	perusahaan	empregador	N;SG	N;MASC;SG
perusahaan	patronal	perusahaan	patronal	N;SG	N;MASC;SG
style	style	style	style	N	N;MASC;SG
style	estilo	style	estilo	N	N;MASC;SG
januari	janeiro	januari	janeiro	N;SG	N;MASC;SG
maret	march	maret	march	N;SG	N;MASC;SG
maret	marcha	maret	marcha	N;SG	N;FEM;SG
maret	março	maret	março	N;SG	N;MASC;SG
musim	temporada	musim	temporada	N;SG	N;FEM;SG
musim	época	musim	época	N;SG	N;FEM;SG
musim	seasons	musim	seasom	N;SG	N;MASC;SG
bola	esfera	bola	esfera	N;SG	N;FEM;SG
bola	bola	bola	bola	N;SG	N;FEM;SG
bola	ball	bola	ball	N;SG	N;MASC;SG
pemerintah	governo	penperintah	governo	N;SG	N;MASC;SG
setiap	cada	setiap	cada	DET	DET;FEM;SG
setiap	cada	setiap	cada	DET	DET;FEM;SG
juni	juni	juni	juni	N;SG	N;MASC;SG
juni	june	juni	june	N;SG	N;FEM;SG
juni	junho	juni	junho	N;SG	N;MASC;SG
muda	jovem	muda	jovem	ADJ;SG	ADJ;MASC;SG
desember	dezembro	desember	dezembro	N;SG	N;MASC;SG
desember	dezembro	desember	dezembro	N;SG	N;MASC;SG
bidang	fields	bidang	field	N;SG	N;MASC;SG
bidang	field	bidang	field	N;SG	N;MASC;SG
bidang	campo	bidang	campo	N;SG	N;MASC;SG
kepala	head	kepala	head	N;SG	N;MASC;SG
kepala	cabeça	kepala	cabeça	N;SG	N;FEM;SG
kepala	chief	kepala	chief	N;SG	N;MASC;SG
kepala	chefe	kepala	chefe	N;SG	N;MASC;SG
kepala	alcaide	kepala	alcaide	N;SG	N;MASC;SG
melakukan	fazendo	menlakukan	fazer	V;SG;ACT	V;V.MSDR
pusat	central	pusat	central	N;SG	N;FEM;SG
pusat	centro	pusat	centro	N;SG	N;MASC;SG
pusat	center	pusat	center	N;SG	N;MASC;SG
pusat	centro	pusat	centro	N;SG	N;MASC;SG
pusat	centre	pusat	centre	N;SG	N;MASC;SG
agustus	augusto	agustus	augusto	N;SG	N;MASC;SG
agustus	august	agustus	august	N;SG	N;MASC;SG
agustus	agosto	agustus	agosto	N;SG	N;MASC;SG
agustus	ago	agustus	ago	N;SG	N;MASC;SG
agustus	agosto	agustus	agosto	N;SG	N;MASC;SG
international	international	international	international	N	N;MASC;SG
internasional	internacional	internasional	internacional	ADJ;SG	ADJ;MASC;SG
internasional	intercultural	internasional	intercultural	ADJ;SG	ADJ;MASC;SG
sumber	fonte	sumber	fonte	N;SG	N;FEM;SG
sumber	origem	sumber	origem	N;SG	N;FEM;SG
manusia	human	manusia	human	N;SG	N;MASC;SG
manusia	man	manusia	man	N;SG	N;MASC;SG
manusia	pá	manusia	pá	N;SG	N;FEM;SG
manusia	cara	manusia	cara	N;SG	N;FEM;SG
manusia	homem	manusia	homem	N;SG	N;MASC;SG
sejarah	historia	sejarah	historia	N;SG	N;FEM;SG
sejarah	história	sejarah	história	N;SG	N;FEM;SG
gereja	igreja	gereja	igreja	N;SG	N;FEM;SG
dasar	básico	dasar	básico	ADJ;SG	ADJ;MASC;SG
dasar	básico	dasar	básico	ADJ;SG	ADJ;MASC;SG
