van	من	van	مِن	ADP	ADP
kan	يستطيع	kunnen	اِستَطَاع	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
kan	يمكن	kunnen	أَمكَن	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
jaar	عام	jaar	عَام	N;NEUT;SG	N;NOM;INDF;SG
jaar	العام	jaar	عَام	N;NEUT;SG	N;NOM;DEF;SG
jaar	السنه	jaar	سَنه	N;NEUT;SG	N;NOM;DEF;SG
jaar	سنة	jaar	سَنَة	N;NEUT;SG	N;NOM;INDF;SG
jaar	سنه	jaar	سنه	N;NEUT;SG	N;NOM;INDF;SG
jaar	السنة	jaar	سَنَة	N;NEUT;SG	N;NOM;DEF;SG
twee	اثنين	twee	اِثنَان	NUM	NUM;NOM;INDF;MASC
twee	اثنتان	twee	اِثنَان	NUM	NUM;NOM;INDF;FEM
inwoners	السكان	inwoner	سَاكِن	N;PL	N;NOM;DEF;PL
inwoners	المقيمون	inwoner	مُقَيَّم	N;PL	N;NOM;DEF;PL
deel	جزء	deel	جُزء	N;NEUT;SG	N;NOM;INDF;SG
deel	الجزء	deel	جُزء	N;NEUT;SG	N;NOM;DEF;SG
deel	مشاركة	deel	مُشَارَكَة	N;NEUT;SG	N;NOM;INDF;SG
deel	المشاركة	deel	مُشَارَكَة	N;NEUT;SG	N;NOM;DEF;SG
deel	حصة	deel	حِصَّة	N;NEUT;SG	N;NOM;INDF;SG
deel	نصيب	deel	نَصِيب	N;NEUT;SG	N;NOM;INDF;SG
externe	خارجي	extern	خَارِجِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
overleg	التشاور	overleg	تَشَاوُر	N;NEUT;SG	N;NOM;DEF;SG
overleg	مشاورة	overleg	مُشَاوَرَة	N;NEUT;SG	N;NOM;INDF;SG
overleg	استشارة	overleg	اِستِشَارَة	N;NEUT;SG	N;NOM;INDF;SG
overleg	الاستشارة	overleg	اِستِشَارَة	N;NEUT;SG	N;NOM;DEF;SG
tussen	بين	tussen	بَينَ	ADP	ADP;ACC
komt	ياتي	komen	ياتي	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
tegen	ضد	tegen	ضِدَّ	ADP	ADP;ACC
tweede	ثانيا	twee	ثَانِي	ADJ	ADJ;ACC;INDF;MASC;SG
tweede	الثاني	twee	ثَانِي	ADJ	ADJ;NOM;DEF;MASC;SG
tweede	الثانية	twee	ثَانِي	ADJ	ADJ;NOM;DEF;FEM;SG
zie	ترى	zien	رَأَى	V;SG;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
tijdens	اثناء	tijdens	أَثنَاءَ	ADP	ADP;ACC
tijdens	خلال	tijdens	خِلَالَ	ADP	ADP;ACC
geslacht	جنس	geslacht	جنس	N;NEUT;SG	N;NOM;INDF;SG
geslacht	الجنس	geslacht	جِنس	N;NEUT;SG	N;NOM;DEF;SG
grote	كبيرة	groot	كَبِير	ADJ	ADJ;NOM;INDF;FEM;SG
grote	الكبير	groot	كَبِير	ADJ	ADJ;NOM;DEF;MASC;SG
grote	كبيرة	groot	كَبِير	ADJ	ADJ;NOM;INDF;FEM;SG
grote	كبير	groot	كَبِير	ADJ	ADJ;NOM;INDF;MASC;SG
bar	الحانة	bar	حَانَة	N;MASC+FEM;SG	N;NOM;DEF;SG
bar	حانة	bar	حَانَة	N;MASC+FEM;SG	N;NOM;INDF;SG
bar	شريط	bar	شَرِيط	N;MASC+FEM;SG	N;NOM;INDF;SG
bar	البار	bar	بَار	N;MASC+FEM;SG	N;NOM;DEF;SG
aantal	عدد	aantal	عَدَد	N;NEUT;SG	N;NOM;INDF;SG
aantal	العدد	aantal	عَدَد	N;NEUT;SG	N;NOM;DEF;SG
aantal	الرقم	aantal	رَقم	N;NEUT;SG	N;NOM;DEF;SG
aantal	رقم	aantal	رَقم	N;NEUT;SG	N;NOM;INDF;SG
nieuwe	جديد	nieuw	جَدِيد	ADJ	ADJ;NOM;INDF;MASC;SG
nieuwe	جديدة	nieuw	جَدِيد	ADJ	ADJ;NOM;INDF;FEM;SG
nieuwe	الجديد	nieuw	جَدِيد	ADJ	ADJ;NOM;DEF;MASC;SG
zij	هي	zij	هُوَ	PRO;NOM;3	PRO;NOM;FEM;SG;3
zij	هم	zij	هُوَ	PRO;NOM;3	PRO;NOM;MASC;PL;3
jaren	السنين	jaar	سَنَة	N;PL	N;NOM;DEF;PL
jaren	اعوام	jaar	عَام	N;PL	N;NOM;INDF;PL
jaren	سنين	jaar	سَنَة	N;PL	N;NOM;INDF;PL
jaren	السنوات	jaar	سَنَة	N;PL	N;NOM;DEF;PL
jaren	سنوات	jaar	سَنَة	N;PL	N;NOM;INDF;PL
later	لاحقا	laat	لَاحِق	ADJ;CMPR	ADJ;ACC;INDF;MASC;SG
later	لاحق	laat	لَاحِق	ADJ;CMPR	ADJ;NOM;INDF;MASC;SG
artikel	مقالة	artikel	مَقَالَة	N;NEUT;SG	N;NOM;INDF;SG
artikel	مقال	artikel	مَقَال	N;NEUT;SG	N;NOM;INDF;SG
artikel	المقالة	artikel	مُقَال	N;NEUT;SG	N;NOM;DEF;SG
artikel	المادة	artikel	مَادَّة	N;NEUT;SG	N;NOM;DEF;SG
via	عبر	via	عَبرَ	ADP	ADP;ACC
gebied	منطقة	gebied	مِنطَقَة	N;NEUT;SG	N;NOM;INDF;SG
gebied	المنطقة	gebied	مِنطَقَة	N;NEUT;SG	N;NOM;DEF;SG
gebied	مساحة	gebied	مِسَاحَة	N;NEUT;SG	N;NOM;INDF;SG
gebied	المساحة	gebied	مِسَاحَة	N;NEUT;SG	N;NOM;DEF;SG
gebied	منطقة	gebied	مِنطَقَة	N;NEUT;SG	N;NOM;INDF;SG
gebied	المنطقة	gebied	مِنطَقَة	N;NEUT;SG	N;NOM;DEF;SG
nederlandse	الهولندي	nederlands	هُولَندِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
nederlandse	الهولندية	nederlands	هُولَندِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
stad	بلدة	stad	بَلدَة	N;MASC+FEM;SG	N;NOM;INDF;SG
stad	المدينة	stad	مَدِينَة	N;MASC+FEM;SG	N;NOM;DEF;SG
stad	البلدة	stad	بَلدَة	N;MASC+FEM;SG	N;NOM;DEF;SG
stad	مدينة	stad	مَدِينَة	N;MASC+FEM;SG	N;NOM;INDF;SG
stad	المدينة	stad	مَدِينَة	N;MASC+FEM;SG	N;NOM;DEF;SG
lijst	قائمة	lijst	قَائِمَة	N;MASC+FEM;SG	N;NOM;INDF;SG
lijst	القائمة	lijst	قَائِمَة	N;MASC+FEM;SG	N;NOM;DEF;SG
hier	هنا	hier	هُنَا	ADV	ADV
jan	يناير	jan	يَنَايِر	N;MASC+FEM;SG	N;GEN;INDF;SG
tijd	وقت	tijd	وَقت	N;MASC+FEM;SG	N;NOM;INDF;SG
tijd	الزمن	tijd	زَمَن	N;MASC+FEM;SG	N;NOM;DEF;SG
tijd	الوقت	tijd	وَقت	N;MASC+FEM;SG	N;NOM;DEF;SG
tijd	زمن	tijd	زَمَن	N;MASC+FEM;SG	N;NOM;INDF;SG
tijd	الزمان	tijd	زَمَان	N;MASC+FEM;SG	N;NOM;DEF;SG
daar	هناك	daar	هُنَاكَ	ADV	ADV
drie	ثلاثة	drie	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
drie	ثلاث	drie	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
vanaf	من	vanaf	مِن	ADP	ADP
kwam	جاء	komen	جَاء	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
provincie	مقاطعة	provincie	مُقَاطَعَة	N;MASC+FEM;SG	N;NOM;INDF;SG
provincie	المحافظة	provincie	مُحَافَظَة	N;MASC+FEM;SG	N;NOM;DEF;SG
provincie	محافظة	provincie	مُحَافَظَة	N;MASC+FEM;SG	N;NOM;INDF;SG
provincie	المقاطعة	provincie	مُقَاطَعَة	N;MASC+FEM;SG	N;NOM;DEF;SG
link	الرابط	link	رَابِط	N;MASC+FEM;SG	N;NOM;DEF;SG
link	وصلة	link	وِصلَة	N;MASC+FEM;SG	N;NOM;INDF;SG
link	ربط	link	رَبط	N;MASC+FEM;SG	N;NOM;INDF;SG
link	رابط	link	رابط	N;MASC+FEM;SG	N;NOM;INDF;SG
gebruikt	استعمل	gebruiken	اِستَعمَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gebruikt	استخدم	gebruiken	اِستَخدَم	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gebruikt	استخدمت	gebruiken	اِستَخدَم	V;V.PTCP	V;PFV;FEM;SG;3;PASS
alleen	فقط	alleen	فَقَط	ADV	ADV
nederlands	الهولندي	nederland	هُولَندِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
nederlands	الهولندية	nederland	هُولَندِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
eeuw	قرن	eeuw	قَرن	N;MASC+FEM;SG	N;NOM;INDF;SG
eeuw	القرن	eeuw	قَرن	N;MASC+FEM;SG	N;NOM;DEF;SG
vlinder	الفراشة	vlinder	فَرَّاشَة	N;MASC+FEM;SG	N;NOM;DEF;SG
vlinder	فراشة	vlinder	فِرَاشَة	N;MASC+FEM;SG	N;NOM;INDF;SG
keversoort	الخنفساء	keversoort	خُنفُسَاء	N;MASC+FEM;SG	N;NOM;DEF;SG
bekend	المعروفة	bekend	مَعرُوف	ADJ	ADJ;NOM;DEF;FEM;SG
bekend	معلوم	bekend	مَعلُوم	ADJ	ADJ;NOM;INDF;MASC;SG
bekend	معروف	bekend	مَعرُوف	ADJ	ADJ;NOM;INDF;MASC;SG
bekend	معروفة	bekend	مَعرُوف	ADJ	ADJ;NOM;INDF;FEM;SG
bekend	المعروف	bekend	مَعرُوف	ADJ	ADJ;NOM;DEF;MASC;SG
club	النادي	club	نَادِي	N;MASC+FEM;SG	N;NOM;DEF;SG
club	ناد	club	نَادِي	N;MASC+FEM;SG	N;NOM;INDF;SG
sinds	منذ	sinds	مُنذُ	ADP	ADP
laatste	الاخيرة	laat	أَخِير	ADJ;RL	ADJ;NOM;DEF;FEM;SG
laatste	اخر	laat	آخَر	ADJ;RL	ADJ;NOM;INDF;MASC;SG
laatste	اخير	laat	أَخِير	ADJ;RL	ADJ;NOM;INDF;MASC;SG
laatste	الاخير	laat	أَخِير	ADJ;RL	ADJ;NOM;DEF;MASC;SG
maakt	يصنع	maken	صَنَع	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
maakt	يجعل	maken	جَعَل	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
maken	جعل	maken	جَعَل	V;NFIN	V;PFV;MASC;SG;3;ACT
maken	صنع	maken	صَنَع	V;NFIN	V;PFV;MASC;SG;3;ACT
maken	يخلق	maken	خَلَق	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
maken	خلق	maken	خَلَق	V;NFIN	V;PFV;MASC;SG;3;ACT
maken	جعل	maken	جَعَل	V;NFIN	V;PFV;MASC;SG;3;ACT
maken	صنع	maken	صَنَع	V;NFIN	V;PFV;MASC;SG;3;ACT
maken	اجعل	maken	أَجعَل	V;NFIN	V;PFV;MASC;SG;3;ACT
maken	اصنع	maken	أَصنَع	V;NFIN	V;PFV;MASC;SG;3;ACT
behoort	ينتمي	behoren	اِنتَمَى	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
amerikaanse	امريكية	amerikaans	أَمرِيكِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
amerikaanse	امريكي	amerikaans	أَمرِيكِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
verschillende	مختلف	verschillend	مُختَلِف	ADJ	ADJ;NOM;INDF;MASC;SG
verschillende	مختلفة	verschillend	مُختَلِف	ADJ	ADJ;NOM;INDF;FEM;SG
verschillende	مختلفا	verschillend	مُختَلِف	ADJ	ADJ;ACC;INDF;MASC;SG
verschillende	مختلفين	verschillend	مُختَلِف	ADJ	ADJ;ACC;INDF;MASC;PL
seizoen	موسم	seizoen	مَوسِم	N;NEUT;SG	N;NOM;INDF;SG
seizoen	الموسم	seizoen	مَوسِم	N;NEUT;SG	N;NOM;DEF;SG
insect	حشرة	insect	حَشرَة	N;NEUT;SG	N;NOM;INDF;SG
insect	الحشرة	insect	حَشرَة	N;NEUT;SG	N;NOM;DEF;SG
insect	علة	insect	عَلَّة	N;NEUT;SG	N;NOM;INDF;SG
film	الفيلم	film	فِيلم	N;MASC+FEM;SG	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;MASC+FEM;SG	N;NOM;INDF;SG
film	الفلم	film	فَلَّم	N;MASC+FEM;SG	N;NOM;DEF;SG
film	الفيلم	film	فِيلم	N;MASC+FEM;SG	N;NOM;DEF;SG
film	فيلم	film	فِيلم	N;MASC+FEM;SG	N;NOM;INDF;SG
franse	فرنسيا	frans	فَرَنسِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
franse	فرنسية	frans	فَرَنسِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
franse	فرنسي	frans	فَرَنسِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
wikipedia	ويكيبيديا	wikipedia	ويكيبيديا	N;MASC+FEM;SG	N;NOM;DEF;SG
land	بلد	land	بَلَد	N;NEUT;SG	N;NOM;INDF;SG
land	البلد	land	بَلَد	N;NEUT;SG	N;NOM;DEF;SG
land	الارض	land	أَرض	N;NEUT;SG	N;NOM;DEF;SG
ging	رحت	gaan	رَحَت	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
kreeg	حصلت	krijgen	حَصَل	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
werk	العمل	werk	عَمَل	N;NEUT;SG	N;NOM;DEF;SG
werk	عمل	werk	عَمَل	N;NEUT;SG	N;NOM;INDF;SG
goed	خير	goed	خَير	ADJ	ADJ;NOM;INDF;MASC;SG
goed	جيد	goed	جَيِّد	ADJ	ADJ;NOM;INDF;MASC;SG
duitse	الالمانية	duits	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
duitse	الالماني	duits	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
duitse	الماني	duits	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
duitse	المانية	duits	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
bestand	ملف	bestand	مِلَفّ	N;NEUT;SG	N;NOM;INDF;SG
bestand	الملف	bestand	مِلَفّ	N;NEUT;SG	N;NOM;DEF;SG
mensen	اشخاص	mens	شَخص	N;PL	N;NOM;INDF;PL
mensen	اناس	mens	اناس	N;PL	N;NOM;INDF;PL
mensen	الاشخاص	mens	شَخص	N;PL	N;NOM;DEF;PL
mensen	الناس	mens	إِنسَان	N;PL	N;NOM;DEF;PL
vaak	شائعة	vaak	شَائِعَة	ADJ	ADJ;NOM;INDF;FEM;SG
vaak	شائع	vaak	شَائِع	ADJ	ADJ;NOM;INDF;MASC;SG
vaak	غالبا	vaak	غَالِب	ADJ	ADJ;ACC;INDF;MASC;SG
orde	امر	orde	أَمر	N;MASC+FEM;SG	N;NOM;INDF;SG
orde	طلب	orde	طَلَب	N;MASC+FEM;SG	N;NOM;INDF;SG
orde	ترتيب	orde	تَرتِيب	N;MASC+FEM;SG	N;NOM;INDF;SG
orde	الطلب	orde	طَلَب	N;MASC+FEM;SG	N;NOM;DEF;SG
orde	النظام	orde	نِظَام	N;MASC+FEM;SG	N;NOM;DEF;SG
groot	كبيرة	groot	كَبِير	ADJ	ADJ;NOM;INDF;FEM;SG
groot	الكبير	groot	كَبِير	ADJ	ADJ;NOM;DEF;MASC;SG
groot	كبيرة	groot	كَبِير	ADJ	ADJ;NOM;INDF;FEM;SG
groot	كبير	groot	كَبِير	ADJ	ADJ;NOM;INDF;MASC;SG
groot	عظيم	groot	عظيم	ADJ	ADJ;NOM;INDF;MASC;SG
groot	عظيمة	groot	عَظِيمَة	ADJ	ADJ;NOM;INDF;FEM;SG
groot	العظيم	groot	عَظِيم	ADJ	ADJ;NOM;DEF;MASC;SG
marine	البحرية	marine	بَحرِيَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
kerk	كنيسة	kerk	كَنِيسَة	N;MASC+FEM;SG	N;NOM;INDF;SG
kerk	الكنيسة	kerk	كَنِيسَة	N;MASC+FEM;SG	N;NOM;DEF;SG
regio	منطقة	regio	مِنطَقَة	N;MASC+FEM;SG	N;NOM;INDF;SG
regio	المنطقة	regio	مِنطَقَة	N;MASC+FEM;SG	N;NOM;DEF;SG
oppervlakte	مساحة	oppervlakte	مِسَاحَة	N;MASC+FEM;SG	N;NOM;INDF;SG
oppervlakte	المساحة	oppervlakte	مِسَاحَة	N;MASC+FEM;SG	N;NOM;DEF;SG
oppervlakte	منطقة	oppervlakte	مِنطَقَة	N;MASC+FEM;SG	N;NOM;INDF;SG
oppervlakte	المنطقة	oppervlakte	مِنطَقَة	N;MASC+FEM;SG	N;NOM;DEF;SG
genoemd	ذكرت	noemen	ذَكَر	V;V.PTCP	V;PFV;FEM;SG;3;ACT
genoemd	سميت	noemen	سَمَّى	V;V.PTCP	V;PFV;FEM;SG;3;PASS
genoemd	دعا	noemen	دَعَا	V;V.PTCP	V;PFV;MASC;SG;3;ACT
genoemd	اتصلت	noemen	اِتَّصَل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
speelde	لعبت	spelen	لَعِب	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
dorp	قرية	dorp	قَريَة	N;NEUT;SG	N;NOM;INDF;SG
dorp	القرية	dorp	قَريَة	N;NEUT;SG	N;NOM;DEF;SG
plaatsen	اماكن	plaats	إِمكَان	N;PL	N;NOM;INDF;PL
plaatsen	الاماكن	plaats	مَكَان	N;PL	N;NOM;DEF;PL
leven	الحياة	leven	حَيَاة	N;NEUT;SG	N;NOM;DEF;SG
leven	الحياه	leven	حِيَاه	N;NEUT;SG	N;NOM;DEF;SG
leven	حياة	leven	حَيَاة	N;NEUT;SG	N;NOM;INDF;SG
leven	العيش	leven	عَيش	N;NEUT;SG	N;NOM;DEF;SG
binnen	داخل	binnen	دَاخِلَ	ADP	ADP;ACC
binnen	ضمن	binnen	ضِمنَ	ADP	ADP;ACC
register	تسجيل	register	تَسجِيل	N;NEUT;SG	N;NOM;INDF;SG
register	السجل	register	سِجِلّ	N;NEUT;SG	N;NOM;DEF;SG
register	التسجيل	register	تَسجِيل	N;NEUT;SG	N;NOM;DEF;SG
register	السجل	register	سِجِلّ	N;NEUT;SG	N;NOM;DEF;SG
meter	متر	meter	مِتر	N;MASC+FEM;SG	N;NOM;INDF;SG
meter	متر	meter	مِتر	N;MASC+FEM;SG	N;NOM;INDF;SG
meter	مترا	meter	مِتر	N;MASC+FEM;SG	N;ACC;INDF;SG
meter	متر	meter	مِتر	N;MASC+FEM;SG	N;NOM;INDF;SG
meter	عداد	meter	عِدَاد	N;MASC+FEM;SG	N;NOM;INDF;SG
meter	المتر	meter	مِتر	N;MASC+FEM;SG	N;NOM;DEF;SG
meter	متر	meter	مِتر	N;MASC+FEM;SG	N;NOM;INDF;SG
meter	العداد	meter	عِدَاد	N;MASC+FEM;SG	N;NOM;DEF;SG
vier	اربع	vier	أَربَعَة	NUM	NUM;NOM;INDF;FEM
vier	اربعة	vier	أَربَعَة	NUM	NUM;NOM;INDF;MASC
top	القمة	top	قِمَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
top	قمة	top	قِمَّة	N;MASC+FEM;SG	N;NOM;INDF;SG
top	قمة	top	قِمَّة	N;MASC+FEM;SG	N;NOM;INDF;SG
top	القمة	top	قِمَّة	N;MASC+FEM;SG	N;NOM;DEF;SG
oude	قديمة	oud	قَدِيم	ADJ	ADJ;NOM;INDF;FEM;SG
oude	قديم	oud	قَدِيم	ADJ	ADJ;NOM;INDF;MASC;SG
oude	القديم	oud	قَدِيم	ADJ	ADJ;NOM;DEF;MASC;SG
ronde	الجولة	ronde	جَولَة	N;MASC+FEM;SG	N;NOM;DEF;SG
gemaakt	صنعت	maken	صَنَع	V;V.PTCP	V;PFV;FEM;SG;3;PASS
gemaakt	صنع	maken	صَنَع	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gemaakt	جعل	maken	جَعَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gemaakt	خلق	maken	خَلَق	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gemaakt	خلقت	maken	خَلَق	V;V.PTCP	V;PFV;FEM;SG;3;ACT
groep	مجموعة	groep	مَجمُوعَة	N;MASC+FEM;SG	N;NOM;INDF;SG
groep	المجموعة	groep	مَجمُوعَة	N;MASC+FEM;SG	N;NOM;DEF;SG
won	فاز	winnen	فَاز	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
goals	اهداف	goal	هَدَف	N;PL	N;NOM;INDF;PL
goals	الاهداف	goal	هَدَف	N;PL	N;NOM;DEF;PL
goals	الغايات	goal	غَايَة	N;PL	N;NOM;DEF;PL
gebruik	الاستعمال	gebruik	اِستِعمَال	N;NEUT;SG	N;NOM;DEF;SG
gebruik	الاستخدام	gebruik	اِستِخدَام	N;NEUT;SG	N;NOM;DEF;SG
gebruik	استعمال	gebruik	اِستِعمَال	N;NEUT;SG	N;NOM;INDF;SG
gebruik	الاستعمال	gebruik	اِستِعمَال	N;NEUT;SG	N;NOM;DEF;SG
gebruik	استخدام	gebruik	اِستِخدَام	N;NEUT;SG	N;NOM;INDF;SG
gebruik	الاستخدام	gebruik	اِستِخدَام	N;NEUT;SG	N;NOM;DEF;SG
werken	يعمل	werken	عَمِل	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
werken	يعمل	werken	عَمِل	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
werken	يشتغل	werken	اِشتَغَل	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
werken	ينفع	werken	نَفَع	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
derde	ثالثا	drie	ثَالِث	ADJ	ADJ;ACC;INDF;MASC;SG
derde	الثالثة	drie	ثَالِث	ADJ	ADJ;NOM;DEF;FEM;SG
derde	ثالث	drie	ثَالِث	ADJ	ADJ;NOM;INDF;MASC;SG
derde	الثالث	drie	ثَالِث	ADJ	ADJ;NOM;DEF;MASC;SG
derde	ثالثة	drie	ثَالِث	ADJ	ADJ;NOM;INDF;FEM;SG
zuid	جنوبي	zuid	جَنُوبِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
kleine	صغير	klein	صَغِير	ADJ	ADJ;NOM;INDF;MASC;SG
kleine	صغيرة	klein	صَغِير	ADJ	ADJ;NOM;INDF;FEM;SG
kleine	قليل	klein	قَلِيل	ADJ	ADJ;NOM;INDF;MASC;SG
zien	ترى	zien	رَأَى	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
album	الالبوم	album	أَلبُوم	N;NEUT;SG	N;NOM;DEF;SG
mogelijk	ممكن	mogelijk	مُمكِن	ADJ	ADJ;NOM;INDF;MASC;SG
wil	يريد	willen	أَرَاد	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
staten	دول	state	دَولَة	N;PL	N;NOM;INDF;PL
staten	الولايات	state	وِلَايَة	N;PL	N;NOM;DEF;PL
staten	الدول	state	دَولَة	N;PL	N;NOM;DEF;PL
nam	اخذت	nemen	أَخَذ	V;SG;PST;FIN	V;PFV;FEM;SG;3;ACT
nam	نام	nemen	نَام	V;SG;PST;FIN	V;PFV;MASC;SG;3;ACT
station	المحطة	station	مَحَطَّة	N;NEUT;SG	N;NOM;DEF;SG
station	محطة	station	مَحَطَّة	N;NEUT;SG	N;NOM;INDF;SG
zoon	الابن	zoon	اِبن	N;MASC+FEM;SG	N;NOM;DEF;SG
man	رجل	man	رَجُل	N;MASC+FEM;SG	N;NOM;INDF;SG
man	الرجل	man	رَجُل	N;MASC+FEM;SG	N;NOM;DEF;SG
water	الماء	water	مَاء	N;NEUT;SG	N;NOM;DEF;SG
water	ماء	water	مَاء	N;NEUT;SG	N;NOM;INDF;SG
gezien	شوهد	zien	شوهد	V;V.PTCP	V;PFV;MASC;SG;3;ACT
begin	بداية	begin	بِدَايَة	N;NEUT;SG	N;NOM;INDF;SG
begin	البداية	begin	بِدَايَة	N;NEUT;SG	N;NOM;DEF;SG
begin	بدء	begin	بَدء	N;NEUT;SG	N;NOM;INDF;SG
begin	بداية	begin	بِدَايَة	N;NEUT;SG	N;NOM;INDF;SG
begin	البداية	begin	بِدَايَة	N;NEUT;SG	N;NOM;DEF;SG
koning	الملك	koning	مَلِك	N;MASC+FEM;SG	N;NOM;DEF;SG
slechts	فقط	slechts	فَقَط	ADV	ADV
