cuarteto	kvarteta	cuarteto	kvartets	N	N;GEN;MASC;SG
residencia	dzīvesvietu	residencia	dzīvesviete	N	N;ACC;FEM;SG
residencia	dzīvesvietas	residencia	dzīvesvieta	N	N;NOM;FEM;PL
paran	apstāties	parar	apstāties	V	V;POS;REFL;NFIN
paran	apturēt	parar	apturēt	V	V;POS;NFIN
paran	beidz	parar	beigt	V	V;IMP;SG;2;POS;FIN;ACT
pensara	domājat	pensar	domāt	V	V;FH;IND;PL;2;POS;PRS;FIN;ACT
pensara	domā	pensar	domāt	V	V;FH;IND;SG;2;POS;PRS;FIN;ACT
pensara	domāju	pensar	domāt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
pensara	domāt	pensar	domāt	V	V;POS;NFIN
pensara	domājam	pensar	domāt	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
pensara	domāja	pensar	domāt	V	V;FH;IND;3;POS;PST;FIN;ACT
pensara	domāju	pensar	domāt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
pensara	likās	pensar	likties	V	V;FH;IND;3;POS;REFL;PST;FIN;ACT
calefacción	karstums	calefacción	karstums	N	N;NOM;MASC;SG
calefacción	siltuma	calefacción	siltums	N	N;GEN;MASC;SG
calefacción	siltums	calefacción	siltums	N	N;NOM;MASC;SG
calefacción	apkures	calefacción	apkure	N	N;NOM;FEM;PL
calefacción	apkure	calefacción	apkure	N	N;NOM;FEM;SG
calefacción	siltumapgāde	calefacción	siltumapgāde	N	N;NOM;FEM;SG
respondeu	atbildēts	responder	atbildēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
respondeu	atbildēja	responder	atbildēt	V	V;FH;IND;3;POS;PST;FIN;ACT
décadas	desmitgades	década	desmitgade	N	N;NOM;FEM;PL
compartimos	dalies	compartir	dalis	V	V;FH;IND;SG;2;POS;REFL;PRS;FIN;ACT
compartimos	dalīties	compartir	dalīties	V	V;POS;REFL;NFIN
compartimos	dalīta	compartir	dalīt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
redución	samazinājums	redución	samazinājums	N	N;NOM;MASC;SG
redución	samazināšanas	redución	samazināšana	N	N;NOM;FEM;PL
redución	samazināšana	redución	samazināšana	N	N;NOM;FEM;SG
arder	dedzināt	arder	dedzināt	V	V;POS;NFIN
volcán	vulkāna	volcán	vulkāns	N	N;NOM;MASC;SG
kg	mārciņu	kg	mārciņa	N	N;ACC;FEM;SG
kg	mārciņas	kg	mārciņa	N	N;NOM;FEM;PL
violín	vijole	violín	vijole	N	N;NOM;FEM;SG
sufriu	cietuši	sufrir	ciest	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
sufriu	cietusi	sufrir	ciest	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
sufriu	cieta	sufrir	ciest	V	V;FH;IND;3;POS;PST;FIN;ACT
sufriu	cietis	sufrir	cietis	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usado	izmanto	usar	izmantot	V	V;IMP;SG;2;POS;FIN;ACT
usado	lietots	usar	lietot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usado	izmantotais	usar	izmantot	V	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
usado	izmantots	usar	izmantot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
usado	lietoti	usar	lietot	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
usado	lietota	usar	lietot	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
explorar	izpētīt	explorar	izpētīt	V	V;POS;NFIN
explorar	pēta	explorar	pēta	V	V;FH;IND;3;POS;PRS;FIN;ACT
explorar	izpētīt	explorar	izpētīt	V	V;POS;NFIN
explorar	pētīt	explorar	pētīt	V	V;POS;NFIN
xeralmente	parasti	xeral	parasti	ADV	ADV
teléfonos	viedtālruņi	teléfono	viedtālruni	N	N;NOM;MASC;PL
teléfonos	tālruņi	teléfono	tālrunis	N	N;NOM;MASC;PL
teléfonos	telefoni	teléfono	telefonis	N	N;NOM;MASC;PL
estruturas	konstrukcijas	estrutura	konstrukcija	N	N;NOM;FEM;PL
estruturas	struktūras	estrutura	struktūra	N	N;NOM;FEM;PL
fusión	kodolsintēzes	fusión	kodolsintēze	N	N;NOM;FEM;PL
suma	summa	suma	summa	N	N;NOM;FEM;SG
tanque	tvertne	tanque	tvertne	N	N;NOM;FEM;SG
eventos	notikumi	evento	notikums	N	N;NOM;MASC;PL
eventos	notikumiem	evento	notikums	N	N;DAT;MASC;PL
eventos	pasākumi	evento	pasākums	N	N;NOM;MASC;PL
bancos	bankas	banco	banka	N	N;NOM;FEM;PL
bancos	bankās	banco	banka	N	N;ESS;FEM;PL
pensaron	domāja	pensar	domāt	V	V;FH;IND;3;POS;PST;FIN;ACT
pensaron	domāju	pensar	domāt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
pensaron	likās	pensar	likties	V	V;FH;IND;3;POS;REFL;PST;FIN;ACT
instrucións	instrukcija	instrución	instrukcija	N	N;NOM;FEM;SG
instrucións	instrukcijas	instrución	instrukcija	N	N;NOM;FEM;PL
instrucións	norādījumi	instrución	norādījums	N	N;NOM;MASC;PL
chamábase	bija	chamábase	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
chamábase	saucās	chamábase	saukties	V	V;FH;IND;3;POS;REFL;PST;FIN;ACT
chamábase	saukts	chamábase	saukt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
pluma	pen	plumo	pen	N	N
pluma	spalvu	plumo	spalva	N	N;ACC;FEM;SG
pluma	spalva	plumo	spalva	N	N;NOM;FEM;SG
técnicos	speciālisti	técnico	speciālists	N	N;NOM;MASC;PL
técnicos	tehniķi	técnico	tehniķis	N	N;NOM;MASC;PL
verbas	vārdi	verba	vārds	N	N;NOM;MASC;PL
deixalos	atvaļinājumu	deixalo	atvaļinājums	N	N;ACC;MASC;SG
deixalos	atvaļinājums	deixalo	atvaļinājums	N	N;NOM;MASC;SG
deixalos	atvaļinājuma	deixalo	atvaļinājums	N	N;GEN;MASC;SG
conclusión	noslēgšana	conclusión	noslēgšana	N	N;NOM;FEM;SG
conclusión	secinājums	conclusión	secinājums	N	N;NOM;MASC;SG
orgullosos	lepna	orgulloso	lepna	ADJ	ADJ;NOM;FEM;SG
chegarán	būs	chegar	būt	V	V;FH;IND;3;POS;FUT;FIN;ACT
escoitou	sadzirdēt	escoitar	sadzirdēt	V	V;POS;NFIN
escoitou	dzirdēts	escoitar	dzirdēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
escoitou	dzirdēju	escoitar	dzirdēt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
músculos	muskuļi	músculo	muskulis	N	N;NOM;MASC;PL
demostración	demonstrācija	demostración	demonstrācija	N	N;NOM;FEM;SG
demostración	demonstrēšana	demostración	demonstrēšana	N	N;NOM;FEM;SG
demostración	demonstrējumu	demostración	demonstrējums	N	N;ACC;MASC;SG
computador	datoram	computador	dators	N	N;DAT;MASC;SG
computador	datoru	computador	dators	N	N;ACC;MASC;SG
computador	dators	computador	dators	N	N;NOM;MASC;SG
xogadores	spēlētāji	xogador	spēlētājs	N	N;NOM;MASC;PL
xogadores	atskaņotāji	xogador	atskaņotājs	N	N;NOM;MASC;PL
preguntando	jautā	preguntar	jautāt	V	V;FH;IND;SG;2;POS;PRS;FIN;ACT
violación	izvarošana	violación	izvarošana	N	N;NOM;FEM;SG
violación	rapšu	violación	rapsis	N	N;ACC;FEM;SG
violación	izvarošanu	violación	izvarošana	N	N;ACC;FEM;SG
gustoume	patīk	gustoume	patikt	V	V;FH;IND;3;POS;PRS;FIN;ACT
gustoume	iepatikās	gustoume	iepatikās	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
gustoume	patika	gustoume	patikt	V	V;FH;IND;3;POS;PST;FIN;ACT
xefa	vadītājs	xefa	vadītājs	N	N;NOM;MASC;SG
xefa	galvu	xefa	galva	N	N;ACC;FEM;SG
xefa	galvas	xefa	galva	N	N;NOM;FEM;PL
xefa	galva	xefa	galva	N	N;NOM;FEM;SG
manchas	plankumi	mancha	plankums	N	N;NOM;MASC;PL
vestida	ģērbies	vestida	ģērbties	V	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
neveira	ledusskapja	neveiro	ledusskapja	N	N;NOM;FEM;SG
potente	spēcīgs	potente	spēcīgs	ADJ	ADJ;NOM;MASC;SG
perigosa	bīstamas	perigosa	bīstama	ADJ	ADJ;NOM;FEM;PL
perigosa	bīstams	perigosa	bīstams	ADJ	ADJ;NOM;MASC;SG
perigosa	bīstama	perigosa	bīt	ADJ	ADJ;NOM;FEM;SG
perigosa	bīstamā	perigosa	bīstams	ADJ	ADJ;NOM;FEM;SG
categoría	kategoriju	categoría	kategorija	N	N;ACC;FEM;SG
categoría	kategorija	categoría	kategorija	N	N;NOM;FEM;SG
categoría	kategorijā	categoría	kategorija	N	N;ESS;FEM;SG
representante	pārstāvis	representante	pārstāvis	N	N;NOM;MASC;SG
levárono	ieņēma	levárono	ieņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
levárono	paņēma	levárono	paņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
levárono	ņēma	levárono	ņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
xogamos	spēlējis	xogar	spēlēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
xogamos	spēlēja	xogar	spēlēt	V	V;FH;IND;3;POS;PST;FIN;ACT
xogamos	atskaņot	xogar	atskaņot	V	V;POS;NFIN
xogamos	spēlē	xogar	spēlēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
xogamos	spēlēt	xogar	spēlēt	V	V;POS;NFIN
feitas	izgatavots	facer	izgatavot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
renunciar	dodam	renunciar	dot	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
renunciar	sniedzot	renunciar	sniegt	V	V;V.CVB
logro	sasniegšanas	logro	sasniegšana	N	N;GEN;FEM;SG
logro	sasniegšanu	logro	sasniegšana	N	N;ACC;FEM;SG
logro	sasniegums	logro	sasniegums	N	N;NOM;MASC;SG
logro	sasniegumu	logro	sasniegums	N	N;ACC;MASC;SG
logro	sasniegšana	logro	sasniegšana	N	N;NOM;FEM;SG
subtítulos	subtitriem	subtítulo	subtitris	N	N;DAT;MASC;PL
ciclo	cikls	ciclo	cikls	N	N;NOM;MASC;SG
dirán	pateikt	dir	pateikt	V	V;POS;NFIN
dirán	teikt	dir	teikt	V	V;POS;NFIN
viaxa	ceļo	viaxa	ceļot	V	V;FH;IND;SG;2;POS;PRS;FIN;ACT
viaxa	ceļot	viaxa	ceļot	V	V;POS;NFIN
néboa	migla	néboa	migla	N	N;NOM;FEM;SG
néboa	miglā	néboa	migla	N	N;ESS;FEM;SG
néboa	miglas	néboa	migla	N	N;NOM;FEM;PL
localización	vieta	localización	vieta	N	N;NOM;FEM;SG
localización	novietojums	localización	novietojums	N	N;NOM;MASC;SG
levado	ņemta	levar	ņemt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
levado	ņemts	levar	ņemt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
levado	veikti	levar	veikt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
cidadás	pilsoņus	cidadán	pilsonis	N	N;ACC;MASC;PL
cidadás	pilsoņi	cidadán	pilsonis	N	N;NOM;MASC;PL
cidadás	iedzīvotāji	cidadán	iedzīvotājs	N	N;NOM;MASC;PL
satisfacer	apmierināt	satisfacer	apmierināt	V	V;POS;NFIN
pioneiros	pionieru	pioneiro	pionieris	N	N;ACC;MASC;PL
esperan	ceru	esperar	cerēt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
esperan	gaidu	esperar	gaidīt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
esperan	gaidot	esperar	gaidīt	V	V;V.CVB
esperan	gaida	esperar	gaidīt	V	V;FH;IND;3;POS;PRS;FIN;ACT
esperan	gaidām	esperar	gaidīt	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
lémbrome	atceries	lémbrome	atcerēties	V	V;IMP;SG;2;POS;REFL;FIN;ACT
lémbrome	atceros	lémbrome	atcerēties	V	V;FH;IND;SG;1;POS;REFL;PRS;FIN;ACT
lémbrome	atcerieties	lémbrome	atcerēties	V	V;IMP;PL;2;POS;REFL;FIN;ACT
lémbrome	atcerēties	lémbrome	atcerēties	V	V;POS;REFL;NFIN
lote	partija	lote	partija	N	N;NOM;FEM;SG
metais	metāli	metal	metāle	N	N;NOM;MASC;PL
lixeiro	gaišs	lixeiro	gaišs	ADJ	ADJ;NOM;MASC;SG
acumulación	uzkrāšanas	acumulación	uzkrāšana	N	N;NOM;FEM;SG
acumulación	uzkrāšanās	acumulación	uzkrāšanās	N	N;NOM;FEM;SG
acumulación	uzkrāšana	acumulación	uzkrāšana	N	N;NOM;FEM;SG
raíces	saknes	raíz	sakne	N	N;NOM;FEM;PL
evidentemente	acīmredzami	evidente	acīmredzami	ADV	ADV
condena	laiks	condena	laiks	N	N;NOM;MASC;SG
condena	laika	condena	laiks	N	N;GEN;MASC;SG
fuga	ekstremitāšu	fugar	ekstremitāte	N	N;GEN;FEM;PL
fantasma	pārvadājumi	fantasma	pārvadājums	N	N;NOM;MASC;PL
fantasma	pārvadāšana	fantasma	pārvadāšana	N	N;NOM;FEM;SG
fantasma	pārvadājumiem	fantasma	pārvadājums	N	N;DAT;MASC;PL
fantasma	spoks	fantasma	spoks	N	N;NOM;MASC;SG
fantasma	spoku	fantasma	spoks	N	N;ACC;MASC;SG
fantasma	rēgs	fantasma	rēgs	N	N;NOM;MASC;SG
escapou	izbēga	escapar	izbēgt	V	V;FH;IND;3;POS;PST;FIN;ACT
tumbas	kapos	tumba	kaps	N	N;ESS;MASC;PL
tumbas	kapi	tumba	kaps	N	N;NOM;MASC;PL
internado	slimnīcā	internado	slimnīca	N	N;ESS;FEM;SG
internado	slimnīca	internado	slimnīca	N	N;NOM;FEM;SG
pensado	domāja	pensar	domāt	V	V;FH;IND;3;POS;PST;FIN;ACT
pensado	domāju	pensar	domāt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
pensado	likās	pensar	likties	V	V;FH;IND;3;POS;REFL;PST;FIN;ACT
sabas	loksnes	saber	loksne	N	N;NOM;FEM;PL
gustaríalle	patīk	gustaríalle	patikt	V	V;FH;IND;3;POS;PRS;FIN;ACT
escravo	vergs	escravo	vergs	N	N;NOM;MASC;SG
escravo	vergu	escravo	vergs	N	N;ACC;MASC;SG
socorro	palīgā	socorro	palīgs	N	N;ESS;MASC;SG
socorro	palīdzība	socorro	palīdzība	N	N;NOM;FEM;SG
mandou	nosūtīta	mandar	nosūtīt	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
mandou	nosūtīja	mandar	nosūtīt	V	V;FH;IND;3;POS;PST;FIN;ACT
mandou	nosūtīti	mandar	nosūtīt	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
mandou	nosūtīts	mandar	nosūtīt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
seda	zīda	sedo	zīds	N	N;NOM;MASC;SG
seda	zīds	sedo	zīds	N	N;NOM;MASC;SG
secreta	noslēpums	secreta	noslēpums	N	N;NOM;MASC;SG
ombreiro	pleca	ombreiro	plecs	N	N;GEN;MASC;SG
ombreiro	plecs	ombreiro	plecs	N	N;NOM;MASC;SG
dispararon	sašāva	disparar	sašāva	V	V;FH;IND;3;POS;PST;FIN;ACT
potencia	jaudas	potencia	jauda	N	N;NOM;FEM;PL
potencia	jauda	potencia	jauda	N	N;NOM;FEM;SG
potencia	vara	potencia	vara	N	N;NOM;FEM;SG
prometo	solīt	prometo	solīt	V	V;POS;NFIN
prometo	apsolu	prometo	apsolīt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
planos	plānus	plano	plāns	N	N;ACC;MASC;PL
polis	policisti	polis	policists	N	N;NOM;MASC;PL
seguirá	būs	seguir	būt	V	V;FH;IND;3;POS;FUT;FIN;ACT
seguirá	vēljoprojām	seguir	vēljoprojām	V	V;FH;IND;PL;1;POS;PST;FIN;ACT
vervos	redz	vervo	redzēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
vervos	skatīt	vervo	skatīt	V	V;POS;NFIN
ataques	uzbrukumiem	ataque	uzbrukums	N	N;DAT;MASC;PL
ataques	uzbrukumi	ataque	uzbrukums	N	N;NOM;MASC;PL
ataques	uzbrukumos	ataque	uzbrukums	N	N;ESS;MASC;PL
cometer	apņemas	cometer	apņemties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
interesada	interesenti	interesado	interesents	N	N;NOM;MASC;PL
escoitaches	dzird	escoitaches	dzirdēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
escoitaches	dzirdu	escoitaches	dzirdēt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
escoitaches	dzirdēt	escoitaches	dzirdēt	V	V;POS;NFIN
escoitaches	sadzirdēt	escoitaches	sadzirdēt	V	V;POS;NFIN
escoitaches	dzirdēts	escoitaches	dzirdēt	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
escoitaches	dzirdēju	escoitaches	dzirdēt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
vendas	pārdošanas	venda	pārdošana	N	N;NOM;FEM;SG
vendas	pārdošana	venda	pārdošana	N	N;NOM;FEM;SG
vendas	pārdošana	venda	pārdošana	N	N;NOM;FEM;SG
permíteme	var	permíteme	varēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
permíteme	drīkst	permíteme	drīkstēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
pague	maksāt	pague	maksāt	V	V;POS;NFIN
pague	maksā	pague	maksāt	V	V;FH;IND;3;POS;PRS;FIN;ACT
pague	samaksāt	pague	samaksāt	V	V;POS;NFIN
colar	kaklarota	colar	kaklarot	V	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
levarte	ņemt	levarte	ņemt	V	V;POS;NFIN
levarte	ņem	levarte	ņemt	V	V;IMP;SG;2;POS;FIN;ACT
sacaches	iegūsti	sacaches	iegūt	V	V;IMP;SG;2;POS;FIN;ACT
sacaches	dabūt	sacaches	dabūt	V	V;POS;NFIN
xudea	jūdeja	xudea	jūdeja	N	N;NOM;MASC;SG
xudea	fronte	xudea	fronte	N	N;NOM;FEM;SG
xudea	priekšpusē	xudea	priekšpuse	N	N;ESS;FEM;SG
soñando	sapņo	soñar	sapnis	V	V;FH;IND;3;POS;PRS;FIN;ACT
soñando	sapņot	soñar	sapņot	V	V;POS;NFIN
adoro	mīli	adoro	mīlēt	V	V;IMP;SG;2;POS;FIN;ACT
adoro	mīlu	adoro	mīlēt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
enxergar	saprast	enxergar	saprast	V	V;POS;NFIN
enxergar	izprast	enxergar	izprast	V	V;POS;NFIN
enxergar	saprotu	enxergar	saprast	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
tetas	krūtis	teta	krūts	N	N;NOM;FEM;PL
autoestrada	šoseja	autoestrada	šoseja	N	N;NOM;FEM;SG
imperfecto	nepilnīgs	imperfecto	nepilnīgs	ADJ	ADJ;NOM;MASC;SG
imperfecto	nepilnīga	imperfecto	nepilnīga	ADJ	ADJ;NOM;FEM;SG
refuxiados	bēgļi	refuxiado	bēglis	N	N;NOM;MASC;PL
refuxiados	bēgļa	refuxiado	bēgls	N	N;NOM;MASC;SG
refuxiados	bēglis	refuxiado	bēglis	N	N;NOM;MASC;SG
refuxiados	bēgļu	refuxiado	bēglis	N	N;GEN;MASC;PL
refuxiados	bēgļi	refuxiado	bēglis	N	N;NOM;MASC;PL
viñan	nāc	vir	nākt	V	V;IMP;SG;2;POS;FIN;ACT
viñan	atnācu	vir	atnākt	V	V;FH;IND;SG;1;POS;PST;FIN;ACT
viñan	atnāca	vir	atnākt	V	V;FH;IND;3;POS;PST;FIN;ACT
levei	ieņēma	levar	ieņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
levei	paņēma	levar	paņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
levei	ņēma	levar	ņemt	V	V;FH;IND;3;POS;PST;FIN;ACT
cambian	mainīt	cambiar	mainīt	V	V;POS;NFIN
honestidade	godīgumu	honestidade	godīgums	N	N;ACC;MASC;SG
honestidade	godīgums	honestidade	godīgums	N	N;NOM;MASC;SG
granxas	fermas	granxa	ferma	N	N;NOM;FEM;PL
granxas	audzētavas	granxa	audzēt	N	N;NOM;FEM;PL
granxas	saimniecības	granxa	saimniecība	N	N;NOM;FEM;PL
mozart	mocarts	mozart	mocarts	N	N;NOM;MASC;SG
mestra	pasniedzēja	mestra	pasniedzēt	N	N;NOM;FEM;SG
mestra	skolotāju	mestra	skolotājs	N	N;ACC;FEM;SG
