ve	dan	ve	dan	CONJ	CONJ
zaman	waktunya	zaman	waktu	N;NOM;SG;3	N;SG
bazı	beberapa	bazı	beberapa	DET	DET
aralık	desember	aralık	desember	N;NOM;SG;3	N;SG
aralık	desember	aralık	desember	N;NOM;SG;3	N;SG
aralık	interval	aralık	interval	N;NOM;SG;3	N
yüksek	tinggi	yüksek	tinggi	ADJ	ADJ;SG
yüksek	tinggi	yüksek	tinggi	ADJ	ADJ;SG
şubat	feb	şubat	feb		
sadece	saja	sadece	saja	ADV	ADV
sadece	hanya	sadece	hanya	ADV	ADV
sadece	hanya	sadece	hanya	ADV	ADV
bilgi	informasi	bilgi	informasi	N;NOM;SG;3	N;SG
bilgi	pengetahuan	bilgi	pengetahuan	N;NOM;SG;3	N;SG
kez	kali	kez	kali	N;NOM;SG;3	N;SG
hakkında	perihal	hak	perihal	N;ESS;SG;3	N
longm	longm	long	longm		
devlet	negara	devlet	negara	N;NOM;SG;3	N;SG
devlet	keadaan	devlet	keadaan	N;NOM;SG;3	N;SG
devlet	pemerintahan	devlet	penperintahan	N;NOM;SG;3	N;SG
devlet	pemerintah	devlet	penperintah	N;NOM;SG;3	N;SG
devlet	pemerintahan	devlet	penperintahan	N;NOM;SG;3	N;SG
üç	tiga	üç	tiga	NUM	NUM
başladı	dimulai	başla	dimulai	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
başladı	memulai	başla	menmulai	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
küçük	kecil	küçük	kecil	ADJ	ADJ;SG
küçük	kecil	küçük	kecil	ADJ	ADJ;SG
kabul	kepasrahan	kabul	kepasrahan	N;NOM;SG;3	N;SG
kabul	penerimaan	kabul	penterimaan	N;NOM;SG;3	N;SG
kabul	penerimaan	kabul	penterimaan	N;NOM;SG;3	N;SG
kabul	terima	kabul	terrima	N;NOM;SG;3	N;SG;ACT
kupası	gelas	kupa	gelas	N;NOM;SG;3	N;SG
kupası	piala	kupa	piala	N;NOM;SG;3	N;SG
kupası	cangkir	kupa	cangkir	N;NOM;SG;3	N;SG
okulu	sekolah	okul	sekolah	N;NOM;SG;3	N;SG
aldı	dibawa	al	dibawa	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
aldı	diambil	al	diambil	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
aldı	diterima	al	diterima	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
em	payah	e	payah		;SG
farklı	beda	farklı	beda	ADJ	ADJ;SG
özel	ekslusif	özel	ekslusif	ADJ	ADJ;SG
özel	eksklusif	özel	eksklusif	ADJ	ADJ;SG
özel	swasta	özel	swasta	ADJ	ADJ;SG
özel	pribadi	özel	pribadi	ADJ	ADJ;SG
özel	istimewa	özel	istimewa	ADJ	ADJ;SG
özel	spesial	özel	spesial	ADJ	ADJ;SG
özel	khusus	özel	khusus	ADJ	ADJ;SG
özel	khusus	özel	khusus	ADJ	ADJ;SG
alanı	bidang	alan	bidang	N;NOM;SG;3	N;SG
alanı	lapangan	alan	lapangan	N;NOM;SG;3	N;SG
alanı	medan	alan	medan	N;NOM;SG;3	N;SG
alanı	kolom	alan	kolom	N;NOM;SG;3	N;SG
alanı	daerah	alan	daerah	N;NOM;SG;3	N;SG
alanı	wilayah	alan	wilayah	N;NOM;SG;3	N;SG
alanı	luas	alan	luas	N;NOM;SG;3	N;SG
alanı	kawasan	alan	kawasan	N;NOM;SG;3	N;SG
alanı	area	alan	area	N;NOM;SG;3	N;SG
uzun	lama	uzun	lama	ADJ	ADJ;SG
uzun	panjang	uzun	panjang	ADJ	ADJ;SG
geri	kebelakang	geri	kebelakang		
elektrik	kelistrikan	elektrik	kelistrikan	N;NOM;SG;3	N;SG
elektrik	listrik	elektrik	listrik	N;NOM;SG;3	N;SG
elektrik	kelistrikan	elektrik	kelistrikan	N;NOM;SG;3	N;SG
elektrik	listrik	elektrik	listrik	N;NOM;SG;3	N;SG
elektrik	elektro	elektrik	elektro	N;NOM;SG;3	N;SG
elektrik	listrik	elektrik	listrik	N;NOM;SG;3	N;SG
elektrik	elektrik	elektrik	elektrik	N;NOM;SG;3	N;SG
merkezi	pusat	merkez	pusat	N;ACC;SG;3	N;SG
merkezi	sentral	merkez	sentral	N;ACC;SG;3	N;SG
merkezi	pusat	merkez	pusat	N;ACC;SG;3	N;SG
merkezi	pusat	merkez	pusat	N;ACC;SG;3	N;SG
kısa	pendek	kısa	pendek	ADJ	ADJ;SG
kısa	singkat	kısa	singkat	ADJ	ADJ;SG
kısa	pendek	kısa	pendek	ADJ	ADJ;SG
kısa	singkat	kısa	singkat	ADJ	ADJ;SG
kişi	orang	kişi	orang	N;NOM;SG;3	N;SG
olmak	menjadi	ol	menjadi	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
olmak	menjadi	ol	menjadi	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
el	tangan	el	tangan	N;NOM;SG;3	N;SG
gol	danau	gol	danau	N;NOM;SG;3	N;SG
gol	tujuan	gol	tujuan	N;NOM;SG;3	N;SG
gol	gawang	gol	gawang	N;NOM;SG;3	N;SG
gol	sasaran	gol	sasaran	N;NOM;SG;3	N;SG
gol	gol	gol	gol	N;NOM;SG;3	N;SG
gol	gol	gol	gol	N;NOM;SG;3	N;SG
gol	tujuan	gol	tujuan	N;NOM;SG;3	N;SG
sağlayan	mengaktifkan	sağla	menaktifkan	V;PFV;IND;POS;PRS;V.PTCP	V;SG;ACT
sağlayan	menyediakan	sağla	mensediakan	V;PFV;IND;POS;PRS;V.PTCP	V;SG;ACT
suyu	jus	su	jus	N;ACC;SG;3	N;SG
ödülü	hadiah	ödül	hadiah	N;ACC;SG;3	N;SG
ödülü	imbalan	ödül	imbalan	N;ACC;SG;3	N;SG
ödülü	pahala	ödül	pahala	N;ACC;SG;3	N;SG
ödülü	pahalanya	ödül	pahala	N;ACC;SG;3	N;SG
ödülü	prize	ödül	prize	N;ACC;SG;3	N
ödülü	penghargaan	ödül	penhargaan	N;ACC;SG;3	N;SG
ödülü	award	ödül	award	N;ACC;SG;3	N
gün	siang	gün	siang	N;NOM;SG;3	N;SG
gün	hari	gün	hari	N;NOM;SG;3	N;SG
süre	kali	süre	kali	N;NOM;SG;3	N;SG
süre	waktu	süre	waktu	N;NOM;SG;3	N;SG
süre	waktunya	süre	waktu	N;NOM;SG;3	N;SG
süre	durasi	süre	durasi	N;NOM;SG;3	N;SG
sabit	konstan	sabit	konstan		
eğitim	latihan	eğitim	latihan	N;NOM;SG;3	N;SG
eğitim	pelatihan	eğitim	penlatihan	N;NOM;SG;3	N;SG
eğitim	edukasi	eğitim	edukasi	N;NOM;SG;3	N;SG
eğitim	pendidikan	eğitim	pendidikan	N;NOM;SG;3	N;SG
eğitim	edukasi	eğitim	edukasi	N;NOM;SG;3	N;SG
eğitim	pendidikan	eğitim	pendidikan	N;NOM;SG;3	N;SG
eğitim	tutorial	eğitim	tutorial	N;NOM;SG;3	N;SG
yaklaşık	ttg	yaklaşık	ttg		
az	sedikit	az	sedikit	ADV	ADV;SG
az	kurang	az	kurang	ADV	ADV;SG
kullanılan	digunakan	kullan	digunakan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
kullanılan	terpakai	kullan	terpakai	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
kullanılan	dipakai	kullan	dipakai	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
görev	kewajiban	görev	kewajiban	N;NOM;SG;3	N;SG
görev	tugas	görev	tugas	N;NOM;SG;3	N;SG
görev	penetapan	görev	pentetapan	N;NOM;SG;3	N;SG
görev	penugasan	görev	pentugasan	N;NOM;SG;3	N;SG
görev	misi	görev	misi	N;NOM;SG;3	N;SG
onun	nya	o	nya	PRO;GEN;SG;3	PRO
onun	nya	o	nya	PRO;GEN;SG;3	PRO
yine	lagi	yine	lagi	ADV	ADV
ekonomisi	perekonomian	ekonomi	perekonomian	N;NOM;SG;3	N;SG
ekonomisi	ekonomi	ekonomi	ekonomi	N;NOM;SG;3	N;SG
telefon	ponsel	telefon	ponsel	N;NOM;SG;3	N;SG
telefon	telepon	telefon	telepon	N;NOM;SG;3	N;SG
telefon	telepon	telefon	telepon	N;NOM;SG;3	N;SG
yeniden	lagi	yeniden	lagi	ADV	ADV
savaş	pertempuran	savaş	pertempuran	N;NOM;SG;3	N;SG
savaş	peperangan	savaş	peperangan	N;NOM;SG;3	N
savaş	perang	savaş	perang	N;NOM;SG;3	N;SG
savaş	peperangan	savaş	peperangan	N;NOM;SG;3	N
savaş	pertempuran	savaş	pertempuran	N;NOM;SG;3	N;SG
savaş	tempur	savaş	tempur	N;NOM;SG;3	N;SG
savaş	lawan	savaş	lawan	N;NOM;SG;3	N;SG;ACT
kullanıcı	pemakai	kullanıcı	penpakai	N;NOM;SG;3	N;SG
kullanıcı	pengguna	kullanıcı	penguna	N;NOM;SG;3	N;SG
kullanıcı	pemakai	kullanıcı	penpakai	N;NOM;SG;3	N;SG
kullanıcı	pengguna	kullanıcı	penguna	N;NOM;SG;3	N;SG
kanalizasyon	selokan	kanalizasyon	selokan	N;NOM;SG;3	N;SG
kanalizasyon	gorong	kanalizasyon	gorong	N;NOM;SG;3	N;SG;ACT
kanalizasyon	selokan	kanalizasyon	selokan	N;NOM;SG;3	N;SG
kanalizasyon	limbah	kanalizasyon	limbah	N;NOM;SG;3	N;SG
maç	permainan	maç	permainan	N;NOM;SG;3	N;SG
maç	game	maç	game	N;NOM;SG;3	N;SG
maç	korek	maç	korek	N;NOM;SG;3	N;SG;ACT
maç	pertandingan	maç	pertandingan	N;NOM;SG;3	N;SG
maç	kecocokan	maç	kecocokan	N;NOM;SG;3	N;SG
sıra	baris	sıra	baris	N;NOM;SG;3	N;SG
sıra	dayung	sıra	dayung	N;NOM;SG;3	N;SG
sıra	baris	sıra	baris	N;NOM;SG;3	N;SG
teknik	teknis	teknik	teknis	ADJ	ADJ;SG
nüfusu	populasi	nüfus	populasi	N;ACC;SG;3	N;SG
nüfusu	penduduk	nüfus	penduduk	N;ACC;SG;3	N;SG
nüfusu	populasi	nüfus	populasi	N;ACC;SG;3	N;SG
uygun	nyaman	uygun	nyaman	ADJ	ADJ;SG
bütün	utuh	bütün	utuh	ADJ	ADJ;SG
listesi	daftar	liste	daftar	N;NOM;SG;3	N;SG
listesi	list	liste	list	N;NOM;SG;3	N
dört	empat	dört	empat	NUM	NUM
iç	mendesah	iç	mendesah		
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N
sonucu	konsekuensi	sonuç	konsekuensi	N;ACC;SG;3	N;SG
bar	batang	bar	batang	N;NOM;SG;3	N;SG
bar	bilah	bar	bilah	N;NOM;SG;3	N;SG
bar	bar	bar	bar	N;NOM;SG;3	N
bar	pub	bar	pub	N;NOM;SG;3	N
sonunda	akhirnya	sonunda	akhirnya	ADV	ADV
onu	nya	o	nya	PRO;ACC;SG;3	PRO
onu	nya	o	nya	PRO;ACC;SG;3	PRO
verilen	diberikan	ver	diberikan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
verilen	diberi	ver	diberi	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
birkaç	beberapa	birkaç	beberapa	DET	DET
açık	jelas	açık	jelas	ADJ	ADJ;SG
insan	orang	insan	orang	N;NOM;SG;3	N;SG
insan	pria	insan	pria	N;NOM;SG;3	N;SG
insan	manusia	insan	manusia	N;NOM;SG;3	N;SG
insan	manusiawi	insan	manusiawi	N;NOM;SG;3	N
insan	manusia	insan	manusia	N;NOM;SG;3	N;SG
bilinen	dikenal	bil	dikenal	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
bilinen	diketahui	bil	diketahui	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N
an	momen	an	momen	N;NOM;SG;3	N;SG
iş	tugas	iş	tugas	N;NOM;SG;3	N;SG
iş	pekerjaan	iş	pekerjaan	N;NOM;SG;3	N;SG
iş	pekerjaan	iş	pekerjaan	N;NOM;SG;3	N;SG
iş	kerja	iş	kerja	N;NOM;SG;3	N;SG
iş	pekerjaan	iş	pekerjaan	N;NOM;SG;3	N;SG
iş	bisnis	iş	bisnis	N;NOM;SG;3	N;SG
bölümü	daerah	bölüm	daerah	N;NOM;SG;3	N;SG
bölümü	bagian	bölüm	bagian	N;NOM;SG;3	N;SG
bölümü	seksi	bölüm	seksi	N;NOM;SG;3	N;SG
bölümü	departemen	bölüm	departemen	N;NOM;SG;3	N;SG
güzel	cantik	güzel	cantik	ADJ	ADJ;SG
güzel	indah	güzel	indah	ADJ	ADJ;SG
güzel	bagus	güzel	bagus	ADJ	ADJ;SG
güzel	cantik	güzel	cantik	ADJ	ADJ;SG
güzel	indah	güzel	indah	ADJ	ADJ;SG
çocuk	bocah	çocuk	bocah	N;NOM;SG;3	N
çocuk	anak	çocuk	anak	N;NOM;SG;3	N;SG
çocuk	anakan	çocuk	anakan	N;NOM;SG;3	N;SG
çocuk	anak	çocuk	anak	N;NOM;SG;3	N;SG
sinema	bioskop	sine	bioskop	N;NOM;SG;3	N
sinema	film	sine	film	N;NOM;SG;3	N;SG
sinema	bioskop	sine	bioskop	N;NOM;SG;3	N
sinema	film	sine	film	N;NOM;SG;3	N;SG
sinema	bioskop	sine	bioskop	N;NOM;SG;3	N
sinema	sinema	sine	sinema	N;NOM;SG;3	N;SG
ay	bulan	ay	bulan	N;NOM;SG;3	N;SG
ay	bulan	ay	bulan	N;NOM;SG;3	N;SG
ay	rembulan	ay	rembulan	N;NOM;SG;3	N;SG
ay	bulan	ay	bulan	N;NOM;SG;3	N;SG
imparatorluğu	imperium	imparatorluk	imperium	N;NOM;SG;3	N
imparatorluğu	kekaisaran	imparatorluk	kekaisaran	N;NOM;SG;3	N;SG
internet	web	internet	web	N;NOM;SG;3	N
internet	internet	internet	internet	N;NOM;SG;3	N;SG
tiyatro	drama	tiyatro	drama	N;NOM;SG;3	N;SG
tiyatro	teater	tiyatro	teater	N;NOM;SG;3	N
tiyatro	teater	tiyatro	teater	N;NOM;SG;3	N
tiyatro	bioskop	tiyatro	bioskop	N;NOM;SG;3	N
tiyatro	teater	tiyatro	teater	N;NOM;SG;3	N
tiyatro	bioskop	tiyatro	bioskop	N;NOM;SG;3	N
kazandı	dimenangkan	kazan	dimenangkan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
karar	vonis	karar	vonis	N;NOM;SG;3	N;SG
karar	putusan	karar	putusan	N;NOM;SG;3	N;SG
karar	keputusan	karar	keputusan	N;NOM;SG;3	N;SG
karar	keputusan	karar	keputusan	N;NOM;SG;3	N;SG
tarih	tanggal	tarih	tanggal	N;NOM;SG;3	N;SG;ACT
tarih	riwayat	tarih	riwayat	N;NOM;SG;3	N
tarih	sejarah	tarih	sejarah	N;NOM;SG;3	N;SG
temel	dasar	temel	dasar	ADJ	ADJ;SG
temel	dasar	temel	dasar	ADJ	ADJ;SG
ünlü	terkenal	ünlü	terkenal	ADJ	ADJ;SG;PASS
kalan	tersisa	kal	tersisa	V;PFV;IND;POS;PRS;V.PTCP	V;SG;PASS
geldi	tiba	gel	tiba	V;PFV;IND;SG;3;POS;PST	V;SG
geniş	lebar	geniş	lebar	ADJ	ADJ;SG
geniş	besar	geniş	besar	ADJ	ADJ;SG
ev	rumah	ev	rumah	N;NOM;SG;3	N;SG
ev	rumah	ev	rumah	N;NOM;SG;3	N;SG
önceki	prev	önceki	prev		
hareket	gerakan	hareket	gerakan	N;NOM;SG;3	N;SG
hareket	gerak	hareket	gerak	N;NOM;SG;3	N;SG;ACT
hareket	gerakan	hareket	gerakan	N;NOM;SG;3	N;SG
hareket	pergerakan	hareket	pergerakan	N;NOM;SG;3	N;SG
bölgesi	daerah	bölge	daerah	N;NOM;SG;3	N;SG
bölgesi	wilayah	bölge	wilayah	N;NOM;SG;3	N;SG
bölgesi	region	bölge	region	N;NOM;SG;3	N
bölgesi	kawasan	bölge	kawasan	N;NOM;SG;3	N;SG
bölgesi	wilayah	bölge	wilayah	N;NOM;SG;3	N;SG
bölgesi	teritori	bölge	teritori	N;NOM;SG;3	N;SG
sahibi	pemilik	sahip	penmilik	N;NOM;SG;3	N;SG
sahibi	pemiliknya	sahip	penpilik	N;NOM;SG;3	N;SG
bilim	ilmu	bilim	ilmu	N;NOM;SG;3	N;SG
bilim	sains	bilim	sains	N;NOM;SG;3	N;SG
sistemi	sistem	sistem	sistem	N;ACC;SG;3	N;SG
sistemi	system	sistem	system	N;ACC;SG;3	N
hiç	pernah	hiç	pernah	ADV	ADV
hiç	pernah	hiç	pernah	ADV	ADV
ifade	ekspres	ifade	ekspres	N;NOM;SG;3	N;SG
ifade	pernyataan	ifade	pernyataan	N;NOM;SG;3	N;SG
ifade	testimoni	ifade	testimoni	N;NOM;SG;3	N
ifade	kesaksian	ifade	kesaksian	N;NOM;SG;3	N;SG
ifade	expresi	ifade	expresi	N;NOM;SG;3	N;SG
ifade	ekspresi	ifade	ekspresi	N;NOM;SG;3	N;SG
şey	hal	şey	hal	N;NOM;SG;3	N;SG
rapor	laporan	rapor	laporan	N;NOM;SG;3	N;SG
kullanılır	digunakan	kullan	digunakan	V;IPFV;IND;SG;3;POS;PASS	V;SG;PASS
kullanılır	terpakai	kullan	terpakai	V;IPFV;IND;SG;3;POS;PASS	V;SG;PASS
kullanılır	dipakai	kullan	dipakai	V;IPFV;IND;SG;3;POS;PASS	V;SG;PASS
kurulan	didirikan	kur	didirikan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
kurulan	didirikan	kur	didirikan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
altı	enam	altı	enam	NUM	NUM
altı	enam	altı	enam	NUM	NUM
dizi	deret	dizi	deret	N;NOM;SG;3	N;SG
dizi	seri	dizi	seri	N;NOM;SG;3	N;SG
dizi	array	dizi	array	N;NOM;SG;3	N
dizi	larik	dizi	larik	N;NOM;SG;3	N
dizi	urutan	dizi	urutan	N;NOM;SG;3	N;SG
gerekli	wajib	gerekli	wajib		
ayrı	terpisah	ayrı	terpisah	ADJ	ADJ;SG;PASS
şampiyonası	kejuaraan	şampiyon	kejuaraan	N;NOM;SG;3	N;SG
şampiyonası	championship	şampiyon	championship	N;NOM;SG;3	N
şampiyonası	kejuaraan	şampiyon	kejuaraan	N;NOM;SG;3	N;SG
göz	jelajah	göz	jelajah	N;NOM;SG;3	N;SG
göz	mata	göz	mata	N;NOM;SG;3	N;SG
göz	mata	göz	mata	N;NOM;SG;3	N;SG
televizyon	televisi	televizyon	televisi	N;NOM;SG;3	N;SG
galatasaray	galatasaray	galatasarayay	galatasaray	N;NOM;SG;3	N;SG
sezonu	musim	sezon	musim	N;ACC;SG;3	N;SG
sezonu	musimnya	sezon	musim	N;ACC;SG;3	N;SG
fenerbahçe	fenerbahce	fenerbahç	fenerbahce	N;NOM;SG;3	N
durum	status	durum	status	N;NOM;SG;3	N;SG
durum	situasi	durum	situasi	N;NOM;SG;3	N;SG
durum	syarat	durum	syarat	N;NOM;SG;3	N;SG
durum	kondisi	durum	kondisi	N;NOM;SG;3	N;SG
gelenek	tradisi	gelenek	tradisi	N;NOM;SG;3	N;SG
gelenek	tradisi	gelenek	tradisi	N;NOM;SG;3	N;SG
yeri	lokasi	yer	lokasi	N;ACC;SG;3	N;SG
kız	saudari	kız	saudari		
al	ambil	al	ambil	V;PFV;IMP;SG;2;POS;PRS	V;SG;ACT
al	dapatkan	al	dapatkan	V;PFV;IMP;SG;2;POS;PRS	V;SG;ACT
ses	suaranya	ses	suara	N;NOM;SG;3	N;SG
ses	audio	ses	audio	N;NOM;SG;3	N;SG
ses	noise	ses	noise	N;NOM;SG;3	N
ses	bising	ses	bising	N;NOM;SG;3	N;SG
ses	kebisingan	ses	kebisingan	N;NOM;SG;3	N;SG
ses	derau	ses	derau	N;NOM;SG;3	N;SG
ses	volume	ses	volume	N;NOM;SG;3	N;SG
ses	borongan	ses	borongan	N;NOM;SG;3	N
david	daud	david	daud		
milli	nasional	milli	nasional	ADJ	ADJ;SG
kitap	kitab	kitap	kitab	N;NOM;SG;3	N;SG
kitap	buku	kitap	buku	N;NOM;SG;3	N;SG
kitap	pembukuan	kitap	penbukuan	N;NOM;SG;3	N;SG
kitap	buku	kitap	buku	N;NOM;SG;3	N;SG
kaldı	tersisa	kal	tersisa	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
bakanı	menteri	bakan	menteri	N;NOM;SG;3	N;SG
geçti	berlalu	geç	berlalu	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
geçti	dilewati	geç	dilewati	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
geçti	lulus	geç	lulus	V;PFV;IND;SG;3;POS;PST	V;SG
doğdu	lahir	doğ	lahir	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
doğdu	terlahir	doğ	terlahir	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
doğdu	dilahirkan	doğ	dilahirkan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
başkanlığı	kepresidenan	başkanlık	kepresidenan	N;NOM;SG;3	N;SG
bakanlığı	kementrian	bakanlık	kementrian	N;NOM;SG;3	N;SG
bakanlığı	pelayanan	bakanlık	penlayanan	N;NOM;SG;3	N;SG
bakanlığı	kementerian	bakanlık	kementerian	N;NOM;SG;3	N;SG
kurulmuştur	didirikan	kur	didirikan	V;PFV;NFH;SG;3;POS;PST;PASS	V;SG;PASS
durumu	status	durum	status	N;NOM;SG;3	N;SG
durumu	syarat	durum	syarat	N;NOM;SG;3	N;SG
durumu	kondisi	durum	kondisi	N;NOM;SG;3	N;SG
kırmızı	merah	kırmızı	merah	ADJ	ADJ;SG
yardım	bantuan	yardım	bantuan	N;NOM;SG;3	N;SG
yardım	bantu	yardım	bantu	N;NOM;SG;3	N;SG;ACT
yardım	bantuan	yardım	bantuan	N;NOM;SG;3	N;SG
oranı	tarif	oran	tarif	N;NOM;SG;3	N;SG
oranı	nilai	oran	nilai	N;NOM;SG;3	N;SG
oranı	kurs	oran	kurs	N;NOM;SG;3	N;SG
oranı	laju	oran	laju	N;NOM;SG;3	N;SG
oranı	tingkat	oran	tingkat	N;NOM;SG;3	N;SG
oranı	rasio	oran	rasio	N;NOM;SG;3	N;SG
şarkıcı	penyanyi	şarkıcı	pennyanyi	N;NOM;SG;3	N;SG
katıldı	dihadiri	kat	dihadiri	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;PASS
hafta	minggu	hafta	minggu	N;NOM;SG;3	N;SG
hafta	minggu	hafta	minggu	N;NOM;SG;3	N;SG
ekonomik	hemat	ekonomik	hemat	ADJ	ADJ;SG
adam	cowok	adam	cowok	N;NOM;SG;3	N
adam	pria	adam	pria	N;NOM;SG;3	N;SG
adam	manusia	adam	manusia	N;NOM;SG;3	N;SG
kendisi	dirinya	kendi	diri	PRO;NOM;SG;3;REFL	PRO;SG
yayınları	publikasi	yayın	publikasi	N;ACC;PL;3	N
hizmet	pelayanan	hizmet	penlayanan	N;NOM;SG;3	N;SG
hizmet	layanan	hizmet	layanan	N;NOM;SG;3	N;SG
hizmet	jasa	hizmet	jasa	N;NOM;SG;3	N;SG
hizmet	jasa	hizmet	jasa	N;NOM;SG;3	N;SG
hizmet	layanan	hizmet	layanan	N;NOM;SG;3	N;SG
hizmet	pelayanan	hizmet	penlayanan	N;NOM;SG;3	N;SG
düzenlenen	dipegang	düzenle	dipegang	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
düzenlenen	ditahan	düzenle	ditahan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
düzenlenen	diadakan	düzenle	diadakan	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;PASS
yolu	jalur	yol	jalur	N;ACC;SG;3	N;SG
girdi	masukkan	gir	masukkan	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
girdi	dimasukkan	gir	dimasukkan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
çalışma	belajar	çalış	belajar	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG
çalışma	bekerja	çalış	bekerja	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;ACT
ilan	iklan	ilan	iklan	N;NOM;SG;3	N;SG
başlık	headline	başlık	headline		
sonrasında	sesudahnya	sonra	sesudah	N;ESS;SG;3	N;SG
basketbol	basket	basketbol	basket	N;NOM;SG;3	N
kullanımı	penggunaan	kullanım	pengunaan	N;NOM;SG;3	N;SG
kullanımı	kegunaan	kullanım	kegunaan	N;NOM;SG;3	N;SG
kullanımı	pemakaian	kullanım	penpakaian	N;NOM;SG;3	N;SG
kullanımı	penggunaan	kullanım	pengunaan	N;NOM;SG;3	N;SG
kardeş	saudari	kardeş	saudari		
öldü	meninggal	öl	mentinggal	V;PFV;IND;SG;3;POS;PST	V;SG;ACT
hızlı	cepat	hızlı	cepat	ADJ	ADJ;SG
hızlı	cepat	hızlı	cepat	ADJ	ADJ;SG
oynadı	diputar	oyna	diputar	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
oynadı	dimainkan	oyna	dimainkan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
oynadı	dipermainkan	oyna	dipermainkan	V;PFV;IND;SG;3;POS;PST	V;SG;PASS
kiralık	persewaan	kiralık	persewaan	N;NOM;SG;3	N;SG
