снаружи	बाहर	снаружи	बाहर	ADV	ADV;NOM;MASC;SG;3
расчёт	गणना	расчет	गणना	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
чудо	आश्चर्य	чудо	आश्चर्य	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
чудо	चमत्कार	чудо	चमत्कार	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
чудо	आश्चर्य	чудо	आश्चर्य	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
юристы	वकील	юрист	वकील	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL;3
четвёртая	चौथा	четвертый	चौथा	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
четвёртая	चौथी	четвертый	चौथी	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
рак	कर्कट	рак	कर्कट	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
первоначальный	प्रारंभिक	первоначальный	प्रारंभिक	ADJ;NOM;MASC;SG	ADJ;NOM
вместимость	क्षमता	вместимость	क्षमता	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
заговор	षड्यन्त्र	заговор	षड्यन्त्र	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
заговор	षड्यंत्र	заговор	षड्यंत्र	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
монтаж	सम्पादन	монтаж	सम्पादन	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
монтаж	संपादन	монтаж	संपादन	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
программирование	प्रोग्रामिंग	программирование	प्रोग्रामिंग	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
священников	पुजारियों	священник	पुजारी	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL;3
вселенная	ब्रह्माण्ड	вселенная	ब्रह्माण्ड	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
вселенная	ब्रह्मांड	вселенная	ब्रह्मांड	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
бизнесмен	व्यवसायी	бизнесмен	व्यवसायी	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
бизнесмен	बिजनेसमैन	бизнесмен	बिजनेसमैन	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
бич	समुद्रतट	бич	समुद्रतट	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
горький	कड़वी	горький	कड़वी	ADJ;NOM;MASC;SG	ADJ;FEM;SG
горький	कड़वा	горький	कड़वा	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
удобно	सुविधाजनक	удобный	सुविधाजनक	ADJ;NEUT;SG	ADJ
удобно	आरामदायक	удобный	आरामदायक	ADJ;NEUT;SG	ADJ
послание	सन्देश	послание	सन्देश	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
послание	संदेश	послание	संदेश	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
океании	महासागरीय	океание	महासागरीय	N;INAN;NOM;NEUT;PL	N;NOM;3
скрипка	वायलिन	скрипка	वायलिन	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
скрипач	violinist	скрипач	violinist	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
терминологии	शब्दावली	терминология	शब्दावली	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
ирак	इराकी	ирак	इराकी	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
гнездо	घोसला	гнездо	घोसला	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
гнездо	घोंसला	гнездо	घोंसला	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
стратегия	कार्यनीति	стратегия	कार्यनीति	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
стратегия	रणनीति	стратегия	रणनीति	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
важная	महत्वपूर्ण	важный	महत्वपूर्ण	ADJ;NOM;FEM;SG	ADJ
представительство	प्रतिनिधित्व	представительство	प्रतिनिधित्व	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
местная	स्थानीय	местный	स्थानीय	ADJ;NOM;FEM;SG	ADJ;NOM
готова	तैयार	готовый	तैयार	ADJ;FEM;SG	ADJ
виконт	viscount	виконт	viscount	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
канзас	कान्सास	канзас	कान्सास	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
разрушение	विनाश	разрушение	विनाश	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
обновления	अपडेट्स	обновление	अपडेट	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL;3
колонна	स्तंभ	колонна	स्तंभ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
колонна	कॉलम	колонна	कॉलम	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
колонна	स्तम्भ	колонна	स्तंभ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
колонна	काफिला	колонна	काफिला	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
объявления	घोषणाएँ	объявление	घोषणा	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;3
гроссмейстер	ग्रैंडमास्टर	гроссмейстер	ग्रैंडमास्टर	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
долг	कर्तव्य	долг	कर्तव्य	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
долг	ड्यूटी	долг	ड्यूटी	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
долг	ऋण	долг	ऋण	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
долг	कर्ज	долг	कर्ज	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
беременности	गर्भावस्था	беременность	गर्भावस्था	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
полезные	उपयोगी	полезный	उपयोगी	ADJ;NOM;PL	ADJ
полезные	उपयोगी	полезный	उपयोगी	ADJ;NOM;PL	ADJ
лонг	long	лонг	long		
полезно	उपयोगी	полезный	उपयोगी	ADJ;NEUT;SG	ADJ
полезно	उपयोगी	полезный	उपयोगी	ADJ;NEUT;SG	ADJ
инфраструктура	अवसंरचना	инфраструктура	अवसंरचना	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
металл	धातु	металл	धातु	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
металл	मेटल	металл	मेटल	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
уход	देखभाल	уход	देखभाल	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
уход	केयर	уход	केयर	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
уход	परवाह	уход	परवाह	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
ребята	यारों	ребята	यार	N;ANIM;NOM;NEUT;PL	N;NOM;MASC;PL;3
неизвестен	अज्ञात	неизвестный	अज्ञात	ADJ;MASC;SG	ADJ
скалы	चट्टानें	скала	चट्टान	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;3
оскорбление	अपमान	оскорбление	अपमान	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
сервера	सर्वर्स	сервер	सर्वर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
сервера	सर्वर	сервер	सर्वर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
сервера	सर्वर	сервер	सर्वर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
указатель	निर्देशिका	указатель	निर्देशिका	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
указатель	इंडेक्स	указатель	इंडेक्स	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
указатель	सूचकांक	указатель	सूचकांक	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
указатель	पाइंटर	указатель	पाइंटर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
указатель	संकेतक	указатель	संकेतक	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
рог	हॉर्न	рог	हॉर्न	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
рог	सींग	рог	सींग	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
поместье	एस्टेट	поместье	एस्टेट	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
различие	भेद	различие	भेद	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
различие	भिन्नता	различие	भिन्नता	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
окружение	वातावरण	окружение	वातावरण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
окружение	परिवेश	окружение	परिवेश	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
окружение	एनवायरनमेंट	окружение	एनवायरनमेंट	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
окружение	पर्यावरण	окружение	पर्यावरण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
окружение	परिवेश	окружение	परिवेश	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
порода	नस्ल	порода	नस्ल	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
хранение	कब्जे	хранение	कब्जा	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
хранение	कब्ज़ा	хранение	कब्ज़ा	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
хранение	भंडारण	хранение	भंडारण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
хранение	स्टोरेज	хранение	स्टोरेज	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
хранение	संग्रहण	хранение	संग्रहण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
хранение	भंडार	хранение	भंडार	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
возможен	संभव	возможный	संभव	ADJ;MASC;SG	ADJ
правильное	सही	правильный	सही	ADJ;NOM;NEUT;SG	ADJ
исследовал	छान	исследовать	छान	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;SG;FIN;ACT
пропаганда	प्रचार	пропаганда	प्रचार	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
животное	जानवर	животное	जानवर	N;ANIM;NOM;NEUT;SG	N;NOM;MASC;SG;3
животное	पशु	животное	पशु	N;ANIM;NOM;NEUT;SG	N;NOM;MASC;SG;3
животное	प्राणी	животное	प्राणी	N;ANIM;NOM;NEUT;SG	N;NOM;MASC;SG;3
дискография	डिस्कोग्राफ़ी	дискография	डिस्कोग्राफ़ी	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
взвод	दस्ता	взвод	दस्ता	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
взвод	दस्ते	взвод	दस्ता	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
взвод	स्क्वाड	взвод	स्क्वाड	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
взвод	प्लाटून	взвод	प्लाटून	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
точная	सटीक	точный	सटीक	ADJ;NOM;FEM;SG	ADJ
точная	सटीक	точный	सटीक	ADJ;NOM;FEM;SG	ADJ
организм	जीव	организм	जीव	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
обряд	रीति	обряд	रीति	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
панорама	परिदृश्य	панорам	परिदृश्य	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
исключить	हटाएँ	исключить	हटा	V;PFV;NFIN;ACT	V;SBJV;PL;FIN;ACT
белок	प्रोटीन	белок	प्रोटीन	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
упадок	मनाही	упадок	मनाही	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
иисус	ईसा	иисус	ईसा	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
компонент	अवयव	компонент	अवयव	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
компонент	घटक	компонент	घटक	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
объяснил	समझाया	объяснить	समझा	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
наблюдение	निगरानी	наблюдение	निगरानी	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
наблюдение	अवलोकन	наблюдение	अवलोकलन	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
наблюдение	निगरानी	наблюдение	निगरानी	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
словакия	स्लोवाकिया	словакия	स्लोवाकिया	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
актер	अभिनेता	актер	अभिनेता	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
актер	एक्टर	актер	एक्टर	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
актер	कर्ता	актер	कर्ता	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
успешного	सफल	успешный	सफल	ADJ;GEN;MASC;SG	ADJ
успешного	कामयाब	успешный	कामयाब	ADJ;GEN;MASC;SG	ADJ
сделки	सौदे	сделка	सौदा	N;INAN;NOM;FEM;PL	N;NOM;MASC;PL;3
девиз	नारा	девиз	नारा	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
девиз	स्लोगन	девиз	स्लोगन	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
салон	सैलून	салон	सैलून	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
частное	निजी	частный	निजी	ADJ;NOM;NEUT;SG	ADJ;NOM
зеркало	शीशा	зеркало	शीशा	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
зеркало	प्रतिबिंब	зеркало	प्रतिबिंब	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
зеркало	दर्पण	зеркало	दर्पण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
пересадка	प्रत्यारोपण	пересадка	प्रत्यारोपण	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пересадка	प्रत्यारोपण	пересадка	प्रत्यारोपण	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
регулярный	नियमित	регулярный	नियमित	ADJ;NOM;MASC;SG	ADJ;NOM
рассказать	बताओ	рассказать	बता	V;PFV;NFIN;ACT	V;SBJV;SG;FIN;ACT
рассказать	बताना	рассказать	बता	V;PFV;NFIN;ACT	V;MASC;NFIN;ACT
грей	सलेटी	грей	सलेटी	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
вертолёт	हेलीकॉप्टर	вертолет	हेलीकॉप्टर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
вертолёт	हैलीकॉप्टर	вертолет	हैलीकॉप्टर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
вертолёт	हेलीकाप्टर	вертолет	हेलीकाप्टर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
независимая	स्वतंत्र	независимый	स्वतंत्र	ADJ;NOM;FEM;SG	ADJ;NOM
украшения	आभूषण	украшение	आभूषण	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL;3
украшения	आभूषण	украшение	आभूषण	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL;3
разнообразие	विविधता	разнообразие	विविधता	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
хирург	सर्जन	хирург	सर्जन	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
брони	कवच	броня	कवच	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
патрон	कार्ट्रिज	патрон	कार्ट्रिज	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
патрон	संरक्षक	патрон	संरक्षक	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
поворот	बारी	поворот	बारी	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
поворот	घूर्णन	поворот	घूर्णन	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
поворот	धुरी	поворот	धुरी	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
молитвы	प्रार्थनाएं	молитва	प्रार्थना	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;3
алжир	अल्जीयर्स	алжир	अल्जीयर्स	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
алжир	सीरियल	алжир	सीरियल	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
декан	डीन	декан	डीन	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
феномен	घटना	феномен	घटना	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
нефть	तेल	нефть	तेल	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
нефть	ऑयल	нефть	ऑयल	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
нефть	पेट्रोलियम	нефть	पेट्रोलियम	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
снег	बर्फ़	снег	बर्फ़	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
снег	बर्फ	снег	बर्फ	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
снег	हिम	снег	हिम	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
показывать	दिखाओ	показывать	दिखा	V;IPFV;NFIN;ACT	V;SBJV;SG;FIN;ACT
показывать	दिखाएं	показывать	दिखा	V;IPFV;NFIN;ACT	V;SBJV;PL;FIN;ACT
показывать	दिखाएँ	показывать	दिखा	V;IPFV;NFIN;ACT	V;SBJV;PL;FIN;ACT
целые	पूरे	целый	पूरा	ADJ;NOM;PL	ADJ;MASC;PL
шар	गुब्बारा	шар	गुब्बारा	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
шар	गेंद	шар	गेंद	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
подарок	वर्तमान	подарок	वर्तमान	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
подарок	तोहफा	подарок	तोहफा	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
очко	अंक	очко	अंक	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
очко	स्कोर	очко	स्कोर	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
очко	बिंदु	очко	बिंदु	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
очко	बिन्दु	очко	बिंदु	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
очко	पॉइंट	очко	पॉइंट	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
группировка	गुट	группировка	गुट	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
группировка	समूहीकरण	группировка	समूहीकरण	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
стрелка	शूटर	стрелка	शूटर	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
стрелка	बाण	стрелка	बाण	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
стрелка	तीर	стрелка	तीर	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
жидкость	तरल	жидкость	तरल	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
жидкость	द्रव	жидкость	द्रव	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
жидкость	तरल	жидкость	तरल	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
жидкость	द्रव	жидкость	द्रव	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
свойство	संपत्ति	свойство	संपत्ति	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
свойство	गुण	свойство	गुण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
свойство	सम्पत्ति	свойство	सम्पत्ति	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
свойство	प्रॉपर्टी	свойство	प्रॉपर्टी	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
этаж	फर्श	этаж	फर्श	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
этаж	तल	этаж	तल	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
этаж	मंजिल	этаж	मंजिल	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
курорт	रिसॉर्ट	курорт	रिसॉर्ट	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
вектор	सदिश	вектор	सदिश	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
вектор	वेक्टर	вектор	वेक्टर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
мирное	शांतिपूर्ण	мирный	शांतिपूर्ण	ADJ;NOM;NEUT;SG	ADJ
барабанщик	वादक	барабанщик	वादक	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
тянет	खींचता	тянуть	खींच	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP;ACT
акция	क्रिया	акция	क्रिया	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
акция	एक्शन	акция	एक्शन	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
акция	कार्रवाई	акция	कार्रवाई	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
изобретение	आविष्कार	изобретение	आविष्कार	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
уменьшение	कटौती	уменьшение	कटौती	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
рей	rey	рей	rey		
рей	rae	рей	rae		
индивидуальные	व्यक्तिगत	индивидуальный	व्यक्तिगत	ADJ;NOM;PL	ADJ
спасение	उद्धार	спасение	उद्धार	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
спасение	बचाव	спасение	बचाव	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
спасение	मुक्ति	спасение	मुक्ति	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
спасение	मोक्ष	спасение	मोक्ष	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
кросс	पार	кросс	पार	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
снимок	स्नैपशॉट	снимок	स्नैपशॉट	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
западное	पश्चिमी	западный	पश्चिमी	ADJ;NOM;NEUT;SG	ADJ
фильтр	फ़िल्टर	фильтр	फ़िल्टर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
фильтр	फिल्टर	фильтр	फिल्टर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
электроники	इलेक्ट्रॉनिक्स	электроника	इलेक्ट्रॉनिक्स	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
колеса	पहिये	колесо	पहिया	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL;3
аудио	ऑडियो	аудио	ऑडियो	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
пал	गिरे	пасть	गिर	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
компакт	कॉम्पैक्ट	компакт	कॉम्पैक्ट	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
продал	बेची	продать	बेच	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
правильный	सही	правильный	सही	ADJ;NOM;MASC;SG	ADJ
четверть	क्वार्टर	четверть	क्वार्टर	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
приобрести	खरीदें	приобрести	खरीद	V;PFV;NFIN;ACT	V;SBJV;PL;3;FIN;ACT
особая	विशेष	особый	विशेष	ADJ;NOM;FEM;SG	ADJ;NOM
особая	खास	особый	खास	ADJ;NOM;FEM;SG	ADJ;NOM
